Phrases,Translation
君が飲むついでに、僕の分も入れてくれないかな。,"While you're drinking, why don't you fill me up."
そんな物あったっけ？,Did we have any of those?
次の時間は何だっけ？,What's the next time?
どこに置いたっけ？,Where did I put it?
何を考えていたんだっけ。,What was I thinking about?
これどうやるんだっけ？,How am I going to do this?
何の話をしていたっけ？,What were we talking about?
あの人、何て名前だったっけ？,What was that guy's name again?
パリに行きたくてたまりません。,I'm dying to go to Paris.
私は外国へ行きたくてたまらない。,I am dying to go to a foreign country.
冷えたビールがあればたまらないね。,I can't wait to have a cold beer.
彼は彼女に会いたくてたまらなかった。,He couldn't wait to see her.
彼らは昼食が待ちどおしくてたまらない。,They couldn't wait to have lunch.
登山家は清水が欲しくてたまらなかった。,The mountaineer was desperate for fresh water.
私は冷たい飲み物がほしくてたまりません。,I'm dying for a cold drink.
彼は天才だと言っても過言ではない。,It is no exaggeration to say that he is a genius.
彼の作品を知っているといってもほんの少しです。,I know only a few of his works.
宿屋といってもまるで丸太小屋のようだ。,The inn looks like a log cabin.
彼女は歌手といってもお粗末なものだ。,"She's a singer, but a lousy one."
客間に通された。,I was ushered into the drawing room.
銅はよく電気を通す。,Copper is a good conductor of electricity.
床下にパイプを通す。,The pipes run under the floor.
私は彼を部屋に通した。,I ushered him into the room.
どうぞ通してください。,Please let him in.
冬中暖房無しで通した。,I let him in without heat all winter.
この上着は雨を通さない。,This jacket is impervious to rain.
この布地は水を通さない。,This fabric is impervious to water.
彼らはジャングルに道を通した。,They made their way through the jungle.
済みません。通してくれますか。,I'm sorry. Can you let me through?
彼女を通しなさい、すぐ会うから。,"Let her through, I'll see you soon."
彼女は闇にまぎれて逃げとおせた。,She was able to escape under the cover of darkness.
道を開けて子どもを通してください。,Please open the way and let the child through.
この点に関しては意見が異なっている。,We have a difference of opinion on this point.
このことに関してまた君に電話するよ。,I'll call you back about this.
彼女の才能に関しては疑問の余地が無い。,There is no question about her talent.
私に関して言えば、肉よりも魚が好きだ。,"As for me, I prefer fish to meat."
私に関して言えば、土曜日が都合がよい。,"As for me, Saturdays are more convenient."
家賃に関して私は彼と折り合いがついた。,I've come to an agreement with him about the rent.
その報告は販売に関しては思わしくない。,The report does not look good for sales.
スケジュールに関しては、後でお知らせします。,"As for the schedule, I'll let you know later."
以前に比べれば、ここでの生活は随分楽になりました。,"Compared to the past, life here is a lot easier."
ロンドンは東京に比べて小さい。,London is small compared to Tokyo.
彼は私の助言に従って行動した。,He acted according to my advice.
動物は本能に従って行動する。,Animals act according to their instincts.
君は能力にしたがって上達する。,You will improve according to your ability.
私たちは時間割に従って勉強する。,We will study according to the timetable.
君は指示に従ってさえいればいいのです。,All you have to do is follow the instructions.
君は自分の主義に従って行動すべきである。,You should act according to your own principles.
君は規則に従って行動しなければならない。,You have to act according to the rules.
君の命令にしたがって私はボートを売ろう。,I'll sell my boat according to your order.
我々はいつも法律に従って行動するべきだ。,We should always act according to the law.
私の設計にしたがって、作ってもらいました。,I had it built according to my design.
私たちは彼女の指示に従って作業を完了した。,We completed the work according to her instructions.
解答はすべて指示に従って書かねばならない。,All solutions must be written according to the instructions.
何をやるにしても、彼は上手にこなす。,"No matter what he does, he does it well."
どこへ行くにしても私は道に迷う。,"Wherever I go, I get lost."
どんな本を読むにしても、注意深く読みなさい。,"No matter what book you read, read it carefully."
どんなに一生懸命にしてもそれはできないだろう。,"No matter how hard you try, you will not be able to do it."
私は女性に関しては弱い。,I'm weak when it comes to women.
それに関して、私は君に賛成だ。,I'm with you on that.
その件に関して特に疑問はない。,I have no doubts about that.
価格に関して話し合いたいのですが。,I would like to discuss the price.
スタイルに関してはこの車が一番だ。,This car is the best when it comes to style.
敵に対して寛大だ。,He is generous to his enemies.
彼は友人に対して寛大だ。,He is generous to his friends.
彼女は動物に対して優しい。,She is kind to animals.
彼は誰に対しても腰が低い。,He is low to everyone.
彼女に対して疑いを持ちだした。,I began to have doubts about her.
協力者に対しては賞金が出ます。,There is a reward for cooperation.
彼は批評に対してたいへん敏感だ。,He is very sensitive to criticism.
彼は私の質問に対してうなずいた。,He nodded in response to my question.
彼はその事故に対して責任がある。,He is responsible for the accident.
間違ったに違いない。,He must have made a mistake.
病気だったに違いない。,He must have been sick.
それは本当に違いない。,It must be true.
彼らは幸せにちがいない。,They must have been happy.
彼らは誤ったに違いない。,They must have been wrong.
彼はそれを見たに違いない。,He must have seen it.
彼は家が恋しいに違いない。,He must be missing home.
冗談を言ってるに違いない。,He must be joking.
彼女は美しかったに違いない。,She must have been beautiful.
政治について討論しよう。,Let's discuss politics.
彼の髪型について一言した。,I made a comment about his hairstyle.
ゲームについてのご感想は？,What do you think of the game?
日本についてどう思いますか。,What do you think about Japan?
この牛肉は１ポンドにつき４ドルです。,This beef costs four dollars per pound.
我々はその品物を１ダースにつき３ドルで買った。,We bought that item for $3 per dozen.
私は一時間につき十ドルもらっています。,I am paid ten dollars per hour.
１ページにつき、３枚ずつコピーして下さい。,Please make three copies of each page.
彼女は１日につき３０ドル稼ぐ。,She makes thirty dollars per day.
午後を通してずっと雨が降っていた。,It had been raining all afternoon.
山を通してトンネルを通した。,Tunnels were built through the mountains.
それらは１年を通してずっと飾られている。,They are decorated throughout the year.
貨幣は銀行制度を通じて流通する。,Money circulates through the banking system.
彼女とは友人を通じて知り合った。,I met her through a friend.
全ての場合を通じて、恋愛は忍耐である。,"In all cases, love is patience."
この山は一年を通じて雪に覆われている。,This mountain is covered with snow all year round.
彼は経験がないわりによくやる。,He does well despite his lack of experience.
彼は若いわりにはとてもいい仕事をした。,He did a very good job for one so young.
彼は年齢の割に老けて見える。,He looks old for his age.
この布は値段の割に品質が良い。,This cloth is of good quality for the price.
僕は負けるわけにはいかない！,I can't afford to lose!
本当に捨てるわけにはいかないよ。,I really can't throw it away.
本当に捨てるわけにはいかないよ。,I really can't throw it away.
もうこれ以上延ばすわけにはいかない。,I can't extend it any longer.
何事も思い通りにするわけにはいかない。,You can't do everything as you wish.
そんな話を聞くと笑わないわけにはいかない。,I can't help but laugh when I hear that.
誰でも車が持てるわけではない。,Not everyone can afford a car.
北海道がいつも寒いわけではない。,It is not always cold in Hokkaido.
全ての鳥が飛べるわけではない。,Not all birds can fly.
彼はいつも遅刻するわけではない。,He is not always late.
私はいつも早起きするわけではない。,I don't always wake up early.
夏休みの間にそれをした。,I did that during my summer vacation.
頭と胴体の間に首がある。,There is a neck between the head and the torso.
休みの間に東京へ一週間行きます。,During my vacation I will go to Tokyo for a week.
休暇の間にはフランスへ行きます。,During my vacation I will go to France.
あなたが寝ている間に、私は本を読む。,"While you are sleeping, I will read a book."
この１年の間に、物価は２倍になった。,"During the past year, prices have doubled."
６時から７時の間に出発するようにしてください。,Try to leave between six and seven o'clock.
３時間待った。,I waited for three hours.
両者の間に関係はない。,There is no relationship between the two.
私は彼らの間に座った。,I sat between them.
行と行との間をあける。,Leave some space between the lines.
命のある間は希望がある。,"While there is life, there is hope."
二つの家の間に庭がある。,There is a garden between the two houses.
彼は二十年間教えている。,He has been teaching for twenty years.
学校は三時半に終わる。,School is over at 3:30.
講義ってもう終わった？,Have you finished your lecture yet?
彼女が来るかどうか疑う。,I doubt if she'll come.
彼が来るかどうか疑問だ。,I wonder if he'll come.
彼が来るかどうか知らない。,I don't know if he'll come.
君が明日暇かどうか知りたい。,I want to know if you're free tomorrow.
君が来るかどうかは問題ではない。,It doesn't matter if you're coming or not.
それが本当かどうか聞いてみよう。,I'll ask him if it's true.
雨になるかもしれないな。,It might rain.
列車に乗り遅れたのかもしれない。,You might have missed the train.
それは今にも起こるかもしれない。,It could happen at any moment.
その余裕がないかもしれないから。,We may not be able to afford it.
夜から雪が降るかもしれないですね。,It might start snowing at night.
見たことがあります。,I've seen it.
金沢では吹雪くことがある。,There are times when it blows in Kanazawa.
野球をしたことがありますか。,Have you ever played baseball?
彼は北海道にいたことがある。,He has been in Hokkaido.
彼女に３回会ったことがある。,I've seen her three times.
仮眠をとることにした。,I decided to take a nap.
彼は試してみる事にした。,He decided to give it a try.
私は車を買うことにした。,I decided to buy a car.
彼らは結婚することにした。,They decided to get married.
毎日散歩することにしてるの。,I'm going to take a walk every day.
私は毎朝走ることにしている。,I'm going to run every morning.
どうしてそんな事になったの？,How did that happen?
明日で１週間雨が続く事になる。,It's going to rain for a week tomorrow.
私はパリに行く事になっている。,I'm supposed to go to Paris.
７時にバスを待つ事になっています。,I'm supposed to wait for the bus at 7:00.
彼女は結局彼と結婚することになった。,She was to marry him after all.
彼にそれを独りでさせなさい。,Let him have it alone.
謝るしかない。,All I can do is apologize.
二時間しか寝なかった。,I only slept for two hours.
彼女は野菜しか食べない。,She only eats vegetables.
五千円しか持っていない。,I only have five thousand yen on me.
英語を少ししか話せません。,I can only speak a little English.
高すぎる！,Too high!
暗すぎる。,Too dark.
難しすぎる。,Too difficult.
夏は過ぎた。,Summer is over.
小さすぎる。,Too small.
静か過ぎる。,Too quiet.
遠すぎるわ。,Too far away.
複雑すぎます！,It's too complicated!
また１日が過ぎた。,Another day has passed.
これは派手すぎる。,This is too fancy.
眠すぎて倒れそう。,I'm going to fall asleep.
あれは簡単すぎた？,Was that too easy?
彼は早く着きすぎた。,He got there too early.
彼は酒を飲みすぎる。,He drinks too much.
いつもそうでした。,He always did.
怪我自体はなん針か縫う程度だそうです。,The injury itself is said to require only a few stitches.
怪我自体はなん針か縫う程度だそうです。,The injury itself is said to require only a few stitches.
出してくれ。,Get me out of here.
元気出して。,Cheer up.
張り紙を出した。,I put up a sign.
ごみを外に出して。,Take out the trash.
答案を出して下さい。,Please give me your answers.
ごめん。道が混んじゃって。,I'm sorry. The streets are so crowded.
ボタンを押してください。,Press the button.
ドアは押して開けてください。,Push to open the door.
ここに拇印を押してください。,Please put your thumbprint here.
私は家に着くやいなや寝た。,I went to bed as soon as I arrived home.
外に出るや否や雨が降ってきた。,"As soon as I stepped outside, it started to rain."
到着するやいなや彼は病気になった。,"As soon as he arrived, he became ill."
私が家につくや否や妹は出て行った。,"As soon as I arrived home, my sister left."
彼が到着するや否や、バスは出発した。,"As soon as he arrived, the bus departed."
全力を尽くすつもりです。,I will do my best.
お役に立てずすみません。,I'm sorry I can't be of more help.
お役に立てて何よりです。,I'm glad I could be of help.
お役に立ててうれしいです。,I'm glad I could be of help.
お役に立ててよかったです。,I'm glad I could help you.
何かお役に立てることはありますか？,What can I do to help you?
また別の機会にお役に立てれば幸いです。,I hope I can be of help another time.
役に立つはずだ。,It should be useful.
役に立つでしょう。,It will be useful.
鉄は役に立つ金属だ。,Iron is a useful metal.
それは非常に役に立つ。,It's very useful.
あなたの役に立ちたい。,I want to be useful to you.
あれって、役に立った？,Was that useful?
この本は我々に役にたつ。,This book is useful to us.
この道具は実に役に立つ。,This tool is very useful.
心配して何の役に立つのか。,What's the use of worrying about it?
パソコンはとても役に立つ。,The computer is very useful.
それは役に立つ情報ですよ。,It's useful information.
この機械はとても役に立つ。,This machine is very useful.
彼の助言は非常に役に立った。,His advice was very helpful.
それが役に立つと思いますか？,Do you think it will help?
多分これが役に立つと思うよ。,Maybe this will help you.
水泳は大変役に立つ技術である。,Swimming is a very useful skill.
私は何かお役に立ちましょうか。,Can I be of any help to you?
このサイトには、役に立つ記事がたくさんある。,There are a lot of useful articles on this site.
別の角度から問題を見ると役に立つかもしれない。,It might be helpful to look at the problem from a different angle.
この道具はちゃんと使えばとても役に立つ。,This tool is very useful when used properly.
何でもお役に立てるようにいたします。,We will try to help you in any way we can.
これはいつか役に立つかもしれない。,This may come in handy someday.
痛みが増しています。,The pain is increasing.
飛行機は速度を増した。,The plane picked up speed.
飛行機は速度を増した。,The plane has gained speed.
これできっと食欲が増します。,This will surely increase your appetite.
彼女は日に日に美しさを増す。,She grows more beautiful every day.
こういうの初めてだろ。,You've never done this before.
こういう次第だ。,It's up to you.
こういう風にやればいい。,You should do it this way.
こういう服、似合ってるよ。,You look good in these clothes.
よくこういう症状が起きますか。,Do you often have these symptoms?
僕はこういう音楽が好きではない。,I don't like this kind of music.
こういう場合には経験が物を言う。,"In such cases, experience comes into play."
こういうわけで私はここへ来ました。,That's why I'm here.
彼がこういう機会をのがすのは残念だ。,It's a pity he missed this opportunity.
こういうものが欲しいと思ってました。,I've always wanted something like this.
こういう危険があるのに登山は大流行です。,"In spite of these dangers, mountain climbing is all the rage."
こうしたら君のプラスになる。,"If you do this, it will be a plus for you."
どうしてこうしなきゃいけないの？,Why do I have to do this?
ここら辺の出身？,Are you from around here?
ここら辺を夜歩くのは危ないよ。,It's not safe to walk around here at night.
ここら辺にスーパーマーケットってある？,Is there a supermarket around here?
彼はテーブルをひっくり返した。,He turned the table upside down.
我々の道具は全部ひっくり返された。,All our tools have been turned over.
焼きたてパンの香ばしい香りが好き。,I love the savory smell of freshly baked bread.
彼の胸は期待に弾んだ。,His heart fluttered with anticipation.
私の心は喜びではずんだ。,My heart leapt with joy.
ゴムのボールは弾力性があるから弾む。,The rubber ball bounced because of its elasticity.
ボールははずんで塀を飛び越えた。,The ball bounced and jumped over the wall.
すごく寒いです。,It's so cold.
すごく蒸し暑い。,It's so hot and humid.
今日はすごく暑い。,It's very hot today.
すごく感動しました。,I was very impressed.
彼女はすごく色気がある。,She is very sexy.
君はすごく根性があるね。,You're so gutsy.
黒くて、甘くて、しっとりした何か。,"Something black, sweet, and moist."
ぐっすり眠れましたか。,Did you have a good night's sleep?
子猫はぐっすりと眠った。,The kitten slept soundly.
ぐっすり眠れましたか。,Did you get a good night's sleep?
授業中にウトウトしてしまったんだ。,I fell asleep in class.
目が覚めたばかりで、まだウトウトしてたんだ。,He had just woken up and was still out of it.
彼は食事をがつがつとった。,He gobbled up his meal.
彼は食事をがつがつ食べた。,He gobbled down his meal.
時間がどんどん経った。,Time went on and on.
風がどんどん強くなった。,The wind was getting stronger and stronger.
彼はどんどん走り続けた。,He kept running and running.
霧がどんどん濃くなっている。,The fog was getting thicker and thicker.
彼の事業はどんどん伸びている。,His business was getting longer and longer.
彼はテーブルを拳骨でどんどんたたいた。,He pounded the table with his knuckles more and more.
じろじろ人を見てはいけません。,Don't stare at people.
じろじろと私を見ないでくれませんか？,Can you please stop staring at me?
人のことをじろじろながめるのは失礼だ。,It's rude to stare at people.
彼らは彼女の水着を驚きの目でじろじろと見た。,They stared at her swimsuit in surprise.
じろじろ見るな。,Don't stare at me.
彼は私をじろじろ見た。,He stared at me.
他人の顔をじろじろ見るんじゃない。,Don't stare at other people's faces.
そんなじろじろ見つめないでください。,Please don't stare at me like that.
胸がドキドキするよ。,My heart is pounding.
めっちゃドキドキした。,I'm so excited.
わくわくしてた？,Are you excited?
彼女に会えると思うとわくわくする。,I'm excited to see her.
自分の新居にわくわくしている。,I'm excited about my new house.
見ていてハラハラさせられた。,It was very exciting to watch.
それは私にとってはらはらする一瞬だった。,It was a frustrating moment for me.
彼はイライラしていた。,He was frustrated.
君は僕をいらいらさせる。,You irritate me.
彼はその音にいらいらしている。,He's annoyed by the sound of it.
彼の退屈な話にはいらいらする。,His boring stories irritate me.
胸がムカムカします。,My chest feels queasy.
胃がむかむかする。,My stomach is queasy.
その悪臭にむかむかした。,The stench of it makes me sick to my stomach.
朝起きた時むかむかします。,I feel sick when I wake up in the morning.
彼は騒音にぎょっとした。,He was startled by the noise.
驚いてぎょっとする。,He is startled by the noise.
彼はその爆発にぎょっとした。,He was startled by the explosion.
その光景を見てぎょっとした。,He was startled by the sight.
彼の行動は我々をぎょっとさせた。,His actions made us cringe.
私はぞっとした。,I was horrified.
それは私をぞっとさせた。,It creeped me out.
あいつを見るとぞっとするよ。,It creeps me out to see him.
あいつを見るとぞっとするよ。,It creeps me out to look at him.
気づいてた？,Did you notice that?
これに気づいてた？,Did you notice this?
よく気付いたね！,How did you notice that?
何か間違いに気づいた？,Did you notice any mistakes?
それには気付かなかった。,I didn't notice that.
雷がゴロゴロいったよ。,I heard thunder rumbling.
胃がごろごろ音をたてます。,My stomach rumbled.
ざあざあ雨が降った。,It was raining hard.
雨がぽつぽつと降ってきた。,The rain started to fall in patches.
犬が骨をがりがりかじっている。,The dog is gnawing on the bone.
この薩摩芋は生焼けでがりがりする。,This sweet potato is raw and baked.
彼女はほっそりした姿をしている。,She is a slender figure.
縞柄の服で彼女のほっそりした姿が目立つ。,Her striped clothes make her slender figure stand out.
彼女は彼女の妹に劣らずほっそりしている。,She is as slender as her sister.
こってり化粧した顔は異様である。,"Her face, heavily made-up, is bizarre."
こってりあいつの油を絞ってやった。,I squeezed the oil out of her face.
彼女はこってりした食べ物が好きだ。,She likes rich food.
彼女はあっさりと答えた。,She answered easily.
彼はその問題をあっさり解いた。,He solved the problem easily.
今日は何かあっさりした食べ物が食べたいな。,I want to eat something light today.
パンがふんわり焼けた。,The bread was softly baked.
私は今は永久脱毛で肌がツルツルです。,I have smooth skin now with permanent hair removal.
今日は、じめじめして寒いですね。,It's damp and cold today.
じめじめした寒い日は健康に悪い。,Damp and cold days are bad for your health.
彼らは夏のじめじめした気候に慣れている。,They are used to the damp weather of summer.
鼻がムズムズする。,My nose is all mushy.
彼は家に帰りたくてむずむずしていた。,He was itching to go home.
雨がしょぼしょぼ降っている。,The rain is drizzling.
こっそり家に忍び込む。,Sneaking into the house.
彼はこっそりささやいた。,He whispered secretly.
私は彼にこっそり手紙をわたした。,I secretly gave him a letter.
マリーはこっそり家を抜け出した。,Marie sneaked out of the house.
彼女はこっそり笑って感謝の気持ちを表した。,She smiled secretly and expressed her gratitude.
何人が賃上げ交渉に参加しましたか？,How many of you participated in the wage increase negotiations?
何かについて反対する。,Disagree about something.
旅客は歩道橋を使って路線を渡ってください。,Passengers must use the footbridge to cross the line.
通行には歩道橋で線路を渡らなくてはならない。,Passengers have to cross the tracks on the footbridge to get through.
乗る列車を間違えたらしい。,They were on the wrong train.
その案は通った。,The idea passed.
彼、試験に通ったの？,Did he pass the test?
船は橋の下を通った。,The ship went under the bridge.
彼は窓を通って来た。,He came through the window.
この道は通れませんよ。,You can't go this way.
試験に通るには６０点取らないといけない。,You have to get 60 points to pass the exam.
私は田舎へ行く途中小さな村を通った。,I passed through a small village on my way to the country.
行列が学校の側を通った。,A procession passed by the school.
車はそのトンネルの中を通ります。,The car goes through that tunnel.
崖っぷちに沿って狭い道が通っている。,A narrow road runs along the edge of the cliff.
彼はその人を街路を通って駅まで行きました。,He took the person through the streets to the station.
私は昨日彼女の家のそばを通った。,I passed by her house yesterday.
私達は最も近い道を通って駅に行った。,We took the nearest road to the station.
私は学校へバスで通っています。,I take the bus to school.
ここではバスは十分おきに通る。,"Here, the bus goes every ten minutes."
山を通してトンネルを通した。,We passed through a tunnel through the mountain.
すみません、ちょっと通して下さい。,"Excuse me, please let me through."
床下にパイプを通す。,Pass the pipe under the floor.
私は彼を部屋に通した。,I let him into the room.
銅はよく電気を通す。,Copper is a good conductor of electricity.
台本に目を通しておいてください。,Please look over the script.
道を開けて子どもを通してください。,Please open the way and let the child through.
山を通してトンネルを通した。,I put the tunnel through the mountain.
それらは１年を通してずっと飾られている。,They are decorated throughout the year.
こんもりと茂った木々の葉を通して日光が差し込んだ。,Sunlight shone through the thick foliage of the trees.
今日は何曜日ですか?,What day is it today?
今日は月曜日です。,Today is Monday.
今日は火曜日です。,Today is Tuesday.
今日は水曜日です。,Today is Wednesday.
今日は木曜日です。,Today is Thursday.
今日は金曜日です。,Today is Friday.
今日は土曜日です。,Today is Saturday.
今日は日曜日です。,Today is Sunday.
今日は何月何日ですか?,What’s the date today?
今日は何日ですか?,What’s the date today?
今日は24日です。,Today is the 24th.
2012年11月3日 月曜日。,"Monday, November 3rd, 2012."
やがて夜が明けて朝になった。,"Eventually, night fell and morning came."
先日の午後に。,The other afternoon.
水曜日の夕方に。,Wednesday evening.
夜になるのを待って出発する。,We'll wait for night to fall before we leave.
今朝から頭痛がする。,I've had a headache since this morning.
野には朝霧が立ちこめていた。,There was a morning mist in the field.
早朝の冷気の中を散歩する。,I take a walk in the cool early morning air.
明朝７時に私を車で迎えに来てくれますか。,Can you pick me up at 7:00 tomorrow morning?
天気が良ければ、私たちは明朝出発します。,"Weather permitting, we will leave tomorrow morning."
日光では朝方の気温が零度以下になり初氷が張った。,"In Nikko, the morning temperature dropped below zero and the first ice formed."
今何時ですか。,What time is it?
2たす4は6。,Two plus four is six.
4ひく2は2。,4 subtract 2 is 2.
2かける4は8。,2 multiplied by 4 is 8.
4割る2は2。,4 divide 2 is 2.
悪い天気になりますか。,Is it going to be bad weather?
暑くなりますか。,Will it be hot?
気温は何度ぐらいでしょうか。,What will the temperature be?
雨になりますか。,Will it rain?
嵐になりますか。,Will there be a storm?
雪になりますか。,Will it snow?
氷が張りますか。,Will there be ice?
いい風ですね。,It's a nice wind.
雷雨になりますか。,Will there be thunderstorms?
霧が立ちますか。,Will there be fog?
天気が崩れます。,Will the weather break?
涼しくなります。,It will get cooler.
明日の天気予報はどうですか。,What is the weather forecast for tomorrow?
酷暑に耐えられない。,I can't stand the extreme heat.
大都会の酷暑を避ける。,Avoid the extreme heat in the big city.
薄ら寒い天気。,Chilly weather.
快晴に恵まれた。,We were blessed with clear skies.
どんよりとした気分。,A gloomy mood.
どんよりとした空。,A gloomy/overcast sky
どんよりした目。,Clouded eyes.
梅雨らしく空はどんよりしている。,The sky was gloomy like the rainy season.
酷暑の折からお体に気をつけてください。,Please take care of yourself in this extremely hot weather.
海はとても穏やかだった。,The sea was very calm.
穏やかな気候。,Calm weather.
穏やかな一日だった。,It was a calm day.
彼は穏やかな処置をとった。,He took gentle measures.
彼は余生を穏やかに過ごした。,He spent the rest of his life peacefully.
昨夜はひどい雷雨だった。,We had a bad thunderstorm last night.
冷たくて湿っぽい空気。,The air was cold and humid.
かびは湿っぽい所が好きだ。,Molds like damp places.
今日はとても蒸し暑い。,It's very humid today.
梅雨で部屋がじめじめしている。,It's rainy season and the room is damp.
雨の後で地面がじめじめしている。,The ground is damp after the rain.
彼はじめじめした性格だ。,He has a sullen/gloomy personality.
猛暑をどう凌いでいますか。,How are you surviving the heat wave?
冷凍庫の霜を取る。,Defrosting the freezer.
今朝野原に霜がおりていた。,There was frost in the field this morning.
霜で真っ白である。,It was white with frost.
霜に強い品種。,A frost-tolerant variety.
一面に霜がおりている校庭。,The schoolyard with frost all over it.
濃い霧が町にかかっている。,A thick fog hung over the town.
霧が次第に薄らいだ。,The fog gradually thinned.
霧のかかった朝。,Foggy Morning
彼女は霧の中で迷子になった。,She was lost in the fog.
町は霧に包まれている。,The town is shrouded in fog.
その試合は雨天で流れた。,That game was rained out.
運動会は雨天順延になります。,The Sports Day will be postponed in case of rain.
非常の場合に備える。,Prepare for emergencies
非常口はどこにありますか。,Where are the emergency exits located?
その建物には非常口がない。,The building had no emergency exits.
手を触れないでください。,Please do not touch it.
ペンキ塗りたて。,Freshly painted.
芝生に入らないで下さい。,Please stay off the lawn.
起こさないでください。,Please don't wake him up/disturb.
観光案内所にお問い合わせください。,Please inquire at the Tourist Information Center.
観光案内所はどこですか。,Where is the tourist information center?
観光案内所では、ほしい人には誰にでも町の地図をあげました。,The tourist information center gave a city map to whoever asked it.
お手洗いはどこでしょうか。,Where is the restroom?
マナーモードに設定して下さい。,Please set it to silent mode.
先生、この子に応急手当をしてください。,"Doctor, please give this child first aid."
この講座では応急手当の基本的な技能を教えます。,This course teaches basic skills in First Aid.
申し込は明日まで受け付けます。,Applications will be accepted until tomorrow.
これを受付にお出しください。,Please present this to the receptionist.
楽しい休暇を。,Have a nice vacation.
楽しい旅行を。,Have a good trip.
お休みなさい。,Good night.
じゃあ 、失礼しま す。,I’d better be going.
館内では禁煙です。,Smoking is not allowed in the building.
彼は会議では禁煙しようと提案した。,He suggested that there be no smoking at the meeting.
あなたは喫煙をひかえるべきです。,You should abstain from smoking.
喫煙は健康に影響する。,Smoking can affect your health.
この電話は故障中だよ。,This phone is out of order.
コンピューターが故障中で修理しなくてはいけない。,The computer is out of order and must be repaired.
部屋は皆予約済みです。,The rooms are all booked.
この席は予約済みですか？,Is this seat already reserved?
このテーブルは予約済みです。,This table is reserved.
そうなんだけど..,That’s true but... 
そうなんですけど..,That is the case but...
日本人のふりをしました。,I pretended to be Japanese.
若いふりをしました。,I pretended to be young.
病気のふりをして、会社を休みました。,I pretended to be sick and took a day off from work.
忙しいふりをしないで、手伝って下さい。,"Don't pretend to be busy, please help me."
友達はよく、寝たふりをしています。,My friend often acts like he’s sleeping.
最近 、落ち込んでいます。,Recently I have been feeling down.
新型車の売り出しは秋になる予定だ。,The new car is scheduled to go on sale in the fall.
売り出しになる。,It will be on sale.
売り物に出す。,They put for sale
売り物に出る。,Thry go for sale.
彼が我々の案内役を務めた。,He served as our guide.
清掃中の張り紙。,A sign during cleaning.
避難階段の種類について。,Types of evacuation stairs.
特別避難階段との違いも詳しく解説。,Differences from special evacuation stairs are also explained in detail.
特別避難階段の概要。,Outline/overview of the special evacuation stairs.
彼は私に事件の概要を説明した。,He gave me an overview of the case.
彼はわれわれの私有地に不法侵入している無断で通っている。,"He's trespassing on our private property, and he's doing it without permission."
彼は待合室に座っています。,He is sitting in the waiting room.
美術館 行きのバス停留所は、どこですか。,Where is the bus stop for the museum?
エタノールは火気厳禁の危険物であることの周知と共に。,Make sure everyone is aware that ethanol is a dangerous substance that must be kept away from fire.
高圧的な手段をとる。,Take high-pressure measures.
足元に気をつけて。,Mind your step.
足もとにご用心。,Watch your step.
頭上を見上げる。,Look up overhead.
飛行機が頭上を飛んでいる。,An airplane is flying overhead.
ペット禁止。,No pets allowed.
頭上注意。,Head caution (low clearance)
高圧注意。,High voltage warning.
猛犬注意。,Beware of dogs.
タクシー乗り場。,Taxi stand.
営業時間。,Opening hours.
撮影禁止。,No Photography.
お会計。,Pay here.
応急手当。,First-aid (treatment)
営業中。,Open (open for business)
準備中。,In preparation (close for business)
何とかしろ!,Do something!
何とか入れた。,I managed to get in.
そこを何とか。,Do something there.
何とかします。,I'll do something.
何とかしてよー。,Do something!
何とかしてください。,Do something.
私がなんとかしよう。,I'll take care of it.
自分で何とかしたよ。,I took care of it myself.
何とかできると思うよ。,I'll figure it out.
そのうち何とかなるさ。,You'll figure it out.
なんとか納得はしない。,I'm not convinced.
数学は何とか可を取った。,I managed to get a pass in math.
何とかそこから脱出した。,I managed to get out of there.
重いけど、何とか運べます。,"It's heavy, but I can carry it."
彼は試験になんとか合格した。,He managed to pass the exam.
何とか手配してあげましょう。,I'll arrange it somehow.
なんとか終電に間に合ったよ。,I managed to make it to the last train.
急いで何とかバスに乗れました。,I hurried and managed to catch the bus.
なんとか時間どおりに駅に着いた。,I managed to arrive at the station on time.
傷から流れる血をなんとかしなさい。,Do something about the blood flowing from the wound.
なんて綺麗な夕日。,What a beautiful sunset.
なんて強い風なの！,What a strong wind!
これなんていうの？,What do you call this?
なんて賢い犬なんだ！,What a clever dog!
食欲なんてありません。,I have no appetite.
海外旅行なんて無理よ。,I can't travel abroad.
なんて面白い本なんだ！,What a funny book!
犬なんかちっとも恐くない。,I'm not afraid of dogs at all.
この玩具は女の子むけだ。,This toy is for girls.
その小説は子供むけでない。,The novel is not for children.
この本は普通の読者向けだ。,This book is for ordinary readers.
これは子供向けの物語の本だ。,This is a book of stories for children.
初心者向けのコースはありますか。,Do you have a beginner's course?
その映画は子供向きだ。,The movie is for children.
これは若者向きの車です。,This is a car for young people.
この本は初心者向きである。,This book is for beginners.
この本は子供向きに書き換えてある。,The book has been rewritten to be suitable for children.
彼は太っているくせに声は細い。,"He is fat, but his voice is thin."
冬が近づきつつある。,Winter is approaching.
人口は増加しつつある。,The population is growing.
太陽が今昇りつつある。,The sun is rising now.
物価が上がりつつある。,Prices are rising.
大気が汚染されつつある。,The air is becoming polluted.
彼女は目方がふえつつある。,Her eyes are getting bigger.
