Rank,Words,Note,Sentences,Translation,Remarks
196,返る,"kaeru [v] return, come back",落とし物が持ち主に返る。,Lost items may return to their owners.,"196- 返る/kaeru [v] return, come back"
197,てもらう,temorau [cp] to have someone do something,お父さんにこのおもちゃを買ってもらう 。,I will have my father buy this toy.,197- てもらう/temorau [cp] to have someone do something
198,掛ける,kakeru [v] to hang,上着をハンガーに掛けてください。,"Hang your jacket on a hanger, please.",198- 掛ける/kakeru [v] to hang
199,終わる,"owaru [v] to finish, to end",もう少しでこのプロジェクトが終わる。,This project will be finished soon.,"199- 終わる/owaru [v] to finish, to end"
200,意味,"imi [n] meaning, sense",上 司の言っている言葉の意味がわからない。,I don't understand what my boss means.,"200- 意味/imi [n] meaning, sense"
201,のである,no de aru [cp] assertation,この公 園はオリンピックを記念してつくられたのである。,This park was built to commemorate the Olympics.,201- のである/no de aru [cp] assertation
202,いろんな,ironna [adn] various,この絵はいろんな色が使われているね。,This picture uses various colors.,202- いろんな/ironna [adn] various
203,付ける,"tsukeru [v] put, attach, apply",虫刺されにかゆみ止めを付ける。,Apply anti-itch cream on insect bites.,"203- 付ける/tsukeru [v] put, attach, apply"
204,形,"katachi [n] form, shape, figure",まる、三 角、四角の他にどんな形があるだろう。,"What other shapes are there besides circles, triangles and squares?","204- 形/katachi [n] form, shape, figure"
205,かなり,"kanari [adv] considerably, quite",今度の台 風はかなり大きいらしい。,The next typhoon seems to be quite big.,"205- かなり/kanari [adv] considerably, quite"
206,三,san [num] three,一、二、三の合図で鬼ごっこしよう。,"Let’s play tag on the count of one, two, and three.",206- 三/san [num] three
207,最初,saisho [n] first,最初は誰でもわからない事が多い。,There are many things that no one understands at first.,207- 最初/saisho [n] first
208,間,"aida [n] distance, period, between",この壁と壁の間に棚を作ります。,We will build a shelf between these walls.,"208- 間/aida [n] distance, period, between"
209,感じる,kanjiru [v] feel,今朝の風は肌に寒く感じる。,This morning's wind feels cold on my skin.,209- 感じる/kanjiru [v] feel
210,しか,"shika [p] only, just, no more than",財布に百円しか入っていない。,I only have one-hundred yen in my wallet.,"210- しか/shika [p] only, just, no more than"
211,かかる,"kakaru [v] hang, take, cost",この家を改 築するにはかなりの費用がかかる。,It will cost a lot to renovate this house.,"211- かかる/kakaru [v] hang, take, cost"
212,大きな,"ookina [adj] big, great",人 間の子供ぐらいの大きな犬がいた。,There was a big dog about the size of a human child.,"212- 大きな/ookina [adj] big, great"
213,住む,sumu [v] live,このアパートに住むことにしよう。,We will live in this apartment.,213- 住む/sumu [v] live
214,最近,"saikin [adj] recently, lately",最 近は高齢者による車の事故が増えている。,"Recently, car accidents caused by elderly people are increasing.","214- 最近/saikin [adj] recently, lately"
215,特に,"tokuni [adv] especially, particularly",最 近は特にSTEMコースに人気がある。,STEM courses have been particularly popular latel,"215- 特に/tokuni [adv] especially, particularly"
216,誰,"dare [pron] whom whose, whom",ここに荷物を置いたのは誰ですか。,Who left their luggage here?,"216- 誰/dare [pron] whom whose, whom"
217,こんな,"konna [adn] such, like that",こんなおいしいケーキは食べたことがない。,I have never eaten such a delicious cake.,"217- こんな/konna [adn] such, like that"
218,友達,tomodachi [n] friend,友達は一 生の宝だ。,Friends are a lifetime treasure.,218- 友達/tomodachi [n] friend
219,大きい,"ookii [i-adj] big, great, large",あそこに見える大きい家が祖父の家です,The large house over there is my grandfather's.,"219- 大きい/ookii [i-adj] big, great, large"
220,すぐ,sugu [adv] soon,この書 類をすぐに届けてもらえますか。,Can you deliver this document soon?,220- すぐ/sugu [adv] soon
221,一緒,"issho [n] together, with",友 達と一緒にディナーに行った。,I went out for dinner with a friend.,"221- 一緒/issho [n] together, with"
222,生活,seekatsu [n] life,新しい街での生 活はどうですか。,How’s life in the new city?,222- 生活/seekatsu [n] life
223,国,kuni [n] country,違う国から来た人と友 達になった。,I became friends with people who came from different countries.,223- 国/kuni [n] country
224,あげる,"ageru [v] raise, lift",質 問がある人は、手をあげてください。,"If you have any questions, please raise your hand.","224- あげる/ageru [v] raise, lift"
225,あんた,anta [pron] you (informal),あんたは最 近どうしてるの。,How have you been lately?,225- あんた/anta [pron] you (informal)
226,あなた,anata [pron] you,あなたの今日の予定は何ですか。,What is your plan for today?,226- あなた/anata [pron] you
227,現在,"genzai [n] current, now",現 在の気温は二十六度です。,The current temperature is 26 degrees.,"227- 現在/genzai [n] current, now"
228,高い,"takai [i-adj] high, tall, expensive",日本ではバターの値段が高いね,Butter is expensive in Japan.,"228- 高い/takai [i-adj] high, tall, expensive"
229,なんて,nante [adv] how ...! what...!,なんて親 切な人だろう。,How kind he is!,229- なんて/nante [adv] how ...! what...!
230,悪い,warui [i-adj] bad,悪いのは僕だ。,It was my bad.,230- 悪い/warui [i-adj] bad
231,気持ち,kimochi [n] feeling,彼 女の気持ちを傷つけたくない。,I don’t want to hurt her feelings.,231- 気持ち/kimochi [n] feeling
232,乗る,"noru [v] ride, get on, take",ジェットコースターは一 番後ろに乗るのが好きだ。,I like riding at the back of rollercoasters.,"232- 乗る /noru [v] ride, get on, take"
233,において,"ni oi te [cp] at, in, on",音楽において、彼の才能は特別だ。,He is exceptionally talented in music.,"233- において/ni oi te [cp] at, in, on"
234,見える,"mieru [v] can see, be seen",ビルの高 層 階から見える眺めは最 高だ。,The view I can see from the high floors of the building is amazing.,"234- 見える/mieru [v] can see, be seen"
235,変わる,"kawaru [v] change, transform",水は温度によって質が変わる。,Water’s state changes with its temperature.,"235- 変わる/kawaru [v] change, transform"
236,べし,"beshi [aux] must, should",お寺では靴は脱ぐべしと注意書きがある,"At the temple, there is a notice saying that we should remove our shoes.","236- べし/beshi [aux] must, should"
237,あるいは,"aruiwa [conj] or, perhaps",ランチ、あるいはお茶をしましょう,Let’s get together for lunch or tea.,"237- あるいは/aruiwa [conj] or, perhaps"
238,大変,"aihen [na-adj] serious, terrible, difficult",大 変な問 題がおきた。,A serious problem occurred.,"238- 大変/taihen [na-adj] serious, terrible, difficult"
239,による,"ni yoru [cp] due to, based on",性別による差別は禁止されている,Discrimination based on gender is prohibited.,"239- による/ni yoru [cp] due to, based on"
240,会社,"kaisha [n] company, firm",会社の電話番号が新しくなった。,The company got a new phone number.,"240- 会社/kaisha [n] company, firm"
241,ほとんど,"hotondo [adv] most, almost, nearly",ほとんどの人は電 車で仕事に行く。,Most people take a train to go to work.,"241- ほとんど/hotondo [adv] most, almost, nearly"
242,実際,"jissai [n] actually, in fact",実際、魚料理は好きではない。,"In fact, I don't like fish dishes.","242- 実際/jissai [n] actually, in fact"
243,先生,sensee [n] teacher,空手の先 生から礼儀を教わった。,I learned manners from my karate teacher.,243- 先生/sensee [n] teacher
244,彼女,"kanojo [pron] she, girlfriend",今週末は彼 女とデートする。,I have a date with my girlfriend this weekend.,"244- 彼女/kanojo [pron] she, girlfriend"
245,二人,"futari [n] two people, a couple",このゴンドラは二人乗りだ。,This gondola is for two people.,"245- 二人/futari [n] two people, a couple"
246,心,"kokoro [n] mind, heart",心から感謝する。,I thank you from the bottom of my heart.,"246- 心/kokoro [n] mind, heart"
247,らしい,"rashii [aux] seem, look",この道の先で事故があったらしい。,It seems there has been an accident down the road.,"247- らしい/rashii [aux] seem, look"
248,金,kane [n] money,金のなる木が欲しい。,I wish I had a money tree.,248- 金/kane [n] money
249,顔,kao [n] face,このタオルで顔を拭いてください。,Please wipe your face with this towel.,249- 顔/kao [n] face
250,いただく,itadaku [v] to receive (humble),昔の先 生から贈り物をいただく。,I sometimes receive gifts from my old teacher.,250- いただく/itadaku [v] to receive (humble)
251,ずっと,"zutto [adv] all the time, for a long time",ずっと秘密にしていることがある。,I have a secret that I have been keeping for a long time.,"251- ずっと/zutto [adv] all the time, for a long time"
252,さらに,"sarani [adv] moreover, further, additionally",さらに最新の治療法が研究されている。,New treatments are being researched further.,"252- さらに/sarani [adv] moreover, further, additionally"
253,町,"machi [n] town, city",この町には小 学校が二つある。,There are two elementary schools in this town.,"253- 町/machi [n] town, city"
254,街,"machi [n] town, city",この街は若者に人気のスポットが多い。,This town has a lot of spots appealing to young people.,"254- 街/machi [n] town, city"
255,及び,"oyobi [conj] as well as, and",お年寄り及び子供連れの家族は、先に入場してください。,Elderly people as well as families with small children are invited to enter first.,"255- 及び/oyobi [conj] as well as, and"
256,沢山,"takusan [adv] many, much, a lot",今年のハロウィーンは沢山の人で道が賑わった。,The streets were crowded with many people for Halloween this year.,"256- 沢山/takusan [adv] many, much, a lot"
257,いい,"ii [adj] good, fine",この香水はいい香りがする。,This perfume has a good fragrance.,"257- いい/ii [adj] good, fine"
258,大体,"daitai [adv] approximately, about, almost",予想値は大体合っていた。,The estimate was about accurate.,"258- 大体/daitai [adv] approximately, about, almost"
259,もちろん,"mochiron [adv] of course, needless to say",もちろん喜んで参加します。,"Of course, I will be happy to participate.","259- もちろん/mochiron [adv] of course, needless to say"
260,読む,yomu [v] read,まず教 科書を読む。,I read my textbook first.,260- 読む/yomu [v] read
261,人たち,hito-tachi [n] people,パーティでおもしろい人たちに会った。,I met interesting people at the party.,261- 人たち/hito-tachi [n] people
262,今日,kyoo [n] today,今日から新学期が始まる。,The new semester starts today.,262- 今日/kyoo [n] today
263,昔,"mukashi [n] ancient times, in the past, long ago",昔、人々は川で洗濯をしていた。,"Long ago, people used to wash clothes in the river.","263- 昔/mukashi [n] ancient times, in the past, long ago"
264,うん,un [interj] yeah,「うん」ではなくて、「はい」と返事をしなさい。,"When you reply, say ""yes' instead of ""yeah"".",264-うん/un [interj] yeah
265,すべて,"subete [n] everything, all",時間通りにすべての仕事を終わらせた。,I finished all the work on time.,"265- すべて/subete [n] everything, all"
266,教える,"oshieru [v] teach, tell",今年から新しい学 校で教えることになった。,I am going to teach at a new school from this year.,"266- 教える/oshieru [v] teach, tell"
267,子,"ko [n] child, children",公園の砂場で小さい子が遊んでいる。,Small children are playing in the sandpit in the playground.,"267- 子/ko [n] child, children"
268,ておく,te oku [cp] having it done in advance,この仕事は先にしておくように。,You should get this job done first.,268- ておく/te oku [cp] having it done in advance
269,に対して,"ni taishite [cp] towards, regarding",フォーラムで環境問題に対して意見を述べる。,I will be presenting my opinion regarding environmental issues at the forum.,"269- に対して/ni taishite [cp] towards, regarding"
270,ばかり,"bakari [p] only, nothing but",息子がゲームばかりしている。,My son does nothing but play video games.,"270- ばかり/bakari [p] only, nothing but"
271,なぜ,"naze [adv] why, how come",四歳の子供は、いつも「なぜ」と言う。,"Four-year-olds are always asking ""why"".","271- なぜ/naze [adv] why, how come"
272,水,mizu [n] water,運動の前には沢 山 水を飲んだ方がいい。,You should drink a lot of water before exercising.,272- 水/mizu [n] water
273,当時,"tooji [n] then, at that time",当時はこのあたりは野原だった。,"Back then, this area was all green fields.","273- 当時/tooji [n] then, at that time"
274,場所,"basho[n] place, spot",間違えて違う場所に行ってしまった。,I made a mistake and went to a wrong place.,"274- 場所/basho[n] place, spot"
275,置く,"oku [v] put, place, leave behind",手荷物を席の上の棚に置く。,Put your carry-on bags on the shelf above you.,"275- 置く/oku [v] put, place, leave behind"
276,楽しい,"tanoshii [i-adj] pleasant, happy, enjoyable",楽しい話が聞けて嬉しい,I am glad that I got to hear pleasant news.,"276- 楽しい/tanoshii [i-adj] pleasant, happy, enjoyable"
277,にとって,ni totte [cp] for,子供にとって、母親の愛情が大切だ。,A mother's love is important for children.,277- にとって/ni totte [cp] for
278,声,koe [n] voice,声の大きい人がいる。,There is someone with a loud voice.,278- 声/koe [n] voice
279,普通,"futsuu [na-adj] ordinary, normal",普通の人生も悪くない。,Having an ordinary life isn't too bad.,"279- 普通/futsuu [na-adj] ordinary, normal"
280,残る,"nokoru [v] remain, be left",十から三を引くと、七が残る。,Ten minus three leaves seven.,"280- 残る/nokoru [v] remain, be left"
281,最後,"saigo [n] last, end",今日の最後の電車に乗り遅れたら大変だ。,I will be in trouble if I miss the last train of the day.,"281- 最後/saigo [n] last, end"
282,車,"kuruma [n] car, wheel",地方では買い物に行くのに車がいる。,You need a car to go grocery shopping in the countryside.,"282- 車/kuruma [n] car, wheel"
283,初めて,"hajimete [adv] first, for the first time",初めて学校に行く日は緊張した。,I was nervous on my first day at school.,"283- 初めて/hajimete [adv] first, for the first time"
284,今度,kondo [n] next time,今度は歌舞伎を観に行きましょう。,Let's go see a Kabuki show next time.,284- 今度/kondo [n] next time
285,体,karada [n] body,シャワーで体を洗いなさい。,Wash your body in the shower.,285- 体/karada [n] body
286,私達,watashi,私達は新しい所へ引っ越します。,We are moving to a new place.,286- 私達/watashi-tachi [pron] we
287,強い,"tsuyoi [i-adj] strong, powerful",今年のチームは強い。,Our team is strong this year.,"287- 強い/tsuyoi [i-adj] strong, powerful"
288,全く,"mattaku [adv] entirely, completely, absolutely",その問 題には全く気付かなかった。,I was completely unaware of the problem.,"288- 全く/mattaku [adv] entirely, completely, absolutely"
289,呼ぶ,yobu [v] call,お母さんの呼ぶ声が聞こえる。,I hear my mother calling out for me.,289- 呼ぶ/yobu [v] call
290,結局,"kekkyoku [adv] after all, finally",結局、元の場所に戻ってしまった。,"After all, I found myself back at the start.","290- 結局/kekkyoku [adv] after all, finally"
291,歩く,aruku [v] walk,道を歩く時は車に気をつけてください。,Beware of cars when you walk on the sidewalk.,291- 歩く/aruku [v] walk
292,男,"otoko [n] man, male",男の人のトイレはあちらです。,The men's bathroom is over there.,"292- 男/otoko [n] man, male"
293,女性,"josei [n] female, woman",女性向けのシャンプーはいい香りがする。,Women's shampoo has a good fragrance.,"293- 女性/josei [n] female, woman"
294,学校,"gakkoo [n] school, academy",学校で学級委員に選ばれた。,I was elected as the class president at school.,"294- 学校/gakkoo [n] school, academy"
295,生きる,ikiru [v] live,外国で生きるのは大 変だ。,It's hard to live in a foreign country.,295- 生きる/ikiru [v] live
296,なかなか,"nakanaka [adv] fairly, quite",バイオリンを弾くのがなかなか上手にならない。,I can't quite make any improvement at playing the violin.,"296- なかなか/nakanaka [adv] fairly, quite"
297,先,"saki [n] prior, end",漢字よりも先にひらがなを学びましょう。,Learn hiragana prior to kanji.,"297- 先/saki [n] prior, end"
298,もっと,motto [adv] more,もっと大きな声で返事をするように。,Please answer louder.,298- もっと/motto [adv] more
299,ことが出来る,"koto ga dekiru [cp] can do, be able to",彼はバイオリンを弾くことが出来る。,He can play the violin.,"299- ことが出来る/koto ga dekiru [cp] can do, be able to"
300,テーマ,teema [n] theme,この映画のテーマは人権問題だ。,The theme of this film is human rights issues.,300- テーマ/teema [n] theme
301,世界,"sekai [n] the world, society",世界にはいろいろな食べ物がある。,There are various foods in the world.,"301- 世界/sekai [n] the world, society"
302,状態,"jootai [n] state, condition",今の国際関係は戦前の状態に似ている。,The world looks like it’s in a pre-war state now.,"302- 状態/jootai [n] state, condition"
303,もし,"moshi [adv] if, in case",もし地震が来たら、急いで逃げるように。,"If an earthquake strikes, evacuate immediately.","303- もし/moshi [adv] if, in case"
304,全然,"zenzen [adv] not at all, entirely",全然 痩せないのはなぜだろう。,Why can't you lose weight at all?,"304- 全然/zenzen [adv] not at all, entirely"
305,飲む,"nomu [v] drink, swallow",運動の前に水を飲む。,Drink water before a workout.,"305- 飲む/nomu [v] drink, swallow"
306,新しい,"atarashii [i-adj] new, fresh",新しい先生に会うのが楽しみだ。,I'm looking forward to meeting my new teacher.,"306- 新しい/atarashii [i-adj] new, fresh"
307,はやい,"hayai [i-adj] fast, quick, early",明日の朝ははやいので今夜はもう寝よう。,"Let's go to bed, as we have an early start tomorrow morning.","307- はやい/hayai [i-adj] fast, quick, early"
308,会う,"au [v] meet, encounter, see",姪っ子が会うたびに大きくなっている。,"Every time I see my niece, she is getting bigger and bigger.","308- 会う/au [v] meet, encounter, see"
309,アメリカ,"amerika [n] America, USA, the U.S",アメリカの西 海 岸のビーチが好きだ。,I like beaches on the West Coast in the U.S.,"309- アメリカ/amerika [n] America, USA, the U.S"
310,あれ,"are [n] that, something",あれは何だろう?。,What is that?,"310- あれ/are [n] that, something"
311,小さい,"chiisai [i-adj] small, tiny",小さい貝 殻を浜辺でみつけた,I found small seashells on the beach.,"311- 小さい/chiisai [i-adj] small, tiny"
312,相手,"aite [n] companion, partner, other party, opponent",ネットゲームの相手を募集する。,I am looking for an online game partner.,"312- 相手/aite [n] companion, partner, other party, opponent"
313,母,haha [n] one’s mother,母は九州で育ちました。,My mother grew up in Kyushu.,313- 母/haha [n] one’s mother
314,以上,"ijoo [n] not less than, beyond",この乗り物は五歳以上向けです。,This ride is for children aged 5 years and older.,"314- 以上/ijoo [n] not less than, beyond"
315,関係,"kankei [n] relation, relationship",職場でよくある問 題は人間関係だ。,One of the most common issues at work is personal relationships.,"315- 関係/kankei [n] relation, relationship"
316,四,yon [num] four,ねこを四匹飼っています。,I have four cats.,316- 四/yon [num] four
317,たぶん,"tabun [adv] perhaps, probably",この計算でたぶん合っていると思います。,I think this calculation is probably correct.,"317- たぶん/tabun [adv] perhaps, probably"
318,店,"mise [n] store, resaurant",食料品のお店に行きたい。,I want to go to a grocery store.,"318- 店/mise [n] store, resaurant"
319,どんな,donna [adn] what kind of,どんな絵が好きですか。,What kind of art do you like?,319- どんな/ donna [adn] what kind of
320,頭,atama [n] head,自転車に乗る時は、ヘルメットをかぶって頭を守る。,Put on a helmet to protect your head when you ride your bicycle.,320- 頭/atama [n] head
321,電話,"denwa [n] (telephone) call, telephone (devise)",もうすぐ電話がかかってくる時間だ。,I am expecting a call soon.,"321- 電話/denwa [n] (telephone) call, telephone (devise)"
322,長い,"nagai [i-adj] long (distance, time, length)",長い夏休みの後は朝起きるのが大変だ。,It's hard to wake up in the morning after a long summer break.,"322- 長い/nagai [i-adj] long (distance, time, length)"
323,ことになる,koto-ni-naru [cp] it is going to be that,電車の時間が変わることになる。,The train schedule is going to change.,323- ことになる/koto-ni-naru [cp] it is going to be that
324,本,hon [n] book,本は想像力を養うのによい。,Reading books nurtures the imagination.,324- 本/hon [n] book
325,どの,"dono [adn] which, what",どの電 車に乗ればいいのかな。,Which train should I take?,"325- どの/dono [adn] which, what"
326,こちら,kochira [n] here,こちらに来て下さい。,Please come here.,326- こちら/kochira [n] here
327,いわゆる,iwayuru [adv] the so,いわゆるアイドルには興 味がない。,I am not interested in so-called idols.,327- いわゆる/iwayuru [adv] the so-called
328,わ,wa [p] at sentence end; female term,とても嬉しいわ。,I am so happy.,328- わ/wa [p] at sentence end; female term
329,夜,"yoru [n] evening, night",夜は電気代が安くなる。,Electricity is cheaper at night.,"329- 夜/yoru [n] evening, night"
330,別,"betsu [na-adj] distinction, different",リサイクルゴミは別の日に出す。,We put out recyclable trash on a different day.,"330- 別/betsu [na-adj] distinction, different"
331,者,"mono [n] person, people",係の者が対 応いたします。,The person in charge will take care of you.,"331- 者/mono [n] person, people"
332,タイトル,taitoru [n] title,その本のタイトルは何。,What is the title of that book?,332- タイトル/taitoru [n] title
333,親,"oya [n] parent, parents",親は介護が必 要になってきたようだ。,My parents seem to be needing more care.,"333- 親/oya [n] parent, parents"
334,名前,"namae [n] name, full name, given name",ここに名前を書いてください。,Please write down your name here.,"334- 名前/namae [n] name, full name, given name"
335,全部,"zenbu [adv] all, entire",ごみは全部捨てなさい。,Throw away all the garbage.,"335- 全部/zenbu [adv] all, entire"
336,皆さん,"minasan [n] everyone, all",皆さんのおかげでこのイベントは大成功になりました。,"Thanks to everyone, this event was a huge success.","336- 皆さん/minasan [n] everyone, all"
337,により,"ni-yori [cp] according to, due to",新しい税率により、徴収されています。,Tax is being collected according to the new tax rate.,"337- により/ni-yori [cp] according to, due to"
338,きれい,"kiree [na-adj] pretty, beautiful, clean",きれいな色の服を着ると明るい気持ちになる,Wearing pretty colored clothes puts me in a happy mood.,"338- きれい/kiree [na-adj] pretty, beautiful, clean"
339,立つ,tatsu [v] stand up,乾 杯のときは立つ,Stand up when making a toast.,339- 立つ/tatsu [v] stand up
340,毎日,"mainichi [n] every day, daily",ダイエットするには、毎日の運動が欠かせない。,Daily exercise is essential for dieting.,"340- 毎日/mainichi [n] every day, daily"
341,為に,"tameni [conj] for, to one's advantage",子供の夏休みの宿題の為に朝顔を育てる。,We are growing morning glories for my children’s summer homework.,"341- 為に/tameni [conj] for, to one's advantage"
342,おいしい,"oishii [i-adj] delicious, sweet",この地域にはおいしい食べ物が多いね。,This region has a lot of delicious food.,"342- おいしい/oishii [i-adj] delicious, sweet"
343,または,"matawa [conj] or, otherwise",コーヒーまたは紅茶はがいかがですか。,Would you care for coffee or tea?,"343- または/matawa [conj] or, otherwise"
344,家族,kazoku [n] family,家族旅行に行く。,We are going on a family trip.,344- 家族/kazoku [n] family
345,に対する,"ni-taisuru [cp] with regard to, towards",人に対する敬意を忘れてはならない。,Never forget respect towards others.,"345- に対する/ni-taisuru [cp] with regard to, towards"
346,部分,"bubun [n] portion, section",おいしい部分を先に食べる。,I eat the yummy part first.,"346- 部分/bubun [n] portion, section"
347,一度,"ichido [n] once, on one occasion",一度試してみるべきだ。,You should try it once.,"347- 一度/ichido [n] once, on one occasion"
348,結果,"kekka [n] result, consequence",病院に電話して検査の結果を聞く。,Call the hospital to get the test results.,"348- 結果/kekka [n] result, consequence"
349,じゃ,"ja [conj] then, so",じゃ、その時に会おうね。,See you then!,"349- じゃ/ja [conj] then, so"
350,状況,"jookyoo [n] state of affairs, circumstance",今の状況では、いい結果は期待できません,"Under the current circumstances, we can’t expect a good outcome.","350- 状況/jookyoo [n] state of affairs, circumstance"
351,時代,"jidai [n] period, era, those days",時代によって人の生き方が違う。,People's way of life was different in each era.,"351- 時代/jidai [n] period, era, those days"
352,少ない,"sukunai [i-adj] few, a little, insufficient",今月は収入が少ない。,My income is low this month.,"352- 少ない/sukunai [i-adj] few, a little, insufficient"
353,うまい,"umai [i-adj] skillful, expert, delicious",彼は本当に運転がうまい。,He is a highly skilled driver.,"353- うまい/umai [i-adj] skillful, expert, delicious"
354,覚える,"oboeru [v] memorize, remember",顔と名前を覚える。,Remember the face and the name.,"354- 覚える/oboeru [v] memorize, remember"
355,東京,tookyoo [n] Tokyo,東京はどこに行っても混んでいる。,Tokyo is crowed wherever you go.,355- 東京/tookyoo [n] Tokyo
356,てある,te-aru [cp] has already been done,私の名前がもう登録してある。,My name has already been registered.,356- てある/te-aru [cp] has already been done
357,続く,"tsuzuku [v] continue, last",道が遠くまで続く。,The road continues for a long way.,"357- 続く/tsuzuku [v] continue, last"
358,における,"ni-okeru [cp] as for, in",この分野における進歩はすごい。,Much progress has been made in this field of study.,"358- における/ni-okeru [cp] as for, in"
359,俺,"ore [pron] I, me (male term; very casual, rough or arrogant)",俺は鹿児島生まれだ。,I was born in Kagoshima.,"359- 俺/ore [pron] I, me (male term; very casual, rough or arrogant)"
360,生まれる,umareru [v] to be born,もうすぐ子供が生まれる。,We are expecting our child to be born soon.,360- 生まれる/umareru [v] to be born
361,父,chichi [n] one’s father,父は忙しくてあまり家にいません。,My father is so busy that he is rarely at home.,361- 父/chichi [n] one’s father
362,確か,"ashika [na-adj] sure, certain, definite",確かに見たことがある。,I have seen it for sure.,"362- 確か/tashika [na-adj] sure, certain, definite"
363,それぞれ,"sorezore [n] each, respectively",それぞれ好みがちがう。,Each of us has different tastes.,"363- それぞれ/sorezore [n] each, respectively"
364,方法,"hoohoo [n] method, way",違う方 法でやってみよう。,Let's try a different method.,"364- 方法/hoohoo [n] method, way"
365,はず,"hazu [n] should be, bound to be",時間が変わったことは、みんな知っているはずです。,They should all know that the time has been changed.,"365- はず/hazu [n] should be, bound to be"
366,説明,setsumee [n] explanation,よく説明を聞かないとわからない。,I would be lost if I don’t listen to the explanation carefully.,366- 説明/setsumee [n] explanation
367,なければいけない,"nakereba-ikenai [cp] have to do, ought to",この宿題は終わらせなければならない。,I ought to complete this homework.,"367- なければいけない/nakereba-ikenai [cp] have to do, ought to"
368,部屋,"heya [n] room, apartment",部屋を掃除する。,I will clean up my room.,"368- 部屋/heya [n] room, apartment"
369,ちょうど,"choodo [adv] exactly, just",ちょうど今日が誕生日です。,It just happens to be my birthday.,"369- ちょうど/choodo [adv] exactly, just"
370,当然,"toozen [na-adj] naural, as a matter of course",彼が怒ったのも当然だ。,It is only natural that he got angry.,"370- 当然/toozen [na-adj] naural, as a matter of course"
371,大学,"daigaku [n] university, college",都心から離れた大学に通いたい。,I want to go to a college outside the city.,"371- 大学/daigaku [n] university, college"
372,ですから,"desukara [conj] so, therefore",地方ですから交通の便はよくない。,It is a rural area so transportation is not so convenient.,"372- ですから/desukara [conj] so, therefore"
373,実,"jitsu [n] truth, reality",実は、鍵をなくしてしまいました。,"To tell you the truth, I have lost my key.","373- 実/jitsu [n] truth, reality"
374,朝,asa [n] morning,朝と夜は寒い。,It's chilly in the morning and at night.,374- 朝/asa [n] morning
375,どんどん,"dondon [adv] rapidly, increasingly",どんどん暗くなる。,It's rapidly getting darker.,"375- どんどん/dondon [adv] rapidly, increasingly"
376,得る,"eru [v] earn, acquire",本から知識を得る。,You acquire knowledge from books.,"376- 得る/eru [v] earn, acquire"
377,とにかく,"tonikaku [adv] anyhow, regardless",とにかく早く始めよう。,"Anyhow, let's get started.","377- とにかく/tonikaku [adv] anyhow, regardless"
378,選ぶ,"erabu [v] choose, select",抽選で当選者を選ぶ。,The winner will be selected by lottery.,"378- 選ぶ/erabu [v] choose, select"
379,面白い,"omoshiroi [i-adj] interesting, amusing , funny",コメディ映画は面 白い。,Comedy movies are amusing.,"379- 面白い/omoshiroi [i-adj] interesting, amusing , funny"
380,戻る,"modoru [v] return, turn back",道を間違ったので元に戻る。,"Since I have taken a wrong turn, I am returning to the start.","380- 戻る/modoru [v] return, turn back"
500,含む,"fukumu [v] contain, include",このケーキにはグルテンが含まれている。,This cake contains gluten.,"500- 含む/fukumu [v] contain, include"
501,地域,"chiiki [n] area, region",この地域では伝統的な祭りがある。,There is a traditional festival in this region.,"501- 地域/chiiki [n] area, region"
502,我が,"waga [pron] my, our, one's own",我が家では犬を飼っています,I have a dog in my house.,"502- 我が/waga [pron] my, our, one's own"
503,どうしても,"dooshitemo [adv] by all means, no matter what",どうしても仕上げないといけないことがある。,"I have something I need to complete, no matter what.","503- どうしても/dooshitemo [adv] by all means, no matter what"
504,のに,"noni [p] although, in spite of",気を付けたのに、また間違えた。,"I made a mistake again, although I was being very careful.","504- のに/noni [p] although, in spite of"
505,娘,musume [n] my,娘 に着物を買う。,I am buying a kimono for my daughter.,"505- 娘/musume [n] my/our daughter, unmarried girl"
506,見せる,"miseru [v] show, display",新しい車を見せる。,I will show you my new car.,"506- 見せる/miseru [v] show, display"
507,一日,ichinichi [n] one day,一 日ですべてのテストを受けなければならない。,You must take all the tests in one day.,507- 一日/ichinichi [n] one day
508,今年,kotoshi [n] this year,今年は日本語を勉強します。,I will study Japanese this year.,508- 今年/kotoshi [n] this year
509,平成,heesee [n] Heisei era,平 成の時代は経済が停 滞した。,The economy stagnated during the Heisei era.,509- 平成/heesee [n] Heisei era
510,図,"zu [n] drawing, diagram, figure",参考資料の図をご覧ください。,Please see the diagram in the reference material.,"510- 図/zu [n] drawing, diagram, figure"
511,紹介,"shookai [n] introduction, referral",友達に彼を紹介してもらった。,My friend introduced me to him.,"511- 紹介/shookai [n] introduction, referral"
512,合わせる,"awaseru [v] match, join together",靴下の右と左を合わせる。,Match the right and left socks.,"512- 合わせる/awaseru [v] match, join together"
513,安い,"yasui [i-adj] cheap, inexpensive",安いチケットが手にはいった。,I got a cheap ticket.,"513- 安い/yasui [i-adj] cheap, inexpensive"
514,夢,yume [n] dream,私には大きな夢があります。,I have a big dream.,514- 夢/yume [n] dream
515,つらい,"surai [i-adj] (emotionally) hard, heart-breaking",二日酔いで、つらい。,I am having a hard time with a hangover.,"515- つらい/tsurai [i-adj] (emotionally) hard, heart-breaking"
