Expression,Translation
ありがとうございました。またお越しくださいませ,Thank you very much. Please come again.
お気をつけてお帰りください,Please take care on your way home.
何時に閉店しますか,What time do you close?
7時まで開いております,We are open until 7:00.
営業時間は何時から何時までですか,What are the hours of operation?
午前１０時から午後８時まででございます,We are open from 10:00 a.m. to 8:00 p.m.
24時間営業です,We are open 24 hours a day.
定休日はいつですか,When are you closed?
毎週月曜日です,Every Monday.
第3水曜日になります,The third Wednesday of the month.
年中無休で,Open all year round
お手洗いはどこですか,Where is the restroom?
あちらの奥でございます,It's in the back over there
廊下の突き当たりでございます,It's at the end of the hallway
ここをまっすぐ行った突き当たりの右にございます,Straight ahead and to the right at the end of the hallway
あちらの靴売り場の奥にございます,"It's over there, behind the shoe department."
お店を出て、右に少し行ったところにございます,A little to the right as you exit the store
エスカレーターで2階に上がると、左手奥にございます,Take the escalator up to the second floor and you will find us on the far left.
1階と2階の階段付近にございます,It's near the stairs between the first and second floors.
もう一度よろしいですか,May I ask again?
もう一度おっしやっていただけますか,Could you please repeat that?
お調べしますので、しばらくお待ちください,Please wait a moment while we check.
確認いたしますので、少々お待ちください,Please wait a moment so we can check.
申し訳ございません。ちょっとわかりかねます,"I'm sorry, sir. I'm a little confused."
ここに書いていただいてよろしいですか,May I ask you to write it down here?
少々お待ちください。別の者を呼んでまいります,Please wait a moment. I'll get someone else.
わかりました,Understood.
かしこまりました,Certainly!
承知いたしました,Certainly!
左様でございます,"Yes, ma’am/sir."
結構でございます,That is fine.
それは難しいかと思います,I'm afraid that would be difficult.
申し訳ございません。それはちよっとできかねます,"I'm sorry, sir. I'm afraid I can't do that at all."
よろしいでしよっか,Is that all right?
特に問題はございませんでしょうか,Is there any particular problem?
いかがなさいますか,How may I help you?
少々お待ちください,Please wait a moment.
お時間、少々いただきます,It'll just take a moment.
では、ご案内いたします,I'll show you around.
ほかに何かご不明な点はございませんでしょうか,Is there anything else I can help you with?
すみません、どなたか、傘をお忘れではないでしょうか,"Excuse me, has anyone forgotten their umbrella?"
すみません、ちよっと前を失礼いたします,Please excuse me for a moment.
ご不便かもしれませんが、そのようにさせていただいております,"I apologize for the inconvenience, but that's the way we do things."
元気ですか。ええ、元気ですよ,"How are you? Yeah, I'm fine."
救急車を呼んでください!,Please call an ambulance!
お疲れさまです。お疲れ,Thank you for your help. Good night.
趣味はサッカー観戦と旅行です,My hobbies are watching soccer and traveling.
申し訳ありませんでした,I'm so sorry.
もう少し待っていただけませんか,Can you wait a little longer?
今度、みんなでカラオケに行きましょう,"Next time, let's go to karaoke together."
すみませんが、その日はちよっと,"I'm sorry, but I can't make that date."
レポートの締め切りはいつですか,When is the report due?
天ぷらなら、富士屋がおすすめです,Fujiya is a great place for tempura!
ほかにもお手伝いできることがあったら、 言ってください,"If there's anything else I can do to help, please let me know."
どこか具合が悪いんですか,What's wrong with you?
元気出してください,Please cheer up.
ちょっと物足りなかったです,I was a little underwhelmed.
困ったなあ,That's a problem.
予約をお願いしたいのですが,I'd like to make an appointment.
できれば一緒に行ってください,Please go with me if you can.
お母さんはお元気ですか,How's your mother?
料理は得意です,She is a good cook.
宮崎アニメの中で、どれが一番おもしろいですか,Which Miyazaki animation is the most interesting?
来週、京都でお祭りがあります,There is a festival in Kyoto next week.
将来は通訳になりたいと思っています,I would like to become an interpreter in the future.
これは約800年前に建てられたお寺です,This is a temple that was built about 800 years ago.
危ないから気をつけてください,"Please be careful, it's dangerous!"
続きは明日にしましょうか,Shall we continue tomorrow?
寒いから手袋やマフラーをしたほうがいいですよ,"It's cold, so you'd better wear gloves and a scarf."
そこで何をしているんですか・そこで何をしてるの?,What are you doing there? What are you doing there?
これは食事のあとに飲んでください,You should drink this after dinner.
すみません、うっかり忘れてしまったんです,"I'm sorry, I accidentally forgot."
タイミングが合わず、結局、父とは会えないままでした,"The timing didn't work out, and I never saw my father again."
会社を経営しながら、絵もかいているんです,I run a company and I paint.
これはきれいだから、洗わなくてもいいです,"This is beautiful, you don't need to wash it."
着物を着たことがありますか,Have you ever worn a kimono?
英語で書くことができますか,Can you write in English?
困ったなあ。どうしましょう,I'm in trouble. What should I do?
飲み物を冷やしておきましょう,Let's keep the drinks cold.
将来は田舎のほうに住もうと思っています,I'm thinking of living in the country in the future.
もうちょっと早く行けば、あの店に入れたのに!,"If only I'd gotten there a little earlier, I could have been in that store!"
忙しいから行けないと思います,I think I'm too busy to go.
ニフーさんは、山田さんの書類を英語に翻訳してあけたそつです,Mr. Nihu translated Mr. Yamada's documents into English and opened them for us.
この前会ったのに、名前が思い出せないんです,"I met him the other day, but I can't remember his name."
日本人みたいだってよく言われます,I'm often told I look Japanese.
ビルさんは、シドニーの出身だそうですよ,Bill says he's from Sydney.
どう? できそう?,What do you think? Do you think you can do it?
お昼ご飯を食べたあとは、どうしても眠くなります,I always feel sleepy after lunch.
ぜひ、私にやらせてください,I'd be happy to do it.
かばんをお持ちします,I'll get your bag.
どこで乗り換えますか,Where do you want to change trains?
整理券を取って、降りる時に払ってください,Take a numbered ticket and pay when you get off.
すみません、ここに行きたいんですが,"Excuse me, I'd like to go here."
浴衣が小さいんですが。大きいサイズのはありますか,My yukata is too small. Do you have a larger size?
ホットでお願いします,"Hot, please."
お酒は飲めないんです,I don't drink alcohol.
試着してもいいですか,Can I try it on?
ょっと考えます,I'll think about it for a while.
レジ袋にお入れしますか。いえ、結構です,"Would you like me to put it in a plastic bag? No, thank you."
保証期間はどのくらいですか,How long is the warranty?
お腹が痛いんです。いい薬はありますか,I have a stomachache. Do you have any good medicine?
頭痛がします。・頭が痛いです,I have a headache. I have a headache.
これを速達でお願いします,Please send this to me by express mail.
在留カードの更新をしたいのですが,I'd like to update my residence card.
レポートを見ていただいてもよろしいでしょうか,May I see your report?
単位は取れそうですか。ううん、落とすかもしれません,"Are you going to get credit? No, I might fail it."
じゃ、お昼に行ってきます,I'll be back at lunch.
担当者の名刺を持っていますか,Do you have the business card of the person in charge?
何を飲みますか。— じゃ、お茶をお願いします,"What would you like to drink? - I'll have a cup of tea, please."
この人は誰ですか,Who is this person?
静かなところのほうがいいです,I'd prefer a quiet place.
ペットボトルは資源ごみですか,Are plastic bottles recyclable?
田中はただ今席をはずしておりますが、折り返しお電話させましょうか,Tanaka is out of the office right now.
お調べしますので、少々お待ちください,Please wait a moment while I check.
何分ぐらいかかりますか,How long will it take?
なるべく前の方の席がいいのですが,I'd like to be in the front of the room if possible.
時間は5時半でいいですか,Is 5:30 the right time?
南の島がいいです。バリとかサイパンとか。賛成,I would like to go to a southern island. I would like to go to Bali or Saipan. I agree.
海の見える部屋がいいんですが,I'd like a room with a view of the ocean.
前髪はどうしますか。眉毛が隠れるくらいにしてください,What do you want your bangs to look like? I'd like a room with a view of the ocean.
スミスと申します。本日はよろしくお願いします,My name is Smith. I'm looking forward to working with you today.
学校で何かスポーツをしましたか,Did you play any sports at school?
どんな映画が好きですか,What kind of movies do you like to watch?
ご家族がいなくて、寂しいですか,Do you miss your family?
歯が痛いです。いい歯医者を知りませんか,I have a toothache. Do you know a good dentist?
私はレッドソックスのファンで、試合全部見に行きます,I am a fan of the Red Sox and go to all their games.
スキーは楽しかったです。雪は柔らかい粉雪でした,Skiing was fun. The snow was soft and powdery.
むし暑いですね,It's hot and humid.
漢字を正しい書き順で書くのは大事ですか,Is it important to write kanji characters in the correct order?
今読んでいる本はなんですか,What is the book you are reading now?
新しい場所を歩いて見て回るのが好きです,I like to walk around and see new places.
お会計はあちらになります,Checkout will be over there.
お彈いはどのようになさいますか,How do you get your medicine?
カードもお使いになれます,You can use your credit card.
カードをお預かりします,Please leave your card with us.
お支払いは何回になさいますか,How many times do you want to make a payment?
こちらにサインをお願いします,Please Sign Here
こちらに暗証番号をご入力ください,Please enter your PIN here
カードのお返しとレシートでございます,I'd like my card back and a receipt.
申し訳ありません。お支払いは現金のみになります,"I'm sorry, sir. Payment is by cash only."
税込で2123円でございます,"That's 2,123 yen including tax."
2000と123円ですね。ちょうどいただきました,"That's 2,000 and 123 yen. Just what I needed."
お会計、3955円になります,"Your bill will be 3,955 yen."
5干円からでよろしいでしょうか,Would you like to start with 5 yen?
5干円お預かりします,I'll take 5 yen.
1000と55円のおつりでございます,"That's change for 1,000 and 55 yen."
こちら173円のお返しと、レシートでございます,Here is your receipt and the return of 173 yen.
お預かりします。お返しします,We'll take care of it. I'll return it to you.
失礼しました,Excuse me.
お会計はご一緒でよろしいですか,Would you like to pay the bill together?
別々でお願いします,"Separately, please."
おつりが細かくなって申し訳ありません,I apologize for the small change.
この商品券は使えますか,Can I use this gift certificate?
失礼いたしました,I'm sorry.
大変失礼いたしました,I'm very sorry.
お待たせして申し訳ありません,I'm sorry to keep you waiting.
大変お待たせしました,Thank you for your patience.
遅くなってしまい、申し訳ございません,I'm sorry it took so long.
お手数をおかけします,I'm sorry for the trouble
ご面倒をおかけします,I'm sorry for the trouble
お役に立てず、申し訳ございません,I am sorry that I cannot be of any help to you
ご迷惑をおかけして、誠に申し訳ありませんでした,I am very sorry for any inconvenience caused
