W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
顔を作る,to make a face,汚れ物,dirty laundry,潜在意識,subconsciousness,お金,money,赤字になる,to be in the red,納税,payment of taxes
凝視する,to stare,食器洗い洗剤,dish soap,在庫切れ,(being) out of stock,資金洗浄,money laundering,節約する,to be thrifty,索引,index (in a book)
パンチする,"to punch, to hit",トイレットペーパー,toilet paper,しわクリーム,anti wrinkle cream,クレジット,a credit,充電する,to charge,捜索,"search, manhunt"
眉をひそめる,to frown,食器洗い機,dishwasher,アフターシェーブ,after-shave,デビット,debit,誰かに信用を与える,to give somebody credit,探索,"search, lookup, hunt"
平手打ちをする,to slap,石鹸,soap,コンディショナー,conditioner,賃金,wages,破産する,to go bankrupt,検索,looking up
クスクス笑う,to giggle,ホワイトビネガー,white vinegar,薬箱,the medicine cabinet,バランス,a balance,小切手を書く,to write a check,検索条件,search criteria
肩をすくめる,to shrug,漂白,bleach,脱毛,hair removal,為替レート,an exchange rate,変化を保つために,to keep the change,思索,speculation
チラッと見る,to glance at,ダート,the dirt,バスタブ,the bathtub,割引率,a discount rate,注ぎ込む,to invest,捜索隊,search party
手を上げる,to raise one’s hand,ほこり,dust,ヘアブラシ,hair brush,レート,a rate,推測する,to speculate,情報検索,information retrieval
見上げる,to look up,清潔さ,cleanliness,歯ブラシ,toothbrush,給与,a salary,ギャンブルする,to gamble,模索,trying to find
指す,to point at,泥,dirt,シェービング,shaving,手数料,fees,小切手を発行する,to issue a cheque,詮索,inquiry into
頭を傾ける,to tilt your head,料理,the dishes,クリーム,cream,金融市場,financial markets,小切手を作成する,to make out a cheque,首相,prime minister
ハグする,to hug,世帯,the household,フォーム,foam,金銭的な,monetary,で口座を開く,to open an account with,相続,succession
深呼吸する,to take a deep breath,ごみ,the garbage,保湿剤,moisturizer,銀行家,a banker,現金を支払う,to pay cash,相談,consultation
笑う,to laugh,ごみ,garbage,にわか雨,the shower,紙幣,a bank note,払い戻しへ,to refund,相当,corresponding to
頭を掻く,to scratch one’s head,家庭ごみ,household garbage,ネイルファイル,the nail file,給与明細,a pay slip,撤退する,to withdraw,相互,"mutual, reciprocal"
喉をきれいにする,to clear one’s throat,製品,products,マニキュア,manicure,外貨両替所,a foreign exchange office,小切手を換金する,to cash a cheque,相違,difference
首を振る,to shake one’s head,掃除,clean,ペディキュア,pedicure,小切手帳,a cheque book,監査する,to audit,外相,foreign minister
握手をするために,to shake hands,汚れた,dirty,ピンセット,the tweezers,チェック,a cheque,色覚異常,colorblind,様相,"aspect, phase"
拳を握る,to clench one’s fist,掃除機,a vacuum cleaner,粉末,the powder,ブランクチェック,a blank cheque,乱視,astigmatism,相場,market price
歯を食いしばる,to clench one’s teeth,ほうき,a broom,バスルーム,the bathroom,ゴムチェック,a rubber cheque,明るい,bright,相槌,aizuchi
笑顔に,to smile,布,a cloth,ナプキン,the napkin,安全な,a safe,色付きの連絡先,colored contacts,相変わらず,as usual
舌を出す,to stick out your tongue,芳香剤,an air freshener,生理用ナプキン,sanitary napkin,オーバードロー口座,an overdrawn account,眩しい,dazzling,組合,association
笑い,a giggle,染み抜き剤,a stain remover,毛髪染料,hair dye,銀行口座,a bank account,目の検査,the eye exam,番組,program
腕を組む,arms folded,エアラー,an airer,うがい薬,mouthwash,普通預金口座,a savings account,闇,the dark,組織,organization
交差する,crossed,アイロン,an iron,バブルバス,the bubble bath,現在のアカウント,a current account,角膜,the cornea,組む,"to cross, to put together"
足を組んだ,legs crossed,洗濯機,a washing machine,リップグロス,lip gloss,当座預金,a checking account,目の色,the eye’s color,組み立てる,to assemble
目を見開いて,eyes wide open,食洗機,a dishwasher,日焼け,the tan,当座貸越,an overdraft,虫眼鏡,the magnifying glass,組み合わせ,combination
拒絶,thumbs down,洋服かご,a clothes basket,修正者,the corrector,定期預金,a term deposit,光,the light,仕組み,"structure, construction"
いいぞ,thumbs up,ダスター,a duster,綿棒,cotton swab,銀行のマネージャー,a bank manager,盲人,the blind person,組み込む,"to insert, to include"
あくび,a yawn,フェザーダスター,a feather duster,爪切り,the nail clipper,現金自動預け払い機,an atm,瞳孔,the pupil,取り組む,to grapple with
ウインク,a wink,洗浄剤,a cleaning product,リップペンシル,the lip pencil,銀行員,bank clerk,網膜,the retina,組み合わせる,to join together
一目,a glance,窓拭き用品,window cleaning product,アイブローペンシル,eyebrow pencil,関心,an interest,ビジョン,the vision,枠組み,framework
キック,a kick,ゴミ袋,a garbage bag,メイク落とし,the makeup remover,金の延べ棒,a gold bar,ナイトビジョン,the night vision,経済,economy
パンチ,a punch,バケツ,a bucket,歯磨き粉,toothpaste,家賃,a rent,光景,the sight,経験,experience
肩をすくめる,a shrug,乾燥機,a dryer,消臭剤,the deodorant,支払手段,a mean of payment,景色,"the view, the scene",神経,nerve
運動,a movement,エプロン,an apron,リムーバー,the remover,安全なクレジット,a secured credit,点字,the braille,経度,longitude
サイン,a sign,布巾,a dish-towel,アイシャドウ,eye shadow,不動産ローン,A real estate loan,盲導犬,the guide dog,経営,management
笑い,a laugh,ごみ処理,a garbage disposal,デンタルフロス,dental floss,ローン,a loan,顕微鏡,the microscope,経由,going via
信号,a signal,盆地,a basin,財団,the foundation,レシート,a receipt,外観,the look,経つ,"to pass (of time), to elapse"
うなずき,a nod,ブラシ,a brush,手ぬぐい,the washcloth,銀行取引明細書,a bank statement,望遠鏡,the telescope,直径,diameter
笑い,a smile,トイレブラシ,a toilet brush,シャワージェル,the shower gel,計算書,a statement of account,双眼鏡,the binoculars,経費,expenses
平手打ち,a slap,物干し,a clothesline,流し,the sink,金利,an interest rate,コンタクトレンズ,the contact lenses,経歴,"personal history, career"
しかめっ面,a grimace,スポンジ,a sponge,化粧,makeup,銀行振込,a bank transfer,コンタクト,the contacts,経過,"passage (of time), elapsing"
ひざまずいて,on one’s knees,ちりとり,a dustpan,マスカラ,mascara,小売銀行,a retail bank,眼鏡,the glasses,経路,"course, route"
仰向けになって,lying face down,洗濯ばさみ,a clothespin,バスルーム家具,bathroom furniture,プライベートバンク,a private bank,サングラス,the sunglasses,神経痛,nerve pain
四つんばい,on all fours,ゴミ箱,a garbage can,鏡,the mirror,貯蓄銀行,a saving bank,輝度,brightness,経済的,economic
しゃがむ,squatting,モップ,a mop,メイクアップキット,the makeup kit,銀行のレジ係,a bank cashier,近視,nearsighted,経営者,manager
ひざまずく,kneeling,ナプキン,a napkin,香水,the perfume,銀行カード,a bank card,黒と白,black and white,神経質,nervous
横になる,lying down,染み,a stain,くし,the comb,クレジットカード,a credit card,現れる,to appear,経緯,"details, particulars"
座っている,sitting down,在日,resident in Japan (foreigner),バスローブ,bathrobe,借金,a debt,盲目にする,to blind,細い,"thin, slender"
立っている,standing,現在,the present,体重計,the bathroom scale,外貨,a foreign currency,瞬く,to blink,細かい,small
横になっている,lying stretched out,存在,existence,タオル掛け,the towel rack,外国為替,a foreign exchange,眩惑する,to dazzle,細胞,cell
傾いている,leaning,在庫,"stock, inventory",かみそり,the razor,ハード通貨,a hard currency,消えるために,to disappear,詳細,"details, particulars"
寄りかかる,leaning against,滞在,"stay, sojourn",電気シェーバー,the electric shaver,通貨,a currency,調べる,to examine,細菌,bacterium
ひじに寄りかかる,leaning on one’s elbows,在学,attending school,口紅,the lipstick,子会社,a subsidiary,点灯する,to light up,心細い,helpless
仰向けになって,lying on one’s back,不在,absence,せっけん,the soap,住宅ローン,a mortgage,観測する,to observe,細部,"details, particulars"
ぶら下げ,hanging,健在,in good health,ドライヤー,the hairdryer,コイン,a coin,再現する,to reappear,細心,"meticulous, careful"
脳卒中,cerebral haemorrhage,食欲,the appetite,辛い,spicy,唾液,the saliva,飲み込む,to swallow,零細,insignificant
愛撫する,to caress,酸っぱい,sour,強い,strong,味,the taste,噛む,"to chew, to bite",微細,"minute, micro"
擽る,to tickle,苦い,bitter,恐ろしい,horrible,味覚の芽,the taste buds,飲む,to drink,有給,with pay
触る,to touch,おいしい,delicious,無味,tasteless,嫌な,disgusting,食べる,to eat,給湯器,water heater
温める,"to warm, to heat",甘い,sweet,舌,the tongue,塩辛い,salty,舐める,to lick,給電線,feeder
香水,the perfume,香り,the aroma,悪臭,the stench,鼻孔,the nostrils,香りがする,to be fragrant,結婚,marriage
スモーキー,smoky,匂い,the smell,鼻,the nose,香り,scented,香水に,to perfume,結果,result
無臭,odorless,煙,the smoke,香り,the fragrance,臭い,stinking,匂いがする,to smell,結構,splendid
とても臭い,to stink,粉砕する,to crush,処分する,to dispose,スピンする,to spin,野菜を炒める,to stir-fry vegetables,結晶,crystallization
足す,to add,準備する,to prepare,溶解します,to dissolve,乾かす,to dry up,ものに,to stuff,結核,tuberculosis
ソースの風味に,to flavour with sauce,作る,to make,お皿をセットする,to set a plate,液体を拭き取る,"to mop up, to wipe (off)",小麦粉に,to flour,結局,after all
ソースを薄くする,to thin a sauce,切る,to cut,トリミングする,to trim,拭く,to wipe,分割します,to split,結論,conclusion
平らにする,to flatten,スライスする,to slice,沸騰する,"to boil, to seeth",広がる,to spread,縛る,to tie up,結ぶ,"to tie, to bind, to link"
香り付け,to aromatize,サイコロに,to dice,火傷する,"to scald, to burn",拡大するために,to expand,溶融する,to melt,団結,"unity, union"
味付け,to flavor,キューブに,to cube,マッシュする,to mash,蒸す,to steam,鞭打ちます,to whip,結びつく,to be related
水に,to water,半分にする,to halve,スキムする,to skim,すくう,to scoop out,こする,to rub,結合,"combination, binding"
油をたらす,to drizzle with oil,包む,"to cover, to wrap",葉を間引く,to thin out the leaves,形状へ,to shape,付け合わせに,to garnish,結成,formation
季節に,to season,料理する,to cook,細断する,to shred,ブランチする,to blanch,凍らせる,to frost,結び付ける,to combine
味付けする,"to season, to add flavour",取り除くために,to get rid of,解明する,to unravel,玉ねぎに,to brown onions,味わう,to taste,結婚式,marriage ceremony
柔らかくする,to soften,借方記入する,to debit,垂れ流す,to drain,バーベキューに,to barbecue,グリルする,to grill,連結,concatenation
磨く,to brush,飾るために,to decorate,緊張する,to strain,焼く,to bake,刻む、刻む,"to chop, to mince",結集,concentration
熱を下げる,to turn down the heat,シェルに,to shell,パスタを排水する,to drain pasta,卵をゆでる,to boil eggs,油に,to oil,結露,condensation
泡立てる,to whisk (eggs),刻む,"to mince, to carve",崩れる,to crumble,フランベへ,to flambé,組み込む,to incorporate,凍結,freezing
バターに,to butter,排出する,to disgorge,薄切り,"thin slices, slicing thin",煮る,to bring to a simmer,注入する,to infuse,結末,"end, conclusion"
バターを塗る,to spreed the butter,希釈する,to dilute,乳化する,to emulsify,乾杯する,to toast,投げる、,to throw,終結,"end, close"
沸騰する,to boil,脱型する,to unmould,オーブンに入れる,to place in the oven,魚を焼く,to grill fish,捨てる,to throw away,締結,"conclusion, execution "
蒸す,to braise,穴をあける,to pit,保管する,to store,料理をします,to do the dishes,洗う,to wash,結う,"to do up (hair), to dress"
温める,to heat,骨抜きにする,to debone,纏める,to integrate,煮込む,to stew,滑らかにします,to smooth,結婚相手,marriage partner
鑿にする,to chisel,脱塩する,to desalinate,厚くする,to thicken,茶色に炒める,to brown fry,浸軟する,to macerate,集結,massing (of troops)
貼り付ける,to paste,乾かす,to dry out,種をまく,to seed,軽く炒める,to fry lightly,こねる,to knead,結び目,knot
着色する,to colour,詳細へ,to detail,剥く,to peel,揚げる,to deep-fry,混ぜる,to mix,結束,"union, unity"
完了する,to complete,緩める,to loosen,スポンジに,to sponge,焼く,to roast,混ぜる,to mix,結びつき,"connection, relation"
カウントする,to count,温度を下げる,to lower the temperature,茎を取り除く,to remove stems,肉を焼く,to roast meat,かき混ぜる,"to stir, scramble",結び,ending
続ける,to continue to,削る,to scrape,上げる,to raise,復元する,to restore,振りかける,to sprinkle,妥結,settlement
オーブンを予熱する,to preheat the oven,整頓する,to tidy,引き渡す,to hand over,削除する,to remove,乾燥する,to dry,絶滅,extinction
集める,to collect,すりおろす,to grate,記入する,to fill in,反転する,to flip,分離するために,to separate,絶対,absolutely
取る,to take,細断する,to shred,振る,to shake,戻る,to return,締めます,to tighten,絶版,out of print
準備する,to prepare,集まる,to gather,かき混ぜる,to stir,すすぎます,to rinse,奉仕する,to serve,絶えず,constantly
食事を準備する,to prepare the meal,再加熱,to reheat,零す,to spill,焙煎する,to roast,外出,to get out,絶望,despair
提示する,to present,再起動します,to restart,分配する,to distribute,転がす,to roll,剪定する,to prune,拒絶,"refusal, rejection"
押す,to press,なおす,to correct,分割する,to divide,グラブへ,to grab,篩ににかける,to sieve,絶える,to die out
守ること,to protect,削減する,to reduce,休む,to rest,焼く,to sear,布張りする,to upholster,途絶える,"to stop, to cease"
傾ける,to tilt,冷やす,to cool down,予約する,to reserve,塩に,to salt,保温します,to keep warm,断絶,"extinction, discontinue"
沢山,"a lot, many",綺麗,"pretty, lovely",最終,latest,のんびり,"quietly, leisurely",待つ,to wait,絶頂,summit
有能,able,成熟した,mature,ぐうたら,"lazy, worthless",なかなか,quite,起きる,to wake up,絶好,"best, idea"
立派な,admirable,意地悪,"mean, malicious",合法的,legal,だいぶ,quite/mostly,洗う,to wash up,絶対的,absolute
古い,"aged, old",行方不明,missing,軽い,light,無作為に,randomly,着る,to wear,中絶,abortion
面白い,interesting,用心深い,mistrustful,少し,little,まれに,rarely,勝つ,to win,絶大,tremendous
詰らない,annoying,近代的,modern,生活,living,むしろ,rather,加速する,to accelerate,根絶,eradication
恐ろしい,appalling,不動,motionless,伝統的,"local, traditional",本当に,really,同行する,to accompany,絶縁,breaking off relations
おおよそ,approximately,意欲的,motivated,長い,long,実に,really,拍手する,to applaud,廃絶,elimination
びっくり,astonished,涙ぐましい,moving,弱い,low,そこそこ,reasonably,近づく,to approach,独身寮,hostel for bachelors
注意深い,attentive,不思議,mysterious,低い,"low, down",定期的に,"regularly, periodically",到着する,to arrive,ガリ勉,person who studies hard
魅力的な,attractive,狭い,narrow,もうちょっと,a bit more,めったに,"seldom, rarely",後ろへ,to back,ばったり,"with a clash, unexpectedly"
じどうてき,automatic,自然,natural,もう少し,a bit more,別々に,separately,噛む,to bite,悔しさ,"frustration, regret"
悪い,bad,近い,near,少し,"a little, a bit",ほんきで,seriously,まばたきする,to blink,テクニカル,technical
平凡,"banal, common",必要な,necessary,たくさん,"a lot, many",もくもくと,silently,吹く,to blow,技術,technique
耐えられる,bearable,神経質な,nervous,異常に,"abnormally, unusually",単に,simply,壊れる,to break,テクノロジー,technology
綺麗,beautiful,新しい,new,約,"about, approximately",ゆっくり,slowly,呼吸する,to breathe,ティーン,teen
大きい,big,次,next,絶対に,"absolutely, definitely",まあまあ,so so,連れてくる,to bring a person,ティーンエイジャー,teenager
苦い,bitter,喧しい,noisy,偶然,accidentally,時々,sometimes,持ってくる,to bring an item,歯,teeth
つまらなそう,bored,郷愁,nostalgic,後で,"after, later",どこかに,somewhere,回収する,to bring back,電話,telephone
壊れた,broken,多くの,numerous,やっぱり,after all,まもなく,"soon, shortly",報告する,to report,望遠鏡,telescope
分厚い,bulky,明らかな,obvious,また,again,もうすぐ,soon,建設する,to build,テレビ,television
占有,busy,正式,official,独りで,alone,奇妙なことに,strangely enough,捕らえる,to catch,教えて,tell
静か,"calm, quiet",古い,old,すでに,already,厳密に,strictly,噛む,to chew,温度,temperature
魅力的,captivating,営業中,open (for business),もう,"already, again",強く,strongly,選ぶ,to choose,一時的,temporary
慎重な,careful,楽観的,optimistic,いつも,always,愚かに,stupidly,上る,"to climb, to ascend",十,ten
悲惨,catastrophic,並大抵,ordinary,常に,"always, constantly",突然,suddenly,閉める,to close,傾向,tend
愛しい,charming,過密の,overcrowded,どんなときも,anytime,意外と,surprisingly,来る,to come,傾向,tendency
安い,cheap,きがながい,patient,とにかく,anyway,そのとき,then,継続する,to continue,テニス,tennis
古典的,classic,完全な,perfect,どこでも,"anywhere, everywhere",その後,"then, later",料理する,to cook,テンション,tension
きれい,clean,粘り強い,persevering,どうやら,apparently,そこ,there,料理する,to cook,テント,tent
明るい,clear,えんせいてき,pessimistic,なるべく,as much as possible,今日,today,数える,to count,学期,term
賢い,"clever, intelligent",憤ろしい,pissed off,何時でも,"at any time, at all times",一緒に,together,這う,to crawl,条項,terms
近い,"close, near",快適,pleasant,最初に,at first,明日,tomorrow,交差する,to cross,ひどい,terrible
閉じた,closed,楽しい,pleasant,ようやく,at last,今夜,tonight,泣く,to cry,地域,territory
動きが鈍い,clumsy,有毒な,poisonous,やっと,at last,残念ながら,"unfortunately, sadly",踊る,to dance,テロ,terror
冷たい,cold (object),貧乏な,poor,自動的に,automatically,普通,"usually, normally",飛び込む,to dive,テロ,terrorism
寒い,cold (weather),有名,"popular, famous",離れて,away,普段,"usually, normally",身をかわす,to dodge,テロリスト,terrorist
色鮮やか,colored,正の,positive,わずかに,barely,一所懸命,very hard,夢見る,to dream,テスト,test
快適,comfortable,可能な,possible,そろそろ,by now,週一度,weekly,飲む,to drink,証言する,testify
営利的,commercial,強力な,powerful,落ち着いて,calmly,上手,well,運転する,to drive,証言,testimony
普通,common,貴重な,precious,注意深く,carefully,受け入れる,to accept,食べる,to eat,テスト,testing
複雑,complex,精緻,"precise, delicate",慎重に,"carefully, cautiously",追加する,to add,食べる,to eat,文章,text
強気,confident,きざ,pretentious,うっかり,carelessly,許す,to allow,入る,to enter,よりも,than
べんり,convenient,私的な,private,もちろん,"certainly, of course",答える,to answer,逃げる,to escape,ありがとう,thanks
説得上手,convincing,公共の,public,はっきり,clearly,着く,to arrive,広がる,"to expand, spread out",それ,that
涼しい,cool (weather),せいかく,"punctual, precise",快適に,comfortably,尋ねる,to ask,落ちる,to fall,シアター,theater
正確,"correct, good",速く,quick,一般的に,commonly,出来る,to be able to do,落ちる,to fall,彼らの,their
勇ましい,courageous,静かな,quiet,完全に,"completely, perfectly",早くなる,to be early,感じる,to feel,彼ら,them
頭がおかしい,crazy,珍しい,rare,すっかり,"completely, thoroughly",お腹がすく,to be hungry,浮く,to float,テーマ,theme
尤もらしい,credible,現実的な,realistic,一定して,constantly,遅くなる,to be late,飛ぶ,to fly,彼ら自身,themselves
文化的,cultural,最近の,recent,正しく,correctly,いる,"to be, there is",折る,to fold,それから,then
好奇心旺盛,curious,再生の,recycled,不思議なことに,"curiously, mysteriously",ある,"to be, to exist",従う,to follow,仮説,theory
可愛い,cute,正規の,regular,現在,currently,なる,to become,後に続く,to follow,治療,therapy
危ない,dangerous,頼もしい,"reliable, trustworthy",繊細に,delicately,始める,"to begin, to start",下がる,to get off,そこの,there
暗い,dark,宗教上の,religious,必死に,desperately,信じる,to believe,起き上がる,to get up,したがって,therefore
眩しい,dazzling,驚くべき,remarkable,早く,"early, quickly",借りる,to borrow,あげる,to give,これらは,these
亡い,dead,責任ある,responsible,簡単に,easily,壊す,to break,行く,to go,彼ら,they
致命的,deadly,豊富な,rich,あっさり,"easily, readily, quickly",買う,to buy,家に帰る,to go home,厚い,thick
深く,deep,ロマンチック,romantic,他の場所,elsewhere,電話する,to call (phone),出かける,to go out,薄い,thin
美味しい,delicious,腐った,rotten,十分,"enough, sufficiently",呼ぶ,"to call, to invite",寝る,to go to bed,もの,thing
民主的,democratic,悲しい,sad,全て / 全部,"entirely, wholly",持つ,to carry,成長する,to grow,考える,think
気が重い,"depressed, disgusted",満足のいく,satisfactory,とくに,especially,変える,to change,屯する,to hang out,考え,thinking
きつい,determined,満足した,satisfied,結局,"eventually, finally",掃除する,to clean,抱擁する,to hug,三番目,third
別,different,怖い,scary,今までに,"ever, by now",来る,to come,増加する,to increase,これ,this
難しい,difficult,自分勝手,selfish,丁度,exactly,戻ってくる,to come back,飛び上がる,to jump,それらの,those
汚い,dirty,真面目,serious,例外的に,exceptionally,続ける,to continue,蹴る,to kick,けれど,though
塩漬けの,salted,短い,short,すごく,extremely,決める,to decide,キスをする,to kiss,考え,thought
気持ち悪い,disgusting,恥ずかしい,"shy, embarrssed",非常に,"extremely, exceptionally",降りる,to descend,跪く,to kneel,千,thousand
遠い,distant,病気,sick,とても,"extremely, very",せんたくする　洗濯する,to do laundry,叩く,to knock,脅威,threat
乾燥,dry,類似,similar,かなり,"fairly, significantly, quite",落とす,to drop,笑う,to laugh,脅かす,threaten
動的,dynamic,単純な,simple,やっと,"finally, at last",終わる,to end,発射する,to launch,三,three
優しい,easy,誠実な,sincere,とうとう,"finally, at last",運動する,to exercise,去る,to leave,喉,throat
地球に優しい,ecological,細い,slim,ついに,"finally, at last",存在する,to exist,出発する,to leave,使って,through
経済的,economic,遅い,slow,まず第一に,first of all,説明する,to explain,なめる,to lick,全体を通して,throughout
食用,edible,ちいさい,small,暫く,for a while,喧嘩する,"to fight, to quarrel",横になる,to lie down,投げる,throw
効果的,effective,和やか,"smiling, radiant",昔,formerly,見つける,to find,持ち上げる,to lift,したがって,thus
でんきしき,electric,社交的な,sociable,以前は,"formerly, previously",盗む,to fly,聞く,to listen,チケット,ticket
電子的,electronic,甘い,soft,二週に一度,fortnightly,忘れる,to forget,聞く,"to listen, to ask",タイ,tie
雅やか,elegant,固体,solid,幸運なことに,fortunately,太る,to gain weight,痩せる,to lose weight,きつい,tight
空虚な,empty,広い,spacious,率直に,frankly,疲れる,to get tired,移動する,to move,時間,time
活発な,energetic,特別な,special,自由に,freely,持っている,to have,動く,to move,小さな,tiny
熱心,enthusiastic,特定の,specific,頻繁に,frequently,持つ,"to have, to hold",前進する,to move forward,ヒント,tip
うらやましい,enviable,暑い,spice,しばしば,"frequently, often",聞く,to hear,開ける,to open,タイヤ,tire
等しい,equivalent,四角い,square,徐々に,gradually,手伝う,to help,駐車する,to park,疲れた,tired
正確,exact,ベタベタ,sticky,ハード,hard,急ぐ,to hurry,通り過ぎる,to pass,組織,tissue
良い,"excellent, good",怪しい,strange,激しく,hard,紹介する,to introduce,拾う,to pick up,題名,title
特別,"exceptional, special",強い,strong,ほとんど,mostly,保つ,to keep,注ぐ,to pour,に,to
高い,expensive,馬鹿,stupid,ここ,here,知る,to know,押す,to push,タバコ,tobacco
遠い,far,愚か,"stupid, fool",家,home,学ぶ,to learn,到達する,to reach,今日,today
恐ろしい,fearful,荒々しい,sudden,正直に,honestly,貸す,to lend,参加する,to join,つま先,toe
満杯の,filled,相応しい,suitable,一時間毎に,hourly,生きる,to live,詠む,to compose,一緒,together
古い,former,最高の,superb,直ちに,immediately,住む,"to live, to reside",読む,to read,言った,told
幸運な,fortunate,浅薄な,superficial,すぐに,"immediately, soon",失う,to lose,修理する,to repair,トマト,tomato
脆い,fragile,迷信的な,superstitious,一般に,in general,愛する,to love,繰り返す,to repeat,明日,tomorrow
ありがち,frequent,驚いた,surprised,未来に,in the future,作る,to make,返す,to return,調子,tone
優しい,friendly,友好的な,sympathetic,ますます,increasingly,間違う,to make a mistake,返る,to return home,舌,tongue
完全な,"full, complete",有意,significant,ちょっと,just a little,電話をかける,to make a phone call,乗る,to ride,今夜,tonight
可笑しい,funny,優位,superiority,ちょうど,"just, precisely",会う,to meet,走る,to run,それも,too
寛大,generous,高い,tall,最後に,last,必要とする,to need,探索する,to search,取った,took
天才的,gifted,日焼けした,tanned (verb),最近,"lately, recently",払う,to pay,探す,to search,道具,tool
巨大,gigantic,じかんてき,temporary,長いです,long,遣る,to perform,見る,to see,歯,tooth
世界的,global,ひどい,"terrible, horrible",大声で,"loudly, aloud",遊ぶ,to play,揺れ動く,to shake,上,top
素晴らしい,gorgeous,厚い,thick,もっと,more,練習する,to practice,撃つ,to shoot,トピック,topic
スーパー,great,小さい,tiny,だんだん,gradually,準備する,to prepare,大声で叫ぶ,to shout,投げ捨てる,toss
後ろめたい,guilty,疲れた,tired,もっとも,most,置く,to put,シャワーを浴びる,to take a shower,合計,total
嬉しい,happy,疲れる,tiring,大方は,mostly,読む,to read,肩をすくめる,to shrug shoulders,完全に,totally
嬉しい,happy,一緒,together,ほとんど,"mostly, nearly, almost",貰う,to receive,歌う,to sing,接する,touch
大変,hard,寛容な,"tolerant, generous",むやみに,needlessly,受け取る,to receive,座る,to sit down,タフ,tough
重い,heavy,伝統的な,traditional,決して,never,認める,to recognize,眠る,to sleep,旅行,tour
高い,high,端的,"frank, direct",次の,next,拒否する,to refuse,滑る,to slide,ツーリスト,tourist
歴史的,historic,不能,unable,通常は,"normally, usually",覚える,to remember,嗅ぐ,to sniff,トーナメント,tournament
正直,honest,堪らない,"unbearable, intolerable",全然,(not) at all,休む,"to rest, to be absent",広がる,to spread,向かって,toward
恐ろしい,horrible,凄い,unbelievable,あまり,(not) very,返す,to return an item,しゃがむ,to squat,に向かって,towards
暑い,hot,非道,"unfair, unjust",たいして,(not so) much,走る,to run,飛ぶ,to fly,タワー,tower
巨大,huge,悲しい,unfortunate,まだ,"not yet, still",言う,to say,やめる,to stop,町,town
最良,ideal,未知,unknown,今,now,見る,"to see, to watch",飲み込む,to swallow,おもちゃ,toy
同じ,identical,無制限,unlimited,どこにも,nowhere,売る,to sell,泳ぐ,to swim,痕跡,trace
馬鹿,idiot,嫌い,unpleasant,明らかに,obviously,送る,to send,取る,to take,追跡,track
違法,illegal,予測不能,unpredictable,たまに,occasionally,示す,to show,お風呂に入る,to take a bath,トレード,trade
直接,immediate,様々,various,よく,often,跳躍,to skip,持ち去る,to carry away,伝統,tradition
巨大,immense,巨大な,vast,しょっちゅう,"always, often",寝る,to sleep,持ち帰る,to take home,伝統的,traditional
大切,important,低俗な,vulgar,たびたび,often,嗅ぐ,to smell,話す,to talk,トラフィック,traffic
不可能,impossible,弱い,vulnerable,わざと,"on purpose, deliberately",煙草を吸う,to smoke,教える,to teach,悲劇,tragedy
印象的,impressive,温かい,warm,次々に,one after another,話す,to speak,思う,to think,トレイル,trail
自主的,independent,変な,weird,のみ,only,立つ,to stand,考える,to consider,訓練,train
ておい,"injured, wounded",手厚い,welcoming,先日,other day,滞在する,to stay,投げる,to throw,トレーニング,training
むこ,innocent,良い,well,さもないと,otherwise,勉強する,to study,汗をかく,to sweat,移行,transfer
下らない,insignificant,びしょびしょ,"wet, soaked",外で,out,成功する,to succeed,触れる,to touch,変身,transform
たりない,insufficient,全部,whole,あそこ,over there,消す,to switch off,回す,to turn,変身,transformation
面白い,interesting,野生の,wild,辛抱強く,patiently,味わう,to taste,向きを変える,to turn around,遷移,transition
国際的,international,不思議,"wonderful, strange",多分,"perhaps, probably",投げる,to throw,消す,"to turn off, to erase",翻訳,translate
独創的,inventive,驚異的,wonderful,丁寧に,"politely, nicely",触る,to touch,点ける,to turn on,交通手段,transportation
羨ましい,jealous,心配,worried,当然,"precisely, naturally",試す,to try,訪問する,to visit,旅行,travel
優しい,kind,悪い,worst,前に,"previously, before",分かる,to understand,歩く,to walk,扱う,treat
広い,large,若い,young,静かに,quietly,使う,to use,立ち去る,to walk away,処理,treatment
結婚する,to marry,攻撃,"attack, assault",探検,exploration,洞察,"discernment, insight",さびた,rusty,条約,treaty
離婚する,to divorce,撃つ,"to shoot, to fire",検査,inspection,診察室,examining room,壊れた,broken,木,tree
キスをする,to kiss,衝撃,"shock, impact, crash",検討,"study, investigate",検察官,public prosecutor,脱線する,to derail,絶大,tremendous
恋に落ちる,to be in love,打撃,"blow, shock, strike",検事,public prosecutor,偵察,scouting,破壊する,to destroy,傾向,trend
従事する,to be engaged,襲撃,"attack, charge, raid",検問,inspection,社会的,social,荒廃させる,to devastate,トライアル,trial
愛し合う,to make love,反撃,counterattack,検閲,censorship,個人的,personal,粉砕する,to crush,三角形,triangle
いちゃつく,to flirt,目撃,witnessing,血液検査,blood test,基本的,fundamental,一掃する,to sweep away,部族,tribe
誘惑する,seduce,砲撃,"bombarding, shelling",検証,verification,政治的,political,噴火する,to erupt,騙す,trick
署名する,to sign,射撃,"firing, shooting",検定,official certification,精神的,mental,危機的状況になる,to be in critical condition,旅行,trip
