V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4
苦しめる,くるしめる,torment,行き着く,いきつく,end up,詫びる,わびる,apologize,見せ付ける,みせつける,show
捕まえる,つかまえる,catch,細める,ほそめる,narrow down,買い換える,かいかえる,buy a new one,罰する,ばっする,punish
送り込む,おくりこむ,send,罵る,ののしる,abuse,区切る,くぎる,separate,考え出す,かんがえだす,come up with
暴れる,あばれる,riot,寛ぐ,くつろぐ,relax,背ける,そむける,turn away,患う,わずらう,suffer from
定まる,さだまる,settle,諮る,はかる,consult,吹き飛ぶ,ふきとぶ,blow away,歩き回る,あるきまわる,walk around
重んずる,おもんずる,respect,擦れ違う,すれちがう,cross paths,叶える,かなえる,fulfill,見落とす,みおとす,overlook
請う,こう,request,顧みる,かえりみる,look back,射る,いる,shoot,呼び寄せる,よびよせる,call to mind
捕まる,つかまる,be caught,遣り直す,やりなおす,redo,痺れる,しびれる,numb,思い浮かぶ,おもいうかぶ,come to mind
編む,あむ,weave,静める,しずめる,calm,持ち合わせる,もちあわせる,possess,行き届く,いきとどく,reach
押し寄せる,おしよせる,push,言い返す,いいかえす,reiterate,冒す,おかす,risk,溶け込む,とけこむ,blend in
取り替える,とりかえる,replace,過る,よぎる,go too far,出迎える,でむかえる,greet,生まれ育つ,うまれそだつ,be born and grow
垂らす,たらす,hang down,惚れる,ほれる,fall in love,巡らす,めぐらす,circulate,灯る,ともる,light up
遣う,つかう,use,書き出す,かきだす,write down,賑わう,にぎわう,be crowded,出会す,でくわす,meet
溶かす,とかす,dissolve,揺する,ゆする,shake,評する,ひょうする,comment on,待ち構える,まちかまえる,lie in wait
潜り込む,もぐりこむ,infiltrate,苛立つ,いらだつ,be irritated,忍び込む,しのびこむ,sneak in,黙り込む,だまりこむ,be silent
弱る,よわる,weaken,綴る,つづる,write,吊り上げる,つりあげる,hang up,出回る,でまわる,appear on the scene
驚かす,おどろかす,surprise,賜わる,たまわる,be given,映す,うつす,reflect,馬鹿げる,ばかげる,make fun of
凌ぐ,しのぐ,surpass,欲する,ほっする,desire,浴びせる,あびせる,expose,遠ざける,とおざける,keep away
決め付ける,きめつける,determine,溺れる,おぼれる,drown,病む,やむ,make sick,逃げ込む,にげこむ,run away
見失う,みうしなう,lose sight of,佇む,たたずむ,stand,投げ込む,なげこむ,throw into,飛び交う,とびかう,fly away
偲ぶ,しのぶ,remember,乱す,みだす,disturb,沈める,しずめる,sink,駆け出す,かけだす,run away
凝る,こる,elaborate,葬る,ほうむる,bury,追い遣る,おいやる,drive away,混ざる,まざる,mix
剃る,そる,shave,執る,とる,cling to,使い分ける,つかいわける,use differently,くっ付ける,くっつける,stick together
仕入れる,しいれる,procure,見据える,みすえる,focus on,散らばる,ちらばる,scatter,抜かす,ぬかす,overtake
剥がす,はがす,strip,思い起こす,おもいおこす,remember,通り抜ける,とおりぬける,pass through,取り止める,とりやめる,catch up
拵える,こしらえる,prepare,取り合う,とりあう,take up with,寄り添う,よりそう,stay close to each other,掛け離れる,かけはなれる,run away from each other
見開く,みひらく,open up,投げ付ける,なげつける,throw,噤む,つぐむ,keep silent,翻す,ひるがえす,change
手掛ける,てがける,work with,解す,ほぐす,solve,空ける,あける,vacate,彩る,いろどる,color
彫る,ほる,carve,当て嵌める,あてはめる,apply,切り捨てる,きりすてる,cut down,馳せる,はせる,run (a business)
案ずる,あんずる,contemplate,震わせる,ふるわせる,make tremble,酔っ払う,よっぱらう,get drunk,改まる,あらたまる,change
繋げる,つなげる,connect,逃す,のがす,let go,形作る,かたちづくる,form,衝く,つく,urge
匂う,におう,smell,畳む,たたむ,fold,濁る,にごる,cloud,辞する,じする,resign
投げ掛ける,なげかける,throw,差し支える,さしつかえる,hold up,断ち切る,たちきる,cut off,擁する,ようする,hold
呻く,うめく,moan,縮める,ちぢめる,shrink,配する,はいする,distribute,転がす,ころがす,roll
途切れる,とぎれる,interrupt,期する,きする,terminate,申し立てる,もうしたてる,plead,凹む,へこむ,dent
澄ます,すます,clear,叩き付ける,たたきつける,strike,長引く,ながびく,lengthen,引き替える,ひきかえる,reverse
老いる,おいる,grow old,害する,がいする,harm,則る,のっとる,follow,裁く,さばく,judge
語り掛ける,かたりかける,speak to someone,立ち上げる,たちあげる,raise up,企てる,くわだてる,plan,紛れる,まぎれる,blend
思い当たる,おもいあたる,come to mind,集う,つどう,gather,連ねる,つらねる,link up,漉す,こす,strain
深まる,ふかまる,deepen,徹する,てっする,devote,準ずる,じゅんずる,conform to,失せる,うせる,lose
溜める,ためる,accumulate,包み込む,つつみこむ,encompass,塗れる,まみれる,apply,囲う,かこう,surround
捜し出す,さがしだす,find out,押し出す,おしだす,push out,差し伸べる,さしのべる,extend,覆す,くつがえす,cover
夢見る,ゆめみる,dream,付き添う,つきそう,accompany,推す,おす,push,荒らす,あらす,destroy
踏み切る,ふみきる,step through,見合う,みあう,see each other,締め付ける,しめつける,tighten,引き締まる,ひきしまる,tighten
躱す,かわす,dodge,食み出す,はみだす,eat out,断ずる,だんずる,cut off,行き詰まる,いきづまる,stall
投ずる,とうずる,throw,如く,ごとく,do the same as,差し引く,さしひく,withhold,跳ねる,はねる,bounce
瞬く,しばたたく,blink,痛める,いためる,hurt,巡り会う,めぐりあう,meet,弱める,よわめる,weaken
発つ,たつ,emit,掬う,すくう,scoop up,通り掛かる,とおりかかる,pass by,思い遣る,おもいやる,care
混む,こむ,mix,買い取る,かいとる,buy,静まり返る,しずまりかえる,be still,実る,みのる,bear fruit
吹き込む,ふきこむ,blow into,清める,きよめる,cleanse,服する,ふくする,submit,漲る,みなぎる,pervade
悩ます,なやます,afflict,割り切る,わりきる,divide,砕ける,くだける,shatter,絡める,からめる,entwine
恥じる,はじる,embarrass,済ます,すます,finish,入れ替える,いれかえる,replace,住み着く,すみつく,inhabit
纏わる,まつわる,clothe,引っ繰り返す,ひっくりかえす,repeat,逃がす,にがす,let go,引き下げる,ひきさげる,pull down
聞き返す,ききかえす,listen to again,和らげる,やわらげる,relieve,巻き付ける,まきつける,wrap around,噛み付く,かみつく,bite
満つ,みつ,be full,駆け寄る,かけよる,rush to,伝う,つたう,transmit,書き替える,かきかえる,rewrite
縋る,すがる,cling to,貯める,ためる,save,もてる,もてる,hold on to,極まる,きわまる,become more or less extreme
差し掛かる,さしかかる,approach,引っ掛ける,ひっかける,hook up,気取る,きどる,take hold of,引っ込む,ひっこむ,withdraw
吊るす,つるす,hang,盛り込む,もりこむ,incorporate,化ける,ばける,transform into,降り立つ,おりたつ,descend
来す,きたす,come,埋もれる,うずもれる,bury,見届ける,みとどける,see,埋め込む,うめこむ,embed
閉まる,しまる,close,膨れ上がる,ふくれあがる,swell up,司る,つかさどる,govern,燥ぐ,はしゃぐ,dry
ふざける,ふざける,joke around,染み込む,しみこむ,soak in,蒸す,むす,steam,引き裂く,ひきさく,tear
立ち直る,たちなおる,recover,噛み締める,かみしめる,chew,従える,したがえる,subdue,揺らす,ゆらす,shake
立ち会う,たちあう,attend,打ち上げる,うちあげる,strike up,攫う,さらう,kidnap,ちぎる,ちぎる,tear
突き止める,つきとめる,find out,仰す,おおす,look up,熱する,ねっする,heat,哀れむ,あわれむ,pity
茂る,しげる,overgrow,積み重ねる,つみかさねる,accumulate,途絶える,とだえる,cease to exist,浸ける,つける,soak
座り込む,すわりこむ,sit down,威張る,いばる,dignify,逸れる,それる,deviate,温まる,あたたまる,warm
授ける,さずける,give,濡らす,ぬらす,wet,盛り上げる,もりあげる,enliven,羽織る,はおる,cloak
育む,はぐくむ,nurture,踏み入れる,ふみいれる,step in,抱き合う,だきあう,embrace,躓く,つまずく,trip over
勝る,まさる,prevail,切り開く,きりひらく,cut through,歩み寄る,あゆみよる,walk up to,突き立つ,つきたつ,stand on tiptoe
襲い掛かる,おそいかかる,attack,蹲る,うずくまる,crouch,割り当てる,わりあてる,assign,戒める,いましめる,admonish
栄える,さかえる,prosper,気遣う,きづかう,care for,翳す,かざす,shade,組み替える,くみかえる,recombine
任ずる,にんずる,entrust,目掛ける,めがける,look out for,青褪める,あおざめる,pallid,持ち歩く,もちあるく,carry
走り回る,はしりまわる,run around,立ち向かう,たちむかう,confront,遣わす,つかわす,send,引き締める,ひきしめる,tighten
照れる,てれる,shine,砕く,くだく,break,沸く,わく,bring to a boil,燃え上がる,もえあがる,burn
任す,まかす,let it,積もる,つもる,accumulate,持ち掛ける,もちかける,propose,抜き取る,ぬきとる,take out
流れ込む,ながれこむ,flow into,咎める,とがめる,blame,捏ねる,こねる,knead,静まる,しずまる,quieten
住まう,すまう,live,代える,かえる,replace,弾ける,はじける,pop,透ける,すける,see through
成し遂げる,なしとげる,accomplish,因む,ちなむ,cause to fall,繰り出す,くりだす,unleash,片付く,かたづく,clear away
待ち受ける,まちうける,wait for,没する,ぼっする,confiscate,存する,そんする,exist,否む,いなむ,deny
喘ぐ,あえぐ,pant,繰る,くる,reel (off),考え直す,かんがえなおす,reconsider,企む,たくらむ,plot
手放す,てばなす,let go,駆け込む,かけこむ,run into,連れ出す,つれだす,take out,渦巻く,うずまく,swirl
撥ねる,はねる,repel,耽る,ふける,indulge in,そそる,そそる,inspire,突き上げる,つきあげる,push up
競う,きそう,compete,処する,しょする,deal with,飛び立つ,とびたつ,take off,読み上げる,よみあげる,read up
備わる,そなわる,be prepared,著わす,あらわす,write,阻む,はばむ,prevent,立たす,たたす,stand
喚く,わめく,call out,交わる,まじわる,mingle,培う,つちかう,cultivate,触れ合う,ふれあう,touch each other
裏付ける,うらづける,support,立ち入る,たちいる,enter,言い張る,いいはる,insist,潤む,うるむ,moisten
括る,くくる,summarize,言い掛ける,いいかける,say,洒落る,しゃれる,dress up,見せ掛ける,みせかける,show
真似る,まねる,imitate,省く,はぶく,omit,運び込む,はこびこむ,carry in,有り触れる,ありふれる,be in touch
賄う,まかなう,provide for,むかつく,むかつく,offend,張り上げる,はりあげる,stretch,飛び回る,とびまわる,fly around
込み上げる,こみあげる,fill up,散らす,ちらす,disperse,描き出す,えがきだす,draw,下回る,したまわる,go around
冷ます,さます,cool down,漕ぐ,こぐ,paddle,逝く,いく,go,沸かす,わかす,boil
即する,そくする,promptly,見捨てる,みすてる,abandon,掻き立てる,かきたてる,stir up,投げ捨てる,なげすてる,throw down
見遣る,みやる,look after,閉じ籠もる,とじこもる,shut up,見通す,みとおす,see through,揺らぐ,ゆらぐ,waver
付き纏う,つきまとう,follow,宥める,なだめる,appease,脱する,だっする,take off,陥れる,おとしいれる,fall
強ばる,こわばる,stiffen,飲み干す,のみほす,drink up,ぶら下がる,ぶらさがる,dangle,霞む,かすむ,haze
さ迷う,さまよう,wander,携える,たずさえる,carry on one's shoulder,引っ繰り返る,ひっくりかえる,pull over and over,受け持つ,うけもつ,accept
仕立てる,したてる,tailor,ずらす,ずらす,displace,絡み合う,からみあう,entwine,慎む,つつしむ,refrain from
偏る,かたよる,deviate,亡くす,なくす,lose,芽生える,めばえる,sprout,群がる,むらがる,swarm
締まる,しまる,be in order,呼び起こす,よびおこす,invoke,引き連れる,ひきつれる,take along with you,排する,はいする,remove
弁える,わきまえる,discriminate,読み込む,よみこむ,read,押し殺す,おしころす,push to the death,殺ぐ,そぐ,kill
彷徨く,うろつく,wander,抉る,えぐる,gouge out,立ち竦む,たちすくむ,stand still,生ける,いきる,live
纏わり付く,まとわりつく,cling to,あしらう,あしらう,treat with disdain,走り去る,はしりさる,run away,しゃぶる,しゃぶる,suck
垣間見る,かいまみる,catch a glimpse of,奪い取る,うばいとる,take away,駆け巡る,かけめぐる,run around,浮かす,うかす,float
摩る,さする,rub,口走る,くちばしる,speak,突き放す,つきはなす,push away,労わる,いたわる,work
侵す,おかす,invade,揺れ動く,ゆれうごく,shake,遣り遂げる,やりとげる,accomplish something,駆け抜ける,かけぬける,run through
立て直す,たてなおす,rebuild,鳴り響く,なりひびく,resound,剥ぎ取る,はぎとる,strip away,願い出る,ねがいでる,ask for something
揺る,ゆる,shake,きらめく,きらめく,sparkle,寝そべる,ねそべる,lie down,突き落とす,つきおとす,push down
剥き出す,むきだす,expose,蒔く,まく,sow,崩れ落ちる,くずれおちる,collapse,立ちはだかる,たちはだかる,stand in the way
見立てる,みたてる,look up,擽る,くすぐる,tickle,退る,しさる,retreat,抜き出す,ぬきだす,extract
重なり合う,かさなりあう,overlap,思い返す,おもいかえす,recall,憂える,うれえる,be anxious,掘り起こす,ほりおこす,dig up
取り外す,とりはずす,remove,透き通る,すきとおる,transparency,絡まる,からまる,get entangled,敷き詰める,しきつめる,lay out
諭す,さとす,admonish,波打つ,なみうつ,ripple,言い渡す,いいわたす,tell someone what to do,濁す,にごす,make muddy
引き離す,ひきはなす,pull apart,熟する,じゅくする,ripen,仰け反る,のけぞる,turn up,白ける,しらける,make white
滞る,とどこおる,stagnate,挙る,こぞる,enumerate,搗く,つく,pound,追い返す,おいかえす,turn away
刈る,かる,reap,見積もる,みつもる,estimate,言い合う,いいあう,argue with each other,愛し合う,あいしあう,make love
立ち尽くす,たちつくす,stand still,言い表わす,いいあらわす,express,弛む,たるむ,relax,痛め付ける,いためつける,hurt someone
掠れる,かすれる,snatch,持て余す,もてあます,have too much of something,吹かす,ふかす,blow,結う,ゆう,unite
入れ替わる,いれかわる,replace,縮む,ふんとう,shrink,均す,ならす,equalize,迸る,ほとばしる,gush
あてがう,あてがう,apply,甘やかす,あまやかす,spoil,研ぐ,とぐ,sharpen,設える,しつらえる,set up
仕上がる,しあがる,finish,適う,かなう,suit,引き下がる,ひきさがる,withdraw,放り投げる,ほうりなげる,throw
引き攣る,ひきつる,twitch,見習う,みならう,emulate,折り畳む,おりたたむ,fold up,擬える,なぞらえる,imitate
しゃがみ込む,しゃがみこむ,crouch,張り切る,はりきる,be enthusiastic,漬ける,つける,dip,書き記す,かきしるす,write down
眩む,くらむ,dazzle,問い質す,といただす,question,滴る,したたる,drip,くねる,くねる,bend
擦り付ける,こすりつける,rub against,拭き取る,ふきとる,wipe up,揺るがす,ゆるがす,shake,剥げる,はげる,peel off
掻き分ける,かきわける,scrape,見入る,みいる,observe,剥ぐ,はぐ,peel off,仕付ける,しつける,finish
跪く,ひざまずく,kneel,思い知らす,おもいしらす,make someone aware of,凭れる,もたれる,recline,黒ずむ,くろずむ,blacken
見比べる,みくらべる,compare and contrast,切り裂く,きりさく,cut through,焦げる,こげる,scorch,思い知る,おもいしる,realize
薄める,うすめる,dilute,懐く,なつく,hold in one's bosom,打ち付ける,うちつける,strike,蹴飛ばす,けとばす,kick away
取り締まる,とりしまる,clamp down on,取り返す,とりかえす,take back,遅らせる,おくらせる,slow down,切り込む,きりこむ,cut into
束ねる,たばねる,bind,しゃがむ,しゃがむ,crouch,汲み取る,くみとる,fetch,差し入れる,さしいれる,insert
遠退く,とおのく,move away,嵌め込む,はめこむ,set in,廃する,はいする,depose,攀じ登る,よじのぼる,clamber
授かる,さずかる,be given,擦り抜ける,すりぬける,scrape through,切り抜ける,きりぬける,cut through,打ちのめす,うちのめす,knock down
突き出る,つきでる,stick out,掻き混ぜる,かきまぜる,stir,取り直す,とりなおす,redeem,更ける,ふける,rewind
屈する,くっする,yield,流れ出す,ながれだす,flow out,降り懸かる,ふりかかる,come to a standstill,問い返す,といかえす,ask back
降り注ぐ,ふりそそぐ,pour down,振り上げる,ふりあげる,shake out,取り去る,とりさる,take away,見取る,みとる,perceive
灯す,ともす,light up,開き直る,ひらきなおる,reopen,重ね合わせる,かさねあわせる,overlap,分かち合う,わかちあう,share
靡く,なびく,dominate,泊める,とめる,stay,項垂れる,うなだれる,hang down,立ち返る,たちかえる,return
指し示す,さししめす,point to,引っ込める,ひっこめる,retract,織る,おる,weave,先駆ける,さきがける,pioneer
志す,こころざす,aspire to,淀む,よどむ,stagnate,渇く,かわく,thirst,博する,はくする,expound
偽る,いつわる,disguise,怪しむ,あやしむ,be suspicious of,ときめく,ときめく,flutter,ちらつく,ちらつく,flicker
恐れ入る,おそれいる,be afraid of,厭う,いとう,dislike,突っ走る,つっぱしる,rush,ぼやく,ぼやく,murmur
抑え込む,おさえこむ,suppress,行き交う,いきかう,come and go,食する,しょくする,eat,口ずさむ,くちずさむ,hum
滲み出る,にじみでる,ooze,引き籠もる,ひきこもる,shut oneself away,流し込む,ながしこむ,pour,沸き起こる,わきおこる,arise
身構える,みがまえる,prepare oneself,申し入れる,もうしいれる,make an offer,明け暮れる,あけくれる,dawn and dusk,食い縛る,くいしばる,eat and bind
年老いる,としおいる,grow old,立ち込める,たちこめる,enshroud,朽ちる,くちる,decay,追い立てる,おいたてる,drive away
築き上げる,きずきあげる,build up,蠢く,うごめく,wriggle,穿つ,うがつ,pierce,主立つ,おもだつ,take the lead
書き留める,かきとめる,write down,点ける,つける,turn on,平伏す,ひれふす,lie down,死する,しする,die
駆り立てる,かりたてる,impel,損する,そんする,lose money,助け合う,たすけあう,help each other,崇める,あがめる,worship
尊ぶ,とうとぶ,honor,錆びる,さびる,rust,曝け出す,さらけだす,expose,組み入れる,くみいれる,incorporate
待たす,またす,make wait,見計らう,みはからう,watch for,呼び戻す,よびもどす,call back,しゃくる,しゃくる,borrow
縛り付ける,しばりつける,bind,見破る,みやぶる,see through,立ち並ぶ,たちならぶ,stand side by side,乗り取る,のりとる,ride
古びる,ふるびる,grow old,入り交じる,いりまじる,mix,書き残す,かきのこす,leave a note,取り払う,とりはらう,take away
思い詰める,おもいつめる,ponder,植わる,うわる,plant,涙ぐむ,なみだぐむ,weep,連れ立つ,つれだつ,take away
宛てる,あてる,address,切り落とす,きりおとす,cut down,引き延ばす,ひきのばす,stretch,綻ぶ,ほころぶ,break into pieces
乾かす,かわかす,dry,傷む,いたむ,damage,塗す,まぶす,paint,漕ぎ着ける,こぎつける,paddle
ばら蒔く,ばらまく,scatter,跨ぐ,またぐ,step over,推し進める,おしすすめる,push forward,執り行なう,とりおこなう,intercede
損ねる,そこねる,damage,のめり込む,のめりこむ,become engulfed in,炒る,いる,fry,煮詰める,につめる,boil down
湧き上がる,わきあがる,bring to the surface,巻き上げる,まきあげる,roll up,塞がる,ふさがる,block,あやす,あやす,cherish
引き立てる,ひきたてる,enhance,見惚れる,みとれる,admire,障る,さわる,obstruct,生まれ付く,うまれつく,be born
奏する,そうする,play,言い付ける,いいつける,describe,照る,てる,illuminate,くすむ,くすむ,diminish
暴く,あばく,expose,比する,ひする,compare,押し上げる,おしあげる,push up,切羽詰まる,せっぱつまる,become impatient
計り知れる,はかりしれる,measure,思い直す,おもいなおす,look down on,突き詰める,つきつめる,push to the limit,信じ込む,しんじこむ,believe in
容れる,いる,contain,見下す,みくだす,look down on,持て囃す,もてはやす,make popular,事欠く,ことかく,run out of things to do
扠置く,さておく,set aside,なぞる,なぞる,trace,宿す,やどす,be in one's mind,潜り抜ける,くぐりぬける,slip through the cracks
見過ごす,みすごす,overlook,掘り出す,ほりだす,dig out,受かる,うかる,be accepted,跳ね上がる,はねあがる,jump up
居合わせる,いあわせる,happen to be present,流れ出る,ながれでる,flow out,貯まる,たまる,accumulate,窮する,きゅうする,be in a tight spot
分かつ,わかつ,share,突き当たる,つきあたる,come to the end of something,せがむ,せがむ,urge,揺るぐ,ゆるぐ,shake
跳ぶ,とぶ,jump,言い残す,いいのこす,leave something unsaid,遣り過ごす,やりすごす,do too much,脱ぎ捨てる,ぬぎすてる,take off one's clothes
拾い上げる,ひろいあげる,pick up,怯む,ひるむ,be frightened,打ち消す,うちけす,cancel,たじろぐ,たじろぐ,flinch
弄ぶ,もてあそぶ,play with,勝ち取る,かちとる,win,縺れる,もつれる,get entangled,取り調べる,とりしらべる,interrogate
導き出す,みちびきだす,derive,役立てる,やくだてる,make use of,甘んずる,あまんずる,take advantage of,撒き散らす,まきちらす,scatter
まつる,まつる,pine for,締め括る,しめくくる,bring to a close,駆け上がる,かけあがる,run up,手間取る,てまどる,take the trouble
取り寄せる,とりよせる,fetch,魅する,みする,charm,擡げる,もたげる,raise,鈍る,にぶる,slow down
遣っ付ける,やっつける,finish off​,軋む,きしむ,creak,抱き上げる,だきあげる,pick up,抱き抱える,だきかかえる,hold in one's arms
売り出す,うりだす,market,問い詰める,といつめる,question,鑑みる,かんがみる,take into account,絡み付く,からみつく,entangle
草臥れる,くたびれる,lie in the grass,替わる,かわる,replace,絞り込む,しぼりこむ,narrow down,飛び乗る,とびのる,jump on
滑り込む,すべりこむ,slip into,晴らす,はらす,clear,焼き付く,やきつく,burn,立て籠る,たてこもる,huddle in a room
報いる,むくいる,reward,生やす,はやす,make alive,溜め込む,ためこむ,accumulate,捜し求める,さがしもとめる,seek out
打ち破る,うちやぶる,break down,惑わす,まどわす,confuse,膨れる,ふくれる,swell,取り次ぐ,とりつぐ,intercede
煮込む,にこむ,stew,承る,うけたまわる,accept,洗い流す,あらいながす,wash away,因る,よる,cause
悔やむ,くやむ,regret,横たえる,よこたえる,lay down,打ち解ける,うちとける,break the ice,赤らめる,あからめる,redden
呪う,のろう,curse,嵩む,かさむ,bulk up,諫める,いさめる,admonish,出し合う,だしあう,come to a decision
火照る,ほてる,light a fire,舞い上がる,まいあがる,soar,刻み込む,きざみこむ,engrave,思い止まる,おもいとどまる,stop to think
ぶら下げる,ぶらさげる,dangle,高ぶる,たかぶる,soar,流れ落ちる,ながれおちる,flow down,仕舞い込む,しまいこむ,put away
詰る,なじる,pack,興す,おこす,rise,寝込む,ねこむ,go to bed,持たす,もたす,give something to someone else
照らし出す,てらしだす,shine out,振り払う,ふりはらう,shake off,書き直す,かきなおす,rewrite,為出かす,しでかす,make a plan
口籠もる,くちごもる,shut your mouth,移り住む,うつりすむ,move,飛び越える,とびこえる,jump over,匿う,かくまう,hide
裂ける,さける,split,根差す,ねざす,take root,吸い取る,すいとる,suck up,入り組む,いりくむ,be intricate
押し潰す,おしつぶす,crush,蹌踉く,よろめく,stagger,陣取る,じんどる,take up a position,架ける,かける,build a bridge
持て成す,もてなす,entertain,押さえ付ける,おさえつける,hold down,届け出る,とどけでる,report,連れ込む,つれこむ,bring in
突き刺す,つきさす,pierce,紛れ込む,まぎれこむ,blend in,聞き付ける,ききつける,listen to,頬張る,ほおばる,chew
畏まる,かしこまる,be in awe of,侮る,あなどる,underestimate,絶する,ぜっする,exterminate,喫する,きっする,eat
画する,かくする,draw,長ける,たける,lengthen,押し当てる,おしあてる,press against,瀕する,ひんする,be on the verge of
醸し出す,かもしだす,brew,上り詰める,のぼりつめる,ascend,笑い掛ける,わらいかける,smile upon,奉ずる,ほうずる,serve
轟く,とどろく,roar,念ずる,ねんずる,contemplate,生き返る,いきかえる,come back to life,教え込む,おしえこむ,teach
座する,ざする,sit,疼く,うずく,tingle,突き抜ける,つきぬける,break through,垂れ下がる,たれさがる,hang down
吐き捨てる,はきすてる,spit,混ぜ合わせる,まぜあわせる,mix,切り上げる,きりあげる,cut up,仕向ける,しむける,instruct
こびり付く,こびりつく,stick to,仕込む,しこむ,prepare,苛む,さいなむ,torment,割り出す,わりだす,assign
飛び散る,とびちる,scatter,合わす,あわす,combine,色褪せる,いろあせる,fade away,照らし合わせる,てらしあわせる,illuminate
引っ掻く,ひっかく,scratch,踏み付ける,ふみつける,trample,売り込む,うりこむ,sell,燻る,くすぶる,smoke
和らぐ,やわらぐ,relieve,戯れる,たわむれる,play with,うねる,うねる,undulate,羽ばたく,はばたく,flap wings
食い込む,くいこむ,bite into,伸し掛かる,のしかかる,reach out to,競い合う,きそいあう,compete with each other,振り絞る,ふりしぼる,shake out
掻き回す,かきまわす,stir up,振り翳す,ふりかざす,hold aloft,合わせ持つ,あわせもつ,hold together,積み込む,つみこむ,load
迎え入れる,むかえいれる,welcome,占う,うらなう,divine,裏返す,うらがえす,turn inside out,差し向ける,さしむける,direct
浮き上がる,うきあがる,float,張り巡らす,はりめぐらす,stretch out,群れる,むれる,flock together,逸する,いっする,deviate
突き刺さる,つきささる,pierce,過ぎ去る,すぎさる,pass away,萎える,なえる,wilt,紡ぐ,つむぐ,spin
遊ばす,あそばす,play,解き放つ,ときはなつ,unleash,生い茂る,おいしげる,grow lush,攻め込む,せめこむ,attack
敬う,うやまう,honor,弱まる,よわまる,weaken,繰り上げる,くりあげる,move up,掻き毟る,かきむしる,tear down
貪る,むさぼる,devour,せしめる,せしめる,inflict,恍ける,とぼける,ecstasy,取り壊す,とりこわす,tear down
懲りる,こりる,punish,サボる,さぼる,sabotage,取り乱す,とりみだす,be distraught,仕る,つかまつる,do something about it
口説く,くどく,seduce,聞き入れる,ききいれる,listen to,吹き付ける,ふきつける,blow,聞き流す,ききながす,take no notice of
持ち上がる,もちあがる,lift up,負わす,おわす,make them lose,満ち溢れる,みちあふれる,overflow,買い込む,かいこむ,buy into
食い止める,くいとめる,hold back,もがく,もがく,struggle,倒れ込む,たおれこむ,fall down,振り切る,ふりきる,shake off
早める,はやめる,hasten,突き進む,つきすすむ,push forward,通り越す,とおりこす,pass over,振り撒く,ふりまく,disperse
打ち切る,うちきる,discontinue,奏でる,かなでる,play,決め込む,きめこむ,decide,切らす,きらす,run out
欺く,あざむく,deceive,納まる,おさまる,settle in,絞める,しめる,squeeze,走り抜ける,はしりぬける,run through
根付く,ねづく,take root,居座る,いすわる,stay,考え付く,かんがえつく,come up with,運び出す,はこびだす,carry out
押し退ける,おしのける,push away,報う,むくう,reward,和む,なごむ,be at peace,取り仕切る,とりしきる,manage
書き上げる,かきあげる,write up,窪む,くぼむ,hollow,動ずる,どうずる,move,作り変える,つくりかえる,remake
叩き込む,たたきこむ,beat into shape,寄り掛かる,よりかかる,lean on,引き戻す,ひきもどす,draw back,絞り出す,しぼりだす,squeeze out
言い放つ,いいはなつ,tell someone what to do,張り詰める,はりつめる,stretch out,仕組む,しくむ,devise,進み出る,すすみでる,advance
窘める,たしなめる,rebuke,張り出す,はりだす,stick out,超す,こす,exceed,架かる,かかる,cross over
呼び止める,よびとめる,call someone out,請け負う,うけおう,undertake,印す,しるす,mark,繰り下げる,くりさげる,defer
老ける,ふける,grow old,捗る,はかどる,progress,律する,りっする,discipline,囀る,さえずる,sing
飲ます,のます,drink,抗う,あらがう,resist,修める,おさめる,discipline,満ち足りる,みちたりる,be full to the brim
噛み合う,かみあう,engage in,伏す,ふす,lie down,書き表わす,かきあらわす,write down,詰め掛ける,つめかける,crowd
罹る,かかる,suffer from,舞い戻る,まいもどる,dance back,潤う,うるおう,moisten,嘗め回す,なめまわす,lick
打ち殺す,うちころす,beat to death,零れ落ちる,こぼれおちる,spill over,腫れ上がる,はれあがる,swell up,取り下げる,とりさげる,withdraw
面食らう,めんくらう,face,竦む,すくむ,cower,愚痴る,ぐちる,complain,破く,やぶく,tear
掘り下げる,ほりさげる,delve into,長ずる,ちょうずる,lengthen,突き破る,つきやぶる,break through,挟まる,はさまる,pinch
鏤める,ちりばめる,inlay,狭める,せばめる,narrow,話し込む,はなしこむ,talk about something,連れ帰る,つれかえる,take back
擦れる,すれる,rub,溶く,とく,melt,浮かれる,うかれる,get carried away,出直す,でなおす,come back
染み付く,しみつく,soak,拝する,はいする,worship,売れ残る,うれのこる,sell out,有り余る,ありあまる,have more than enough
値切る,ねぎる,bargain,振りかぶる,ふりかぶる,wave a sword over your head,括り付ける,くくりつける,bundle,秀でる,ひいでる,excel
泣き叫ぶ,なきさけぶ,cry out,競る,せる,compete,反る,そる,warp,込み入る,こみいる,get stuck in
掻き集める,かきあつめる,collect,漁る,あさる,scavenge,慈しむ,いつくしむ,love,古ぼける,ふるぼける,grow old
逸る,はやる,go astray,強請る,ねだる,extort,頼み込む,たのみこむ,ask someone to do something for you,失する,しっする,lose
償う,つぐなう,compensate,安らぐ,やすらぐ,be at ease,銘ずる,めいずる,inscribe,空かす,すかす,empty
興ずる,きょうずる,make merry,聞き入る,ききいる,listen to,舞い込む,まいこむ,dance,挫ける,くじける,falter
