Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,K1,K2,W1,W2,W3
選択する,sentaku,"to choose, select",suru,,,,,,,"選 - elect, select, choose, prefer","択 - choose, select, elect, prefer",,,
洗濯する,sentaku,to wash (clothes),suru,,,,,,,"洗 - to wash, inquire into, probe","濯 - laundry, wash, pour on,  to rinse",,,
説明する,setsumei,to explain,suru,,,,,,,"説 - opinion, theory, rumor, to explain","明 - bright, light, the day breaks",,,
節約する,setsuyaku,"to economize, skimp, save",suru,,,,,,,"節 - node, season, period, occasion, verse, clause","約 - promise, approximately, to shrink",,,
セットする,setto,to set,suru,,,,,,,,,,,
説得する,settoku,to persuade,suru,,,,,,,"説 - opinion, theory, rumor, to explain","得 - gain, get, find, earn, acquire, can, may, able to",,,
世話する,sewa,"to take care of, look after (someone)",suru,,,,,,,"世 - generation, world, society, public","話 - tale, talk",,,
指導する,shidō,to lead guide,suru,,,,,,,"指 - finger, point to, indicate, put into","導 - guidance, leading, conduct, usher",,,
刺激する,shigeki,"to stimulate, irritate, excite",suru,,,,,,,"刺 - thorn, pierce, stab, prick, sting","激 - violent, get excited, enraged, chafe, incite",,,
支配する,shihai,"to control, dominate",suru,,,,,,,"支 - branch, to support(支える), sustain","配 - distribute, spouse, exile, rationing",,,
指示する,shiji,"to instruct, to indicate, to denote",suru,,,,,,,"指 - finger, point to, indicate, put into","示 - show, indicate, point out, express, display",,,
指名する,shimei,"to nominate, designate",suru,,,,,,,"指 - finger, point to, indicate, put into","名 - name, noted, distinguished, reputation",,,
心配する,shinpai,"to be anxious, feel uneasy",suru,,,,,,,"心 - heart, mind, spirit, heart","配 - distribute, spouse, exile, rationing",,,
進歩する,shinpo,"to make progress, advance",suru,,,,,,,"進 - advance, proceed, progress, promote","歩 - walk, counter for steps",,,
侵略する,shinryaku,to invade,suru,,,,,,,"侵 - encroach, invade, raid, trespass, violate","略 - abbreviation, omission, outline, shorten, capture",,,
申請する,shinsei,to make out an application,suru,,,,,,,"申 - have the honor to, to say, to be called","請 - solicit, invite, to ask, to beg",,,
信用する,shinyō,"to trust, believe, place confidence in",suru,,,,,,,"信 - faith, truth, fidelity, trust, to believe","用 - use, errand, task, to use",,,
失敗する,shippai,to fail,suru,,,,,,,"失 - lose, error, fault, disadvantage, loss","敗 - failure, defeat, reversal",,,
支出する,shishutsu,to spend (expenditures),suru,,,,,,,"支 - branch, to supportsustain","出 - exit, leave, go out, come out, put out, protrude",,,
指摘する,shiteki,to point out,suru,,,,,,,"指 - finger, point to, indicate, put into","摘 - pinch, pick, pluck, trim, clip, summarize",,,
質問する,shitsumon,to ask a question,suru,,,,,,,"質 - substance, quality, matter, temperament","問 - question, ask, problem",,,
使用する,shiyō,"to use, employ, to apply",suru,,,,,,,"使 - to use, send on a mission, order, envoy","用 - use, errand, task, to use",,,
食事する,shokuji,to take a meal,suru,,,,,,,"食 - eat, food, to eat","事 - matter, thing, fact, business, reason, possibly",,,
消費する,shōhi,"to consume, expend",suru,,,,,,,"消 - extinguish, blow out, turn off, neutralize, cancel","費 - expense, cost, spend, consume, waste",,,
紹介する,shōkai,"to introduce, present",suru,,,,,,,"紹 - introduce, inherit, help","介 - jammed in, shellfish, mediate, concern oneself",,,
証明する,shōmei,"to prove, testify, certify",suru,,,,,,,"証 - evidence, proof, certificate","明 - bright, light, the day breaks",,,
昇進する,shōshin,to be promoted,suru,,,,,,,"昇 - rise up, to ascend","進 - to advance, proceed, progress, promote",,,
招待する,shōtai,to invite,suru,,,,,,,"招 - beckon, invite, summon, engage","待 - wait, depend on",,,
所有する,shoyū,"to own, possess",suru,,,,,,,"所 - place, extent","有 - possess, have, exist, happen, occur, approx",,,
所属する,shozoku,to belong to,suru,,,,,,,"所 - place, extent","属 - belong, genus, subordinate official, affiliated",,,
主張する,shuchō,"to insist on, assert, emphasize, claim",suru,,,,,,,"主 - lord, chief, master, main thing, principal","張 - lengthen, counter for stringed instr., stretch",,,
集中する,shūchū,"to concentrate, centralize",suru,,,,,,,"集 - gather, meet, congregate, swarm, flock","中 - in, inside, middle, mean, center",,,
縮小する,shukushō,"to reduce, cut, curtail",suru,,,,,,,"縮 - shrink, contract, shrivel, wrinkle, reduce","小 - little, small",,,
出版する,shuppan,"to publish, issue",suru,,,,,,,"出 - exit, leave, go out, come out, put out, protrude","版 - printing block, printing plate, edition, impression",,,
出発する,shuppatsu,"to leave for, depart",suru,,,,,,,"出 - exit, leave, go out, come out, put out, protrude","発 - departure, discharge, publish, emit",,,
修理する,shūri,"to repair, mend, fix, to service",suru,,,,,,,"修 - discipline, conduct oneself well, study, master","理 - logic, arrangement, reason, justice, truth",,,
就職する,shūshoku,to find employment,suru,,,,,,,"就 - concerning, settle, take position, depart, study","職 - post, employment, work",,,
出演する,shutsuen,"to appear (film, play, tv, etc), to perform",suru,,,,,彼はよくテレビに出演する。,He often appears on television.,"出 - exit, leave, go out, come out, put out, protrude","演 - performance, act, play, render, stage",,,
出席する,shusseki,to attend,suru,,,,,授業に出席する。,Attend class.,"出 - exit, leave, go out, come out, put out, protrude","席 - seat, mat, occasion, place",,,
出張する,shutchō,to go on a business trip,suru,,,,,,,"出 - exit, leave, go out, come out, put out, protrude","張 - lengthen, counter for stringed instr., stretch",,,
相談する,sōdan,"to consult, discuss",suru,,,,,,,"相 - inter-, mutual, together, each other","談 - discuss, talk",,,
掃除する,sōji,to clean,suru,,,,,,,"掃 - sweep, brush","除 - exclude, division (x/3), remove, abolish, cancel",,,
存在する,sonzai,to exist,suru,,,,,,,"存 - exist, suppose, be aware of, believe, feel","在 - exist, outskirts, suburbs, located in",,,
操作する,sōsa,"to operate, handle, manage",suru,,,,,,,"操 - maneuver, manipulate, operate, steer, chastity","作 - make, production, prepare, build",,,
組織する,soshiki,"to organize, form",suru,,,,,,,"組 - association, braid, plait, construct, assemble","織 - weave, fabric",,,
卒業する,sotsugyō,to graduate from,suru,,,,,,,"卒 - graduate, soldier, private, die","業 - business, vocation, arts, performance",,,
想像する,sōzō,"to imagine, guess",suru,,,,,,,"想 - concept, think, idea, thought","像 - statue, picture, image, figure, portrait",,,
推薦する,suisen,to recommend,suru,,,,,,,"推 - conjecture, infer, guess, suppose, support, push","薦 - recommend, mat, advise, encourage, offer",,,
スタートする,スタートする,to start,suru,,,,,,,,,,,
逮捕する,taiho,"to arrest, apprehend",suru,,,,,,,"逮 - apprehend, chase","捕 - catch, capture",,,
退院する,taiin,to be released from a hospital,suru,,,,,,,"退 - retreat, withdraw, retire, resign, repel, expel, reject","院 - Inst., institution, temple, mansion, school",,,
対立する,tairitsu,to be opposed,suru,,,,,,,"対 - vis-a-vis, opposite, even, equal, versus, anti-","立 - stand up, rise, set up",,,
探検する,tanken,to explore,suru,,,,,,,"探 - grope, search, look for","検 - examination, investigate",,,
担当する,tantō,to take charge of,suru,,,,,,,"担 - shouldering, carry, raise, bear","当 - hit, right, appropriate, himself",,,
達成する,tassei,"to achieve, attain, accomplish",suru,,,,,,,"達 - accomplished, reach, arrive, attain","成 - turn into, become, get, grow, elapse, reach",,,
タッチする,tacchi,to touch,suru,,,,,,,,,,,
提案する,teian,"to propose, suggest",suru,,,,,,,"提 - propose, take along","案 - plan, suggestion, draft, ponder",,,
提出する,teishutsu,"to submit, present",suru,,,,,,,"提 - propose, take along","出 - exit, leave, go out, come out, put out, protrude",,,
徹夜する,tetsuya,to work all night,suru,,,,,,,"徹 - penetrate, clear, pierce, strike home","夜 - night, evening ",,,
到着する,tōchaku,to arrive,suru,,,,,,,"到 - arrival, proceed, reach, attain","着 - don, arrive, wear",,,
投票する,tōhyō,"to vote, cast a ballot",suru,,,,,,,"投 - throw, discard, abandon, launch into, join","票 - ballot, label, ticket, sign ",,,
統一する,tōitsu,"to unify, unite",suru,,,,,,,"統 - overall, relationship, ruling, governing ",一 - one,,,
取り引きする,torihiki,to have dealings with,suru,,,,,,,"取 - take, fetch, take up ","引 - pull, tug, jerk, admit, install",,,
当選する,tōsen,to be elected,suru,,,,,,,"当 - hit, right, appropriate, himself ","選 - elect, select, choose, prefer",,,
投資する,tōshi,to invest,suru,,,,,,,"投 - throw, discard, abandon, launch into, join","資 - assets, resources, capital, funds, data",,,
通知する,tsūchi,"to inform, give notice",suru,,,,,,,"通 - traffic, pass through, avenue, commute","知 -  know, wisdom ",,,
追加する,tsuika,"to supplement, add",suru,,,,,,,"追 - chase, drive away, follow, pursue, meanwhile ","加 - add, addition, increase, join, include",,,
通過する,tsūka,"to pass, go through without stopping",suru,,,,,,,"通 - traffic, pass through, avenue, commute","過 - overdo, exceed, go beyond, error",,,
運営する,un’ei,"to manage, run, administer",suru,,,,,,,"運 - cary, luck, destiny, fate, lot, transport, progress","営 - occupation, perform, build, conduct (business)",,,
運転する,unten,"to drive, to manage (money)",suru,,,,,,,"運 - carry, luck, destiny, fate, lot, transport, progress","転 - revolve, turn around, change ",,,
和解する,wakai,to be reconciled with,suru,,,,,,,"和 - harmony, Japanese style, peace, soften","解 - unravel, notes, key, explanation",,,
約束する,yakusoku,to promise,suru,,,,,,,"約 - promise, approximately, shrink ","束 - bundle, sheaf, ream, tie in bundles, govern",,,
予防する,yobō,"to prevent, protect",suru,,,,,,,"予 - beforehand, previous, myself, I ","防 - ward off, defend, protect, resist ",,,
要求する,yōkyū,"to demand, claim",suru,,,,,,,"要 - need, main point, essence, pivot","求 - request, want, wish for, require, demand ",,,
養成する,yōsei,"to train, develop (a person)",suru,,,,,,,"養 - foster, bring up, rear, develop, nurture ","成 - turn into, become, get, grow, elapse, reach",,,
予習する,yoshū,to study beforehand,suru,,,,,,,"予 - beforehand, previous, myself, I ",習 - learn,,,
予想する,yosō,"to predict, anticipate",suru,,,,,,,"予 - beforehand, previous, myself, I ","想 - concept, think, idea, thought ",,,
予約する,yoyaku,"to reserve, book",suru,,,,,,,"予 - beforehand, previous, myself, I ","約 - promise, approximately, to shrink",,,
誘拐する,yūkai,to kidnap,suru,,,,,,,"誘 - entice, lead, tempt, invite, ask","拐 - kidnap, falsify ",,,
輸入する,yunyū,to import,suru,,,,,,,"輸 - transport, send, be inferior ","入 - enter, insert",,,
優勝する,yūshō,to win a contest or championship,suru,,,,,,,"優 - tenderness, excel, surpass, actor, superiority","勝 - victory, win, prevail, excel ",,,
輸出する,yushutsu,to export,suru,,,,,,,"輸 - transport, send, be inferior ","出 - exit, leave, go out, come out, put out, protrude",,,
郵送する,yūsō,to send by mail,suru,,,,,書類は別便で郵送します。,Documents will be mailed separately.,"郵 - mail, stagecoach stop ","送 - escort, send ",,,
誘惑する,yūwaku,"to tempt, lure, entice",suru,,,,,悪い友達が彼を誘惑してたばこを吸わせた。,A bad friend seduced him into smoking cigarettes.,"誘 - entice, lead, tempt, invite, ask","惑 - beguile, delusion, perplexity",,,
絶望する,zetsubō,"to have no hope, be in despair",suru,,,,,私を絶望させないでくれ。,Don't make me despair.,"絶 - discontinue, sever, cut off, abstain, interrupt","望 - ambition, full moon, hope, desire, aspire to",,,
増加する,zōka,"to increase, grow, augment",suru,,,,,それは昨年に比して３割の増加である。,That's a 30 percent increase over last year.,"増 - increase, add, augment, gain, promote ","加 - add, addition, increase, join, include",,,
