Verbs,Reading,Meaning,S1,T1
戦う,たたかう,"to wage war, compete against",彼らは自分達の自由のために戦った。,They fought for their freedom.
達する,たっする,"to reach, get to, arrive at",私は君と同じ結論に達した。,I have come to the same conclusion as you.
悩む,なやむ,"to be worried, be troubled",そして私はそれについていつも悩んだ。,And I always worried about it.
洗う,あらう,"to wash, cleanse, rinse",ちょっと手洗ってくる。,I'm going to go wash my hands.
疲れる,つかれる,"to get tired, tire, get fatigued, become exhausted",とても疲れているから走れない。,I can't run because I am very tired.
着く,つく,"to arrive at, reach, sit on, sit at",明日の午後７時に羽田に着きます。,I will arrive at Haneda tomorrow at 7pm.
喋る,しゃべる,"to talk, chat, chatter​",食事をしながらゆっくりしゃべった。,We talked slowly over dinner.
慣れる,なれる,"to get used to, grow accustomed to, become familiar with​",外国語を聞くのに慣れていない。,Not accustomed to hearing foreign languages.
流す,ながす,"to drain, pour, run, let flow, flush, set adrift, wash away",水を流して手足を洗った。,I washed my hands and feet in running water.
握る,にぎる,"to clasp, grasp, grip, clutch, hold, have, be the key, mold",どうして私の手を握っているの？,Why are you holding my hand?
減る,へる,"to decrease, diminish, abate",痛みが少し減りました。,The pain has decreased a little.
下げる,さげる,"to hang, suspend, wear, lower, reduce, bring down",値段を下げるべきだと思います。,I think the price should be lowered.
占める,しめる,"to occupy, hold, make up, take up",彼は銀行で重要な地位を占めている。,He occupies an important position in the bank.
優れる,すぐれる,"to surpass, outstrip, excel",数学では彼より優れている者はいなかった。,No one was better than him in mathematics.
包む,つつむ,"to wrap up, pack, bundle, do up, cover, engulf, conceal",花瓶をプレゼント用に包んでもらった。,I had a vase of flowers gift-wrapped.
吐く,はく,"to breathe out, breathe, tell, vomit",大きく息を吐く。,Breathe out heavily.
消す,けす,"to erase, rub off, cross out, delete, turn off, extinguish, remove",水をかけて火を消す。,Pour water over the fire to extinguish it.
覗く,のぞく,"to peek, look down into, sneak a look at, peep",私の部屋を覗かないでよ。,Don't peek into my room.
勝つ,かつ,"to win, gain victory",きわどいところで勝つ。,Win at the critical point.
浮かぶ,うかぶ,"to float, be suspended, rise to the surface, emerge",彼にいい考えが浮かんだ。,A good idea came to him.
去る,さる,"to leave, go away, pass, elapse, send away, drive off",彼らは一時間前に町を去った。,They left town an hour ago.
回す,まわす,"to turn, rotate, spin, twist, pass around",首が痛くて回せません。,My neck hurts and I can't turn it.
除く,のぞく,"to remove, eliminate, eradicate, exclude",無関係の項目を除く。,Excluding irrelevant items.
育つ,そだつ,"to be raised, be brought up, grow",私は京都で生まれて京都で育った。,I was born and raised in Kyoto.
終える,おえる,to finish,一日の仕事を終えて家路につく。,"After a day's work, I head home."
外す,はずす,"to remove, take off, detach, unfasten, undo",上着のボタンを外す。,Unbutton your jacket.
呟く,つぶやく,"to mutter, murmur, grumble​, tweet",彼女はいつも一人でつぶやいている。,She is always mumbling to herself.
向く,むく,"to turn toward, look, face, be suited to, be fit for",みなの視線が一斉にそちらへ向いた。,Everyone's eyes turned in that direction at once.
負ける,まける,"to lose, be defeated, succumb, give in, surrender, yield",我がチームは10対６で大阪チームに負けた。,Our team lost 10-6 to the Osaka team.
要る,いる,"to need, want​",ほかに何か要りますか。,Do you need anything else?
恐れる,おそれる,"to fear, be afraid of",彼女は少しも恐れずそこへ行った。,She went there without the slightest fear.
直す,なおす,"to repair, mend, fix, correct",ネクタイが曲がっているから直してあげよう。,"Your tie is crooked, let me fix it for you."
設ける,もうける,"to prepare, provide, set up, establish, organize",機会を設けて二人を会わせよう。,I will provide an opportunity for them to meet.
支払う,しはらう,to pay​,車の代金は24回の分割払いで支払った。,The car was paid for in 24 installments.
迫る,せまる,"to approach, draw near, be imminent, press, urge, compel",私たちは山の頂上に迫った。,We approached the top of the mountain.
経る,へる,"to pass, elapse, go by, pass through, go through, experience, undergo",なす事もなく日を経る。,The days pass by without much being done.
振り返る,ふりかえる,"to turn one's head, turn around, look back, reminisce",前日の行いを振り返って恥ずかしいと思った。,I looked back at what I had done the day before and felt ashamed.
断る,ことわる,"to refuse, reject, turn down, decline, inform, ask to leave",彼女は私の依頼を断った。,She refused my request.
誘う,さそう,"to invite, ask, call for, tempt, lure, induce, provoke",友人数人をお茶に誘った。,I invited a few friends over for tea.
越える,こえる,"to cross over, cross, pass through, go beyond, exceed, surpass",その村はこの川を越えた所にある。,The village is just beyond this river.
取り出す,とりだす,"to take out, produce, pick out, fetch, retrieve",彼女はポケットから鉛筆を取り出した。,She took a pencil out of her pocket.
急ぐ,いそぐ,"to hurry, rush, hasten ",飛行機に乗り遅れないように私は空港へ急いだ。,I hurried to the airport so as not to miss my flight.
慌てる,あわてる,"to become confused, be flustered, panic, hurry, rush, hasten",どんな時でも彼は慌てない。,At all times he does not panic.
訴える,うったえる,"to raise, bring to, appeal to, complain, sue, resort to",彼は我々の感情に訴えた。,He appealed to our emotions.
命ずる,めいずる,"to command, appoint",彼は帰国を命じられた。,He was ordered to return home.
有する,ゆうする,"to own, be endowed with",すべての人は対等の権利を有する。,All people have equal rights.
別れる,わかれる,"to be divided, part from, separate",二人は無理やり別れさせられた。,They were forced to separate.
伝わる,つたわる,"to be handed down, be introduced, be transmitted, circulated, go along",その物語は昔から伝わってきた。,The story has been handed down for centuries.
参る,まいる,"to go, come, call, visit",明日横浜へ参ります。,I will be in Yokohama tomorrow.
尽くす,つくす,"to exhaust, run out, devote, serve",店はその雑誌の在庫を売り尽くしました。,The store sold out of its inventory of the magazine.
移る,うつる,"to move, transfer",ボストンに移ったんだ。,I moved to Boston.
告げる,つげる,"to tell, inform, announce, indicate, signal, mark",夏が終わりを告げていた。,Summer was coming to an end.
仰る,おっしゃる,"to say, speak, tell, talk",お名前は何とおっしゃいましたか。,What was your name?
詰まる,つまる,"to be packed, be full",今日は予定が詰まっている。,My schedule is packed today.
下ろす,おろす,"to take down, launch, drop, lower, withdraw, fillet",子猫を木から下ろしてやった。,I took the kitten down from the tree.
広げる,ひろげる,"to spread, extend, expand, enlarge, widen, unfold, prosper",活動の幅を世界に広げる。,Expanding the scope of activities to the world.
任せる,まかせる,"to entrust, leave to",万事あなたにお任せします。,I leave everything to you.
掻く,かく,"to scratch, perspire, shovel, paddle",痒い所を掻くこともできない。,I can't even scratch an itch.
戻す,もどす,"to put back, return, give back, restore, recover",この本をもとあった場所に戻しなさい。,Put this book back where it belongs.
休む,やすむ,"to rest, have a break, take a day off",ちょっと勉強を休みましょう。,Let's take a break from studying for a moment.
遅れる,おくれる,"to be late, be delayed, fall behind schedule, be overdue",彼女は決して学校に遅れない。,She is never late for school.
重ねる,かさねる,"to pile up, stack up, repeat many times over",我がチームは得点を重ねた。,Our team scored a lot of points.
足りる,たりる,"to be sufficient, be enough",今週は眠りが足りている。,I am getting enough sleep this week.
見なす,みなす,"to consider as, regard as, deem as, equate",私たちはそれが自然なものとみなしているのです。,We assume that it's natural.
間違う,まちがう,"to make a mistake, be incorrect, be mistaken",彼は間違って答えた。,He answered incorrectly.
閉じる,とじる,"to close, shut",開いているすべてのファイルを閉じる。,Close all open files.
保つ,たもつ,"to keep, preserve, hold, retain, maintain, sustain, endure",体調を保つために何をしていますか。,What do you do to stay in shape?
吸う,すう,"to smoke, breathe in, inhale, suck, sip, slurp, soak up, absorb",たばこを吸ってもよろしいですか。,May I smoke a cigarette?
諦める,あきらめる,"to give up, abandon",決して愛を諦めないで。,Never give up on love.
耐える,たえる,"to bear, stand, endure, put up with, support, withstand, resist, be fit for",彼はだれも想像できないような大きな困難に耐えた。,He endured great hardships that no one could imagine.
訪ねる,たずねる,"to visit, call on, pay a visit to",私は日曜の朝彼女を訪ねました。,I visited her on Sunday morning.
生かす,いかす,"to make use of, leverage, capitalise, let live, keep alive, revive, resuscitate",釣った魚をいけすに生かしておく。,Keep the caught fish alive in a cage.
下がる,さがる,"to come down, go down, fall, drop, sink, hang, dangle, move back, fall of, be downgraded",コーヒーの値段が下がった。,Coffee prices have dropped.
確かめる,たしかめる,"to ascertain, check, make sure",彼が無事に帰宅したか確かめなさい。,Make sure he gets home safely.
鳴る,なる,"to sound, ring, resound, echo, roar, rumble",雷が遠くで鳴っていた。,Thunder rumbled in the distance.
目立つ,めだつ,"to be conspicuous, stand out",その変化は目立つほどではなかった。,The change was not as noticeable.
掲げる,かかげる,"to publish, print, put up, hang out, hoist, tuck up, adopt",私たちはランプを高く掲げて合図した。,We signaled by holding our lamps high.
移す,うつす,"to change, swap. substitute, transfer, infect, move on, spend",彼はその計画を実行に移した。,He put the plan into action.
並べる,ならべる,"to line up, set up, arrange in a line, itemise, compare well with",我々は大きさの順に並べた。,We arranged them in order of size.
高める,たかめる,"to raise, lift, boost, enhance",風邪に対する抵抗力を高める。,Increase resistance to colds.
奪う,うばう,"to snatch away, dispossess, steal",その男は私から財布を奪った。,The man took my wallet from me.
被る,こうむる,"to suffer, receive, sustain",二酸化炭素によって危害を被ることがある。,Carbon dioxide can cause harm.
疑う,うたがう,"to doubt, distrust, be suspicious, suspect",私は彼の話を疑っている。,I doubt his story.
履く,はく,"to put on (lower-body clothing, footwear)",普段は、ジーンズを履いてるね。,I usually wear jeans.
生み出す,うみだす,"to create, bring forth, produce, invent, bear, give. birth to",観光事業が多くの新しい仕事を生み出した。,Tourism created many new jobs.
迷う,まよう,"to lose one's way, waiver, hesitate, be puzzled, be perplexed",彼は新宿駅で道に迷った。,He got lost at Shinjuku station.
襲う,おそう,"to attack, assail, strike, hunt down, succeed, make sudden visit",秋にはいくつかの台風が日本を襲う。,Several typhoons will hit Japan in the fall.
発する,はっする,"to fire, emit, give forth",花は大変心地良い香りを発する。,The flowers emit a very pleasant fragrance.
挟む,はさむ,"to interpose, hold between, insert, be on either side, be across",両側から挟むようにして追いつめる。,Catch up with them by pinching them from both sides.
登る,のぼる,"to ascend, go up, climb, rise, be promoted, add up to, advance",さらなる努力が一定の速度を登る。,Further efforts climb a certain speed.
属する,ぞくする,"to belong to, come under, be affiliated with, be subject to",我々のグループは国際団体に属しています。,Our group belongs to an international organization.
繋ぐ,つなぐ,"to connect, link together, tie, fasten, restrain, keep, transfer",内線5021番につないでください。,Please connect to extension 5021.
降る,ふる,"to precipitate, fall",雨は激しく降った。,Rain fell heavily.
組む,くむ,"to cross, link, put together, construct, assemble, unite, join, set",彼は丸太を組んで小屋を作った。,He built a hut out of logs.
取り組む,とりくむ,"to tackle, wrestle with, engage in a bout, make effort, deal with",この問題を別の面から取り組んでみよう。,Let's tackle this problem from another aspect.
負う,おう,"to bear, carry on one's back, take responsibility for, accept a duty, be injured",彼は重要な任務を負っていた。,He had an important mission.
載る,のる,"to be placed on, be set on, be piled on, be loaded on, appear",彼の写真が新聞に載っていた。,His picture was in the newspaper.
倒れる,たおれる,"to fall, collapse. drop, be ruined",彼はバランスを崩して倒れた。,He lost his balance and fell.
撮る,とる,"to take, record, make",ここは写真撮って大丈夫ですか？,Is it okay to take pictures here?
響く,ひびく,"to resound, e heard far away, reverberate, vibrate, have an effect",この楽器はよく響かない。,This instrument does not resonate well.
応える,こたえる,"to respond, answer, meet, affect, have an effect",消費者の要望にこたえる。,Respond to consumer demand.
留まる,とまる,"to stop, come to a stop, halt, cease",騒音がぱったりと留まった。,The noise died down.
指す,さす,"to point, nominate, specify, indicate, indemnify, point out",その子は自分の家の方を指した。,The boy pointed toward his house.
接する,せっする,"to touch, come in contact with, adjoin, receive",倉庫が軒を接している通り。,The street is lined with warehouses.
狙う,ねらう,to aim at,私達はみんな成功を狙っている。,All of us aim at success.
救う,すくう,"to rescue from, help out of, save",この犬は山の遭難者を救うように訓練されている。,This dog is trained to save people in distress in the mountains.
満たす,みたす,"to satisfy, fulfil. appease, fill, pack, reach",彼女はグラスにワインを満たした。,She filled the glass with wine.
伸びる,のびる,"to stretch, extend, lengthen, spread, make progress, grow, prolonged",この生地は引っ張るとすぐ伸びる。,This fabric stretches quickly when pulled.
説く,とく,"to explain, advocate, preach, persuade",先生はこの点を詳細に説いた。,The teacher explained this point in detail.
貸す,かす,"to lend, loan, rent out, hire out",ナイフを貸して下さい。,Please lend me your knife.
加わる,くわわる,"to be added to, be appended, join in, participate, increase, be applied",夕方になって風速が加わった。,Wind speeds increased in the evening.
絶える,たえる,"to die out, become extinct, cease, stopped, discontinue, cut off",油の供給が絶えた。,The oil supply was cut off.
覆う,おおう,"to cover, hide, conceal, wrap, disguise",その地方全体が雪で覆われた。,The entire region was covered with snow.
務める,つとめる,"to work, see, fill, play the role",彼は案内役を務めてくれた。,He served as a guide.
利く,きく,"to be effective, take effect, show effect,  be good for, work, function well",ブレーキが利かない。,Brakes are not working.
分かれる,わかれる,"to branch, fork, diverge, separate, split, divide, disperse, scatter",クラスは意見が分かれた。,The class was divided in opinion.
下る,くだる,"to come down, descend, go down, handed down, pass",私たちは急いで山を下った。,We hurried down the mountain.
止む,やむ,"to cease, stop, be over",雨が止んだらすぐに出かけましょう。,Go out as soon as the rain stops.
見掛ける,みかける,"to happen to see, notice, catch sight of",公園で彼を見かけたんです。,I saw him in the park.
窺う,うかがう,"to peep, peek, examine, await, guess, infer",私は戸の透き間から部屋の中をうかがった。,I looked into the room through the crack in the door.
輝く,かがやく,"to shine, glitter, sparkle",空にはたくさんの星が輝いていた。,There were many stars shining in the sky.
招く,まねく,"to invite, ask, gesture to, call in, send for, summon, cause, incur",彼らは自ら困難を招いた。,They caused their own difficulties.
寄せる,よせる,"to come near, bring near, bring together, deliver, send, let some approach",テーブルを壁の方へ寄せてください。,Pull the table toward the wall.
抑える,おさえる,"to pin something down, suppress, restrain, seize, curb, gain control",喜びを抑えることができなかった。,I could not contain my joy.
沿う,そう,"to run along, run beside, follow, act in accordance with",海岸に沿って新しい道路が出来た。,A new road was built along the coast.
溢れる,あふれる,"to overflow, brim over, flood",春になると川がここであふれる。,The river overflows here in the spring.
空く,すく,"to become less crowded, thin out, get empty, be hungry",駐車場がすいていた。,The parking lot was empty.
光る,ひかる,"to shine, glitter, be bright",床がピカピカに光っていた。,The floor was shining.
称する,しょうする,"to take the name of, call oneself, pretend, feign",私は建築を凍結した音楽と称する。,I call architecture frozen music.
促す,うながす,"to urge, press, prompt, suggest, demand, stimulate, incite",弁護士は真実を話すように証人を促した。,The lawyer urged the witness to tell the truth.
込める,こめる,"to load, charge, put into, include, hang over, envelop",弁当代を込めて旅費は５万円です。,"Travel expenses are 50,000 yen, including lunch expenses."
存ずる,ぞんずる,"to think, feel, consider, know",皆様と喜びをともにいたしたいと存ずるのであります。,I would like to share my joy with all of you.
囲む,かこむ,"to surround, encircle, enclose, fence, wall in, besiege",その庭は木のフェンスで囲まれていた。,Its yard was surrounded by a wooden fence.
塗る,ぬる,"to paint, plaster, varnish, spread, put up",彼女はパンにバターを塗った。,She buttered the bread.
防ぐ,ふせぐ,"to defend against,  protect against, prevent, alert, avoid",これが起こるのを防ぐ努力をすべきだった。,I should've tried to prevent this from happening.
論ずる,ろんずる,"to argue, discuss, debate",論理との関係や応用について論ずる。,The relationship to logic and its applications will be discussed.
押さえる,おさえる,"to pin something down, suppress, restrain, seize, curb, gain control",彼らはコストを押さえようとしている。,They are trying to hold down costs.
注ぐ,そそぐ,"to pour, fill, sprinkle on from above, shed",彼女はカップにミルクを注いだ。,She poured milk into the cup.
引っ張る,ひっぱる,"to pull, draw, run, stretch, drag, haul, lead, take, delay, prolong",彼はロープを引っ張った。,He pulled the rope.
切れる,きれる,"to break, snap, be cut, split, crack, be injured, wear out, run out, used up, do completely",このナイフは切れなくなった。,This knife is no longer sharp.
陥る,おちいる,to fall into ,登山隊は出発して最初の困難に陥った。,The climbing party encountered their first difficulty after setting out.
数える,かぞえる,"to count, enumerate",あの事件以来の年数を数える。,I count the years since that incident.
隠れる,かくれる,"to hide, be hidden, conceal oneself, disappear",彼はドアの後ろに隠れた。,He hid behind the door.
咲く,さく,to bloom,光が刺激となって花が咲く。,Light stimulates flowers to bloom.
高まる,たかまる,"to rise, swell, be promoted",彼の到着の知らせで我々の興奮は高まった。,Our excitement was heightened by the news of his arrival.
備える,そなえる,"to furnish, provide for, equip, install, have ready, prepare for, possess with",彼女は部屋に美しい家具を備えた。,She furnished the room with beautiful furniture.
作り出す,つくりだす,"to manufacture, produce, raise, invent, create",わが国の都会は深刻な汚染問題を作り出している。,Our cities are creating a serious pollution problem.
見出す,みいだす,"to find out, discover, notice, detect, select, pick out",彼女の顔に不安の色を見出した。,I detected a hint of anxiety on her face.
浮かべる,うかべる,"to float, express, look, think, imagine, remember",その事故の起こった状況を頭に浮かべてみる。,Try to picture in your mind the circumstances under which the accident occurred.
申し上げる,もうしあげる,"to say, tell, state, express, offer",結果が分かり次第お知らせ申し上げます。,We will inform you of the results as soon as we know them.
寄る,よる,"to approach, draw near, come near, gather, meet, stop by, drop by",スーパーに寄ってきます。,I'm going to stop by the supermarket.
味わう,あじわう,"to taste, savoy, relish, appreciate, enjoy, digest, experience",彼はそのチーズケーキを味わってみた。,He tasted the cheesecake.
叱る,しかる,"to scold, chide, rebuke, reprimand",母親は彼女が夕食に遅れたことをしかった。,Her mother scolded her for being late for supper.
辞める,やめる,"to resign, retire, quit, leave",やむなく学校を辞めさせられた。,I had no choice but to quit school.
整える,ととのえる,"to put in order, arrange, adjust, get ready, prepare, raise money",会の準備をすっかり整えた。,The meeting was completely prepared.
増す,ます,"to increase, grow",すばらしい天気は私達の楽しさを増した。,The wonderful weather added to our enjoyment.
震える,ふるえる,"to shiver, shake, quake, tremble, quiver",少女は恐怖で震えた。,The girl trembled with fear.
代わる,かわる,"to replace, substitute, take over, exchange",外遊中だれが彼に代わるのか。,Who will replace him during the trip?
辿る,たどる,"to follow, pursue, follow up",山頂への小道をたどった。,We followed a trail to the summit.
試す,ためす,"to attempt, test, try out",このソースを試してみて。,Try this sauce.
吹く,ふく,"to blow, play a wind instrument, emit, spout, whistle",外は強い風が吹いている。,A strong wind is blowing outside.
好む,このむ,"to like, prefer",私は飛行機の方を好みます。,I prefer to travel by air.
踊る,おどる,to dance,私たちは道路で踊ります。,We dance on the road.
巻く,まく,"to wind, coil, roll, wear, envelop, shroud, outflank, link",その女の子は首のまわりにスカーフを巻いている。,The girl has a scarf around her neck.
積む,つむ,"to pile up, stack, load, pack, acquire, accumulate",トラックに荷物を積んだ。,The luggage is piled up in the truck.
増やす,ふやす,"to increase, add to, augment",音楽は私達の楽しみを増やしてくれた。,Music added to our enjoyment.
痩せる,やせる,"to become thin, lose weight, reduce weight, slim",彼女はとても痩せたがっている。,She wants to lose so much weight.
飾る,かざる,"to decorate, ornament, adorn",私は好みに合わせてアパートを飾るのが好きです。,I like to decorate my apartment according to my taste.
飼う,かう,"to keep, raise, have, own, feed a pet",彼女は小さな黒い犬を飼っている。,She has a little black dog.
揃う,そろう,"to become complete, be all present,  be a full set, be uniform, assemble",この図書館には生物関係の本がそろっている。,This library has a collection of biology-related books.
噛む,かむ,"to bite, chew, gnaw, engage, mesh, fir together, involve in",私の手を噛んだのはあの犬だった。,It was that dog that bit my hand.
堪る,たまる,"to bear, endure",彼は彼女に会いたくてたまらなかった。,He was eager to see her.
測る,はかる,"to measure, weigh, survey, time, infer",溶液の濃度を測る。,Measure the density of the solution.
頼る,たよる,"to rely on, have recourse to, depend on",公的資金に大いに頼る。,Rely heavily on public funds.
嫌う,きらう,"to hate, dislike, loathe",電気製品は湿気を嫌う。,Electrical products do not like moisture.
治る,なおる,"to be cured, get well, be healed, be mended, be repaired, be fixed",完全には治りません。,It is not completely cured.
探る,さぐる,"to feel around for, fumble for, search for, look for, probe into, explore",最善の方法を探る。,Explore the best way forward.
満ちる,みちる,"to be full, wax, rise, mature, expire",ホテルは外国人で満ちてる。,Hotels are filled with foreigners.
映る,うつる,"to be reflected, harmonize with, come out, be projected, be displayed",カーテンに女の子の影が映った。,The girl's shadow was reflected on the curtains.
踏む,ふむ,"to step on, tread on, experience, undergo, estimate, value, appraise, follow",なんか変なもの踏んじゃった。,I stepped on something strange.
突く,つく,"to prick, stab, poke, thrust, nudge, hit, strike, use, attack",針で親指を突いてしまった。,I poked my thumb with a needle.
触る,さわる,"to touch, feel",展示品に触らないでください。,Do not touch the exhibits.
遭う,あう,"to meet, encounter, see",台風でたいへんな被害に遭った。,The typhoon caused serious damage.
溜まる,たまる,"to collect, gather, save, accumulate, pile up",空きビンに雨水が溜まっている。,Rainwater is accumulating in empty bottles.
泊まる,とまる,"to stay at, be docked",空港の近くのホテルに泊まりたいな。,I'd like to stay at a hotel near the airport.
交ぜる,まぜる,"to mix, stir, blend",フランス語をよく交ぜて話す人だ。,He is a man who often speaks with a mixture of French.
飛び出す,とびだす,"to jump out, rush out, fly out, appear suddenly, project, butt in",子供が急に道に飛び出した。,The child suddenly ran out into the street.
埋める,うめる,"to bury, fill up, cause to be packed, plug, stop, bridge, make up for",犬はよく骨を地面に埋める。,Dogs often bury bones in the ground.
褒める,ほめる,"to praise, admire, speak well of someone",彼女は彼の正直さを褒めた。,She complimented him on his honesty.
収める,おさめる,"to dedicate, make an offering, pay, supply, finish, bring close, restore, obtain, gain, achieve",彼は海外貿易で大きな利益を収めた。,He profited greatly from foreign trade.
見上げる,みあげる,"to look up at, raise one's eyes, look up to, admire, respect",空を見上げているのは誰だね。,Who's looking up at the sky?
晒す,さらす,"to expose, bleach, refine",彼は危険に晒されていた。,He was exposed to danger.
放つ,はなつ,"to fire, hit, break wind, free, release, give off, emit",この花は強い香りを放つ。,This flower has a strong fragrance.
勤める,つとめる,"to work, be employed, serve, fill, play the role",彼は大学に勤めています。,He works for a university.
解く,とく,"to untie, unfasten, unwrap, undo, unpack, unseen, solve, work out, answer, dispel, dissolve, cancel",その問題を解くのは簡単ではない。,Solving that problem is not easy.
浴びる,あびる,"to dash over oneself, shower, take a bath",シャワーを浴びる。,Take a shower.
成り立つ,なりたつ,"to consist of, be made up of, be composed of, be practical, be feasible",その団体は教師と学生から成り立っていた。,The organization consisted of teachers and students.
拭く,ふく,"to wipe, dry",私は窓の下枠をペーパータオルで拭いた。,I wiped the bottom frame of the window with a paper towel.
漂う,ただよう,"to drift, float, hang in the air, wander, falter",春の花の香りが漂っていた。,The scent of spring flowers was in the air.
苦しむ,くるしむ,"to suffer, groan, be worried",彼女は痛みに苦しんでいた。,She was in pain.
犯す,おかす,"to commit, perpetrate, violate",容疑者はその罪を犯していなかった。,The suspect did not commit the crime.
築く,きずく,"to build, construct, erect, amass, pile up",彼は貿易で財産を築いた。,He made his fortune in trade.
結び付く,むすびつく,"to be related, be connected, be joined together, result in, lead to",彼の努力が好成績に結びついた。,His efforts led to good results.
交わす,かわす,"to exchange, intersect, cross, interlace",彼らは激しい言葉を交わした。,They exchanged heated words.
反する,はんする,"to be contrary to, be inconsistent with, contradict. oppose",彼の返事は私達の期待に反するものだった。,His reply was contrary to our expectations.
話し合う,はなしあう,"to discuss, talk together",私たちは将来の私たちの計画について話し合った。,We discussed our plans for the future.
担う,になう,"to carry on shoulder, bear",校務の責任を担っている。,He is responsible for school administration.
導く,みちびく,"to guide, lead, show the way, conduct, derive, deduce",彼女は私たちの努力を正しい方向に導いてくれた。,She guided our efforts in the right direction.
無くす,なくす,"to lose something, lose someone, get rid of",私はその前日にカメラをなくしてしまった。,I had lost my camera the day before.
引き受ける,ひきうける,"to be responsible for, take over, take up., guarantee, undertake, contract",深く考えないでその仕事を引き受けてしまった。,I took that job without giving it much thought.
次ぐ,つぐ,"to rank next to, come after",大雨に次いで台風が来た。,Heavy rains were followed by a typhoon.
壊れる,こわれる,"to be broken, break, all through, come to nothing",地震で多くの家が壊れた。,Many houses were destroyed by the earthquake.
放る,ほうる,"to throw, toss, fling, throw away, discard, neglect, abandon, leave alone",このボールをこっちへ放ってくれ。,Throw this ball over here.
敷く,しく,"to spread out, lay out, take a position, impose widely",彼女はベッドにきれいなシーツを敷いた。,She put clean sheets on the bed.
差し出す,さしだす,"to present, submit, tender, hold out",私たちを迎えるために彼は手を差し出した。,He held out his hand to greet us.
受け止める,うけとめる,"to catch,  stop the blow, rect to, take, accept, come to grips with",彼女は知らせを冷静に受け止めた。,She took the news calmly.
下す,くだす,"to make a decision, draw a conclusion, judge, lower, do by oneself, beat",専門家はその絵に高い評価を下した。,Experts gave the painting high marks.
試みる,こころみる,"to try, attempt, have a go",彼は来年はエベレスト登山を試みる。,He will attempt to climb Mount Everest next year.
載せる,のせる,"to place on, give someone a ride, give a lift, load, carry, send out",荷物をカートに載せて税関の方へ行った。,I put my luggage on a cart and went to customs.
太る,ふとる,"to grow fat, become fat, gain weight",このごろずいぶん太りました。,I have gained a lot of weight recently.
効く,きく,"to be effective, show effect, carry out its function well, possible for use",この薬はあなたの病気に効くでしょう。,This medicine will help with your illness.
唱える,となえる,"to recite, chant, cry, yell, shout, advocate, preach, insist",彼は規則の改正を唱えている。,He advocates amending the rules.
造る,つくる,"to make, produce, manufacture, build, prepare, create",バックドアを造るつもりはなかった。,I never intended to build a back door.
伺う,うかがう,"to ask, inquire, hear, be told, implore, seek direction, visit",もし必要があれば伺います。,"If there's anything I need, I'll ask."
揺れる,ゆれる,"to shake, sway, waver",爆発で建物全体が揺れた。,The explosion shook the entire building.
預ける,あずける,"to give into custody, leave, put, place, entrust, out someone in charge of, deposit",私のお金は銀行に預けてある。,My money is deposited in the bank.
捲る,めくる,"to turn over, turn pages of a book, tear off, strip off",ページをめくって下さい。,Please turn the page.
取り戻す,とりもどす,"to take back, regain, get back, recover",彼は健康を取り戻した。,He regained his health.
引き上げる,ひきあげる,"to pull up, drag uplift up, increase, raise, withdraw, pull out, promote",彼らは船を岸に引き上げた。,They dragged their boat onto the beach.
役立つ,やくだつ,"to be useful, be helpful, serve the purpose",そのコンピューターは非常に役立つ。,That computer is very helpful.
話し掛ける,はなしかける,"to address someone, talk to, begin to talk, start a conversation",子供に話し掛けたが逃げちゃった。,I tried to talk to the kid but he ran away.
出でる,いでる,"to go, come",責任および愛から出でる聡明さと良識の表れです。,It is a sign of intelligence and decency that comes from responsibility and love.
燃える,もえる,"to burn, get fired up",駐車場にとめてある車が燃えてます。,A car parked in the parking lot is on fire.
出来上がる,できあがる,"to be completed, be finished, be ready",計画が出来上がった。,The plan is ready.
飛び込む,とびこむ,"to jump in, leap in, plunge into, dive, burst in, barge in",彼が部屋に飛び込んできた。,He burst into the room.
絞る,しぼる,"to wring, squeeze, rack, extort, chew out, drill into, narrow down, turn down",私はオレンジジュースを絞った。,I squeezed orange juice.
脱ぐ,ぬぐ,"to take off, undress",ジャケットを脱ぎたいのですが。,Can I take off my jacket?
離す,はなす,"to separate, part, divide, keep apart",私の手を離してはいけません。,Do not let go of my hand.
生える,はえる,"to grow, spring up, sprout, cut with teeth",庭に名前のわからない植物が生えてきた。,A plant with an unknown name has grown in my garden.
濡れる,ぬれる,to get wet,霧の中を歩いて髪がぬれてしまった。,My hair got wet walking in the fog.
返る,かえる,"to return, come back, go back, turn over, do extremely, do completely",バスで忘れた傘が返ってきた。,The umbrella I forgot on the bus was returned.
持ち込む,もちこむ,"to take something into, bring in, carry in, bring to",これは機内に持ち込めますか。,Can I bring this on board?
取り入れる,とりいれる,"to harvest, reap, take in, gather in, adopt, accept, introduce",そのアイディアを最新作に取り入れた。,The idea was incorporated into his latest work.
込む,こむ,"to be crowded, be packed, be complex, go into, put into, do intently",今日の料理は随分と手が込んでいるね。,Today's dish is very elaborate.
曲がる,まがる,"to bend, curve, warp, wind, twist, turn. askew. awry, crooked",右へ曲がってください。,Please make a right turn.
祈る,いのる,"to pray, wish",私は心からあなたの幸せを祈ります。,I sincerely wish you well.
投げる,なげる,"to throw, cast away, ace defeat, give up",なんで石を投げたりするんだ。,Why do they throw stones and stuff?
稼ぐ,かせぐ,"to earn, make, score, gain, play for time, labor",彼は月に３０万円稼ぐ。,"He earns 300,000 yen a month."
