Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,W1,W2,W3
跳ねる,はねる,"to jump, to leap",,,,,,,,,,
浴びる,あびる,"to bathe, to bask in he sun, to shower ",,,,,,,,,,
帯びる,おびる,"to wear (sword, decoration, etc.), to carry, to be entrusted (e.g. with a mission), to take on",,,,,,,,,,
錆びる,さびる,"to rust, to become rusty",,,,,,,,,,
伸びる,のびる,"to stretch, to extend, to make progress, to grow (beard, body height) ",,,,,,,,,,
延びる,のびる,to be prolonged,,,,,,,,,,
詫びる,わびる,to apologize,,,,,,,,,,
食べる,たべる,to eat,,,,,,,,,,
述べる,のべる,"to state, to express, to mention ",trans.,上に述べたようにそれは不可能です。,"As stated above, it's impossible.",私は真実を述べているのです。,I'm telling the truth.,彼は意見を述べる機会がなかった。,He hadn't had a chance to express his opinion.,,,
決まる,きまる,"to be decided, to be settled, to look good in (clothes)",,,,,,,,,,
閉まる,しまる,"to close, to be closed",,,,,,,,,,
染まる,そまる,to dye,,,,,,,,,,
溜まる,たまる,"to collect, to gather, to save",,,,,,,,,,
詰まる,つまる,"to be blocked, to be packed",,,,,,,,,,
止まる,とまる,to come to a halt,,,,,,,,,,
泊まる,とまる,to lodge at,,,,,,,,,,
留まる,とまる,"to be fixed, to abide, to stay",,,,,,,,,,
填まる,はまる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived",,,,,,,,,,
染みる,しみる,"to pierce, to permeate",,,,,,,,,,
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",,,,,,,,,,
決める,きめる,to decide,,,,,,,,,,
込める,こめる,"to include, to put into",,,,,,,,,,
覚める,さめる,"to wake, to wake up",,,,,,,,,,
冷める,さめる,"to become cool, to wear off, to abate, to subside",,,,,,,,,,
閉める,しめる,to close something,,,,,,,,,,
締める,しめる,to tie,,,,,,,,,,
占める,しめる,"to comprise, to account for, to make up, to hold, to occupy ",,,,,,,,,,
責める,せめる,"to condemn, to blame, to criticize",,,,,,,,,,
攻める,せめる,"to attack, to assault",,,,,,,,,,
染める,そめる,"to dye, to colour",,,,,,,,,,
溜める,ためる,"to amass, to accumulate",,,,,,,,,,
詰める,つめる,"to pack, to shorten, to work out (details)",,,,,,,,,,
留める,とめる,"to fasten, to turn off, to detain ",,,,,,,,,,
止める,とめる,to stop something,,,,,,,,,,
泊める,とめる,"to give shelter to, to lodge ",,,,,,,,,,
嘗める,なめる,"to lick, to taste, to experience, to make fun of,  to make light of, to put down",,,,,,,,,,
填める,はめる,"to get in, to insert, to put on, to make love",,,,,,,,,,
褒める,ほめる,"to praise, to admire, to speak well",,,,,,,,,,
揉める,もめる,"to disagree, to dispute",,,,,,,,,,
止める,やめる,to stop,,,,,,,,,,
辞める,やめる,to retire,,,,,,,,,,
ほめる,ほめる,to praise,,,,,,,,,,
積もる,つもる,to pile up,,,,,,,,,,
降りる,おりる,"to get off, to descend",,,,,,,,,,
下りる,おりる,"to get off, to descend",,,,,,,,,,
借りる,かりる,to borrow,,,,,,,,,,
懲りる,こりる,"to to learn by experience, to be disgusted with",,,,,,,,,,
足りる,たりる,to enough,,,,,,,,,,
入れる,いれる,to put in,,,,,,,,,,
売れる,うれる,to be sold,,,,,,,,,,
折れる,おれる,to break or be folded,,,,,,,,,,
枯れる,かれる,"to wither, to die (plant), to be blasted (plant)",,,,,,,,,,
涸れる,かれる,"to dry up, to run out",,,,,,,,,,
切れる,きれる,"to cut well, to be sharp, to break off",,,,,,,,,,
暮れる,くれる,"to get dark, to come to an end",,,,,,,,,,
呉れる,くれる,"to give, to let one have, to do for one, to be given",,,,,,,,,,
擦れる,すれる,"to rub, to chafe, to wear, to become sophisticated",,,,,,,,,,
逸れる,それる,"to stray (turn) from subject, to get lost, to go astray",,,,,,,,,,
垂れる,たれる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave ",,,,,,,,,,
取れる,とれる,"to come off, to be taken off, to be removed",,,,,,,,,,
慣れる,なれる,to grow accustomed to,,,,,,,,,,
馴れる,なれる,"to become domesticated, to become tame",,,,,,,,,,
濡れる,ぬれる,to get wet,,,,,,,,,,
晴れる,はれる,to be sunny,,,,,,,,,,
腫れる,はれる,"to swell (from inflammation), to be become swollen",,,,,,,,,,
触れる,ふれる,"to touch, to be touched, to touch on a subject, to feel",,,,,,,,,,
漏れる,もれる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted",,,,,,,,,,
揺れる,ゆれる,"to shake, to sway",,,,,,,,,,
割れる,われる,to break,,,,,,,,,,
植わる,うわる,to be planted,,,,,,,,,,
終わる,おわる,"to finish, to close",,,,,,,,,,
変わる,かわる,to change,,,,,,,,,,
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take ",,,,,,,,,,
やっ付ける,やっつける,to beat,,,,,,,,,,
ぶら下げる,ぶらさげる,"to hang, to suspend, to dangle, to swing",,,,,,,,,,
やり遂げる,やりとげる,to accomplish,,,,,,,,,,
損なう,そこなう,"to harm, to hurt, to injure, to damage, to fail in doing",,,,,,,,,,
逆らう,さからう,"to go against, to oppose, to disobey, to defy",,,,,,,,,,
味わう,あじわう,"to taste, to savor, to relish",,,,,,,,,,
賑わう,にぎわう,"to prosper, to flourish, to do thriving business, to be crowded with people",,,,,,,,,,
動かす,うごかす,"to move, to shift",,,,,,,,,,
脅かす,おどかす,"to threaten, to coerce ",,,,,,,,,,
乾かす,かわかす,"to dry (clothes, etc), to desiccate",,,,,,,,,,
転がす,ころがす,to roll,,,,,,,,,,
及ぼす,およぼす,"to exert, to cause, to exercise",,,,,,,,,,
滅ぼす,ほろぼす,"to destroy, to overthrow, to wreck, to ruin ",,,,,,,,,,
悩ます,なやます,"to afflict, to torment, to harass, to molest",,,,,,,,,,
励ます,はげます,"to encourage, to cheer, to raise (the voice)",,,,,,,,,,
費やす,ついやす,"to spend, to devote, to waste ",,,,,,,,,,
遅らす,おくらす,"to retard, to delay ",,,,,,,,,,
凝らす,こごらす,"to freeze, to congeal",,,,,,,,,,
齎らす,もたらす,"to bring, to take, to bring about",,,,,,,,,,
悲しむ,かなしむ,"to be sad, to mourn for, to regret",,,,,,,,,,
苦しむ,くるしむ,"to suffer, to grain, to be worried",,,,,,,,,,
親しむ,したしむ,"to be intimate with, to befriend",,,,,,,,,,
楽しむ,たのしむ,to enjoy oneself,,,,,,,,,,
赤らむ,あからむ,"to become red, to redden, to blush",,,,,,,,,,
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful to mistrust",,,,,,,,,,
膨らむ,ふくらむ,"to expand, to swell (out), to get big, to become inflated",,,,,,,,,,
率いる,ひきいる,"to lead, to spearhead (a group), to command (troops)",,,,,,,,,,
用いる,もちいる,"to use, to make use of",,,,,,,,,,
与える,あたえる,"to give, to present, to award",,,,,,,,,,
甘える,あまえる,"to behave like a spoiled child, to fawn on",,,,,,,,,,
押える,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down",,,,,,,,,,
教える,おしえる,"to teach, to tell",,,,,,,,,,
怯える,おびえる,"to become frightened, to have a nightmare",,,,,,,,,,
覚える,おぼえる,to remember,,,,,,,,,,
抱える,かかえる,to hold or carry under or in the arms,,,,,,,,,,
数える,かぞえる,to count,,,,,,,,,,
叶える,かなえる,"to grant (request, wish)",,,,,,,,,,
構える,かまえる,to set up,,,,,,,,,,
鍛える,きたえる,"to forge, to drill, to temper, to train, to discipline",,,,,,,,,,
加える,くわえる,"to append, to sum up, to add up",,,,,,,,,,
栄える,さかえる,"to prosper, to flourish",,,,,,,,,,
凍える,こごえる,"to freeze, to be chilled, to be frozen",,,,,,,,,,
支える,ささえる,"to support, to hold, to maintain",,,,,,,,,,
答える,こたえる,to answer,,,,,,,,,,
備える,そなえる,"to furnish, to provide for, to equip, to install",,,,,,,,,,
具える,そなえる,to be furnished with,,,,,,,,,,
聳える,そびえる,"to rise, to tower, to soar",,,,,,,,,,
揃える,そろえる,"to put things in order, to arrange, to make uniform, to get something ready",,,,,,,,,,
例える,たとえる,"to compare, to liken, to speak figuratively, to illustrate, to use a simile",,,,,,,,,,
違える,ちがえる,to change,,,,,,,,,,
仕える,つかえる,"to serve, to work for",,,,,,,,,,
伝える,つたえる,to report,,,,,,,,,,
唱える,となえる,"to recite, to chant, to call upon",,,,,,,,,,
捕える,とらえる,"to seize, to grasp, to capture, to arrest",,,,,,,,,,
控える,ひかえる,"to draw in, to hold back, to make notes, to be temperate in",,,,,,,,,,
震える,ふるえる,"to shiver, to shake, to quake",,,,,,,,,,
交える,まじえる,"to mix, to converse with, to cross",,,,,,,,,,
迎える,むかえる,to go out to meet,,,,,,,,,,
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",,,,,,,,,,
助かる,たすかる,"to be saved, to be rescued, to survive, to be helpful",,,,,,,,,,
儲かる,もうかる,"to be profitable, to yield a profit",,,,,,,,,,
嫌がる,いやがる,"to hate, to dislike",,,,,,,,,,
転がる,ころがる,"to roll, to tumble",,,,,,,,,,
繋がる,つながる,"to be tied together, to be connected, to be related to",,,,,,,,,,
広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around",,,,,,,,,,
塞がる,ふさがる,"to be plugged up, to be shut up",,,,,,,,,,
跨がる,またがる,"to extend over or into, to straddle",,,,,,,,,,
群がる,むらがる,"to swarm, to gather",,,,,,,,,,
預ける,あずける,"to give into custody, to entrust, to deposit",,,,,,,,,,
砕ける,くだける,"to break, to be broken, to be smashed, to collapse, to crumble",,,,,,,,,,
授ける,さずける,"to grant, to give, to confer, to award, to teach, to instruct",,,,,,,,,,
助ける,たすける,"to save, to rescue, to help, to assist, to support, to facilitate, to stimulate, to promote",,,,,,,,,,
続ける,つづける,"to continue, to keep up, to keep on",,,,,,,,,,
届ける,とどける,"to deliver, to forward, to send, to deliver, to forward, to send",,,,,,,,,,
蕩ける,とろける,"to melt (and become soft or liquid), to be enchanted (by), to be charmed",,,,,,,,,,
怠ける,なまける,"to be idle; to slacken, to neglect (e.g. one's work)",,,,,,,,,,
儲ける,もうける,"to profit, to get, to earn, to gain, to have",,,,,,,,,,
設ける,もうける,"to prepare, to provide, to set up; to establish; to organize",,,,,,,,,,
掲げる,かかげる,"to put up (a notice, sign, etc.); to hang out (e.g. a banner)",,,,,,,,,,
捧げる,ささげる,dedicate,,,,,,,,,,
繋げる,つなげる,connect,,,,,,,,,,
広げる,ひろげる,spread out,,,,,,,,,,
案じる,あんじる,plan,,,,,,,,,,
演じる,えんじる,perform,,,,,,,,,,
応じる,おうじる,respond to,,,,,,,,,,
感じる,かんじる,feel,,,,,,,,,,
禁じる,きんじる,forbid,,,,,,,,,,
信じる,しんじる,believe,,,,,,,,,,
通じる,つうじる,pass,,,,,,,,,,
転じる,てんじる,turn,,,,,,,,,,
報じる,ほうじる,report,,,,,,,,,,
命じる,めいじる,order,,,,,,,,,,
論じる,ろんじる,argue,,,,,,,,,,
愛する,あいする,love,,,,,,,,,,
害する,がいする,harm,,,,,,,,,,
関する,かんする,concern,,,,,,,,,,
恋する,こいする,love,,,,,,,,,,
察する,さっする,perceive,,,,,,,,,,
制する,せいする,control,,,,,,,,,,
接する,せっする,come in contact with,,,,,,,,,,
即する,そくする,be immediate,,,,,,,,,,
属する,ぞくする,belong to,,,,,,,,,,
対する,たいする,oppose,,,,,,,,,,
達する,たっする,reach,,,,,,,,,,
脱する,だっする,escape,,,,,,,,,,
適する,てきする,fit,,,,,,,,,,
徹する,てっする,penetrate,,,,,,,,,,
熱する,ねっする,heat,,,,,,,,,,
罰する,ばっする,punish,,,,,,,,,,
反する,はんする,against,,,,,,,,,,
面する,めんする,face,,,,,,,,,,
有する,ゆうする,own,,,,,,,,,,
要する,ようする,require,,,,,,,,,,
演ずる,えんずる,play,,,,,,,,,,
応ずる,おうずる,respond,,,,,,,,,,
感ずる,かんずる,feel,,,,,,,,,,
禁ずる,きんずる,forbid,,,,,,,,,,
信ずる,しんずる,believe,,,,,,,,,,
報ずる,ほうずる,inform,,,,,,,,,,
命ずる,めいずる,command,,,,,,,,,,
論ずる,ろんずる,discuss,,,,,,,,,,
被せる,かぶせる,put on,,,,,,,,,,
任せる,まかせる,leave to others,,,,,,,,,,
隔たる,へだたる,be distant,,,,,,,,,,
慌てる,あわてる,panic,,,,,,,,,,
煽てる,おだてる,incite,,,,,,,,,,
育てる,そだてる,raise,,,,,,,,,,
隔てる,へだてる,separate,,,,,,,,,,
重なる,かさなる,overlap,,,,,,,,,,
異なる,ことなる,differ,,,,,,,,,,
連なる,つらなる,join,,,,,,,,,,
重ねる,かさねる,overlap,,,,,,,,,,
訪ねる,たずねる,visit,,,,,,,,,,
尋ねる,たずねる,ask,,,,,,,,,,
連ねる,つらねる,join,,,,,,,,,,
萎びる,しなびる,diminish,,,,,,,,,,
滅びる,ほろびる,perish,,,,,,,,,,
比べる,くらべる,compare,,,,,,,,,,
調べる,しらべる,examine,,,,,,,,,,
並べる,ならべる,line up,,,,,,,,,,
集まる,あつまる,gather,,,,,,,,,,
埋まる,うずまる,fill up,,,,,,,,,,
収まる,おさまる,fit,,,,,,,,,,
納まる,おさまる,fit,,,,,,,,,,
治まる,おさまる,settle,,,,,,,,,,
固まる,かたまる,harden,,,,,,,,,,
定まる,さだまる,be fixed,,,,,,,,,,
静まる,しずまる,subside,,,,,,,,,,
高まる,たかまる,rise,,,,,,,,,,
縮まる,ちぢまる,shrink,,,,,,,,,,
捕まる,つかまる,be caught,,,,,,,,,,
勤まる,つとまる,be diligent,,,,,,,,,,
強まる,つよまる,strengthen,,,,,,,,,,
留まる,とどまる,stay,,,,,,,,,,
止まる,とどまる,stop,,,,,,,,,,
挟まる,はさまる,get caught,,,,,,,,,,
始まる,はじまる,begin,,,,,,,,,,
広まる,ひろまる,widen,,,,,,,,,,
深まる,ふかまる,deepen,,,,,,,,,,
纏まる,まとまる,coalesce,,,,,,,,,,
弱まる,よわまる,weaken,,,,,,,,,,
集める,あつめる,Gather,,,,,,,,,,
苛める,いじめる,Torment,,,,,,,,,,
痛める,いためる,hurt,,,,,,,,,,
炒める,いためる,fry,,,,,,,,,,
薄める,うすめる,Dilute,,,,,,,,,,
収める,おさめる,Contain,,,,,,,,,,
納める,おさめる,Contain,,,,,,,,,,
治める,おさめる,Fix,,,,,,,,,,
固める,かためる,consolidate,,,,,,,,,,
定める,さだめる,fix,,,,,,,,,,
沈める,しずめる,sink,,,,,,,,,,
進める,すすめる,advance,,,,,,,,,,
勧める,すすめる,advise,,,,,,,,,,
高める,たかめる,increase,,,,,,,,,,
縮める,ちぢめる,reduce,,,,,,,,,,
勤める,つとめる,work,,,,,,,,,,
務める,つとめる,work,,,,,,,,,,
努める,つとめる,strive,,,,,,,,,,
強める,つよめる,strengthen,,,,,,,,,,
咎める,とがめる,reproach,,,,,,,,,,
留める,とどめる,stop,,,,,,,,,,
止める,とどめる,stop,,,,,,,,,,
始める,はじめる,begin,,,,,,,,,,
眺める,ながめる,look at,,,,,,,,,,
広める,ひろめる,broaden,trans.,見聞を広める。,,その国はどんどん勢力を広めた。,,彼は学問を広めることに身をささげた。,,,,
深める,ふかめる,deepen,trans.,知識を深める。,,今度の旅行でその国に対する理解を深めた。,,その事件は二人の溝を更に深めた。,,,,
含める,ふくめる,include,,,,,,,,,,
纏める,まとめる,put together,,,,,,,,,,
丸める,まるめる,round off,,,,,,,,,,
認める,みとめる,acknowledge,,,,,,,,,,
求める,もとめる,ask for,,,,,,,,,,
休める,やすめる,Rest,,,,,,,,,,
緩める,ゆるめる,relax,,,,,,,,,,
弱める,よわめる,weaken,,,,,,,,,,
早める,はやめる,accelerate,,,,,,,,,,
呆れる,あきれる,be dismayed,,,,,,,,,,
暴れる,あばれる,violent,,,,,,,,,,
溢れる,あふれる,overflow,,,,,,,,,,
遅れる,おくれる,Slow down,,,,,,,,,,
恐れる,おそれる,Fear,,,,,,,,,,
溺れる,おぼれる,Drown,,,,,,,,,,
隠れる,かくれる,Hide,,,,,,,,,,
崩れる,くずれる,fall apart,,,,,,,,,,
汚れる,けがれる,get dirty,,,,,,,,,,
拗れる,こじれる,get messy,,,,,,,,,,
零れる,こぼれる,spill,,,,,,,,,,
壊れる,こわれる,break,,,,,,,,,,
痺れる,しびれる,be numb,,,,,,,,,,
優れる,すぐれる,be kind,,,,,,,,,,
廃れる,すたれる,go out of use,,,,,,,,,,
倒れる,たおれる,fall,,,,,,,,,,
縮れる,ちぢれる,shrink,,,,,,,,,,
疲れる,つかれる,get tired,,,,,,,,,,
潰れる,つぶれる,go under,,,,,,,,,,
流れる,ながれる,flow away,,,,,,,,,,
逃れる,のがれる,escape,,,,,,,,,,
外れる,はずれる,get away,,,,,,,,,,
離れる,はなれる,get away,,,,,,,,,,
放れる,はなれる,Let go,,,,,,,,,,
膨れる,ふくれる,swell,,,,,,,,,,
紛れる,まぎれる,be confused,,,,,,,,,,
乱れる,みだれる,be disordered,,,,,,,,,,
凭れる,もたれる,recline,,,,,,,,,,
破れる,やぶれる,be torn,,,,,,,,,,
汚れる,よごれる,get dirty,,,,,,,,,,
別れる,わかれる,break up,,,,,,,,,,
忘れる,わすれる,forget,,,,,,,,,,
教わる,おそわる,be taught,,,,,,,,,,
係わる,かかわる,be involved,,,,,,,,,,
加わる,くわわる,"to be added, appended, join in, gain in, applied",intrans.,,,,,,,,,
備わる,そなわる,"to be furnished with, to be provided with",,,,,,,,,,
伝わる,つたわる,"to be handed down, to be introduced, to be transmitted",,,,,,,,,,
交わる,まじわる,"to cross, to intersect, to join, to meet, to associate with",,,,,,,,,,
出会う,であう,"to meet by chance, to come across, to happen to encounter",,,,,,,,,,
出合う,であう,"to meet by chance, to come across, to have a date",,,,,,,,,,
似合う,にあう,"to suit, to match, to become, to be like",,,,,,,,,,
背負う,せおう,"to be burdened with, to carry on back or shoulder",,,,,,,,,,
仕舞う,しまう,"to finish, to close, to do something completely, happen to do",,,,,,,,,,
見舞う,みまう,"to ask after (health), to visit",,,,,,,,,,
藻掻く,もがく,"to struggle, to wriggle, to be impatient",,,,,,,,,,
気付く,きづく,"to notice, to recognize, to become aware of",,,,,,,,,,
目指す,めざす,"to aim at, to have an eye on",,,,,,,,,,
目立つ,めだつ,"to be conspicuous, to stand out",,,,,,,,,,
仕切る,しきる,"to partition, to divide, to mark off, to settle accounts",,,,,,,,,,
出切る,できる,"to be out of, to have no more at hand",,,,,,,,,,
区切る,くぎる,"to punctuate, to cut off, to mark off, to stop, to put an end to ",,,,,,,,,,
湿気る,しける,"to be damp, to be moist",,,,,,,,,,
強請る,ねだる,"te tease, to coax, to solicit, to demand",,,,,,,,,,
怒鳴る,どなる,"to shout, to yell",,,,,,,,,,
真似る,まねる,"to mimic, to imitate",trans.,先生の口調をまねた。,He mimicked the teacher's tone.,手本をまねて練習しなさい。,You should practice by example.,父親の声をまねた。,He mimicked his father's voice.,,,
威張る,いばる,"to be proud, to swagger",intrans.,彼は劣等感から威張るのだ。,He blustered because he felt inferior.,あの男の威張った態度は鼻持ちならない。,That man's pompous attitude is disgusting.,彼は息子が成功したと威張っている。,He dignifies his son's success.,,,
流行る,はやる,"to flourish, to thrive, to be popular, to come into fashion",,,,,,,,,,
付合う,つきあう,"to associate with, to keep company with, to get on with",,,,,,,,,,
揶揄う,からかう,"to ridicule, to tease, to banter with, to make fun of",,,,,,,,,,
間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken",,,,,,,,,,
手伝う,てつだう,to assist,,,,,,,,,,
振舞う,ふるまう,"to behave, to conduct oneself, to entertain (vt)",,,,,,,,,,
似通う,にかよう,to resemble closely,,,,,,,,,,
支払う,しはらう,to pay,,,,,,,,,,
躊躇う,ためらう,to hesitate,,,,,,,,,,
落着く,おちつく,"to calm down, to settle down",,,,,,,,,,
傷付く,きずつく,"to be hurt, to be wounded, to get injured",,,,,,,,,,
片付く,かたづく,"to put in order, to dispose of, to solve",,,,,,,,,,
近付く,ちかづく,"to approach, to get near, to get acquainted with, to get closer",,,,,,,,,,
長引く,ながびく,"to be prolonged, to drag on",,,,,,,,,,
散蒔く,ばらまく,"to disseminate, yo scatter, to give money freely",,,,,,,,,,
見直す,みなおす,"to look again, to get a better opinion of",,,,,,,,,,
見逃す,みのがす,"to miss, to overlook, to leave at large",,,,,,,,,,
指差す,ゆびさす,to point at,,,,,,,,,,
見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of ",,,,,,,,,,
引出す,ひきだす,"to pull out, to take out, to draw out, to withdraw",,,,,,,,,,
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",,,,,,,,,,
微笑む,ほほえむ,to smile,,,,,,,,,,
裏切る,うらぎる,"to betray, to turn traitor to, to double-cross",,,,,,,,,,
横切る,よこぎる,"to cross (e.g. arms), to traverse",,,,,,,,,,
見送る,みおくる,"(1) to see off, to farewell,(2) to escort,(3) to let pass",,,,,,,,,,
着飾る,きかざる,to dress up,,,,,,,,,,
嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous ",,,,,,,,,,
片寄る,かたよる,"to be one-sided, to incline, to be partial",,,,,,,,,,
近寄る,ちかよる,"to approach, to draw near",,,,,,,,,,
洒落る,しゃれる,"to joke, to play on words, to dress stylishly",,,,,,,,,,
引返す,ひきかえす,"to repeat, to send back, to bring back ",,,,,,,,,,
裏返す,うらがえす,"to turn inside out, to turn (something) over",,,,,,,,,,
心得る,こころえる,"to be informed, to have thorough knowledge",,,,,,,,,,
引受る,ひきうける,"to undertake, to take up, to take over",,,,,,,,,,
物語る,ものがたる,"to tell, to indicate",,,,,,,,,,
逆上る,さかのぼる,"to go back, to go upstream, to make retroactive",,,,,,,,,,
上回る,うわまわる,to exceed,,,,,,,,,,
見落とす,みおとす,"to overlook, to fail to notice",,,,,,,,,,
蹴飛ばす,けとばす,"to kick away, to kick off, to kick (someone), to refuse, to reject",,,,,,,,,,
見下ろす,みおろす,"to overlook, to command a view of, to look down on something",,,,,,,,,,
途絶える,とだえる,"to stop, to cease, to come to an end",,,,,,,,,,
見付かる,みつかる,"to be found, to be discovered",intrans.,パイプにひびのあるのが見付かった。,A crack was found in the pipe.,清涼飲料の中に少量の農薬が見付かった。,A small amount of pesticide was found in a soft drink.,財布がまだ見付からない。,I still can't find my wallet.,,,
仕上がる,しあがる,"to be finished, completed, be done",trans.,この製品は美しく仕上がっている。,This product is beautifully crafted.,それは１日か２日で仕上がる。,That will take a day or two to finish.,パズルのここの部分が仕上がらない。,I can't finish this part of the puzzle.,,,
打付ける,ぶつける,"to knock, run into, nail on, strike hard, hit and attack, throw a question, demand, express, vent",trans.,怒って荒々しく本を打付けた。,He was angry and wildly struck the book.,彼は車を電柱に打付けてしまった。,He slammed his car into a telephone pole.,わざと難問を打付けて試してみた。,I deliberately tried to test them by asking them difficult questions.,,,
仕掛ける,しかける,"to set up, commence, lay (mines), set (traps), to wage (war), challenge",trans.,花火を仕掛ける。,Set fireworks.,ちょうど仕事を仕掛けたところだ。,I've just begun my work.,駐車中の車に爆発物が仕掛けてあった。,Explosives had been planted in the parked car.,,,
付き合う,つきあう,"to associate with, keep company with, get on with, get out with",intrans.,買い物に付き合ってくれない？,Will you go shopping with me?,彼はもう二年近くも彼女と付き合っている。,He has been seeing her for almost two years now.,君が俺に付き合う相手について忠告するのか？,You're giving me dating advice?,,,
釣り合う,つりあう,"to balance, be in harmony, suit ",intrans.,仕事の量と賃金が釣り合っていない。,The amount of work is not balanced with the wages.,昨年は米の供給量と需要量がよく釣り合っていた。,"Last year, the supply of rice was well balanced with the demand.",このネクタイはスーツによく釣り合う。,This tie goes well with the suit.,,,
間に合う,まにあう,to be in time for,intrans.,彼は走って学校に行き間に合った。,He ran to school and got there in time.,私は飛行機にちょうど間に合った。,I made it just in time for my flight.,パーティーの開始に間に合うでしょうか。,Will we be in time for the beginning of the party?,,,
引っ掻く,ひっかく,to scratch,trans.,猫は私の手を引っ掻いた。,The cat scratched my hand.,猫が窓を引っかいているのが聞こえる。,I hear a cat scratching at the window.,これは引っ掻くのからの損害を最小に抑えます。,This minimizes damage from scratching.,,,
追い付く,おいつく,"to overtake, catchup with, draw level, be compensated, make up for",intrans.,は彼らに早く追いつけました。,I caught up with them quickly.,もし急ぐならばあなたは彼に追い付くでしょう。,"If you hurry, you will overtake him.",バス停で彼女に追い付いた。,I caught up with her at the bus stop.,,,
受け継ぐ,うけつぐ,"to inherit, succeed, take over",trans.,それ以外には受け継ぐものがありません。,There is nothing else they can inherit.,彼女の性格は母親から受け継いでいる。,Her character is inherited from her mother.,母親の青い目を受け継いでいる。,She inherited her mother's blue eyes.,,,
取り次ぐ,とりつぐ,"to act as an agent for, intermediate, to announce someone, usher a guest to convey a message",trans.,私の希望を彼に取り次いでください。,Please tell him what I want.,あの本屋はどこの出版社の本でも取り次いでくれる。,That bookstore will handle books from any publisher.,品物を取り次ぐ。,Deliver goods in person.,,,
差し引く,さしひく,to deduct,trans.,家賃は給料から差し引かれる。,Rent is deducted from your paycheck.,収入から支出を差し引いたものが利益となる。,Income minus expenses is profit.,税を差し引いて20万円の月収がある。,I have a monthly income of two hundred thousand yen after taxes.,,,
取り巻く,とりまく,"to surround, to circle, to enclose",trans.,私たちは大勢の子供に取り巻かれた。,We were surrounded by a bunch of kids.,彼が到着するや新聞記者が取り巻いた。,"When he arrived, the press was all over him.",ルビーをダイヤで取り巻いた豪華な指輪。,A gorgeous ring of rubies surrounded by diamonds.,,,
言い出す,いいだす,"to start talking to speak, to tell, to propose, to suggest, to break the ice ",trans.,言い出し渋る。,I'm reluctant to say anything.,彼女は言い出したら後へ引かない。,She's not one to back down.,だれかがそれを言い出しはしないかと心配した。,I was afraid someone would say that.,,,
売り出す,うりだす,"to put on sale, to market, to become popular",trans.,あの会社は建て売り住宅を売り出す予定だ。,That company is going to sell houses for sale.,最近めきめきと売り出した歌手。,She's a singer who's been on the rise lately.,彼はこの作品で売り出した。,He launched with this piece.,,,
愛用する,あいよう,"to use regularly, patronize",suru,,"愛 - love, affection, care, to love",,"用 - use, errand, task, to use",その他、私が愛用するのはオーガニックの豆類とナッツ類です。,I also love to use organic beans and nuts.,,,
アクセスする,アクセスする,to access (for Internet),suru,,,,,ホストコンピューターにアクセスする,Accessing the host computer,,,
案内する,あんないする,"to guide, lead",suru,,"案 - idea, plan, proposal, expectation, to be anxious",,"内 - inside, among, within",先に立って案内してくれ,Stand ahead and guide me.,,,
安心する,あんしんする,"to be relieved, feel secure",suru,,"安 - cheap, relax, contented",,"心 - mind, heart, spirit",きっと合格すると安心している,I'm confident you'll pass.,,,
安定する,あんていする,"to be steady, stable",suru,,"安 - cheap, relax, contented",,"定 - determine, fix, establish, to decide",安定した天候がひと月続いた,We had a month of settled weather.,,,
アップする,アップする,to upload (for Internet),suru,,,,,物価は毎日アップしている。,Prices are going up every day.,,,
アレンジする,アレンジする,to arrange,suru,,,,,現代風にアレンジする。,Arrange it in a modern way.,,,
爆発する,ばくはつする,"to explode, burst, blow up",suru,,"爆 - bomb, burst open, pop, split",,"発 - departure, discharge, publish, emit",インターネットが爆発しました。,The Internet has exploded.,,,
弁護する,べんごする,"to defend, testify for",suru,,"弁 - valve, petal, braid, speech, dialect",,"護 - safeguard, protect",誰もあなたを弁護しないだろう。,No one will defend you.,,,
勉強する,べんきょうする,"to study, to give a discount",suru,,"勉 - exertion, endeavour, strive",,強 - strong,試験のため詰め込み勉強をしている,He is cramming for the examination.,,,
弁償する,べんしょうする,"to compensate, repay for loss",suru,,"弁 - valve, petal, braid, speech, dialect",,"償 - reparation, make up for, recompense",私は損害を弁償した。,I reimbursed for the damage.,,,
防止する,ぼうしする,"to prevent, keep in check",suru,,"防 - ward off, defend, protect, resist",,"止 - stop, halt",物価上昇を防止する。,Prevent price increases.,,,
