Words,Reading,Meaning,Type,S1,T1
泊まる,とまる,to lodge at,,,
留まる,とまる,"to be fixed, to abide, to stay",,,
填まる,はまる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived",,,
染みる,しみる,"to pierce, to permeate",,,
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",,,
決める,きめる,to decide,,,
込める,こめる,"to include, to put into",,,
覚める,さめる,"to wake, to wake up",,,
冷める,さめる,"to become cool, to wear off, to abate, to subside",,,
閉める,しめる,to close something,,,
締める,しめる,to tie,,,
占める,しめる,"to comprise, to account for, to make up, to hold, to occupy ",,,
責める,せめる,"to condemn, to blame, to criticize",,,
攻める,せめる,"to attack, to assault",,,
染める,そめる,"to dye, to colour",,,
溜める,ためる,"to amass, to accumulate",,,
詰める,つめる,"to pack, to shorten, to work out (details)",,,
留める,とめる,"to fasten, to turn off, to detain ",,,
止める,とめる,to stop something,,,
泊める,とめる,"to give shelter to, to lodge ",,,
嘗める,なめる,"to lick, to taste, to experience, to make fun of,  to make light of, to put down",,,
填める,はめる,"to get in, to insert, to put on, to make love",,,
褒める,ほめる,"to praise, to admire, to speak well",,,
揉める,もめる,"to disagree, to dispute",,,
止める,やめる,to stop,,,
辞める,やめる,to retire,,,
ほめる,ほめる,to praise,,,
積もる,つもる,to pile up,,,
降りる,おりる,"to get off, to descend",,,
下りる,おりる,"to get off, to descend",,,
借りる,かりる,to borrow,,,
懲りる,こりる,"to to learn by experience, to be disgusted with",,,
足りる,たりる,to enough,,,
入れる,いれる,to put in,,,
売れる,うれる,to be sold,,,
折れる,おれる,to break or be folded,,,
枯れる,かれる,"to wither, to die (plant), to be blasted (plant)",,,
涸れる,かれる,"to dry up, to run out",,,
切れる,きれる,"to cut well, to be sharp, to break off",,,
暮れる,くれる,"to get dark, to come to an end",,,
呉れる,くれる,"to give, to let one have, to do for one, to be given",,,
擦れる,すれる,"to rub, to chafe, to wear, to become sophisticated",,,
逸れる,それる,"to stray (turn) from subject, to get lost, to go astray",,,
垂れる,たれる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave ",,,
取れる,とれる,"to come off, to be taken off, to be removed",,,
慣れる,なれる,to grow accustomed to,,,
馴れる,なれる,"to become domesticated, to become tame",,,
濡れる,ぬれる,to get wet,,,
晴れる,はれる,to be sunny,,,
腫れる,はれる,"to swell (from inflammation), to be become swollen",,,
触れる,ふれる,"to touch, to be touched, to touch on a subject, to feel",,,
漏れる,もれる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted",,,
揺れる,ゆれる,"to shake, to sway",,,
割れる,われる,to break,,,
植わる,うわる,to be planted,,,
終わる,おわる,"to finish, to close",,,
変わる,かわる,to change,,,
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take ",,,
やっ付ける,やっつける,to beat,,,
ぶら下げる,ぶらさげる,"to hang, to suspend, to dangle, to swing",,,
やり遂げる,やりとげる,to accomplish,,,
損なう,そこなう,"to harm, to hurt, to injure, to damage, to fail in doing",,,
逆らう,さからう,"to go against, to oppose, to disobey, to defy",,,
味わう,あじわう,"to taste, to savor, to relish",,,
賑わう,にぎわう,"to prosper, to flourish, to do thriving business, to be crowded with people",,,
動かす,うごかす,"to move, to shift",,,
脅かす,おどかす,"to threaten, to coerce ",,,
乾かす,かわかす,"to dry (clothes, etc), to desiccate",,,
転がす,ころがす,to roll,,,
及ぼす,およぼす,"to exert, to cause, to exercise",,,
滅ぼす,ほろぼす,"to destroy, to overthrow, to wreck, to ruin ",,,
悩ます,なやます,"to afflict, to torment, to harass, to molest",,,
励ます,はげます,"to encourage, to cheer, to raise (the voice)",,,
費やす,ついやす,"to spend, to devote, to waste ",,,
遅らす,おくらす,"to retard, to delay ",,,
凝らす,こごらす,"to freeze, to congeal",,,
齎らす,もたらす,"to bring, to take, to bring about",,,
悲しむ,かなしむ,"to be sad, to mourn for, to regret",,,
苦しむ,くるしむ,"to suffer, to grain, to be worried",,,
親しむ,したしむ,"to be intimate with, to befriend",,,
楽しむ,たのしむ,to enjoy oneself,,,
赤らむ,あからむ,"to become red, to redden, to blush",,,
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful to mistrust",,,
膨らむ,ふくらむ,"to expand, to swell (out), to get big, to become inflated",,,
率いる,ひきいる,"to lead, to spearhead (a group), to command (troops)",,,
用いる,もちいる,"to use, to make use of",,,
与える,あたえる,"to give, to present, to award",,,
甘える,あまえる,"to behave like a spoiled child, to fawn on",,,
押える,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down",,,
教える,おしえる,"to teach, to tell",,,
怯える,おびえる,"to become frightened, to have a nightmare",,,
覚える,おぼえる,to remember,,,
抱える,かかえる,to hold or carry under or in the arms,,,
数える,かぞえる,to count,,,
叶える,かなえる,"to grant (request, wish)",,,
構える,かまえる,to set up,,,
鍛える,きたえる,"to forge, to drill, to temper, to train, to discipline",,,
加える,くわえる,"to append, to sum up, to add up",,,
栄える,さかえる,"to prosper, to flourish",,,
凍える,こごえる,"to freeze, to be chilled, to be frozen",,,
支える,ささえる,"to support, to hold, to maintain",,,
答える,こたえる,to answer,,,
備える,そなえる,"to furnish, to provide for, to equip, to install",,,
具える,そなえる,to be furnished with,,,
聳える,そびえる,"to rise, to tower, to soar",,,
揃える,そろえる,"to put things in order, to arrange, to make uniform, to get something ready",,,
例える,たとえる,"to compare, to liken, to speak figuratively, to illustrate, to use a simile",,,
違える,ちがえる,to change,,,
仕える,つかえる,"to serve, to work for",,,
伝える,つたえる,to report,,,
唱える,となえる,"to recite, to chant, to call upon",,,
捕える,とらえる,"to seize, to grasp, to capture, to arrest",,,
控える,ひかえる,"to draw in, to hold back, to make notes, to be temperate in",,,
震える,ふるえる,"to shiver, to shake, to quake",,,
交える,まじえる,"to mix, to converse with, to cross",,,
迎える,むかえる,to go out to meet,,,
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",,,
助かる,たすかる,"to be saved, to be rescued, to survive, to be helpful",,,
儲かる,もうかる,"to be profitable, to yield a profit",,,
嫌がる,いやがる,"to hate, to dislike",,,
転がる,ころがる,"to roll, to tumble",,,
繋がる,つながる,"to be tied together, to be connected, to be related to",,,
広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around",,,
塞がる,ふさがる,"to be plugged up, to be shut up",,,
跨がる,またがる,"to extend over or into, to straddle",,,
群がる,むらがる,"to swarm, to gather",,,
預ける,あずける,"to give into custody, to entrust, to deposit",,,
砕ける,くだける,"to break, to be broken, to be smashed, to collapse, to crumble",,,
授ける,さずける,"to grant, to give, to confer, to award, to teach, to instruct",,,
助ける,たすける,"to save, to rescue, to help, to assist, to support, to facilitate, to stimulate, to promote",,,
続ける,つづける,"to continue, to keep up, to keep on",,,
届ける,とどける,"to deliver, to forward, to send, to deliver, to forward, to send",,,
蕩ける,とろける,"to melt (and become soft or liquid), to be enchanted (by), to be charmed",,,
怠ける,なまける,"to be idle; to slacken, to neglect (e.g. one's work)",,,
儲ける,もうける,"to profit, to get, to earn, to gain, to have",,,
設ける,もうける,"to prepare, to provide, to set up; to establish; to organize",,,
掲げる,かかげる,"to put up (a notice, sign, etc.); to hang out (e.g. a banner)",,,
捧げる,ささげる,dedicate,,,
繋げる,つなげる,connect,,,
広げる,ひろげる,spread out,,,
案じる,あんじる,plan,,,
演じる,えんじる,perform,,,
応じる,おうじる,respond to,,,
感じる,かんじる,feel,,,
禁じる,きんじる,forbid,,,
信じる,しんじる,believe,,,
通じる,つうじる,pass,,,
転じる,てんじる,turn,,,
報じる,ほうじる,report,,,
命じる,めいじる,order,,,
論じる,ろんじる,argue,,,
愛する,あいする,love,,,
害する,がいする,harm,,,
関する,かんする,concern,,,
恋する,こいする,love,,,
察する,さっする,perceive,,,
制する,せいする,control,,,
接する,せっする,come in contact with,,,
即する,そくする,be immediate,,,
属する,ぞくする,belong to,,,
対する,たいする,oppose,,,
達する,たっする,reach,,,
脱する,だっする,escape,,,
適する,てきする,fit,,,
徹する,てっする,penetrate,,,
熱する,ねっする,heat,,,
罰する,ばっする,punish,,,
反する,はんする,against,,,
面する,めんする,face,,,
有する,ゆうする,own,,,
要する,ようする,require,,,
演ずる,えんずる,play,,,
応ずる,おうずる,respond,,,
感ずる,かんずる,feel,,,
禁ずる,きんずる,forbid,,,
信ずる,しんずる,believe,,,
報ずる,ほうずる,inform,,,
命ずる,めいずる,command,,,
論ずる,ろんずる,discuss,,,
被せる,かぶせる,put on,,,
任せる,まかせる,leave to others,,,
隔たる,へだたる,be distant,,,
慌てる,あわてる,panic,,,
煽てる,おだてる,incite,,,
育てる,そだてる,raise,,,
隔てる,へだてる,separate,,,
重なる,かさなる,overlap,,,
異なる,ことなる,differ,,,
連なる,つらなる,join,,,
重ねる,かさねる,overlap,,,
訪ねる,たずねる,visit,,,
尋ねる,たずねる,ask,,,
連ねる,つらねる,join,,,
萎びる,しなびる,diminish,,,
滅びる,ほろびる,perish,,,
比べる,くらべる,compare,,,
調べる,しらべる,examine,,,
並べる,ならべる,line up,,,
集まる,あつまる,gather,,,
埋まる,うずまる,fill up,,,
収まる,おさまる,fit,,,
納まる,おさまる,fit,,,
治まる,おさまる,settle,,,
固まる,かたまる,harden,,,
定まる,さだまる,be fixed,,,
静まる,しずまる,subside,,,
高まる,たかまる,rise,,,
縮まる,ちぢまる,shrink,,,
捕まる,つかまる,be caught,,,
勤まる,つとまる,be diligent,,,
強まる,つよまる,strengthen,,,
留まる,とどまる,stay,,,
止まる,とどまる,stop,,,
挟まる,はさまる,get caught,,,
始まる,はじまる,begin,,,
広まる,ひろまる,widen,,,
深まる,ふかまる,deepen,,,
纏まる,まとまる,coalesce,,,
弱まる,よわまる,weaken,,,
集める,あつめる,Gather,,,
苛める,いじめる,Torment,,,
痛める,いためる,hurt,,,
炒める,いためる,fry,,,
薄める,うすめる,Dilute,,,
収める,おさめる,Contain,,,
納める,おさめる,Contain,,,
治める,おさめる,Fix,,,
固める,かためる,consolidate,,,
定める,さだめる,fix,,,
沈める,しずめる,sink,,,
進める,すすめる,advance,,,
勧める,すすめる,advise,,,
高める,たかめる,increase,,,
縮める,ちぢめる,reduce,,,
勤める,つとめる,work,,,
務める,つとめる,work,,,
努める,つとめる,strive,,,
強める,つよめる,strengthen,,,
咎める,とがめる,reproach,,,
留める,とどめる,stop,,,
止める,とどめる,stop,,,
始める,はじめる,begin,,,
眺める,ながめる,look at,,,
広める,ひろめる,broaden,trans.,見聞を広める。,Broaden your horizons.
深める,ふかめる,deepen,trans.,知識を深める。,Deepen your knowledge.
含める,ふくめる,include,,,
纏める,まとめる,put together,,,
丸める,まるめる,round off,,,
認める,みとめる,acknowledge,,,
求める,もとめる,ask for,,,
休める,やすめる,Rest,,,
緩める,ゆるめる,relax,,,
弱める,よわめる,weaken,,,
早める,はやめる,accelerate,,,
呆れる,あきれる,be dismayed,,,
暴れる,あばれる,violent,,,
溢れる,あふれる,overflow,,,
遅れる,おくれる,Slow down,,,
恐れる,おそれる,Fear,,,
溺れる,おぼれる,Drown,,,
隠れる,かくれる,Hide,,,
崩れる,くずれる,fall apart,,,
汚れる,けがれる,get dirty,,,
拗れる,こじれる,get messy,,,
零れる,こぼれる,spill,,,
壊れる,こわれる,break,,,
痺れる,しびれる,be numb,,,
優れる,すぐれる,be kind,,,
廃れる,すたれる,go out of use,,,
倒れる,たおれる,fall,,,
縮れる,ちぢれる,shrink,,,
疲れる,つかれる,get tired,,,
潰れる,つぶれる,go under,,,
流れる,ながれる,flow away,,,
逃れる,のがれる,escape,,,
外れる,はずれる,get away,,,
離れる,はなれる,get away,,,
放れる,はなれる,Let go,,,
膨れる,ふくれる,swell,,,
紛れる,まぎれる,be confused,,,
乱れる,みだれる,be disordered,,,
凭れる,もたれる,recline,,,
破れる,やぶれる,be torn,,,
汚れる,よごれる,get dirty,,,
別れる,わかれる,break up,,,
忘れる,わすれる,forget,,,
教わる,おそわる,be taught,,,
係わる,かかわる,be involved,,,
加わる,くわわる,"to be added, appended, join in, gain in, applied",intrans.,,
備わる,そなわる,"to be furnished with, to be provided with",,,
伝わる,つたわる,"to be handed down, to be introduced, to be transmitted",,,
交わる,まじわる,"to cross, to intersect, to join, to meet, to associate with",,,
出会う,であう,"to meet by chance, to come across, to happen to encounter",,,
出合う,であう,"to meet by chance, to come across, to have a date",,,
似合う,にあう,"to suit, to match, to become, to be like",,,
背負う,せおう,"to be burdened with, to carry on back or shoulder",,,
仕舞う,しまう,"to finish, to close, to do something completely, happen to do",,,
見舞う,みまう,"to ask after (health), to visit",,,
藻掻く,もがく,"to struggle, to wriggle, to be impatient",,,
気付く,きづく,"to notice, to recognize, to become aware of",,,
目指す,めざす,"to aim at, to have an eye on",,,
目立つ,めだつ,"to be conspicuous, to stand out",,,
仕切る,しきる,"to partition, to divide, to mark off, to settle accounts",,,
出切る,できる,"to be out of, to have no more at hand",,,
区切る,くぎる,"to punctuate, to cut off, to mark off, to stop, to put an end to ",,,
湿気る,しける,"to be damp, to be moist",,,
強請る,ねだる,"te tease, to coax, to solicit, to demand",,,
怒鳴る,どなる,"to shout, to yell",,,
真似る,まねる,"to mimic, to imitate",trans.,先生の口調をまねた。,He mimicked the teacher's tone.
威張る,いばる,"to be proud, to swagger",intrans.,彼は劣等感から威張るのだ。,He blustered because he felt inferior.
流行る,はやる,"to flourish, to thrive, to be popular, to come into fashion",,,
付合う,つきあう,"to associate with, to keep company with, to get on with",,,
揶揄う,からかう,"to ridicule, to tease, to banter with, to make fun of",,,
間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken",,,
手伝う,てつだう,to assist,,,
振舞う,ふるまう,"to behave, to conduct oneself, to entertain (vt)",,,
似通う,にかよう,to resemble closely,,,
支払う,しはらう,to pay,,,
躊躇う,ためらう,to hesitate,,,
落着く,おちつく,"to calm down, to settle down",,,
傷付く,きずつく,"to be hurt, to be wounded, to get injured",,,
片付く,かたづく,"to put in order, to dispose of, to solve",,,
近付く,ちかづく,"to approach, to get near, to get acquainted with, to get closer",,,
長引く,ながびく,"to be prolonged, to drag on",,,
散蒔く,ばらまく,"to disseminate, yo scatter, to give money freely",,,
見直す,みなおす,"to look again, to get a better opinion of",,,
見逃す,みのがす,"to miss, to overlook, to leave at large",,,
指差す,ゆびさす,to point at,,,
見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of ",,,
引出す,ひきだす,"to pull out, to take out, to draw out, to withdraw",,,
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",,,
微笑む,ほほえむ,to smile,,,
裏切る,うらぎる,"to betray, to turn traitor to, to double-cross",,,
横切る,よこぎる,"to cross (e.g. arms), to traverse",,,
見送る,みおくる,"(1) to see off, to farewell,(2) to escort,(3) to let pass",,,
着飾る,きかざる,to dress up,,,
嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous ",,,
片寄る,かたよる,"to be one-sided, to incline, to be partial",,,
近寄る,ちかよる,"to approach, to draw near",,,
洒落る,しゃれる,"to joke, to play on words, to dress stylishly",,,
引返す,ひきかえす,"to repeat, to send back, to bring back ",,,
裏返す,うらがえす,"to turn inside out, to turn (something) over",,,
心得る,こころえる,"to be informed, to have thorough knowledge",,,
引受る,ひきうける,"to undertake, to take up, to take over",,,
物語る,ものがたる,"to tell, to indicate",,,
逆上る,さかのぼる,"to go back, to go upstream, to make retroactive",,,
上回る,うわまわる,to exceed,,,
見落とす,みおとす,"to overlook, to fail to notice",,,
蹴飛ばす,けとばす,"to kick away, to kick off, to kick (someone), to refuse, to reject",,,
見下ろす,みおろす,"to overlook, to command a view of, to look down on something",,,
途絶える,とだえる,"to stop, to cease, to come to an end",,,
見付かる,みつかる,"to be found, to be discovered",,,
仕上がる,しあがる,"to be finished, completed, be done",trans.,この製品は美しく仕上がっている。,This product is beautifully crafted.
打付ける,ぶつける,"to knock, run into, nail on, strike hard, hit and attack, throw a question, demand, express, vent",trans.,怒って荒々しく本を打付けた。,He was angry and wildly struck the book.
仕掛ける,しかける,"to set up, commence, lay (mines), set (traps), to wage (war), challenge",trans.,花火を仕掛ける。,Set fireworks.
付き合う,つきあう,"to associate with, keep company with, get on with, get out with",intrans.,買い物に付き合ってくれない？,Will you go shopping with me?
釣り合う,つりあう,"to balance, be in harmony, suit ",intrans.,仕事の量と賃金が釣り合っていない。,The amount of work is not balanced with the wages.
間に合う,まにあう,to be in time for,intrans.,彼は走って学校に行き間に合った。,He ran to school and got there in time.
引っ掻く,ひっかく,to scratch,trans.,猫は私の手を引っ掻いた。,The cat scratched my hand.
追い付く,おいつく,"to overtake, catchup with, draw level, be compensated, make up for",intrans.,は彼らに早く追いつけました。,I caught up with them quickly.
受け継ぐ,うけつぐ,"to inherit, succeed, take over",trans.,それ以外には受け継ぐものがありません。,There is nothing else they can inherit.
取り次ぐ,とりつぐ,"to act as an agent for, intermediate, to announce someone, usher a guest to convey a message",trans.,私の希望を彼に取り次いでください。,Please tell him what I want.
差し引く,さしひく,to deduct,trans.,家賃は給料から差し引かれる。,Rent is deducted from your paycheck.
取り巻く,とりまく,"to surround, to circle, to enclose",trans.,私たちは大勢の子供に取り巻かれた。,We were surrounded by a bunch of kids.
言い出す,いいだす,"to start talking to speak, to tell, to propose, to suggest, to break the ice ",trans.,言い出し渋る。,I'm reluctant to say anything.
売り出す,うりだす,"to put on sale, to market, to become popular",trans.,あの会社は建て売り住宅を売り出す予定だ。,That company is going to sell houses for sale.
愛用する,あいよう,"to use regularly, patronize",suru,,
アクセスする,アクセスする,to access (for Internet),suru,,
案内する,あんないする,"to guide, lead",suru,,
安心する,あんしんする,"to be relieved, feel secure",suru,,
安定する,あんていする,"to be steady, stable",suru,,
アップする,アップする,to upload (for Internet),suru,,
アレンジする,アレンジする,to arrange,suru,,
爆発する,ばくはつする,"to explode, burst, blow up",suru,,
弁護する,べんごする,"to defend, testify for",suru,,
勉強する,べんきょうする,"to study, to give a discount",suru,,
弁償する,べんしょうする,"to compensate, repay for loss",suru,,
防止する,ぼうしする,"to prevent, keep in check",suru,,
募集する,ぼしゅうする,"to recruit, collect",suru,,
分析する,ぶんせきする,"to analyze, break down",suru,,
チャレンジする,チャレンジする,to challenge,suru,,
遅刻する,ちこくする,"to be late, tardy",suru,,
貯金する,ちょきんする,to save money,suru,,
調査する,ちょうさする,"to investigate, inquire into, examine",suru,,
調整する,ちょうせいする,"to regulate, adjust",suru,,
ちゅうちょする,ちゅうちょする,"to hesitate, waver, vacillate",suru,,
注意する,ちゅういする,"to be careful of, pay attention to",suru,,
中継する,ちゅうけいする,to relay (a broadcast),suru,,
忠告する,ちゅうこくする,"to warn, advise",suru,,
注目する,ちゅうもくする,"to observe, take notice of",suru,,
注文する,ちゅうもんする,"to order (food, goods)",suru,,
中止する,ちゅうしする,"to stop, discontinue, call off",suru,,
ダウンロードする,ダウンロードする,to download (for Internet),suru,,
妥協する,だきょうする,to compromise,suru,,
ダンスする,dansu,to dance,suru,,
電話する,denwa,to make a telephone call,suru,,
独立する,dokuritsu,to become independent,suru,,
同意する,dōi,"to agree, approve",suru,,
導入する,dōnyū,"to bring in, introduce",suru,,
ドラッグする,doraggu,to drag with a (computer) mouse,suru,,
努力する,doryoku,"to make an effort, work hard",suru,,
営業する,eigyō,"to do business, be open",suru,,
影響する,eikyō,"to influence, affect",suru,,
延長する,enchō,"to extend, lengthen",suru,,
演技する,engi,"to act, perform",suru,,
援助する,enjo,"to assist, help, support, aid",suru,,
延期する,enki,"to postpone, put off",suru,,
遠慮する,enryo,"to refrain, hold back",suru,,
ファックスする,fakkusu,to fax,suru,,
フォローする,forō,to follow on line,suru,,
復活する,fukkatsu,"to revive, restore",suru,,
復習する,fukushū,"to review, go over",suru,,
復讐する,fukushū,to revenge,suru,,
普及する,fukyū,"to spread, diffuse",suru,,
赴任する,funin,to leave for one’s new post,suru,,
不足する,fusoku,"to be short of, be lacking",suru,,
負担する,futan,to bear the weight of,suru,,
我慢する,gaman,"to be patient, endure",suru,,
減少する,genshō,to decrease,suru,,
限定する,gentei,"to limit, restrict",suru,,
議論する,giron,"to argue, discuss,debate",suru,,
誤解する,gokai,to misunderstand,suru,,
合格する,gōkaku,to pass an examination,suru,,
合計する,gōkei,"to add up, total",suru,,
ハグする,hagu,to hug,suru,,
廃止する,haishi,"to abolish, do away with, repeal",suru,,
配達する,haitatsu,to deliver,suru,,
破壊する,hakai,"to destroy, break, ruin",suru,,
発行する,hakkō,"to publish, issue, bring out",suru,,
反映する,han’ei,to reflect,suru,,
繁栄する,han’ei,"to prosper, flourish",suru,,
判断する,handan,"to judge, conclude",suru,,
反省する,hansei,"to reflect on oneself,reconsider",suru,,
反対する,hantai,"to be against, be opposed",suru,,
発売する,hatsubai,"to begin selling, put on the market",suru,,
発明する,hatsumei,to invent,suru,,
発展する,hatten,"to develop, expand",suru,,
平均する,heikin,"to average, balance",suru,,
変化する,henka,"to change, alter, be transformed",suru,,
編集する,henshū,"to edit, compile",suru,,
批判する,hihan,to criticize,suru,,
否定する,hitei,"to deny, negate",suru,,
翻訳する,hon’yaku,to translate,suru,,
報告する,hōkoku,"to report, inform",suru,,
訪問する,hōmon,"to visit, call on, pay a visit",suru,,
保証する,hoshō,"to guarantee, warrant",suru,,
補償する,hoshō,"to compensate, make up for",suru,,
評価する,hyōka,"to appraise, value",suru,,
移動する,idou,"to move, transfer, migrate",suru,,
違反する,ihan,to violate,suru,,
維持する,iji,"to maintain, support, keep",suru,,
移行する,ikou,"to switch over to, migrate, transit",suru,,
引退する,intai,"to retire, give up one’s position",suru,,
依頼する,irai,"to request, ask",suru,,
一致する,itchi,"to agree with, be in unison",suru,,
意図する,ito,"to intend to do, make a goal",suru,,
ジャンプする,janpu,to jump,suru,,
実験する,jikken,to experiment,suru,,
実行する,jikkō,"to carry out, execute",suru,,
自慢する,jiman,"to be proud, boast of, take pride in",suru,,
自立する,jiritsu,to become independent,suru,,
辞職する,jishoku,to resign,suru,,
実現する,jitsugen,"to be realized, come true",suru,,
ジョギングする,jogingu,to jog,suru,,
上映する,jōei,to show a film,suru,,
譲歩する,jōho,"to concede, give way to",suru,,
上昇する,jōshō,"to go up, rise, ascend",suru,,
準備する,junbi,to prepare,suru,,
回復する,kaifuku,"to restore, recuperate",suru,,
開発する,kaihatsu,"to develop, exploit",suru,,
開放する,kaihō,to open a place to the public,suru,,
解放する,kaihō,"to release, set a prisoner free",suru,,
改革する,kaikaku,"to reform, improve",suru,,
解決する,kaiketsu,"to settle, resolve",suru,,
開催する,kaisai,to hold (an event),suru,,
改正する,kaisei,"to revise, amend, improve",suru,,
解釈する,kaishaku,"to interpret, explain",suru,,
開拓する,kaitaku,"to reclaim, exploit, develop",suru,,
下降する,kakō,"to come down, descend, drop",suru,,
加工する,kakō,"to process, manufacture",suru,,
拡大する,kakudai,"to magnify, enlarge, expand",suru,,
確認する,kakunin,"to confirm, ascertain, verify, validate",suru,,
関係する,kankei,"to be related, have a relationship",suru,,
管理する,kanri,"to manage, control, administer",suru,,
観察する,kansatsu,"to observe, watch closely",suru,,
完成する,kansei,"to finish, complete",suru,,
感心する,kanshin,"to admire, be impressed",suru,,
観賞する,kanshō,to appreciate,suru,,
仮定する,katei,"to assume, suppose",suru,,
活動する,katsudō,to be active,suru,,
活躍する,katsuyaku,"be active in, take an active part",suru,,
カットする,katto,to cut,suru,,
経営する,keiei,"to manage, conduct, run (a business)",suru,,
経過する,keika,"to pass, elapse, expire",suru,,
計画する,keikaku,to plan,suru,,
経験する,keiken,"to experience, undergo",suru,,
計算する,keisan,"to count, calculate, sum up",suru,,
契約する,keiyaku,"to contract, make a contract with",suru,,
結婚する,kekkon,to marry,suru,,
見物する,kenbutsu,to go sightseeing,suru,,
けんかする,kenka,"to quarrel, fight",suru,,
研究する,kenkyū,"to study, research",suru,,
研修する,kenshū,"to study, train, intern",suru,,
検討する,kentō,"to examine, investigate, think over",suru,,
欠席する,kesseki,to be absent,suru,,
決心する,kesshin,"to make up one’s mind, decide",suru,,
決定する,kettei,"to decide, determine",suru,,
キープする,キープする,to keep,suru,,
キックする,キックする,to kick,suru,,
緊張する,kinchō,"to be tense, nervous",suru,,
記念する,kinen,to commemorate,suru,,
記録する,kiroku,"to record, write down",suru,,
キスする,kisu,to kiss,suru,,
期待する,kitai,"to expect, hope",suru,,
攻撃する,kōgeki,"to attack, charge, criticize",suru,,
工事する,kōji,to construct,suru,,
後悔する,kōkai,"to regret, repent, be sorry",suru,,
交換する,kōkan,to exchange,suru,,
混乱する,konran,"to be confused, be in disorder",suru,,
コントロールする,コントロールする,to control,suru,,
コピーする,コピーする,to make a copy,suru,,
考慮する,kōryo,"to consider, think over",suru,,
交流する,kōryū,"to exchange (ideas, culture)",suru,,
故障する,koshō,to break down,suru,,
交渉する,kōshō,to negotiate,suru,,
交代する,kōtai,"to take turns, take a person’s place",suru,,
クリックする,クリックする,to click with a mouse,suru,,
キャンセルする,キャンセルする,to cancel,suru,,
拒否する,kyohi,"to refuse, reject, deny",suru,,
教育する,kyōiku,to educate,suru,,
許可する,kyoka,to permit,suru,,
供給する,kyōkyū,"to supply, furnish, provide",suru,,
強制する,kyōsei,"to compel, force a person to do",suru,,
競争する,kyōsō,to compete,suru,,
救助する,kyūjo,"to rescue, help",suru,,
休憩する,kyūkei,"to rest, take a break",suru,,
吸収する,kyūshū,to absorb,suru,,
メールする,mēru,to send an email,suru,,
迷惑する,meiwaku,to be troubled/annoyed,suru,,
面接する,mensetsu,to interview,suru,,
ミックスする,mikkusu,to mix,suru,,
ミスする,misu,"to make a mistake, to miss",suru,,
黙認する,mokunin,to permit or approve tacitly,suru,,
矛盾する,mujun,"to be contradictory, to conflict",suru,,
無視する,mushi,"to ignore, disregard",suru,,
納得する,nattoku,"to consent, to agree, to convinced, to understand, to comprehend",suru,,
認識する,ninshiki,to recognize realize understand,suru,,
入学する,nyūgaku,to enter a school,suru,,
入院する,nyūin,to be hospitalized,suru,,
応援する,ōen,"to aid, support, encourage, cheer",suru,,
往復する,ōfuku,to go and return,suru,,
応用する,ōyō,"to apply, put into practice",suru,,
パスする,pasu,to pass (mainly used in sports),suru,,
落第する,rakudai,"to fail an exam, be rejected",suru,,
落選する,rakusen,to be defeated in an election,suru,,
連絡する,renraku,"to contact, get in touch",suru,,
練習する,renshū,"to practice, exercise",suru,,
リードする,riido,to lead,suru,,
理解する,rikai,"to understand, comprehend",suru,,
離婚する,rikon,to divorce,suru,,
利用する,riyō,to make use of,suru,,
ロックする,rokku,to lock,suru,,
録音する,rokuon,to record (sound),suru,,
浪費する,rōhi,"to waste (money or time), throw away",suru,,
旅行する,ryokō,to travel,suru,,
料理する,ryōri,to cook,suru,,
留学する,ryūgaku,to study abroad,suru,,
裁判する,saiban,to hold a trial,suru,,
採用する,saiyō,"to employ, adopt (measures)",suru,,
参加する,sanka,"to join, take part in",suru,,
散歩する,sanpo,to take a walk,suru,,
賛成する,sansei,"to agree, approve",suru,,
生活する,seikatsu,"to make a living, support oneself",suru,,
成功する,seikō,to succeed,suru,,
生産する,seisan,"to produce, manufacture",suru,,
専攻する,senkō,"to specialize, major in",suru,,
選挙する,senkyo,to elect,suru,,
戦争する,sensō,to make war,suru,,
選択する,sentaku,"to choose, select",suru,,
洗濯する,sentaku,to wash (clothes),suru,,
説明する,setsumei,to explain,suru,,
節約する,setsuyaku,"to economize, skimp, save",suru,,
セットする,setto,to set,suru,,
説得する,settoku,to persuade,suru,,
世話する,sewa,"to take care of, look after (someone)",suru,,
指導する,shidō,to lead guide,suru,,
刺激する,shigeki,"to stimulate, irritate, excite",suru,,
支配する,shihai,"to control, dominate",suru,,
指示する,shiji,"to instruct, to indicate, to denote",suru,,
指名する,shimei,"to nominate, designate",suru,,
