Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
36042,噛み切る,かみきる,,,,,,,,,
36042,綴じる,とじる,,,,,,,,,
36042,為直す,しなおす,,,,,,,,,
36042,使い捨てる,つかいすてる,,,,,,,,,
36042,掴ます,,,,,,,,,,
36042,教え合う,,,,,,,,,,
36042,鳴り止む,なりやむ,,,,,,,,,
36042,食らわせる,くらわせる,,,,,,,,,
36042,いなす,いなす,,,,,,,,,
36042,生え変わる,,,,,,,,,,
36042,吹き替える,ふきかえる,,,,,,,,,
36042,飾り付ける,かざりつける,,,,,,,,,
36042,燃え広がる,もえひろがる,,,,,,,,,
36042,探し歩く,,,,,,,,,,
36042,買い集める,,,,,,,,,,
36042,誓い合う,ちかいあう,,,,,,,,,
36042,ざらつく,ざらつく,,,,,,,,,
36042,慰む,なぐさむ,,,,,,,,,
36042,賎しむ,いやしむ,,,,,,,,,
36042,嫁入る,よめいる,,,,,,,,,
36042,揺り起こす,ゆりおこす,,,,,,,,,
36042,裏返る,うらがえる,,,,,,,,,
36042,攻め掛かる,せめかかる,,,,,,,,,
36042,拉ぐ,,,,,,,,,,
36042,訪う,おとなう,,,,,,,,,
36042,産み付ける,うみつける,,,,,,,,,
36042,踏み倒す,ふみたおす,,,,,,,,,
36042,焼け焦げる,やけこげる,,,,,,,,,
36042,切り合う,きりあう,,,,,,,,,
36042,浮き出す,うきだす,,,,,,,,,
36042,たくし上げる,たくしあげる,,,,,,,,,
36042,脂ぎる,あぶらぎる,,,,,,,,,
36042,植え込む,うえこむ,,,,,,,,,
36042,賑わせる,,,,,,,,,,
36042,窄まる,すぼまる,,,,,,,,,
36042,読み聞かせる,よみきかせる,,,,,,,,,
36042,置き換わる,おきかわる,,,,,,,,,
36042,繰り込む,くりこむ,,,,,,,,,
36042,隠れ住む,かくれすむ,,,,,,,,,
36042,泣き腫らす,なきはらす,,,,,,,,,
36042,吹き降ろす,ふきおろす,,,,,,,,,
36042,ばたつく,ばたつく,,,,,,,,,
36042,掻き切る,かききる,,,,,,,,,
36042,招ぐ,,,,,,,,,,
36042,天下る,あまくだる,,,,,,,,,
36042,積み出す,つみだす,,,,,,,,,
36042,修する,しゅうする,,,,,,,,,
36042,震う,ふるう,,,,,,,,,
36829,塗り直す,ぬりなおす,,,,,,,,,
36829,分捕る,ぶんどる,,,,,,,,,
36829,付け上がる,,,,,,,,,,
36829,先走る,さきばしる,,,,,,,,,
36829,履き違える,はきちがえる,,,,,,,,,
36829,喜ばす,よろこばす,,,,,,,,,
36829,存じ上げる,ぞんじあげる,,,,,,,,,
36829,騒がす,さわがす,,,,,,,,,
36829,押し合う,おしあう,,,,,,,,,
36829,録る,とる,,,,,,,,,
36829,塞ぎ込む,ふさぎこむ,,,,,,,,,
36829,読ます,よます,,,,,,,,,
36829,張り替える,はりかえる,,,,,,,,,
36829,染め上げる,そめあげる,,,,,,,,,
36829,舞い落ちる,まいおちる,,,,,,,,,
36829,知らせる,しらせる,,,,,,,,,
36829,直走る,ひたはしる,,,,,,,,,
36829,消し飛ぶ,けしとぶ,,,,,,,,,
36829,掴み出す,つかみだす,,,,,,,,,
36829,茹で上がる,ゆであがる,,,,,,,,,
36829,当て付ける,あてつける,,,,,,,,,
36829,走らす,はしらす,,,,,,,,,
36829,逃げ遅れる,にげおくれる,,,,,,,,,
36829,踏み固める,ふみかためる,,,,,,,,,
36829,彫り込む,,,,,,,,,,
36829,飛び越す,とびこす,,,,,,,,,
36829,押し分ける,おしわける,,,,,,,,,
36829,洗い落とす,あらいおとす,,,,,,,,,
36829,出来す,でかす,,,,,,,,,
36829,遊び回る,,,,,,,,,,
36829,事切れる,こときれる,,,,,,,,,
36829,希う,こいねがう,,,,,,,,,
36829,撥ね上げる,はねあげる,,,,,,,,,
36829,匂わす,におわす,,,,,,,,,
36829,かどわかす,かどわかす,,,,,,,,,
36829,落ち窪む,おちくぼむ,,,,,,,,,
36829,押し開く,おしひらく,,,,,,,,,
36829,追い上げる,おいあげる,,,,,,,,,
36829,宥め賺す,なだめすかす,,,,,,,,,
36829,付け回す,つけまわす,,,,,,,,,
36829,取り潰す,とりつぶす,,,,,,,,,
36829,吹き消す,ふきけす,,,,,,,,,
36829,射掛ける,,,,,,,,,,
36829,鋳る,いる,,,,,,,,,
36829,歩み去る,,,,,,,,,,
36829,道化る,どうける,,,,,,,,,
36829,仮す,かす,,,,,,,,,
36829,除する,じょする,,,,,,,,,
36829,積み上がる,つみあがる,,,,,,,,,
36829,笑い返す,,,,,,,,,,
36829,食べ合う,,,,,,,,,,
37694,取り混ぜる,とりまぜる,,,,,,,,,
37694,買わす,かわす,,,,,,,,,
37694,払わす,,,,,,,,,,
37694,出しゃばる,でしゃばる,,,,,,,,,
37694,ほじくる,ほじくる,,,,,,,,,
37694,丸め込む,まるめこむ,,,,,,,,,
37694,組み合う,くみあう,,,,,,,,,
37694,立て込む,たてこむ,,,,,,,,,
37694,嫉む,そねむ,,,,,,,,,
37694,尖らす,とがらす,,,,,,,,,
37694,取り除ける,とりのける,,,,,,,,,
37694,投げ飛ばす,なげとばす,,,,,,,,,
37694,取り越す,とりこす,,,,,,,,,
37694,守り抜く,まもりぬく,,,,,,,,,
37694,付き合わす,つきあわす,,,,,,,,,
37694,打っ付ける,ぶっつける,,,,,,,,,
37694,かまける,かまける,,,,,,,,,
37694,褒めそやす,ほめそやす,,,,,,,,,
37694,染み入る,しみいる,,,,,,,,,
37694,攻め立てる,せめたてる,,,,,,,,,
37694,聞き漏らす,ききもらす,,,,,,,,,
37694,喜び勇む,よろこびいさむ,,,,,,,,,
37694,運び上げる,はこびあげる,,,,,,,,,
37694,絡げる,からげる,,,,,,,,,
37694,溺れ死ぬ,,,,,,,,,,
37694,入れ揚げる,いれあげる,,,,,,,,,
37694,押し下げる,おしさげる,,,,,,,,,
37694,しこる,,,,,,,,,,
37694,刺し貫く,さしつらぬく,,,,,,,,,
37694,がなり立てる,がなりたてる,,,,,,,,,
37694,下卑る,げびる,,,,,,,,,
37694,喚き立てる,,,,,,,,,,
37694,絞り上げる,しぼりあげる,,,,,,,,,
37694,疎んずる,うとんずる,,,,,,,,,
37694,押し隠す,おしかくす,,,,,,,,,
37694,笑む,えむ,,,,,,,,,
37694,ぎらつく,ぎらつく,,,,,,,,,
37694,寿ぐ,ことほぐ,,,,,,,,,
37694,撫で摩る,なでさする,,,,,,,,,
37694,差し障る,さしさわる,,,,,,,,,
37694,どやす,どやす,,,,,,,,,
37694,倒れ掛かる,たおれかかる,,,,,,,,,
37694,挺する,ていする,,,,,,,,,
37694,立ち至る,たちいたる,,,,,,,,,
37694,組み合わさる,くみあわさる,,,,,,,,,
37694,染み透る,しみとおる,,,,,,,,,
37694,責付く,せつく,,,,,,,,,
37694,打ち下ろす,うちおろす,,,,,,,,,
37694,奔る,はしる,,,,,,,,,
37694,積み替える,つみかえる,,,,,,,,,
37694,押し包む,おしつつむ,,,,,,,,,
37694,繰り入れる,くりいれる,,,,,,,,,
37694,読み飛ばす,よみとばす,,,,,,,,,
37694,流し入れる,ながしいれる,,,,,,,,,
37694,述べ伝える,,,,,,,,,,
38630,涼む,すずむ,,,,,,,,,
38630,負かす,まかす,,,,,,,,,
38630,生み分ける,,,,,,,,,,
38630,通い詰める,かよいつめる,,,,,,,,,
38630,耳慣れる,みみなれる,,,,,,,,,
38630,ざり,,,,,,,,,,
38630,甘ったれる,あまったれる,,,,,,,,,
38630,剥げ落ちる,,,,,,,,,,
38630,奮い起こす,ふるいおこす,,,,,,,,,
38630,買い被る,かいかぶる,,,,,,,,,
38630,舐る,ねぶる,,,,,,,,,
38630,盛り立てる,もりたてる,,,,,,,,,
38630,ぬかる,ぬかる,,,,,,,,,
38630,犇めき合う,ひしめきあう,,,,,,,,,
38630,照り映える,てりはえる,,,,,,,,,
38630,潰える,ついえる,,,,,,,,,
38630,燃え移る,,,,,,,,,,
38630,切れ込む,きれこむ,,,,,,,,,
38630,吸い出す,すいだす,,,,,,,,,
38630,晴れ上がる,はれあがる,,,,,,,,,
38630,焼き捨てる,やきすてる,,,,,,,,,
38630,逆巻く,さかまく,,,,,,,,,
38630,日暮れる,,,,,,,,,,
38630,擦れ合う,すれあう,,,,,,,,,
38630,縮み上がる,ちぢみあがる,,,,,,,,,
38630,思い合わせる,おもいあわせる,,,,,,,,,
38630,注ぎ足す,つぎたす,,,,,,,,,
38630,ググる,,,,,,,,,,
38630,膿む,うむ,,,,,,,,,
38630,与り知る,あずかりしる,,,,,,,,,
38630,拾い出す,ひろいだす,,,,,,,,,
38630,蹴り飛ばす,,,,,,,,,,
38630,剃り上げる,そりあげる,,,,,,,,,
38630,振り立てる,ふりたてる,,,,,,,,,
38630,攻め寄せる,せめよせる,,,,,,,,,
38630,交う,かう,,,,,,,,,
38630,泣き伏す,なきふす,,,,,,,,,
38630,取り澄ます,とりすます,,,,,,,,,
38630,初める,そめる,,,,,,,,,
38630,過つ,あやまつ,,,,,,,,,
38630,具わる,そなわる,,,,,,,,,
38630,勤め上げる,つとめあげる,,,,,,,,,
38630,訪ね歩く,,,,,,,,,,
38630,裁つ,たつ,,,,,,,,,
38630,ばらつく,ばらつく,,,,,,,,,
38630,うつ伏す,うつぶす,,,,,,,,,
38630,転がり出る,,,,,,,,,,
38630,尋ね返す,,,,,,,,,,
38630,出張る,でばる,,,,,,,,,
38630,まびく,まびく,,,,,,,,,
38630,殴り倒す,なぐりたおす,,,,,,,,,
38630,行き掛ける,,,,,,,,,,
38630,捧げ持つ,ささげもつ,,,,,,,,,
38630,偏する,へんする,,,,,,,,,
38630,粟立つ,あわだつ,,,,,,,,,
38630,揉みしだく,もみしだく,,,,,,,,,
38630,鬻ぐ,,,,,,,,,,
38630,読み下す,よみくだす,,,,,,,,,
38630,薙ぐ,なぐ,,,,,,,,,
38630,取り崩す,とりくずす,,,,,,,,,
38630,怒鳴り返す,,,,,,,,,,
38630,架する,かする,,,,,,,,,
39617,扇ぐ,あおぐ,,,,,,,,,
39617,怒らす,いからす,,,,,,,,,
39617,紛らわせる,,,,,,,,,,
39617,聞き直す,ききなおす,,,,,,,,,
39617,行き違う,いきちがう,,,,,,,,,
39617,撫ぜる,なぜる,,,,,,,,,
39617,殴り合う,なぐりあう,,,,,,,,,
39617,重る,おもる,,,,,,,,,
39617,詠み込む,よみこむ,,,,,,,,,
39617,疑る,うたぐる,,,,,,,,,
39617,ぶつけ合う,ぶつけあう,,,,,,,,,
39617,がなる,,,,,,,,,,
39617,猛る,たける,,,,,,,,,
39617,織り上げる,おりあげる,,,,,,,,,
39617,点ずる,てんずる,,,,,,,,,
39617,眺め渡す,,,,,,,,,,
39617,断ち切れる,たちきれる,,,,,,,,,
39617,焦げ付く,こげつく,,,,,,,,,
39617,求まる,もとまる,,,,,,,,,
39617,食い殺す,くいころす,,,,,,,,,
39617,振り捨てる,ふりすてる,,,,,,,,,
39617,述べ立てる,,,,,,,,,,
39617,燻す,いぶす,,,,,,,,,
39617,積り積る,つもりつもる,,,,,,,,,
39617,入れ違う,いれちがう,,,,,,,,,
39617,貸し与える,,,,,,,,,,
39617,書き溜める,かきためる,,,,,,,,,
39617,探り合う,さぐりあう,,,,,,,,,
39617,消し止める,けしとめる,,,,,,,,,
39617,引き据える,ひきすえる,,,,,,,,,
39617,滲み出す,にじみだす,,,,,,,,,
39617,引き当てる,ひきあてる,,,,,,,,,
39617,見飽きる,みあきる,,,,,,,,,
39617,掻っ払う,かっぱらう,,,,,,,,,
39617,戯れ付く,,,,,,,,,,
39617,抱え上げる,,,,,,,,,,
39617,浮かび出る,うかびでる,,,,,,,,,
39617,草する,そうする,,,,,,,,,
39617,恋う,こう,,,,,,,,,
39617,よだつ,よだつ,,,,,,,,,
39617,攻め落とす,せめおとす,,,,,,,,,
39617,経巡る,へめぐる,,,,,,,,,
39617,仰向く,あおむく,,,,,,,,,
39617,粘つく,ねばつく,,,,,,,,,
39617,眇める,すがめる,,,,,,,,,
39617,倒れ伏す,,,,,,,,,,
39617,生き急ぐ,,,,,,,,,,
39617,握り返す,,,,,,,,,,
39617,吠え立てる,,,,,,,,,,
39617,びくつく,びくつく,,,,,,,,,
40698,倍する,ばいする,,,,,,,,,
40698,書き忘れる,かきわすれる,,,,,,,,,
40698,骨折る,ほねおる,,,,,,,,,
40698,継ぎ足す,つぎたす,,,,,,,,,
40698,浮かばれる,うかばれる,,,,,,,,,
40698,言い聞かす,いいきかす,,,,,,,,,
40698,選り分ける,よりわける,,,,,,,,,
40698,馴らす,ならす,,,,,,,,,
40698,躄る,いざる,,,,,,,,,
40698,焼け付く,やけつく,,,,,,,,,
40698,雪崩れる,なだれる,,,,,,,,,
40698,迷わす,まよわす,,,,,,,,,
40698,着古す,きふるす,,,,,,,,,
40698,出払う,ではらう,,,,,,,,,
40698,下げ渡す,さげわたす,,,,,,,,,
40698,伍する,ごする,,,,,,,,,
40698,訴え出る,,,,,,,,,,
40698,吹き寄せる,ふきよせる,,,,,,,,,
40698,轢き殺す,ひきころす,,,,,,,,,
40698,交わし合う,,,,,,,,,,
40698,狂わす,くるわす,,,,,,,,,
40698,沈み掛ける,しずみかける,,,,,,,,,
40698,叩き上げる,たたきあげる,,,,,,,,,
40698,打ち払う,うちはらう,,,,,,,,,
40698,押し頂く,おしいただく,,,,,,,,,
40698,掛け合わせる,かけあわせる,,,,,,,,,
40698,投げ上げる,,,,,,,,,,
40698,掠め取る,かすめとる,,,,,,,,,
40698,諳んずる,そらんずる,,,,,,,,,
40698,混ぜ込む,,,,,,,,,,
40698,囁き合う,,,,,,,,,,
40698,かじかむ,かじかむ,,,,,,,,,
40698,待ち草臥れる,まちくたびれる,,,,,,,,,
40698,茹だる,うだる,,,,,,,,,
40698,引き合わす,ひきあわす,,,,,,,,,
40698,病める,やめる,,,,,,,,,
40698,掻き消える,かききえる,,,,,,,,,
40698,握り直す,,,,,,,,,,
40698,真面目くさる,まじめくさる,,,,,,,,,
40698,啜り上げる,,,,,,,,,,
40698,名指す,なざす,,,,,,,,,
40698,思い残す,おもいのこす,,,,,,,,,
40698,折り込む,おりこむ,,,,,,,,,
40698,担わす,になわす,,,,,,,,,
40698,重ね合わす,かさねあわす,,,,,,,,,
40698,手招く,てまねく,,,,,,,,,
40698,賞する,しょうする,,,,,,,,,
40698,持ち合う,もちあう,,,,,,,,,
40698,付け合わせる,つけあわせる,,,,,,,,,
40698,捉え返す,,,,,,,,,,
40698,買い受ける,かいうける,,,,,,,,,
40698,落ち行く,おちゆく,,,,,,,,,
41842,死に掛ける,しにかける,,,,,,,,,
41842,へたる,へたる,,,,,,,,,
41842,こじつける,こじつける,,,,,,,,,
41842,終わり掛ける,,,,,,,,,,
41842,腐れる,くされる,,,,,,,,,
41842,へこたれる,へこたれる,,,,,,,,,
41842,掛け持つ,かけもつ,,,,,,,,,
41842,すぐる,すぐる,,,,,,,,,
41842,結わく,ゆわく,,,,,,,,,
41842,譲り合う,ゆずりあう,,,,,,,,,
41842,込み合う,こみあう,,,,,,,,,
41842,捏ね回す,こねまわす,,,,,,,,,
41842,確かめ合う,たしかめあう,,,,,,,,,
41842,口説き落とす,くどきおとす,,,,,,,,,
41842,くゆらす,くゆらす,,,,,,,,,
41842,好き好む,すきこのむ,,,,,,,,,
41842,のめる,のめる,,,,,,,,,
41842,事寄せる,ことよせる,,,,,,,,,
41842,遣り込める,やりこめる,,,,,,,,,
41842,叩き合う,たたきあう,,,,,,,,,
41842,煮付ける,につける,,,,,,,,,
41842,締め直す,,,,,,,,,,
41842,乱れ飛ぶ,みだれとぶ,,,,,,,,,
41842,汲み出す,くみだす,,,,,,,,,
41842,打ち叩く,,,,,,,,,,
41842,せびる,せびる,,,,,,,,,
41842,取っ捕まえる,とっつかまえる,,,,,,,,,
41842,息詰まる,いきづまる,,,,,,,,,
41842,引き攣れる,ひきつれる,,,,,,,,,
41842,転げ回る,,,,,,,,,,
41842,かしずく,かしずく,,,,,,,,,
41842,匂い立つ,においたつ,,,,,,,,,
41842,切り回す,きりまわす,,,,,,,,,
41842,聞き知る,ききしる,,,,,,,,,
41842,当たり散らす,あたりちらす,,,,,,,,,
41842,暮れ泥む,くれなずむ,,,,,,,,,
41842,しょぼくれる,しょぼくれる,,,,,,,,,
41842,守り立てる,もりたてる,,,,,,,,,
41842,焦がれる,こがれる,,,,,,,,,
41842,駆けずる,,,,,,,,,,
41842,踏み入る,ふみいる,,,,,,,,,
41842,乗り掛かる,のりかかる,,,,,,,,,
41842,買い叩く,かいたたく,,,,,,,,,
41842,消え掛ける,,,,,,,,,,
41842,滑らす,すべらす,,,,,,,,,
41842,爆ぜる,はぜる,,,,,,,,,
41842,嘆ずる,たんずる,,,,,,,,,
41842,結い上げる,ゆいあげる,,,,,,,,,
41842,弄り回す,,,,,,,,,,
41842,ごわす,,,,,,,,,,
41842,連れ歩く,,,,,,,,,,
41842,煎じ詰める,せんじつめる,,,,,,,,,
41842,暴き出す,あばきだす,,,,,,,,,
41842,有り付ける,ありつける,,,,,,,,,
41842,老い耄れる,おいぼれる,,,,,,,,,
41842,拭き込む,ふきこむ,,,,,,,,,
41842,取り交わす,とりかわす,,,,,,,,,
41842,掘り当てる,ほりあてる,,,,,,,,,
41842,裁ち割る,たちわる,,,,,,,,,
41842,嘗め上げる,,,,,,,,,,
41842,這い蹲う,はいつくばう,,,,,,,,,
41842,作り込む,,,,,,,,,,
41842,書き進める,,,,,,,,,,
41842,饐える,すえる,,,,,,,,,
41842,叫び返す,,,,,,,,,,
41842,聞き咎める,ききとがめる,,,,,,,,,
41842,刮ぐ,,,,,,,,,,
41842,冷やし固める,,,,,,,,,,
43022,湿気る,しける,,,,,,,,,
43022,ばてる,ばてる,,,,,,,,,
43022,誂える,あつらえる,,,,,,,,,
43022,縒れる,,,,,,,,,,
43022,透く,すく,,,,,,,,,
43022,吊るし上げる,つるしあげる,,,,,,,,,
43022,見下げる,みさげる,,,,,,,,,
43022,入れ直す,いれなおす,,,,,,,,,
43022,ささくれ立つ,ささくれだつ,,,,,,,,,
43022,時化る,しける,,,,,,,,,
43022,塾れる,こなれる,,,,,,,,,
43022,だぶつく,だぶつく,,,,,,,,,
43022,練り込む,ねりこむ,,,,,,,,,
43022,捩じ曲がる,ねじまがる,,,,,,,,,
43022,打っ潰す,ぶっつぶす,,,,,,,,,
43022,書き殴る,かきなぐる,,,,,,,,,
43022,注ぎ入れる,そそぎいれる,,,,,,,,,
43022,触れ回る,ふれまわる,,,,,,,,,
43022,休する,きゅうする,,,,,,,,,
43022,沸き返る,わきかえる,,,,,,,,,
43022,漬つ,ひつ,,,,,,,,,
43022,身罷る,みまかる,,,,,,,,,
43022,見晴らす,みはらす,,,,,,,,,
43022,怒鳴り込む,どなりこむ,,,,,,,,,
43022,競り落とす,せりおとす,,,,,,,,,
43022,メモる,めもる,,,,,,,,,
43022,用立てる,ようだてる,,,,,,,,,
43022,もたつく,もたつく,,,,,,,,,
43022,照り輝く,てりかがやく,,,,,,,,,
43022,調べ直す,,,,,,,,,,
43022,忍び入る,しのびいる,,,,,,,,,
43022,精出す,せいだす,,,,,,,,,
43022,傾き掛ける,,,,,,,,,,
43022,飲み直す,のみなおす,,,,,,,,,
43022,圧する,あっする,,,,,,,,,
43022,習い覚える,,,,,,,,,,
43022,策する,さくする,,,,,,,,,
43022,切り結ぶ,きりむすぶ,,,,,,,,,
43022,引き倒す,ひきたおす,,,,,,,,,
43022,有り合わせる,ありあわせる,,,,,,,,,
43022,蒼む,あおむ,,,,,,,,,
43022,鼻白む,はなじろむ,,,,,,,,,
43022,腫らす,はらす,,,,,,,,,
43022,降り止む,ふりやむ,,,,,,,,,
43022,訂する,ていする,,,,,,,,,
43022,申し伝える,もうしつたえる,,,,,,,,,
43022,押し被せる,おしかぶせる,,,,,,,,,
43022,炊き上げる,たきあげる,,,,,,,,,
43022,掘り崩す,ほりくずす,,,,,,,,,
43022,説き起こす,ときおこす,,,,,,,,,
43022,読み継ぐ,よみつぐ,,,,,,,,,
43022,明るむ,あかるむ,,,,,,,,,
43022,合する,がっする,,,,,,,,,
43022,抱き取る,だきとる,,,,,,,,,
43022,歩き去る,,,,,,,,,,
43022,呼び立てる,よびたてる,,,,,,,,,
43022,差し戻す,さしもどす,,,,,,,,,
44338,受け答える,うけこたえる,,,,,,,,,
44338,見せ合う,みせあう,,,,,,,,,
44338,笑わす,わらわす,,,,,,,,,
44338,付け狙う,つけねらう,,,,,,,,,
44338,慰め合う,なぐさめあう,,,,,,,,,
44338,生まれ持つ,,,,,,,,,,
44338,言い逃れる,いいのがれる,,,,,,,,,
44338,黄昏る,たそがれる,,,,,,,,,
44338,化かす,ばかす,,,,,,,,,
44338,打った切る,ぶったぎる,,,,,,,,,
44338,泳ぎ出す,およぎだす,,,,,,,,,
44338,装る,,,,,,,,,,
44338,借り上げる,かりあげる,,,,,,,,,
44338,落っことす,おっことす,,,,,,,,,
44338,使い残す,つかいのこす,,,,,,,,,
44338,絡まり合う,,,,,,,,,,
44338,蹴破る,,,,,,,,,,
44338,生い立つ,おいたつ,,,,,,,,,
44338,建て増す,たてます,,,,,,,,,
44338,纏い付く,まといつく,,,,,,,,,
44338,弄くり回す,いじくりまわす,,,,,,,,,
44338,議する,ぎする,,,,,,,,,
44338,繰り越す,くりこす,,,,,,,,,
44338,押し詰まる,おしつまる,,,,,,,,,
44338,嘗め取る,,,,,,,,,,
44338,弾き返す,,,,,,,,,,
44338,塗り固める,ぬりかためる,,,,,,,,,
44338,打ち振る,うちふる,,,,,,,,,
44338,ひしゃげる,ひしゃげる,,,,,,,,,
44338,怖じける,おじける,,,,,,,,,
44338,翔る,かける,,,,,,,,,
44338,掛け替える,かけかえる,,,,,,,,,
44338,貪り食う,,,,,,,,,,
44338,泥濘む,ぬかるむ,,,,,,,,,
44338,さすらう,さすらう,,,,,,,,,
44338,書き散らす,かきちらす,,,,,,,,,
44338,具する,ぐする,,,,,,,,,
44338,しゃくれる,,,,,,,,,,
44338,談ずる,だんずる,,,,,,,,,
44338,踏み分ける,ふみわける,,,,,,,,,
44338,減す,へす,,,,,,,,,
44338,蹴立てる,けたてる,,,,,,,,,
44338,導き入れる,,,,,,,,,,
44338,担ぎ出す,かつぎだす,,,,,,,,,
44338,移り行く,うつりゆく,,,,,,,,,
44338,据え置く,すえおく,,,,,,,,,
44338,腹ばう,はらばう,,,,,,,,,
44338,苦る,にがる,,,,,,,,,
44338,いかす,いかす,,,,,,,,,
44338,付け加わる,つけくわわる,,,,,,,,,
44338,洗い清める,,,,,,,,,,
44338,打ち震える,うちふるえる,,,,,,,,,
44338,遊び呆ける,あそびほうける,,,,,,,,,
44338,囁き掛ける,,,,,,,,,,
44338,投げ落とす,,,,,,,,,,
44338,どよむ,どよむ,,,,,,,,,
44338,苦しみ悩む,,,,,,,,,,
44338,掘り進む,ほりすすむ,,,,,,,,,
44338,判ずる,はんずる,,,,,,,,,
44338,鳴き止む,なきやむ,,,,,,,,,
44338,振り入れる,,,,,,,,,,
44338,溶き入れる,,,,,,,,,,
45806,打ち直す,うちなおす,,,,,,,,,
45806,取り零す,とりこぼす,,,,,,,,,
45806,速まる,はやまる,,,,,,,,,
45806,競り合う,せりあう,,,,,,,,,
45806,消し忘れる,けしわすれる,,,,,,,,,
45806,けちる,けちる,,,,,,,,,
45806,繰り上がる,くりあがる,,,,,,,,,
45806,飲み残す,のみのこす,,,,,,,,,
45806,剥る,へずる,,,,,,,,,
45806,病み付く,やみつく,,,,,,,,,
45806,悩み苦しむ,,,,,,,,,,
45806,憎み合う,にくみあう,,,,,,,,,
45806,喜び合う,よろこびあう,,,,,,,,,
45806,漏れ出す,,,,,,,,,,
45806,妬く,やく,,,,,,,,,
45806,ぼったくる,,,,,,,,,,
45806,だれる,だれる,,,,,,,,,
45806,舞い散る,,,,,,,,,,
45806,敗れ去る,,,,,,,,,,
45806,過ぎ行く,すぎゆく,,,,,,,,,
45806,受け渡す,うけわたす,,,,,,,,,
45806,鯱張る,しゃちほこばる,,,,,,,,,
45806,巡り巡る,,,,,,,,,,
45806,咎め立てる,とがめだてる,,,,,,,,,
45806,吹き払う,ふきはらう,,,,,,,,,
45806,ぱさつく,ぱさつく,,,,,,,,,
45806,押し拉ぐ,おしひしぐ,,,,,,,,,
45806,畳み込む,たたみこむ,,,,,,,,,
45806,塗り込む,ぬりこむ,,,,,,,,,
45806,切り払う,きりはらう,,,,,,,,,
45806,刺し違える,さしちがえる,,,,,,,,,
45806,湧き上る,,,,,,,,,,
45806,抉り取る,,,,,,,,,,
45806,舞い踊る,,,,,,,,,,
45806,書き足す,かきたす,,,,,,,,,
45806,奮う,ふるう,,,,,,,,,
45806,狩り出す,かりだす,,,,,,,,,
45806,たばかる,たばかる,,,,,,,,,
45806,助け起こす,,,,,,,,,,
45806,佩く,はく,,,,,,,,,
45806,呼び入れる,よびいれる,,,,,,,,,
45806,掻き鳴らす,かきならす,,,,,,,,,
45806,取っちめる,とっちめる,,,,,,,,,
45806,恥じ入る,はじいる,,,,,,,,,
45806,切り伏せる,きりふせる,,,,,,,,,
45806,肯んずる,がえんずる,,,,,,,,,
45806,素っ飛ばす,すっとばす,,,,,,,,,
45806,当て込む,あてこむ,,,,,,,,,
45806,叱り飛ばす,,,,,,,,,,
45806,射落とす,いおとす,,,,,,,,,
45806,言い付かる,いいつかる,,,,,,,,,
45806,心する,こころする,,,,,,,,,
45806,掻き口説く,かきくどく,,,,,,,,,
45806,舞い上る,,,,,,,,,,
45806,どやし付ける,どやしつける,,,,,,,,,
45806,撫で上げる,なであげる,,,,,,,,,
45806,掻き込む,かきこむ,,,,,,,,,
45806,銜え込む,くわえこむ,,,,,,,,,
45806,へしゃげる,へしゃげる,,,,,,,,,
45806,益する,えきする,,,,,,,,,
45806,廃る,すたる,,,,,,,,,
45806,練り合わせる,ねりあわせる,,,,,,,,,
45806,年寄る,としよる,,,,,,,,,
45806,書き起こす,かきおこす,,,,,,,,,
45806,手控える,てびかえる,,,,,,,,,
45806,睦み合う,むつみあう,,,,,,,,,
45806,継ぎ合わせる,つぎあわせる,,,,,,,,,
45806,死に別れる,しにわかれる,,,,,,,,,
45806,封切る,,,,,,,,,,
45806,温め直す,,,,,,,,,,
45806,削り落とす,,,,,,,,,,
45806,被仰付,,,,,,,,,,
45806,しょっぴく,しょっぴく,,,,,,,,,
45806,堕する,だする,,,,,,,,,
45806,片寄せる,かたよせる,,,,,,,,,
45806,下向く,したむく,,,,,,,,,
45806,捲れ返る,,,,,,,,,,
45806,煮含める,にふくめる,,,,,,,,,
47471,寝せる,ねせる,,,,,,,,,
47471,治り掛ける,なおりかける,,,,,,,,,
47471,ちびる,ちびる,,,,,,,,,
47471,聞き飽きる,ききあきる,,,,,,,,,
47471,貸し切る,かしきる,,,,,,,,,
47471,ずっこける,ずっこける,,,,,,,,,
47471,食べ掛ける,たべかける,,,,,,,,,
47471,魅入られる,みいられる,,,,,,,,,
47471,押っ取る,,,,,,,,,,
47471,寄り合う,よりあう,,,,,,,,,
47471,綯う,なう,,,,,,,,,
47471,へたばる,へたばる,,,,,,,,,
47471,手伝わす,てつだわす,,,,,,,,,
47471,引き被る,,,,,,,,,,
47471,呼び返す,よびかえす,,,,,,,,,
47471,逆上せ上がる,のぼせあがる,,,,,,,,,
47471,建て込む,たてこむ,,,,,,,,,
47471,狎れる,なれる,,,,,,,,,
47471,落籍す,ひかす,,,,,,,,,
47471,弾け飛ぶ,,,,,,,,,,
47471,塗り重ねる,,,,,,,,,,
47471,素っ破抜く,すっぱぬく,,,,,,,,,
47471,敬する,けいする,,,,,,,,,
47471,賀する,がする,,,,,,,,,
47471,狙い澄ます,ねらいすます,,,,,,,,,
47471,引き提げる,ひきさげる,,,,,,,,,
