L5,T5,L4,T4,L3,T3,L2,T2,L1,T1
すばらしい天気だった。,It was wonderful weather.,私の言った事を正確に彼に伝えて欲しい。,I want you to tell him exactly what I said.,彼は努めて雇い主を満足させようとした。,He tried his best to satisfy his employer.,,,,
私の弟は天才です。,My brother is a genius.,君の判断は正しい。,Your judgment is correct.,成功はたいてい努力次第だ。,Success depends mostly on effort.,,,,
天候がかいふくするのを待つ。,Waiting for the weather to recover.,君の正直な気持ちが聞きたい。,I want to hear your honesty.,彼は体重を減らそうと努めた。,He tried to reduce his weight.,,,,
その木はとても高くなった。,That tree has grown very tall.,この写真はとてもよく撮れてる。,This picture is very well taken.,我々は誤差を見込んで余裕をとっておいた。,We left a margin for error in our estimates.,,,,
母はこの前の木曜日からずっと病気です。,My mother has been sick since this past Thursday.,少女たちは運動の後で真っ赤な顔をしていた。,The girls were red-faced after the exercise.,誤解を解いてくださってありがとう。,Thank you for clearing up the misunderstanding.,,,,
並木のある歩道。,A sidewalk with a row of trees.,容器を真空に保つ。,Keep the container in a vacuum.,しかしながら、品物の数が誤っていました。,"However, the quantity was not correct.",,,,
私は六年間英語を勉強している。,I have been studying English for six years.,彼は僕の言ったことの意味を取り違えた。,He misunderstood what I meant.,子猫を引き取ったよ。,I adopted a kitten.,,,,
六つのちいきに分かれている。,It is divided into six chikuiki.,パーティーでいろんな珍味を味わった。,I tasted various delicacies at the party.,彼は、多少猫背か、背部が軽く盛り上がっていました。,He was somewhat hunched over or had a lightly raised back.,,,,
六日の間そのようにした。,I did so for six days.,いいにおいが味覚をそそった。,The good smell tantalized my taste buds.,突然、猫の鋭い叫び声が私たちに聞こえた。,"All of a sudden, we heard the sharp cry of a cat.",,,,
この時計は一万円だった。,This watch cost ten thousand yen.,それは私達の知識の限界を越えている。,It is beyond the limits of our knowledge.,,,,,,
この料理にも合う万能ワイン。,This is a versatile wine that goes well with this dish.,この川が二つの県の境界になっている。,This river is the boundary between the two provinces.,,,,,,
彼のまんがは万人向きだ。,His cartoon is suitable for everyone.,業界を再編成する。,Reorganizing the industry.,,,,,,
白いドレスはありますか。,Do you have a white dress?,ここではお茶の無料サービスがある。,There is a free tea service here.,,,,,,
告白されたことある？,Have you ever been confessed?,人間の欲望は無限だ。,Man's desires are limitless.,,,,,,
彼の真っ白な家はそのとおりで最もめだつ家だ。,His white house is the most conspicuous house as it is.,彼に大金をかせげと言ったって無理な注文だ。,It is impossible to ask him to make a lot of money.,,,,,,
私は七時に家を出た。,I left home at seven o'clock.,雨のため参会者はごく少数だった。,"Because of the rain, only a few people attended the meeting.",,,,,,
パターンは七つの内の一つです。,The pattern is one of seven.,このやり方の方が危険が少ない。,This way is less dangerous.,,,,,,
彼女は七人も子供がいる。,She has seven children.,この地方には造り酒屋が少しある。,There are a few sake breweries in this region.,,,,,,
このテープレコーダーは４万円しました。,"This tape recorder cost 40,000 yen.",海岸で日光浴をする。,Sunbathing on the beach.,,,,,,
円高になるとゆしゅつにブレーキがかかる。,The strong yen puts the brakes on exports.,海峡を渡る。,Crossing the strait.,,,,,,
円柱上に作られた。,It was made on a cylinder.,海辺をそぞろ歩きする。,Strolling along the seashore.,,,,,,
私は電話で彼と話しました。,I talked to him on the phone.,子育てで大切なのは子育てを楽しむ心だ。,What is important in child rearing is the spirit of enjoying child rearing.,,,,,,
私は電車で家に帰った。,I took the train home.,包丁で指先を切った。,I cut my fingertip with a knife.,,,,,,
電気をつけて下さい。,Please turn on the lights.,お嬢様がご親切にも駅まで迎えに来てくださいました。,The young lady kindly picked us up at the station.,,,,,,
父は中国へ行ってしまった。,My father has gone to China.,我がチームは得点を重ねた。,Our team scored a lot of points.,,,,,,
父親らしくない。,It's not like a father.,酒を飲むとまぶたが重くなる。,Drinking alcohol makes my eyelids heavy.,,,,,,
祖父はいつもこのいすに座る。,My grandfather always sat in this chair.,慎重に計画を練った。,We carefully planned the game.,,,,,,
その町はロンドンのすぐ北にある。,The town is just north of London.,子供たちを集めて野球をしよう。,Let's get the kids together and play baseball.,,,,,,
私は夏に北海道に行きます。,I am going to Hokkaido in the summer.,全員が講堂に集合していた。,They all assembled in the auditorium.,,,,,,
中野駅の北口を出て面白いことを見つけよう。,Let's go out of the north exit of Nakano Station and find something interesting to do.,この本の編集はなかなか気が利いている。,The editing of this book is quite clever.,,,,,,
私は車を買うことにした。,I decided to buy a car.,店員として勤める。,He works as a clerk.,,,,,,
あの町は列車の便が悪い。,The train service is not good in that town.,この部には15名の職員がいる。,There are fifteen staff members in this department.,,,,,,
駐車場が見つからなかったんだ。,I couldn't find a parking space.,あの学校の教員は優秀だ。,The teachers in that school are excellent.,,,,,,
私は母が大好きです。,I love my mother.,食品公害を防がねばならない。,We must prevent food pollution.,,,,,,
彼女は私に母親のようにしてくれる。,She makes me like a mother.,都心に公園を造る。,Build a park in the heart of the city.,,,,,,
私の祖母はオートバイに乗れる。,My grandmother can ride a motorcycle.,公共のために大いに尽くした。,He has done a great deal for the public.,,,,,,
メロンが半分食べられた。,I could eat half a melon.,月平均５本は映画を見る。,He watches five movies a month on average.,,,,,,
あの半島はいい風景が多い。,There is a lot of good scenery on that peninsula.,雨の日にはテレビの画像が乱れやすい。,The picture on TV tends to be distorted on rainy days.,,,,,,
半径5 センチの円を描く。,The circle has a radius of five centimeters.,壁画を発見する。,Discovering a mural.,,,,,,
チケットは百ユーロだ。,The ticket is a hundred euros.,死体の身元がどうしてもわからなかった。,I couldn't identify the corpse for the life of me.,,,,,,
この川は数百マイルもつづいている。,This river runs for hundreds of miles.,あいつは死んだも同然だ。,That guy is as good as dead.,,,,,,
せっかくだから百均に行こうか。,Let's go to the grocery store.,彼はバス事故で死亡した。,He died in a bus accident.,,,,,,
かれは土に水をやった。,He watered the soil.,安定した天候がひと月続いた。,The stable weather continued for a month.,,,,,,
彼は土地をすべて売った。,He sold all of his land.,地方の方が大都会より物価が安い。,Prices are lower in rural areas than in the big city.,,,,,,
この家は土台がしっかりしている。,This house has a solid foundation.,行方不明者の安否が気遣われている。,There is concern for the safety of the missing person.,,,,,,
彼らは西の方へ向かった。,They headed west.,彼女とは遠い親類になる。,I am a distant relative of hers.,,,,,,
彼は６月に東京をはなれて関西に来る。,He will leave Tokyo and come to Kansai in June.,政界と財界はきわめて親しい関係にある。,The political and business worlds are extremely close.,,,,,,
駅はホテルの西側です。,The station is west of the hotel.,彼はみんなに親しまれている。,He is well-liked by everyone.,,,,,,
食べながら読んではいけません。,Do not read while eating.,息子には健全な精神と強い体を持ってほしい。,I want my son to have a sound mind and a strong body.,,,,,,
それを解読できる？,Can you decipher it?,試験のため詰め込み勉強をしている。,He is cramming for exams.,,,,,,
秒読みはやく1週間以内に始まります。,"The countdown starts early, within a week.",彼は党内での発言権を強めようとしている。,He is trying to strengthen his voice in the party.,,,,,,
飛行していが八千メートル以上であること。,"The flight is over 8,000 meters.",どの部屋でも自由に使ってください。,You are free to use any of the rooms.,,,,,,
これはそれに比べて千倍の大きさがある。,This is a thousand times larger than that.,コンピュータは何台使用できるかね。,How many computers can we use?,,,,,,
千円札くずれますか。,Will the thousand-yen bill collapse?,大使に就任する。,He will be appointed ambassador.,,,,,,
私は彼に私たちの学校のことを話した。,I told him about our school.,朝一番にそれをやろう。,Let's do that first thing in the morning.,,,,,,
校舎内では走ってはいけません。,You are not allowed to run in the school building.,朝食にはトーストと果物を食べます。,We will have toast and fruit for breakfast.,,,,,,
きみは高校生ですか。,Are you a high school student?,彼は今朝早く着いた。,He arrived early this morning.,,,,,,
入口を入ってすぐ右に。,Go through the entrance and to the right.,歴史は難しい問題がいっぱい出た。,History was full of difficult problems.,,,,,,
左右を見る。,Look both ways.,物理の宿題を済ませた。,I finished my physics homework.,,,,,,
最初に右手を出しなさい。,"First, make a right.",表題を付ける。,I'll title it.,,,,,,
南駅はどこですか？,Where is the south station?,今日は何か仕事があるかい。,Do you have any work to do today?,,,,,,
右下に新宿駅南口が見えます。,You can see the south exit of Shinjuku station in the lower right.,夫婦は病気の両親によく仕えた。,The couple served their sick parents well.,,,,,,
彼の家は川の南側にある。,His house is on the south side of the river.,独特なファイリングの仕方。,He has a unique way of filing.,,,,,,
左を向いてください。,Turn to the left.,彼は上京して絵を習っている。,He moved to Tokyo to study painting.,,,,,,
窓が左手にあります。,The window is on your left.,京都駅へ行く道を教えてくれませんか。,Can you tell me the way to Kyoto Station?,,,,,,
車は急に左折した。,The car made a sharp left turn.,帰京の途にある。,He is on his way back to Tokyo.,,,,,,
友人は少ししかいない。,I have only a few friends.,道に大きな足跡が残されていた。,There were big footprints left on the road.,,,,,,
友達が欲しい。,I want to have friends.,スープにもう少し塩を足してください。,Please add a little more salt to the soup.,,,,,,
バスで旧友にばったり会った。,I bumped into an old friend on the bus.,食糧は十分足りる。,We have enough food.,,,,,,
夜は雨になるらしい。,It is going to rain at night.,この店は多くの商品を取り扱っている。,This store carries a lot of goods.,,,,,,
大雨のため私たちは出かけられなかった。,We couldn't go out because of the heavy rain.,いくつかの品物を特売に回す。,Some items are put on special sale.,,,,,,
雨具をお持ちになりましたか。,Did you bring your rain gear?,この石けんは品質がよい。,This soap is of good quality.,,,,,,
ガソリンはひじょうに火がつきやすい。,Gasoline catches fire very easily.,彼女は制服を着ていた。,She was wearing a uniform.,,,,,,
部屋で火災が起きた。,There was a fire in the room.,暗くならないうちに目的地に着いた。,We arrived at our destination before dark.,,,,,,
昨日の花火見た？,Did you see the fireworks last night?,着陸できる場所を探す。,We looked for a place to land.,,,,,,
毎晩そのことについてぎろんした。,We argue about it every night.,別居はどれくらい続いたのか?,How long have you been separated?,,,,,,
毎度ごひいきにありがとうございます。,Thank you for your patronage.,彼女と別れてもう長いことになる。,It has been a long time since she left me.,,,,,,
私は毎朝銀座で地下鉄に乗る。,I take the subway at Ginza every morning.,サイズごとに別々の箱に入れる。,Put them in separate boxes for each size.,,,,,,
ゆっくり休んでね。,Have a good rest.,彼は音楽を聞き分ける力がある。,He has the ability to distinguish between music.,,,,,,
休日を楽しみなさい。,Enjoy your holiday.,ピアノとバイオリンでは音色が違う。,A piano and a violin have different tones.,,,,,,
休暇はどうでしたか。,How was your vacation?,私のステレオはあなたのより音質が悪い。,My stereo has a worse sound quality than yours.,,,,,,
私は午後を寝て過ごした。,I spent the afternoon sleeping.,読んだら元の所に戻しておいてください。,Please put it back where you found it after you read it.,,,,,,
彼女は午前７時に起きる。,She gets up at 7 am.,水は２元素に分解する。,Water breaks down into two elements.,,,,,,
母は午前中病院に行きます。,My mother goes to the hospital in the morning.,たいていの子供は元来虫が好きである。,Most children are naturally fond of insects.,,,,,,
,,ただ今特別申し上げることはありません。,I have nothing special to say at this time.,,,,,,
,,仕事を特急で仕上げる。,I finish my work in a hurry.,,,,,,
,,各国民にはそれぞれ独特の性格がある。,Each nation has its own character.,,,,,,
,,かぜの引きかけに無理をしないように。,Don't take it easy when you have a cold.,,,,,,
,,風呂が沸いた。,The bath is ready.,,,,,,
,,関東地方は今回の台風の進路に当たっている。,The Kanto area is in the path of the typhoon.,,,,,,
,,夜だけ出てくる動物はたくさんいる。,There are many animals that come out only at night.,,,,,,
,,このバーは深夜営業だ。,This bar is open late at night.,,,,,,
,,夜明けにはまだ間がある。,There is still time before dawn.,,,,,,
,,空港に着陸する。,I am landing at the airport.,,,,,,
,,あと二つ机が入るだけの空きはありますか。,Is there room for two more desks?,,,,,,
,,部屋は家具もなくからっぽだった。,The room was empty and without furniture.,,,,,,
,,田舎に農場がある。,There is a farm in the countryside.,,,,,,
,,そこは避暑地として有名である。,It is famous as a summer resort.,,,,,,
,,この薬は頑固な頭痛に有効だ。,This medicine is good for a stubborn headache.,,,,,,
,,昨夜はずっと起きていた。,I was awake all last night.,,,,,,
,,彼はその企画について問題を提起した。,He raised the issue of the project.,,,,,,
,,転んだ子供を起こしてやった。,I woke up the child who fell down.,,,,,,
,,犬は毎日運動させる必要がある。,Dogs need to be exercised every day.,,,,,,
,,けが人を急いで病院に運んだ。,We rushed the injured person to the hospital.,,,,,,
,,東京から京都までの運賃はいくらですか。,How much is the fare from Tokyo to Kyoto?,,,,,,
,,食卓に料理を並べる。,Putting food on the table.,,,,,,
,,この資料はとても役に立つ。,This document is very useful.,,,,,,
,,この自動車はアルコールを燃料に使う。,This car uses alcohol as fuel.,,,,,,
,,喫茶店で流している音楽。,The music is playing in the coffee shop.,,,,,,
,,彼と一緒に歩くのは楽しかった。,I enjoyed walking with him.,,,,,,
,,自動車を買ったから日曜はドライブを楽しめる。,I bought a car so I can enjoy driving on Sundays.,,,,,,
,,この沿線には景色のよい所が多い。,There are many scenic spots along this route.,,,,,,
,,この大学の最大の特色は留学生の多いことである。,The most distinctive feature of this university is the large number of international students.,,,,,,
,,確か髪は明るめの茶色だった。,"As I recall, his hair was light brown.",,,,,,
,,帰る途中で本屋に寄った。,"On the way home, I stopped by a bookstore.",,,,,,
,,教室の掃除が終わったら帰宅してよろしい。,You may go home when you finish cleaning your classroom.,,,,,,
,,日光は日帰りが出来ます。,You can take a day trip in the sun.,,,,,,
,,犬を散歩に連れて行く。,I take the dog for a walk.,,,,,,
,,この調子で歩けば30分で着くだろう。,"If I walk at this rate, I will get there in half an hour.",,,,,,
,,経営者側はその要求に対して譲歩した。,Management made a concession to the request.,,,,,,
,,君が早く報告しないから悪いんだ。,It's your fault for not reporting earlier.,,,,,,
,,悪魔に取り付かれる。,The devil possesses me.,,,,,,
,,病状は悪化の様相を見せている。,His condition is worsening.,,,,,,
,,最新型自動車の広告を新聞や雑誌に出した。,Advertisements for the newest model of car were placed in newspapers and magazines.,,,,,,
,,この瓶は口が広い。,This bottle has a wide mouth.,,,,,,
,,鳥が翼を広げた。,The bird spread its wings.,,,,,,
,,歩き疲れた時に一休みできる喫茶店です。,This is a coffee shop where you can take a break when you are tired from walking.,,,,,,
,,彼は銀座に店を三つ持っている。,He has three stores in Ginza.,,,,,,
,,今日は会社商店は皆休みだ。,All the companies and stores are closed today.,,,,,,
,,土曜日には必ず町に出掛ける。,He always goes into town on Saturdays.,,,,,,
,,町長を務める。,He is the mayor of the town.,,,,,,
,,そのため周囲の景色や町並みは大きく異なります。,"Therefore, the surrounding scenery and townscape are very different.",,,,,,
,,ご住所はどちらですか。,Which is your address?,,,,,,
,,この家は久しく人が住んでいない。,This house has not been inhabited for a long time.,,,,,,
,,この居住施設は大学によって運営されている。,This residential facility is run by the university.,,,,,,
,,この品は明日から販売されます。,This item will be sold tomorrow.,,,,,,
,,その農夫は野菜を売って歩いた。,The farmer walked around selling vegetables.,,,,,,
,,新製品がよく売れる。,The new product sells well.,,,,,,
,,彼の成功を期待している。,We expect him to succeed.,,,,,,
,,何分くらいなら待てますか。,How long can you wait?,,,,,,
,,ホーム上に待合室を持つ。,They have a waiting room on the platform.,,,,,,
,,その祭りの起源は非常に古い。,The origin of the festival is very old.,,,,,,
,,中等教育は依然として古典が教えられた。,Secondary education still taught the classics.,,,,,,
,,中古住宅を探している。,We are looking for a used house.,,,,,,
,,雨が降り始めた。,It began to rain.,,,,,,
,,その集まりで彼は始終にこにこしていた。,"At the meeting, he was beaming from start to finish.",,,,,,
,,この列車は新宿始発だ。,This train leaves from Shinjuku.,,,,,,
,,試験はすぐに終わる。,The test will be over soon.,,,,,,
,,最終的にどうなるか分からない。,I don't know what will happen in the end.,,,,,,
,,祭りは夜更けになってようやく終了した。,The festival finally ended late at night.,,,,,,
,,湯がわくまでの時間を計ってみよう。,Let's measure how long it takes for the hot water to boil.,,,,,,
,,県当局はこの地域の開発を計画している。,The prefectural authorities are planning to develop this area.,,,,,,
,,この駅の設計はよくない。,The design of this station is not good.,,,,,,
,,この病院は50人の患者を収容することが出来る。,This hospital can accommodate fifty patients.,,,,,,
,,彼女は少なくとも週一回美容院へ行く。,She goes to the hairdresser at least once a week.,,,,,,
,,横浜デザイン学院へ入学金。,The admission fee to Yokohama Design Academy.,,,,,,
,,我が社は世界各地に製品を送ります。,Our company sends its products all over the world.,,,,,,
,,近ごろは新鮮な野菜の輸送に飛行機が使われる。,These days airplanes are used to transport fresh vegetables.,,,,,,
,,彼の送別会が行われた。,His farewell party was held.,,,,,,
,,公園は近所の家族連れで賑わっていた。,The park was crowded with neighborhood families.,,,,,,
,,水族館へ行く道を教えてくれますか。,Can you tell me the way to the aquarium?,,,,,,
,,私の親族は皆この町に住んでいる。,All my relatives live in this town.,,,,,,
,,彼は鏡に自分の姿を映して見た。,He looked at his reflection in the mirror.,,,,,,
,,あの赤いコートを着ると彼女は映える。,She looks good in that red coat.,,,,,,
,,その映画館ではいつもいい映画をやっている。,The cinema always plays good movies.,,,,,,
,,昨日銀座へ買い物に行った。,I went shopping in Ginza yesterday.,,,,,,
,,株の売買で大もうけした。,He made a big profit by buying and selling stocks.,,,,,,
,,お客の購買意欲をそそるように商品の配置を工夫する。,He arranges his products in such a way as to entice customers to buy.,,,,,,
,,病気で学校を休んだ。,She missed school because she was sick.,,,,,,
,,彼女は夫の看病疲れで倒れてしまった。,She collapsed because she was tired of taking care of her husband.,,,,,,
,,伝染病がその地方で大流行している。,An epidemic is sweeping through the region.,,,,,,
,,結果を発表するのはまだ早い。,It is too early to announce the results.,,,,,,
,,早速本題に入ってよろしいですか。,May I get right to the point?,,,,,,
,,金曜の早朝の飛行機にします。,I'll be on a plane early Friday morning.,,,,,,
,,それは何か半透明な物質で出来ていた。,It was made of some translucent substance.,,,,,,
,,品質を検査する。,Inspect quality.,,,,,,
,,現象の背後にある本質を捕らえねばならない。,We must capture the essence behind the phenomenon.,,,,,,
,,私は母が台所を掃除するのを手伝った。,I helped my mother clean the kitchen.,,,,,,
,,台風は南方海上で発達しつつある。,A typhoon is developing over the southern ocean.,,,,,,
,,寝台を組み立てる。,Assembling the bunk.,,,,,,
,,週に１回水泳教室に通っている。,I go to swimming lessons once a week.,,,,,,
,,駅舎には待合室がある。,There is a waiting room in the station house.,,,,,,
,,浴室付きの二人部屋をお願いしています。,I request a double room with a bathroom.,,,,,,
,,免許証がなければ自動車運転は許可されない。,"Without a driver's license, he is not allowed to drive a car.",,,,,,
,,うまくいく可能性は十分ある。,There is a good chance that it will work.,,,,,,
,,君の行動は僕には不可解だ。,Your behavior is puzzling to me.,,,,,,
,,トンネルの建設を計画する。,Plan to build a tunnel.,,,,,,
,,この橋は二年前に建てられた。,This bridge was built two years ago.,,,,,,
,,いつでも課税権を行使できるというのが建前だ。,The building says that he can exercise his right to levy taxes at any time.,,,,,,
,,彼は20キロの道を自転車で行った。,He cycled twenty kilometers down the road.,,,,,,
,,階段を一段踏み外して転んだ。,He missed one step on the stairs and fell down.,,,,,,
,,運転手は車の中で寝ていた。,The driver was asleep in the car.,,,,,,
,,この物質は医学的には無害である。,This substance is medically harmless.,,,,,,
,,彼は昨年医者を開業した。,He opened a medical practice last year.,,,,,,
,,彼は夏以来ずっと医療を受けている。,He has been under medical care since the summer.,,,,,,
,,彼は足を止めて地図を見た。,He stopped and looked at the map.,,,,,,
,,痛みがやむまで起き上がれなかった。,He could not get up until the pain stopped.,,,,,,
,,犬の放し飼いは法律により禁止されている。,It is forbidden by law to let dogs run free.,,,,,,
,,君はこの漢字が読めますか。,Can you read these Chinese characters?,,,,,,
,,消えかけの大きな字が見えるだろ。,You see the big letters that are about to disappear?,,,,,,
,,彼は数字に強い。,He is good with numbers.,,,,,,
,,あなたがこの工場で働く女性の担当になります。,You will be in charge of the woman who works in this factory.,,,,,,
,,これは私が工夫した計画です。,This is a plan I devised.,,,,,,
,,政府は工業の振興計画を開始した。,The government launched a plan to promote industry.,,,,,,
,,彼は現場へと急いだ。,He hurried to the site.,,,,,,
,,急行の料金は幾らですか。,How much does an express train cost?,,,,,,
,,コンピューターの使用は急速に増加しつつある。,Computer use is increasing rapidly.,,,,,,
,,私の図書は自由にお使い下さい。,Please feel free to use my books.,,,,,,
,,合成状態の内容を表す図表に移動する。,Go to the diagram showing the contents of the synthetic state.,,,,,,
,,市場の拡大を図っている。,We are trying to expand our market.,,,,,,
,,パンが真っ黒けになった。,The bread has turned black.,,,,,,
,,黒板にチョークで字を書く。,Writing with chalk on the blackboard.,,,,,,
,,暗黒の宇宙に青く光る地球は美しい。,The earth shining blue in the dark universe is beautiful.,,,,,,
,,それらの花は早春に咲く。,Those flowers bloom in early spring.,,,,,,
,,私はわざとその花瓶を割った。,I broke that vase on purpose.,,,,,,
,,私は花見に行ってきました。,I went to see the flowers.,,,,,,
,,巧みな英語で答える。,I answer in clever English.,,,,,,
,,その本は英訳で読みました。,I read that book in English translation.,,,,,,
,,学部長はためらうことなく永遠の英知を選んだ。,The dean chose eternal wisdom without hesitation.,,,,,,
,,通りを走って渡ってはいけない。,Do not run across the street.,,,,,,
,,彼らは誰もが愛するということ素晴らしい御馳走である。,They are a wonderful treat that everyone loves.,,,,,,
,,飛行機は滑走路を走った。,The plane ran down the runway.,,,,,,
,,彼女は目が青い。,She has blue eyes.,,,,,,
,,その青年は急に笑い出した。,The young man suddenly burst out laughing.,,,,,,
,,青空にだまされて傘を持ってこなかった。,The blue sky had deceived him and he had not brought an umbrella.,,,,,,
,,今出掛けるところだと答えた。,I told him I was just leaving.,,,,,,
,,答案に赤い鉛筆で印をつける。,I marked the answer with a red pencil.,,,,,,
,,それではこの問題の解答にならない。,That is not the answer to this question.,,,,,,
,,私のところに手紙が来ていますか。,Is there a letter coming to me?,,,,,,
,,表紙に写真が載る。,A picture appears on the front cover.,,,,,,
,,用紙は順に番号が打ってある。,The papers are numbered in order.,,,,,,
,,彼はギターの伴奏で歌った。,He sang with guitar accompaniment.,,,,,,
,,彼のお母さんは以前歌手だった。,His mother used to be a singer.,,,,,,
,,古代の歌謡にあると見られる。,It is seen in an ancient song.,,,,,,
,,コップに牛乳を注ぐ。,Pour milk into the glass.,,,,,,
,,仕事に対して注意深くなければいけない。,We must be careful about our work.,,,,,,
,,痛み止めの注射を打ってもらう。,He will get an injection for the pain.,,,,,,
,,酒を飲むとすぐ顔が赤くなる。,His face becomes red when he drinks alcohol.,,,,,,
,,恥ずかしくて，彼のほおが赤らんだ。,His cheeks flushed with embarrassment.,,,,,,
,,その船は昨日赤道を越えた。,The ship crossed the equator yesterday.,,,,,,
,,春がすぐやって来ます。,Spring will soon arrive.,,,,,,
,,彼らはまず春季キャンプへ出かけます。,They first go off to spring camp.,,,,,,
,,思春期に達する。,They reach puberty.,,,,,,
,,図書館で本を借りる。,They borrow books from the library.,,,,,,
,,それはまったく博物館行きの代物だ。,It is a museum-bound substitute altogether.,,,,,,
,,彼は旅館を経営している。,He runs an inn.,,,,,,
,,日光への２日間の旅行。,A two-day trip to Nikko.,,,,,,
,,彼女の旅券が交付された。,Her passport was issued.,,,,,,
,,昨夜旅先から帰った。,She returned from her trip last night.,,,,,,
,,海外経験を生かせる仕事に就きたい。,I want to get a job where I can make use of my overseas experience.,,,,,,
,,この新薬はまだ試験段階にある。,This new drug is still in the testing phase.,,,,,,
,,彼はその実験室で働いている。,He works in its laboratory.,,,,,,
,,写真を焼き付ける。,Burn the picture.,,,,,,
,,この絵はレンブラントの作品を写したものだ。,This picture is a copy of Rembrandt's work.,,,,,,
,,露出不足で写真がよく写らなかった。,The picture did not come out well because of underexposure.,,,,,,
,,それは遠い過去の出来事だ。,It is a distant past.,,,,,,
,,夏が去って秋が来た。,Summer has gone and autumn has arrived.,,,,,,
,,障害物を撤去する。,The obstacles are removed.,,,,,,
,,本件についてはなお研究する必要がある。,This matter needs further study.,,,,,,
,,包丁を砥石で研ぐ。,Sharpen knives with a whetstone.,,,,,,
,,新入社員にコンピュータの研修が行われた。,Computer training was given to the new employees.,,,,,,
,,どんな味がするかハーブティーを飲んでみた。,I drank some herb tea to see what it tasted like.,,,,,,
,,飲料に適さない。,It is not suitable for drinking.,,,,,,
,,"これは, 過度の飲酒が原因で起こる病気だ。",This is a disease caused by excessive drinking.,,,,,,
,,普通牛肉は豚肉よりも高いよ。,Beef is usually more expensive than pork.,,,,,,
,,私はテニスをする前に必ず足の筋肉を伸ばす運動をする。,I always do exercises to stretch my leg muscles before playing tennis.,,,,,,
,,この豚肉は１キロいくらですか。,How much does this pork cost per kilo?,,,,,,
,,外出できるような服装をしていません。,I am not dressed in clothes that allow me to go out.,,,,,,
,,あの学校は制服を廃止する予定だ。,That school is planning to abolish uniforms.,,,,,,
,,彼女の青い靴は衣服によく似合っている。,Her blue shoes match her clothes well.,,,,,,
,,駅の近くに銀行がありますか。,Is there a bank near the station?,,,,,,
,,銀紙で何か小さい彫刻を作ってもらえないかという。,He asked if he could make some small sculptures out of silver paper.,,,,,,
,,彼女は銀座で地下鉄に乗った。,She took the subway at Ginza.,,,,,,
,,紅茶にレモンをお付けしましょうか。,Would you like some lemon with your tea?,,,,,,
,,私は喫茶店に飲みに入ります。,I go into a coffee shop to drink.,,,,,,
,,テーブルの上に小さな茶碗と卵がある。,There is a small tea cup and an egg on the table.,,,,,,
,,彼は家を買う可能性を研究していた。,He was researching the possibility of buying a house.,,,,,,
,,教育の究極の目標とは何だろうか。,What is the ultimate goal of education?,,,,,,
,,原因を徹底的に究明すべきだ。,We should thoroughly investigate the cause.,,,,,,
,,お前に新しい洋服を作ってあげよう。,Let me make you some new clothes.,,,,,,
,,ロブスターは海洋動物の一種に属します。,Lobsters belong to a type of marine animal.,,,,,,
,,昔ながらのボリュームのある洋食がメイン。,The main dish is a traditional hearty Western-style meal.,,,,,,
,,私は兄と一緒に住んでいる,I live with my brother.,,,,,,
,,彼女に兄弟はいない。,She doesn't have a brother.,,,,,,
,,兄貴は俺より強い。,My brother is stronger than me.,,,,,,
,,秋風に舞う木の葉のようだ。,They are like leaves dancing in the autumn wind.,,,,,,
,,春季から秋季まではレストランの美味しい料理して。,"From spring to fall, the restaurant serves delicious food.",,,,,,
,,春秋それぞれ1か月間、一般公開している。,The restaurant is open to the public for one month each spring and fall.,,,,,,
,,この列車には食堂車が付いています。,This train has a dining car.,,,,,,
,,遅れて到着した学生は講堂に入れません。,Students arriving late are not allowed in the auditorium.,,,,,,
,,町の公会堂は人でいっぱいだ。,The town's auditorium is packed with people.,,,,,,
,,来週ヨーロッパに発つ予定です。,He will leave for Europe next week.,,,,,,
,,彼は先週町を離れていた。,He was out of town last week.,,,,,,
,,今週そこに行くべきだよ。,You should go there this week.,,,,,,
,,子供のころスキーを習った。,I learned to ski as a child.,,,,,,
,,彼女は毎日ピアノの練習をする。,She practices the piano every day.,,,,,,
,,朝食前にジョギングをするのが彼の習慣だ。,It is his habit to go jogging before breakfast.,,,,,,
,,試験的に使用してみる。,I'm going to use the machine on a trial basis.,,,,,,
,,機械がうまく動くかどうか試してみた。,I tried to see if the machine works well.,,,,,,
,,彼は来年はエベレスト登山を試みる。,He will attempt to climb Mount Everest next year.,,,,,,
,,学校は来週で夏休みです。,School is out for the summer next week.,,,,,,
,,当地では夏場に多く雨が降る傾向にある。,"In our area, it tends to rain a lot in the summer.",,,,,,
,,今年の夏も冷夏になりそうだ。,It is likely to be a cool summer this year.,,,,,,
,,弟はまだ寝ている。,My brother is still sleeping.,,,,,,
,,弟子達はイエスを信じた。,The disciples believed in Jesus.,,,,,,
,,二人の間は師弟の関係である。,They are master and disciple.,,,,,,
,,飛んでいる鳥の群れ。,A flock of birds is flying.,,,,,,
,,彼女は鶏肉を買った。,She bought a chicken.,,,,,,
,,水生生物や鳥類や植物が生息しています。,"It is home to aquatic life, birds and plants.",,,,,,
,,犬にいくつか芸を教えた。,I taught the dog some tricks.,,,,,,
,,私の愛犬に対する愛情は浅からぬものがあった。,My love for my dog was unwavering.,,,,,,
,,子犬は穴を掘って食べ物を中に埋めた。,The puppy dug a hole and buried food inside.,,,,,,
,,明日の夕方には戻るよ。,I'll be back tomorrow evening.,,,,,,
