Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,W1,W2,W3
止まる,とまる,"to stop moving, come to a stop, alight, perch on",intrans.,雪のために列車が止まっている。,Trains are stopped due to snow.,,,,,,,
借りる,かりる,"to borrow, rent, hire",trans.,車をお借りできますか。,Can I borrow your car?,,,,,,,
喜ぶ,よろこぶ,"to be delighted, be glad, be pleased, congratulate, gratefully accept",godan,彼は成功を大変喜んでいる。,He is very pleased with his success.,,,,,,,
泣く,なく,"to cry, weep, sob, howl",godan,子供は泣きながら寝入った。,The child cried himself to sleep.,,,,,,,
増える,ふえる,"to increase, multiply",intrans.,最近海外へ行く学生が増えている。,More and more students are going abroad these days.,,,,,,,
動く,うごく,"to move, stir, shift, shake, operate, make a move, take an action",intrans.,私の車はなかなか動かない。,My car won't start.,,,,,,,
戻る,もどる,"to turn back, return, recover, rebound",intrans.,またすっかり夏に戻ったみたいだ。,It's like it's totally back to summer again.,,,,,,,
従う,したがう,"to obey, abide by, follow, serve",intrans.,私達は法律に従う義務がある。,We are obligated to obey the law.,,,,,,,
生まれる,うまれる,to be born,intrans.,月曜日には子供が生まれる予定だった。,The child was due on Monday.,,,,,,,
答える,こたえる,"to answer, reply",intrans.,どんな子供だってそのくらい答えられる。,Any child can answer that question.,,,,,,,
奪う,うばう,"to snatch away, dispossess, steal",trans.,その男は私から財布を奪った。,The man took my wallet from me.,,,,,,,
近づく,ちかづく,"to approach, draw near, get closer",intrans.,夏は終わりに近づいている。,Summer is coming to an end.,,,,,,,
思い出す,おもいだす,"to recall, remember, recollect",trans.,その映画の主演女優の名前が思い出せない。,I can't remember the name of the lead actress in that movie.,,,,,,,
達する,たっする,"to reach, get to, to arrive at",suru,私は君と同じ結論に達した。,I have come to the same conclusion as you.,,,,,,,
切れる,きれる,"to break, snap, be cut, split, be injured, wear out, be worn out",intrans.,キャベツがずいぶん細く切れている。,The cabbage is cut very thin.,,,,,,,
気を付ける,きをつける,"to be careful, pay attention, take care",expr.,親は自分の子供の健康に気を付ける義務がある。,Parents have an obligation to take care of their own children's health.,,,,,,,
吹く,ふく,"to blow, play a wind instrument, whistle",trans.intrans.,穏やかな風が吹いていた。,A gentle breeze was blowing.,,,,,,,
離れる,はなれる,"to be separated, be apart, be distant, leave, quit, give up, lose connection with",intrans.,駅は少し離れている。,The station is a bit far away.,,,,,,,
手伝う,てつだう,"to help, assist, aid",trans.,私は両親が家事をするのを手伝った。,I helped my parents do household chores.,,,,,,,
避ける,さける,"to avoid, ward off, avert, put aside",trans.,僕の質問を避けてはいけない。,Don't avoid my questions.,,,,,,,
遊ぶ,あそぶ,"to play, enjoy oneself, have a good time, hang out",intrans.,子供が遊んでいるのを見るのが好きです。,I like to watch the kids play.,,,,,,,
伝える,つたえる,"to convey, report, transmit, communicate, tell, impart, propagate",trans.,言葉では気持ちを伝えられない。,Words cannot express my feelings.,あとで電話をするよう伝えておきます。,I will tell them to call you later.,僕の知っていることはもう全部弟子に伝えた。,I have already told my students everything I know.,,,
取れる,とれる,"to come off, be remove, disappear, be caught, be harvested, be taken as, be attained",trans.intrans.,上着のボタンが取れた。,The button of his jacket came off.,この薬で痛みが取れた。,This medicine took away the pain.,それは幾通りにも取れる。,It can be taken in any number of ways.,,,
集める,あつめる,"to collect, gather, assemble",trans.,子供たちを集めて野球をしよう。,Let's get the kids together and play baseball.,そのオーケストラはどこでも多くの聴衆を集めた。,Its orchestra drew large audiences everywhere.,その学校は優秀な教師を集めている。,That school attracts the best teachers.,,,
優れる,すぐれる,"to surpass, outstrip, excel",intrans.,彼のアイデアの方が君のものよりも優れている。,His ideas are better than yours.,雄弁家として優れている。,He is an excellent eloquent speaker.,彼は学力では他の人々より優れている。,He outperforms the rest of us academically.,,,
間違う,まちがう,"to make a mistake, be incorrect, be mistaken",intrans.,手紙は間違って他の家へ配達された。,The letter was delivered to another house by mistake.,彼は自分が間違っていたことを認めた。,He admitted he was wrong.,私の推測は間違っていなかった。,My guess was not wrong.,,,
効く,きく,"to be effective to show effect, to do its work, to carry its function, to be possible to use",intrans.,この薬は頭痛によく効く。,This medicine is good for headaches.,彼におだては効かない。,Flattery won't work on him.,アスピリンは効かなかった。,The aspirin didn't work.,,,
下がる,さがる,"to come down, go down, fall, drop, sink, get low, hang, dangle, move back",intrans.,高度が下がってきた。,Altitude is dropping.,窓にはカーテンが下がっている。,Curtains are down on the windows.,値段が下がった。,Prices have dropped.,,,
見つかる,みつかる,"to be found, be discover",intrans.,探しているものが見つかりましたか。,Did you find what you were looking for?,,,,,,,
燃える,もえる,"to burn, to get fired up",,,,,,,,,,
持ってくる,もってくる,"to bring, to take something along, to fetch, to get",,,,,,,,,,
残す,のこす,"to leave behind, to bequeath, to save, to reserve",,,,,,,,,,
訪ねる,たずねる,"to visit, to call, to pay a visit",,,,,,,,,,
比べる,くらべる,"to compare, to make a comparison, to compete, to vie",,,,,,,,,,
疲れる,つかれる,"to get tired, to tire, to be worn out, to starve",,,,,,,,,,
犯す,おかす,"to commit (crime), to perpetrate, to make (mistake), to break (rule), to violate",,,,,,,,,,
倒れる,たおれる,"to fall (over, down), to collapse, to take a fall, to topple, to be destroyed, to crumble",,,,,,,,,,
越える,こえる,"to cross over, to cross, to pass through, to pass over, to go beyond, to go past, to exceed, to surpass, to be more than",,,,,,,,,,
向ける,むける,"to turn towards, to point",,,,,,,,,,
抱く,いだく,"to embrace, to hold in arms, to hug, to harbour, to bear",,,,,,,,,,
たがる,たがる,"to seem, to eager, to want to, to be anxious to",,,,,,,,,,
消す,けす,"to erase, to delete, to cross out, to turn off power, to extinguish, to put out",,,,,,,,,,
望む,のぞむ,"to desire, to wish for, to expect, to see, to command (a view of)",,,,,,,,,,
洗う,あらう,"to wash, to cleanse to rinse, to inquire into",,,,,,,,,,
尋ねる,たずねる,"to ask, to inquire, to search, to look for, to look into",,,,,,,,,,
含む,ふくむ,"to contain, to comprise, to have, to hold, to include, to embrace",,,,,,,,,,
支払う,しはらう,to pay,,,,,,,,,,
述べる,のべる,"to state, to express, to mention",,,,,,,,,,
行われる,おこなわれる,"to be done, to be practiced, to take place, to be held, to be in fashion, to be current, to come into use",,,,,,,,,,
違う,ちがう,"to differ, to vary, to be in the unusual condition",,,,,,,,,,
引く,ひく,"to pull, to tug, to lead, to draw (attention, card, line), catch a cold, to look up (dictionary)",,,,,,,,,,
迎える,むかえる,"to go out to meet, to receive, to welcome, to greet, to salute, to accept, to call for, to summon, to invite, to approach",,,,,,,,,,
覆う,おおう,"to cover, to hide, to conceal, to wrap, to disguise",,,,,,,,,,
集まる,あつまる,"to gather, to collect, to assemble",,,,,,,,,,
貸す,かす,"to lead, to loan, to rent out, to hire out",,,,,,,,,,
愛する,あいする,to love,,,,,,,,,,
苦しむ,くるしむ,"to suffer, to gran, to be worried",,,,,,,,,,
騙す,だます,"to trick, to cheat, to deceive, to coax",,,,,,,,,,
呼ばれる,よばれる,"to be called, to be referred, to be treated to something (meal), to be invited to",,,,,,,,,,
曲がる,まがる,"to bend, to curve, to warp, to wind, to test, to turn, to be awry, to be askew, to be crooked",,,,,,,,,,
勤める,つとめる,"to work for, to be employed, to serve in, to serve as, to act as, to play the role of",,,,,,,,,,
好む,このむ,"to like, to prefer",,,,,,,,,,
流れる,ながれる,"to stream, flow, be washed away, be carried, drift, float, wander, stray, sweep, spread",intrans.,川は市内を流れている。,The river flows through the city.,町中に怪文書が流れている。,A mysterious [strange] document is being circulated throughout the town.,肉を焼くにおいが流れてきた。,The smell of roasting meat came drifting through the air.,,,
描く,えがく,"to draw, paint, sketch, depict, describe, imagine",trans.,美しい風景を心に描く。,Painting beautiful landscapes in your mind.,富士山の水彩画を書いている。,He is painting a watercolor of Mt. Fuji.,ノートに図形または線を描く。,Draw shapes or lines in the notebook.,,,
隠す,かくす,"to hide, conceal",trans.,会社は事故の本当の原因を隠している。,The company is hiding the real cause of the accident.,化粧でシミを隠す。,Conceal blemishes with makeup.,厚い雲が月を隠してしまった。,Thick clouds hid the moon.,,,
痛む,いたむ,"to hurt, to ache, to feel a pain,  to be injured",intrans.,,,,,,,,,
壊れる,こわれる,"to be broken, to break, to fall through, to come to nothing",intrans.,,,,,,,,,
塗る,ぬる,"to paint, to plaster, to varnish, to spread, to smear, to put up (wallpaper)",trans.,,,,,,,,,
尽くす,つくす,"to exhaust, to run out, to devote, to serve (a person), to do to exhaustion",trans.,,,,,,,,,
断る,ことわる,"to refuse, to reject, to dismiss, to turn down, to decline",trans.,,,,,,,,,
焼く,やく,"to roast, to broil, to grill, to bake, to toast, to barbecue, to heat, to heat uo, to tan",trans.,,,,,,,,,
叩く,たたく,"to strike, to clap, to knock, to beat tap, to pat, to abuse, to bash, to brag",trans.,,,,,,,,,
亡くなる,なくなる,to die,intrans.,,,,,,,,,
沈む,しずむ,"to sink, to go under, to set, to descend, to go down",intrans.,,,,,,,,,
欠ける,かける,"to be chipped, to be damage, to be broken, to be lacking, to be missing, to be insufficient, to be short, to be deficient, to go into eclipse",intrans.,,,,,,,,,
建てる,たてる,"to build, to construct",trans.,,,,,,,,,
得る,える,"to earn, to get, to acquire, to procure, to gain, to secure, to attain, to obtain, to win, to comprehend, to be able to",trans.,,,,,,,,,
言われる,いわれる,"to be called, to be referred to as",intrans.,,,,,,,,,
浮かぶ,うかぶ,"to float, to suspend, to rise to surface, yo come into mind, to have inspiration",godan,,,,,,,,,
使える,つかえる,"to be usable, to be serviceable, to be useful",ichidan,,,,,,,,,
つつある,つつある,"to be doing, to be in the process of doing",irreg.,,,,,,,,,
願う,ねがう,"to desire, to wish, to hope, to beg, to request, to implore, to pray",trans.,,,,,,,,,
恐れる,おそれる,"to fear, to be afraid of",trans.,,,,,,,,,
合わせる,あわせる,"to match (rhythm, speed, etc), to join together, to unite, to combine, to add up, to face, to be opposite, to check, to compare with, to cause to meet",trans.,,,,,,,,,
出会う,であう,"to meet by chance, to come across, to run across, to encounter, to happen upon, to meet (rivers, highways, etc), to emerge and engage",intrans.,,,,,,,,,
捨てる,すてる,"to throe away, to cast away, to dump, to discard, to abandon, to desert, to leave, to give up",trans.,,,,,,,,,
育てる,そだてる,"to raise, rear, bring up, rain, teach, educate, nurture, foster, develop",trans.,彼女は３人の子を育てた。,She's raised three children.,私は庭でいろいろな花や野菜を育てています。,I grow a variety of flowers and vegetables in my garden.,彼が彼女の音楽の才を育てた。,He nurtured her musical talent.,,,
立てる,たてる,"to astound up, put up, set up, erect, raise, thrust into, dig into",trans.,看板を立てる。,Put up a sign.,やかんが湯気を立てている。,The kettle is steaming.,彼は新会社を立てた。,He set up a new company.,,,
基づく,もとづく,"to grounded on, to be based on, to be due to, to originate from",,,,,,,,,,
話し合う,はなしあう,"to discuss, to talk together",,,,,,,,,,
決まる,きまる,"to be decided, to be settled, to look good in (clothes)",,,,,,,,,,
異なる,ことなる,"to differ, to vary, to disagree",,,,,,,,,,
気に入る,きにいる,"to like, to be pleased with, to be delighted with, to take a liking to",,,,,,,,,,
振る舞う,ふるまう,"to behave, to conduct oneself, to entertain",,,,,,,,,,
雇う,やとう,"to employ, to hire to charter",,,,,,,,,,
勝る,まさる,"to excel, to surpass, to exceed, to have an edge, to be superior, to outrival",,,,,,,,,,
生む,うむ,"to give birth, to bear a child, to lay eggs, to produce. to yield, to give rise to, to deliver",,,,,,,,,,
取り戻す,とりもづす,"to take back, to regain, to gat bavk, to revoker",,,,,,,,,,
捕まる,つかまる,"to be caught, to be arrested, to hold on to, to grasp, to find (proof), to get (a taxi), to be detained by",,,,,,,,,,
命じる,めいじる,"to order, to command, to appoint",,,,,,,,,,
嘘をつく,うそをつく,"to tell a lie, to fib",,,,,,,,,,
襲う,おそう,"to attack, to assail. to assault, to strike, to hunt down, to succeed (someone in a post, role, etc), to make a sudden visit",,,,,,,,,,
叫ぶ,さけぶ,"to shout, to cry, to scream, to shriek, to yell, to exclaim, to clamour",,,,,,,,,,
伸ばす,のばす,"to grow long  (hair, nails), to lengthen, to extend, to stretch, to reach out, to hold out, to straighten",,,,,,,,,,
役に立つ,やくにたつ,"to be helpful, to be useful",,,,,,,,,,
諦める,あきらめる,"to give up, to abandon, to resign oneself",,,,,,,,,,
省く,はぶく,"to leave out, to exclude, to omit, to curtail, to save, to cut down, to economise",,,,,,,,,,
手に入れる,てにいれる,"to obtain, to procure",,,,,,,,,,
富む,とむ,"to be rich in, to be abundant in, to be in full of",,,,,,,,,,
受け入れる,うけいれる,"to accept, to receive, to agree",,,,,,,,,,
当てる,あてる,"to hit , to expose, to apply patch, to put on, to put against, to hold on, to hold against, to allot, to call on someone, to guess the answer, to make a hit",,,,,,,,,,
捕まえる,つかまえる,"to catch, to capture, to arrest, to seize, to restrain, to grab, to clutch, to grasp, to hold on to, to hail (taxi, waiter, etc), to detain",,,,,,,,,,
乗せる,のせる,"to place on (something), to give someone a ride, to give a lift, to pick up, to help on board, to load (luggage), to carry, to take on board, to send out, to take for a ride,",,,,,,,,,,
訴える,うったえる,"to raise, to bring to someones attention, to appeal, to work on (one’s emotion), to play on (one’s sympathies), to complain, to sue",,,,,,,,,,
申し上げる,もうしあげる,"to say, to tell, to express, to offer, to extend (greetings, congratulations), to do",,,,,,,,,,
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",,,,,,,,,,
頼る,たよる,"to rely on, to depend on, to count on, to turn to (for help)",,,,,,,,,,
計る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,,,,,,,,
測る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,,,,,,,,
量る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,,,,,,,,
図る,はかる,"to plan, to attempt, to devise, to plot, to conspire, to scheme, to aim for, to strive for, to work towards, to seek, to deceive, to trick, to take in",trans.,市場の拡大を図っている。,They are planning ways to expand their market.,できるだけ便宜を図りましょう。,I will do everything I can to help you.,彼は再挙を図った。,He tried to recover his lost standing.,,,
諮る,はかる,"to consult with, to discuss, to confer, to deliberate",,,,,,,,,,
就く,つく,"to take (set, position, course, etc), to ascend, to be hired, to be employed, to start a journey, to commence, to depart",,,,,,,,,,
着く,つく,"to arrive, to reach, to sit on, to sit at",,,,,,,,,,
付く,つく,"to be attached, to be connected with, to adhere, to stick, to cling, to accompany, to attend, to side with",,,,,,,,,,
点く,つく,"to be lit, to be lighted, to catch fire",,,,,,,,,,
突く,つく,"to prick, to stab, to poke, to prod, to push, to thrust, to nudge, to hit, to strike, to press against, to attack",,,,,,,,,,
吐く,つく,"to breathe out, to breathe, to tell (lies), to vomit, to disgorge ",,,,,,,,,,
触れる,ふれる,"to touch, to feel,  to experience, to come in contact with, to perceive, to touch on a subject",,,,,,,,,,
治る,なおる,"to be cured, to get well, to be healed, to be mended, to be repaired, to be fixed",,,,,,,,,,
値する,あたいする,"to be worth, to be worthy of, to deserve, to merit",,,,,,,,,,
殺す,ころす,"to kill, to slay, to murder, to slaughter",,,,,,,,,,
包む,つつむ,"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in",,,,,,,,,,
間違える,まちがえる,"to make a mistake, to commit an error, to confuse",,,,,,,,,,
抱える,かかえる,"to hold or carry under or in the arms, to employ, to engage",,,,,,,,,,
黙る,だまる,"to be silent, to say nothing",,,,,,,,,,
見つめる,みつめる,"to stare at, to gaze at, to look hard at to watch intently, to fix one’s eye on",,,,,,,,,,
折る,おる,"to break, to fracture, to break off, to snap off, to pick (flowers), to fold, to bend, to make origami, to interrupt, to end",,,,,,,,,,
保つ,たもつ,"to keep, to preserve, to maintain, to sustain",,,,,,,,,,
用いる,もちいる,"to use, to make us of, to utilise, to utilize",,,,,,,,,,
輝く,かがやく,"to shine, to shine, to sparkle",,,,,,,,,,
引き起こす,ひきおこす,"to cause, to induce, to bring about, to provoke, to pull upright, to help up",,,,,,,,,,
話しかける,はなしかける,"to address someone, to talk to someone, to begin to talk, to start a conversation",,,,,,,,,,
足りる,たりる,"to be sufficient, to be enough, to be worth doing, to be worthy of, to deserve, to do (the job), to serve",,,,,,,,,,
動かす,うごかす,"to move, to shift, to stir, to budge, to change position, to inspire, to rouse, to influence, to change",,,,,,,,,,
投げる,なげる,"to throw, to hurl, to fling, to toss, to cast, to give up, to abandon, to throw away, to cast (a glance, shadow, doubt, etc.)",,,,,,,,,,
告げる,つげる,"to tell, to inform, to announce, to indicate, to signal, to mark",,,,,,,,,,
通す,とおす,"to stick thorough, to force, through, to spread throughout, to defuse",,,,,,,,,,
植える,うえる,"to plant, to grow, to raise, to insert, to transplant, to implant, to set (type), to inoculate, to instil (idea, value)",,,,,,,,,,
育つ,そだつ,"to be raised, to be brought up, to grow up",,,,,,,,,,
知らせる,しらせる,"to notify, to advice, to inform",,,,,,,,,,
連れて行く,つれていく,"to take someone, take along, to lead someone away",,,,,,,,,,
飼う,かう,"to keep (pet), to have, to own, to rear, to feed",,,,,,,,,,
果たす,はたす,"to accomplish, to achieve, to carry out, to fulfil, to realise, to execute, to perform, to do",,,,,,,,,,
去る,さる,"to leave, to go away, to pass, to elapse, to be distant, to send away, to drive off, to do completely",,,,,,,,,,
眺める,ながめる,"to look at, to gaze at, to watch, to stare at, to look out over., to get a view of. to admire the scenery",,,,,,,,,,
見逃す,みのがす,"to overlook, to miss, to fail to notice, to let pass a matter, to pass up (opportunity), to let go by",,,,,,,,,,
迫る,せまる,"to approach, to draw near, to be imminent, to press for something, to urge, to compel",,,,,,,,,,
露呈する,ろていする,"to expose, to disclose",,,,,,,,,,
登録する,とうろくする,"to register, be registered (with), put on record",,,,,,,,,,
通じる,つうじる,"to be open (to traffic), to lead to, to communicate (with), to flow (liquid, current). to pass, to get through to",,,,,,,,,,
解除する,かいじょする,"to cancel, te rescind, to release, to call off, to lift (sanctions), delisting",,,,,,,,,,
泣き出す,なきだす,"to burst into tears, begin to cry",intrans.,今にも泣き出しそうな様子をしていた。,She looked like she was about to start crying.,今にも泣き出しそうな空模様だ。,The sky looks like it's about to burst into tears.,彼女はすぐに泣き出す。,She'd start crying right away.,,,
気がする,きがする,"to have a certain feeling or mood, have a haunch",suru,今晩は夕食をとる気がしない。,I don't feel like having dinner tonight.,彼女は今日来るような気がする。,I have a feeling she's coming today.,それを聞いて彼女は泣きたい気がした。,She felt like crying when she heard that.,,,
思える,おもえる,"to seem, appear likely",ichidan,とても面倒な問いに思えた。,That seemed like a very troublesome question.,一層難しくなるようにおもえた。,It seemed to get more difficult.,まさか彼女がそんな事をやるとはおもえない。,I can't believe she'd do something like that.,,,
割る,わる,"to divide, cut, halve, separate, split, break, crack, smash, dilute, fall below, discount, step over",trans.,誰かがこの皿を割りました。,Someone has broken this plate,竹を細く割ってかごを作った。,I split the bamboo into thin strips and made a basket,ボールをぶつけて窓ガラスを割ってしまった。,She hit the ball and broke the window.,,,
満ちる,みちる,"to be full, be filled (with), wax (moon), rise (tide), mature, expire",intrans.,希望に満ちている。,I'm full of hope.,月が満ちている。,The moon is full.,若者はたいてい活気に満ちている。,Young people are usually full of energy.,,,
応じる,おうじる,"to respond, satisfy, accept, comply with, apply for",intrans.,先方の条件に応じる。,I'll accept your terms.,収入に応じて税金が課される。,Taxes are levied according to income.,あなたの要求に応じることはできない。,I can't comply with your request.,,,
下げる,さげる,"to hang, suspend, wear (decoration), lower, reduce, bring down, demote, move back, pull back, clear (plates), remove (food)",trans.,機長は機首を下げた。,The captain has lowered the nose of the plane.,窓にカーテンを下げる。,I pulled down the curtains at the window.,温度を下げる。,Turn down the temperature.,,,
片付ける,かたずける,"to tidy up, put in order, straighten up, clean, settle, clear, bring something to an end",trans.,部屋を片付ける。,I'll clear the room.,いすを部屋の隅に片付けた。,I put the chair away in the corner of the room.,彼女はてきぱきと仕事を片付けた。,She got the job done quickly.,,,
救う,すくう,"to rescue from, help out of, save",trans.,頭は悪いが性格がよいので救われる。,"I'm not very smart, but I'm saved by my good character.",この犬は山の遭難者を救うように訓練されている。,This dog has been trained to save people in distress in the mountains.,困難にぶつかるといつも兄が救ってくれた。,"Whenever I ran into difficulties, my brother always came to my rescue.",,,
減る,へる,"to decrease, diminish, abate",intrans.,会員数が減った。,Membership has been reduced,体重が５キロ減った。,I've lost five kilograms.,灯油の貯えが減ってきた。,I'm running low on kerosene.,,,
減らす,へらす,"to abate, decrease, diminish, shorten",trans.,出費を減らす。,Reduce expenses,医者に酒を減らせと言われた。,The doctor told me to drink less.,減食して体重を減らしているところだ。,I'm trying to eat less and lose weight.,,,
伺う,うかがう,"to ask, inquire, hear, be told, seek direction, visit, speak to",trans.,この問題についてご意見を伺いたい。,I'd like your opinion on this issue.,ちょっと伺いますが駅はどっちでしょう。,Let me ask you something. Which way is the station?,おうわさはかねがね伺っております。,I've heard a lot about you.,,,
祈る,いのる,"to pray, wish",trans.,彼は日に何度か祈る。,He prays several times a day.,幸運を祈ります。,I wish you good luck.,成功を祈っているよ。,I wish you all the best.,,,
頑張る,がんばる,"to persevere, persist, keep at it, hang on, hold out, do one’s best",intrans.,よし、今日も一日頑張るぞ！,"All right, let's make a day of it!",疲れてるけど、勉強頑張るよ。,"I'm tired, but I'll study hard.",精一杯、頑張りなさい。,Good luck as best you can.,,,
晒す,さらす,"to expose (sun, public, danger, etc.), bleach, refine, rinse (vegetables), soak",trans.,その船は雨風にさらされた。,That ship was exposed to the wind and rain.,彼は危険に身をさらした。,He exposed himself to danger.,彼女は肌を太陽にさらさなかった。,She did not expose her skin to the sun.,,,
届く,とどく,"to reach, arrive, get get through, be attentive, pay attention, be delivered, carry (sound)",intrans.,これが届くと思うか。,Do you think this will reach you?,伝言が届いております。,You have received a message.,棚の本に届きませんか。,Can't you reach the books on the shelf?,,,
踊る,おどる,to dance,intrans.,私も踊るのが好きです。,"I like to dance, too.",一緒に踊りませんか？,Would you like to dance with us?,踊るよりも歌いたいです。,I'd rather sing than dance.,,,
歌う,うたう,to sing,trans.intrans.,彼女は上手に歌を歌う。,She sings well.,彼女は昔の歌を歌うのが好きだ。,She likes to sing old songs.,彼は流行歌を歌うのが好きです。,He likes to sing popular songs.,,,
気にする,きにする,"to mind, care about, worry, pay undue attention",suru,他人のことは気にするな。,Don't worry about the others.,結果は気にしてないよ。,I don't care about the outcome.,彼は自分の評判をとても気にしている。,He cares very much about his reputation.,,,
腹を立てる,はらをたてる,"to take offense, get angry, lose one’s temper",ichidan,彼は娘に腹をたてていた。,He was angry with his daughter.,彼は侮辱されて腹を立てた。,He was insulted and offended.,彼は彼女の言葉に腹を立てた。,He was offended by her words.,,,
似合う,にあう,"to suit, match, to become, to be like",intrans.,その青い服は彼女に似合う。,That blue dress looks good on her.,君には笑顔が一番似合うよ。,You look best with a smile on your face.,その帽子、よく似合ってますよ。,That hat looks good on you.,,,
打つ,うつ,"to hit, strike, knock, beat, punch, slap, tap, bang, clap, pound, move, impress, touch, drive in, inject, type, send",trans.,鉄は熱いうちに打て。,Strike while the iron is hot.,時計が１０時を打った。,The clock struck ten.,雨が激しく打っていた。,The rain was beating down hard.,,,
押さえる,おさえる,"to pin down, hold down, press down, cover, press (a body part), get a hold of, obtain, contain, grasp",trans.,チケットを２枚押さえておいてください。,Please hold on to your two tickets.,耳を押さえる。,I pressed my ear.,風に飛ばされないように戸をしっかりと押さえていた。,He held the door tightly so that the wind wouldn't blow it away.,,,
結ぶ,むすぶ,"to tie, bind, link, bear (fruit), close (a deal), connect, close tightly, unite, ally",trans.,靴ひもを結ぶ。,Tie your shoelaces.,このバス路線は２都市を結んでいる。,This bus line connects two cities.,彼らは愛情によって結ばれた。,They were united by affection.,,,
呼び捨てにする,よびすてにする,to address someone,suru,二度と私を呼び捨てにするな。,Don't ever call me that again.,なお東海寺では禅師の名を呼び捨てにする。,"In Tokaiji Temple, Zen masters are called by their names.",呼び捨てにするほど遠い存在だった。,They were so far away that I had to call them off.,,,
透かす,すかす,"to look through, hold up to the light, make an opening, leave space, prune",trans.,窓ガラスを透かして内部をうかがった。,I looked through the window glass to get a glimpse of the inside.,紙を太陽に透かしてみると，透かしがはっきり見えた,"When I looked at the paper through the sun, the watermark was clearly visible",ここのところをもう少し透かしたほうがよい。,You might want to make this part a little more transparent.,,,
透ける,すける,"to be transparent, show through",intrans.,この紙は透ける。,This paper is transparent.,肌が透けて見えるブラウス,A blouse through which the skin shows through,この布は水に濡れても透けない。,This cloth is not transparent when wet.,,,
透く,すく,"to be transparent, leave a gap",intrans.,この辺は枝が透いている。,The branches are transparent around here.,歯が透いている,Teeth showing through,透いて見える。,You can see through it.,,,
浸かる,つかる,"to be submerged, be soaked, be pickled, be well seasoned, be totally immersed ",intrans.,全村が水に浸かった。,The whole village was immersed in water.,家が床下まで水に浸かった,My house was flooded to the bottom of the floor,温泉に浸かりながら酒を飲んだ。,I drank sake while soaking in the hot spring.,,,
漬ける,つける,"to soak (in), steep, dip, dunk, pickle, preserve (in salt, vinegar, etc.)",trans.,洗濯物を水に漬ける。,Soaking laundry in the water,魚を酢に漬けると腐りにくい,Soaking fish in vinegar prevents them from rotting,汚れた食器は少し水に浸けてから洗いなさい。,Soak dirty dishes in water for a while before washing them.,,,
浸る,ひたる,"to be soaked in, be flooded, be submerged, be immersed in",intrans.,川があふれて村が水に浸った。,The river overflowed and flooded the village.,湯船に浸る,Soaking in a bathtub,彼は逸楽に浸った。,He was immersed in an indulgence.,,,
浸す,ひたす,"to soak, dip, steep, immerse, moisten, wet",trans.,豆を水に浸す。,Soaking the beans in the water,スポンジを水に浸した,Soaking a sponge in water,石けん水に10分ほど汚れた衣類を浸しておいた。,He soaked his dirty clothes in soapy water for ten minutes.,,,
癒す,いやす,"to heal, cure, satisfy (e.g. hunger, thirst), alleviate (e.g. sorrow, fatigue)",trans.,心を癒すピアノ音楽。,Piano music to soothe the soul,時が彼女の悲しみを癒した,Time healed her sorrow.,時はすべての傷を癒してくれる。,Time heals all wounds.,,,
探検する,たんけんする,"to explore, expedition",suru,未知の国を探検する。,Exploring an Unknown Country,彼は北極の探検に出掛けた,He went on an expedition to the North Pole.,彼はアフリカへ探検旅行に行くのが好きだ。,He likes to go on exploratory trips to Africa.,,,
屈む,かがむ,"to stoop, lean over, bend forward​, bend down, crouch, squat",intrans.,年を取って腰がかがんでいる。,Old and bent over at the waist,低い戸口をかがんで通り抜けた,He bent down to walk through a low doorway.,彼女は子供の上にかがみ込んで何か言った。,She crouched over the child and said something.,,,
屈める,かがめる,"to stoop, bend one's knees",trans.,ひざをかがめる。,Bending the knee,身をかがめて床の紙くずを取ろうとした,She bent down to pick up a scrap of paper from the floor.,ボクサーは身をかがめて相手のブローを避けた。,The boxer ducked down to avoid his opponent's blow.,,,
屈服する,くっぷくする,"to yield, submit, surrender, give way, succumb",suru,敵に屈服するぐらいなら死んだほうがましだ。,I'd rather die than give in to the enemy,彼の命令に屈服した,She surrendered to his commands.,とうとう彼の執拗しつようさに屈服してしまった。,"Finally, she gave in to his persistence.",,,
屈する,くっする,"to yield, give in, be daunted, shrink, bend, subdue, overpower, feel down",suru,彼はついに誘惑に屈した。,He finally gave in to temptation.,不当な仕打ちにも屈しなかった,She would not give in to injustice.,彼女は不幸に遭っても屈するような人ではない。,She was not the kind of person to give in to misfortune.,,,
屈折する,くっせつする,"tp bend, curve, twist, turn, wind, warp, distort, refract",suru,光は水に入る時屈折する。,Light is refracted when it enters water.,彼は彼女に屈折した感情を抱いていた,He had inflected feelings for her.,屈折した道。,A Crooked Path,,,
退く,しりぞく,"to step back, to move back, to retreat, to withdraw, to leave, to exit, to resign, to retire, to quit, to concede",intrans.,彼は一歩退いた。,He took a step back.,大学の職を退く決心をした,He decided to step down from his position at the university.	,彼は一歩も退かなかった。,He didn't take a step back,,,
