Words,Meaning,Sentences,Translation,Level
車,car-wheel,地方では買い物に行くのに車がいる。,You need a car to go grocery shopping in the countryside.,1
初めて,first-for the first time,初めて学校に行く日は緊張した。,I was nervous on my first day at school.,1
今度,next time,今度は歌舞伎を観に行きましょう。,Let's go see a Kabuki show next time.,1
体,body,シャワーで体を洗いなさい。,Wash your body in the shower.,1
私達,we-us,私達は新しい所へ引っ越します。,We are moving to a new place.,1
強い,strong-powerful,今年のチームは強い。,Our team is strong this year.,1
全く,entirely-completely-absolutely,その問 題には全く気付かなかった。,I was completely unaware of the problem.,1
呼ぶ,call,お母さんの呼ぶ声が聞こえる。,I hear my mother calling out for me.,1
結局,after all-finally,結局、元の場所に戻ってしまった。,"After all, I found myself back at the start.",1
歩く,walk,道を歩く時は車に気をつけてください。,Beware of cars when you walk on the sidewalk.,1
男,man-male,男の人のトイレはあちらです。,The men's bathroom is over there.,1
女性,female-woman,女性向けのシャンプーはいい香りがする。,Women's shampoo has a good fragrance.,1
学校,school-academy,学校で学級委員に選ばれた。,I was elected as the class president at school.,1
生きる,live,外国で生きるのは大 変だ。,It's hard to live in a foreign country.,1
なかなか,fairly-quite,バイオリンを弾くのがなかなか上手にならない。,I can't quite make any improvement at playing the violin.,1
先,prior-end,漢字よりも先にひらがなを学びましょう。,Learn hiragana prior to kanji.,1
もっと,more,もっと大きな声で返事をするように。,Please answer louder.,1
ことが出来る,can do-be able to,彼はバイオリンを弾くことが出来る。,He can play the violin.,1
テーマ,theme,この映画のテーマは人権問題だ。,The theme of this film is human rights issues.,1
世界,the world-society,世界にはいろいろな食べ物がある。,There are various foods in the world.,1
状態,state-condition,今の国際関係は戦前の状態に似ている。,The world looks like it’s in a pre-war state now.,1
もし,if-in case,もし地震が来たら、急いで逃げるように。,"If an earthquake strikes, evacuate immediately.",1
全然,not at all-entirely,全然 痩せないのはなぜだろう。,Why can't you lose weight at all?,1
飲む,drink-swallow,運動の前に水を飲む。,Drink water before a workout.,1
新しい,new-fresh,新しい先生に会うのが楽しみだ。,I'm looking forward to meeting my new teacher.,1
はやい,fast-quick-early,明日の朝ははやいので今夜はもう寝よう。,"Let's go to bed, as we have an early start tomorrow morning.",1
会う,meet-encounter-see,姪っ子が会うたびに大きくなっている。,"Every time I see my niece, she is getting bigger and bigger.",1
アメリカ,america,アメリカの西海岸のビーチが好きだ。,I like beaches on the West Coast in the U.S.,1
あれ,that-something,あれは何だろう?。,What is that?,1
小さい,small-tiny,小さい貝 殻を浜辺でみつけた,I found small seashells on the beach.,1
相手,companion-partner-other party,ネットゲームの相手を募集する。,I am looking for an online game partner.,1
母,one’s mother,母は九州で育ちました。,My mother grew up in Kyushu.,1
以上,not less than-beyond,この乗り物は五歳以上向けです。,This ride is for children aged 5 years and older.,1
関係,relation-relationship,職場でよくある問題は人間関係だ。,One of the most common issues at work is personal relationships.,1
四,four,ねこを四匹飼っています。,I have four cats.,1
たぶん,perhaps-probably,この計算でたぶん合っていると思います。,I think this calculation is probably correct.,1
店,store-restaurant,食料品のお店に行きたい。,I want to go to a grocery store.,1
どんな,what kind of,どんな絵が好きですか。,What kind of art do you like?,1
頭,head,自転車に乗る時は、ヘルメットをかぶって頭を守る。,Put on a helmet to protect your head when you ride your bicycle.,1
電話,telephone call,もうすぐ電話がかかってくる時間だ。,I am expecting a call soon.,1
長い,long,長い夏休みの後は朝起きるのが大変だ。,It's hard to wake up in the morning after a long summer break.,1
ことになる,it is going to be that,電車の時間が変わることになる。,The train schedule is going to change.,1
本,book,本は想像力を養うのによい。,Reading books nurtures the imagination.,1
どの,which-what,どの電車に乗ればいいのかな。,Which train should I take?,1
こちら,here,こちらに来て下さい。,Please come here.,1
いわゆる,the so,いわゆるアイドルには興味がない。,I am not interested in so-called idols.,1
わ,sentence ender-female term,とても嬉しいわ。,I am so happy.,1
夜,evening-night,夜は電気代が安くなる。,Electricity is cheaper at night.,1
別,distinction-different,リサイクルゴミは別の日に出す。,We put out recyclable trash on a different day.,1
者,person-people,係の者が対応いたします。,The person in charge will take care of you.,1
タイトル,title,その本のタイトルは何。,What is the title of that book?,1
親,parent-parents,親は介護が必要になってきたようだ。,My parents seem to be needing more care.,1
名前,name-given name,ここに名前を書いてください。,Please write down your name here.,1
全部,all-entire,ごみは全部捨てなさい。,Throw away all the garbage.,1
皆さん,everyone-all,皆さんのおかげでこのイベントは大成功になりました。,"Thanks to everyone, this event was a huge success.",1
により,according to-due to,新しい税率により、徴収されています。,Tax is being collected according to the new tax rate.,1
きれい,pretty-beautiful-clean,きれいな色の服を着ると明るい気持ちになる,Wearing pretty colored clothes puts me in a happy mood.,1
立つ,stand up,乾杯のときは立つ,Stand up when making a toast.,1
毎日,every day-daily,ダイエットするには、毎日の運動が欠かせない。,Daily exercise is essential for dieting.,1
為に,for-to one's advantage,子供の夏休みの宿題の為に朝顔を育てる。,We are growing morning glories for my children’s summer homework.,1
おいしい,delicious-sweet,この地域にはおいしい食べ物が多いね。,This region has a lot of delicious food.,1
または,or-otherwise,コーヒーまたは紅茶はがいかがですか。,Would you care for coffee or tea?,1
家族,family,家族旅行に行く。,We are going on a family trip.,1
に対する,with regard to-towards,人に対する敬意を忘れてはならない。,Never forget respect towards others.,1
部分,"portion, section",おいしい部分を先に食べる。,I eat the yummy part first.,1
一度,once-on one occasion,一度試してみるべきだ。,You should try it once.,1
結果,result-consequence,病院に電話して検査の結果を聞く。,Call the hospital to get the test results.,1
じゃ,then-so,じゃ、その時に会おうね。,See you then!,1
状況,state of affairs-circumstance,今の状況では、いい結果は期待できません,"Under the current circumstances, we can’t expect a good outcome.",1
時代,period-era-those days,時代によって人の生き方が違う。,People's way of life was different in each era.,1
少ない,few-a little,今月は収入が少ない。,My income is low this month.,1
うまい,skillful-expert-delicious,彼は本当に運転がうまい。,He is a highly skilled driver.,1
覚える,memorize-remember,顔と名前を覚える。,Remember the face and the name.,1
東京,tokyo,東京はどこに行っても混んでいる。,Tokyo is crowed wherever you go.,1
てある,has already been done,私の名前がもう登録してある。,My name has already been registered.,1
続く,continue-last,道が遠くまで続く。,The road continues for a long way.,1
における,as for-in,この分野における進歩はすごい。,Much progress has been made in this field of study.,1
俺,i-me,俺は鹿児島生まれだ。,I was born in Kagoshima.,1
生まれる,be born,もうすぐ子供が生まれる。,We are expecting our child to be born soon.,1
父,one’s father,父は忙しくてあまり家にいません。,My father is so busy that he is rarely at home.,1
確か,sure-certain-definite,確かに見たことがある。,I have seen it for sure.,1
それぞれ,each-respectively,それぞれ好みがちがう。,Each of us has different tastes.,1
方法,method-way,違う方 法でやってみよう。,Let's try a different method.,1
はず,should be-bound to be,時間が変わったことは、みんな知っているはずです。,They should all know that the time has been changed.,1
説明,explanation,よく説明を聞かないとわからない。,I would be lost if I don’t listen to the explanation carefully.,1
なければいけない,have to do-ought to,この宿題は終わらせなければならない。,I ought to complete this homework.,1
部屋,room-apartment,部屋を掃除する。,I will clean up my room.,1
ちょうど,exactly-just,ちょうど今日が誕生日です。,It just happens to be my birthday.,1
当然,natural-as a matter of course,彼が怒ったのも当然だ。,It is only natural that he got angry.,1
大学,university-college,都心から離れた大学に通いたい。,I want to go to a college outside the city.,1
ですから,so-therefore,地方ですから交通の便はよくない。,It is a rural area so transportation is not so convenient.,1
実,truth-reality,実は、鍵をなくしてしまいました。,"To tell you the truth, I have lost my key.",2
朝,morning,朝と夜は寒い。,It's chilly in the morning and at night.,2
どんどん,rapidly-increasingly,どんどん暗くなる。,It's rapidly getting darker.,2
得る,earn-acquire,本から知識を得る。,You acquire knowledge from books.,2
とにかく,anyhow-regardless,とにかく早く始めよう。,"Anyhow, let's get started.",2
選ぶ,choose-select,抽選で当選者を選ぶ。,The winner will be selected by lottery.,2
面白い,interesting,コメディ映画は面白い。,Comedy movies are amusing.,2
戻る,return-turn back,道を間違ったので元に戻る。,"Since I have taken a wrong turn, I am returning to the start.",2
含む,contain-include,このケーキにはグルテンが含まれている。,This cake contains gluten.,2
地域,area-region,この地域では伝統的な祭りがある。,There is a traditional festival in this region.,2
我が,my-our-one’s own,我が家では犬を飼っています,I have a dog in my house.,2
どうしても,by all means-no matter what,どうしても仕上げないといけないことがある。,"I have something I need to complete, no matter what.",2
のに,"although, in spite of",気を付けたのに、また間違えた。,"I made a mistake again, although I was being very careful.",2
娘,my,娘 に着物を買う。,I am buying a kimono for my daughter.,2
見せる,show-display,新しい車を見せる。,I will show you my new car.,2
一日,one day,一 日ですべてのテストを受けなければならない。,You must take all the tests in one day.,2
今年,this year,今年は日本語を勉強します。,I will study Japanese this year.,2
平成,heisei era,平成の時代は経済が停滞した。,The economy stagnated during the Heisei era.,2
図,drawing-diagram-figure,参考資料の図をご覧ください。,Please see the diagram in the reference material.,2
紹介,introduction-referral,友達に彼を紹介してもらった。,My friend introduced me to him.,2
合わせる,match-join together,靴下の右と左を合わせる。,Match the right and left socks.,2
安い,cheap-inexpensive,安いチケットが手にはいった。,I got a cheap ticket.,2
夢,dream,私には大きな夢があります。,I have a big dream.,2
つらい,"hard, heart-breaking",二日酔いで、つらい。,I am having a hard time with a hangover.,2
規定,regulation-provision-rule,規定によって、赤ちゃんはジェットコースターに乗れない。,"According to the rules, infants are not allowed on the roller coasters.",2
どちら,which direction-where-which one,どちらの道が正しいかわからない。,I’m not sure which is the right way.,2
中心,center-core,世界の中心はどこだろうか。,I wonder where the center of the world is.,2
起こる,occur-happen,次から次へと問題が起こる。,Problems occur one after another.,2
我々,we-our-us,我 々の先祖はどこから来たのだろう。,Where did our ancestors come from?,2
おる,be-exist,私はまだここにおります。,I am still here.,2
活動,action-activity,週末はボランティア活動をする。,I participate in volunteer activities on weekends.,2
不安,anxiety-insecurity,余震に不安があります。,I have anxiety about the aftershocks.,2
三十分,thirty minutes,三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,2
限り,limit-extent,クラスの人 数には限りがあります。,There is a limit to the class size.,2
いらっしゃる,go-be,先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,2
致す,to do,その仕事は、私が致します。,I would like to do that task.,2
着く,arrive-sit on,十一時までに着く予定だ。,I expect to arrive by eleven o’clock.,2
厳しい,severe-strict,私の学 校は規則が厳しい 。,My school has strict rules.,2
女の子,girl,女の子の服を買うのは楽しい。,It’s fun to shop for girls’ clothes.,2
パソコン,personal computer,デスクトップのパソコンを買か った。,I bought a desktop computer.,2
おる,be-exist,私 はまだここにおります。,I am still here.,2
活動,action-activity,週末はボランティア活動をする。,I participate in volunteer activities on weekends.,2
不安,anxiety-insecurity,余震に不安があります。,I have anxiety about the aftershocks.,2
三十分,thirty minutes,三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,2
限り,limit-extent,クラスの人数には限りがあります。,There is a limit to the class size.,2
いらっしゃる,go-be,先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,2
可能,potential-feasible,この計画は可能ですか。,Is this plan feasible?,2
可愛い,"cute, adorable",私 の子犬は可愛いです。,My puppy is adorable.,2
際,when-in case of-on the occasion of,部屋に入る際は靴を脱いでください。,Please remove your shoes when you enter the room.,2
途中,on the way-en route,まだ道の途中です。,I am still on my way.,2
研究,study-research,遺伝子の研究が進歩する。,Progress has been made in genetic research.,2
様子,state of affairs-situation,様子を見にいこう。,Let’s go check the situation.,2
ものすごい,terrible,今年はものすごい台風が来ました。,We had terrible typhoons this year.,2
合う,fit-match-unite,そのサンダルはドレスによく合う。,The sandals suit the dress well.,2
済む,finish-completed,歯の治 療が一回で済む。,My dental treatment will be completed in just one visit.,2
通る,go by-pass through,この細い道を通る時は気をつけて。,Be careful when you pass through this lane.,2
大人,adult,大人2枚、子供1枚のチケットを買う。,Purchase tickets for two adults and one child.,2
期待,expectation-anticipation,彼は昇進への高い期待を持っている。,He has high expectations for a promotion.,2
事実,fact-truth-reality,事実はそのうち明らかになる。,The truth will come to light soon.,2
せい,resulting from-because of,天気のせいで、延期になった。,It was postponed because of the weather.,2
一年,one year,一年で日本語が上手になった。,My Japanese has improved a lot in one year.,2
一体,what on earth-what the heck,それは一体何。,What on earth is that?,2
島,island,日本には小さな島が多くあります。,There are many small islands in Japan.,2
描く,draw-paint-sketch,想 像で絵を描く。,I draw using my imagination.,2
驚く,surprised-astonished,物音に驚く。,I am surprised by the noise.,2
動物,animal,動物園で動物を見るのが好きです。,I like watching animals at the zoo.,2
何度,how many times,週に何度買い物をしますか。,How many times a week do you go shopping? ,2
元々,originally-by nature,私は元々料理が好きじゃない。,"By nature, cooking is not my thing.",2
素晴らしい,wonderful-splendid,素晴らしいミュージカルだった。,The musical was wonderful.,2
座る,sit,ヨガの座るポーズは瞑 想にいい。,Yoga’s sitting pose is good for meditation.,2
定める,decide-furnish,町内会の決まりを定める。,We decide on the rules for the neighborhood association.,2
機会,chance-opportunity,これは町に貢献する素晴らしい機会だ。,This is a good opportunity to make a contribution to the town.,2
楽しみ,enjoyment-look forward to,孫が生まれるのが楽しみだ。,I am looking forward to having a grandchild.,2
考え,thought-opinion-idea,君と僕の考えは違う。,We have different ideas.,2
信じる,believe-trust,君の話を信じる。,I believe your story.,2
たまたま,by chance-accidentally,たまたま抽選に当たった。,I won the lottery by chance.,2
古い,old-obsolete,そのネットワークシステムは古いです。,The network system is obsolete.,2
面,face-mask,夏祭りでお面を買った。,I bought a mask at a summer festival.,2
さ,suffix-ness,その子猫は可愛さが違う。,The cuteness of this kitten is unique.,2
三月,march,三月にはひな祭りがある。,The Hinamatsuri festival is in March.,2
ただし,however-provided that,ただし、暗くなる前に帰ること。,Provided that you return before dusk.,2
常,always-usually,常に子供の健康に気をつける。,Always take care of your child’s health.,2
つもり,intention,そんなつもりではなかった。,That was not my intention.,2
考え方,way of thinking,違う考え方を知るのはいいことだ。,It’s good to be aware of different ways of thinking.,2
ニュース,news,テレビで地震のニュースを見た。,I watched the news about the earthquake on TV.,2
意識,consciousness-awareness,安全への意識を高め,Promote safety awareness.,2
元,origin-source,発明の元は失敗にあった。,The origin of the invention was in a failure.,2
行動,action-behavior,大人と子供の行 動は違う。,The behaviors of adults and children are different.,2
低い,low,今日は気温が低い。,The temperature is low today.,2
びっくり,surprised,知らせにびっくりした。,I was surprised by the news.,2
作り方,way of making-recipe,パンケーキの作り方が箱に書いてある。,A pancake recipe is on the box.,2
元気,lively-energetic-well,あなたが元気でありますように。,I wish you well.,2
現れる,appear,雲の合間に虹が現れる。,A rainbow appears between the clouds.,2
聞こえる,heard-audible-can hear,鳥の鳴き声が聞こえる。,I can hear birds sing.,2
曲,song-music,ジャズの曲が流れているカフェが好きだ。,I like cafes with Jazz music.,2
過去,the past,過去について話をするのはやめよう。,Let’s not talk about the past.,2
やっと,finally-at last,やっとにきびがきれいになった。,My acne has finally cleared up.,2
思える,seem-appear likely,それは夢のように思える。,It seems like a dream.,2
明らか,obvious-evident,これは明らかな間違いだ。,This is an obvious mistake.,2
つつ,while,前の単元の復習をしつつ、新しい単元も学習しよう。,Let’s learn the new chapter while reviewing the last chapter.,2
土地,lot-soil-locality,この土地は 昔 は田んぼだった。,This lot used to be a rice field.,2
振り返る,look back-turn around,たまには過去を振り返るのもよい。,"Sometimes, it’s good to look back on the past.",2
初め,beginning-first,初めての時は誰でも不安だ。,Everyone is anxious when it is the first time.,2
評価,evaluation-assessment,厳しい評価を受けた。,I received a hard assessment.,2
息子,son,息子がもうすぐ二十歳になります。,My son is turning twenty years old soon.,2
限る,limited-restricted,このゴルフコースの使用は会員に限る。,Use of this golf course is limited to members.,2
似る,"resemble, be similar",子供は親に似るものだ。,Children resemble their parents.,2
悲しい,sad-sorrowful,愛犬が死んでしまって悲しい。,I am saddened by the death of my pet dog.,2
雨,rain,昨日の夜からの雨で水たまりができている。,The rain from last night has made puddles.,2
自分達,ourselves,キャンプでは食べ物を自分達で作ろう。,Let’s make the food at camp ourselves.,2
詳しい,detailed,詳しい情報はネットで調べよう,Search for detailed information on the Internet.,2
二十一世紀,twenty-first century,二十一世紀にはテクノロジーが進むだろう。,Technologies will advance in the 21st century.,2
ひどい,cruel-severe-extreme,今日は頭痛がひどい。,I have a severe headache today.,2
昨日,yesterday,昨日は飲みすぎた。,I had too much drink yesterday.,2
下りる,descend-go down-get off,急な階段を下りる。,Go down the steep stairs.,2
メール,email,一 日に百件以 上のメールが届く。,I get more than one hundred emails a day.,2
喜ぶ,delighted,孫がおもちゃに喜ぶ 。,My grandchild is delighted with the toys.,2
便利,convenient-handy,駅にコンビニがあるのは便利だ。,It is convenient having a convenience store in the station.,2
迎える,meet-welcome-approach,門のところでお客様を迎える。,I welcome my guest at the gate.,2
不思議,wonderful-mysterious,不思議な偶然が続く。,Mysterious  coincidences continued to happen.,2
茶,tea,おちゃ茶はあつ熱いうちがおいしい。,Tea  is at its best when it’s still hot.,2
直接,direct-firsthand,わからないことは直接聞いた方がいい。,If you don’t know you should ask  directly.,2
バス,bus,駅までバスに乗る。,I take the  bus  to the station.,2
効果,effect,薬の効果が現れるまで二週間かかる。,It will take two weeks for the medicine to have an  effect.,2
現実,reality,現実は理想とは違う。,Reality  can be different from expectation.,2
触れる,touch-experience,赤ちゃんの肌に触れる。,Touch  the baby’s skin.,2
飼う,raise-own,番犬を飼う。,I  own  a guard dog.,2
しゃべる,talk-chat,クラシック音楽のコンサートではしゃべることは禁じられている。,You are not allowed to  talk  during classical music concerts.,2
国民,citizen,外務省は国民を保護しています。,The Ministry of Foreign Affairs aims to protect  Japanese  citizens.,2
さす,shine-pour-put,朝日が窓からさす。,The morning sun  shines  off the window.,2
やり方,method-way,会社のやり方には納得いかない。,I don’t get the  way  this company works.,2
ずいぶん,considerably-surprisingly,ずいぶん大きなくまのぬいぐるみだね。,What a  surprisingly  big stuffed bear.,2
日本語,japanese language,日本語にもいろいろな方言がある。,There are many dialects in  Japanese.,2
十月,october,十月にはハロウィーンがある。,We have Halloween in  October.,2
気分,feeling-mood,気分転換に散歩にいこう。,Let’s take a walk for a change of  mood.,2
機能,function-capability,高い機能のタブレットを持っている。,I have a tablet with high-level functionality.,2
ボール,ball,ボールで遊んではいけない公園がある。,Some playgrounds do not allow you to play with balls.,2
少年,boy-juvenile,彼らはボーイスカウトの少年たちだ。,Those boys are in the Boy Scouts.,2
方向,direction,方向がわからなくなってしまった。,I lost my sense of direction.,2
遅い,late-slow,今朝は遅いスタートだ。,We have a late start this morning.,2
資料,document-material,大事な資料を失くして怒られる。,I will get in trouble for losing this important document.,2
タイプ,type,彼女は僕の好みのタイプではない。,She is not my type.,2
扱う,deal with-handle,割れ物は丁寧に扱う。,We should handle fragile items with care.,2
指摘,point out-indicate,間違いを指摘する。,Point out any errors.,2
ヨーロッパ,europe,ヨーロッパは人気の旅行先です。,Europe is a popular travel destination.,2
除く,remove-get rid of,虫歯を治療で取り除く。,Cavities can be removed by the dentist.,2
それら,those-these-they,それらはセール商品です。,Those are on sale.,2
ご存知,knowing,はやりの特殊詐欺についてご存知ですか。,Do you know about a particular fraud that is going around?,2
意外,unexpected-surprising,意外な事実がわかった。,A surprising fact has been revealed.,2
一週間,one week,出張 から一週間で戻ります。,I will return from a business trip in one week.,2
何回,how many times,パスワードは何回まで入力できますか。,How many times can I enter my password?,2
政府,government,これは政府が後援する事業です。,This is a government-sponsored project.,2
分ける,divide-classify,生徒をレベルで分ける。,Divide students by level.,2
計画,plan-schedule,計画通りに進んでいます。,It is going according to plan.,2
段階,stage-phase,これはまだ計画段階です。,This is still in the planning stage.,2
量,"quantity-volume, amount",量よりも質が大事です。,Quality is more important than quantity.,2
田舎,countryside-one’s hometown,田舎に引退したいと思います。,I would like to retire to the countryside.,2
感動,impressed-moved,パラリンピックに感動した。,I was moved by the Paralympics.,2
スポーツ,sport,健康のためにスポーツをするべきだ。,I should play some sports for my health.,2
感覚,sense-feeling,寒さで指の感覚がなくなった。,I have no feeling in my fingers.,2
地元,local-local area,地元の人気のレストランに行きたい。,I want to go to a popular local restaurant.,2
勝手,at one's convenience,妻が勝手に高い物を買った。,My wife went out and made a large purchase without consulting me.,2
さすが,as one would expect,さすが彼はリーダーシップがある。,"As one would expect, he has leadership abilities.",2
寂しい,lonely-lonesome,一人暮らしは寂しい。,I feel lonely living alone.,2
再び,again-once more,再び挑戦したい。,I want to try it again.,2
効く,act-work-effective,この 薬はよく効く。,This medicine works well.,2
勤める,employed-work for,金融企業に勤める。,I work for a financial company.,2
息,breath,寒いので息が白く見えます。,I can see my breath when it’s cold.,2
伝わる,spread-descend-communicate,間違った情報が伝わる。,Incorrect information will be relayed.,2
撮影,shooting-filming,映画の撮 影が行われた。,A movie was being filmed.,2
指導,guidance-coaching-leadership,カウンセラーの指導を受ける。,I am getting guidance from a counselor.,2
生かす,keep alive-make use of,仕事に自分のスキルを生かす。,Make good use of your skills at work.,2
韓国,south korea,韓国の焼肉はおいしい。,Korean yakiniku is delicious.,2
字,character-handwriting,字はきれいに書きなさい。,Write your characters neatly.,2
指定,designate-appoint,指定の席につく。,Take your designated seat.,2
経営,management-operation,彼は会社の経営陣です。,He is a management team member of the company.,2
あらゆる,every,あらゆる可能な解決方法を検討してください。,Consider every possible solution.,2
価値,value-worth,値段と価値は同じではない。,Price and value are not the same.,2
東京都,tokyo city,東京都は日本の首都です,Tokyo is the capital of Japan.,2
弾く,play musical instrument,コンクールでバイオリンを弾く。,I will play the violin at the competition.,2
自宅,one's home-house,今夜は自宅に帰りません。,I am not returning home tonight.,2
腹,belly-stomach,お父さんはビール腹です。,My father has a beer belly.,2
喜び,pleasure-delight,喜 びでいっぱいです。,I am filled with pleasure.,2
しようがない,can’t be helped-inevitable,それはしようがない問題だ。,It is an unavoidable problem.,2
風呂,bath,朝のお風呂が好きです,I like taking a bath in the morning.,2
香り,smell-scent,森の香りの風呂が好きです。,I like the forest-scented bath.,2
スキー,ski,スキーのゴーグルを買った。,I bought a pair of ski googles.,2
構う,mind-care about,小さな子供達を構う。,Care about the small children.,2
米国,united states,米国から牛肉を輸入する。,Import beef from the United States.,2
周囲,surroundings-around you,周囲の人の意見を聞く。,Listen to the opinion of the people around you.,2
伺う,ask-inquire,詳しい話を伺う。,I asked for more information.,2
引っ越す,move residence,仕事のために引っ越す。,We are moving for work.,2
二十年,twenty years,バブル後の二十年は経済的に失われた。,Economic growth stagnated for twenty years after the bubble.,2
たまる,collect-accumulate,お店のポイントがたまる。,My store points are accumulating.,2
精神的,mental-spiritual,家族が精 神 的な支えになっています。,My family provides spiritual support to me.,2
中学校,middle school-junior high school,中学校は高校の隣にある。,My middle school is next to the high school.,2
仲良く,friendly-get along,クラスメートとは仲良くしなさい。,Be friendly to your classmates.,2
言い方,way of saying,言い方に気をつけなさい。,Be careful of the way you say things.,2
バランス,balance,ヨガでバランスボールに座るのが好きです,I like sitting on a balance ball at yoga.,2
五年,five years,この会 社で働き始めてもう五年になる。,It’s been five years since I began working for this company.,2
安定,stability,新しいバージョンでは安定性が向上しています。,The new version has improved stability.,2
完成,completion,家の完成が待ちきれない。,I can’t wait for completion of our new house.,2
我が家,one's house,我が家は角にあります。,Our house is on the corner of the block.,2
見かける,see,時々、駅で友達を見かける。,"Sometimes, I see my friends at the station.",2
広げる,spread-expand,ピクニックシートを広げる。,I will spread out a picnic blanket.,2
参考,reference,参考になる資料をさがす。,I am looking for some reference material.,2
たとえ,even if,たとえ勝てなくても、ゲームに参加する。,"Even if you can’t win, join the game.",2
受け取る,get-accept-receive,隣の人への荷物を受け取る。,I receive packages for the next-door neighbor.,2
冷たい,cold,冬は北風が冷たい。,The north wind is cold in winter.,2
盛ん,popular-prosperous,この街では漁業が盛んです。,This town is a prosperous fishing town.,2
急ぐ,hurry-rush,帰宅を急ぐ。,I am hurrying home.,2
ともかく,anyhow-anyway,ともかく、うまく行った。,"Anyway, it went well.",2
犯人,offender-criminal,犯人がつかまった。,The criminal was caught.,2
熱,heat-fever,風邪で熱がある,I have a fever from a cold.,2
犯罪,crime,ネット犯 罪が増えている。,Internet crime is on the rise.,2
批判,criticism-judgement,芸術作品は批判の対象です。,Fine artwork is subject to criticism.,2
出発,departure,飛行機の出発の時間が遅れる。,Departure of the flight will be delayed.,2
遊び,playing-play,ごっこ遊びは幼児期に重要だ。,Pretend play is important in early childhood.,2
教師,teacher,数 学の教 師になりたい。,I want to be a math teacher.,2
横浜,yokohama,横浜で観覧車に乗った。,We rode a Ferris wheel in Yokohama.,2
脳,brain,脳に刺激を与える。,Stimulate your brain.,2
レストラン,restaurant,新しいフレンチのレストランに行こう。,Let’s try the new French restaurant.,2
そろそろ,soon-any time now,そろそろ出かけないと遅れるよ。,"Leave soon, or you will be late.",2
けが,injury-hurt,けがのために一ヵ月仕事を休みました。,I took a month off work due to an injury.,2
兄弟,siblings-brothers,兄弟が三人います。,I have three brothers.,2
楽器,musical instrument,楽器を習いたい。,I would like to learn how to play a musical instrument.,2
保つ,keep-preserve-maintain,部屋の温度を保つ。,Keep the room temperature steady.,2
自動車,automobile-car,自動車産業は自動運転システムを開発している。,The automobile industry is developing self-driving systems.,2
ほんの,just-mere-only,最近ほんの少し暖かくなった。,It has gotten just a little warmer lately.,2
住所,address,,Please provide your mailing address.,2
平気,calmness-composure-unconcerned,迷子になっても彼は平気だった。,"Even when he was lost, he looked unconcerned.",2
コース,course,ゴルフのコースを回る。,Go around the golf course.,2
訪ねる,visit,昔の友達を訪ねる。,I am visiting my old friends.,2
鍵,key-lock,また家の鍵を無くしてしまった。,I lost my house key again.,2
世界中,around the world,世界中の人々と友 達になりたい。,I want to make friends with people from around the world.,2
下手,unskillful-poor-clumsy,彼は掃除が下手だ。,He is poor at cleaning.,2
詩,poem,日記の代わりに詩を書く。,I write poems instead of a daily journal.,2
経過,passage-progress,手 術 後の経過はどうですか,How is his progress after the surgery?,2
整える,put in order-adjust-prepare,客室を整える。,Prepare the guest room.,2
ツアー,tour,バスツアーで奈良に行きます。,We are going on a bus tour to Nara.,2
西,west,太 陽は西に沈む。,The sun sets in the west.,2
事項,"matter-item, facts",質問事項をまとめる。,Summarize the items being questioned.,2
塾,cram school,放課後に塾に通っています。,I go to a cram school after my regular school.,2
去る,leave-go away-pass,今の会 社を去ることにした。,I have decided to leave the company.,2
五人,five people,五人が夕食の席に一緒に座りました。,Five people sat together at the dinner table.,2
入り口,entrance,入り口はどこですか。,Where is the entrance?,2
ふりをする,act like-pretend,日本人のふりをしました。,I pretended to be Japanese.,2
から-にかけて,from~up to-approximate range,この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.,2
だらけ,full of-covered all over with,数学の答案は間違いだらけだった。,My math answer sheet was full of mistakes.,2
おかげ,thanks to,医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, the average life expectancy has increased.",2
あいだ,throughout the time-during,わたしは夏の間ずっと北海道にいました。,I've been in Hokkaido all summer.,2
あいだに,during-when,夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.,2
あげく,after all-in the end,長時間にわたる議論のあげく結論は先送りされた。,"After a long discussion, the conclusion was postponed.",2
あげる,give,先生の受賞のお祝いに何かさしあげましょうよ。,Why don't we give you something to celebrate your award?,2
あっての,comprised of,愛あっての結婚生活だ。,Love is what makes a marriage work.,2
後で,after-afterwards,食事の後で少し散歩しませんか。,Why don't we take a short walk after dinner?,2
あまり,not very-not much,合格の知らせを聞いて彼女はうれしさのあまり泣き出した。,She was so happy when she heard the news that she had passed the exam that she started to cry.,2
あまりの-に,due to not very-due to excessive,あまりの大変さに時々会社を辞めたくなる。,"It's so hard, sometimes I feel like quitting the company.",2
いかんで,in accordance with-depending on,商品の説明のし方いかんで売れ行きに大きく差が出てきてしまう。,The way you explain a product can make a big difference in its sales.,2
いかんでは,in case of-in accordance with-depending on,本の売れ行きいかんではすぐに増刷ということもあるでしょう。,"Depending on how well the book sells, there may be an immediate reprint.",2
