Pattern,Meaning,Structure,Remarks,Remarks.1,Remarks.2,Sentence,Translation,Sentence.1,Translation.1
〜ほど〜はない,,,,,,,,,
〜まい,,,,,,,,,
〜までだ /  〜までのことだ,,,,,,,,,
〜ままに,,,,,,,,,
まるで〜ようだ,,,,,,,,,
〜見込みだ,,,,,,,,,
〜向き,,,,,,,,,
〜向け,,,,,,,,,
〜もかまわず,,,,,,,,,
〜もしない,,,,,,,,,
〜ものか / 〜ものですか,,,,,,,,,
〜ものがある,,,,,,,,,
〜ものだ,,,,,,,,,
〜もので / 〜ものだから,,,,,,,,,
〜ものなら,,,,,,,,,
〜ものの,,,,,,,,,
〜も〜ば、〜も,,,,,,,,,
〜もん / 〜だもん,,,,,,,,,
〜やら〜やら,,,,,,,,,
〜ようがない,,,,,,,,,
〜ようとしている,,,,,,,,,
〜ようとする,,,,,,,,,
〜ようになっている,,,,,,,,,
〜ようものなら,,,,,,,,,
〜よね,,,,,,,,,
〜より〜ほうが（行為の比較）,,,,,,,,,
〜連用中止,,,,,,,,,
〜わけがない,,,,,,,,,
〜わけだ,,,,,,,,,
〜わけではない,,,,,,,,,
〜わけにはいかない,,,,,,,,,
〜わりに,,,,,,,,,
〜をきっかけに,,,,,,,,,
〜を契機に / 〜を契機として,,,,,,,,,
〜を込めて,,,,,,,,,
〜を頼りに / 〜を頼って,,,,,,,,,
〜を中心に,,,,,,,,,
〜を通して,,,,,,,,,
〜を問わず,,,,,,,,,
〜をはじめ / 〜をはじめとして,,,,,,,,,
〜をめぐって,,,,,,,,,
o moto ni shite,based on・built on・made from,N + o + moto ni shite,indicates something as a standard of making or deciding something,,,この小説は実は<b>を基にして</b>書かれたそうです。,The novel was actually written based on the fact.,文書<b>を基にして</b>フォームを作成する。,Create a form based on the document.
atteno,comprised of・having the.. then,N + (ga) + atteno,it is indispensable to previous case,in order to have the subsequent case,,鉄道会社の積極的な取り組みが<b>あっての</b>ことなのだ。,It is because of the proactive efforts of the railroad companies.,このような結論に至ったのは相応の理由が<b>あっての</b>ことだろう。,There must be a good reason why they came to this conclusion.
〜いかんだ / 〜いかんでは / 〜いかんによっては,,,,,,,,,
〜いかんに関わらず / 〜いかんによらず / 〜いかんを問わず,,,,,,,,,
〜かたがわ,,,,,,,,,
〜かたわら,,,,,,,,,
〜がてら,,,,,,,,,
〜が早いか,,,,,,,,,
〜かれ〜かれ,,,,,,,,,
〜きっての,,,,,,,,,
〜きらいがある,,,,,,,,,
〜極まる / 極まりない,,,,,,,,,
〜如く / 如き / 如し,,,,,,,,,
〜こととて,,,,,,,,,
〜始末だ,,,,,,,,,
〜ずくめ,,,,,,,,,
〜ずにはおかない / 〜ずにはすまない,,,,,,,,,
〜ずにはすまない / 〜ないではすまない,,,,,,,,,
〜術がない,,,,,,,,,
〜すら,,,,,,,,,
〜そばから,,,,,,,,,
ただ〜のみ,,,,,,,,,
〜たところで,,,,,,,,,
〜だに,,,,,,,,,
〜だの〜だの,,,,,,,,,
〜た弾みに / 〜た拍子に,,,,,,,,,
〜た分だけ,,,,,,,,,
〜たら最後 / 〜たが最後,,,,,,,,,
〜たら〜たで,,,,,,,,,
〜たりとも〜ない,,,,,,,,,
〜たるもの,,,,,,,,,
〜尽くす,,,,,,,,,
〜つ〜つ,,,,,,,,,
〜であれ〜であれ,,,,,,,,,
〜てからというもの,,,,,,,,,
〜ではあるまいし,,,,,,,,,
〜手前,,,,,,,,,
〜てやまない,,,,,,,,,
〜と相まって,,,,,,,,,
〜とあれば,,,,,,,,,
〜といい〜といい,,,,,,,,,
〜といえども,,,,,,,,,
〜というもの,,,,,,,,,
〜と思いきや,,,,,,,,,
〜ときたら,,,,,,,,,
〜ところを,,,,,,,,,
〜とはいえ,,,,,,,,,
〜ともあろう,,,,,,,,,
〜ともなく / 〜ともなしに ,,,,,,,,,
〜ともなると / 〜ともなれば,,,,,,,,,
〜ないまでも,,,,,,,,,
〜ながら（様態）,,,,,,,,,
〜なくしては,,,,,,,,,
〜なくもない,,,,,,,,,
〜なしに,,,,,,,,,
〜並み,,,,,,,,,
〜ならでは,,,,,,,,,
〜なり,,,,,,,,,
〜なり〜なり,,,,,,,,,
〜なりとも ,,,,,,,,,
〜なりに,,,,,,,,,
〜にあって,,,,,,,,,
〜に至る,,,,,,,,,
〜に至るまで,,,,,,,,,
〜に関わる,,,,,,,,,
〜に限ったことではない,,,,,,,,,
〜にかこつけて,,,,,,,,,
〜にかたくない,,,,,,,,,
〜にかまけて,,,,,,,,,
〜にもほどがある,,,,,,,,,
〜にして,,,,,,,,,
〜に忍びない,,,,,,,,,
〜に即して・〜に則して,,,,,,,,,
〜に堪える / 〜に堪えない,,,,,,,,,
〜に足る,,,,,,,,,
〜にとどまらず,,,,,,,,,
〜に則って,,,,,,,,,
〜にはあたらない,,,,,,,,,
〜には及ばない,,,,,,,,,
〜には無理がある,,,,,,,,,
〜にひきかえ,,,,,,,,,
〜にもまして,,,,,,,,,
〜ねばならない,,,,,,,,,
〜の至り,,,,,,,,,
〜の極み,,,,,,,,,
〜のやら,,,,,,,,,
〜はおろか,,,,,,,,,
〜ばそれまでだ,,,,,,,,,
〜びる,,,,,,,,,
〜べからず,,,,,,,,,
〜べく,,,,,,,,,
〜ほどのことではない,,,,,,,,,
〜まじき,,,,,,,,,
〜までのことだ,,,,,,,,,
〜までもない,,,,,,,,,
〜まみれ,,,,,,,,,
〜めく / 〜めいて,,,,,,,,,
〜もさることながら,,,,,,,,,
〜もそこそこに,,,,,,,,,
〜も同然だ,,,,,,,,,
〜ものを,,,,,,,,,
〜ゆえに,,,,,,,,,
〜よう,,,,,,,,,
〜やいなや,,,,,,,,,
〜ようが,,,,,,,,,
〜ようにも〜ない,,,,,,,,,
〜より,,,,,,,,,
〜をおいて,,,,,,,,,
〜を押して / 〜を押し切って,,,,,,,,,
〜を顧みず / 〜も顧みず,,,,,,,,,
〜を限りに / 〜限りで,,,,,,,,,
〜を重ねて,,,,,,,,,
〜を兼ねて,,,,,,,,,
〜を皮切りに / 〜を皮切りとして,,,,,,,,,
〜を禁じえない,,,,,,,,,
〜を境に,,,,,,,,,
〜を踏まえて,,,,,,,,,
〜を経て,,,,,,,,,
〜をもって,,,,,,,,,
〜をものともせず,,,,,,,,,
〜を余儀なくされる,,,,,,,,,
〜をよそに,,,,,,,,,
n ga tame ni,in order to・for the sake of,Vnai ⇢ Vngatameni,express a strong will to achieve the goal,express a purpose or a goal of an action or a state,,一人の青年がおぼれている子供を救わ<b>んがために</b>川に飛び込んだ。,A young man jumped into a river in order to save a drowning child.,売り上げ目標を達成せ<b>んがために</b>休むことなく毎日一生懸命働いた。,"To achieve the sales target, he worked hard every day without a break."
n bakari,almost・as if,Vnai ⇢ Vnbakari,emphasize the degree or the intensity of an emotion or condition,,,胸が張り裂け<b>んばかり</b>気持ちだった。,My heart was bursting with emotion.,みんな僕がやったと言わ<b>んばかり</b>の表情を浮かべている。,They all look at me as if to say I did it.
te kudasai,please do,Vte + kudasai,"request, order or command someone to do something",common way to ask for a favor or service,,塩を取っ<b>てください</b>。,Please pass the salt.,質問に答え<b>てください</b>。,Please answer the question.
te kudasaimasen ka,could you please do,Vte + kudasaimasen ka,request or ask someone to do something,makes the request more formal and courteous,,パスポートとチケットを見せ<b>てくださいませんか</b>。,Can I see your passport and ticket?,このお札を両替し<b>てくださいませんか</b>。,"Could you change this bill, please?"
te moraemasu ka,can i have you to do,Vte + moraemasu ka,asking permission or requesting something to do,asking if one can receive a favor or service from someone else,,なるべくゆっくり話し<b>てもらえますか</b>。,Could you speak as slowly as possible?,しばらくここにい<b>てもらえますか<b>。,Could you stay here for a while?
te itadakemasu ka,may i have you to do,Vte + itadakemasu ka,asking permission or requesting something to do,more humble and respectful way to ask for something,,この本を貸し<b>ていただけますか</b>。,Can you lend me this book?,この荷物を持っ<b>ていただけますか<b>。,Can you please carry this luggage?
to~to dochira~desu ka,from.. which one is.. ,N+to + N+to + dochira + desu ka,indicate a contest or comparison between things,ask a question or a choice between things,,肉<b>と</b>野菜<b>とどちら</b>が好き<b>ですか</b>。,Do you prefer meat or vegetables?,テニス<b>と</b>サッカー<b>とどちら</b>が得意ですか。,"Which are you good at, tennis or soccer?"
de yoroshii desu ka,is it alright to,N + de yoroshii desu ka,asking someone if it is ok or good to,polite way of asking for confirmation or permission,,ご注文は以上<b>でよろしいですか</b>。,Is that all I have to order?,分割払い<b>でよろしいですか</b>。,May I pay in installments?
de onegaishimasu,please,N + de onegaishimasu,wishing or desiring something,polite way of asking for a cooperation or permission,,窓側<b>でお願いします</b>。,"Window side, please.",この質問に答えて<b>でお願いします<b>。,Please answer this question for me.
o~ninaru,to become,O + Vnoun-stem + ni naru,honorific form: state an action,,,社長はもう<b>お</b>帰り<b>になりました</b>。,The president has already left.,,
gozaimasu ka,is it?,Nsubject・Ntopic + (wa・ga・mo) + gozaimasu ka,honorific form: questions the existence of something,,,商品も<b>ございますか</b>。,Do you also have a product?,,
de gozaimasu,to be,N + de gozaimasu,honorific form: state the existence of something,,,私が担当の田中<b>でございます</b>。,I am Tanaka and I am in charge.,,
hou ga ii,it is better to,Vta + hou ga ii,giving advice that it is better to do,,,彼と別れた<b>方がいい</b>です。,You should leave him.,,
ba ii desu ,should do,Vba + ii desu,giving advice that it is good or ok to to,,,その本のどちらかを持っていれ<b>ばいいです</b>。,You can have either of those books.,,
ba iidesu ka,what should i do,Vba + ii desu ka,asking advice if it is good,ok to to do or how to do,,どう行け<b>ばいいですか</b>。,How can I go about it?,,
tara ii desu ka,what should i do,Vtara + ii desu ka,asking advice if it is good,ok to to do or how to do,,どう使っ<b>たらいいですか</b>。,How should I use it?,,
hajimeru,starts to,Vnoun-stem + hajimeru,state the beginning of something that takes time,,,桜の花が咲き<b>始めました</b>ね。,Cherry blossoms have begun to bloom.,,
owaru,ends,Vnoun-stem + owaru,state the end of something,,,晩ご飯を食べ<b>終わった</b>らみんなでゲームをした。,"After dinner, we all played games.",,
tsuzukeru,continuously doing,Vnoun-stem + tsuzukeru,action going on continuously,"emphasize repetition, habit or custom",,それで我々はマニュアルで進み<b>続けられる</b>。,So we can keep going manually.,,
youni iu,te tell,Vru・Vnai + you ni iu,"tell a command, prohibition","directions, advice",,家族に特定ビジネスから買う<b>ように言う</b>ことができる。,You can tell a family member to buy from a specific business.,,
youni iwareru,got told by someone,Vru・Vnai + you ni iwareru,"tell a command, prohibition","directions, advice by someone",,医者にお酒を飲まない<b>ように言われました</b>。,I got told by the doctor not to drink alcohol,,
darou to omou,i think probably,Vplain・N + darou to omou,tell someone you are not completely sure of,,,この仕事を全部終えられない<b>だろうと思う</b>。,I don't think I will be able to finish all this work.,,
tte,to name or called,N + tte + N,"give a name, to be called",introduce the proper name of a common noun,,花粉症<b>って</b>病気、アレルギーが原因なんだよね。,"Hay fever is a disease, caused by allergies.",,
toiu,to name or called,N + toiu + N,"give a name, to be called",introduce the proper name of a common noun,,飯の上に乗せたカキフライ丼<b>という</b>料理もある。,There is also a dish called oyster fried rice bowl which is served on top of rice.,,
nasasou da,it seems that it is not,I-Adj+ku・Na-Adj+ja・N+ja + nasasou da,guess something that is not,,,このカレーはあまり辛く<b>なさそうです</b>ね。,This curry doesn't look too spicy.,,
soumonai,unlikely to,Vnoun-stem + sou mo nai,"unlikely to do, showing no signs of ",,,今日は晴れ<b>そうもない</b>。,It doesn't look like it will clear up today.,,
souninai,unlikely to,Vnoun-stem + sou ni nai,"unlikely to do, showing no signs of ",,,この調子ではいえは買え<b>そうにない</b>。,"At this rate, we won't be able to buy a house.",,
sounimonai,unlikely to,Vnoun-stem + sou nimo nai,"unlikely to do, showing no signs of ",,,これらの計画のうちどれも実現し<b>そうにもない</b>。,None of these plans are likely to materialize.,,
hodo,to that extent,Vru・Vnai・I-Adj・N + hodo,describe a unusual condition,extent or degree at maximum limit,,考えていた<b>ほど</b>時間はない。,We don't have as much time as we thought.,,
te iku,do and go,Vte + iku,express a sequential or simultaneous action,directional movement and changes with going,,こうやって悪しきサイクルが果てしなく続い<b>ていく</b>のです。,This is how the bad cycle continues endlessly.,,
te kuru,do and come,Vte + kuru,express a sequential or simultaneous action,directional movement and changes with coming,,私は誰かが部屋に入っ<b>てくる</b>のを聞いた。,I heard someone come into the room.,,
sasete morau,may i have you to let me do something,Vsasete + morau,when you obtain permission,for someone to do something,,少し質問させ<b>てもらう</b>。,Let me ask you a few questions.,,
sasete kureru,let me do something,Vsasete + kureru,when you obtain permission,for someone to do something,,その許可証を再確認<b>させてくれる</b>？,Can you let me double check that permit?,,
saserareru,force to something,Vneg-stem + saserareru ⇢ Vcaus-pass,when you are made,or forced to something you don’t want to do,,今度は濡れた床を掃除まで<b>させられる</b>。,Now they even make me clean the wet floor.,,
garu,wants to,Vta + garu,show signs or being or wanting,used to describe other persons desire,,彼女はとても痩せ<b>たがっている</b>。,She wants to lose so much weight.,,
ta totan,as soon as,Vta + totan,describe a situation that happens right after,,,家を出<b>たとたん</b>通りで偶然彼女に会った。,"As soon as I left home, I ran into her on the street.",,
dasu,suddenly starts to,Vnoun-stem + dasu,describe an action that starts to happen,or suddenly happens,,突然彼女が泣き<b>出した</b>んです。,Suddenly she started crying.,,
you to suru,try to,Vyou + to suru,when you try to,attempt to or about to do something,,彼女は起き上がって逃げ<b>ようとする</b>。,She gets up and tries to run away.,,
koto ga aru,do sometimes,Vru + koto ga aru,describe an action that you sometimes,or occasionally do,,金沢では吹雪く<b>ことがある</b>。,There are sometimes blizzards in Kanazawa.,,
koto mo aru,do sometimes,Vru + koto mo aru,describe an action that you sometimes,or occasionally do,,ライスや豆とともに供する<b>こともある</b>。,Sometimes served with rice or beans.,,
sasete oku,keep it that way,Vsasete + oku,someone made to or instructed to set up something,and leave it as it may be,,乾燥<b>させておく</b>理想的な解決である。,It is an ideal solution to keep them dry.,,
rarete shimau,unfortunate event happens ,Vrarete + shimau,a receptive action done by someone,that may be inconvenient,or unfortunate for you,後で食べようと思っていたケーキを妹に食べ<b>られてしまった</b>。,My sister ate the cake I was going to eat later.,,
ni yotte,by means of,N + ni yotte,expresses means or method,by which something is done,,ソフトウェアはウェブサイト<b>によって</b>提供した。,Software was provided by the website.,,
ni yoru,by means of,N + ni yoru,expresses means or method,by which something is done,,大学はアンケート<b>による</b>満足度調査の結果を発表した。,The university announced the results of a satisfaction survey conducted by questionnaire.,,
ni taishite,directly towards,N + ni taishite,"describe a response, direct actions",or certain attitudes towards,or against or in contrast to someone or something ,彼が考案したこのシステム<b>に対して</b>すぐに抗議の声があがった。,There were immediate protests against this system he had devised.,,
ni taisuru,directly towards,N + ni taisuru + N,"describe a response, direct actions",or certain attitudes towards,or against or in contrast to someone or something ,労働力<b>に対する</b>需要は大きい。,Demand for labor is great.,,
ni taishi,directly towards,N + ni taishi,"describe a response, direct actions",or certain attitudes towards,or against or in contrast to someone or something ,フィールド<b>に対し</b>必須レベルを設定します。,Set the required level for the field.,,
tame ni,for,Vplain + tame ni,express cause or reason to do something,,,日本へ旅行をする<b>ために</b>貯金しています。,I am saving for a trip to Japan.,,
no tame no,for,N + no tame no + N,express cause or reason to do something,,,職業のための重要な主要業績指標となっています.,It is an important key performance indicator for the profession.,,
no tame ni,for,N + no tame ni,express cause or reason to do something,,,今度の面接<b>のために</b>このスーツを買いました。,I bought this suit for an upcoming interview.,,
ni tsuki,per,N + ni tsuki,state a piece of or per something,attaching a case into a situation,,店内改装<b>につき</b>しばらく休業いたします。,We will be closed for a while for store renovation.,,
toori,as expected,Vru・Vta・N+no + toori + da・(ni),something happened exactly as said or guessed,,,話した<b>とおり</b>外は危険だ。,"As I told you, it's dangerous out there.",,
wo tooshite,through,N + wo tooshite,action was done through someone,or by something or by some means,,規範は処罰または報酬<b>を通して</b>強制することができる。,Norms can be enforced through punishment or reward.,,
no you ni,like a,N + no you ni,"giving a kind of, similar", or typical example,,彼はネイティブ<b>のように</b>英語を話す。,He speaks English like a native.,,
no you na,like a,N + no you na + N,"giving a kind of, similar", or typical example,,絵画<b>のような</b>美しい風景を構成する。,Compose a beautiful landscape like a painting.,,
you ni,in order to,Vru・Vpot + you ni,used to achieve a purpose of,,,早く元気になる<b>ように</b>栄養たっぷりの料理を作ったよ。,I cooked a nutritious meal to help you get well soon.,早く走る<b>ように</b>練習している。,I am practicing to run faster.
you ni suru,try or ensure to do,Vru・Vpot + you ni suru,indicates an effort,or something that is habitually kept in mind,,ビジネスと共に製品が必ず成長する<b>ようにする</b>。,Ensure that the product grows along with the business.,目を閉じて心を無にしながら今という瞬間を感じる<b>ようにする</b>。,Close your eyes and try to feel the present moment while letting your mind go blank.
you ni naru,gets to a point,Vru・Vpot + you ni naru,indicates a change in the ability,state or circumstance from what was it before,,それぞれの仕事の進捗が見える<b>ようになる</b>。,The progress of each job becomes visible.,そして誰でも飛べる<b>ようになる</b>ことを願っています。,And I hope everyone will be able to fly.
mitai ni,like a,N + mitai ni,giving a look alike example,or appears to be something,"based on some observation, understanding or impression",モデル<b>みたいに</b>なりたくて食べるのをやめました。,"I wanted to look like a model, so I stopped eating.",冗談<b>みたいに</b>聞こえますけどね。,It sounds like a joke to me.
mitai na,like a,N + mitai na + N,giving a look alike example,or appears to be something,"based on some observation, understanding or impression",迷路<b>みたいな</b>小さな路地ばかり。,They are all little alleys like a maze.,なんだかテーマパークのチケット売り場<b>みたいな</b>感じです。,It is kind of like a ticket booth at a theme park.
ni yoreba,according to,N + ni yoreba,indicates the source of information,,,新聞報道<b>によれば</b>昨日飛行機事故があった模様である。,"According to newspaper reports, there was a plane crash yesterday.",新聞報道<b>によれば</b>昨日飛行機事故があった模様である。,"According to newspaper reports, there was a plane crash yesterday."
ni yoruto,according to,N + ni yoruto,indicates the source of information,,,天気予報<b>によると</b>明日は雪が降ります。,"According to the weather forecast, it will snow tomorrow.",パッキングリスト<b>によると</b>商品をご確認ください。,Please check the goods according to the packing list.
to iu koto da,i heard that,Plain-from + toiu koto da,express an information that you have heard,was acquired indirectly or some hearsay,indicates some explanation or conclusion,天気予報によると週末には台風が上陸する<b>ということだ</b>。,"According to the weather forecast, a typhoon will make landfall over the weekend.",彼らはまもなく東京を去る<b>ということだ</b>。,It's said that they will soon be leaving Tokyo.
tono koto da,i heard that,Plain-from + tono koto da,express an information that you have heard,was acquired indirectly or some hearsay,,参加チームも増える<b>とのことだ</b>。,The number of participating teams will also increase.,修理が終わるまでに１週間程度かかる<b>とのことだった</b>。,He said it would take about a week for the repairs to be completed.
ni tsuite,about,N + ni tsuite,express something about something,,,異なる思考法<b>について</b>お話しします。,I will talk about different ways of thinking.,彼は自分の将来<b>について</b>考えている。,He thinks about his future.
ni tsuite no,about,N + ni tsuite + no + N,express something about something,,,ホルモン補充療法<b>についての</b>教育。,Education about hormone replacement therapy.,ワインに<b>ついての</b>知識が豊富である。,He is very knowledgeable about wine.
nakya,have or must do,Vnakute ⇢ Vnakya,express an obligation to do something,,,そのファイルを手に入れ<b>なきゃ</b>。,I have to get that file.,演じるためには力をつけ<b>なきゃ</b>。,You have to have the strength to perform.
kke,what was it?,Plain-form・Polite-form + kke,trying to recall some information,,,あなたは誰に従うんでした<b>っけ</b>。,Remember who did you follow?,今日って何曜日だ<b>っけ</b>。,What day is today?
ta ri shite,perhaps or maybe,Vta + rishite,express uncertainty,or something like that,,仕事の帰りとかに寄っ<b>たりして</b>。,I would stop by on my way home from work or something.,うどんやそばに載せ<b>たりして</b>食べることが多いです。,It is often served on udon or soba noodles.
