Script,Transcipt
お前らは すでに ３アウトだ,That's already three strikes. You're out.
（だりあ）ミソジニーって言葉 知ってるか？,"Know the word ""misogynist""?"
（みちたか） まずい味噌汁のことか？,Some kind of foul miso soup?
てめぇみたいな,It refers to outdated bigots like you.
前時代的差別主義者のことだよ オッサン！,It refers to outdated bigots like you. Old man!
口の汚ねえ女め,Such a foul-mouthed whore.
だりあさん！,Daria!
（みちたか） あとで ゆっくり罰を与える,I'll punish you slowly later.
女！,Women…
（医師）別件の抗争で 助手が出払っててな,My assistants are all out on other cases.
あっ あんた シロウトじゃないよな？,"You have experience, right?"
助手についてくれ,Then come with me.
えっ 私？ “私” そう,"-Who, me? -Yes."
おかっぱ わしは大至急 車をクリーンにせなあかん,"I gotta clean the car up, bowl cut."
はい,Okay.
ここは ヤクザみんなが 使う病院でな,All the yakuza use this hospital.
一応 無茶はできひんルールに なっとる,"There's a ""no funny business"" rule."
なるほど,Okay.
（ヅラ）せやけどな 無茶なヤツもおる,"Still, there are some funny sorts about."
いざという時は頼むで,I'm counting on you.
上と話を付けさせろ,Leave the chatting to the bosses.
こんなとこで死にたいか？,Wanna die in a place like this?
いいえ,No… but if there's something to discuss…
話を付けるなら 僕とで,No… but if there's something to discuss… then speak to me.
フッ 僕と？ さっき明らかに 頭突きしましたよね,-To you? -You clearly just headbutted me.
中立地帯で,On neutral ground.
僕のことは不問にするので,I won't make a big deal about it.
帰ってください,So please leave.
片目ずつ20分かけて バーナーで焼くぞ,"I'll use a blowtorch to roast your eyes, 20 minutes each."
早く帰れって,"I said, leave already."
（ケイ）あー疲れた 喉が からっからだ,"Man, how exhausting. I'm parched."
（金子）殺し屋さん,"Hey, assassin."
だりあは どうした？,What happened to Daria?
（ケイ）あなたに答える義務は ないです,I don't have to tell you.
おたくらが ここを出る瞬間 追い込みかけてやろうか？,How about I pin you all down the moment you leave here?
大丈夫ですよ 私は 構いませんけど,"No thanks. I don't mind, though."
ねぇ 渡辺君,"Right, Watanabe?"
はい！,Yep.
イカれてんねぇ,You're nuts.
何か 僕 この仕事 向いてるみたい,Seems like I'm made for this job.
向いてると 早く死んじゃうよ,If you are… you'll die early.
ケイさんのためなら,"If it's for you, Kei,"
ちょっとくらい早くても 大丈夫です 僕は,I don't mind dying a little earlier.
ケイさんは この仕事 向いてますか？,Are you made for this job?
向いてない方がいいなぁ,It's better if you're not.
早く死んじゃうの嫌です,I don't want you to die early.
頭(ず)が高い え？,-Your head's too high. -What?
まぁ 今日はよく頑張った 褒めてつかわす,You did a good job today. Well done.
はい,Here.
えっ？ いやいや…,"Wait, no, no."
気持ち悪いヤツやなあ 何やねん そのお茶,You creep. -What's with the tea? -This?
これですか？,-What's with the tea? -This?
まぁ愛のお茶 ラブティです,It's the tea of love. Love tea.
“ラブティ”？ くだらん,Love tea? How silly.
何やねん 急に！,What the heck?
ふざけんなよっ！,Don't mess with me!
ヅラさん あんた 本当ひどい人だ！,"Don't mess with me! You're so nasty, Zura!"
あんた 本当に 人を好きになったことありますか,Haven't you ever fallen in love?
わかんないんだろうな 僕の恋する気持ちなんて！,You don't understand how I feel being in love!
あ～ 殺す気か アホ ほんま,You trying to kill me?
どんな気持ちやねん ほんなら,So how does it feel?
言うてみい お前にとって恋とは何ぞや 恋とは,"Tell me, what's love to you?"
僕にとって恋とは… 恋 恋とは…,"For me, love is… Love is…"
サボテンです はい おもんないー もっかい,-a cactus! -Boring. Try again.
フラフラフラ… これ見て言うとるやん これ見て！,-A hula dancer-- -You're just describing these figurines.
木と根っこ これ見たんやろ？,-A tree-- -Like this one!
ありゃ,"Oh, dear."
ずいぶん意外な場所で 再会したな,Didn't expect to meet you again here.
確かに,For sure.
（テラノ）しかも あと20円 足りない,You're 20 yen short.
ごめんなさい 無いです,"Sorry, I don't have it."
何だよ 次からは利子 取るよ,Seriously? I'll charge interest next time.
（ケイ）誕生日とかですか？ あの人の,Is it this person's birthday or something?
（テラノ）うん まあね,I guess so.
（ケイ）いいですね 男同士の友情,I like it when guys are close friends.
私 オセロは白を使うって 決めてるんです,I always play the white in Othello.
（テラノ）へえ どうして？,Really? Why?
何か 全部を白にしてみたい,I want to make the whole board light up.
一度でいいから,Just the once.
参りました,Game over.
じゃあ 行きますね,I'll… leave.
（テラノ）まあ…,Well…
今は ほとんどが 黒かもしれないけど,"The board may be mostly dark at the moment,"
死ぬ間際の最後の一つが 白だったら…,"but if the last piece turns white just before death,"
全部 白にひっくり返るかもよ,it could all suddenly light up.
自分は全部 真っ黒なくせに！,Says the player using black!
おい 算数野郎 ビビってんのかぁ？,"You nervous, calculator boy?"
うるせえな,Shut up.
おい！,Hey!
クラ… クラ！,Kura? Kura!
（クラ）おい 算数野郎,"Hey, calculator boy."
起きてるか？,Are you awake?
起きてるよ,Yeah.
お前の誕生日ケーキ 代わりに食ってる,I'm eating your birthday cake for you.
（クラ）お前,Terano.
本当は 組から抜けたいんだろ？,"You want to quit, right?"
俺がいるから 抜けられねえんじゃねえのか？,-But you can't because of me. -Stop it.
やめろよ くだらねえこと言うな,-But you can't because of me. -Stop it. Don't talk nonsense.
コーヒー 飲みてぇな,I want some coffee.
はあ？ 何言ってんだよ,What are you talking about?
匂いだけでも味わいてぇ,I want to at least enjoy the aroma.
（店長）伝馬組のヤクザが 自殺したらしい,A Denma-gumi member committed suicide.
その仲間が 組を恨んで 金を盗んで逃げた,His friend blamed the clan and ran off with the money.
そいつの始末が,Our job this time
今回の仕事だ,is to deal with him.
いつになく 危険な仕事になるだろう,The work will be more dangerous than ever.
“きけんな しごと”,"""Dangerous than ever."""
“とんこつ”,"""Everlasting soup."""
つつ… “つんでれ”,"""Super-tease."""
えっ？,What?
れ～,Well…
“レアチーズケーキ”,"""Cheesecake yellow""!"
えー？ それちょっとズルくない？ フフフッ,What? That's a stretch!
き？,"So, ""-low""?"
きー “きかんしゃ”,"Lo… -""Locomotive standstill."" -Still…"
や…,"-""Locomotive standstill."" -Still…"
“やるか”,Still up for it?
“やらぬか”,Or not?
どうする？,What will you do?
やるよ,I'll do it.
どんな仕事でも やりとげる,I'll see any job through.
じゃあ うまいラーメンを食べていけ,Well… eat some tasty ramen before you go.
（クラ）お前 夢はあんのかよ？,Do you have a dream?
はあ？,What?
（クラ）俺は ニューヨークに行ってみてえ,I want to go to New York.
本物の自由の女神 見てみてえ,I want to see the real Statue of Liberty.
金髪女と遊びてえ,I want to have fun with blonde girls.
早く治して 勝手に行け,"Get better and go, then."
最高だわこれは,This is the best.
で 結局いくらやられた？,And? How much was it?
三代目から預かった10億と,The 100 million from Sandaime…
例の別口座の…,and the separate account.
（木下）裏金 盗まれたのか,He stole the hidden funds.
どうしてテラノが？,Why did Terano do it?
（アヤベ）すみません,"Sorry, sir."
嗅ぎ… 嗅ぎつけられたみたいですわ,Seems like he figured us out.
無能な野郎だ,Useless idiot.
（蹴る音） （木下）無能！ （蹴る音） （木下）無能！,Useless!
（ボディーガード）手を上げろ,Hands up.
（ケイ）どうします？,What'll you do now?
もう終わっちゃいましたけど,"I mean, it's already over."
マジかよ,Seriously?
君 殺し屋だったの？,You're an assassin?
私も びっくりしました,I was surprised too.
（テラノ）お金の交渉…,If I give you the money…
ってわけにも いかなそうだね,I guess that won't help.
（ケイ）最期に,"If you want to say a final prayer or have your last cigarette,"
タバコとか お祈りとか 何かしたければ,"If you want to say a final prayer or have your last cigarette, now's the time."
俺は まだ 死ぬわけにはいかない,I can't die yet.
すみません,Excuse me.
ヅラさん 何？,"What is it, Zura?"
えっ？,What?
うん わかった,Got it.
すみません,Sorry.
えっ？,What?
今すぐ あなたを殺すかどうか 上の人が相談してるって,"Apparently, management is discussing whether or not to kill you right away."
なるほど,I see.
じゃあ 休憩しましょうか,How about a break?
は？,What?
（テラノ）何やってんの？,What are you doing?
（ケイ）簿記の勉強です,I'm studying bookkeeping.
来週 模試なのに 何もやってなかったから,Got a mock test next week and I haven't studied.
今それをやるって さすがにイカれてるよ,So you're doing it now? I knew you were crazy.
人のことをそういうふうに 言うのはよくないです,You shouldn't talk about people like that.
学ぼうと思えば どこだって学び場になる,You can learn anywhere if you try.
私は そう思います,That's how I see it.
わからないところがあれば 教えようか？,I can help if you get stuck.
えっ？ あなたが？,What? You can?
（三代目）それで？ いくらやられた？,And? How much was it?
10億です,One hundred million.
はっ ずいぶん派手に やられたなぁ,He really got us.
金額は確かか？,Sure about the amount?
10億です 間違いありません,It's 100 million. No mistake.
そうか,I see.
昨日の夜 テラノから伝言があってな,Terano phoned me last night.
（テラノ）三代目 夜分に失礼します,Sorry to call you so late.
単刀直入に言います,I'll speak frankly.
三代目の金を 13億 盗ませていただきます,I'm stealing 130 million yen from you.
自分は アヤベファイナンスの10億と,What I'm stealing is 100 million from Ayabe Finance
彼らが別口座に貯めている裏金 ３億を盗みます,and 30 million they're secretly keeping in a separate account.
木下が３億の存在に触れず,If Kinoshita doesn't mention the 30 million
10億だけが盗まれたと 言ったら,and says only 100 million has been stolen…
それこそが 木下の意志で 裏金を作った証拠です,then that proves the secret funds were collected at Kinoshita's orders.
（三代目）木下,Kinoshita…
何か言いたいことあるか？,Anything you want to say?
アヤベ 聞いてねえぞ 俺は,Ayabe… I had not heard about this.
はい？,Sorry?
どうして別口座の３億のことを 俺に報告しなかった？,Why didn't you tell me about the 30 million in the separate account?
（木下）何だ？,What?
いやぁ そういうパターンも あるんですか？,This is really how you wanna play it?
全部 俺のせいかいな？,"All my fault, is it?"
モンモンもねぇ甘ちゃんが 偉そうに口きいてんじゃねえぞ こら！,"Don't talk down to me, underling."
撃てや 撃て撃て ほらほら,"Go on then, shoot."
撃て ほら 撃てー！,"Shoot, shoot!"
いい度胸だ,You've got guts.
死ね,Die.
（三代目）それをお前が… なぜ決める？,Why do you… get to decide that?
おめえも,Same for you.
おめえも,Same for you.
命の賞味期限 決めんのは 俺だよ,I'm the one who decides your expiry dates.
ん？ 何か臭ぇな おい,Something stinks.
あっ おめーら臭ぇな おい えー？,You two stink.
もう腐りかけだよな～？,You're already rotting.
だったら 腐んねえように,"In that case, to stop the rot,"
まずは金取り返してこいや！ おお？,first bring back the money! Okay?
必ず 果たします,I'll get it to you.
（テラノ）この買掛金のうち 60万ドル分だけは,"In these payable accounts, we only convert 600,000 dollars' worth"
決算日の為替相場で換算する,at the exchange rate on the settlement date.
前受金はダミーだから 換算しない,The advance here is a dummy figure so don't convert it.
まあ 何事も ダミーは重要だってことだ,The advance here is a dummy figure so don't convert it. Shows how important dummy figures are.
なるほど,I see.
教え方がうまい 先生！,"You're a good teacher. Right, Teach?"
フフッ 先生ね…,"""Teach""?"
じゃあ 先生これは？,What about this?
これ？,This?
もしもし,Hello?
（木下）テラノ,Terano.
やってくれたなあ,You really got us.
（テラノ）俺 あんたと交渉がしたい,I want to make a deal with you.
（木下）ああ？,What?
俺が盗んだ金は ここに そろってる,Here's the money I stole.
あんたが本当のことを言えば そのまま返す,"If you tell me the truth, I'll return it all."
で？ 何が聞きたい？,And? What do you want to hear?
（テラノ）クラのことだよ,Tell me about Kura.
あんたが殺せと指示を出した 違うか？,"You ordered his hit, right?"
覚えてねえな,I don't remember.
確かに あの野郎は 三代目に気に入られ 調子に乗っていやがった,He got cocky because Sandaime liked him.
以上だ,That's all.
それより お前の未来を教えてやる,Let me tell you about your own future.
もうすぐ兵隊がそっちに着く,Troops will be arriving soon.
生きたまま体を刻んで 焼いて 溶かす,They'll cut you up alive. Roast you. Melt you down.
それが おまえのこれからだ,That's what's in store for you.
俺は最初から 生き延びるつもりなんてないし,I never intended to live a long time.
そして,And…
あんたが正直に話すとも 思ってない,I never expected you to speak the truth.
（木下）ああ？ 何だ？,What?
おい！,Hey!
おい！ ふざけんな！,"Hey, don't be stupid!"
木下さん あんた おしまいだよ,"You're finished, Kinoshita."
やってくれるな… おい,He's really done it.
金子！ はい,-Kaneko. -Yes.
道具と兵隊 あるだけ集めろ,Gather all our troops and weapons.
（ケイ）先生を受け渡したら 私もあがりますんで,"Once you're handed over, I'll leave too."
そう,Right.
（組員）テラノ,Terano.
お前に恨みはねえが 苦しんで死んでもらう,"No hard feelings, but it's time for a painful death."
じゃあ先生 勉強 付き合ってくれて ありがとう,"Thanks for helping with my studies, Teach."
試験 頑張って,Good luck with the exams.
さよなら,Goodbye.
さよなら,Goodbye.
こんなのがホント強ぇの？,Is she really that strong?
（組員たちの笑い声）,Stop it.
（組員たちの笑い声） （テラノ）その子に構うな,Leave her out of it.
（組員）大食いチャンピオンも 大体ちっせぇだろ？ そういうもんだ,It's like how skinny chicks always win eating competitions.
こんな隙だらけなのに？,But she's so vulnerable.
こっち！,Over here!
考えが変わった,I changed my mind.
俺 君に仕事を頼めるかな？,Can you do some work for me?
もちろん,Of course.
何か いろいろごめん,Sorry about all this.
大丈夫です,It's fine.
仕事に感情は 持ち込まないようにしてるので,I don't bring my emotions to work.
ちょっとだけにします,Maybe a little.
（ケイ）先生は これから どうするんですか？,"What will you do now, Teach?"
（テラノ）どうしようかな,I wonder.
死ぬことしか考えてなかった,I'd only thought about my death.
何か希望を持ちましょうよ,You should have a dream.
やりたいことは？,Something you want.
あいつ ニューヨーク行きたいとか 言ってたな,Kura said… he wanted to go to New York.
へぇー ニューヨーク,Really? New York?
（ヅラ）何やねん！,What the hell?
スリーアウト男だ,It's the three-strikes guy.
（渡辺）だ… 誰なんですか!?,Who?
おい,Hey!
みちたか君は 伝馬組 最強の殺し屋 ヤツのルールを破るとアウトだ,He's Denma-gumi's best assassin. Break his rules and you're out.
絶対に許す事はねえ 殺すまで追い続ける,He never forgives. He chases you till you're dead.
永遠に…,Forever.
あら,What the hell?
いちゃついてる場合ちゃうで！,No time for flirting!
おかっぱ 例のアレや！,"Now, bowl cut!"
はい！,Okay.
わしの本気 見したるでえ！,Time to get serious!
よう狙え チャンスは１回や！,We've only got one shot. Aim well.
ラジャー！,Alright!
よっしゃ～！ （ヅラ）よっしゃあ！,-I did it! -Alright!
あら あら あら あら,"Deary, deary me."
汚ねえ車だ,What a filthy car.
あかん ガソリンタンクが いかれてもーとる,Damn! Tank's empty!
やばいじゃないすか どうするんすか！,Oh no! What should we do?
どうするも こうするもなあ お前,What can we do?
ちょうどいい,Perfect.
お前もいたか 女,You're here too… woman.
（ケイ）仕事ですから,It's my job.
（ヅラ）とりあえずは…,For now…
逃げろ！,let's run!
呼ばれて飛び出て じゃじゃじゃじゃーん,"Who you gonna call? Me, and here I am."
（ヅラ）誰も呼んでへんわ ボケ！,"No one called you, stupid!"
テラノさんと行くんや,"Kei, go with Terano."
この先のダムで 店長がヘリを手配しとる,The boss readied a helicopter at the dam ahead.
無理しないでね,Don't go too hard.
お前らが 俺の相手をするのか？,You two are my opponents?
ま 時間稼ぎくらいは できるやろ,"We can buy some time, at least."
バカが,Idiots.
お前の頭 どうなってんだ？,What's wrong with your head?
勝手に想像せい おかっぱ！,Use your imagination. -Bowl cut? -Yeah!
う～ 待って ごめんなさい,"Wait, sorry!"
うりゃ～,Take this!
（ヅラ） 世界一からい唐辛子で作った—— 特注スプレーや！,A spray custom-made using the strongest chilies in the world.
みたか 帰れ バ～カ！,See that? Go home! You idiot!
（ケイ）何か 楽しい話しません？,Let's play a game.
は？ この状況で？,"What? Now, of all times?"
ニューヨークのいいところを ５つ挙げよ,Think of five great things about New York.
（テラノ）自由の女神 タイムズスクエア,The Statue of Liberty. Times Square.
あとは チーズケーキとか,And cheesecake or whatever.
チーズケーキ！ 私 チーズケーキ大好き,Cheesecake? I love cheesecake.
ほんっと しつこい,So incessant.
しつこい男は嫌われるよ,"No one likes an incessant man, you know."
黙れ ピンク女,"Shut it, pink girl."
おい テラノ まず金を返せ,"Hey, Terano. First, return the money."
そのあと ゆっくり罰を与える,I'll punish you slowly afterwards.
全部 燃やしたよ 映像も残ってる,I burned it all. I even filmed it.
（みちたか）お前は 用意周到な人相をしている,You seem like a very prudent man.
あれはダミーだ,That was a decoy.
さっさと切り札を出せ,Now play your trump card.
買いかぶるなよ,Don't overestimate me.
早く逃げて,Run away.
それはできない,I can't.
仕事なんで,This is my job.
わかった,I understand.
もういいか？,You done?
（みちたか）雑魚女(おんな)が,You worthless fish of a woman.
（木下）お前らは うちの組でも 選りすぐりの精鋭だ,You've been chosen as the best of our clan.
だが今日,But today…
大半の人間は死ぬだろう,half of you will probably die.
今から始まるのは そういう戦いだ,"It's that kind of fight, and it starts now."
去りたいヤツは去れ！,"If you want to leave, go!"
筋書きは単純だ,The plan is simple.
まずは金を奪ったテラノを殺す,"First kill Terano, the man who took the money."
始末屋の みちたかも殺す,"Then kill Michitaka, the cleaner."
そして…,Then…
三代目を殺す,we kill Sandaime.
よう！,Hey.
あの子は どうした？,What happened to her?
お前は死んだ魚に 興味があるのか？,You're interested in dead fish?
この野郎,You bastard.
（木下）２人 そろってやがるな,You're both here together.
捜す手間が省けたぞ,Saves us the trouble of finding you.
（みちたか） 何だ また新しいゴミか,What's this? More new trash?
おい ひるむな 殺せ！ 殺せえ！ （組員）おい マジか,Keep going! Kill him!
このガキ！,You stupid brat!
木下 アウトだ！,Kinoshita. You're out.
ハハッ 踊ってんじゃん,You're dancing!
ヘタクソか！ お前,You're not very good.
もっと腰入れろ 腰,It's all in the hips.
いくぞ,Here goes.
ホップ,Hop.
ステップ！,Step.
何の因果だろうなあ,What a strange twist of fate.
お前に弾 ぶち込むのも 俺になるんだなぁ,"I'm the one killing you, too."
おめえだけは絶対 許さねえ,You're the one person I'll never forgive.
ほざけ,You're talkin' shit.
親友と仲良くやんな あの世で,Play nice with your bestie on the other side.
あいつか,It's her.
待て！,Wait.
絶対に待つなと教えたのは お前だ,You taught me never to wait.
（女性）ケイ,Kei?
ケイ,Kei?
希望は持ってる？,Do you have a dream?
でも,But…
疲れちゃう時もある,I get tired sometimes too.
（女性）希望は とってもいい 自分のために,Dreams are good. For yourself.
大切な誰かのために,For people you care about.
ゆっくり希望を,"No matter how small it is,"
小さくても それを持って,"nurture your dream, slowly."
（渡辺）菊野さん？,Kikuno?
菊野さん？,Kikuno?
菊野さん 大丈夫ですか？,Kikuno? Are you okay?
渡辺くん,Watanabe?
もうすな 愚問を どう見ても 大丈夫ちゃうやないかい,"What a stupid question. Look at her, she's obviously fine."
うるさいなあじゃあ じゃあ何て言えばいいんすか？,"You're so annoying. What should I ask, then?"
ケイちゃん カモン カモン マイ胸！,"Kei, come on. Chest to chest."
（渡辺）触んな ハゲ,"Don't touch her, baldy!"
（ヅラ）ああっ おかっぱ！,Stupid bowl cut!
（ヅラ）触んな （渡辺）ハゲヅラ 触んな 触んな ゆっくり手を下ろせ,"Don't touch! Hands off, slowly."
ゆっくり手を下ろせ ゆっくり手を下ろせ,Drop your hands slowly.
（渡辺）痛っ （ヅラ）あう～,Ouch!
（渡辺）触るな （ヅラ）ハゲ 言うな お前 こら,-Don't touch me! -Don't call me baldy!
（渡辺）ハゲ （ヅラ）謝れ （渡辺）ハゲ （ヅラ）謝れ ハゲ,-Baldy. Baldy. -Apologize. Apologize!
いい夢 見れた,-Ouch… -I just had a dream.
すごくいい夢だったな,It was a nice dream.
俺は こんなところじゃ 終らねぇぞ,I can't be finished in a place like this.
俺は終わらねぇ,It's not over for me.
ここを抜ければダムだ,The dam's just outside.
ケイちゃんは,What about Kei?
心配するな あいつは…,Don't worry. That--
呼んだか？,You called?
みちたか！,Michitaka.
“君”だろ？,Mr. Michitaka.
蚊が刺したのか？,Was that a mosquito bite?
（みちたか）おい テラノ,"Hey, Terano."
お前は ルールを破っていい格じゃねえ,You can't break the rules.
地球の空気が汚れるから,You're polluting the atmosphere.
今すぐ死ね,"So die, immediately."
（ケイ）先生 遅れてごめん,"Sorry I'm late, Teach."
ケイちゃん,Kei.
無事でよかった,Glad you're okay.
（みちたか） おい 雑魚女 でしゃばるな,"Hey, fish woman. Don't interfere."
（ケイ）みちたか君,Mr. Michitaka.
その釘 すっごく痛いけど もう慣れました,"Those nails really hurt, but I got used to them."
（みちたか）ああ？,What?
ルールを持つのは いいことだけど,It's good to have rules.
それを人に押つけるのは 良くないと思います,But you shouldn't force them on other people.
俺に意見するのは…,Giving me your opinion…
アウトだ,means you're out.
だから もう慣れました,"I told you, I'm used to those nails."
そうか,I see.
じゃあ,"Well, then…"
こいつも慣れたのかな？,What about her? Is she used to them too?
すごいヒールって感じですね,You're really like a heel.
俺は…,I…
ヒーローだ,am a hero.
先生,Teach!
ありがとう,Thank you.
サビまで もちます？,I'll go until the chorus.
俺が負けるのは…,"Me, losing?"
ルールにない,That's not in the rules.
何とかできたよ 悪あがき,Managed to get somewhere after all.
ありがとう,Thanks.
楽しかったです,I enjoyed it.
変な子だな,You're a weird one.
えっ それって褒めてます？,Is that a compliment?
ああ… まあ そうかもね,"Maybe, yeah."
さっきまで 死ぬつもりだったんだけどな,I was sure I was going to die.
どんなに小さくても,"If you have a dream, no matter how small…"
希望を持っていれば 生きていける,you'll find a way to survive.
チーズケーキ食べよう,Let's go eat cheesecake.
一緒に来てほしい ニューヨーク,I want you to come with me to New York.
それが 俺の…,I think that's…
一番の希望になりそうだから,my biggest dream.
私は…,I…
先生！,Teach?
よう ぷるるん娘,"Hey, Supple Gal!"
（だりあ）うっ,Don't move!
（木下）あのバケモノを 始末するとはなあ,To think you cleaned up that monster…
（木下）テラノ,Terano…
決着がついたな,it's settled now.
（木下） 無数の兵の屍(しかばね)の上に 親は立つ,The godfather stands on a mountain of corpses.
これが極道だ,This is the summit.
お前 あの女がお気に入りか？,You got a thing for her?
だったら お前が殺せ,"In that case, you kill her."
その方が面白い,More interesting that way.
木下さん 頼む,"Kinoshita, I beg you."
彼女を解放してやってくれ,Please let her go.
違うな,Wrong.
お前のセリフはそれじゃない,That's not what you're supposed to say.
頼む,Please.
金を隠した,I hid the money.
倉庫の鍵を持ってる,I have the safe key.
そのセリフは悪くないな,That's more like it.
おい,Hey.
（木下）よこせ,Hand it over.
てめえ！,You…
（ヅラ９そこまでや おまえらの親分は死んだ,That's enough. Your daddy's dead.
無駄な殺しは 互いに やめようや,Let's all stop the pointless killing.
（アヤベ）死にました,They're dead.
木下もテラノも みちたかも,"Kinoshita, Terano, Michitaka."
あなたの望みどおり 目ぼしい連中はみーんな死んだ,"As you wished, the clan's big wigs are all dead."
これで長いお勤めの間も 組は安泰や,The clan should be safe during your whole sentence.
このあとのことは 俺に全部 任し,Leave everything to me from now on.
（三代目）はあ？ よく聞こえねぇな,What? I can't hear you well.
そやから このあと…,"I said, from now on--"
ちょっ… オヤジ 話がちゃうで,"Wait, Father. Let's talk."
オヤジ ちょっ ちょっ ちょっと待って うわっ,"Father, wait! No!"
オヤジギャグ！ はーっ,It's a dad joke.
おもしれえだろ？,"Funny, right?"
おもしれえよなぁ？,It was funny.
お前は まだ育つ,You… You're still green.
育てては奪い,"Raise them, rob them."
育てては奪う,"Raise them, then rob them."
これが極道だ,That's the way we work.
遅なってすまん,Sorry I was late.
でもケイちゃん 仕事をやりとげたんや,"But the job's done now, Kei."
（ヅラ）これは… （ケイ）ヅラさん,-This is-- -Zura.
30円 貸して,Lend me 30 yen.
（ヅラ）いいけど,"Sure, but…"
やっと返せた,Finally paid you back.
あー疲れた お風呂 入りたい,I'm tired. I want to go for a soak.
ケイちゃん 遠慮すんな,"Kei, don't hold back."
わしの胸に飛び込んでこい,Come into my arms.
ヅラさん きもいよ,"Don't be creepy, Zura."
うちは会員制なんだ 今日は特別だぞ,This place is members-only. Today's an exception.
うめぇ,Delicious.
こんなうまいラーメン 食ったことねえや,I've never tasted ramen this good.
そいつはどうも,Thanks.
レモン,Wow.
うまかった,Delicious.
また来る,I'll be back.
ひとの話を聞け もう来るな,You need to listen better. Don't come back.
チーズケーキ…,Cheesecake?
小さくても,It's good to have a dream…
それを持つのは いいことだ,no matter how small.
