Words,Meaning,Sentence,Translation
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
合図,"signal, sign, cue",赤い旗が上がったのを合図に、選手たちは走り出した。,The athletes started running when they saw the red flag go up as a signal.
以降,"after, since, from~onwards",今日以降、この店は営業時間が変わります。,"From today on, this store will change its business hours."
意向,"intention, will, wish",彼は来年留学する意向を示した。,He expressed his intention to study abroad next year.
移行,"transition, shift, change",この国は農業社会から工業社会へ移行した。,This country transitioned from an agricultural society to an industrial society.
遺構,"remains, ruins, relic",古代ローマの遺構を見学する。,To visit the remains of ancient Rome.
憩う,"rest, relax, take a break",公園のベンチで憩う。,To rest on a bench in the park.
偉効,"great effect, efficacy",この薬は風邪に偉効がある。,This medicine has a great effect on colds.
移項,"transfer, move, shift",この項目は別のページに移項してください。,Please move this item to another page.
偉功,"great achievement, meritorious deed",彼は国のために偉功をなした。,He performed a great achievement for the country.
以前,"before, ago, previously, prior",彼は以前は教師だった。,He used to be a teacher.
依然,"still, as ever, as before",彼は依然として彼女を愛している。,He still loves her.
位置,"position, location, place",この地図には私の家の位置が書いてあります。,This map shows the position of my house.
維持,"maintenance, preservation, keeping",健康を維持するためには、適度な運動が必要だ。,Moderate exercise is necessary to maintain health.
遺児,"orphan, child who lost parents",戦争で多くの遺児が生まれた。,Many orphans were born from the war.
意地,"stubbornness, obstinacy, pride",彼は意地が悪い。,He is stubborn.
印刷,"printing, print",この本は印刷がきれいだ。,This book has a nice print.
印象,"impression, image",彼は初対面の人に良い印象を与える。,He gives a good impression to people he meets for the first time.
印象的,"impressive;, striking",彼女の歌声はとても印象的だった。,Her singing voice was very impressive.
映像,"image, picture, video",テレビでニュースの映像を見た。,I saw the news video on TV.
現像,"development, processing (of film)",写真を現像する。,To develop photos.
想像,"imagination, guess, conjecture",彼の気持ちを想像することはできない。,I can’t imagine his feelings.
肖像,"portrait, likeness",父の肖像を描いた。,I drew a portrait of my father.
想像力,"imagination, creativity",彼は想像力に富んだ作家だ。,He is a writer with a rich imagination.
画像,"image, picture, graphic",このサイトには面白い画像がたくさんある。,This site has a lot of interesting images.
自画像,self-portrait,この美術館には有名な画家の自画像が展示されている。,This museum exhibits self-portraits of famous painters.
解像度,"resolution, definition",このカメラは高い解像度を持っている。,This camera has a high resolution.
湯,"hot water, hot spring",風呂の湯を沸かす。,To boil the water for the bath.
列,"line, row, queue",駅の改札口に長い列ができた。,A long line formed at the station’s ticket gate.
器,"container, vessel, instrument",お茶を器に注ぐ。,To pour tea into a container.
畳,"tatami mat, japanese-style flooring",和室には畳が敷いてある。,There are tatami mats in the Japanese-style room.
量,"quantity, amount, volume",このレシピは材料の量が少なすぎる。,This recipe has too little amount of ingredients.
畑,"field, farm, garden",野菜を畑で育てる。,To grow vegetables in the field.
町,"town, city, street",この町には映画館がない。,There is no movie theater in this town.
村,"village, hamlet",彼は山村で暮らしている。,He lives in a mountain village.
他,"other, another, else",他に何か質問はありませんか。,Do you have any other questions?
池,"pond, pool, reservoir",池に魚が泳いでいる。,There are fish swimming in the pond.
横,"side, beside, width",道の横に歩くな。,Don’t walk beside the road.
影響,"influence, effect, impact",天気は人の気分に影響する。,The weather affects people’s moods.
営業,"business, operation, sales",この店は日曜日は営業していない。,This store is not open on Sundays.
演奏,"performance, playing, rendition",ピアノの演奏を聞く。,To listen to the piano performance.
遠慮,"restraint, reserve, hesitation",遠慮なく言ってください。,Please say it without hesitation.
遠慮なく,"without reserve, without hesitation",遠慮なく食べてください。,Please eat without reserve.
応援,"support, cheering, backing",彼は私たちの応援を受けて勝った。,He won with our support.
横断,"crossing, traversing",横断歩道で道を横断する。,To cross the road at the crosswalk.
往復,"round trip, going and returning",往復の切符を買う。,To buy a round-trip ticket.
応募,"application, entry, subscription",コンテストに応募する。,To apply for a contest.
応用,"application, adaptation, utilization",基本を学んだら、応用に移る。,"After learning the basics, move on to the application."
解決,"solution, settlement, resolution",問題を解決する。,To solve the problem.
改札,"ticket gate, ticket barrier",改札で切符を出す。,To show the ticket at the ticket gate.
回収,"collection, recovery, withdrawal",ゴミを回収する。,To collect the garbage.
改修,"repair, improvement, renovation",古い建物を改修する。,To renovate an old building.
開場,"opening, start, beginning",コンサートは午後6時に開場する。,The concert will start at 6 pm.
会場,"venue, place, site",コンサートの会場はどこですか。,Where is the venue for the concert?
温泉,"hot spring, spa, onsen",温泉に入ってリラックスしよう。,Let’s relax in the hot spring.
過去,"past, bygone days, previous",過去の失敗を忘れて前に進もう。,Let’s forget the past failures and move on.
加工,"processing, manufacturing, editing",この食品には加工された砂糖が含まれています。,This food contains processed sugar.
火災,"fire, conflagration",火災の原因はまだ分かっていません。,The cause of the fire is still unknown.
災害,"disaster, calamity, catastrophe",災害に備えて非常用品を用意しておきましょう。,Let’s prepare emergency supplies for disaster.
災難,"misfortune, trouble, hardship",事故に遭うなんて災難でした。,It was a misfortune to have an accident.
天災,"natural disaster, act of god",地震は予測できない天災です。,Earthquakes are unpredictable natural disasters.
