Words,Meaning,Sentences,Translation
立つ,stand up,乾 杯のときは立つ,Stand up when making a toast.
毎日,every day-daily,ダイエットするには、毎日の運動が欠かせない。,Daily exercise is essential for dieting.
為に,for-to one's advantage,子供の夏休みの宿題の為に朝顔を育てる。,We are growing morning glories for my children’s summer homework.
おいしい,delicious-sweet,この地域にはおいしい食べ物が多いね。,This region has a lot of delicious food.
または,or-otherwise,コーヒーまたは紅茶はがいかがですか。,Would you care for coffee or tea?
家族,family,家族旅行に行く。,We are going on a family trip.
に対する,with regard to-towards,人に対する敬意を忘れてはならない。,Never forget respect towards others.
部分,"portion, section",おいしい部分を先に食べる。,I eat the yummy part first.
一度,once-on one occasion,一度試してみるべきだ。,You should try it once.
結果,result-consequence,病院に電話して検査の結果を聞く。,Call the hospital to get the test results.
じゃ,then-so,じゃ、その時に会おうね。,See you then!
状況,state of affairs-circumstance,今の状況では、いい結果は期待できません,"Under the current circumstances, we can’t expect a good outcome."
時代,period-era-those days,時代によって人の生き方が違う。,People's way of life was different in each era.
少ない,few-a little,今月は収入が少ない。,My income is low this month.
うまい,skillful-expert-delicious,彼は本当に運転がうまい。,He is a highly skilled driver.
覚える,memorize-remember,顔と名前を覚える。,Remember the face and the name.
東京,tokyo,東京はどこに行っても混んでいる。,Tokyo is crowed wherever you go.
てある,has already been done,私の名前がもう登録してある。,My name has already been registered.
続く,continue-last,道が遠くまで続く。,The road continues for a long way.
における,as for-in,この分野における進歩はすごい。,Much progress has been made in this field of study.
俺,i-me,俺は鹿児島生まれだ。,I was born in Kagoshima.
生まれる,be born,もうすぐ子供が生まれる。,We are expecting our child to be born soon.
父,one’s father,父は忙しくてあまり家にいません。,My father is so busy that he is rarely at home.
確か,sure-certain-definite,確かに見たことがある。,I have seen it for sure.
それぞれ,each-respectively,それぞれ好みがちがう。,Each of us has different tastes.
方法,method-way,違う方 法でやってみよう。,Let's try a different method.
はず,should be-bound to be,時間が変わったことは、みんな知っているはずです。,They should all know that the time has been changed.
説明,explanation,よく説明を聞かないとわからない。,I would be lost if I don’t listen to the explanation carefully.
なければいけない,have to do-ought to,この宿題は終わらせなければならない。,I ought to complete this homework.
部屋,room-apartment,部屋を掃除する。,I will clean up my room.
ちょうど,exactly-just,ちょうど今日が誕生日です。,It just happens to be my birthday.
当然,natural-as a matter of course,彼が怒ったのも当然だ。,It is only natural that he got angry.
大学,university-college,都心から離れた大学に通いたい。,I want to go to a college outside the city.
ですから,so-therefore,地方ですから交通の便はよくない。,It is a rural area so transportation is not so convenient.
実,truth-reality,実は、鍵をなくしてしまいました。,"To tell you the truth, I have lost my key."
朝,morning,朝と夜は寒い。,It's chilly in the morning and at night.
どんどん,rapidly-increasingly,どんどん暗くなる。,It's rapidly getting darker.
得る,earn-acquire,本から知識を得る。,You acquire knowledge from books.
とにかく,anyhow-regardless,とにかく早く始めよう。,"Anyhow, let's get started."
選ぶ,choose-select,抽選で当選者を選ぶ。,The winner will be selected by lottery.
面白い,interesting,コメディ映画は面白い。,Comedy movies are amusing.
戻る,return-turn back,道を間違ったので元に戻る。,"Since I have taken a wrong turn, I am returning to the start."
含む,contain-include,このケーキにはグルテンが含まれている。,This cake contains gluten.
地域,area-region,この地域では伝統的な祭りがある。,There is a traditional festival in this region.
我が,my-our-one’s own,我が家では犬を飼っています,I have a dog in my house.
どうしても,by all means-no matter what,どうしても仕上げないといけないことがある。,"I have something I need to complete, no matter what."
のに,"although, in spite of",気を付けたのに、また間違えた。,"I made a mistake again, although I was being very careful."
娘,my,娘 に着物を買う。,I am buying a kimono for my daughter.
見せる,show-display,新しい車を見せる。,I will show you my new car.
一日,one day,一 日ですべてのテストを受けなければならない。,You must take all the tests in one day.
今年,this year,今年は日本語を勉強します。,I will study Japanese this year.
平成,heisei era,平 成の時代は経済が停 滞した。,The economy stagnated during the Heisei era.
図,drawing-diagram-figure,参考資料の図をご覧ください。,Please see the diagram in the reference material.
紹介,introduction-referral,友達に彼を紹介してもらった。,My friend introduced me to him.
合わせる,match-join together,靴下の右と左を合わせる。,Match the right and left socks.
安い,cheap-inexpensive,安いチケットが手にはいった。,I got a cheap ticket.
夢,dream,私には大きな夢があります。,I have a big dream.
つらい,"hard, heart-breaking",二日酔いで、つらい。,I am having a hard time with a hangover.
規定,regulation-provision-rule,規定によって、赤ちゃんはジェットコースターに乗れない。,"According to the rules, infants are not allowed on the roller coasters."
どちら,which direction-where-which one,どちらの道が正しいかわからない。,I’m not sure which is the right way.
中心,center-core,世界の中心はどこだろうか。,I wonder where the center of the world is.
起こる,occur-happen,次から次へと問題が起こる。,Problems occur one after another.
我々,we-our-us,我 々の先祖はどこから来たのだろう。,Where did our ancestors come from?
おる,be-exist,私はまだここにおります。,I am still here.
活動,action-activity,週末はボランティア活動をする。,I participate in volunteer activities on weekends.
不安,anxiety-insecurity,余震に不安があります。,I have anxiety about the aftershocks.
三十分,thirty minutes,三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.
限り,limit-extent,クラスの人 数には限りがあります。,There is a limit to the class size.
いらっしゃる,go-be,先 生がもうすぐいらっしゃる。,Our teacher will be here soon.
致す,to do,その仕事は、私が致します。,I would like to do that task.
着く,arrive-sit on,十一時までに着く予定だ。,I expect to arrive by eleven o’clock.
厳しい,severe-strict,私の学 校は規則が厳しい 。,My school has strict rules.
女の子,girl,女の子の服を買うのは楽しい。,It’s fun to shop for girls’ clothes.
パソコン,personal computer,デスクトップのパソコンを買か った。,I bought a desktop computer.
おる,be-exist,私 はまだここにおります。,I am still here.
活動,action-activity,週末はボランティア活動をする。,I participate in volunteer activities on weekends.
不安,anxiety-insecurity,余震に不安があります。,I have anxiety about the aftershocks.
三十分,thirty minutes,三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.
限り,limit-extent,クラスの人数には限りがあります。,There is a limit to the class size.
いらっしゃる,go-be,先 生がもうすぐいらっしゃる。,Our teacher will be here soon.
可能,potential-feasible,この計画は可能ですか。,Is this plan feasible?
可愛い,"cute, adorable",私 の子犬は可愛いです。,My puppy is adorable.
際,when-in case of-on the occasion of,部屋に入る際は靴を脱いでください。,Please remove your shoes when you enter the room.
途中,on the way-en route,まだ道の途中です。,I am still on my way.
研究,study-research,遺伝子の研究が進歩する。,Progress has been made in genetic research.
様子,state of affairs-situation,様子を見にいこう。,Let’s go check the situation.
ものすごい,terrible,今年はものすごい台風が来ました。,We had terrible typhoons this year.
合う,fit-match-unite,そのサンダルはドレスによく合う。,The sandals suit the dress well.
済む,finish-completed,歯の治 療が一 回で済む。,My dental treatment will be completed in just one visit.
通る,go by-pass through,この細い道を通る時は気をつけて。,Be careful when you pass through this lane.
大人,adult,大人2枚、子供1枚のチケットを買う。,Purchase tickets for two adults and one child.
期待,expectation-anticipation,彼は昇進への高い期待を持っている。,He has high expectations for a promotion.
事実,fact-truth-reality,事実はそのうち明らかになる。,The truth will come to light soon.
せい,resulting from-because of,天気のせいで、延期になった。,It was postponed because of the weather.
一年,one year,一年で日本語が上手になった。,My Japanese has improved a lot in one year.
一体,what on earth-what the heck,それは一体何。,What on earth is that?
島,island,日本には小さな島が多くあります。,There are many small islands in Japan.
描く,draw-paint-sketch,想 像で絵を描く。,I draw using my imagination.
驚く,surprised-astonished,物音に驚く。,I am surprised by the noise.
動物,animal,動 物 園で動 物を見るのが好きです。,I like watching animals at the zoo.
何度,how many times,週に何度買い物をしますか。,How many times a week do you go shopping? 
元々,originally-by nature,私は元々料理が好きじゃない。,"By nature, cooking is not my thing."
素晴らしい,wonderful-splendid,素晴らしいミュージカルだった。,The musical was wonderful.
座る,sit,ヨガの座るポーズは瞑 想にいい。,Yoga’s sitting pose is good for meditation.
定める,decide-furnish,町 内 会の決まりを定める,We decide on the rules for the neighborhood association.
機会,chance-opportunity,これは町に貢献する素晴らしい機会だ。,This is a good opportunity to make a contribution to the town.
楽しみ,enjoyment-look forward to,孫が生まれるのが楽しみだ。,I am looking forward to having a grandchild.
考え,thought-opinion-idea,君と僕の考えは違う,We have different ideas.
信じる,believe-trust,君の話を信じる。,I believe your story.
たまたま,by chance-accidentally,たまたま抽選に当たった。,I won the lottery by chance.
古い,old-obsolete,そのネットワークシステムは古いです。,The network system is obsolete.
面,face-mask,夏祭りでお面を買った。,I bought a mask at a summer festival.
さ,suffix-ness,その子猫は可愛さが違う。,The cuteness of this kitten is unique.
三月,march,三 月にはひな祭りがある。,The Hinamatsuri festival is in March.
ただし,however-provided that,ただし、暗くなる前に帰ること。,Provided that you return before dusk.
常,always-usually,常に子供の健康に気をつける。,Always take care of your child’s health.
つもり,intention,そんなつもりではなかった。,That was not my intention.
考え方,way of thinking,違う考え方を知るのはいいことだ。,It’s good to be aware of different ways of thinking.
ニュース,news,テレビで地震のニュースを見た。,I watched the news about the earthquake on TV.
意識,consciousness-awareness,安全への意識を高める,Promote safety awareness.
元,origin-source,発明の元は失敗にあった。,The origin of the invention was in a failure.
行動,action-behavior,大人と子供の行 動は違う。,The behaviors of adults and children are different.
低い,low,今日は気温が低い。,The temperature is low today.
びっくり,surprised,知らせにびっくりした。,I was surprised by the news.
作り方,way of making-recipe,パンケーキの作り方が箱に書いてある。,A pancake recipe is on the box.
元気,lively-energetic-well,あなたが元気でありますように。,I wish you well.
現れる,appear,雲の合間に虹が現れる。,A rainbow appears between the clouds.
聞こえる,heard-audible-can hear,鳥の鳴き声が聞こえる。,I can hear birds sing.
曲,song-music,ジャズの曲が流れているカフェが好きだ。,I like cafes with Jazz music.
過去,the past,過去について話をするのはやめよう。,Let’s not talk about the past.
やっと,finally-at last,やっとにきびがきれいになった。,My acne has finally cleared up.
思える,seem-appear likely,それは夢のように思える。,It seems like a dream.
明らか,obvious-evident,これは明らかな間違いだ。,This is an obvious mistake.
つつ,while,前の単元の復習をしつつ、新しい単元も学習しよう。,Let’s learn the new chapter while reviewing the last chapter.
土地,lot-soil-locality,この土地は 昔 は田んぼだった。,This lot used to be a rice field.
振り返る,look back-turn around,たまには過去を振り返るのもよい。,"Sometimes, it’s good to look back on the past."
初め,beginning-first,初めての時は誰でも不安だ。,Everyone is anxious when it is the first time.
評価,evaluation-assessment,厳しい評 価を受けた。,I received a hard assessment.
息子,son,息子がもうすぐ二十歳になります。,My son is turning twenty years old soon.
限る,limited-restricted,このゴルフコースの使用は会員に限る。,Use of this golf course is limited to members.
似る,"resemble, be similar",子供は親に似るものだ。,Children resemble their parents.
悲しい,sad-sorrowful,愛犬が死んでしまって悲しい。,I am saddened by the death of my pet dog.
雨,rain,昨日の夜からの雨で水たまりができている。,The rain from last night has made puddles.
自分達,ourselves,キャンプでは食べ物を自分達で作ろう。,Let’s make the food at camp ourselves.
詳しい,detailed,詳しい情報はネットで調べよう,Search for detailed information on the Internet.
二十一世紀,twenty-first century,二十一世紀にはテクノロジーが進むだろう。,Technologies will advance in the 21st century.
ひどい,cruel-severe-extreme,今日は頭痛がひどい。,I have a severe headache today.
昨日,yesterday,昨日は飲みすぎた。,I had too much drink yesterday.
下りる,descend-go down-get off,急な階段を下りる。,Go down the steep stairs.
メール,email,一 日に百件以 上のメールが届く。,I get more than one hundred emails a day.
喜ぶ,delighted,孫がおもちゃに喜ぶ 。,My grandchild is delighted with the toys.
便利,convenient-handy,駅にコンビニがあるのは便利だ。,It is convenient having a convenience store in the station.
迎える,meet-welcome-approach,門のところでお客様を迎える。,I welcome my guest at the gate.
不思議,wonderful-mysterious,不思議な偶然が続く。,Mysterious  coincidences continued to happen.
茶,tea,おちゃ茶はあつ熱いうちがおいしい。,Tea  is at its best when it’s still hot.
直接,direct-firsthand,わからないことは直接聞いた方がいい。,If you don’t know you should ask  directly.
バス,bus,駅までバスに乗る。,I take the  bus  to the station.
効果,effect,薬の効果が現れるまで二週間かかる。,It will take two weeks for the medicine to have an  effect.
現実,reality,現実は理想とは違う。,Reality  can be different from expectation.
触れる,touch-experience,赤ちゃんの肌に触れる。,Touch  the baby’s skin.
飼う,raise-own,番犬を飼う。,I  own  a guard dog.
しゃべる,talk-chat,クラシック音楽のコンサートではしゃべることは禁じられている。,You are not allowed to  talk  during classical music concerts.
国民,citizen,外務省は国民を保護しています。,The Ministry of Foreign Affairs aims to protect  Japanese  citizens.
さす,shine-pour-put,朝日が窓からさす。,The morning sun  shines  off the window.
やり方,method-way,会社のやり方には納得いかない。,I don’t get the  way  this company works.
ずいぶん,considerably-surprisingly,ずいぶん大きなくまのぬいぐるみだね。,What a  surprisingly  big stuffed bear.
日本語,japanese language,日本語にもいろいろな方言がある。,There are many dialects in  Japanese.
十月,october,十月にはハロウィーンがある。,We have Halloween in  October.
気分,feeling-mood,気分転換に散歩にいこう。,Let’s take a walk for a change of  mood.
機能,function-capability,高い機能のタブレットを持っている。,I have a tablet with high-level functionality.
ボール,ball,ボールで遊んではいけない公園がある。,Some playgrounds do not allow you to play with balls.
少年,boy-juvenile,彼らはボーイスカウトの少年たちだ。,Those boys are in the Boy Scouts.
方向,direction,方 向がわからなくなってしまった。,I lost my sense of direction.
遅い,late-slow,今朝は遅いスタートだ。,We have a late start this morning.
資料,document-material,大事な資料を失くして怒られる。,I will get in trouble for losing this important document.
タイプ,type,彼女は僕の好みのタイプではない。,She is not my type.
扱う,deal with-handle,割れ物は丁寧に扱う。,We should handle fragile items with care.
指摘,point out-indicate,間違いを指摘する,Point out any errors.
ヨーロッパ,europe,ヨーロッパは人気の旅行先です。,Europe is a popular travel destination.
除く,remove-get rid of,虫歯を治 療で取り除く。,Cavities can be removed by the dentist.
それら,those-these-they,それらはセール商品です。,Those are on sale.
ご存知,knowing,はやりの特 殊 詐欺についてご存知ですか。,Do you know about a particular fraud that is going around?
意外,unexpected-surprising,意外な事実がわかった。,A surprising fact has been revealed.
一週間,one week,出張 から一 週間で戻ります。,I will return from a business trip in one week.
何回,how many times,パスワードは何回まで入力できますか。,How many times can I enter my password?
政府,government,これは政府が後援する事業です。,This is a government-sponsored project.
分ける,divide-classify,生徒をレベルで分ける。,Divide students by level.
計画,plan-schedule,計画 通りに進んでいます。,It is going according to plan.
段階,stage-phase,これはまだ計画段階です。,This is still in the planning stage.
量,"quantity-volume, amount",量よりも質が大事です。,Quality is more important than quantity.
田舎,countryside-one’s hometown,田舎に引退したいと思います。,I would like to retire to the countryside.
感動,impressed-moved,パラリンピックに感動した。,I was moved by the Paralympics.
スポーツ,sport,健康のためにスポーツをするべきだ。,I should play some sports for my health.
感覚,sense-feeling,寒さで指の感覚がなくなった。,I have no feeling in my fingers.
地元,local-local area,地元の人気のレストランに行きたい。,I want to go to a popular local restaurant.
勝手,at one's convenience,妻が勝手に高い物を買った。,My wife went out and made a large purchase without consulting me.
さすが,as one would expect,さすが彼はリーダーシップがある。,"As one would expect, he has leadership abilities."
寂しい,lonely-lonesome,一人暮らしは寂しい。,I feel lonely living alone.
再び,again-once more,再び挑戦したい。,I want to try it again.
効く,act-work-effective,この 薬はよく効く。,This medicine works well.
勤める,employed-work for,金融企業に勤める。,I work for a financial company.
息,breath,寒いので息が白く見えます。,I can see my breath when it’s cold.
伝わる,spread-descend-communicate,間違った情報が伝わる。,Incorrect information will be relayed.
撮影,shooting-filming,映画の撮 影が行われた。,A movie was being filmed.
指導,guidance-coaching-leadership,カウンセラーの指導を受ける。,I am getting guidance from a counselor.
生かす,keep alive-make use of,仕事に自分のスキルを生かす。,Make good use of your skills at work.
韓国,south korea,韓 国の焼肉はおいしい。,Korean yakiniku is delicious.
字,character-handwriting,字はきれいに書きなさい。,Write your characters neatly.
指定,designate-appoint,指定の席につく。,Take your designated seat.
経営,management-operation,彼は会 社の経営陣です。,He is a management team member of the company.
あらゆる,every,あらゆる可能な解決方法を検討してください。,Consider every possible solution.
価値,value-worth,値段と価値は同じではない。,Price and value are not the same.
東京都,tokyo city,東 京 都は日本の首都です,Tokyo is the capital of Japan.
弾く,play musical instrument,コンクールでバイオリンを弾く。,I will play the violin at the competition.
自宅,one's home-house,今夜は自宅に帰りません。,I am not returning home tonight.
腹,belly-stomach,お父さんはビール腹です。,My father has a beer belly.
喜び,pleasure-delight,喜 びでいっぱいです。,I am filled with pleasure.
しょうがない,can’t be helped-inevitable,彼の遅刻する癖はしょうがない。,He can’t help his habit of being late.
しようがない,can’t be helped-inevitable,それはしようがない問題だ。,It is an unavoidable problem.
風呂,bath,朝のお風呂が好きです,I like taking a bath in the morning.
香り,smell-scent,森の香りの風呂が好きです。,I like the forest-scented bath.
スキー,ski,スキーのゴーグルを買った。,I bought a pair of ski googles.
構う,mind-care about,小さな子供達を構う。,Care about the small children.
米国,united states,米国から牛肉を輸入する。,Import beef from the United States.
周囲,surroundings-around you,周 囲の人の意見を聞く。,Listen to the opinion of the people around you.
伺う,ask-inquire,詳しい話を伺う。,I asked for more information.
引っ越す,move residence,仕事のために引っ越す。,We are moving for work.
二十年,twenty years,バブル後の二十年は経済的に失われた。,Economic growth stagnated for twenty years after the bubble.
たまる,collect-accumulate,お店のポイントがたまる。,My store points are accumulating.
精神的,mental-spiritual,家族が精 神 的な支えになっています。,My family provides spiritual support to me.
中学校,middle school-junior high school,中学校は高校の隣にある。,My middle school is next to the high school.
仲良く,friendly-get along,クラスメートとは仲良くしなさい。,Be friendly to your classmates.
言い方,way of saying,言い方に気をつけなさい。,Be careful of the way you say things.
バランス,balance,ヨガでバランスボールに座るのが好きです,I like sitting on a balance ball at yoga.
五年,five years,この会 社で働き始めてもう五年になる。,It’s been five years since I began working for this company.
安定,stability,新しいバージョンでは安定性が向上しています。,The new version has improved stability.
完成,completion,家の完成が待ちきれない。,I can’t wait for completion of our new house.
我が家,one's house,我が家は角にあります。,Our house is on the corner of the block.
見かける,see,時々、駅で友達を見かける。,"Sometimes, I see my friends at the station."
広げる,spread-expand,ピクニックシートを広げる。,I will spread out a picnic blanket.
参考,reference,参考になる資料をさがす。,I am looking for some reference material.
たとえ,even if,たとえ勝てなくても、ゲームに参加する。,"Even if you can’t win, join the game."
受け取る,get-accept-receive,隣の人への荷物を受け取る。,I receive packages for the next-door neighbor.
冷たい,cold,冬は北風が冷たい。,The north wind is cold in winter.
盛ん,popular-prosperous,この街では漁業が盛んです。,This town is a prosperous fishing town.
急ぐ,hurry-rush,帰宅を急ぐ。,I am hurrying home.
ともかく,anyhow-anyway,ともかく、うまく行った。,"Anyway, it went well."
犯人,offender-criminal,犯人がつかまった。,The criminal was caught.
熱,heat-fever,風邪で熱がある,I have a fever from a cold.
犯罪,crime,ネット犯 罪が増えている。,Internet crime is on the rise.
批判,criticism-judgement,芸術作品は批判の対象です。,Fine artwork is subject to criticism.
出発,departure,飛行機の出発の時間が遅れる。,Departure of the flight will be delayed.
遊び,playing-play,ごっこ遊びは幼児期に重要だ。,Pretend play is important in early childhood.
教師,teacher,数 学の教 師になりたい。,I want to be a math teacher.
横浜,yokohama,横浜で観覧車に乗った。,We rode a Ferris wheel in Yokohama.
脳,brain,脳に刺激を与える。,Stimulate your brain.
レストラン,restaurant,新 しいフレンチのレストランに行こう。,Let’s try the new French restaurant.
そろそろ,soon-any time now,そろそろ出かけないと遅れるよ。,"Leave soon, or you will be late."
けが,injury-hurt,けがのために一ヵ月仕事を休みました。,I took a month off work due to an injury.
兄弟,siblings-brothers,兄弟が三人います。,I have three brothers.
楽器,musical instrument,楽器を習いたい。,I would like to learn how to play a musical instrument.
保つ,keep-preserve-maintain,部屋の温度を保つ。,Keep the room temperature steady.
自動車,automobile-car,自動車産業は自動運転システムを開発している。,The automobile industry is developing self-driving systems.
ほんの,just-mere-only,最 近ほんの少し暖かくなった。,It has gotten just a little warmer lately.
住所,address,宛先の住所を教えてください。,Please provide your mailing address.
平気,calmness-composure-unconcerned,迷子になっても彼は平気だった。,"Even when he was lost, he looked unconcerned."
コース,course,ゴルフのコースを回る。,Go around the golf course.
訪ねる,visit,昔の友達を訪ねる。,I am visiting my old friends.
鍵,key-lock,また家の鍵を無くしてしまった。,I lost my house key again.
世界中,around the world,世界中の人々と友 達になりたい。,I want to make friends with people from around the world.
下手,unskillful-poor-clumsy,彼は掃除が下手だ。,He is poor at cleaning.
詩,poem,日記の代わりに詩を書く。,I write poems instead of a daily journal.
経過,passage-progress,手 術 後の経過はどうですか,How is his progress after the surgery?
整える,put in order-adjust-prepare,客室を整える。,Prepare the guest room.
ツアー,tour,バスツアーで奈良に行きます。,We are going on a bus tour to Nara.
西,west,太 陽は西に沈む。,The sun sets in the west.
事項,"matter-item, facts",質問事項をまとめる。,Summarize the items being questioned.
塾,cram school,放課後に塾に通っています。,I go to a cram school after my regular school.
去る,leave-go away-pass,今の会 社を去ることにした。,I have decided to leave the company.
五人,five people,五人が夕食の席に一緒に座りました。,Five people sat together at the dinner table.
入り口,entrance,入り口はどこですか。,Where is the entrance?
ふりをする,act like-pretend,日本人のふりをしました。,I pretended to be Japanese.
ふりをする,"to act like, to pretend",日本語が分からないふりをしました。,I pretended not to understand Japanese.
ふりをする,"to act like, to pretend",もう若いふりができません。,I can't pretend to be young anymore.
から~にかけて,from~up to-approximate range,この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.
から~にかけて,from~up to-approximate range,台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,"Due to the typhoon, it rained heavily from last night to this morning."
だらけ,full of-covered all over with,数学の答案は間違いだらけだった。,My math answer sheet was full of mistakes.
だらけ,full of-covered all over with,山頂までの道は石ころだらけだ。,The path to the summit was strewn with stones.
おかげ,thanks to,医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, the average life expectancy has increased."
あいだ,throughout the time-during,わたしは夏の間ずっと北海道にいました。,I've been in Hokkaido all summer.
あいだに,during-when,夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.
あげく,after all-in the end,長時間にわたる議論のあげく結論は先送りされた。,"After a long discussion, the conclusion was postponed."
あげる,give,先生の受賞のお祝いに何かさしあげましょうよ。,Why don't we give you something to celebrate your award?
あっての,comprised of,愛あっての結婚生活だ。,Love is what makes a marriage work.
後で,after-afterwards,食事の後で少し散歩しませんか。,Why don't we take a short walk after dinner?
あまり,not very-not much,合格の知らせを聞いて彼女はうれしさのあまり泣き出した。,She was so happy when she heard the news that she had passed the exam that she started to cry.
あまりの~に,due to not very-due to excessive,あまりの大変さに時々会社を辞めたくなる。,"It's so hard, sometimes I feel like quitting the company."
いかんで,in accordance with-depending on,商品の説明のし方いかんで売れ行きに大きく差が出てきてしまう。,The way you explain a product can make a big difference in its sales.
いかんでは,in case of-in accordance with-depending on,本の売れ行きいかんではすぐに増刷ということもあるでしょう。,"Depending on how well the book sells, there may be an immediate reprint."
いかんにかかわらず,regardless of,この区では場所のいかんにかかわらず路上喫煙は禁止です。,"Smoking on the street is prohibited in this ward, regardless of the location."
いかんによらず,regardless of-doesn’t depend on whether,進行状況のいかんによらず中間報告を提出してください。,Please submit an interim report regardless of the progress.
身内,relative,身内に医者がいるとなんかと安心だ。,It's a relief to have a doctor as a relative.
肉親,immediate family-blood relative,彼女は肉親の一人を失った。,She had lost one of her immediate family members.
頑丈,solid-firm-sturdy,この机は頑丈に出来ている。,This desk is solidly built.
ようなら,if it looks,明日お天気がよいようなら、ハイキングにいけませんか。,"If the weather is going to be good tomorrow, shall we go hiking?"
ようだったら,if it looks,遅れるようだったら、おでんわください。,"If you are going to be late, please call."
のような,something like,6月が来たばかりなのに真夏のような暑さだ。,"Although June has only just begun, it is hot like midsummer."
ような,something like,会場は割れるような拍手に渦につつまれた,The grounds were engulfed by tumultuous applause.
無言,silence-muteness,彼女の悲しみは無言でこぼす涙になって表れた。,Her sorrow found expression in silent tears.
異常,strangeness-abnormality-disorder,彼女の異常なふるまいから何を推測しますか。,What do you infer from her strange behavior?
責任,duty-responsibility,誰にその事故の責任があるのか。,Who is to blame for the accident?
苦労,trouble-hardship-difficulty-labour,だれでも苦労の無い生活を望んでいる。,Every one wants to live free from care.
一歩,"a step, level, stage",一歩でも動いてごらん、崖から落ちてしまうよ。,"A single step, and you will fall over the cliff."
品,article-item-goods-stock,この品の税金分はむこうでお支払い下さい。,Please pay the tax on the items over there.
殴る,strike-hit-beat,彼は荒々しいサッカーの試合の間、鉄の棒で殴られた。,He was beaten with an iron rod during a violent soccer match.
勤める,work for- employed,彼女は商事会社に勤めている。,She is employed in a trading company.
女中,maid-hostess,その劇で彼女は女中と女店員との二役を努めた。,In the play she doubled the parts of a maid and shop girl.
悟る,perceive-sense-discern,そのときになって初めて私は自分の誤りを悟った。,It was not until then that I realized my mistake.
役者,actor-actress,この役者のことはいままで聞いたことがない。,I've never heard of this actor.
データ,data-datum,天気の予報は過去のデータに基づいて行われる。,"The weather is forecast, using the past data as a basis."
素人,amateur-layman-ordinary person,彼はしろうとの庭師だが、彼の育てる花は美しい。,"He is an amateur gardener, but his flowers are beautiful."
蝶,butterfly,少女たちはさながら蝶のように軽やかに踊っていた。,The girls were dancing lightly like so many butterflies.
革命,revolution,革命は新たな時代をもたらした。,The revolution brought in a new era.
洞窟,cavern-cave,私たちはそのまま洞窟の口にボートで突っ込んで行きました。,We plunged into the cave opening on our boat and continued on.
ニコニコ,smilingly-with a friendly grin,写真に写っている人は皆にこにこしている。,Everybody in the picture is smiling.
緑色,green-emerald green,緑色である事がその種のりんごの特徴なのです。,A green color is a characteristic of that type of apple.
チェック,check-checkered,少女は自転車の後部をチェックしている。,The girl is checking out the rear of the bicycle.
湿る,damped-moist,太陽と湿った気候が熱帯雨林を作った。,The sun and a damp climate made the tropical rainforest.
仲良く,good terms with-getting along well,私たちは隣近所とは仲良くしている。,We get on well with our neighbors.
ゴール,goal-basket,彼はボールをゴールに蹴り入れた。,He kicked the ball into the goal.
救急車,ambulance,病人は救急車で病院へ急いで運ばれた。,The sick person was rushed to the hospital in an ambulance.
パトカー,patrol car,私たちはパトカーが全速力で走っているのを見た。,We saw a patrol car running at full speed.
勘弁,pardon-forgiveness,ちょっと勘弁して下さい。,"Give me a break, will you?"
血液,blood,適度な運動は血液の循環を活発にする。,Moderate exercise stimulates the circulation of blood.
赤ちゃん,baby-infant,私は赤ちゃんが目を覚まさないようにつま先で歩いた。,I walked on tiptoes so as not to wake the baby.
そそぐ,pour-sprinkle-flow into,彼女は洗面器に水を注いだ。,She poured water into the basin.
越し,across-over-beyond,彼は眼鏡越しに私をにらみつけた。,He looked sharply at me over his spectacles.
打撃,blow-shock-strike,円高はその会社にとって致命的な打撃だった。,The strong yen was a fatal blow to the company.
承諾,consent-approval-acceptance,私はその計画を承諾することができません。,I cannot approve the project.
脅迫,threat-menace-coercion,彼女は彼の発言を脅迫と解釈した。,She interpreted his remarks as a threat.
転じる,turn-shift-alter,災いを転じて福としなさい。,Turn your misfortune to account.
溝,ditch-drain,彼はその浅い溝を飛び越えた。,He leaped over the shallow ditch.
ランチ,lunch,日時を決めて一緒にランチを食べよう。,Let's set a time and day and have lunch together!
便り,news-tidings-information,便りがないのは良い知らせ。,No news is good news.
花壇,flower bed,花壇のチューリップが咲いている。,The tulips are in bloom in the flower bed.
地形,terrain-topography,地形測量。,A topographical survey.
仕事場,place where one works-working area,彼は仕事場でテーブルを作っているところだ。,He's making a table in his workshop.
出産,childbirth-birth-delivery,彼女は健康な赤ん坊を出産した。,She gave birth to a healthy baby.
おめでとう,congratulations,誕生日おめでとうございます。,Happy birthday!
痛手,serious wound-hard blow,彼の死は我が社にとって大きな痛手であった。,His death was a great loss to our firm.
長女,eldest daughter-first-born daughter,彼は二番目のレストランの経営を、長女にまかせた。,He put his eldest daughter in charge of his second restaurant.
身震い,shivering-trembling,彼女は恐ろしくて身震いした。,She trembled with fear.
交差点,crossing-intersection,あの交差点で何が起こったのか。,What happened at that crossing?
コーラ,cola,ポテトのＬを１つ、コーラのＭを２つ。,One large fries and two medium cokes.
