Script.Archi,Meaning.Archi,Script.Sushi,Meaning.Sushi,Script.Vision,Meaning.Vision,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
４〜50センチ高い位置にあって,It's 4 to 50 centimeters higher than the living room.,イクラとブルーチーズの握り,Nigiri using blue cheese and salmon roe.,「患者さんに約束してしまったな」と いうのが一番大きかった,"""I made my promise to the patients,"" that was most profound motivation for me",,,,,,,,,,,,,,,,,,
そこで奥さんが作業すると,And when she works there...,マカロンやクッキーも お寿司になり得ます,Even macaroons and cookies can be made into sushi.,それで研究を辞めずに続けようと いう風に思いました,so I decided to continue with my research.,,,,,,,,,,,,,,,,,,
大阪湾から明石大橋までが 一望できている,You can see all the way from Osaka Bay to the Akashi Bridge.,チョコレートや アイスクリームにあう,Wouldn't you think it would be great,もうひとつ良かったのは,Another good thing was that,,,,,,,,,,,,,,,,,,
邪魔者が帰ってきても,Even if someone comes back...,お寿司があっても よくありませんか？,to have sushi that goes well with chocolate or ice cream?,やっぱり大きな声で言っていると,"while I kept voicing this to be heard,",,,,,,,,,,,,,,,,,,
頭越しに風景が楽しめる,You can enjoy the scenery over your head.,それほど お寿司には 未知なる可能性が 秘められているのです,This is just an example of how sushi is filled with infinite possibilities.,「あ こんなことをやっている」と思って,people who empathize,,,,,,,,,,,,,,,,,,
こういう風な状態になりました,This is how it's done.,これまでのお寿司の概念 固定観念を外してみたとき,"By removing the existing stereotypes of sushi,",応援してくれる人が 集まって下さるんですね,would start noticing and gathering around.,,,,,,,,,,,,,,,,,,
これは 旦那なんですよ！,This is her husband!,そこにある無限の可能性に 僕は魅了されています,"we are left with infinite possibilities, and that is what fascinates me.",それによって どれだけ助けられたか分かりません,I cannot express enough how much support I received from that.,,,,,,,,,,,,,,,,,,
僕の常識ではこんなのは 出てきません,My common sense would never come up with something like this.,革新的なお寿司を 創造していく一方で,"On one hand I create innovative sushi,",もうひとつ やっぱりES細胞を使って ずっと治療の研究をしてました,There was another research I was working on with embryonic stem cells.,,,,,,,,,,,,,,,,,,
僕たちはバリアフリーという アタマがありまして,We have a barrier-free mindset.,残していかなければならない 伝統もあります,but there also exists the need to preserve traditions.,「ES細胞なんか使えないよ」っていう人が いっぱいいたんですけれども,"Many people criticized me by saying, ""You cannot use embryonic stem cells""",,,,,,,,,,,,,,,,,,
なかなかこれはできない,It's not easy to do this.,その一つであるのが修行,One of these is training.,それでもやり続けていたから,but I just kept going.,,,,,,,,,,,,,,,,,,
これは旦那が 僕以上にと言うより,He's more than I am.,修行は長く とても辛い道のりですが,Training is a long and very difficult path to go through.,iPS細胞というすごいパスがですね —,"And when an amazing ""pass""",,,,,,,,,,,,,,,,,,
当たり前ですが,Of course.,修行をすることにより お寿司に対する情熱,"However, it is through training that the passion for sushi",突然思いもしない パスが来て,"like the iPS cell unexpectedly came along,",,,,,,,,,,,,,,,,,,
奥さんをよく存じているから こういうことが思いつける,He knows his wife better than I do. That's how he comes up with these things.,道具や器 素材への 理解や想いが生まれます,"and the understanding of tools, dishes, and ingredients are acquired.",そのままの勢いで走り込んだので,I just grabbed it and ran towards the goal.,,,,,,,,,,,,,,,,,,
伴さん キッチン 上げたら良いんじゃない？,Why don't you take the kitchen up?,修行という厳しい世界があるのは 日本ならではのことであり,"This very strict world of training is unique in Japan,",ゴールまで世界最速で達したと いう風に思います,That's how I made the fastest and the first in the world.,,,,,,,,,,,,,,,,,,
あ、たしかにそうやなといって,"I said, ""Yes, that's a good idea.",伝統の一つとして 残されていくものでしょう,and it's something that should be continued and handed down as a tradition.,こうやって信じて 信念のもとにやってきたんですけれども,"I was driven by my conviction like this for years. Then, I want to point out one more important thing.",,,,,,,,,,,,,,,,,,
これができたわけですね,That's how this was done.,また 今後お寿司が どんなに変化したとしても,"In addition, no matter how sushi is modernized, it's important",もう１つ大事なことがあります,"Then, I want to point out one more important thing.",,,,,,,,,,,,,,,,,,
でも建築は眺望だけでは ないんです,But architecture is not only about the view.,日本の伝統や文化,"In addition, no matter how sushi is modernized, it's important to hand down the traditions, cultures, and beauties of Japan.",科学者としては「 疑う」ことです,"We scientists need to be skeptical. We need to ""doubt"".",,,,,,,,,,,,,,,,,,
最初の写真で覚えられているか どうかわかりませんが,I don't know if you remember the first picture.,そして 美しさは 継承していかなければなりません,"to hand down the traditions, cultures, and beauties of Japan.",科学者の習いとしては あらゆることを疑うと,"We scientists need to be skeptical. We need to ""doubt"". Our nature as scientists makes us skeptical of everything;",,,,,,,,,,,,,,,,,,
南っ側には家が一杯建っています,"I don't know if you remember from the first picture, but there are a lot of houses on the south side.",進化し続けるお寿司 例えば海苔,"Evolving sushi; for example, the seaweed, nori.",どんな偉い人が言っても,"how high a person is of his privilege,",,,,,,,,,,,,,,,,,,
でも 一部平屋がある家の,But there's a house that's partly one-story.,日本の伝統的な柄である 江戸小紋の柄を施して 太巻きに,The emblematic pattern design of the Edo period is part of a futomaki roll.,学校の先生が言ってもですね,"or a teacher,",,,,,,,,,,,,,,,,,,
上から右上にちょっと窓がありますが,There's a little window in the upper right corner from the top.,郷土料理の押し寿司も こんな風に,A local sushi dish has become this.,教授が言っても疑う,"or a professor,",,,,,,,,,,,,,,,,,,
南の光も十分採っています,"There is a little window in the upper right corner from the top of the house, but it lets in a lot of light from the south.",こちらはちらし寿司の ウエディングケーキ,This is a chirashizushi wedding cake.,或いは『ネイチャー』の雑誌に載っても 疑う ということがあって,"or it is in reputable academic journals, there is nothing that's a given fact.",,,,,,,,,,,,,,,,,,
建築目的の進化,Evolution of Architectural Purpose,ウニは軍艦巻ではなく 握りで出す,The sea urchin sushi is not wrapped in nori but is a nigiri.,それを続けていると だんだん,"As we continue to be skeptics,",,,,,,,,,,,,,,,,,,
建築目的を 家族と一緒に高めた結果が,The purpose of the building was developed together with the family.,海苔とウニが 喧嘩しないことを考えたり,Thinking about how to keep sea urchins and nori from competing with each other.,ちょっとひねくれた状況にも なってしまう訳ですけれども,"sometimes, the situation could get unfavorable to us,",,,,,,,,,,,,,,,,,,
実は建築のデザインなんですが,"In fact, the architectural design is the result of working together with the family to enhance the purpose of the building.",米粒一つで,With one single grain of rice.,非常に大事なことです,yet this is very important.,,,,,,,,,,,,,,,,,,
この淡路島の家は,This house on Awaji Island,世界一小さいお寿司も,Or about the world's smallest sushi.,その考え方が ちょっと 変わってたのかなっていうのが,There is an episode,,,,,,,,,,,,,,,,,,
少し特徴が環境に偏り過ぎていて,The house on Awaji Island is a little too environmentally oriented.,僕はこれからも お寿司を通じて,I want to continue to embark on a journey,１つエピソードがありまして,"which changed my view about this story,",,,,,,,,,,,,,,,,,,
この図で言うと 先ほどの言葉にもありましたが,"As you can see in the diagram, the relationship between the inside and the outside",世界へ日本文化を 伝えにいく旅を続けたい,"to share Japanese culture to the world through sushi,",うちのラボっていうのは 色んな人がいるんです,We have various types of people in our lab,,,,,,,,,,,,,,,,,,
内外の関係を うまく作ってゆくのが,The relationship between the inside and outside is the key to success.,そして 世界に出て行くことにより,and also hope to use what I have learnt,色んな職種の人がいる —,"doing different things,",,,,,,,,,,,,,,,,,,
建築です,Architecture is to create a good relationship between the inside and the outside.,他国の文化を受け入れ お寿司を進化させたいと思います,from being exposed to other cultures in evolving sushi further.,中に人類学者がいるんですね,among which is an anthropologist.,,,,,,,,,,,,,,,,,,
縦軸に快適性を追求するというのがありますが,"On the vertical axis, there is the pursuit of comfort.",お寿司に秘められた 可能性は無限です,Sushi has infinite possibilities.,その人がフィールドワークを しているんですけど,Her fieldwork is about,,,,,,,,,,,,,,,,,,
これは 気候環境を制御する,This is to control the climate environment.,その 可能性や価値を 生み出してくれる食材,"With the ingredients that will bring out these possibilities,",何をやっているかというと,ecology of researchers in the lab.,,,,,,,,,,,,,,,,,,
つまり 北側の寒さを防ぎながら 北側の眺望を得る,"That is, to prevent the cold on the north side, and at the same time, to get the view on the north side.",日本の伝統や,"with Japanese traditions, and other cultures of the world,",ジャングルで ゴリラの生態を 観察するように,She studies reserchers,,,,,,,,,,,,,,,,,,
出し入れをするということですね 制御するということは,"In and out, in and out, that's what we mean by control.",世界中の様々な文化と 共に冒険し続ける,"with Japanese traditions, and other cultures of the world, I will continue my adventure.",研究所 研究室で 研究員たちの 生態を観察している,like she would observe gorillas in the jungle.,,,,,,,,,,,,,,,,,,
そういうことをちゃんとしないと,"If you don't do those things right, you're not going to get comfort.",そして 秘められた価値に 光を当て,"I hope to shed light on these hidden values,",観察されてるんですけど,So we are observed by her daily.,,,,,,,,,,,,,,,,,,
快適性は得られない,"If you don't get that right, you're not going to get comfort.",形にし 届けたい,"mold them into shape, and deliver them to you.",その彼女があるとき私に言いました,"One day she told me,",,,,,,,,,,,,,,,,,,
左側の大きな窓は,The big window on the left.,人々はまだまだ 秘められたお寿司の 可能性や魅力に気づけていない,People have yet to realize possibilities and attractiveness hidden in sushi.,「高橋先生の考え方 ちょっと違いますよ」 という風に,"""Dr. Takahashi, you have a different way of thinking""",,,,,,,,,,,,,,,,,,
大きいけれども 低くしています,"It's large, but it's low.",新鮮な魚を食すだけでなく,"It's not only about consuming fresh fish,",「え？どういうこと？」って言ったら,"""How is that?""",,,,,,,,,,,,,,,,,,
幅が広いけれども 低くしています,"It's wide, but it's low.",手間暇かけた芸術と 技術の結晶を,but being able to experience the crystallization,普通は 「過去にこういうことをやってきて,"""Normally, people recognize the present state",,,,,,,,,,,,,,,,,,
そうして寒さを防ぐように 頑張ろうとしています,So we're trying to do our best to keep the cold out.,一瞬で堪能する,of painstakingly acquired skills and art in one single moment.,現在があって こういうルールだから,"and current rules created based on what's done in the past,",,,,,,,,,,,,,,,,,,
窓だらけだと 建物が弱くなります,All those windows make the building weak.,その儚さや 瞬間 刹那こそが,"This moment, I believe, is the greatest luxury",未来はこうしよう」 というふうに考えるんだと,"and then decide what to do next.""",,,,,,,,,,,,,,,,,,
斜めに柱が入っています,There's columns at an angle.,お寿司の美学であり 最高の贅沢だと考えます,"one can experience and is essentially, the aesthetics of sushi.",「ところが先生ちょっと違って こうですね」,"""But what you do is like this.""",,,,,,,,,,,,,,,,,,
これは大きな筋交いが入っています,There's a big diagonal brace.,日本という豊かな国に生まれ,I'm lucky to have been born in a well off country like Japan,と絵を描いてくれました,She drew a diagram for me.,,,,,,,,,,,,,,,,,,
そのようなことをしながら,And so on and so forth.,こんにち 寿司職人で いられることは本当に幸せです,I'm lucky to have been born in a well off country like Japan and am truly happy I am able to be a sushi chef.,で 未来っていうのがあって,"""You first set the goal in the future",,,,,,,,,,,,,,,,,,
計算とワイワイガヤガヤ 会話をしながら,We're trying to expand the functionality of the building.,様々なものと融合し,I have embarked on a journey to continue,そこ[へ]到達するためには 何をやるか？」っていう,"then you start planning backwards, making decisions what you should be doing in order to achieve the goal. """,,,,,,,,,,,,,,,,,,
生活機能を広げ,Expanding the functionality of life.,日本 そして世界へ チャレンジし続ける,"to fuse diverse things, challenge Japan and the world,",逆算的に現在を考えてますね」 と言われました,"making decisions what you should be doing in order to achieve the goal. "" ""On top of it, since unexpected things do happen",,,,,,,,,,,,,,,,,,
これが出来上がりました,This is the finished product.,そして 秘められた可能性に 光を当て 形にし,"and hope to continue to shed light on hidden possibilities, shape them,",しかも何が起こるか分からないから,"""On top of it, since unexpected things do happen",,,,,,,,,,,,,,,,,,
ある保育所の打ち合わせです,This is a meeting at a daycare center.,世界中の人に届ける旅を 続けていきたいと思います,and deliver them to people all over the world.,その道筋は色々たくさんあって,that create branches of many scenarios,,,,,,,,,,,,,,,,,,
保育所の打ち合わせでは,At the daycare center meeting.,,,しかもフレキシブル ぐしゃぐしゃです,"and you need to be flexible - ending up in what seems to be a mess.""",,,,,,,,,,,,,,,,,,
保母さんが５人ぐらい出てきて,There are about five nursery school mothers.,,,この話は聞いて 私はすごく納得した —,"I could not agree more - and it occured,",,,,,,,,,,,,,,,,,,
話しながら作っていきますが,And we're working on it as we're talking.,,,[私が]他人と話が合わないのは これか？と,"""Is this why I tend to have awkward conversation?""",,,,,,,,,,,,,,,,,,
もう全部話が終わったかな と思ったときに,"And when I thought we were done talking, we were drinking tea.",,,20年前に「再生医療ができる」って,"Twenty years ago, I envisioned so clearly that",,,,,,,,,,,,,,,,,,
お茶を飲んでいるときに,"When we were having a cup of tea, one of the mothers said",,,私の頭の中では もうはっきり絵があったんですけど,"""regenerative medicine will happen"" while everyone else saying ""not possible"",",,,,,,,,,,,,,,,,,,
ある保母さんが,One of the day-care center mothers said,,,皆んな 「できない」と[言うし],"while everyone else saying ""not possible"",",,,,,,,,,,,,,,,,,,
保育園の悩みは本当はもっと違うところにあるんよ,"One of the day-care center mothers said, ""The problems of the day-care center are really in a different place.",,,「何故かな？」というのが 分からなかったんですけども,which kept me wondering why.,,,,,,,,,,,,,,,,,,
と言って出たのが,"She said, ""You can see it in this space.",,,確かに 未来像を共有していないと,It's true if we do not share a future vision,,,,,,,,,,,,,,,,,,
この空間を見て頂くと わかるんですが,"If you look at this space, you can see...",,,見えてるのは もう現在の ぐちゃぐちゃだけですから,"what we see now is a random current state,",,,,,,,,,,,,,,,,,,
保育室で遊戯ホールで 食事したり遊んだりする所です,It's a play hall where they eat and play in the nursery.,,,「こいつ何言うんだ」 というような扱いを受けてきた,"so, it's no wonder why people did not understand",,,,,,,,,,,,,,,,,,
この広さは 園児の数で決まります,The size of this space is determined by the number of children.,,,しょうがなかったかも知れません,what I was talking about.,,,,,,,,,,,,,,,,,,
園児たちが生活発表会するときには,When the children have their recitals...,,,でもこの考え方で来たから,But I also think that there is a reason my way of thinking,,,,,,,,,,,,,,,,,,
ここに 観客が 実は園児の３倍くらい訪れます,The number of visitors is actually three times as many as the number of children.,,,上手くいったというところもあります,got me to success.,,,,,,,,,,,,,,,,,,
多いところは６倍来ます,Some places have six times as many.,,,なぜかというと,Why? It's because,,,,,,,,,,,,,,,,,,
園児１人に２人のお父さんお母さんが 必ずおられます,There are always two mothers and fathers for every one child.,,,その慎重派と言われる方が,those skeptics were kind enough to,,,,,,,,,,,,,,,,,,
で ひょっとしたら おじいちゃん、おばあちゃんも来られます,And maybe even a grandparent or two.,,,色んなハードルを置いてくださるんですね,place various obstacles for me to clear.,,,,,,,,,,,,,,,,,,
その次に お兄ちゃんが行きたがるんですよね,And then the older brothers want to go.,,,ルールです,"""It's a rule!",,,,,,,,,,,,,,,,,,
自分の妹の発表会に行きたい,They want to go to their sister's recital.,,,この物質は使えません —,"You cannot use this substance - """,,,,,,,,,,,,,,,,,,
お兄ちゃん、お姉ちゃんが来る,And then the older brother or sister will come.,,,ここはダメです あれはダメです,"""You cannot do this, or that.""",,,,,,,,,,,,,,,,,,
下手をするというか 良くすると,And if they're not good...,,,もし 直線だけで考えていたら 多分 途中で止まっていたかも知れない,"If I thought linearly, I might have given up somewhere along the way,",,,,,,,,,,,,,,,,,,
６人が来る ということで,Six of them will come.,,,けれども[道筋を]何本も持っていたし フレキシブルだったので,but I knew I had many choices and was flexible,,,,,,,,,,,,,,,,,,
このホールはいつも満杯で,This hall is always full.,,,まあスイスイと避けてですね,so I dodged like a pro and kept carrying on.,,,,,,,,,,,,,,,,,,
生活発表会のときは一番大変なのーという話になりました,We were talking about how it's the hardest time of the year when it's a recital.,,,一説には あの関西から今日来ましたので,"It is said that in Kansai, where I am from,",,,,,,,,,,,,,,,,,,
そういう話ともう一方で 先ほど言いました,"On the other hand, as I mentioned earlier...",,,「関西人はルールに書いていないことは 全部自由だと思っている 」と言われています,"""people think everything not written in the rulebook is up for them to decide.""",,,,,,,,,,,,,,,,,,
地域との折り合いをつける建築って どうしても要ります,We have to build a building that can live with the local community.,,,まさにその通りで どこに隙間があるかをずっと考えながら,"That's so true, and I always looked for a gap where I can break through",,,,,,,,,,,,,,,,,,
右側にはマンションが建っていて,"On the right side, there's an apartment building.",,,到達したということです,and I got here.,,,,,,,,,,,,,,,,,,
左側には二階建ての住宅が 建っているところで,"On the left, there is a two-story house.",,,こういう風に 最初の１例は,The first case we treated was that of,,,,,,,,,,,,,,,,,,
園庭からの騒音は,Noise from the school yard,,,自分の細胞を使う 「自家移植」というものでした,autotransplantation that uses the patient's own cells.,,,,,,,,,,,,,,,,,,
地域との問題になります,It's a problem with the local community.,,,で「 他家移植」っていうのは それの 延長ではなくて,Allogeneic transplantation is another method,,,,,,,,,,,,,,,,,,
園庭の両サイドに ２列 園舎が建っています,There are two rows of buildings on both sides of the yard.,,,別の線として もう最初から準備していたんですね,we prepared separately from the beginning.,,,,,,,,,,,,,,,,,,
その真ん中に挟まれて 先ほどのホールがあるんですが,"And in the middle, there's the hall that I mentioned earlier.",,,ですので 速やかに他家移植に 移ることができました,This allowed us to move on to allotransplantation smoothly.,,,,,,,,,,,,,,,,,,
これを利用して さっきの話と結びつける,We'll use this to tie in with what I was saying earlier.,,,先日 この次の臨床研究の 記者会見をしまして,"The other day, we had a press conference on this clinical research,",,,,,,,,,,,,,,,,,,
というのが僕たちの仕事になります,That's what we do.,,,ついに第２弾の 臨床研究をすることになりました,and announced the second clinical trial.,,,,,,,,,,,,,,,,,,
これはホール側から見て,This is the view from the hall.,,,この時の人と同じやなと 分かってもらうために,I was wearing the same clothes so that they could spot me in the picture.,,,,,,,,,,,,,,,,,,
右の写真は ウインチでテントが すーっと出て行っているんですね,"In the picture on the right, the tent is being moved out by a winch.",,,同じ服を着てきました,so that they could spot me in the picture.,,,,,,,,,,,,,,,,,,
途中まで来るとそこで ―ウインチは最後まで動くんですが―,"When you get to the halfway point, that's where the winch goes all the way to the end.",,,,,,,,,,,,,,,,,,,,,,
左側の状態にできあがります,"The winch moves all the way to the end, and you can see the tent on the left.",,,,,,,,,,,,,,,,,,,,,,
こうすると 園庭のほぼ半分くらいが 雨に対応できて,"This way, almost half of the yard is rainproof.",,,,,,,,,,,,,,,,,,,,,,
さきほど観客席が超満員になるところを,And the audience seats are going to be filled to overflowing.,,,,,,,,,,,,,,,,,,,,,,
溢れ出した人たちも,And the people who overflowed...,,,,,,,,,,,,,,,,,,,,,,
ここでちゃんと 生活発表会を観れるんですね,So you can watch the recital here.,,,,,,,,,,,,,,,,,,,,,,
ついでにデッキも広くありますが,"In addition, there is a large deck.",,,,,,,,,,,,,,,,,,,,,,
子供も 普通の日でも 雨が降っても,The children can use the yard even on a normal day or when it rains.,,,この治療 第２弾はですね 安全性なんですけども,This second trial is about safety. We are going in full throttle as allied forces to create new therapy,,,,,,,,,,,,,,,,,,
園庭が使える状態になりました,The school yard is now available for use even when it rains.,,,本気で治療を作りに行く —,We are going in full throttle as allied forces to create new therapy,,,,,,,,,,,,,,,,,,
これは 建築目的を お茶飲み時間で深めた結果です,"This is the result of the tea and coffee hour, where we discussed the purpose of the building.",,,連合軍ですね もう世界最強の連合軍で,teaming up with the best in class from around the world.,,,,,,,,,,,,,,,,,,
わざわざ僕が 対話 対話,I went to a lot of trouble to bring up the idea of dialogue.,,,治療にしたいという風に思っています,"With that, we will work very hard.",,,,,,,,,,,,,,,,,,
対話が必要で建築目的を高めようと,I'm just saying that we need to have a dialogue.,,,まあこういう風に 順調に行っているんですけれども,So far so good -,,,,,,,,,,,,,,,,,,
みんなに言っているのは,I'm telling everyone that we need to have a dialogue.,,,それでも再生医療というのは まだまだ 始まったばかりです,Regenerative medicine has just began.,,,,,,,,,,,,,,,,,,
実はうちの夫婦とK夫婦の対応が 全然違うように,I'm actually suggesting that our couple and Mr. and Mrs. K respond to each other in a totally different way.,,,ライト兄弟が 300メートル 飛んだのと同じ状態なので,We are like the Wright brothers just flown 300 meters,,,,,,,,,,,,,,,,,,
個々の関係を踏まえながら,We need to be in dialogue with each other based on the individual relationship.,,,シートベルトを締めて,and it's not like we can expect,,,,,,,,,,,,,,,,,,
僕たちが間に入って対話を 進めていく必要がでてくるので,I'm saying this because it's necessary for us to,,,安全に 何も考えなくても ハワイまで連れて行ってくれると,safe flight all the way to Hawaii buckled up -,,,,,,,,,,,,,,,,,,
言っている訳です,That's why I'm saying this.,,,誰もが治療をして 良い視力になるような 治療になるというのは,It will take some time before everyone can expect a therapy to regain eyesight.,,,,,,,,,,,,,,,,,,
ここの保育所でも,Even here at the day-care center,,,まだまだ時間が かかります,everyone can expect a therapy to regain eyesight.,,,,,,,,,,,,,,,,,,
こんなこと言っても無理ということが,There are a lot of things that are impossible to say,,,それを一番知っているのは 私たちなので,We know that we are doing the best approach.,,,,,,,,,,,,,,,,,,
沢山あっても 対話の席に載ってこなかったが,But we've never been in the dialogue.,,,例えば 網膜色素変性の方の 視細胞移植 —,"For example, the photoreceptor transplantation.",,,,,,,,,,,,,,,,,,
たまたまお茶飲みのときに 出てきた,But it just happened to come up at the tea party.,,,人類初のことだと思いますけど,"This is the first ever therapy human race have succeeded,",,,,,,,,,,,,,,,,,,
というようなことになります,And that's how it happens.,,,治療として考えると 少し わずかに治るだけ,"but as a therapy, it only improves eyesight slightly,",,,,,,,,,,,,,,,,,,
対話が実に必要だという 建築の結果をあらわしています,This is the result of the architecture that dialogue is really necessary.,,,というのを実感している訳ですね,and we know it very well.,,,,,,,,,,,,,,,,,,
そしてこの建築の「内・外」といったら,"And the ""inside and outside"" of this architecture",,,そうしますと 10年前位は すごく悩みました,"Ten years ago, I felt a dilemma",,,,,,,,,,,,,,,,,,
非常に説明しにくい,It's very hard to explain.,,,報道される度に 毎週外来をやってますから,"I would see patients in my weekly outpatient clinic. Some patients learned about the new therapy,",,,,,,,,,,,,,,,,,,
僕が一生懸命説明しようとしても わかりにくいんですが,"I'm trying my best to explain it, but it's hard to understand.",,,目の前に来て — 新聞記事を握りしめて来られる方が,"Some patients learned about the new therapy, and they would come clasping the newspaper in excitement,",,,,,,,,,,,,,,,,,,
実は 人と友達関係みたいなものですね,It's actually like the relationship between people and their friends.,,,まだまだ治療できないとか,then they would go home crying,,,,,,,,,,,,,,,,,,
横軸で俺は俺は俺はという要望を 膨らませていく生活を,I would like to live a life where I can expand my needs on the horizontal axis.,,,あるいは「 そんなに思うほど 見えるようにならないんだ」って知って,learning that the technology,,,,,,,,,,,,,,,,,,
個人としての僕もしたいと思います,I would like to live my life as an individual.,,,泣いて帰っていくんですね,does not yet promise a cure.,,,,,,,,,,,,,,,,,,
ただ 周りにいる友達とか社員とか家族とか,"I want to live my life with my friends, employees, and family around me.",,,すごく辛かったです,This was heartbreaking.,,,,,,,,,,,,,,,,,,
折り合いながら生活をします,"I'm going to live my life while making peace with my friends, employees, and family.",,,これは私は 患者さんが 喜ぶためにやってるのに,"I have been working on regenerative medicine to make patients happy,",,,,,,,,,,,,,,,,,,
俺を出しすぎると うまくいかないというのがあります,"If I put too much of myself out there, it doesn't go well.",,,「再生医療って幸せにつながるのかな？」 という疑問が湧きました,but I began doubting if it was really going to make them happy.,,,,,,,,,,,,,,,,,,
だから折り合いが要ります,So I have to make peace with that.,,,その時にこの言葉を 教えてくれた人がいました,"At that time, someone told me about",,,,,,,,,,,,,,,,,,
それからもう一つ 逆もあります,And one more thing. The opposite is also true.,,,「健全なあきらめ」ということ,"""healthy resignation"" .",,,,,,,,,,,,,,,,,,
周りばっかり気にして あいつなんや？,"I don't like people saying, ""What's wrong with him?",,,どうしても今は 色んなデバイスで,"Now, there are many devices to help impaired vision and patients can still read and write, even if with limited vision.",,,,,,,,,,,,,,,,,,
なんもないやんかといわれるのも嫌です,"I don't want people to say, ""What's he all about?",,,見えにくくても 読み書きできるんですけれども,"and patients can still read and write, even if with limited vision.",,,,,,,,,,,,,,,,,,
ですから建築も人と同じで,That's why architecture is like people.,,,そういう話をしても 全然受けつけない,But some patients are not receptive at all about this idea.,,,,,,,,,,,,,,,,,,
そういうバランスの取れた 内・外の関係で,I think that architecture should be built with a balanced relationship between the inside and the outside.,,,再生医療の話しか聞こえない という人がいっぱいいらっしゃいます,Many want to hear only about the regenerative therapy.,,,,,,,,,,,,,,,,,,
建築を作っていくべきだろう という風に考えています,I believe that architecture should be built with such a balanced relationship between inside and outside.,,,で そこでぶつかって 足踏みをしているんですけども,I keep bumping into the wall.,,,,,,,,,,,,,,,,,,
共同住宅を買うなんていうのは よくある話ですが,It's not uncommon for people to buy apartment houses.,,,その時にはやっぱり 疾患が治らないといけない,This is where we need to recognize that it's not the time yet,,,,,,,,,,,,,,,,,,
これも自分達でつくる建築という人たちがいます,There are people who make their own architecture.,,,見えないといけないっていうのを ちょっとそこは,to expect to be free of the condition,,,,,,,,,,,,,,,,,,
それを僕たちは応援しています,We support them.,,,今のところは あきらめないといけない というところがあります,and to regain full sight.,,,,,,,,,,,,,,,,,,
全然見知らない団地に住んでいる AさんとBさんが,"Mr. A and Ms. B, who live in an apartment complex they don't know at all",,,だけど 全部あきらめてはダメで,But you should not give up everything.,,,,,,,,,,,,,,,,,,
草取り掃除に出たときにちょっと 言葉を交わしたのがきっかけで,"They were out weeding and cleaning, and they exchanged a few words.",,,あきらめない部分というのが 非常に大事です,You need to keep that part you hold on to a hope. This is very important.,,,,,,,,,,,,,,,,,,
グループができて できた住宅です,And that's when the group was formed.,,,今は デバイスが発達しているので,Aiding devices technologies have been progressing.,,,,,,,,,,,,,,,,,,
23人世帯がマンションを 一緒に作りました,Twenty-three households built a condominium together.,,,この若い三宅先生という 眼科医であり産業医の先生は,This Dr. Miyake is an ophthalmologist and an industrial physician,,,,,,,,,,,,,,,,,,
それぞれの要望 それぞれのお金,"Each with their own needs, each with their own money, each with their own family structure.",,,見えにくい人用のiPadの講習会と,"trains people to use iPad and this is intended for both people with severely impaired vision,",,,,,,,,,,,,,,,,,,
それぞれの家族構成 全部違う人たちが集まって,Different family structures. Different people.,,,全く見えない人用の講習会をしています,"both people with severely impaired vision, and for those with blindness.",,,,,,,,,,,,,,,,,,
先ほどのスピーカーの話にあった,As the speaker mentioned earlier...,,,つまり 全く見えなくても,"Because even with blindness,",,,,,,,,,,,,,,,,,,
美しいものはというフレーズが,"I really liked the phrase ""beautiful things"".",,,こういう道具を使えば 読み書きして働けるんですね,you can read and write using these devices.,,,,,,,,,,,,,,,,,,
すごく気に入ったんですけど,I really liked it.,,,だけどそれを知らないために,"It is sad that many people end up quitting their job,",,,,,,,,,,,,,,,,,,
住みやすい建築を作れば,"If you build a livable building, you can live there for 10, 20, 30 years.",,,仕事を辞めてしまう人がいっぱいいる というのを私は知っています,"It is sad that many people end up quitting their job, only because they don't know about such devises.",,,,,,,,,,,,,,,,,,
10年でも20年でも30年でも,"Whether it's 10 years, 20 years, or 30 years.",,,色んなアドバイスをして,"I offer many advices to my patients,",,,,,,,,,,,,,,,,,,
その住空間は生き生きと 引き継がれていきます,the living space will be handed down to the next generation.,,,うちの外来に来て 辛い気持ちをいっぱい聞きます,and they would tell me their sufferings.,,,,,,,,,,,,,,,,,,
この建物も もう15年経ちましたが,This building is now 15 years old.,,,そして泣かれる方が いっぱいいらっしゃる,I saw many patients break down.,,,,,,,,,,,,,,,,,,
これは10年頃の話で,This was around 10 years ago.,,,中にはでも 「思ったほど悪くないんだ」と 未来がですね,"Some cry, for being relieved",,,,,,,,,,,,,,,,,,
横のドアの人も知らなかった人たちが集まって,People who didn't even know the people at the side door got together,,,思って安堵の涙を流してくれる方も いらっしゃいます,to know that it's not going to be as bad as they thought.,,,,,,,,,,,,,,,,,,
このようなお祝いがされています,People who didn't even know the people at the side door get together and have celebrations like this.,,,そういう涙に 私たちは泣きません 仕事ですので,We try to keep composed to patients' tears.,,,,,,,,,,,,,,,,,,
ここの集会所は 現在このように使われていますが,This is how the meeting hall is used now.,,,だけど ひとつ どうしても 辛いことがあるんですね,"But, there is one thing that makes me heartbroken,",,,,,,,,,,,,,,,,,,
