Verbs,Reading,Meaning
強ばる,こわばる,stiffen
さ迷う,さまよう,wander
仕立てる,したてる,tailor
偏る,かたよる,deviate
繰り広げる,くりひろげる,unfold
宿る,やどる,dwell
詰め込む,つめこむ,pack
憚る,はばかる,hesitate
慕う,したう,adore
映し出す,うつしだす,project
放り出す,ほうりだす,throw out
語り合う,かたりあう,talk to each other
飛び上がる,とびあがる,jump up
働き掛ける,はたらきかける,work with
広める,ひろめる,spread
腫れる,はれる,swell
注ぎ込む,つぎこむ,pour
孕む,はらむ,impregnate
引き抜く,ひきぬく,pull out
背く,そむく,turn away
乗り換える,のりかえる,change one's ride
張り付く,はりつく,stick to
乗り切る,のりきる,get over
交じる,まじる,mingle
零れる,こぼれる,spill
生き延びる,いきのびる,survive
飛び降りる,とびおりる,jump off
浸す,ひたす,soak
嫁ぐ,とつぐ,marry
追い払う,おいはらう,get rid of
切り取る,きりとる,cut off
行き着く,いきつく,end up
細める,ほそめる,narrow down
罵る,ののしる,abuse
寛ぐ,くつろぐ,relax
諮る,はかる,consult
擦れ違う,すれちがう,cross paths
顧みる,かえりみる,look back
遣り直す,やりなおす,redo
静める,しずめる,calm
言い返す,いいかえす,reiterate
過る,よぎる,go too far
惚れる,ほれる,fall in love
書き出す,かきだす,write down
揺する,ゆする,shake
苛立つ,いらだつ,be irritated
綴る,つづる,write
賜わる,たまわる,be given
欲する,ほっする,desire
溺れる,おぼれる,drown
佇む,たたずむ,stand
乱す,みだす,disturb
葬る,ほうむる,bury
執る,とる,cling to
見据える,みすえる,focus on
思い起こす,おもいおこす,remember
取り合う,とりあう,take up with
投げ付ける,なげつける,throw
解す,ほぐす,solve
当て嵌める,あてはめる,apply
震わせる,ふるわせる,make tremble
逃す,のがす,let go
畳む,たたむ,fold
差し支える,さしつかえる,hold up
縮める,ちぢめる,shrink
期する,きする,terminate
叩き付ける,たたきつける,strike
害する,がいする,harm
立ち上げる,たちあげる,raise up
集う,つどう,gather
徹する,てっする,devote
包み込む,つつみこむ,encompass
押し出す,おしだす,push out
付き添う,つきそう,accompany
見合う,みあう,see each other
食み出す,はみだす,eat out
如く,ごとく,do the same as
痛める,いためる,hurt
掬う,すくう,scoop up
買い取る,かいとる,buy
清める,きよめる,cleanse
割り切る,わりきる,divide
済ます,すます,finish
引っ繰り返す,ひっくりかえす,repeat
和らげる,やわらげる,relieve
駆け寄る,かけよる,rush to
貯める,ためる,save
引っ掛ける,ひっかける,hook up
盛り込む,もりこむ,incorporate
埋もれる,うずもれる,bury
膨れ上がる,ふくれあがる,swell up
染み込む,しみこむ,soak in
噛み締める,かみしめる,chew
打ち上げる,うちあげる,strike up
仰す,おおす,look up
積み重ねる,つみかさねる,accumulate
威張る,いばる,dignify
濡らす,ぬらす,wet
踏み入れる,ふみいれる,step in
切り開く,きりひらく,cut through
蹲る,うずくまる,crouch
気遣う,きづかう,care for
目掛ける,めがける,look out for
立ち向かう,たちむかう,confront
砕く,くだく,break
積もる,つもる,accumulate
咎める,とがめる,blame
代える,かえる,replace
因む,ちなむ,cause to fall
没する,ぼっする,confiscate
繰る,くる,reel (off)
駆け込む,かけこむ,run into
耽る,ふける,indulge in
処する,しょする,deal with
著わす,あらわす,write
交わる,まじわる,mingle
立ち入る,たちいる,enter
言い掛ける,いいかける,say
省く,はぶく,omit
むかつく,むかつく,offend
散らす,ちらす,disperse
漕ぐ,こぐ,paddle
見捨てる,みすてる,abandon
閉じ籠もる,とじこもる,shut up
宥める,なだめる,appease
飲み干す,のみほす,drink up
携える,たずさえる,carry on one's shoulder
ずらす,ずらす,displace
亡くす,なくす,lose
抱え込む,かかえこむ,hold in one's arms
齧る,かじる,gnaw
閃く,ひらめく,flash
飢える,うえる,starve
生まれ変わる,うまれかわる,be reborn
拝む,おがむ,worship
捕る,とる,catch
略す,りゃくす,abbreviate
揺さぶる,ゆさぶる,shake
延ばす,のばす,extend
掠める,かすめる,snatch
屈める,かがめる,bend
植え付ける,うえつける,plant
仕切る,しきる,divide
動き回る,うごきまわる,move around
封ずる,ふうずる,block
惚ける,ぼける,make someone fall in love with you
放り込む,ほうりこむ,throw in
忍ぶ,しのぶ,endure
奢る,おごる,luxuriate in
冴える,さえる,be clever
聞き出す,ききだす,listen to
庇う,かばう,protect
引き込む,ひきこむ,draw in
換える,かえる,change
寝かせる,ねかせる,put to sleep
飛び付く,とびつく,jump in
詫びる,わびる,apologize
買い換える,かいかえる,buy a new one
区切る,くぎる,separate
背ける,そむける,turn away
吹き飛ぶ,ふきとぶ,blow away
叶える,かなえる,fulfill
射る,いる,shoot
痺れる,しびれる,numb
持ち合わせる,もちあわせる,possess
冒す,おかす,risk
出迎える,でむかえる,greet
巡らす,めぐらす,circulate
賑わう,にぎわう,be crowded
評する,ひょうする,comment on
忍び込む,しのびこむ,sneak in
吊り上げる,つりあげる,hang up
映す,うつす,reflect
浴びせる,あびせる,expose
病む,やむ,make sick
投げ込む,なげこむ,throw into
沈める,しずめる,sink
追い遣る,おいやる,drive away
使い分ける,つかいわける,use differently
散らばる,ちらばる,scatter
通り抜ける,とおりぬける,pass through
寄り添う,よりそう,stay close to each other
噤む,つぐむ,keep silent
空ける,あける,vacate
切り捨てる,きりすてる,cut down
酔っ払う,よっぱらう,get drunk
形作る,かたちづくる,form
濁る,にごる,cloud
断ち切る,たちきる,cut off
配する,はいする,distribute
申し立てる,もうしたてる,plead
長引く,ながびく,lengthen
則る,のっとる,follow
企てる,くわだてる,plan
連ねる,つらねる,link up
準ずる,じゅんずる,conform to
塗れる,まみれる,apply
差し伸べる,さしのべる,extend
推す,おす,push
締め付ける,しめつける,tighten
断ずる,だんずる,cut off
差し引く,さしひく,withhold
巡り会う,めぐりあう,meet
通り掛かる,とおりかかる,pass by
静まり返る,しずまりかえる,be still
服する,ふくする,submit
砕ける,くだける,shatter
入れ替える,いれかえる,replace
逃がす,にがす,let go
巻き付ける,まきつける,wrap around
伝う,つたう,transmit
もてる,もてる,hold on to
気取る,きどる,take hold of
化ける,ばける,transform into
見届ける,みとどける,see
司る,つかさどる,govern
蒸す,むす,steam
従える,したがえる,subdue
攫う,さらう,kidnap
熱する,ねっする,heat
途絶える,とだえる,cease to exist
逸れる,それる,deviate
盛り上げる,もりあげる,enliven
抱き合う,だきあう,embrace
歩み寄る,あゆみよる,walk up to
割り当てる,わりあてる,assign
翳す,かざす,shade
青褪める,あおざめる,pallid
遣わす,つかわす,send
沸く,わく,bring to a boil
持ち掛ける,もちかける,propose
捏ねる,こねる,knead
弾ける,はじける,pop
繰り出す,くりだす,unleash
存する,そんする,exist
考え直す,かんがえなおす,reconsider
連れ出す,つれだす,take out
そそる,そそる,inspire
飛び立つ,とびたつ,take off
阻む,はばむ,prevent
培う,つちかう,cultivate
言い張る,いいはる,insist
洒落る,しゃれる,dress up
運び込む,はこびこむ,carry in
張り上げる,はりあげる,stretch
描き出す,えがきだす,draw
逝く,いく,go
掻き立てる,かきたてる,stir up
見通す,みとおす,see through
脱する,だっする,take off
ぶら下がる,ぶらさがる,dangle
引っ繰り返る,ひっくりかえる,pull over and over
絡み合う,からみあう,entwine
芽生える,めばえる,sprout
決する,けっする,settle
引き渡す,ひきわたす,hand over
聳える,そびえる,rise
耕す,たがやす,cultivate
召し上がる,めしあがる,call up
旅立つ,たびだつ,depart
治める,おさめる,govern
押し掛ける,おしかける,push in
吹き飛ばす,ふきとばす,blow away
取り立てる,とりたてる,take away
凍り付く,こおりつく,freeze
消え去る,きえさる,disappear
抱き付く,だきつく,hold on to
見返す,みかえす,look back
狼狽える,うろたえる,get upset
向き直る,むきなおる,turn around
引き止める,ひきとめる,hold back
思い立つ,おもいたつ,make up your mind
振り掛ける,ふりかける,shake it off
揉める,もめる,make trouble
割り込む,わりこむ,interrupt
追い越す,おいこす,overtake
取り残す,とりのこす,leave behind
思い描く,おもいえがく,imagine
乗ずる,じょうずる,ride
読み返す,よみかえす,read again
剥がれる,はがれる,peel off
見せ付ける,みせつける,show
罰する,ばっする,punish
考え出す,かんがえだす,come up with
患う,わずらう,suffer from
歩き回る,あるきまわる,walk around
見落とす,みおとす,overlook
呼び寄せる,よびよせる,call to mind
思い浮かぶ,おもいうかぶ,come to mind
行き届く,いきとどく,reach
溶け込む,とけこむ,blend in
生まれ育つ,うまれそだつ,be born and grow
灯る,ともる,light up
出会す,でくわす,meet
待ち構える,まちかまえる,lie in wait
黙り込む,だまりこむ,be silent
出回る,でまわる,appear on the scene
馬鹿げる,ばかげる,make fun of
遠ざける,とおざける,keep away
逃げ込む,にげこむ,run away
飛び交う,とびかう,fly away
駆け出す,かけだす,run away
混ざる,まざる,mix
くっ付ける,くっつける,stick together
抜かす,ぬかす,overtake
取り止める,とりやめる,catch up
掛け離れる,かけはなれる,run away from each other
翻す,ひるがえす,change
彩る,いろどる,color
馳せる,はせる,run (a business)
改まる,あらたまる,change
衝く,つく,urge
辞する,じする,resign
擁する,ようする,hold
転がす,ころがす,roll
凹む,へこむ,dent
引き替える,ひきかえる,reverse
裁く,さばく,judge
紛れる,まぎれる,blend
漉す,こす,strain
失せる,うせる,lose
囲う,かこう,surround
覆す,くつがえす,cover
荒らす,あらす,destroy
引き締まる,ひきしまる,tighten
行き詰まる,いきづまる,stall
跳ねる,はねる,bounce
弱める,よわめる,weaken
思い遣る,おもいやる,care
実る,みのる,bear fruit
漲る,みなぎる,pervade
絡める,からめる,entwine
住み着く,すみつく,inhabit
引き下げる,ひきさげる,pull down
噛み付く,かみつく,bite
書き替える,かきかえる,rewrite
極まる,きわまる,become more or less extreme
引っ込む,ひっこむ,withdraw
降り立つ,おりたつ,descend
埋め込む,うめこむ,embed
燥ぐ,はしゃぐ,dry
引き裂く,ひきさく,tear
揺らす,ゆらす,shake
ちぎる,ちぎる,tear
哀れむ,あわれむ,pity
浸ける,つける,soak
温まる,あたたまる,warm
羽織る,はおる,cloak
躓く,つまずく,trip over
突き立つ,つきたつ,stand on tiptoe
戒める,いましめる,admonish
組み替える,くみかえる,recombine
持ち歩く,もちあるく,carry
引き締める,ひきしめる,tighten
燃え上がる,もえあがる,burn
抜き取る,ぬきとる,take out
静まる,しずまる,quieten
透ける,すける,see through
片付く,かたづく,clear away
否む,いなむ,deny
企む,たくらむ,plot
渦巻く,うずまく,swirl
突き上げる,つきあげる,push up
読み上げる,よみあげる,read up
立たす,たたす,stand
触れ合う,ふれあう,touch each other
潤む,うるむ,moisten
見せ掛ける,みせかける,show
有り触れる,ありふれる,be in touch
飛び回る,とびまわる,fly around
下回る,したまわる,go around
沸かす,わかす,boil
投げ捨てる,なげすてる,throw down
揺らぐ,ゆらぐ,waver
陥れる,おとしいれる,fall
霞む,かすむ,haze
受け持つ,うけもつ,accept
慎む,つつしむ,refrain from
群がる,むらがる,swarm
締まる,しまる,be in order
弁える,わきまえる,discriminate
彷徨く,うろつく,wander
纏わり付く,まとわりつく,cling to
垣間見る,かいまみる,catch a glimpse of
摩る,さする,rub
侵す,おかす,invade
立て直す,たてなおす,rebuild
揺る,ゆる,shake
剥き出す,むきだす,expose
見立てる,みたてる,look up
重なり合う,かさなりあう,overlap
取り外す,とりはずす,remove
諭す,さとす,admonish
引き離す,ひきはなす,pull apart
滞る,とどこおる,stagnate
刈る,かる,reap
立ち尽くす,たちつくす,stand still
掠れる,かすれる,snatch
入れ替わる,いれかわる,replace
あてがう,あてがう,apply
仕上がる,しあがる,finish
引き攣る,ひきつる,twitch
しゃがみ込む,しゃがみこむ,crouch
眩む,くらむ,dazzle
擦り付ける,こすりつける,rub against
掻き分ける,かきわける,scrape
跪く,ひざまずく,kneel
見比べる,みくらべる,compare and contrast
薄める,うすめる,dilute
取り締まる,とりしまる,clamp down on
束ねる,たばねる,bind
遠退く,とおのく,move away
授かる,さずかる,be given
突き出る,つきでる,stick out
屈する,くっする,yield
降り注ぐ,ふりそそぐ,pour down
灯す,ともす,light up
靡く,なびく,dominate
指し示す,さししめす,point to
志す,こころざす,aspire to
偽る,いつわる,disguise
恐れ入る,おそれいる,be afraid of
抑え込む,おさえこむ,suppress
滲み出る,にじみでる,ooze
身構える,みがまえる,prepare oneself
年老いる,としおいる,grow old
築き上げる,きずきあげる,build up
書き留める,かきとめる,write down
駆り立てる,かりたてる,impel
尊ぶ,とうとぶ,honor
待たす,またす,make wait
縛り付ける,しばりつける,bind
古びる,ふるびる,grow old
思い詰める,おもいつめる,ponder
宛てる,あてる,address
乾かす,かわかす,dry
ばら蒔く,ばらまく,scatter
損ねる,そこねる,damage
湧き上がる,わきあがる,bring to the surface
引き立てる,ひきたてる,enhance
奏する,そうする,play
暴く,あばく,expose
計り知れる,はかりしれる,measure
容れる,いる,contain
扠置く,さておく,set aside
見過ごす,みすごす,overlook
居合わせる,いあわせる,happen to be present
分かつ,わかつ,share
跳ぶ,とぶ,jump
拾い上げる,ひろいあげる,pick up
弄ぶ,もてあそぶ,play with
導き出す,みちびきだす,derive
まつる,まつる,pine for
取り寄せる,とりよせる,fetch
遣っ付ける,やっつける,finish off​
売り出す,うりだす,market
草臥れる,くたびれる,lie in the grass
滑り込む,すべりこむ,slip into
報いる,むくいる,reward
打ち破る,うちやぶる,break down
煮込む,にこむ,stew
悔やむ,くやむ,regret
呪う,のろう,curse
火照る,ほてる,light a fire
ぶら下げる,ぶらさげる,dangle
詰る,なじる,pack
照らし出す,てらしだす,shine out
口籠もる,くちごもる,shut your mouth
裂ける,さける,split
押し潰す,おしつぶす,crush
持て成す,もてなす,entertain
突き刺す,つきさす,pierce
畏まる,かしこまる,be in awe of
画する,かくする,draw
醸し出す,かもしだす,brew
轟く,とどろく,roar
座する,ざする,sit
吐き捨てる,はきすてる,spit
こびり付く,こびりつく,stick to
飛び散る,とびちる,scatter
引っ掻く,ひっかく,scratch
和らぐ,やわらぐ,relieve
食い込む,くいこむ,bite into
掻き回す,かきまわす,stir up
迎え入れる,むかえいれる,welcome
浮き上がる,うきあがる,float
突き刺さる,つきささる,pierce
遊ばす,あそばす,play
敬う,うやまう,honor
貪る,むさぼる,devour
懲りる,こりる,punish
口説く,くどく,seduce
持ち上がる,もちあがる,lift up
食い止める,くいとめる,hold back
早める,はやめる,hasten
打ち切る,うちきる,discontinue
欺く,あざむく,deceive
根付く,ねづく,take root
押し退ける,おしのける,push away
書き上げる,かきあげる,write up
叩き込む,たたきこむ,beat into shape
言い放つ,いいはなつ,tell someone what to do
窘める,たしなめる,rebuke
呼び止める,よびとめる,call someone out
呼び起こす,よびおこす,invoke
読み込む,よみこむ,read
抉る,えぐる,gouge out
あしらう,あしらう,treat with disdain
奪い取る,うばいとる,take away
口走る,くちばしる,speak
揺れ動く,ゆれうごく,shake
鳴り響く,なりひびく,resound
きらめく,きらめく,sparkle
蒔く,まく,sow
擽る,くすぐる,tickle
思い返す,おもいかえす,recall
透き通る,すきとおる,transparency
波打つ,なみうつ,ripple
熟する,じゅくする,ripen
挙る,こぞる,enumerate
見積もる,みつもる,estimate
言い表わす,いいあらわす,express
持て余す,もてあます,have too much of something
縮む,ふんとう,shrink
甘やかす,あまやかす,spoil
適う,かなう,suit
見習う,みならう,emulate
張り切る,はりきる,be enthusiastic
問い質す,といただす,question
拭き取る,ふきとる,wipe up
見入る,みいる,observe
思い知らす,おもいしらす,make someone aware of
切り裂く,きりさく,cut through
懐く,なつく,hold in one's bosom
取り返す,とりかえす,take back
しゃがむ,しゃがむ,crouch
嵌め込む,はめこむ,set in
擦り抜ける,すりぬける,scrape through
掻き混ぜる,かきまぜる,stir
流れ出す,ながれだす,flow out
振り上げる,ふりあげる,shake out
開き直る,ひらきなおる,reopen
泊める,とめる,stay
引っ込める,ひっこめる,retract
淀む,よどむ,stagnate
怪しむ,あやしむ,be suspicious of
厭う,いとう,dislike
行き交う,いきかう,come and go
引き籠もる,ひきこもる,shut oneself away
申し入れる,もうしいれる,make an offer
立ち込める,たちこめる,enshroud
蠢く,うごめく,wriggle
点ける,つける,turn on
損する,そんする,lose money
錆びる,さびる,rust
見計らう,みはからう,watch for
見破る,みやぶる,see through
入り交じる,いりまじる,mix
植わる,うわる,plant
切り落とす,きりおとす,cut down
傷む,いたむ,damage
跨ぐ,またぐ,step over
のめり込む,のめりこむ,become engulfed in
巻き上げる,まきあげる,roll up
見惚れる,みとれる,admire
言い付ける,いいつける,describe
比する,ひする,compare
思い直す,おもいなおす,look down on
見下す,みくだす,look down on
なぞる,なぞる,trace
掘り出す,ほりだす,dig out
流れ出る,ながれでる,flow out
突き当たる,つきあたる,come to the end of something
言い残す,いいのこす,leave something unsaid
怯む,ひるむ,be frightened
勝ち取る,かちとる,win
役立てる,やくだてる,make use of
締め括る,しめくくる,bring to a close
魅する,みする,charm
軋む,きしむ,creak
問い詰める,といつめる,question
替わる,かわる,replace
晴らす,はらす,clear
生やす,はやす,make alive
惑わす,まどわす,confuse
承る,うけたまわる,accept
横たえる,よこたえる,lay down
嵩む,かさむ,bulk up
舞い上がる,まいあがる,soar
高ぶる,たかぶる,soar
興す,おこす,rise
振り払う,ふりはらう,shake off
移り住む,うつりすむ,move
根差す,ねざす,take root
蹌踉く,よろめく,stagger
押さえ付ける,おさえつける,hold down
紛れ込む,まぎれこむ,blend in
侮る,あなどる,underestimate
長ける,たける,lengthen
上り詰める,のぼりつめる,ascend
念ずる,ねんずる,contemplate
疼く,うずく,tingle
混ぜ合わせる,まぜあわせる,mix
仕込む,しこむ,prepare
合わす,あわす,combine
踏み付ける,ふみつける,trample
戯れる,たわむれる,play with
伸し掛かる,のしかかる,reach out to
振り翳す,ふりかざす,hold aloft
占う,うらなう,divine
張り巡らす,はりめぐらす,stretch out
過ぎ去る,すぎさる,pass away
解き放つ,ときはなつ,unleash
弱まる,よわまる,weaken
せしめる,せしめる,inflict
サボる,さぼる,sabotage
聞き入れる,ききいれる,listen to
負わす,おわす,make them lose
もがく,もがく,struggle
突き進む,つきすすむ,push forward
奏でる,かなでる,play
納まる,おさまる,settle in
居座る,いすわる,stay
報う,むくう,reward
窪む,くぼむ,hollow
寄り掛かる,よりかかる,lean on
張り詰める,はりつめる,stretch out
張り出す,はりだす,stick out
請け負う,うけおう,undertake
引き連れる,ひきつれる,take along with you
押し殺す,おしころす,push to the death
立ち竦む,たちすくむ,stand still
走り去る,はしりさる,run away
駆け巡る,かけめぐる,run around
突き放す,つきはなす,push away
遣り遂げる,やりとげる,accomplish something
剥ぎ取る,はぎとる,strip away
寝そべる,ねそべる,lie down
崩れ落ちる,くずれおちる,collapse
退る,しさる,retreat
憂える,うれえる,be anxious
絡まる,からまる,get entangled
言い渡す,いいわたす,tell someone what to do
仰け反る,のけぞる,turn up
搗く,つく,pound
言い合う,いいあう,argue with each other
弛む,たるむ,relax
吹かす,ふかす,blow
均す,ならす,equalize
研ぐ,とぐ,sharpen
引き下がる,ひきさがる,withdraw
折り畳む,おりたたむ,fold up
漬ける,つける,dip
滴る,したたる,drip
揺るがす,ゆるがす,shake
剥ぐ,はぐ,peel off
凭れる,もたれる,recline
焦げる,こげる,scorch
打ち付ける,うちつける,strike
遅らせる,おくらせる,slow down
汲み取る,くみとる,fetch
廃する,はいする,depose
切り抜ける,きりぬける,cut through
取り直す,とりなおす,redeem
降り懸かる,ふりかかる,come to a standstill
取り去る,とりさる,take away
重ね合わせる,かさねあわせる,overlap
項垂れる,うなだれる,hang down
織る,おる,weave
渇く,かわく,thirst
ときめく,ときめく,flutter
突っ走る,つっぱしる,rush
食する,しょくする,eat
流し込む,ながしこむ,pour
明け暮れる,あけくれる,dawn and dusk
朽ちる,くちる,decay
穿つ,うがつ,pierce
平伏す,ひれふす,lie down
助け合う,たすけあう,help each other
曝け出す,さらけだす,expose
呼び戻す,よびもどす,call back
立ち並ぶ,たちならぶ,stand side by side
書き残す,かきのこす,leave a note
涙ぐむ,なみだぐむ,weep
引き延ばす,ひきのばす,stretch
塗す,まぶす,paint
推し進める,おしすすめる,push forward
炒る,いる,fry
塞がる,ふさがる,block
障る,さわる,obstruct
照る,てる,illuminate
押し上げる,おしあげる,push up
突き詰める,つきつめる,push to the limit
持て囃す,もてはやす,make popular
宿す,やどす,be in one's mind
受かる,うかる,be accepted
貯まる,たまる,accumulate
せがむ,せがむ,urge
遣り過ごす,やりすごす,do too much
打ち消す,うちけす,cancel
縺れる,もつれる,get entangled
甘んずる,あまんずる,take advantage of
駆け上がる,かけあがる,run up
擡げる,もたげる,raise
抱き上げる,だきあげる,pick up
鑑みる,かんがみる,take into account
絞り込む,しぼりこむ,narrow down
焼き付く,やきつく,burn
溜め込む,ためこむ,accumulate
膨れる,ふくれる,swell
洗い流す,あらいながす,wash away
打ち解ける,うちとける,break the ice
諫める,いさめる,admonish
刻み込む,きざみこむ,engrave
流れ落ちる,ながれおちる,flow down
寝込む,ねこむ,go to bed
書き直す,かきなおす,rewrite
飛び越える,とびこえる,jump over
吸い取る,すいとる,suck up
陣取る,じんどる,take up a position
届け出る,とどけでる,report
聞き付ける,ききつける,listen to
絶する,ぜっする,exterminate
押し当てる,おしあてる,press against
笑い掛ける,わらいかける,smile upon
生き返る,いきかえる,come back to life
突き抜ける,つきぬける,break through
切り上げる,きりあげる,cut up
苛む,さいなむ,torment
色褪せる,いろあせる,fade away
売り込む,うりこむ,sell
うねる,うねる,undulate
競い合う,きそいあう,compete with each other
合わせ持つ,あわせもつ,hold together
裏返す,うらがえす,turn inside out
群れる,むれる,flock together
萎える,なえる,wilt
生い茂る,おいしげる,grow lush
繰り上げる,くりあげる,move up
恍ける,とぼける,ecstasy
取り乱す,とりみだす,be distraught
吹き付ける,ふきつける,blow
満ち溢れる,みちあふれる,overflow
倒れ込む,たおれこむ,fall down
通り越す,とおりこす,pass over
決め込む,きめこむ,decide
絞める,しめる,squeeze
考え付く,かんがえつく,come up with
和む,なごむ,be at peace
動ずる,どうずる,move
引き戻す,ひきもどす,draw back
仕組む,しくむ,devise
超す,こす,exceed
印す,しるす,mark
排する,はいする,remove
殺ぐ,そぐ,kill
生ける,いきる,live
しゃぶる,しゃぶる,suck
浮かす,うかす,float
労わる,いたわる,work
駆け抜ける,かけぬける,run through
願い出る,ねがいでる,ask for something
突き落とす,つきおとす,push down
立ちはだかる,たちはだかる,stand in the way
抜き出す,ぬきだす,extract
掘り起こす,ほりおこす,dig up
敷き詰める,しきつめる,lay out
濁す,にごす,make muddy
白ける,しらける,make white
追い返す,おいかえす,turn away
愛し合う,あいしあう,make love
痛め付ける,いためつける,hurt someone
結う,ゆう,unite
迸る,ほとばしる,gush
設える,しつらえる,set up
放り投げる,ほうりなげる,throw
擬える,なぞらえる,imitate
書き記す,かきしるす,write down
くねる,くねる,bend
剥げる,はげる,peel off
仕付ける,しつける,finish
黒ずむ,くろずむ,blacken
思い知る,おもいしる,realize
蹴飛ばす,けとばす,kick away
切り込む,きりこむ,cut into
差し入れる,さしいれる,insert
攀じ登る,よじのぼる,clamber
打ちのめす,うちのめす,knock down
更ける,ふける,rewind
問い返す,といかえす,ask back
見取る,みとる,perceive
分かち合う,わかちあう,share
立ち返る,たちかえる,return
先駆ける,さきがける,pioneer
博する,はくする,expound
ちらつく,ちらつく,flicker
ぼやく,ぼやく,murmur
口ずさむ,くちずさむ,hum
沸き起こる,わきおこる,arise
食い縛る,くいしばる,eat and bind
追い立てる,おいたてる,drive away
主立つ,おもだつ,take the lead
死する,しする,die
崇める,あがめる,worship
組み入れる,くみいれる,incorporate
しゃくる,しゃくる,borrow
乗り取る,のりとる,ride
取り払う,とりはらう,take away
連れ立つ,つれだつ,take away
綻ぶ,ほころぶ,break into pieces
漕ぎ着ける,こぎつける,paddle
執り行なう,とりおこなう,intercede
煮詰める,につめる,boil down
あやす,あやす,cherish
生まれ付く,うまれつく,be born
くすむ,くすむ,diminish
切羽詰まる,せっぱつまる,become impatient
信じ込む,しんじこむ,believe in
事欠く,ことかく,run out of things to do
潜り抜ける,くぐりぬける,slip through the cracks
跳ね上がる,はねあがる,jump up
窮する,きゅうする,be in a tight spot
揺るぐ,ゆるぐ,shake
脱ぎ捨てる,ぬぎすてる,take off one's clothes
たじろぐ,たじろぐ,flinch
取り調べる,とりしらべる,interrogate
撒き散らす,まきちらす,scatter
手間取る,てまどる,take the trouble
鈍る,にぶる,slow down
抱き抱える,だきかかえる,hold in one's arms
絡み付く,からみつく,entangle
飛び乗る,とびのる,jump on
立て籠る,たてこもる,huddle in a room
捜し求める,さがしもとめる,seek out
取り次ぐ,とりつぐ,intercede
因る,よる,cause
赤らめる,あからめる,redden
出し合う,だしあう,come to a decision
思い止まる,おもいとどまる,stop to think
仕舞い込む,しまいこむ,put away
持たす,もたす,give something to someone else
為出かす,しでかす,make a plan
匿う,かくまう,hide
入り組む,いりくむ,be intricate
架ける,かける,build a bridge
連れ込む,つれこむ,bring in
頬張る,ほおばる,chew
喫する,きっする,eat
瀕する,ひんする,be on the verge of
奉ずる,ほうずる,serve
教え込む,おしえこむ,teach
垂れ下がる,たれさがる,hang down
仕向ける,しむける,instruct
割り出す,わりだす,assign
照らし合わせる,てらしあわせる,illuminate
燻る,くすぶる,smoke
羽ばたく,はばたく,flap wings
振り絞る,ふりしぼる,shake out
積み込む,つみこむ,load
差し向ける,さしむける,direct
逸する,いっする,deviate
紡ぐ,つむぐ,spin
攻め込む,せめこむ,attack
掻き毟る,かきむしる,tear down
取り壊す,とりこわす,tear down
仕る,つかまつる,do something about it
聞き流す,ききながす,take no notice of
買い込む,かいこむ,buy into
振り切る,ふりきる,shake off
振り撒く,ふりまく,disperse
切らす,きらす,run out
走り抜ける,はしりぬける,run through
運び出す,はこびだす,carry out
取り仕切る,とりしきる,manage
作り変える,つくりかえる,remake
絞り出す,しぼりだす,squeeze out
進み出る,すすみでる,advance
架かる,かかる,cross over
繰り下げる,くりさげる,defer
老ける,ふける,grow old
飲ます,のます,drink
噛み合う,かみあう,engage in
罹る,かかる,suffer from
打ち殺す,うちころす,beat to death
面食らう,めんくらう,face
掘り下げる,ほりさげる,delve into
鏤める,ちりばめる,inlay
擦れる,すれる,rub
染み付く,しみつく,soak
値切る,ねぎる,bargain
泣き叫ぶ,なきさけぶ,cry out
掻き集める,かきあつめる,collect
逸る,はやる,go astray
償う,つぐなう,compensate
興ずる,きょうずる,make merry
果せる,はたす,fulfill (one's) desire
晦ます,くらます,forget
消え失せる,きえうせる,disappear
色付く,いろづく,color
振り下ろす,ふりおろす,shake down
後ずさる,あとずさる,retreat
付け込む,つけこむ,take advantage of
捌く,さばく,dispose of
罷り通る,まかりとおる,strike through
挽く,ひく,grind
悔いる,くいる,regret
買い求める,かいもとめる,buy
見定める,みさだめる,determine what to do with it
掛け合う,かけあう,negotiate
編み出す,あみだす,knit
嘲る,あざける,ridicule
取り憑く,とりつく,haunt
追い求める,おいもとめる,pursue
煮える,にえる,boil
打ちまける,ぶちまける,strike up a fight
拗ねる,すねる,sulk
乗り継ぐ,のりつぐ,ride over
刺さる,ささる,stick
違える,ちがえる,make a difference
寝転ぶ,ねころぶ,lie down
曲がりくねる,まがりくねる,turn and twist
翻る,ひるがえる,turn
滅ぶ,ほろぶ,perish
貸し出す,かしだす,rent out
建ち並ぶ,たちならぶ,stand in a row
類する,るいする,resemble
捨て去る,すてさる,abandon
減ずる,げんずる,reduce
飛び掛かる,とびかかる,jump on
粘る,ねばる,persist
怠ける,なまける,neglect
踏ん張る,ふんばる,stand firm
冷やかす,ひやかす,cool down
ふらつく,ふらつく,wobble
窶れる,やつれる,be worn out
立ち戻る,たちもどる,get back on one's feet
申し付ける,もうしつける,make an offer
縋り付く,すがりつく,cling to
積み立てる,つみたてる,pile up
突き立てる,つきたてる,thrust
科する,かする,impose
挿す,さす,insert
乗っかる,のっかる,get on top of
蕩ける,とろける,prodigal
平らげる,たいらげる,flatten
怒鳴り付ける,どなりつける,yell at someone
