Expression,Translation
新しい場所を歩いて見て回るのが好きです。,I like to walk around and see new places.
ぜひ、この機会をご利用ください。,Please take advantage of this opportunity.
レジ袋はお使いになりますか。,Would you like to use plastic bags?
お母様はいつもどんな服をお召しになっていますか。,What sort of clothing does your mother generally wear?
いただきます。,Bon appétit.
すみません。 【人に声をかける】,Excuse me.  【calls out to people】
警察を呼んでください!,Please call the police!
お先に失礼します。 【先に帰るときに言う】,Excuse me after you.  【say when you leave first】
世界一周旅行をするのが夢です。,It is my dream to travel around the world.
ご迷惑をおかけして申し訳ありません。,I am sorry for causing you trouble.
明日の朝、 9時に駅に来てもらえる?,Can you meet me at the station tomorrow morning at 9:00 a.m.?
来週のパーティーにはぜひいらしてください。,Please come to the party next week.
今日は予定がありますので...。,I have plans today....
受付はどこですか。,Where is the reception?
少し早めに行くのがいいと思いますよ。,I think it's a good idea to get there a little early.
家まで迎えに行こうか。,Shall I pick you up at home?
無理しちゃダメですよ。,Don't push yourself too hard.
またチャンスがありますよ。,You will have another chance.
あまりよくなかったです。,It wasn't so good.
どうなってるんですか。,What's going on?
予算は、飲み物を入れて一人3500円です。,"My budget is 3,500 yen per person including drinks."
一度行ってみたいです。,I would like to go there once.
はい、あいかわらず元気です。,"Yes, I am fine as usual."
食べるのは早いですよ。,I eat fast.
私が見た中では、「トトロ」が一番おもしろかったです。,"Of all the movies I saw, ""Totoro"" was the most interesting."
あのう、ちょっと質問があるんですが。,"Um, I have a quick question."
富士山に登ってみたいです。,I would like to climb Mt.
日本の貿易会社に勤めている友達を紹介します。,I would like to introduce a friend of mine who works for a Japanese trading company.
これは捨てないでください。,Please don't throw this away.
これ食べません? おいしいですよ。,Would you like to try some? It's delicious.
いつも眼鏡をかけているんですか。いえ、家でははずします。,"Do you always wear glasses? No, I take them off at home."
お仕事は何をしているんですか。・お仕事はなんですか。,What do you do for a living? What do you do?
電話を切ったあと、思い出しました。,"After I hung up the phone, I remembered."
急がないと、締切に遅れてしまいます。,"If I don't hurry, I will miss the deadline."
そこは、そのままにしておいてください。,Please leave it there.
駅から近いし、そんなに高くないし、このホテルでいいと思います。,This hotel is close to the station and not so expensive.
返事は今日でなくてもいいです。明日でいいですよ。,You don't have to reply today. Tomorrow is fine.
彼と話したことがありますか。,Have you talked to him?
英語がわかりますか。,Do you understand English?
どれが一番安いですか。,Which is the cheapest?
ここに何か置いてあるけど、これ何?,What do you have here?
大学に進学しようかどうか迷っています。,I am not sure whether I want to go to college or not.
春になると、桜が咲きますか。,Do cherry blossoms bloom in the spring?
もったいないから捨てないでください。,"Please don't throw it away, it's a waste."
兄が迎えに来てくれました。,My brother came to pick me up.
さっき言ったのに!聞いてなかったの?,I told you earlier! Didn't you hear me?
学生っぽく見えるけど、彼は会社の社長なんです。,"He looks like a student, but he is the president of a company."
ビルさんは、シドニーの出身なんですって。,Bill says he is from Sydney.
あのケーキ、おいしそう。,That cake looks delicious.
面白い人ですね。友達になりたいです。,He's an interesting guy. I'd like to be friends with him.
びっくりさせないでください。,Please don't surprise me.
これから、どちらへいらっしゃいますか。,Where are you going now?
新宿で中央線に乗り換えてください。,Please change to the Chuo Line at Shinjuku.
この道をまっすぐ行ってください。,Please go straight down this street.
金閣寺へはどう行けばいいですか。,How can I get to Kinkakuji Temple?
モーニングコールをお願いしたいんですが。,Can you give me a wake-up call?
お郎み翔はお食事の負でよろしいですか。,"Is Oromi-sho for the meal negative, please?"
 姦したものが来ないんですが。, I haven't received my fornication.
試着できますか。,Can I try on the clothes?
お支払はどうなさいますか。,How would you like to pay?
АВСスーパーの力ードは舞ちですか。,АВСIs the supermarket's wardrobe a mai-chi?
自宅まで送ってもらえますか。,Can you send me home?
痛み止めの薬がほしいんですが。,Can I get some medicine for pain?
吐き気がします。,I feel nauseous.
書留にしてください。,Please send by registered mail.
この書類にご記入ください。,Please fill out this form.
明後日3時に先生の研究室にうかがいます。,I will come to your laboratory at 3:00 the day after tomorrow.
森先生は厳しいから、授業は休めません。,"Mori Sensei is strict, so I can't miss class."
さくら広告に打ち合わせに行ってきます。,I'm going to a meeting with Sakura Advertising.
特に問題はないですか。,Is there any problem?
今日はお招きいただき、ありがとうございました。,Thank you for inviting me today.
今日はちょっと帰りが遅くなります。,I will be home a little late today.
駅から近いほうがいいです。,It would be better to be closer to the station.
家具や電気製品のようなごみは、どうやって捨てるんですか。,How do you dispose of garbage like furniture and electrical appliances?
夜分に申し訳ありません。,Sorry for the late hour.
田中はただ今会議中ですが、 お急ぎでしょうか。,Tanaka is in a meeting right now.
担当の者に代わりますので、少々お待ちください。,Please wait a moment while I put someone in charge.
不在票が入っていたので、再配達をお願いします。,"There was an absentee ballot in the mailbox, so please redeliver it."
先日予約したチケットのキャンセルをお願いしたいのですが。,I would like to cancel the ticket I reserved the other day.
お待たせしました。早く来て(い)たんですね。 ,Thank you for your patience. You (were) here early. 
見つかったら、知らせていただけますか。,Could you please let me know when you find it?
2月はどうですか。航空券が安いですよ。,How about February? Airline tickets are cheap.
自由時間はどれくらいありますか。,How much free time do you have?
もう少し切ってもらえますか。,Can you cut it down a little more?
こういう仕事は経験ありますか。いえ、関連した仕事は多少経験があります。,"Do you have experience in this kind of work? No, I have some experience in related work."
あなたの国で一番人気があるスポーツは何ですか。,What is the most popular sport in your country?
ハリーポッターの映画や本は日本で人気ですか。,How popular are the Harry Potter movies and books in Japan?
来月は両親の結婚50年記念です。,Next month is my parents' 50th wedding anniversary.
日本語でアンティバイオティックスはなんですか。抗生物質です。,What is Antibiotics in Japanese? Antibiotics.
私の国の家族や友人にスカイプします。,I will Skype with my family and friends in my country.
かぜをひいたので、家にいました。,"I caught a cold, so I stayed home."
あしたは雨でしょう。,It will rain tomorrow.
なぜ、ゴールデンウィークと呼ばれるのですか。,Why is it called Golden Week?
作品が英語で読める日本人のいい作家はいませんか。,Are there any good Japanese writers whose works can be read in English?
郷土料理を味わうのは楽しいです。,I enjoy tasting local cuisine.
間違いがないか、ご確認ください。,Please check to make sure there is no mistake.
お間違えになりましたか。では、こちらにもう一度お書きください。,Did you make a mistake? Then please write here again.
お時間があれば、ぜひご覧ください。,Please have a look if you have time.
ごちそうさまでした。,Thanks for the food.
すみません。 【電車などで人にどいてもらうとき】,"Excuse me.  【when you ask someone to move aside on the train, etc.】"
危ない!,Watch out!
失礼します。 【部屋に入るとき】,Excuse me.  【when entering a room】
販売の仕事をしています。,I work in sales.
先日は失礼いたしました。,I apologize for the other day.
石川さんに連絡しといてくれる?,Could you call Mr. Ishikawa for me?
もう一杯いかがですか。,Would you like another drink?
行けたら行きます。,I'll go if I can.
明日の試合って、何時からだっけ?,What time is the game tomorrow?
いいですね。やりましょう。,That sounds good. Let's do it.
駅まで送るよ。,I'll walk you to the station.
今日はもう帰ったほうがいいんじゃないですか。,I think you should go home today.
まだまだこれからですよ。,It's not over yet.
少し期待と違いました。,It was a little different from what I expected.
納得できません。,I'm not convinced.
キャンセル料はいつからかかりますか。,When will I have to pay the cancellation fee?
会えたらうれしいです。,I would be happy to see you.
あれは何というビルですか。,What kind of building is that?
明るい色がいいです。,I like the bright colors.
インドのカレーとスリランカのカレーと、どちらのほうがからいですか。,"Which is more delicious, Indian curry or Sri Lankan curry?"
兄弟はいますか。,Do you have a brother or sister?
前からこの映画を見たいと思っていました。,I have wanted to see this movie for a long time.
あのめがねをかけている男性がティムです,The man with the glasses is Tim.
まだ開けないでください。,Do not open it yet.
込んで(い)るから別の店にしませんか。,"It's too crowded, so why don't we go to another store?"
今はコンタクト(レンズ)をつけています。,I'm wearing contact lenses now.
英語の教師をしています。・英語の教師です。,I am an English teacher. I am an English teacher.
品物を受け取ったあと、 支払いをするそうです。,He will pay you after he receives the goods.
えっ!?　あのこと、彼女に言っちゃったの!?,What?　Did you tell her that?
水が出しっぱなしですよ。,You left the water out.
忙しいし、お金もないから、今回は行きません。,"I'm busy and I don't have any money, so I'm not going this time."
そんなに心配しないでください。,Don't worry so much.
残念ですが、彼とはまだ一度も話したことがないんです。,"I'm sorry, but I haven't talked to him yet."
このホテルから富士山が見えますか。,Can you see Mt. Fuji from this hotel?
いつにするか決めてください。,Please decide when you will go.
もうみんな集まっています。,Everyone is already here.
来月、京都へ行きたいと思っています。,I would like to go to Kyoto next month.
京都に行くなら、旅館は「ふじ屋」がいいですよ。,"If you go to Kyoto, Fujiya is a good ryokan."
時間がないので、今回はあきらめます。,"I don't have much time, so I will give up this time."
電話番号を教えてくれませんか。,Can you give me your phone number?
あーあ、頑張ったのに。残念。,"Oh, I tried my best. Too bad."
彼、冗談っぽく言ってましたけど、本当は辛かったはずです。,"He said it jokingly, but it must have been really hard."
ミラーさんは、学生じゃないそうです。,Mr. Miller is not a student.
相変わらず、彼は忙しそうです。,He seems to be busy as usual.
大きな病気になったことはありません。,He has never been seriously ill.
日にちが決まったら、すぐに知らせてください。,Please let me know as soon as you have a date.
先生のお宅に伺います。,I will come to the doctor's house.
東京行き(の電車)は何番線ですか。,What line is the train to Tokyo?
次の角を右に曲がってください。,Turn right at the next corner.
ここから清水寺まで歩いて行けますか。,Can I walk to Kiyomizu-dera Temple from here?
タクシーを呼んでほしいんですが。,Can you call me a cab?
後でお願いします。,Please call me a taxi later.
これは注文していません。,I did not order this.
このくつ、はいてみてもいいですか。,May I try on these shoes?
カードでいいですか。,Can I use a credit card?
こちらは温めますか。お願いします。,"Would you like me to heat them up? Yes, please."
配送してもらえますか。,Can you deliver?
早く効くのがいいです。,I want them to work fast.
気分が悪いです。,I don't feel well.
口座を開きたいんですが。,I would like to open an account.
書き方がよくわからないのですが。,I am not sure how to write.
ご指導いただき、ありがとうございました。 ,Thank you very much for your guidance. 
これ、ちょっとコピーさせてくれませんか。,Can you let me make a little copy of this?
お先に失礼します。,Excuse me after you.
ええ。今のところ、問題ないです。,"Yes. So far, so good."
では、そろそろ失礼します。,"Now, if you'll excuse me."
心配をかけて、すみませんでした。,I'm sorry for making you worry.
駅から徒歩10分以内のところがいいです。,I'd like a place within a 10-minute walk from the station.
トイレが詰まってしまったようです。,I think my toilet is clogged.
今、お時間よろしいですか。・今 、時間、大丈夫?,Is this a good time? Is this a good time?
よろしければ、ご伝言を承りますが...。,"If you don't mind, I'd be happy to take your message."
すみません、もう一度よろしいですか。,"Excuse me, may I try again?"
いつの酉己達がよろしいですか。,When would you like to speak to the rooster?
予約番号がわからなくなってしまったのですが...。,I don't know my reservation number....
じゃ、まずは食事ですね。何が食べたいですか。,"Well, let's have a meal first. What would you like to eat?"
そこの交差点で事故があったみたいです。,There seems to have been an accident at that intersection.
ネットで調べてみましょう。,Let's look it up on the Internet.
キャンセル料はいつからかかりますか。,When will the cancellation fee be charged?
あとはお任せします。,I'll leave the rest to you.
ー度日本の会社で働いてみたいと思っていました。,I have always wanted to work for a Japanese company.
私はテニスをします。,I play tennis.
今週末に見るDVDはどこで借りられますか。,Where can I rent a DVD to watch this weekend?
祖母は今、具合がよくありません。,My grandmother is not feeling well.
漢方薬は保険でカバーされていますか。,Is Chinese medicine covered by insurance?
ブラッド・ピットの新しい映画を見ました。,I saw the new Brad Pitt movie.
友達が家に来たので、二人でDVDを見ました。,My friend came over and we watched the DVD together.
かさを忘れないでください。,Don't forget the umbrella.
"日本人は、なぜ""かわいい""ものが好きなんですか。","Why do Japanese people like ""kawaii"" things?"
日本語を学ぶのにいい本はありませんか。,Are there any good books to learn Japanese?
名古屋に泊めてくれる友人がいるから、名古屋に行きましよう。,"I have a friend who is staying with me in Nagoya, so let's go to Nagoya."
在庫がなくなり次第、販売終了となります。ご了承ください。,Sales will end as soon as the stock runs out. Thank you for your understanding.
お箸はご利用になりますか。,Would you like to use chopsticks?
こういうサービスがあるのはご存じでしょうか。,Are you aware that this kind of service is available?
ありがとうございます。,Thank you very much.
いつも すみません。 【感謝の気持ちを表す】,I'm always sorry.  【expressing gratitude】
やめてください。,Please stop.
では、失礼します。 【その場を去るときに言う】,"Now, please excuse me.  【say it when you leave the place】"
これからお世話になりますが、よろしくお願いします。,I will be indebted to you from now on.
ごめんなさい。,I'm sorry.
日本文化論のノート、貸してくれない?,Can I borrow your notes on Japanese culture?
今、時間ある?,Do you have time now?
すみません、また誘ってください。,"I'm sorry, please ask me again."
映画はどうでしたか。,How was the movie?
みんなでプレゼントを買いましょう。,Let's buy a present together.
チケット、とっておくね。,I'll save the tickets.
遅いから、気をつけてくださいね。,"It's late, so please be careful."
あきらめないで!,Don't give up!
期待はずれでした。,It was disappointing.
ちゃんとやってください。,Please do it right.
予約を変更したいんですが。,I would like to change my reservation.
明日までに返事がほしいです。,I want a reply by tomorrow.
ああ、あれは六本木ヒルズです。,"Oh, that's Roppongi Hills."
英語が(お)上手ですね。,Your English is (oh) very good.
インドのカレーのほうがからいです。,Indian curry is more delicious.
今、家にはだれもいません。,There is no one at home now.
冬のコートがほしいです。,I want a winter coat.
さっき話していた人は誰ですか。,Who was that person you were talking to earlier?
無理をしないでください。,Please take it easy.
お愿に慝童して閭いてみましょうよ。,Let's go to Yuan Yun Dong and ask her.
さくらさんはイヤリングをつけますか。ええ、ときどき。,"Do you wear earrings, Sakura-san? Yes, sometimes."
あ、電車が来て(い)る。急いで。,"Oh, there is a train coming. Hurry up."
寒に曹いたらメ-ルして。,"If you are cold, please email me."
それを聞いて、彼女、怒っちゃったんです。,"When she heard that, she got angry."
あれ?窓が開けっぱなしになっている。,What's that? The window is left open.
毎朝走ってるし、土曜日もジムに行って(い)るから、運動不足ではないはずです。,"I run every morning and go to the gym on Saturdays, so I must not be lacking in exercise."
邪魔になるから、ここに置かないでください。,"Please don't put it here, it's in the way."
そんな話、聞いたことがありません。,I have never heard of such a thing.
すみません、よく聞こえないんですが。,"I'm sorry, I can't hear you very well."
何・だれ・どこ・いつ　でもいいです。,"I don't care what, who, where, or when."
料理はもうできているから、いつでも始められます。,"The food is already prepared, so you can start whenever you want."
将来、通訳になりたいと思って、頑張って勉強しています。,I am studying hard because I want to become an interpreter in the future.
この薬を飲めば、だいぶ楽になりますよ。,"If you take this medicine, you will feel much better."
用事があるので、今日はもう帰ります。,"I have to run some errands, so I'm going home today."
友達に引つ越しを手伝ってもらいました。,My friend helped me move.
ひどい! これ、新品なのに!,Oh my God! This is brand new!
この黒っぽい服を着ているのがビルさんです。,The guy in the dark clothes is Bill.
ミラーさんは、学生じゃないんだって。,Mr. Miller is not a student.
彼、あんまりうれしそうじゃなかったね。嬉しくなさそうだったね。,He didn't look very happy. He didn't look happy.
だんだん日本語が話せるようになってきました。,I am gradually learning to speak Japanese.
彼女をがっかりさせてしまいました。,I let her down.
いらっしゃい。どうぞお上がりください。,Come in. Please come in.
この電車は急行ですか、各駅(停車)ですか。,Is this train an express or a local train?
この辺で止めてください。,Please stop here.
スカイツリーの最寄り駅はどこですか。,Where is the nearest station to Sky Tree?
 荷物を預かってもらえますか。, Can you take care of my luggage?
一緒でお願いします。,Please leave your luggage with us.
お会計お願いします。,Please pay the bill.
 これのMはありますか。, Do you have M for this?
現金でお願いします。,Please pay in cash.
宅配便を送りたいんですが。,I would like to send a parcel.
いつ、届きますか。,When will it arrive?
花粉症に効くいい薬はありませんか。,Do you have any good medicine for hay fever?
ときどきめまいがします。,I sometimes get dizzy.
家賃を自動引き落としにしたいのですが。,I would like to have my rent automatically deducted from my account.
英語で相談できますか。,Can I ask for help in English?
,
スーザンは図書館で調べものをしています。,Susan is doing some research at the library.
お疲れさまでした。,Thank you for your hard work.
ちよっとお聞きしたいことがあるんですが、今、いいですか。,I have a few questions.
どうもおじゃましました。,Thank you for your time.
本当の家族のように接してくれて、 ありがとうございました。,Thank you for treating me like a real family.
この部屋を見てみたいんですが。,I'd like to take a look at this room.
じゃ、また連絡するね。,"Okay, I'll call you later."
明日の午前中にお願いします。,"Tomorrow morning, please."
すごくよかったなあ。リカさんはどうだった?　私も。,"It was very nice. How was it, Rika?　Me too."
旅行会社に問い合わせてみます,I'll check with the travel agency.
今日はお時間をさいていただき、ありがとうございました。,Thank you for taking the time to see us today.
変更やキャンセルの場合は、早めにご連絡ください。,Please contact us as soon as possible for any changes or cancellations.
メニューをご覧になりますか。,Would you like to see the menu?
遠くからお越しいただき、ありがとうございます。,Thank you for coming such a long way.
さようなら。,Good-bye.
どうぞ。 【何かを差し出す】,Here you go.  【holds out something】
もう一度言ってください。,Please say it again.
じゃ、またね。,See you later.
一緒に仕事をするのを楽しみにしています,I look forward to working with you.
ごめん、 許して!,"Sorry, forgive me!"
来週、空いてる日ある?,Do you have any free time next week?
犬と猫、どっちが好き?,"Which do you prefer, dogs or cats?"
お大事にね。,Take care of yourself.
最高でした。最低でした。,That was great. It was the worst.
何とかしてください。,Please do something.
予約をキャンセルしたいんですが。,I would like to cancel my reservation.
あまり寒いところには行きたくないです。,I don't want to go somewhere too cold.
きれいなビルですね。,It's a beautiful building.
妹は早く結婚したがっています。,My sister wants to get married soon.
ジブ—リ美術館がどこにあるか、知っています。いえ、知りません,"I know where the Givry Museum is. No, I don't."
買おうとしたら、財布がないことに気づいたんです,I was about to buy one when I realized I didn't have my wallet.
薬を飲んですぐ寝たら、治りました。,I took the medicine and went to bed right away and I am cured.
どうぞお召し上がりください。はい。では、いただきます。,"Please enjoy your meal. Yes, I will. Then, I'll take it."
これの25センチはありますか。,Do you have 25 cm of this?
プレゼントなので、包んでもらえますか。,"It is a gift, so could you wrap it?"
これ、不良品だったんです。交換してもらえますか。,This one is defective. Can you exchange it?
この薬は、飲むと眠くなりますか。,Does this medicine make you sleepy when you take it?
食欲はどうですか。あまりありません。,How is your appetite? Not much.
日本語の講座はありますか。,Do you have any Japanese courses?
じゃ、失礼します。では、失礼いたします。,"Well, excuse me. Well, excuse me."
