V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4,V5,R5,M5
恵まれる,めぐまれる,be blessed,捕らわれる,とらわれる,be caught,逸らす,そらす,divert,送り出す,おくりだす,send out,関わり合う,かかわりあう,relate to each other
見回す,みまわす,look around,適する,てきする,fit,余る,あまる,have more than enough,先立つ,さきだつ,precede,勝ち誇る,かちほこる,be proud of your victory
引き摺る,ひきずる,drag,越す,こす,go over,俟つ,ます,anticipate,立ち去る,たちさる,leave,吹き出る,ふきでる,blow out
率いる,ひきいる,lead,纏まる,まとまる,get together,慰める,なぐさめる,comfort,奉る,たてまつる,dedicate,ばらす,ばらす,scatter
改める,あらためる,change,禁ずる,きんずる,forbid,引っ越す,ひっこす,move,吹き出す,ふきだす,blow out,散らかる,ちらかる,make a mess
怒鳴る,どなる,shout,委ねる,ゆだねる,entrust,枯れる,かれる,wither,汚す,よごす,defile,めげる,めげる,be discouraged
鳴らす,ならす,make a sound,採る,とる,take,極める,きわめる,finalize,解ける,とける,dissolve,泣き止む,なきやむ,stop crying
壊す,こわす,break,染める,そめる,dye,歪む,ゆがむ,warp,取り消す,とりけす,cancel,言い寄る,いいよる,court
傷付ける,きずつける,hurt,引き継ぐ,ひきつぐ,take over,冷える,ひえる,cool down,引き続く,ひきつづく,continue,急かす,せかす,hurry him up
巻き込む,まきこむ,involve,深める,ふかめる,deepen,燃やす,もやす,burn,申し出る,もうしでる,offer,寝かす,ねかす,put someone to sleep
乗り込む,のりこむ,get into,覚める,さめる,awaken,からかう,からかう,tease,見極める,みきわめる,find out,身籠もる,みごもる,take in a baby
潰す,つぶす,crush,延びる,のびる,extend,広まる,ひろまる,spread,見合わせる,みあわせる,inform,取り繕う,とりつくろう,make up for it
振るう,ふるう,shake,転がる,ころがる,roll,塞ぐ,ふさぐ,block,知らす,しらす,inform,転げ落ちる,ころげおちる,tumble down
囁く,ささやく,whisper,補う,おぎなう,compensate,言い切る,いいきる,assert,啜る,すする,sip,書き送る,かきおくる,write down
然り,しかり,so on and so forth,潜める,ひそめる,hide,担ぐ,かつぐ,carry,睨み付ける,にらみつける,stare at,擦り下ろす,すりおろす,rub down
傾ける,かたむける,tilt,給う,たまう,supply,凝らす,こらす,elaborate,費やす,ついやす,spend,飛び出る,とびでる,pop out
付け加える,つけくわえる,add,責める,せめる,chastise,心得る,こころえる,understand,向かい合う,むかいあう,face each other,寝転がる,ねころがる,lie down
蘇る,よみがえる,revive,折れる,おれる,break,賭ける,かける,bet,強まる,つよまる,intensify,騙る,かたる,cheat
見張る,みはる,watch,称える,たたえる,praise,ずれる,ずれる,shift,歪める,ゆがめる,distort,逃げ回る,にげまわる,run away
指差す,ゆびさす,point to,折る,おる,break,戸惑う,とまどう,be perplexed,呈する,ていする,show,跳ね返る,はねかえる,bounce back and forth
遡る,さかのぼる,go back,知り合う,しりあう,get to know each other,弾む,はずむ,bounce,挑む,いどむ,challenge,溢れ出る,あふれでる,overflow
乾く,かわく,dry,打ち込む,うちこむ,hammer in,募る,つのる,solicit,転ぶ,ころぶ,fall,白む,しらむ,turn white
足る,たる,be enough,持ち上げる,もちあげる,lift up,握り締める,にぎりしめる,grasp,教わる,おそわる,be taught,吸い付く,すいつく,suck on
倒す,たおす,bring down,励ます,はげます,encourage,着ける,つける,put on,しがみ付く,しがみつく,cling to,溢れ出す,あふれだす,overflow
持ち出す,もちだす,take out,潜む,ひそむ,hide,揚げる,あげる,lift,投げ出す,なげだす,throw out,送り届ける,おくりとどける,send
引き取る,ひきとる,take back,摘む,つまむ,pluck,垂れる,たれる,droop,召す,めす,call,凭れ掛かる,もたれかかる,recline on
狂う,くるう,go mad,固まる,かたまる,solidify,荒れる,あれる,rough,捩る,もじる,twist,封じ込める,ふうじこめる,contain
仕える,つかえる,serve,思い浮かべる,おもいうかべる,contemplate,埋まる,うまる,bury,取り付く,とりつく,cling to,覆い被さる,おおいかぶさる,cover
絡む,からむ,entangle,傾げる,かしげる,incline,聞き取る,ききとる,listen,遠ざかる,とおざかる,move away from,分け入る,わけいる,divide
固める,かためる,harden,盛り上がる,もりあがる,rise,滲む,にじむ,soak,突き付ける,つきつける,thrust,明け放つ,あけはなつ,open
痛む,いたむ,hurt,転ずる,てんずる,turn,催す,もよおす,prompt,跨がる,またがる,straddle,紐解く,ひもとく,unravel
踏まえる,ふまえる,catch yourself,打ち明ける,うちあける,confide in,瞑る,つぶる,meditate,連なる,つらなる,stretch out,走り寄る,はしりよる,run to
俯く,うつむく,lie face down,繰り広げる,くりひろげる,unfold,抱え込む,かかえこむ,hold in one's arms,決する,けっする,settle,律する,りっする,discipline
凍る,こおる,freeze,宿る,やどる,dwell,齧る,かじる,gnaw,引き渡す,ひきわたす,hand over,修める,おさめる,discipline
手渡す,てわたす,hand over,詰め込む,つめこむ,pack,閃く,ひらめく,flash,聳える,そびえる,rise,書き表わす,かきあらわす,write down
悲しむ,かなしむ,grieve,憚る,はばかる,hesitate,飢える,うえる,starve,耕す,たがやす,cultivate,潤う,うるおう,moisten
緩む,ゆるむ,loose,慕う,したう,adore,生まれ変わる,うまれかわる,be reborn,召し上がる,めしあがる,call up,腫れ上がる,はれあがる,swell up
降ろす,おろす,unload,映し出す,うつしだす,project,拝む,おがむ,worship,旅立つ,たびだつ,depart,愚痴る,ぐちる,complain
組み立てる,くみたてる,assemble,放り出す,ほうりだす,throw out,捕る,とる,catch,治める,おさめる,govern,突き破る,つきやぶる,break through
好く,よい,like,語り合う,かたりあう,talk to each other,略す,りゃくす,abbreviate,押し掛ける,おしかける,push in,話し込む,はなしこむ,talk about something
丸める,まるめる,roll up,飛び上がる,とびあがる,jump up,揺さぶる,ゆさぶる,shake,吹き飛ばす,ふきとばす,blow away,浮かれる,うかれる,get carried away
立ち上る,たちのぼる,rise,働き掛ける,はたらきかける,work with,延ばす,のばす,extend,取り立てる,とりたてる,take away,売れ残る,うれのこる,sell out
練る,ねる,knead,広める,ひろめる,spread,掠める,かすめる,snatch,凍り付く,こおりつく,freeze,括り付ける,くくりつける,bundle
見込む,みこむ,anticipate,腫れる,はれる,swell,屈める,かがめる,bend,消え去る,きえさる,disappear,反る,そる,warp
薄れる,うすれる,fade,注ぎ込む,つぎこむ,pour,植え付ける,うえつける,plant,抱き付く,だきつく,hold on to,慈しむ,いつくしむ,love
横切る,よこぎる,cross,孕む,はらむ,impregnate,仕切る,しきる,divide,見返す,みかえす,look back,頼み込む,たのみこむ,ask someone to do something for you
掴まる,つかまる,hold on to,引き抜く,ひきぬく,pull out,動き回る,うごきまわる,move around,狼狽える,うろたえる,get upset,銘ずる,めいずる,inscribe
祝う,いわう,celebrate,背く,そむく,turn away,封ずる,ふうずる,block,向き直る,むきなおる,turn around,舞い込む,まいこむ,dance
受け付ける,うけつける,accept,乗り換える,のりかえる,change one's ride,惚ける,ぼける,make someone fall in love with you,引き止める,ひきとめる,hold back,覆い隠す,おおいかくす,cover
際立つ,きわだつ,stand out,張り付く,はりつく,stick to,放り込む,ほうりこむ,throw in,思い立つ,おもいたつ,make up your mind,明け放す,あけはなす,give openly
零す,こぼす,spill,乗り切る,のりきる,get over,忍ぶ,しのぶ,endure,振り掛ける,ふりかける,shake it off,辱しめる,はずかしめる,humiliate
被せる,かぶせる,cover,交じる,まじる,mingle,奢る,おごる,luxuriate in,揉める,もめる,make trouble,移り変わる,うつりかわる,change
見受ける,みうける,receive,零れる,こぼれる,spill,冴える,さえる,be clever,割り込む,わりこむ,interrupt,揺られる,ゆられる,sway
放す,はなす,release,生き延びる,いきのびる,survive,聞き出す,ききだす,listen to,追い越す,おいこす,overtake,振り向ける,ふりむける,turn around
見舞う,みまう,pay a visit to,飛び降りる,とびおりる,jump off,庇う,かばう,protect,取り残す,とりのこす,leave behind,吹き掛ける,ふきかける,spray
供する,きょうする,offer,浸す,ひたす,soak,引き込む,ひきこむ,draw in,思い描く,おもいえがく,imagine,切り刻む,きりきざむ,cut into pieces
明かす,あかす,reveal,嫁ぐ,とつぐ,marry,換える,かえる,change,乗ずる,じょうずる,ride,売り払う,うりはらう,sell off
曇る,くもる,cloud,追い払う,おいはらう,get rid of,寝かせる,ねかせる,put to sleep,読み返す,よみかえす,read again,掃く,はく,sweep
弄る,いじる,torment,切り取る,きりとる,cut off,飛び付く,とびつく,jump in,剥がれる,はがれる,peel off,見切る,みきる,see through
苦しめる,くるしめる,torment,行き着く,いきつく,end up,詫びる,わびる,apologize,見せ付ける,みせつける,show,打ち勝つ,うちかつ,conquer
捕まえる,つかまえる,catch,細める,ほそめる,narrow down,買い換える,かいかえる,buy a new one,罰する,ばっする,punish,打ち砕く,うちくだく,smash
送り込む,おくりこむ,send,罵る,ののしる,abuse,区切る,くぎる,separate,考え出す,かんがえだす,come up with,湛える,たたえる,fill
暴れる,あばれる,riot,寛ぐ,くつろぐ,relax,背ける,そむける,turn away,患う,わずらう,suffer from,溶け合う,とけあう,melt together
定まる,さだまる,settle,諮る,はかる,consult,吹き飛ぶ,ふきとぶ,blow away,歩き回る,あるきまわる,walk around,申し渡す,もうしわたす,make an offer
重んずる,おもんずる,respect,擦れ違う,すれちがう,cross paths,叶える,かなえる,fulfill,見落とす,みおとす,overlook,睨み合う,にらみあう,stare at each other
請う,こう,request,顧みる,かえりみる,look back,射る,いる,shoot,呼び寄せる,よびよせる,call to mind,咲き乱れる,さきみだれる,bloom in profusion
捕まる,つかまる,be caught,遣り直す,やりなおす,redo,痺れる,しびれる,numb,思い浮かぶ,おもいうかぶ,come to mind,嗜む,たしなむ,enjoy
編む,あむ,weave,静める,しずめる,calm,持ち合わせる,もちあわせる,possess,行き届く,いきとどく,reach,気付かす,きづかす,notice
押し寄せる,おしよせる,push,言い返す,いいかえす,reiterate,冒す,おかす,risk,溶け込む,とけこむ,blend in,侍る,はべる,serve
取り替える,とりかえる,replace,過る,よぎる,go too far,出迎える,でむかえる,greet,生まれ育つ,うまれそだつ,be born and grow,弔う,とむらう,mourn
垂らす,たらす,hang down,惚れる,ほれる,fall in love,巡らす,めぐらす,circulate,灯る,ともる,light up,作り直す,つくりなおす,remake
遣う,つかう,use,書き出す,かきだす,write down,賑わう,にぎわう,be crowded,出会す,でくわす,meet,送り付ける,おくりつける,send
溶かす,とかす,dissolve,揺する,ゆする,shake,評する,ひょうする,comment on,待ち構える,まちかまえる,lie in wait,仕立て上げる,したてあげる,tailor
潜り込む,もぐりこむ,infiltrate,苛立つ,いらだつ,be irritated,忍び込む,しのびこむ,sneak in,黙り込む,だまりこむ,be silent,燃え尽きる,もえつきる,burn up
弱る,よわる,weaken,綴る,つづる,write,吊り上げる,つりあげる,hang up,出回る,でまわる,appear on the scene,連れ戻す,つれもどす,bring back
驚かす,おどろかす,surprise,賜わる,たまわる,be given,映す,うつす,reflect,馬鹿げる,ばかげる,make fun of,書き写す,かきうつす,transcribe
凌ぐ,しのぐ,surpass,欲する,ほっする,desire,浴びせる,あびせる,expose,遠ざける,とおざける,keep away,労う,ねぎらう,work on it
決め付ける,きめつける,determine,溺れる,おぼれる,drown,病む,やむ,make sick,逃げ込む,にげこむ,run away,見違える,みちがえる,look different
見失う,みうしなう,lose sight of,佇む,たたずむ,stand,投げ込む,なげこむ,throw into,飛び交う,とびかう,fly away,癒える,いえる,heal
偲ぶ,しのぶ,remember,乱す,みだす,disturb,沈める,しずめる,sink,駆け出す,かけだす,run away,ざわめく,ざわめく,make a noise
凝る,こる,elaborate,葬る,ほうむる,bury,追い遣る,おいやる,drive away,混ざる,まざる,mix,手繰る,たぐる,hand over
剃る,そる,shave,執る,とる,cling to,使い分ける,つかいわける,use differently,くっ付ける,くっつける,stick together,華やぐ,はなやぐ,flourish
仕入れる,しいれる,procure,見据える,みすえる,focus on,散らばる,ちらばる,scatter,抜かす,ぬかす,overtake,踏み締める,ふみしめる,tread down
剥がす,はがす,strip,思い起こす,おもいおこす,remember,通り抜ける,とおりぬける,pass through,取り止める,とりやめる,catch up,切り付ける,きりつける,cut
拵える,こしらえる,prepare,取り合う,とりあう,take up with,寄り添う,よりそう,stay close to each other,掛け離れる,かけはなれる,run away from each other,懸かる,かかる,hang on
見開く,みひらく,open up,投げ付ける,なげつける,throw,噤む,つぐむ,keep silent,翻す,ひるがえす,change,読み替える,よみかえる,reread
手掛ける,てがける,work with,解す,ほぐす,solve,空ける,あける,vacate,彩る,いろどる,color,象る,かたどる,symbolize
彫る,ほる,carve,当て嵌める,あてはめる,apply,切り捨てる,きりすてる,cut down,馳せる,はせる,run (a business),媚びる,こびる,flatter
案ずる,あんずる,contemplate,震わせる,ふるわせる,make tremble,酔っ払う,よっぱらう,get drunk,改まる,あらたまる,change,尽かす,つかす,exhaust
繋げる,つなげる,connect,逃す,のがす,let go,形作る,かたちづくる,form,衝く,つく,urge,寝惚ける,ねぼける,fall asleep
匂う,におう,smell,畳む,たたむ,fold,濁る,にごる,cloud,辞する,じする,resign,詰め寄る,つめよる,be close to someone's face
投げ掛ける,なげかける,throw,差し支える,さしつかえる,hold up,断ち切る,たちきる,cut off,擁する,ようする,hold,薄汚れる,うすよごれる,get dirty
呻く,うめく,moan,縮める,ちぢめる,shrink,配する,はいする,distribute,転がす,ころがす,roll,押し通す,おしとおす,push through
途切れる,とぎれる,interrupt,期する,きする,terminate,申し立てる,もうしたてる,plead,凹む,へこむ,dent,押し入る,おしいる,push in
澄ます,すます,clear,叩き付ける,たたきつける,strike,長引く,ながびく,lengthen,引き替える,ひきかえる,reverse,言い添える,いいそえる,add a word or phrase to something
老いる,おいる,grow old,害する,がいする,harm,則る,のっとる,follow,裁く,さばく,judge,忍ばせる,しのばせる,put something in someone's mouth
語り掛ける,かたりかける,speak to someone,立ち上げる,たちあげる,raise up,企てる,くわだてる,plan,紛れる,まぎれる,blend,取り決める,とりきめる,arrange
思い当たる,おもいあたる,come to mind,集う,つどう,gather,連ねる,つらねる,link up,漉す,こす,strain,盗み出す,ぬすみだす,steal
深まる,ふかまる,deepen,徹する,てっする,devote,準ずる,じゅんずる,conform to,失せる,うせる,lose,謗る,そしる,slander
溜める,ためる,accumulate,包み込む,つつみこむ,encompass,塗れる,まみれる,apply,囲う,かこう,surround,号する,ごうする,call a name
捜し出す,さがしだす,find out,押し出す,おしだす,push out,差し伸べる,さしのべる,extend,覆す,くつがえす,cover,立ち現われる,たちあらわれる,appear on the scene
夢見る,ゆめみる,dream,付き添う,つきそう,accompany,推す,おす,push,荒らす,あらす,destroy,嗄れる,しわがれる,become hoarse
踏み切る,ふみきる,step through,見合う,みあう,see each other,締め付ける,しめつける,tighten,引き締まる,ひきしまる,tighten,冷え込む,ひえこむ,get cold
躱す,かわす,dodge,食み出す,はみだす,eat out,断ずる,だんずる,cut off,行き詰まる,いきづまる,stall,引ける,ひける,recede
投ずる,とうずる,throw,如く,ごとく,do the same as,差し引く,さしひく,withhold,跳ねる,はねる,bounce,踏み止まる,ふみとどまる,stop
瞬く,しばたたく,blink,痛める,いためる,hurt,巡り会う,めぐりあう,meet,弱める,よわめる,weaken,連れ去る,つれさる,take away
発つ,たつ,emit,掬う,すくう,scoop up,通り掛かる,とおりかかる,pass by,思い遣る,おもいやる,care,騒ぎ立てる,さわぎたてる,make a commotion
混む,こむ,mix,買い取る,かいとる,buy,静まり返る,しずまりかえる,be still,実る,みのる,bear fruit,ごった返す,ごったがえす,crowd
吹き込む,ふきこむ,blow into,清める,きよめる,cleanse,服する,ふくする,submit,漲る,みなぎる,pervade,奥まる,おくまる,go deep
悩ます,なやます,afflict,割り切る,わりきる,divide,砕ける,くだける,shatter,絡める,からめる,entwine,躍り出る,おどりでる,leap out
恥じる,はじる,embarrass,済ます,すます,finish,入れ替える,いれかえる,replace,住み着く,すみつく,inhabit,屈む,かがむ,bend down
纏わる,まつわる,clothe,引っ繰り返す,ひっくりかえす,repeat,逃がす,にがす,let go,引き下げる,ひきさげる,pull down,奮い立つ,ふるいたつ,get excited
聞き返す,ききかえす,listen to again,和らげる,やわらげる,relieve,巻き付ける,まきつける,wrap around,噛み付く,かみつく,bite,咳く,せく,cough
満つ,みつ,be full,駆け寄る,かけよる,rush to,伝う,つたう,transmit,書き替える,かきかえる,rewrite,舞い下りる,まいおりる,soar
縋る,すがる,cling to,貯める,ためる,save,もてる,もてる,hold on to,極まる,きわまる,become more or less extreme,慮る,おもんばかる,consider
差し掛かる,さしかかる,approach,引っ掛ける,ひっかける,hook up,気取る,きどる,take hold of,引っ込む,ひっこむ,withdraw,撃ち込む,うちこむ,shoot
吊るす,つるす,hang,盛り込む,もりこむ,incorporate,化ける,ばける,transform into,降り立つ,おりたつ,descend,へたり込む,へたりこむ,sink into
来す,きたす,come,埋もれる,うずもれる,bury,見届ける,みとどける,see,埋め込む,うめこむ,embed,蝕む,そんとく,undermine
閉まる,しまる,close,膨れ上がる,ふくれあがる,swell up,司る,つかさどる,govern,燥ぐ,はしゃぐ,dry,はにかむ,はにかむ,be bashful
ふざける,ふざける,joke around,染み込む,しみこむ,soak in,蒸す,むす,steam,引き裂く,ひきさく,tear,提げる,さげる,present
立ち直る,たちなおる,recover,噛み締める,かみしめる,chew,従える,したがえる,subdue,揺らす,ゆらす,shake,取り纏める,とりまとめる,organize
立ち会う,たちあう,attend,打ち上げる,うちあげる,strike up,攫う,さらう,kidnap,ちぎる,ちぎる,tear,羨む,うらやむ,envy
突き止める,つきとめる,find out,仰す,おおす,look up,熱する,ねっする,heat,哀れむ,あわれむ,pity,思い悩む,おもいなやむ,ponder
茂る,しげる,overgrow,積み重ねる,つみかさねる,accumulate,途絶える,とだえる,cease to exist,浸ける,つける,soak,捜し当てる,さがしあてる,find
座り込む,すわりこむ,sit down,威張る,いばる,dignify,逸れる,それる,deviate,温まる,あたたまる,warm,震え上がる,ふるえあがる,tremble
授ける,さずける,give,濡らす,ぬらす,wet,盛り上げる,もりあげる,enliven,羽織る,はおる,cloak,招き入れる,まねきいれる,invite in
育む,はぐくむ,nurture,踏み入れる,ふみいれる,step in,抱き合う,だきあう,embrace,躓く,つまずく,trip over,そそり立つ,そそりたつ,soar
勝る,まさる,prevail,切り開く,きりひらく,cut through,歩み寄る,あゆみよる,walk up to,突き立つ,つきたつ,stand on tiptoe,切り立つ,きりたつ,cut to the quick
襲い掛かる,おそいかかる,attack,蹲る,うずくまる,crouch,割り当てる,わりあてる,assign,戒める,いましめる,admonish,唆す,そそのかす,inspire
栄える,さかえる,prosper,気遣う,きづかう,care for,翳す,かざす,shade,組み替える,くみかえる,recombine,眠り込む,ねむりこむ,put to sleep
任ずる,にんずる,entrust,目掛ける,めがける,look out for,青褪める,あおざめる,pallid,持ち歩く,もちあるく,carry,呼び付ける,よびつける,call to mind
走り回る,はしりまわる,run around,立ち向かう,たちむかう,confront,遣わす,つかわす,send,引き締める,ひきしめる,tighten,掻き消す,かきけす,drown out
照れる,てれる,shine,砕く,くだく,break,沸く,わく,bring to a boil,燃え上がる,もえあがる,burn,転がり込む,ころがりこむ,roll in
任す,まかす,let it,積もる,つもる,accumulate,持ち掛ける,もちかける,propose,抜き取る,ぬきとる,take out,度重なる,たびかさなる,repeat
流れ込む,ながれこむ,flow into,咎める,とがめる,blame,捏ねる,こねる,knead,静まる,しずまる,quieten,迎え撃つ,むかえうつ,intercept
住まう,すまう,live,代える,かえる,replace,弾ける,はじける,pop,透ける,すける,see through,力む,りきむ,force
成し遂げる,なしとげる,accomplish,因む,ちなむ,cause to fall,繰り出す,くりだす,unleash,片付く,かたづく,clear away,立ち塞がる,たちふさがる,stand in the way
待ち受ける,まちうける,wait for,没する,ぼっする,confiscate,存する,そんする,exist,否む,いなむ,deny,巻き付く,まきつく,wrap itself around you
喘ぐ,あえぐ,pant,繰る,くる,reel (off),考え直す,かんがえなおす,reconsider,企む,たくらむ,plot,貶す,けなす,undermine
手放す,てばなす,let go,駆け込む,かけこむ,run into,連れ出す,つれだす,take out,渦巻く,うずまく,swirl,肥える,こえる,grow fat
撥ねる,はねる,repel,耽る,ふける,indulge in,そそる,そそる,inspire,突き上げる,つきあげる,push up,そびれる,そびれる,towering over
競う,きそう,compete,処する,しょする,deal with,飛び立つ,とびたつ,take off,読み上げる,よみあげる,read up,切り抜く,きりぬく,cut through
備わる,そなわる,be prepared,著わす,あらわす,write,阻む,はばむ,prevent,立たす,たたす,stand,食い付く,くいつく,bite back
喚く,わめく,call out,交わる,まじわる,mingle,培う,つちかう,cultivate,触れ合う,ふれあう,touch each other,跳ね返す,はねかえす,bounce back
裏付ける,うらづける,support,立ち入る,たちいる,enter,言い張る,いいはる,insist,潤む,うるむ,moisten,狭まる,せばまる,narrow
括る,くくる,summarize,言い掛ける,いいかける,say,洒落る,しゃれる,dress up,見せ掛ける,みせかける,show,捩じれる,ねじれる,twist
真似る,まねる,imitate,省く,はぶく,omit,運び込む,はこびこむ,carry in,有り触れる,ありふれる,be in touch,見放す,みはなす,give up
賄う,まかなう,provide for,むかつく,むかつく,offend,張り上げる,はりあげる,stretch,飛び回る,とびまわる,fly around,浮き出る,うきでる,emerge
込み上げる,こみあげる,fill up,散らす,ちらす,disperse,描き出す,えがきだす,draw,下回る,したまわる,go around,滅入る,めいる,perish
冷ます,さます,cool down,漕ぐ,こぐ,paddle,逝く,いく,go,沸かす,わかす,boil,誘い出す,さそいだす,lure
即する,そくする,promptly,見捨てる,みすてる,abandon,掻き立てる,かきたてる,stir up,投げ捨てる,なげすてる,throw down,滾る,たぎる,boil
見遣る,みやる,look after,閉じ籠もる,とじこもる,shut up,見通す,みとおす,see through,揺らぐ,ゆらぐ,waver,荒れ狂う,あれくるう,rage
付き纏う,つきまとう,follow,宥める,なだめる,appease,脱する,だっする,take off,陥れる,おとしいれる,fall,感付く,かんづく,perceive
強ばる,こわばる,stiffen,飲み干す,のみほす,drink up,ぶら下がる,ぶらさがる,dangle,霞む,かすむ,haze,思い至る,おもいいたる,come to mind
さ迷う,さまよう,wander,携える,たずさえる,carry on one's shoulder,引っ繰り返る,ひっくりかえる,pull over and over,受け持つ,うけもつ,accept,先んずる,さきんずる,precede
仕立てる,したてる,tailor,ずらす,ずらす,displace,絡み合う,からみあう,entwine,慎む,つつしむ,refrain from,燃え盛る,もえさかる,burst into flames
偏る,かたよる,deviate,亡くす,なくす,lose,芽生える,めばえる,sprout,群がる,むらがる,swarm,解き明かす,ときあかす,unveil
締まる,しまる,be in order,呼び起こす,よびおこす,invoke,引き連れる,ひきつれる,take along with you,排する,はいする,remove,囀る,さえずる,sing
弁える,わきまえる,discriminate,読み込む,よみこむ,read,押し殺す,おしころす,push to the death,殺ぐ,そぐ,kill,満ち足りる,みちたりる,be full to the brim
彷徨く,うろつく,wander,抉る,えぐる,gouge out,立ち竦む,たちすくむ,stand still,生ける,いきる,live,詰め掛ける,つめかける,crowd
纏わり付く,まとわりつく,cling to,あしらう,あしらう,treat with disdain,走り去る,はしりさる,run away,しゃぶる,しゃぶる,suck,嘗め回す,なめまわす,lick
垣間見る,かいまみる,catch a glimpse of,奪い取る,うばいとる,take away,駆け巡る,かけめぐる,run around,浮かす,うかす,float,取り下げる,とりさげる,withdraw
摩る,さする,rub,口走る,くちばしる,speak,突き放す,つきはなす,push away,労わる,いたわる,work,破く,やぶく,tear
侵す,おかす,invade,揺れ動く,ゆれうごく,shake,遣り遂げる,やりとげる,accomplish something,駆け抜ける,かけぬける,run through,挟まる,はさまる,pinch
立て直す,たてなおす,rebuild,鳴り響く,なりひびく,resound,剥ぎ取る,はぎとる,strip away,願い出る,ねがいでる,ask for something,連れ帰る,つれかえる,take back
揺る,ゆる,shake,きらめく,きらめく,sparkle,寝そべる,ねそべる,lie down,突き落とす,つきおとす,push down,出直す,でなおす,come back
剥き出す,むきだす,expose,蒔く,まく,sow,崩れ落ちる,くずれおちる,collapse,立ちはだかる,たちはだかる,stand in the way,有り余る,ありあまる,have more than enough
見立てる,みたてる,look up,擽る,くすぐる,tickle,退る,しさる,retreat,抜き出す,ぬきだす,extract,秀でる,ひいでる,excel
重なり合う,かさなりあう,overlap,思い返す,おもいかえす,recall,憂える,うれえる,be anxious,掘り起こす,ほりおこす,dig up,込み入る,こみいる,get stuck in
取り外す,とりはずす,remove,透き通る,すきとおる,transparency,絡まる,からまる,get entangled,敷き詰める,しきつめる,lay out,古ぼける,ふるぼける,grow old
諭す,さとす,admonish,波打つ,なみうつ,ripple,言い渡す,いいわたす,tell someone what to do,濁す,にごす,make muddy,失する,しっする,lose
引き離す,ひきはなす,pull apart,熟する,じゅくする,ripen,仰け反る,のけぞる,turn up,白ける,しらける,make white,空かす,すかす,empty
滞る,とどこおる,stagnate,挙る,こぞる,enumerate,搗く,つく,pound,追い返す,おいかえす,turn away,挫ける,くじける,falter
刈る,かる,reap,見積もる,みつもる,estimate,言い合う,いいあう,argue with each other,愛し合う,あいしあう,make love,光り輝く,ひかりかがやく,shine
立ち尽くす,たちつくす,stand still,言い表わす,いいあらわす,express,弛む,たるむ,relax,痛め付ける,いためつける,hurt someone,乗り回す,のりまわす,ride around
掠れる,かすれる,snatch,持て余す,もてあます,have too much of something,吹かす,ふかす,blow,結う,ゆう,unite,張り込む,はりこむ,stake out
入れ替わる,いれかわる,replace,縮む,ふんとう,shrink,均す,ならす,equalize,迸る,ほとばしる,gush,売り付ける,うりつける,sell
あてがう,あてがう,apply,甘やかす,あまやかす,spoil,研ぐ,とぐ,sharpen,設える,しつらえる,set up,漬け込む,つけこむ,soak it all in
仕上がる,しあがる,finish,適う,かなう,suit,引き下がる,ひきさがる,withdraw,放り投げる,ほうりなげる,throw,締め切る,しめきる,shut down
引き攣る,ひきつる,twitch,見習う,みならう,emulate,折り畳む,おりたたむ,fold up,擬える,なぞらえる,imitate,寂れる,さびれる,lapse
しゃがみ込む,しゃがみこむ,crouch,張り切る,はりきる,be enthusiastic,漬ける,つける,dip,書き記す,かきしるす,write down,似せる,にせる,imitate
眩む,くらむ,dazzle,問い質す,といただす,question,滴る,したたる,drip,くねる,くねる,bend,透かす,すかす,make transparent
擦り付ける,こすりつける,rub against,拭き取る,ふきとる,wipe up,揺るがす,ゆるがす,shake,剥げる,はげる,peel off,寄せ付ける,よせつける,bring together
掻き分ける,かきわける,scrape,見入る,みいる,observe,剥ぐ,はぐ,peel off,仕付ける,しつける,finish,祟る,たたる,haunt
跪く,ひざまずく,kneel,思い知らす,おもいしらす,make someone aware of,凭れる,もたれる,recline,黒ずむ,くろずむ,blacken,繋ぎ止める,つなぎとめる,hold together
見比べる,みくらべる,compare and contrast,切り裂く,きりさく,cut through,焦げる,こげる,scorch,思い知る,おもいしる,realize,引き合う,ひきあう,attract each other
薄める,うすめる,dilute,懐く,なつく,hold in one's bosom,打ち付ける,うちつける,strike,蹴飛ばす,けとばす,kick away,擦り替える,すりかえる,rub against each other
取り締まる,とりしまる,clamp down on,取り返す,とりかえす,take back,遅らせる,おくらせる,slow down,切り込む,きりこむ,cut into,遭わす,あわす,make (someone) to meet (someone)
束ねる,たばねる,bind,しゃがむ,しゃがむ,crouch,汲み取る,くみとる,fetch,差し入れる,さしいれる,insert,見透かす,みすかす,see through
遠退く,とおのく,move away,嵌め込む,はめこむ,set in,廃する,はいする,depose,攀じ登る,よじのぼる,clamber,沈み込む,しずみこむ,sink
授かる,さずかる,be given,擦り抜ける,すりぬける,scrape through,切り抜ける,きりぬける,cut through,打ちのめす,うちのめす,knock down,廃れる,すたれる,go out of business
突き出る,つきでる,stick out,掻き混ぜる,かきまぜる,stir,取り直す,とりなおす,redeem,更ける,ふける,rewind,踏み潰す,ふみつぶす,trample down
屈する,くっする,yield,流れ出す,ながれだす,flow out,降り懸かる,ふりかかる,come to a standstill,問い返す,といかえす,ask back,入り乱れる,いりみだれる,get mixed up in
