Words,Meaning,Sentence,Translation,Level
ということだ,"I’ve heard that, rumour has it that",物価は来月からさらに上がるということだ。,Prices are set to go up even more next month.,3
というのは,"means, is, because, that is to say",機械学習というのはルールの書き換えである。,Machine learning is a rewriting of rules.,3
というと,"speaking of, if it were the case that",日本の古都というと、京都、奈良が思い浮かぶ。,"When I think of Japan's ancient capitals, Kyoto and Nara come to mind.",3
といえば,"speaking of, if it were the case that",スポーツと言えば、君はテニスができるか。,"When it comes to sports, can you play tennis?",3
といったら,"speaking of, if it were the case that",沖縄と言ったら美しい浜辺が有名だ。,Okinawa is famous for its beautiful beaches.,3
というより,rather than,その医者は友達というより知り合いだ。,The doctor is more of an acquaintance than a friend.,3
ところで,by the way,ところで、あなたの専攻は何ですか。,"By the way, what is your major?",3
ところが ,"even so, however, even though",その本は面白そうだった。ところが、読んでみると退屈だった。,"The book looked interesting. But when I read it, I found it boring.",3
とおり,"in the way, the same as",私たちは計画した通りに進める。,We proceed as planned.,3
としたら,"if it were the case that, if we assume",その話が本当だとしたら、私は嬉しいです。,"If that story is true, I would be happy.",3
とすれば,"if it were the case that, if we assume",飛行機で行くとすれば、どのくらいかかりますか。,How long would it take you to get there by plane?,3
として ,"as, in the role of",京都は歴史の古い町として知られている。,Kyoto is known as a city with a long history.,3
とは限らない,"not always, not necessarily",値段が高いものが質がいいとは限らない。,What is expensive is not always of good quality.,3
ついでに,"while you are at it, on the occasion",母は駅まで客を送ったついでに、買い物をしてきた。,My mother went shopping while she was dropping off a customer at the station.,3
つまり,"in other words, that is to say", 彼女は姉の娘。つまり、私の姪だ。," She is my sister's daughter. In other words, she is my niece.",3
と共に,together with,冬の到来と共に日が短くなる。,The days grow shorter with the arrival of winter.,3
うちに ,"while, before, doing",本を読んでいるうちに寝てしまった。,I fell asleep while reading a book.,3
上で,"after, upon",家族と相談した上で私は返事をする。,After consulting with my family I reply.,3
上で,"after, when",内容をご確認の上で、サインをしてください。,Please check the contents and sign.,3
上で,"when, for, in order to",新事業を推進する上で彼女の協力は極めて重要だ。,Her cooperation is crucial in promoting the new project.,3
わけではない,"it doesn’t mean that, it is not the case",この学校の生徒の全員が大学に進学するわけではない。,Not all of the students at this school go on to college.,3
わけだ,"for that reason, no wonder, as you’d expect",道理で彼女はこの秘密を知っているわけだ。,No wonder she knows this secret.,3
わけがない,there is no way that,あんな下手な絵が売れるわけがない。,There is no way I can sell those bad paintings.,3
わけにはいかない,"must not, can’t afford to",私はその問題を黙って見過ごすわけにはいかない。,I can't just sit by and let that problem happen.,3
わりに,"although, rather, unexpectedly",このピザは安いわりにはおいしい。,This pizza is good for the price.,3
ような気がする,"have a feeling that, think that",私は旅に出かけたいような気がする。,I feel like going on a trip.,3
ように ,"in order to, so that",忘れ物をしないように注意してください。,Be careful not to forget anything.,3
ようとする ,"try to, be about to",私は晩ごはんを食べようとしたが、食べられなかった。,"I tried to eat dinner, but I couldn't.",3
ようとしない,"not try to, not make an effort to",彼女は離婚に同意しようとしない。,She is unwilling to agree to a divorce.,3
ずにはいられない,"can’t help but feel, can’t help but do",私は将来のことを考えずにはいられない。,I can't help thinking about the future.,3
ずに,without doing,弟は朝ごはんを食べずに学校に来た。,My brother came to school without eating breakfast.,3
それは~という意味です,it means..,それは幸せであるという意味です。,It means that I am happy.,3
ことは〜が,"although, but",この薬は効くことは効くが、飲むと眠くなってしまう。,"This medicine does help, but it makes me sleepy when I take it.",3
られる,"passive verb, receptive verb",今晩、講堂でリサイタルが行われる。,There will be a recital in the auditorium this evening.,3
られる,"passive verb, receptive verb",この病院は10年前に建てられた。,This hospital was built ten years ago.,3
とか,"I heard that , It seems that, cite an instance",あの店のパンはとてもおいしいとか。,I hear the bread at that restaurant is very good.,3
あるいは,"or, possibly",妻は来週あるいは再来週に出張する予定だ。,My wife will be traveling next week or the week after.,2
ばかり,"about, approximately",私はそこで3時間ばかり並んだ。,I stood in line there for about three hours.,2
ぶりに,for the first time in period of time,彼は三日ぶりに意識を回復した。,He regained consciousness after three days.,2
ちっとも~ない,"not at all, not in the least",彼女は僕の気持ちなんかちっともわかっていない。,She has no idea how I feel.,2
だけあって,"being the case, precisely because",彼はスポーツの選手だけあって筋肉質だ。,"He is muscular, as he is an athlete.",2
だけでなく,not only... but also,彼はバイクだけでなく車も持っている。,He has a car as well as a motorcycle.,2
だけましだ,"it’s better than, one should feel grateful for",今日は寒いが雪が降らないだけましだ。,"It's cold today, but I'm glad it's not snowing.",2
だけに,"being the case, precisely because",やっぱり東京だけに世界各地の食べ物が揃っている。,"After all, only in Tokyo can you find food from all over the world.",2
だけのことはある,"no wonder, it’s not surprising that",この靴ははき心地がいい。名作と呼ばれるだけのことはある。,"These shoes are comfortable. They are called ""masterpieces"" for a reason.",2
だけは,to do all that one can,弁護士に私の問題について話すだけは話した。,I told my lawyer about my problem.,2
だって,"because, but, after all, even, too",金持ちだって不幸な時もある。,Even rich people are unhappy sometimes.,2
ではないか,"let’s do something, why don’t we",タクシーに乗ろうではないか。,Let's take a cab.,2
じゃないか,"let’s do something, why don’t we",みんなで遠足に行こうじゃないか。,Why don't we all go on a field trip together?,2
でしかない,"merely, nothing but, no more than",これらの考えは推測でしかない。,These thoughts are only guesses.,2
どころではない,this is not the time or occasion for,お金がなくて買い物どころではない。,I don't have enough money to go shopping.,2
どころじゃない,this is not the time or occasion for,疲れてテニスどころじゃない。,I'm too tired to play tennis.,2
どうせ,"anyway, anyhow, in any case, after all",どうせ行かなければならないのなら早いほうがいい。,"If we have to go anyway, the sooner the better.",2
どうやら,"it seems like, it appears that, seemingly",どうやら私は風邪を引いたらしい。,It seems that I have caught a cold.,2
える,"can, is possible",そういった事故は時折起こり得る。,Such accidents can happen from time to time.,2
うる,"can, is possible",夢の世界ではどんなことでも起こりうる。,Anything can happen in the dream world.,2
得ない,"unable to, cannot",その数字は統計的にあり得ない。,The numbers are statistically improbable.,2
ふたたび,"again, once more",再び料理が私の趣味となった。,Cooking has once again become my hobby.,2
ふうに,"this way, that way, in what way, how",どんなふうにそこに行くか説明してください。,Explain how you get there.,2
げ,"seems, looks, shows signs of ",彼女は疑わしげに私の顔を見つめた。,She looked at me doubtfully.,2
ごとに,"each, every, at intervals of",あの国の経済状態は日ごとに変化する。,The economic situation in that country changes from day to day.,2
逆に,on the contrary,天気予報と逆に、雨が降り続いている。,"Contrary to the weather forecast, it has been raining.",2
以外,"excepting, with the exception of",私はその音以外何も聞こえなかった。,I heard nothing but the sound of it.,2
いよいよ,"at last, finally",いよいよ今日で3月が終わりです。,"Finally, today is the end of March.",2
反面,on the other hand,この薬はよく効く反面、副作用がある。,"While this medicine works well, it has side effects.",2
果たして,"sure enough, really",果たして私たちはまた会うことができるだろうか。,Will we ever meet again?,2
以上,"because, now that, since, once, as long as",試験を受ける以上、私は何とかして合格したい。,"As long as I am taking the test, I want to pass it somehow.",2
以上に,"more than, no less than",姪は想像した以上に多くの秘密を抱えている。,My niece has more secrets than I imagined.,2
いきなり,"suddenly, all of a sudden",そのタクシーはいきなり右に曲がった。,The cab suddenly turned right.,2
いわゆる,"so-called, so to speak",これはいわゆる斬新なアイデアだ,This is what I call a novel idea.,2
上の,from the standpoint of,彼らは政治上の問題について議論するのが好きだった。,They liked to discuss political issues.,2
か~ないかのうちに,"right after, as soon as",私が講堂に入るか入らないかのうちに式が始まった。,The ceremony began before I could enter the auditorium or not.,2
かえって,"on the contrary, rather, surprisingly",欠点があるからかえって彼女が好きだ。,I like her more because of her flaws.,2
かいがある,it’s worth one’s effort to do something,こんなにおいしい寿司が食べられたので、1時間も列に並んだ甲斐があった。,It was worth waiting in line for an hour for such delicious sushi.,2
か何か,"or something, or something like that",私はコーヒーか何か飲みたい。,I would like to have a cup of coffee or something.,2
かねない,"might happen, might do something",姉ならそれくらいのことは言いかねない。,My sister would have said something like that.,2
かねる,unable to do something,私はその質問の意図を測りかねた。,I couldn't gauge the intent of the question.,2
かのようだ,"as if, just like",彼は誰かに追われているかのように走っていた。,He was running as if someone was chasing him.,2
からこそ,precisely because,早く起きたからこそ私は始発電車に間に合った。,I had woken up early so that I could catch the first train.,2
から見ると,"from the point of view of, by the look of",遠くから見ると、それは人の顔のように見えた。,"From a distance, it looked like a human face.",2
からには,"now that, since, so long as",宿題が終わったからには、自由に外に出て遊んでいい。,"Now that his homework was done, he was free to go outside and play.",2
からして,"judging from, based on",彼の健康状態からしてテニスをするのは賢明でない。,"It would be unwise for him to play tennis, given his health.",2
からすると,"judging from, considering, by the look of",この空模様からすると、雨になりそうだ。,"From the look of the sky, it looks like it will rain.",2
からすれば ,"judging from, considering, by the look of",実践的見地からすれば彼女の計画は実行しにくい。,"From a practical standpoint, her plan is difficult to carry out.",2
からいって,"judging from, considering, by the look of",彼女の能力からいって、ハーバード大学に十分合格できるだろう。,"From her ability, she will be able to get into Harvard University.",2
からといって,just because,私は彼女が金持ちだからといって結婚したのではない。,I did not marry her because she was rich.,2
かと思ったら,"then again, just when, no sooner than",空が暗くなったかと思ったら、激しく雨が降り始めた。,The sky seemed to darken and it began to rain heavily.,2
かと思うと,"then again, just when, no sooner than",私が部屋のドアを閉めたかと思うと、太った猫がドアを開けた。,"Just as I thought I had closed the door to my room, the fat cat opened it.",2
限り,"as long as, as far as, to the extent",すべての言語は話されている限り変化する。,All languages change as long as they are spoken.,2
気がする,feel like,たまに野良猫と目が合う気がする。,Sometimes I think I see eye to eye with a stray cat.,2
っこない,"no chance of, is definitely not possible",その点は間違いっこない。,There is no mistaking that point.,2
ことだから,it is exactly because,真面目なあの人のことだから、時間どおりにくるに違いない。,"Being the serious man that he is, he must come on time.",2
ことなく,without doing something even once,その医者は不満を言うことなく働いた。,The doctor worked without complaint.,2
ことになっている,"to be expected to, to be scheduled to",この宿題は月曜日に提出することになっている。,This homework is due on Monday.,2
ことにはならない,just because... doesn’t mean...,会話上手であることは日本語がうまいということにはならない。,Being a good conversationalist does not mean that one is a good Japanese speaker.,2
ことは~が ,"although, but",このレストランの食事はおいしいことはおいしいが、値段が高すぎる。,"The food at this restaurant is good, but it is too expensive.",2
まい,"won’t, intend not to",新しい駅を建設するのに反対する人はあるまい。,No one would object to building a new train station.,2
すまい,"won’t, intend not to",あの重要な交渉での私のミスを部長は決して許すまい。,The director will never forgive my mistake in that important negotiation.,2
まったく〜ない,not... at all,祖父はお酒をまったく飲めない。,My grandfather cannot drink alcohol at all.,2
も~ば~も,and,あのメキシコ料理屋の食べ物は、値段も安ければ味もいい。,The food at that Mexican restaurant was cheap and tasty.,2
もかまわず,"without caring, without worrying about",彼は雨にぬれるのもかまわず歩き続けた。,"He kept walking, even though he was soaked with rain.",2
ものだから,"because, the reason is",メガネを持ってないものだから、全然見えない。,I can't see at all because I don't have my glasses.,2
ものではない,shouldn’t or impossible to do something, 私たちは消費者を騙すようなことをするものではない。, We do not cheat consumers.,2
ものがある,"there is such a thing (essence), feels like",物事をするには適切な順序というものがある。,There is a proper order to do things.,2
ものか,absolutely not,あきらめるものか。私は最後までやり抜きます。,I will not give up. I will go through to the end.,2
ものなら,if one can do something,行けるものなら、私は来週ベルギーに行ってみたい。,"If I could, I would go to Belgium next week.",2
ものの,"but, although",電子レンジを買ったものの、私は使い方がぜんぜんわからない。,"I bought a microwave oven, but I don't know how to use it at all.",2
もっとも,"but then, although, though", 私は最善を尽くします。もっとも、かなり難しい仕事ですが。,"I will do my best. It's quite a difficult job, though.",2
もう少しで,"almost, nearly",後輩はもう少しで傘を忘れそうになった。,The junior almost forgot his umbrella.,2
むしろ,"rather, instead",私は明日より、むしろ今日動物園へ行きたい。,I would rather go to the zoo today than tomorrow.,2
中を,"in, on, in the midst of, when, while",その小学生は雨の中を1時間も歩いた。,The schoolboy walked for an hour in the rain.,2
中では ,"in, on, in the midst of, when, while",森の中ではあまり鹿を見かけなかった。,I didn't see many deer in the forest.,2
ではいられない,"can’t help but feel, can’t help but do",試験の前だから、勉強しないではいられません。,"It's before the exam, so I can't stop studying.",2
なお,"furthermore, in addition",今度の講演は土曜日です。なお、時間は後ほどお伝えします。,My upcoming lecture is on Saturday. The time will be given later.,2
ないことには~ない,unless you do something,事実を確認しないことには私は何も言えない。,Without checking the facts I can't say anything.,2
なくはない,"it’s not that..., can, may be",あの人の性格を考えると、理解できなくはない。,"Given the man's character, it is not hard to understand.",2
なにも〜ない,no need to,なにも、あなたが恥ずかしがることはない。,Nothing you should be ashamed of.,2
ねばならない,"have to, must",あなたはもっと敵についての情報を集めねばならない。,You must gather more information about the enemy.,2
にあたり,"at the time, on the occasion of",私たちは決定にあたって、偏見に左右されるべきではない。,We should not be influenced by prejudice in our decisions.,2
に反して,"against, contrary to",天気予報に反して雨が降り続いている。,It is raining contrary to the weather forecast.,2
にほかならない,"nothing but, none other than",それは誤解にほかならない。,It is nothing but a misunderstanding.,2
に限って,"only, particularly when",毎週水曜日に限って、映画のチケットが半額になる。,"Every Wednesday only, movie tickets are half price.",2
に限らず,"not just, not only... but also",フクロウは男性に限らず女性にも人気がある。,Owls are popular not only with men but also with women.,2
に限る,"nothing better than, there’s nothing like",夏の暑い日は冷たいビールに限る。,"On a hot summer day, only a cold beer will do.",2
にかかわる,"to relate to, to have to do with",これは国民の生活にかかわる大切な問題だ。,This is an important issue in the lives of the people.,2
にかかわらず,regardless of,審査の結果にかかわらず結果を連絡する。,We will contact you with the results regardless of the outcome of the screening.,2
に決まっている,"surely, must be, must be the case ",あの女性は成功するに決まっている。,That woman is bound to succeed.,2
に越したことはない,"it’s best that, there’s nothing better than",試験当日、試験会場に早く到着するに越したことはない。,"On the day of the examination, there is nothing better than arriving at the examination site early.",2
に応えて,in response to,私の要望に応えて、父はお昼ご飯にラーメンを作った。,"In response to my request, my father made ramen for lunch.",2
に加えて,in addition to,会員たちは雨に加えて激しい風を経験した。,The members experienced heavy winds in addition to rain.,2
に基づいて,based on,この映画は実話に基づいている。,This film is based on a true story.,2
にもかかわらず," despite, in spite of, nevertheless, although",ひどい渋滞にもかかわらず、私は定刻に間に合った。,"Despite the terrible traffic jam, I arrived on time.",2
に向かって,"towards, to face, to head to",飛行機は東に向かって飛んだ。,The plane flew east.,2
に向けて,"towards, to face, to head to",選手たちはゴールに向けて全速力で走っている。,The athletes were running at full speed toward the finish line.,2
に応じて,"depending on, in accordance with",私たちは予算に応じてコース料理を計画する。,We plan a course meal according to our budget.,2
に際して,"on the occasion of, at the time of",彼の結婚に際して、披露宴が開かれた。,"On the occasion of his marriage, a reception was held.",2
に先立ち,"before, prior to",会議に先立ち彼らは夕食をとった。,They had dinner prior to the meeting.,2
にしろ,"though, even if, whether... or",どういう結果になるにしろ、あなたは試すべきだ。,"Whatever the outcome, you should try.",2
にせよ,"though, even if, whether... or",研修に参加しないにせよ、私たちに連絡してください。,"Even if you don't participate in the training, you should still contact us.",2
にしろ~にしろ,whether... or ,就職するにしろ進学するにしろ、あなた自身でよく考えるべきだ。,"Whether you get a job or go on to higher education, you should consider it for yourself.",2
にせよ~にせよ,whether... or ,旅行に行くにせよ、行かないにせよ、早く決めたほうがいい。,"Whether you are going on a trip or not, you should decide quickly.",2
に従って,"as, therefore, in accordance with",これから私はこのアジェンダに従って説明していきます。,From now on I will follow this agenda.,2
にしたら,from the point of view of,子供にしたら、歴史博物館めぐりはつまらないだろう。,"If you are a child, a visit to a history museum will be boring.",2
にしても~にしても,regardless of whether,疲れているにしても疲れていないにしても、彼は作業を続けた。,"Tired or not, he continued working.",2
に相違ない,"without a doubt, certain, sure",この計画を実行するのは困難に相違ない。,It must be difficult to carry out this plan.,2
に沿って,"along with, in accordance with",私たちは海岸に沿って歩いた。,We walked along the beach.,2
に過ぎない ,"no more than, just, merely",私にとってそれは単なる通過点に過ぎない。,"For me, it was just a passing point.",2
にて,"in, at",奈良公園にてシカたちはあなたを待っている。,Deer are waiting for you in Nara Park.,2
に伴って,"as, due to",経済が発展するに伴って環境破壊が問題になっている。,"As the economy develops, environmental destruction is becoming an issue.",2
につけ,"both... and, every time something happens",その音楽を聴くにつけ、昔の彼氏のことを思い出す。,The music reminds me of an old boyfriend of mine.,2
につき,"due to, because, per, each",その村には医師1人につき患者が50人いた。,"In that village, there were 50 patients per doctor.",2
にわたって,"throughout, over",広い地域にわたって大雪が降った。,There was a heavy snowfall over a large area.,2
には,"in order to, for",動物園に行くには、上野駅で電車を降りるべきだ。,"To get to the zoo, you should get off the train at the Ueno station.",2
のももっともだ,"no wonder, ...is only natural",彼女がその成功を喜ぶのももっともだ。,She is right to be pleased with her success.,2
のも当然だ,"it’s only natural that, no wonder, might as well ",あの怠け者が試験に落第するのも当然だ。,No wonder that slacker flunked the exam.,2
のもとで,under,新経営陣のもとで、姉は昇進した。,"Under the new management, my sister was promoted.",2
のみならず,"not only, besides, as well",妹のみならず彼女の娘たちも幸せだった。,Not only her sister but also her daughters were happy.,2
抜きで,"without, leaving out, cutting out",税抜きで今期の利益を計算してください。,Calculate the profit for the current year without tax.,2
抜きにして,"without, leaving out, cutting out",詳細抜きにして、私はすぐ結論に入る。,"Without details, I go right to the conclusion.",2
抜く,"do to the end, do completely, do extremely",妻はその山を最後まで登り抜いた。,My wife climbed that mountain to the end.,2
お～願う ,could you please,ご都合をお聞かせ願います。,Please let me know your availability.,2
を中心に,"focused on, centered on",私たちは次のレッスンで会話を中心に勉強する。,We will focus on conversation in the next lesson.,2
を~として,as,古い神社を背景とする写真を私たちは撮った。,We took a picture of an old shrine in the background.,2
を込めて,filled with,決意をこめて私はその事実を告白した。,With determination I confessed the fact.,2
をきっかけに ,"with... as a start, as a result of",彼の発言をきっかけに事件の真相が明らかになった。,His statement led to the revelation of the truth of the incident.,2
を契機に,"as a good opportunity to, as a result of",出張を契機に、私は部長と親しくなった。,The business trip was an opportunity for me to get to know the head of the department.,2
をめぐって,"concerning, in regard to",町の再開発をめぐって住民が争った。,Residents fought over the redevelopment of the town.,2
をもとに,"based on, from",統計情報をもとに、私はこれから話をする。,"Based on statistical information, I will now tell you my story.",2
を除いて,"except, with the exception of, excluding",営業部長を除いて全員会議に出ました。,All were at the meeting except for the sales manager.,2
を除けば,"except, with the exception of, excluding",少しの綴り間違いを除けば、はそれはよい論文だ。,"Except for a few spelling mistakes, it is a good paper.",2
を問わず,regardless of,経験を問わず、私たちは募集している。,"Regardless of experience, we are recruiting.",2
を通じて,"through, via, throughout",仕事を通じて私たちは知り合った。,We got to know each other through our work.,2
を通して,"through, via, throughout",インターネットを通して本を注文した。,I ordered the book through the Internet.,2
おまけに,to make matter worse,昨日は寒かった。おまけに風も強かった。,"Yesterday was cold. In addition, the wind was strong.",2
おそらく,"perhaps, likely, probably",明後日はおそらく雨になるだろう。,The day after tomorrow it will probably rain.,2
恐れがある,there are fears that,この販売方法は法律に触れる恐れがある。,This sales method may violate the law.,2
ろくに~ない,not doing something properly,妹はろくに英語を話せない。,My sister does not speak good English.,2
際に,"at the time, in case of",入院した際に、いろいろお世話になりました。,Thank you for all your help when I was hospitalized.,2
幸い,"luckily, fortunately",幸いその傷みは軽かった。,"Fortunately, its injuries were minor.",2
幸いなことに,"luckily, fortunately",幸いなことに姉は奨学金を獲得した。,"Fortunately, my sister won a scholarship.",2
さらに,"furthermore, again, more and more",寿司にわさびをつけると、さらに美味しくなる。,Sushi is even better with wasabi on it.,2
せいぜい,"at the most, at best",旅費はせいぜい八百ドルだろう。,Travel expenses would be at most $800.,2
せめて,"at least, at most",せめて日常会話が日本語でできるくらいになりたい。,I would like to at least be able to have daily conversations in Japanese.,2
次第だ,"depending on, so",成功は君の努力次第です。,Success depends on your efforts.,2
次第だ,"depending on, so",天気次第で行くかどうか決める。,Decide whether to go or not depending on the weather.,2
しかも,"moreover, furthermore, and yet",この教科書の説明はわかりやすく、しかも 詳しいです。,The explanations in this textbook are clear and detailed.,2
したがって,"therefore, accordingly, consequently ",雨が激しく降った。したがって野球の試合は中止になった。,"It rained heavily. Therefore, the baseball game was cancelled.",2
その上,"besides, in addition, furthermore",彼には幅広い知識がある。その上、十分な経験もある。,"He has extensive knowledge. On top of that, he has ample experience.",2
それなのに,"and yet, despite this",彼は帰ってくると約束した。それなのに帰ってこなかった。,He promised to come back. And yet he did not.,2
それなら,"then, if that’s the case",それなら話は別だ。,Then it's a different story.,2
それにしても,"nevertheless, at any rate, even so",それにしても私はあなたが優秀だと思う。,Nevertheless I think you are excellent.,2
それとも,"or, or else",お茶はいかがですか、それともコーヒーにしますか。,Would you like tea or coffee?,2
そういえば,"come to think of it, speaking of which",そう言えば、私は彼女と5時に会う約束があった。,"Come to think of it, I had an appointment to meet her at 5:00.",2
そうにない,"xtremely unlikely to, showing no signs of",彼女は重病で回復しそうにない。,She is very ill and unlikely to recover.,2
そうすると,having done that,そうすると彼女の負担が軽くなるだろう。,This would lighten her load.,2
少しも~ない ,"not one bit, not even a little",この事業には少しも危険がない。,There is not the slightest bit of danger in this business.,2
すなわち,"in other words, namely",すなわち彼はそれをしたくないのだ。,"In other words, he does not want to do it.",2
たあげく,"after all, to end up, finally",何度も手術したあげく、治らないと言われた。,"After many surgeries, I was told that there was no cure.",2
のあげく,"after all, to end up, finally",彼は長い病気のあげくに亡くなった。,He died after a long illness.,2
直ちに,"at once, immediately",私は直ちに東京に向かいます。,I am heading to Tokyo immediately.,2
た結果,"as a result of, after",長く話し合った結果、私たちは離婚することにした。,After a long discussion we decided to divorce.,2
の結果,"as a result of, after",この政策の結果、物価が大幅に上昇した。,"As a result of this policy, prices have risen substantially",2
たまえ,order somebody to do something,この問題に集中したまえ。,Stay focused on this issue.,2
た末 ,"as a conclusion of, after",だから迷いに迷った末、行かないことにしたんです。,"So after much hesitation, I decided not to go.",2
の末 ,"as a conclusion of, after",長期間にわたる交渉の末、彼は同意した。,"After lengthy negotiations, he agreed.",2
確かに,"surely, certainly",私は確かにそれを予約した。,I certainly booked it.,2
たって,"even if, even though, no matter how",どんなに忙しくたって、彼は定時に退社する。,"No matter how busy he is, he leaves the office on time.",2
だって,"even if, even though, no matter how", 先生だって間違いをする。, Even teachers make mistakes.,2
たとえば,for example,私は花が好きで、たとえばバラが好きだ。,"I like flowers, roses for example.",2
たところで,even if one does something,タクシーで行ったところで、私は会議に間に合わない。,"Even if I took a cab, I would not make it to the meeting.",2
ばかりはいられない,can’t keep doing something,卒業するためには、授業を欠席してばかりはいられない。,"In order to graduate, you can't keep missing classes.",2
てでも,"even if I have to, by all means", たとえ行列してでも、私はそのレストランの特別メニューを食べ たい。," Even if I have to wait in line, I want to try their special menu.",2
て以来,since, 日本に来て以来、日本に対する自分の考え方が少しずつ変わってきた。,"Ever since I came to Japan, my own attitude toward Japan has gradually changed.",2
以来,since,あの事件以来、大統領の人気が落ちた。,"Since that incident, the president's popularity has declined.",2
ていては,if one keeps doing something,こんなに物価が上昇していては、生活が苦しくなるばかりだ。,"With prices rising like this, life is only going to get harder.",2
てこそ,"now that, since,only after",日本へ行ってこそ、あなたは日本の習慣を理解できるだろう。,Only by going to Japan will you understand Japanese customs.,2
てからでないと,"unless something is done, something else can’t occur",上司にまず相談してからでないとお返事できない。,I cannot respond to you until I first consult with my supervisor.,2
手前,"before, in front of, from one’s standpoint",専門家である手前、私はその問題を解決しなければならない。,"As an expert, I have to solve that problem.",2
の手前,"before, in front of, from one’s standpoint",私たちは原宿駅の手前で待ち合わせた。,We met just before Harajuku station.,2
てならない,"very, extremely",日本語能力検定試験2級に合格して私は嬉しくてならない。,I am very happy to have passed the Japanese Language Proficiency Test Level 2.,2
てしょうがない,"very, extremely, can’t be helped",子どもたちが歌いたくてしょうがない。,The children are eager to sing.,2
でしょうがない,"very, extremely, can’t be helped",私はそれが心配でしょうがない。,I would be worried about that.,2
てしかたがない ,"very, extremely, can’t be helped",今年の夏は暑くてしかたがない。,This summer has been so hot.,2
でしょうがない,"very, extremely, can’t be helped",ほんと不思議でしょうがない。,It must be really strange.,2
てたまらない,"very, extremely, can’t help but do",私はあの家が欲しくてたまらない。,I am dying to have that house.,2
でたまらない,"very, extremely, can’t help but do",将来の事が心配でたまらない。,I am so worried about the future.,2
て当然だ,"natural, as a matter of course",彼女は批判されて当然だ。,She deserves to be criticized.,2
ては,"if, since, one after another",こんなにひどい雨が降っていては、私たちが外出するのは難しい。,It is difficult for us to go out when it is raining so badly.,2
てはいられない,"can’t afford to, unable to",真相を知ったからには、もう黙ってはいられない。,"Now that I know the truth, I can no longer remain silent.",2
てはならない,"must not, cannot, should not",私たちは同じ間違いを繰り返してはならない。,We must not repeat the same mistakes.,2
途中で,"on the way, en route, in the middle of, midway",彼は駅へ行く途中で市役所の前を通った。,He passed by City Hall on his way to the station.,2
途中に ,"on the way, en route, in the middle of, midway",私は家に帰る途中に花屋に立ち寄った。,I stopped at a flower shop on my way home.,2
の途中で,"on the way, en route, in the middle of, midway",ライフは冒険の途中で自由に変更が可能。,Lives can be changed at will during the course of the adventure.,2
の途中に,"on the way, en route, in the middle of, midway",ツアーの途中にもビールが供されます。,Beer is also served during the tour.,2
と同時に,"at the same time as, while ",私は大学入学と同時に大阪に引っ越した。,I moved to Osaka when I started college.,2
というふうに,in such a way that,妹はその事実が信じられないという風に首を振った。,My sister shook her head like she couldn't believe that fact.,2
ということは ,that is to say,物価が上昇した。ということは、やりくりが難しくなる。,Prices have risen. This means that it is more difficult to make ends meet.,2
というものだ,"something like, something called",良質なお手本をまねること、それが学習の第一歩というものだ。,Imitating a good example is the first step in learning.,2
というものでもない,"no guarantee that, not necessarily, doesn’t mean that",円高が日本経済に有利というものでもない。,Nor is a strong yen advantageous to the Japanese economy.,2
といった,such...as,多くの人々が人工知能や仮想現実といった新しい技術に注目して いる。,Many people are looking at new technologies such as artificial intelligence and virtual reality.,2
ところだった,was just about to do something,私はもう少しで電車に傘を忘れるところだった。,I almost forgot my umbrella on the train.,2
とか,"I heard that , It seems that",今夜の花火大会は、雨で中止だとか。,Tonight's fireworks display has been cancelled due to rain.,2
と考えられる,one can think that,その影響は小さいと考えられる。,The impact is considered to be small.,2
ところに,at the time,寝ようとしたところに友達が訪ねてきた。,I was just about to go to bed when a friend came to visit.,2
ところを見ると,"judging from, seeing that",電灯が消えているところを見ると、子供たちはもう寝たようだ。,"The lights were off, indicating that the children had already gone to bed.",2
とっくに,"already, long ago",息子はとっくにそれに気づいていた。,My son had long since figured it out.,2
とも,"even if, no matter",このカレーがどんなに辛くとも、私は食べ切る。,"No matter how spicy this curry is, I will eat it up.",2
としても,"assuming, even if",手がかりを持っていたとしても、甥はあなたにそれを教えないだ ろう。,"Even if he had a clue, he would not tell you.",2
としては,as for,価格としては、その中古バイクは高すぎる。,"As for price, that used bike is too expensive.",2
つもりで,with the intention of doing,姪は一日で読み切るつもりでその本を読み始めた。,My niece started reading that book with the intention of reading it all in one day.,2
つつある ,"to be doing, to be in the process of doing",最近は日本でも転職する人が増加しつつある。,"Recently, the number of people changing jobs is increasing in Japan.",2
つつ,"while, although ",平日は毎日、電車に乗りつつ、私は歴史小説を読む。,"Every weekday, while riding the train, I read historical novels.",2
上に,"as well, besides, in addition to", 昨日寒かった上に、風が強かった。, It was cold and windy yesterday.,2
上は,"now that, since",初稿を書き終えた上は、編集を開始してください。,"Once you have completed the first draft, you may begin editing.",2
は別として,"aside from, apart from",少しのつづり間違いは別として、それは説得力のある作文だ。,"Aside from a few spelling errors, it is a compelling composition.",2
はもとより,"also, let alone",妹は英語はもとより中国語も話せる。,My sister speaks Chinese as well as English.,2
はともかく,"whether or not, regardless of ",値段はともかく、デザインのいい鞄を買うことができた。,"Despite the price, I was able to buy a well-designed bag.",2
はともかくとして,"whether or not, regardless of ",挨拶はともかくとして、さっそく会議の本題に入ろう。,"Greetings aside, let's get right down to the meat of the meeting.",2
わずかに,slightly,道はここでわずかに右に曲がっている。,The road turns slightly to the right here.,2
