Concept,Meaning,Info,Remarks,S.Remarks,R.Remarks,Structure,Sentences,T1,S2,T2,S3,T3,S4,T4,S5,T5
とても,very・ exceedingly,adverb,express something that is quite satisfactory,or something pushing to a higher level,,totemo + N・Verb・Adjective,その答えは実はとても単純です。,The answer is actually quite simple.,湖畔の古い教会はとても美しい。,The old church by the lake is very beautiful.,それはとても面白かった。,That was very interesting.,この薬はとてもよく効く。,This medicine works very well.,衛星画像はとてもすばらしいものだ。,Satellite imagery is very wonderful.
ちょうど,exactly・precisely・just・right,adverb,express something that is exactly or precisely just right,,,choudo + N・Verb・Adjective,ちょうどこの道にいる必要がある。,Just need to be on this road.,劇はちょうど定刻に始まった。,The play began exactly on time.,列車は五時ちょうどに発車した。,The train departed at exactly five o'clock.,以前ちょうどここに商店があった。,There used to be a store right here.,それはちょうどその観測を開始しました。,It has just started its observations.
だんだん,gradually・little by little・more and more,adverb,express something that happens in gradual manner,,,dandan + N・Verb・Adjective,そのスポーツはだんだん人気を得た。,The sport gradually gained popularity.,それでも続けてるとだんだん楽になってくる。,"Nevertheless, it gets easier and easier as you go on.",だんだん暖かい日が増えてきました。,The days are gradually getting warmer and warmer.,そこからだんだんと始めたいです。,I would like to start gradually from there.,控室がだんだん賑やかになってくる。,The waiting room becomes more and more crowded.
そろそろ,soon・any time now・slowly・quietly・steadily,adverb,express something that happens soon or in a slow manner,,,sorosoro + N・Verb・Adjective,そろそろ病院へ行かなきゃ。,I have to go to the hospital soon.,そろそろ帰ろうか。,It's time to go home.,そろそろ準備をする時期です。,It's soon time to get this ready.,そろそろお開きにしよかな。,I think it's time to call it a night.,そろそろ彼がやってくる時刻だ。,It's almost time for him to arrive.
いっしょに,together with・at the sametime,adverb,express something that is done together,,,isshoni + N・Verb・Adjective,これらの贈り物といっしょに包装してください。,Please package these gifts together.,いっしょに昼食でもどう？,Would you like to have lunch with me?,彼女はお母さんといっしょに買い物に行った。,She went shopping with her mother.,私たちといっしょに学校に行かない？,Would you like to go to school with us?,夏休み私といっしょに旅行しませんか。,Would you like to travel with me during the summer vacation?
きっと,surely・undoubtedly・certainly,adverb,indicate that you are sure or certain about something,,,kitto + N・Verb・Adjective,彼らはきっとあなたを待っている。,They are surely waiting for you.,きっと貴重な記録になる。,It will surely be a valuable record.,きっと心配になってるはずだ。,I'm sure they're worried about you.,きっとこの若き女性が手助けしてくれる。,Surely this young lady can help.,きっと忘れられない思い出となるでしょう。,It will surely be an unforgettable memory.
ずっと,throughout・the whole time・much more,adverb,something that had been going or had occurred in a long time,express something much more,,zutto + N・Verb・Adjective,彼は夏中ずっと長野にいた。,He stayed in Nagano throughout the summer.,滝の水は一年中ずっと流れています。,The water from the falls flows all year round.,ずっと一年中春みたいな国に住んでいました。,All my life I lived in a country where it was like spring all year round.,ここよりずっと広い研究所を持っている。,They have a much larger laboratory than this one.,しかしそれでも想像するよりずっと複雑です。,"But still, it is much more complicated than one might imagine."
やっと,at last・finally・​barely・narrowly,adverb,something is finally been able to do or accomplish,finally done beyond expectation or a consequence,,yatto + N・Verb・Adjective,景気はやっと上向き始めた。,The economy is finally starting to pick up.,やっと絵を描き終えた。,I finally finished painting.,やっと自分の家でレッスンを開ける。,"Finally, I can open a lesson in my own home.",あの意味が今やっと分かった。,I finally understand now what that means.,やっと家の所有者を突き止めました。,I finally tracked down the owner of the house.
ようやく,at last・finally,adverb,something is finally been able to do or accomplish,finally done beyond expectation or a consequence,,youyaku + N・Verb・Adjective,そしてようやく修理方法が決まった。,"Finally, a repair method was decided.",ようやく本当の目的を話はじめる。,"Finally, he begins to talk about his real purpose.",ようやく原因がわかりました。,I finally found the cause.,こうしてようやく建設は開始された。,"Thus, construction finally began.",我々はようやく地元の村に到着します。,We finally arrive at the local village.
ついに,at last・finally・in the end・after all,adverb,something is finally came to and end after a long time,"planned, unplanned, wanted or unwanted outcome",did not happen at all beyond expectation or a consequence,tsuini + N・Verb・Adjective,ついに夢のかなう日が来た。,"Finally, the day came when the dream came true.",その作品はついに完成しなかった。,The work was never completed in the end.,ついに長年の努力が実った。,"Finally, years of hard work paid off.",彼らはついに山頂に着いた。,They finally reached the summit.,ついに彼女はその計画を実行した。,"Finally, she carried out her plan."
とうとう,at last・finally・in the end・ultimately,adverb,something is finally came to and end after a long time,"planned, unplanned, wanted or unwanted outcome",did not happen at all beyond expectation or a consequence,toutou + N・Verb・Adjective,彼らはとうとう目的を達成した。,They finally achieved their goal.,とうとう夏がやってきたようだ。,It seems summer has finally arrived.,とうとう目的地に着いたんだ。,We finally reached our destination.,とうとう彼は目的を達成した。,At last he achieved his goal.,とうとう彼女は来なかった。,After all she did not come.
しっかり,tightly・firmly・securely・properly・sufficiently,adverb,doing things in the right way with sufficient effort,often used with words of action and activities,,shikkari + (to) + N・Verb・Adjective,前もってしっかり準備する。,Prepare well in advance.,ソケットに球根をしっかりと押しなさい。,Press the bulb firmly into the socket.,お肌をしっかり保湿します。,Moisturizes skin thoroughly.,専用のマウントでしっかりと取り付けることができます。,It can be securely attached with a special mount.,すべてのケーブルがしっかりと接続されていることを確認します。,Ensure that all cables are securely connected.
きちんと,properly・accurately・exactly・regularly・neatly,adverb,"contain things regularly, neatly and are in place","adheres to a correct way, order, method or process",,kichinto + N・Verb・Adjective,これをきちんと説明するのは大変難しい。,It is very difficult to explain this properly.,きちんと考えてから話し始めなくてはいけません。,You have to think properly before you start talking.,彼は部屋をきちんと整理した。,He set things in order in his room.,きちんと計って創造した。,Properly measured and created.,アクティベーションがきちんと完了していますか。,Has activation been completed properly?
ちゃんと,earnestly・diligently・reliably・perfectly,adverb,"describe to be sure, in correct form, well-organised",and with sufficient or satisfactory result,,chanto + N・Verb・Adjective,ちゃんと着物を着る。,Wear a kimono properly.,部屋はちゃんと片付いている。,The room is properly tidy.,ちゃんと歯を磨いていますか。,Do you brush your teeth properly?,ちゃんと理解してるのか。,Do you understand it properly?,ちゃんと見ておきたいんだ。,I just want to make sure I'm seeing it right.
くなる,became something,inflection,express a change that occurs naturally,convert i-adjective to adverb,,I-Adj-i + ku naru,ここから問題がさらに大きくなります。,This is where the problem gets even bigger.,だんだん暖かくなります。,It will gradually become warmer.,その反対側は暗くなります。,Its opposite side will be darker.,ゲームは非常に面白くなります。,The game becomes very interesting.,コストは高くなります。,Costs will be higher.
になる,became something,inflection,express a change that occurs naturally,convert na-adjective to adverb,,Na-Adj + ni naru,動きが素早く簡単になります。,Movement becomes quick and easy.,採用市場はしばらく静かになります。,The hiring market will be quiet for a while.,システム設計が柔軟になります。,System design becomes more flexible.,ますますは明白になります。,More and more it becomes obvious.,ずっと安価になります。,It will be much less expensive.
くします,do or carry out something,inflection,express a volitional change,brought about on purpose,,I-Adj-i + ku shimasu,この値を大きくします。,Increase this value.,データソースを可能な限り小さくします。,Make the data source as small as possible.,味料で甘くします。,Sweeten with flavorings.,このシーズンの負担を軽くします。,We lighten the load this season.,画像の色を薄くします。,Lightens the color of the image.
にします,do or carry out something,inflection,express a volitional change,brought about on purpose,,Na-Adj + ni shimasu,私達はそれを技術できれいにします。,We clean it up with technology.,パスワードを変更して安全にします。,Change your password to make it secure.,データの価値をさらに明確にします。,Further clarify the value of the data.,リソースを無効にしてから有効にします。,Disable and then enable the resource.,包括的でありながら簡潔にします。,Be comprehensive yet concise.
だから,so・therefore・that’s why,connector-conjunction,conjunction between a cause or reason with,"outcome, consequence or course of action",strongly express one’s thoughts and attitudes,Clause + da kara + Clause,だから、お迎えにきましたよ。,So I'm here to pick you up.,ですから、実際には繋がっていません。,"Therefore, they are not really connected.",いいアイデアが全然出てこなかった。だから、シャワーを浴びた。,I had no good ideas at all. So I took a shower.,シャワーを浴びた。だから、頭がすっきりした。,I took a shower. So my head was clear.,会議がまもなく始まります。だから、走ってきてください。,The meeting will begin shortly. So please come running.
それで,so・so with that・therefore・and then,connector-conjunction,"conjunction between a cause, reason or trigger with",a fact that is happening or happened,,Clause + sore de + Clause,それで、少し調べてきました。,So I've been doing some research.,それで、ハードドライブが自動削除を行った。,So the hard drive did an automatic delete.,いいアイデアが全然出てこなかった。それで、シャワーを浴びた。,I had no good ideas at all. So I took a shower.,シャワーを浴びた。それで、頭がすっきりした。,"I took a shower. So with that, it cleared my head.",最近、禁止した。それで、健康になった。,"Recently, I stopped smoking. So, I became healthier."
そこで,so・then・therefore・thereupon,connector-conjunction,conjunction between a problem or a situation with,an action to solve or improve the situation,,Clause + soko de + Clause,そこで、モーションキャプチャーに注目しました。,So we focused on motion capture.,そこで、会社はオフィスを設けます。,"Therefore, the company sets up an office.",いいアイデアが全然出てこなかった。そこで、シャワーを浴びた。,I had no good ideas at all. So I took a shower.,携帯電話が鳴った。そこで、図書館を出ることにした。,My cell phone rang. So I decided to leave the library.,最近、疲れがたまってきた。そこで、少し休むことにした。,"Recently, I have been feeling tired. So I decided to take some rest."
すると,thereupon・hereupon,connector-conjunction,conjunction between an event happened,with next event happened just after the first one,successive events・unexpected after event,Clause + suru to + Clause,すると、新しいライブラリが登録されます。,"Thereupon, the new library is registered.",すると、サイドバーからフォルダが消えます。,"Thereupon, the folder will then disappear from the sidebar.",すると、まさに可笑しなことが起こりました。,"Then, something truly funny happened.",シャワーを浴びた。すると、頭がすっきりした。,I took a shower. Then my head felt clear.,強い風が吹いた。すると、突然どあが開いた。,A strong wind blew. Then suddenly the door opened.
そして,and・and then,connector-conjunction,listing something similar to what comes before,doing something following what comes before,,Clause + soshite + Clause,日本は広い。そして美しい。,Japan is a big country. And it is beautiful.,彼女はサッカーが好きです。そしてとても上手です。,She loves to play soccer. And she is very good at it.,彼女は浴衣を着ました。そしてお祭りに行きました。,She put on a yukata. Then we went to a festival.,そばの風味がよいですね。そして、歯ごたえもあります。,It has a good buckwheat flavor. And it has a crunchy texture.,そこの食事はとても良い。そして同じ事がサービスにもいえる。,The food there is very good. And the same can be said for the service.
それから,and・after that,connector-conjunction,listing something similar to what comes before,doing something following what comes before,,Clause + sore kara + Clause,野菜を切ります。それからフライパンで炒めます。,Cut vegetables. Then fry them in a frying pan.,まず肉を炒める。それから順に野菜を入れていきます。,First fry the meat. Then add the vegetables in order.,人にとって水は貴重です。それから空気です。,Water is precious to man. Then there is air.,お金を入れてそれからボタンを押します。,Put in the money and then press the button.,,
それに,moreover・on top of that,connector-conjunction,adding something to what comes before,adding something similar to what comes before,,Clause + sore ni + Clause,食べ物の味は特別です。それに付随する匂いも同じくらいです。,The taste of food is special. So is the smell that accompanies it.,部屋は机といすとそれにガスストーブもあった。,"The room had a desk and chair, plus a gas stove.",,,,,,
そのうえ,besides・moreover,connector-conjunction,adding something similar to what comes before,,,Clause + sono ue + Clause,彼は食べ物と、その上にお金もくれた。,"He gave me food and, on top of that, money.",彼女は道に迷い、そのうえ雨が降り出した。,"She got lost, and on top of that, it started to rain.",彼は英語を読めるし、そのうえ書けもする。,He can read and even write English.,彼女はすばらしい歌い手だ。そのうえ、女優としての才能もある。,"She is a great singer. On top of that, she is a talented actress.",彼はとても頭が良い。そのうえよく勉強する。,He is very smart. He also studies very hard.
もちろん,of course・certainly,adverbial,"sets the initial mood, mode or manner of the sentence",,,mochiron + Clause,もちろん、最初は副作用があった。,"Of course, there were side effects at first.",もちろん、現実はだいぶ違います。,"Of course, the reality is much different.",もちろん、免税手続きは全てのレジで可能。,"Of course, duty-free procedures are available at all cash registers.",もちろん、新鮮ですし、美味しい。,"Of course, it is fresh and delicious.",もちろん、地域だけに限りません。,"Of course, it is not limited to the local."
なるほど,that's right・indeed・i see,adverbial,"sets the initial mood, mode or manner of the sentence",,,naruhodo + Clause,なるほど、この車は小さいが力強い。,"Indeed this car is small, but it is powerful.",なるほど、これが本当においしい蕎麦というものか。,"I see, this is really delicious soba.",なるほど、それは合点がいきますね。,"I see, that makes sense.",なるほど、彼はまだ若いがとても分別がある。,"Indeed he is still young, but he is very prudent.",なるほど、それは間違いかもしれない。,"I see, that could be a mistake."
とりあえず,for now・fort the time being・first of all,adverbial,"sets the initial mood, mode or manner of the sentence",,,toriaezu + Clause,とりあえず、電子レンジは使えるわね。,"For now, you can use the microwave.",とりあえず、基本から始めましょう。,"For now, let's start with the basics.",とりあえず、窓開けてみる。,"In the meantime, I'll open a window.",とりあえず、学校まで乗せてってくれる？,"In the meantime, can you give me a ride to school?",とりあえず、降りてバス停を探そう。,"For now, let's get off and find a bus stop."
