W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
別紙,Attachment,回避,avoidance,道のり,way,落語,Rakugo,自作,Homemade,誌,magazine
チャーター,Charter,見識,insight,多大,much,ディーゼル,Diesel,カプセル,Capsule,安堵,Relief
第三者,third party,対比,contrast,チェロ,cello,役立つ,Useful,バンクーバー,Vancouver,慰霊,consolation
番手,number of people,防水,Waterproof,既定,predetermined,ニックネーム,Nickname,鎧,Armor,冥福,rest in peace
盛大,grand,新郎,Groom,眠り,sleep,公社,Public Company,パーツ,Parts,収まる,come to an end
有給,Paid,見落とす,overlook,蜂,bees,処方,Prescription,誘う,Invite,ああ,Ah!
オリジナル,Original,射程,range,外壁,Outer wall,回顧,Retrospective,フレンドリー,Friendly,九月,September
歳出,annual expenditure,附帯,incidental,中等,medium,脅威,Threat,運輸省,Department of Transportation,クローズアップ,Close-up
特製,special,手数料,Fees,省令,Ordinance,馬車,carriage,発動,invoke,リゾート,Resort
表題,title,十月,October,最大,Max.,終末,End,インフルエンザ,Influenza,クレーム,Complaints
双方向,Bidirectional,もたらす,bring,コンビニ,Convenience store,暁,Dawn,マスメディア,Mass media,ぐる,Guru
今や,Now,幾何,Geometry,歌声,Singing voice,画像,Image,近況,recent news,美学,Aesthetics
イメージ,Image,コミック,Comics,フライパン,Frying Pan,エアコン,Air conditioning,マイク,Mike,諸島,Islands
裏腹,Reverse side,ギャラリー,Gallery,バナナ,Banana,嗜好,preferences,出逢う,Encounter,週刊,Weekly
かむ,kami,解禁,Unveiling,圧勝,Overwhelming victory,打ち明ける,open up,愛車,My car,挑む,Challenge
ひさし,eagle,概観,overview,マシン,Machine,取り寄せる,order,静脈,Vein,球場,Ballpark
金星,Venus,わざわざ,tricks,プライベート,Private,フォロー,follow,アルファベット,Alphabet,クリニック,clinic
主として,as Lord,ボス,boss,国政,National Politics,併合,merge,目の当たり,eye contact,精進,devotion
不変,Immutable,遺言,will,税込み,Tax included,デザート,Dessert,オペラ,opera,ナショナリズム,Nationalism
放課後,After school,難民,refugees,医薬品,Pharmaceuticals,ホームページ,Homepage,有様,state,実効,practical effect
疾病,Disease,賞味,prize,ファシズム,Fascism,点滴,Drip,綿密,meticulous,算定,calculation
チーム,Team,支払い,payment,打ち出す,launch,定時,Regular time,ソース,source,費やす,spend
落とし穴,Pitfalls,レシピ,Recipe,想う,think,ダンサー,Dancer,対戦,game against,シンクロ,Synchronization
腫瘍,Tumor,渡し,handing over,浮かび上がる,come to the surface,リトル,Little,推測,Guess,月収,monthly income
古書,Old books,申立,claim,認定,Certification,ブリッジ,Bridge,ひっくり返す,Turn over,学童,School children
姉ちゃん,Sister,選手権,Championship,中日,China and Japan,歳月,Years and months,人前,in front of others,当初,Initially
異端,Heresy,閉店,Closing,誇張,Exaggeration,妖怪,Monster,自決,self-determination,受かる,Accepted
トレード,Trade,物流,Logistics,中国人,Chinese,鷹,Hawk,クリーン,clean,バレンタイン,Valentine's Day
十一月,November,初め,beginning,空手,Karate,使徒,Apostle,見捨てる,forsake,はず,not
車内,In the car,速,Speed,気まぐれ,whim,港湾,harbor,残業,overtime,日本銀行,Bank of Japan
ボーイ,Boy,徹す,through,今さら,now or never,後方,rear,キット,Kit,彩る,color
ミサ,Misa,広範,Extensive,払拭,sweeping away,打破,Defeat,西口,West exit,頒布,distribution
打者,Batter,フィル,Phil,小児,child,家電,Home appliances,祝福,Blessing,別個,separate
クーデター,Coup d'Etat,愛人,Mistress,本能,instinct,カフェ,Cafe,マスク,Mask,スナック,Snack
落書き,Graffiti,ルート,Root,女子大,Women's College,齢,age,評,Rating,理事,Director
メンタル,Mental,任意,optional,上場,Listing,振り込む,transfer,ユーロ,Euro,コンパクト,Compact
セクハラ,Sexual harassment,一元化,Centralized,時半,half an hour,サロン,Salon,この方,This one,ジャパン,Japan
酔い,Drunkenness,車線,lane,ブルガリア,Bulgaria,彼女ら,girlfriends,我ら,us,ディフェンス,Defense
憎悪,Hatred,適正,appropriate,集落,community,北京,Beijing,四月,April,観覧,viewing
魔力,Magic,参列,participation,能動,active,ホンダ,Honda,闇,Darkness,バージョン,Version
フェンス,Fence,対峙,confrontation,昼過ぎ,Afternoon,投じる,throw,共演,performing together,パフォーマンス,Performance
北陸,Hokuriku,小物,small things,常連,regulars,滑稽,ridiculous,見据える,looking at,怪物,Monster
ドーム,Dome,小学,elementary school,愛想,friendliness,批准,ratify,明記,clarity,先送り,Postponement
誘惑,Temptation,今季,This season,行程,route,侍,Samurai,木々,trees,半導体,Semiconductor
警察庁,Police Department,運動会,Field day,賭け,betting,苦しみ,suffering,テキサス,Texas,歓喜,Delight
いとこ,Cousin,背,back,前線,front line,目玉,eyeball,リモコン,remote control,インドネシア,Indonesia
いかにも,Really,そそる,intriguing,デート,dating,トリック,trick,表する,show,試乗,test drive
プロ,professional,言い方,way of saying,脅す,threaten,トヨタ,Toyota,支援,Support,色気,sex appeal
近日,soon,仮,provisional,ボストン,Boston,健闘,good fight,ライン,Lines,緑茶,green tea
空調,air conditioning,計量,weighing,プレゼンテーション,Presentation,発端,beginning,業種,Industry,やり直し,starting over
開講,Opening lecture,構内,premises,供述,Deposition,一端,one end,ランプ,Lamp,親族,relatives
生き抜く,Surviving,崖,cliff,サイレン,Sirens,攻防,attack and defense,緑地,Green Space,スポンジ,spongebob
不完全,Incomplete,何者,who,ポスター,Poster,工務,engineering,論調,Editorial,満開,full bloom
良,Good,ピアニスト,pianist,コンセンサス,Consensus,損益,profit and loss,インスタント,instant,再開,reopen
前年,Previous year,きっかけ,impetus,格子,Lattices,着実,steady,ひとまず,Instant,フロリダ,Florida
ディナー,Dinner,独断,dogmatic,基幹,Core,はしゃぐ,frolic,インパクト,Impact,蒸留,Distillation
入力,Input,生理学,physiology,開戦,War start,ベタ,Beta,関わる,Involved,東部,Eastern
当方,us,盛る,serve,労力,effort,プログラマー,programmer,支部,branch,レス,Res
参事官,Counsellor,慰謝,consolation,同日,Same day,細部,details,見当たる,found,敬遠,Respect
シェフ,Chef,緊迫,tension,困惑,confusion,二月,February,戦略,Strategy,習得,Mastery
来場,Visit,ラグビー,rugby,代用,substitute,装着,Mounting,マリ,Mali,東アジア,East Asia
任天堂,Nintendo,公司,government,風力,wind power,元祖,Original,実技,practical skills,ストライキ,Strikes
サウナ,Sauna,炭,charcoal,古今,ancient and modern,武術,Martial Arts,物品,goods,市販,Market
本屋,Bookstore,ヨット,yacht,都道府県,Prefecture,際立つ,stand out,最適,Optimal,境遇,Circumstances
充てる,fill,セラピー,Therapy,馬場,Baba,一段落,one level down,ロット,Lot,あの世,the other world
直視,direct view,シカゴ,Chicago,悪口,bad language,怒る,anger,パーク,Park,入試,entrance examination
用法,Usage,ホームレス,Homeless,誘致,attraction,リーダーシップ,leadership,見極める,Identify,段落,paragraph
重傷,serious injury,アナリスト,analyst,マイホーム,My home,弁明,explanation,指名,Nominate,ありとあらゆる,Every kind of
服従,obedience,養育,Foster care,飲み屋,drinking establishment,ラマ,Llama,農園,Plantation,試練,trials and tribulations
出回る,go out,雑,Miscellaneous,公的,official,着用,dressing up,速攻,quick attack,築き上げる,building up
後,after,アドレス,Address,兵力,troops,怠慢,negligence,せしめる,Wooing,フェリー,Ferry
扶助,aid,粒子,Particles,救出,rescue,三角形,Triangle,オール,ALL,不可避,inevitable
押し出す,push out,復刻,Reprint,年上,Older,比,ratio,クリア,Clear,累積,Accumulation
クロアチア,Croatia,歪む,warp,カクテル,Cocktails,新田,Xinta,待機,wait,平然,equanimity
エール,Yale,大将,General,論評,Commentary,在来,conventional,済ます,finish,知覚,Perception
エコノミー,Economy,フェスティバル,Festival,殿下,Your Highness,披露宴,wedding reception,成り行き,go,主治医,attending physician
再度,again,たのしい,fun,平方メートル,Square meters,サイン,sign,片方,one side,ウッド,Wood
回る,turn,堂,hall,部局,Department,バー,bar,質量,mass,犯,Perpetration
新品,New,逃げ,escape,ビジョン,Vision,ヘクタール,hectare,本学,University,傷つく,hurt
ステッカー,Sticker,緩む,slacken,汎用,General Purpose,待ち合わせ,Meeting up,チューブ,tube,乗り込む,get in
営む,run,新車,new car,カ所,location,弱者,The weak,五月,May,読み書き,Reading and writing
エンジェル,Angel,勤勉,diligence,結びつく,Conjugate,飢餓,Hunger,一刻,One moment,新書,New book
盛り込む,include,メロディー,melody,下半身,Lower half of body,ハンター,Hunter,容姿,appearance,マラソン,marathon
修士,Master,旋律,melody,七夕,Star Festival,シルク,Silk,近鉄,Kintetsu,馬券,Horse ticket
専門医,medical specialist,念頭,mind,重症,serious illness,根強い,Perseverance,おかず,side dish,進入,Entry
プレーヤー,player,夏場,summer,薬剤師,pharmacist,生き残り,Survivor,読み取る,read,太平洋,Pacific Ocean
キャンセル,Cancel,採集,Collecting,接点,Point of contact,バスケット,Basket,愛称,nickname,飢える,Starve
過言,overstatement,熟成,ripening,クリスチャン,Christian,コーヒー,coffee,翌日,next day,プログラミング,Programming
マックス,Max,気合い,spirit,貨幣,Currency,南京,Nanjing,官房,government office,衆,people
開館,Open,押し寄せる,surge,クッキー,Cookies,著しい,remarkable,サラリーマン,office worker,具,equipment
外資,foreign investment,恐れ,fear,一息,Sigh,投げ出す,Throw out,焼却,Incineration,球団,baseball team
品切れ,out of stock,ハーモニー,harmony,キー,Key,層,Layer,自給,self-sufficiency,王家,royal family
はだける,open to the public,ヒール,Heal,強度,strength,テント,Tent,項,term,モラル,Morals
上げ,raising,本数,Number of Books,取り合う,fight,汚職,Corruption,滅ぼす,destroy,葬る,burial
ミュージカル,musical,変容,Transformation,妖精,fairy,報じる,report,最古,oldest,町並み,Towns
手がける,work with,朱,Vermilion,散々,scattered,総数,Total number,男優,male dominance,インディアン,Indians
発砲,firing,スイッチ,Switch,後援,backing,検察,Prosecution,悪用,Abuse,今更,Now
加筆,add,伝言,message,主旨,main idea,外食,Eating out,メニュー,Menu,純正,Genuine
凝る,elaborate,安打,Slap,流出,outflow,聴覚,Hearing,ライフスタイル,Lifestyle,高値,High price
心,mind,快感,pleasant feeling,税込,Tax,至上,supremacy,そういった,like that,積極,Positive
久しい,long time,先物,Futures,工法,construction method,寝かせる,Put to sleep,ただただ,Just,海上,Marine
容量,capacity,生まれ変わる,rebirth,低減,Reduction,自負,self-confidence,検察庁,Prosecutor's Office,インプット,Input
仕組み,mechanism,体質,constitution,先進,Advanced,購買,Purchasing,小島,Kojima,超越,Transcendental
薬物,drugs,最小,minimum,ゴールデンウィーク,Golden Week,青色,blue,型,Type,フラン,Franc
想い,Thoughts,月刊,Monthly,親密,intimate,送付,send,恒久,Permanent,未然,Unprecedented
タンク,Tank,プレゼン,presentation,くつろぐ,Relaxation,塁,base,英訳,English translation,錬金術,Alchemy
留保,Reserved,体裁,physical appearance,石垣,stone walls,カオス,chaos,台頭,Rise,先制,Preemptive
絶好調,Excellent,降る,fall,一環,one ring,通報,Report,発刊,publication,書名,Book Title
キャベツ,Cabbage,多角,polygonal,手掛ける,work with,フロント,Front,幻想,Illusion,仕入れる,stock up
古本屋,Used bookstore,役員,Executive,センス,sense,薄れる,fading,主席,President,ステップ,Step
競合,competition,本位,essential,授与,bestow,ストップ,stop,ボディー,body,かつて,Once
夕,evening,最良,best,包囲,siege,疑念,Suspicion,絡む,entwine,和む,Harmonize
マーケティング,Marketing,介助,help,ランク,Rank,感じ取る,sense,データ,Data,飲み込む,Swallow
選別,Sorting,久々,long time,系譜,Genealogy,投信,investment trust,セット,Set,デザイン,Design
スペース,Space,垢,innocence,免れる,Immunity,覚醒,awaken,当たり,hit,染める,Dye
代償,Compensation,公営,public,起立,Standing,目当て,aim,草案,Draft,主将,commander
鑑定,Appraisal,上告,first notice,配当,Dividend,養老,endowment,やり直す,Redo,不能,Incompetence
大佐,Colonel,和菓子,Japanese sweets,マルチ,Multi,校内,in school,人文,humanities,崇拝,adore
初夏,Early summer,投下,throw down,不法,Illegal,駆動,Drive,ロッカー,Rocker,甘える,spoil
とてつもない,tremendous,ずらす,shift,ダイジェスト,Digest,上野,Ueno,力学,mechanics,身近,familiar
ロボット,Robot,人事院,National Personnel Authority,アクセント,accent,ハム,Hum,全文,Full text,星座,constellation
度合い,degree,奥深い,profound,殺到,flood,乗り越える,Getting over,採取,Collecting,因縁,fate
悪循環,Vicious circle,フランクフルト,frankfurters,協,cooperation,リストラ,Restructuring,浪,wave,山道,mountain path
重心,center of gravity,やりがい,worth doing,利回り,Yield,族,Tribe,導き出す,derive,起因,cause
括る,bundle,会計検査院,Board of Audit,六月,June,セクション,Section,出所,Source,揃い,alignment
移籍,transfer,日誌,logbook,インテリア,interior,ありとあらゆる,Any and all,ストリート,Street,試作,trial manufacture
メンバー,member,出頭,Appearing in court,異国,exotic,引ける,pull,不備,inadequacy,解読,deciphering
局長,Director,最新,Latest,公示,Public notice,所管,jurisdiction,洲,province,不可解,Inexplicable
誤認,misidentification,いただける,Available,図面,Drawing,互換,compatible,圧倒的,overwhelming,原子力,Nuclear power
変換,Conversion,ソナタ,Sonata,味付け,Seasoning,立ち寄る,stop by,ダウンロード,Download,感度,Sensitivity
自前,own,供与,Giving,ワゴン,Wagon,スムーズ,smooth,彗星,Comet,木製,Wooden
情報処理,information processing,高,high,ワシントン,Washington,遠征,Expedition,マイナス,Minus,不愉快,Unpleasantness
最強,strongest,時点,At,解約,Termination,ライス,Rice,シングル,Single,不器用,Clumsy
フル,Full,新年,New Year,溶接,Welding,覆い,Cover,色合い,Hue,読売,Yomiuri
実名,Real name,仕える,Serve,償還,Redemption,塗料,Paint,メーカー,Maker,夕暮れ,Dusk
母語,native language,党員,party members,無理やり,Forced,代弁,speaking for,パーフェクト,Perfect,書き方,writing
獅子,Lion,ウエスト,West,パニック,Panic,飛び交う,flying around,ナウ,Now,愛国,patriotism
就学,schooling,開設,Opening,貧乏,Poverty,主たる,main,激化,Intensify,養う,nourish
乱用,abuse,パロディ,Parody,条例,ordinances,なめる,lick,持ち出す,Bring Up,サード,Saad
改憲,constitutional changes,構図,Composition,後回し,postponement,食,eat,熟練,Skilled,急増,rapid increase
疑い,doubt,返る,Return,買い,Buying,横目,sideways glance,ワード,Word,バランス,Balance
帯びる,wear,ドレス,Dress,ミーティング,meeting,事後,after,面白,Interesting,タイル,Tile
親父,father,乗務,Boarding,予見,foresight,運行,operation,切り出す,Cut out,間違う,Wrong
ヒロイン,heroine,霊的,Spiritual,メール,email,環状,ring,漁,fishing,シリーズ,Series
ガレージ,Garage,ビニール,Vinyl,金儲け,making money,グアム,Guam,来店,coming to the store,デビュー,Debut
赤色,red,端末,Terminal,無論,no argument,不全,incomplete,臨む,deal with,白書,White Paper
山形,Yamagata,講和,Lecture,構文,syntax,運び,transport,申し出る,request,腕時計,Watch
先方,destination,白鳥,White Swan,見込む,expectation,軍団,Legion,大綱,outline,デメリット,demerit
年月日,Year Month Day,法的,Legal,若手,young,タイトル,Title,試算,trial calculation,らっしゃる,Shall We?
メッセージ,Message,治癒,Healing,専売,monopoly,カウント,Counting,好感,favorable impression,王妃,Queen
蔓延,spread,追いつく,catching up,間もなく,soon,至福,Bliss,液晶,Liquid crystal,節目,milestone
気力,energy,改悪,Revision,挙がる,coming up,混同,confusion,ソング,song,橘,Tachibana
地価,Land price,遺産,Legacy,知,knowledge,浮き彫り,Embossed,朝刊,morning edition,パーマ,perm
パネル,Panel,言説,Discourse,侵す,invade,シアター,theater,慕う,adore,模試,Mock exam
ポルノ,Pornography,紀元前,B.C.,当座,for the time being,乗り切る,Getting through,手続,procedure,量的,quantitative
シーツ,Sheets,和風,Japanese style,断じて,for the moment,土,earth,訪れる,visit,リクエスト,Request
前向き,Forward,調書,protocol,愛犬,love dog,常,Always,圧巻,overwhelming,浮上,Surfacing
ピーク,Peak,資質,qualities,スクール,school,イベント,Event,粉砕,shatter,敬称,Honorific
リスク,Risk,窒素,Nitrogen,古本,used book,難い,Difficult,翻弄,toss,監理,Supervision
到底,attainable,大いなる,Great,照会,Inquiry,ライム,Lime,アナウンサー,announcer,北方,Northern
言及,mention,昨年度,last year,舞踊,Dance,絶望,Despair,隔離,Isolation,強いる,Force
名門,prestigious,反論,rebuttal,テレビ局,TV station,入れ替える,Replace,愛しい,Lovely,売り出す,Sell
カ国,countries,横行,rampant,夕食,Dinner,入門,Introductory,気象庁,Japan Meteorological Agency,前記,aforementioned
原案,draft,幕末,end of Edo period,無意味,Pointless,大野,Ono,辿る,trace,債務,Debt
ボトル,bottle,取締,control,宝物,Treasures,リボン,Ribbon,戦前,prewar,広まる,Spread
行使,exercise,捕らえる,seize,ありのまま,just the way it is,本木,Motoki,多種,many kinds,査定,Appraisal
履修,Course,コントロール,control,政界,politics,取り組み,Effort,敗退,Defeat,射る,shoot
死去,Death,晩餐,Supper,粉,powder,バージョンアップ,Version Up,エントリー,Entry,冬季,Winter
空白,blank,強風,strong wind,カート,Cart,そのまま,As is,切り替え,Switch,災い,disaster
任期,term of office,お過ごし,spending,一目瞭然,at a glance,ライバル,Rivals,顔色,face color,プロダクション,Production
放映,broadcast,才,talent,前身,predecessor,弁護士,Lawyers,保留,pending,ショッピング,Shopping
本命,true love,直し,fixing,人数,Number of people,盛り上がり,Rise,まぬけ,stupidity,弾道,ballistics
樹脂,resin,ストック,stock,エピソード,Episode,内政,domestic affairs,追求,pursuit,判る,Understand
追いやる,drive away,寝不足,lack of sleep,称号,Title,漂う,in the air,俗,worldly,大晦日,New Year's Eve
本拠地,home,社交,socializing,絶版,out of print,前夜,the night before,行き先,destination,壁面,Wall
選任,appoint,小雨,Light rain,善意,Good intentions,高額,high price,道筋,path,エリート,Elite
促す,encourage,年数,Number of years,低迷,Sluggish,供養,memorial service,炒める,fry,祭壇,altar
アシスタント,Assistant,陣,camp,脳死,Brain Death,船長,captain,体調,physical condition,旦那,master
アナウンス,announce,こもる,huddle,同然,Same,取り込む,to take in,打ち込む,hit,範,range
バーベキュー,Barbecue,格段,grade,モニター,Monitor,そうした,I did.,ボリューム,volume,クレジットカード,credit card
精力,energy,修道,training,痴呆,dementia,美女,beautiful woman,使い道,how to use,語り合う,talk to each other
男児,Boys,未遂,attempt,なんだかんだ,what is it?,追随,Follow,スタジアム,stadium,救世主,Savior
同期,Synchronization,攻勢,offensive,放置,neglect,喫煙,Smoking,断固,resolute,客室,Guest room
楽章,Movement,つなぎ,nets,読み方,Reading,最小限,Minimal,鶏肉,Poultry,チョコレート,Chocolate
皇太子,crown prince,振込,transfer,利率,rate of interest,崇高,Sublime,スポット,spot,見抜く,see through
絶品,exquisite,等価,equivalence,免れる,exempt,性的,Sexual,コピー,Copy,メタル,Metal
ブルース,blues,大地,earth,芸人,performer,渡航,Traveling,物件,Property,活性,Activity
絶つ,extremes,全域,whole area,近付く,approach,コメント,Comments,商標,Trademark,慢性,Chronic
月額,Monthly,楽園,paradise,故意,intentional,新設,New,かくして,Thus,路地,Alley
狂,mad,退く,retreat,水路,waterway,不要,Unnecessary,イングランド,England,開示,Disclosure
宝くじ,Lottery,依然として,still,本性,true nature,引き下げ,Lowered,手口,M.O.,いい,Good
ポジション,Position,アンプ,amp,佐,Sa,断,No,ノー,no,パワー,Power
大口,Large,不十分,Insufficient,容疑,Suspect,眉,Eyebrows,しみじみ,deeply,シャフト,Shaft
テクノロジー,Technology,大型,Large,ボーナス,Bonus,共鳴,Resonance,カバー,Cover,タイムズ,Times
力量,Strength,コース,Course,ロビー,Lobby,ミスター,Mr.,フェラーリ,Ferrari,人妻,Married women
舗装,Pavement,被爆,Exposure to radiation,出願,Application,波長,Wavelength,工具,tool,モール,Mall
クラシック,Classic,束縛,Binding,納品,Delivery,メールアドレス,email address,平行,parallel,重複,Duplicate
病状,Medical conditions,定まる,Fixed,売春,Prostitution,勲章,Medal,明かす,reveal,その道,The Way
会長,Chairman,手形,Bills,模範,Exemplar,届け,delivery,帰省,return,ホワイトハウス,White House
損傷,Damage,振るう,wield,片隅,A Corner,ホース,hose,来訪,visit,川上,Upstream
仕入れ,Stocking,上質,fine quality,村人,Villagers,マウス,mouse,因果,cause and effect,伸び,Stretch
レース,Race,カントリー,country,休止,Dormancy,喚起,reminder,現職,current job,先発,first
山間,Mountains,走り出す,start running,ゲート,Gate,リレー,Relay,エンジン,engine,筆頭,first
天下り,Descent,チャンネル,Channel,本店,Head Office,四半期,quarter,ポピュラー,Popular,排気,Exhaust
無職,unemployed,アイデア,ideas,格付け,Rating,言,words,充足,sufficiency,ゴー,go
大袈裟,exaggeration,とどまる,stay,公約,Commitment,在留,Residency,宅地,residential area,受益,beneficiary
置き場,place of storage,思索,contemplation,ポイント,Points,新生,New,参戦,Participation,ダイアリー,diary
再考,reconsideration,続行,continue,芽生える,sprout,ビッグ,Big,小道具,Props,わが国,our country
出資,investment,しがみつく,cling,初代,First generation,ひっそり,quietly,ファックス,fax,蛋白,Protein
おおむね,mostly,恥じる,be ashamed,東海,Tokai,入り,entering,本書,this book,たい,body
人道,humanity,ユニーク,unique,前もって,In advance,現役,active,初回,First time,押し込む,push in
深層,deep,終身,lifetime,投融資,investment and financing,逃す,miss,間近,Upcoming,雛,chicks
議事,agenda,表記,Notation,陽子,proton,強み,strength,コミュニティ,Community,都内,in Tokyo
固執,persistence,コレクション,Collection,テニス,tennis,メロン,melon,呆然,dumbfounded,考え方,thinking
模擬,simulation,忠誠,Loyalty,考え出す,Thinking out,巨人,Giants,好物,Favorites,晒す,expose
タグ,tag,サー,Sir,二日酔い,Hangover,自発,Spontaneous,パンチ,Punch,目覚める,wake up
ピンク,pink,リフレッシュ,Refresh,当事者,Party,いろんな,Various,残留,Remaining,所在地,location
続出,continue,つつく,Poke,リーダー,Leader,人身,human body,いつの間にか,When did this happen?,貸与,loan
自明,self-evident,引き起こす,cause,希少,Rare,言動,words and deeds,ゴルフ,Golf,合体,combine
味噌汁,miso soup,光栄,glory,吸い込む,Inhale,城,castle,住人,Resident,駆除,extermination
イエス,Jesus,及び,and,官民,Public and private,ホール,hall,電話機,Telephone,内面,interior
取りまとめる,organizing,北部,Northern,解る,Understand,終結,end,代謝,Metabolism,医,medical
野原,field,マオリ,Maori,召す,call,奏者,player,ジャー,Jar,漕ぐ,paddle
初心者,beginner,処方箋,prescriptions,プロジェクト,project,追い出す,expel,とりわけ,Among others,刃,blade
こだわる,stick to,あからさま,Obvious,据える,set up,入り口,Entrance,アメリカン,American,バッテリー,battery
シン,Singh.,空洞,Hollow,毎回,every time,ケーブル,Cable,めど,sight,レンズ,lens
そんなふうに,Just like that,見逃す,overlook,マイル,miles,媒介,medium,読了,finish reading,十二月,December
キャプテン,Captain,入荷,arrival,悪夢,Nightmare,均一,Uniformity,変形,Transformation,乙,B
町村,Town Village,救急,first aid,ムード,Mood,減額,reduction,伐採,Logging,立ち直る,get back on your feet
さらう,kidnap,無駄遣い,Waste of money,放射,Radiate,界隈,neighborhood,ある程度,To some extent,多発,Multiple shots
見積もり,Estimate,スクリーン,Screen,叩く,Beat,一読,one reading,性欲,Sexual desire,アルミ,Aluminum
イースター,Easter,委任,Delegation,有権者,Voters,フレーム,frame,粘る,Persistence,函,box
垂れる,hang,協賛,support,安楽,Ease,尽力,effort,盗聴,Eavesdropping,国鉄,Japan Railways
みかん,mandarin oranges,憎しみ,hatred,朝食,Breakfast,純,net,野球,Baseball,コンセント,electrical outlet
また,Also,さば,mackerel,財界,business world,入金,deposit,上述,Above,生々しい,raw
ギタリスト,guitarist,ショット,Shot,キャロル,Carroll,チベット,Tibet,反則,Foul play,血統,Bloodline
分化,differentiation,雑談,Chit Chat,冷却,Cooling,指紋,fingerprint,取り残す,Leave behind,格,case
サポート,support,ストレート,Straight,紅白,red and white,異例,Exceptional,盛況,prosperity,減速,deceleration
近辺,neighborhood,通販,Mail order,かえる,change,山頂,Mountaintop,人権,Human rights,右手,Right Hand
当面,for the time being,衣,clothes,癒着,collusion,連敗,consecutive defeats,ゲスト,Guest,協奏曲,Concerto
服用,Dosage,対岸,opposite shore,使い方,Usage,ダブる,Doubles,無理矢理,Forced,屋内,Indoor
老化,Aging,出し,out,占拠,occupation,ネイティブ,Native,オレンジ,Orange,短期間,Short period
誤差,Error,連立,coalition,音読,reading aloud,ミネラル,Mineral,離れ,Separation,うなぎ,Eel
柏,oak,ひまわり,sunflower,子宮,uterus,通院,hospital visit,ソーセージ,Sausage,カラー,Color
妊婦,Pregnant woman,研究所,laboratory,西武,West Wing,パンツ,pants,軌跡,Trajectory,東方,East
中高年,Middle age,位置付け,Positioning,リアクション,Reaction,アピール,Appeal,営利,Profit,永住,Permanent
通達,notification,応える,respond to,トーナメント,Tournaments,ネットワーク,Network,オート,Auto,接種,Inoculation
火力,fire power,捧げる,dedicate,断然,Absolutely,力不足,Lack of strength,新入,newcomer,よぎる,inoculation
日本人,Japanese,当人,the person,厚生,Health and Welfare,中級,Intermediate,大げさ,Exaggeration,法人,Corporation
ばら,Rose,リセット,Reset,巨匠,Master,打ち合わせる,make a meeting,スマート,Smart,左利き,Left-handed
宿る,Housing,関,involved,ゲイ,Gay,体感,Physical sensation,見知らぬ,unknown,次長,Deputy Director
ディズニー,Disney,申し込み,application,旧来,Old,かわす,evade,間取り,Floor plan,談話,talk
戦時,War,空母,Aircraft Carrier,太陽光,Solar,ネック,Neck,伝送,Transmission,農協,agricultural cooperative
ライフ,Life,レジ,Register,負荷,load,広域,wide area,配備,Deployment,カラフル,Colorful
振る舞う,behave,問合せ,Inquiry,切り開く,Cutting through,焦る,hurry,氾濫,Flooding,アーカイブ,Archive
思いやる,considerate,設問,Question,乗,Ride,トラック,track,フィールド,Field,解像度,Resolution
すぐさま,right away,ロング,Long,アマゾン,Amazon,無能,incompetence,選,selection,合戦,battle
文庫本,paperback,左手,Left hand,破損,Damage,返品,Returns,昼飯,Lunch,見所,highlight
取り囲む,Surround,コネ,connection,中小,Small and Medium,河口,estuary,コール,Call,歪む,warp
両面,Double-sided,長続き,Long lasting,囚人,Prisoners,若者,youth,聖地,Holy Land,分厚い,thick
学位,Degree,トピックス,Topics,取り組む,Work on,寄稿,Contribution,第一人者,First person,義父,father-in-law
忍,patience,位置づける,Position,用地,Land,増資,capital increase,砦,fort,はまる,get stuck
年収,Annual income,汚す,Defile,ニュー,New,効用,utility,崎,saki,かわいそう,poor
先ほど,earlier,チャンピオン,Champion,帆,Sail,逃げ出す,escape,放つ,release,タワー,Tower
飲料,Beverage,ひとで,In person,表示,Display,台北,Taipei,極東,Far East,送迎,Transportation
笑み,smile,密輸,smuggling,王朝,Dynasty,次元,Dimension,チャイナ,China,分割,Split
示唆,Suggestion,粋,chic,今ひとつ,Nowhere,指針,Guideline,スローガン,slogan,半数,Half Number
仮名,pseudonym,イラスト,illustration,憂鬱,melancholy,嫉妬,Jealousy,告発,accusation,一色,One color
理不尽,unreasonable,一月,January,祭典,celebration,ハンバーグ,hamburger,品格,dignity,顎,chin
注釈,annotation,繰り出す,roll out,手当て,treatment,適合,Conformity,メモリ,Memory,買い取る,buy
言い回し,phrasing,ハウス,house,提起,raise,モジュール,Module,バッハ,Bach,引きずる,pull
検索,Search,コンサルタント,consultant,ルー,Lou,一周,Round the clock,エクアドル,Ecuador,ほぼ,almost
航路,route,キス,kiss,設ける,set up,ウェールズ,Wales,分泌,Secretion,特段,special
相応,correspondence,離脱,breakaway,ソファ,Sofa,寄与,Contribution,位置付ける,Position,運勢,fortune
邪悪,evil,コンクール,Concours,ミス,miss,ホン,Hong,合気道,Aikido,探偵,detective
政務次官,parliamentary under-secretary,儲け,profit,拍車,spur,町民,Townspeople,養殖,Cultivation,店主,shopkeeper
管弦楽,orchestral music,アレンジ,Arrangement,河原,riverbed,アウトドア,Outdoor,聖人,Saint,足首,Ankle
南西,Southwest,宣教,missionary,オリーブ,olive,住友,Sumitomo,カップル,Couple,皇位,Imperial Throne
