W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4
焼きそば,やきそば,pan-fried noodles,かゆい,かゆい,itchy,レンズ,レンズ,lens,夢,ゆめ,dream
もろい,もろい,"weak, brittle",滑る,すべる,"slide, slip, flunk an examination",すっきり,すっきり,refreshed,お祝い,おいわい,celebrate
無生物,むせいぶつ,inanimate object,骨,ほね,"bone, frame, spirit",居眠り,いねむり,"doze, nap",皆,みな,"all, everybody"
キス,キス,kiss,健康,けんこう,healthy,単に,たんに,"merely, simply",妻,つま,wife
一周,いっしゅう,"circle, around",ビデオ,ビデオ,video,まぶた,まぶた,eyelid,招待,しょうたい,invitation
昨晩,さくばん,"last night, last evening",国会,こっかい,"National Diet, parliament",眺め,ながめ,"view, prospect",紹介,しょうかい,"introduction, presentation"
まく,まく,"sow, scatter",再び,ふたたび,"again, a second time",一瞬,いっしゅん,"instant, moment",怒る,おこる,"get angry, scold"
月夜,つきよ,moonlit night,再来月,さらいげつ,the month after next,睡眠,すいみん,"sleep, slumber",優しい,やさしい,"gentle, kind"
どく,どく,move out of the way,再来週,さらいしゅう,the week after next,垂直,すいちょく,"vertical, perpendicular",注射,ちゅうしゃ,"injection, shot"
金色,きんいろ,golden color,装置,そうち,"equipment, device",回転,かいてん,"revolution, rotation",謝る,あやまる,apologize
大根,だいこん,"daikon radish, oriental radish",仮名,かな,"kana, Japanese syllabary",カバー,カバー,"cover, covering",失礼,しつれい,"impoliteness, bad manners, I beg your parden/Goodbye"
はしご,はしご,ladder,送り仮名,おくりがな,kana suffix,腰掛ける,こしかける,sit down,お礼,おれい,"thanks, reward, return present"
まな板,まないた,chopping board,悲しむ,かなしむ,"feel sad, lament",腰掛け,こしかけ,"stool, seat",引っ越す,ひっこす,"move, change quarters"
草花,くさばな,plants and flowers,流れる,ながれる,"flow, pass, drift away",呼び掛ける,よびかける,"call to, appeal to",倍,ばい,double
ほうれん草,ほうれんそう,spinach,ビール,ビール,"beer, lager",引っ掛かる,ひっかかる,"be caught, be trapped",砂,すな,"sand, grit"
落ち葉,おちば,fallen leaves,美人,びじん,beautiful woman,話し掛ける,はなしかける,"address someone, speak to someone",苦い,にがい,"bitter, sour"
言い換える,いいかえる,"express in different words, paraphrase",博物館,はくぶつかん,museum,通り掛かる,とおりかかる,happen to pass by,途中,とちゅう,"on the way, half way"
木の葉,このは,tree leaves,特徴,とくちょう,"distinctive feature, characteristic",拝む,おがむ,"bow in veneration, worship",例えば,たとえば,for example
書き言葉,かきことば,written language,今回,こんかい,this time,コンセント,コンセント,"outlet, wall socket",残念,ざんねん,"regretful, disappointing"
女性的,じょせいてき,"feminine, womanly",許す,ゆるす,"permit, license, forgive",当番,とうばん,"being on duty, person on duty",片付ける,かたづける,"put in order, dispose of, do away with"
和語,わご,native Japanese word,述べる,のべる,"state orally, expound, mention",少女,しょうじょ,girl,受付,うけつけ,"receptionist, information office"
話し言葉,はなしことば,spoken language,固い,かたい,"stiff, tight",上,じょう,"upper, best",塗る,ぬる,"spread on, paint"
ひらひら,ひらひら,"lightly, floating",教師,きょうし,"teacher, instructor",設備,せつび,"equipment, facilities",翻訳,ほんやく,translation
葉っぱ,はっぱ,leaf,進める,すすめる,"advance, promote",揃う,そろう,be (all) together,訳,わけ,"reason, cause"
吸い込む,すいこむ,"inhale, suck in",実験,じっけん,experiment,括弧,かっこ,"parentheses, brackets",細かい,こまかい,"minute, elaborate"
取り扱い,とりあつかい,"handling, manipulation",教授,きょうじゅ,professor,マーケット,マーケット,market,裏,うら,"rear, reverse, inside"
同級生,どうきゅうせい,classmate,振る,ふる,"wave, shake, brandish",オーケストラ,オーケストラ,"orchestra, orchestral music",両方,りょうほう,both
中級,ちゅうきゅう,"middle-class, intermediate",助ける,たすける,"help, save",輝く,かがやく,"shine brilliantly, glitter",趣味,しゅみ,"hobby, interest"
腹一杯,はらいっぱい,full stomach,刺身,さしみ,"sashimi, sliced raw meat",信仰,しんこう,"faith, religious belief",戻る,もどる,"return, turn back"
高温,こうおん,high temperature,激しい,はげしい,"violent, intense",出迎え,でむかえ,"meeting, receiving",お宅,おたく,"your home, you, fan, geek"
早寝,はやね,going to bed early,示す,しめす,"show, indicate",迎え,むかえ,"greeting, meeting",留守,るす,not at home
植物園,しょくぶつえん,botanical garden,停車,ていしゃ,stoppage,巡る,めぐる,"go round, circulate",復習,ふくしゅう,review
日本酒,にほんしゅ,"sake, rice wine",倒す,たおす,"bring down, overthrow, defeat",偶然,ぐうぜん,"chance, accident",指輪,ゆびわ,ring
有毒,ゆうどく,"poisonous, noxious",傾向,けいこう,"tendency, disposition",偶数,ぐうすう,even number,輸出,ゆしゅつ,export
ばい菌,ばいきん,"bacterium, germ",主張,しゅちょう,"insistence, assertion",城,しろ,"castle, fort",貿易,ぼうえき,"trade, commerce"
水中,すいちゅう,"in the water, underwater",テント,テント,tent,幾ら,いくら,no matter how much,緑,みどり,"green, foliage"
再開,さいかい,"reopening, restart",引っ張る,ひっぱる,"pull, drag",伺う,うかがう,politely ask,暖房,だんぼう,heating
交わす,かわす,exchange,突き当たる,つきあたる,"hit against, come to the end of",俳句,はいく,haiku,訪ねる,たずねる,"visit, call on"
後半,こうはん,"latter half, second half",突き当たり,つきあたり,end of a street,俳優,はいゆう,"actor, actress",建てる,たてる,"build, erect"
機長,きちょう,airplane captain,文字,もじ,"character, letter",動作,どうさ,"movements, actions",歴史,れきし,history
相応しい,ふさわしい,"suitable, appropriate",地球,ちきゅう,the Earth,悔しい,くやしい,"vexing, frustrating",寄る,よる,"stop by, stop off"
仮に,かりに,"supposing that, even if",丸,まる,"circle or sphere, wholeness",倣う,ならう,"copy, follow an example",厳しい,きびしい,"strict, severe, intense"
仮,かり,"provisional, temporary",攻撃,こうげき,"attack, criticism",振り向く,ふりむく,"turn around, look back",神社,じんじゃ,Shinto shrine
昨夜,さくや,last night,殺す,ころす,"kill, smother",性格,せいかく,"character, personality",揺れる,ゆれる,"shake, sway, rock"
乗り越える,のりこえる,"overcome, get over",ラッシュアワー,ラッシュアワー,rush hour,肯定,こうてい,affirmation,地震,じしん,earthquake
固体,こたい,"solid, solid matter",アクセサリー,アクセサリー,"accessories, jewelry",空っぽ,からっぽ,empty,雲,くも,cloud
かぼちゃ,かぼちゃ,pumpkin,姿,すがた,"figure, appearance",オルガン,オルガン,"organ, pipe organ",星,ほし,"star, planet, spot"
ぎょうざ,ぎょうざ,Chinese dumpling,姿勢,しせい,"posture, attitude",相撲,すもう,sumo wrestling,太る,ふとる,"grow fat, fatten"
はっと,はっと,taken aback,恐ろしい,おそろしい,"terrible, awful",不平,ふへい,"discontent, dissatisfaction",景色,けしき,"scenery, landscape"
何百,なんびゃく,"several hundred, hundreds",孫,まご,grandchild,寮,りょう,"dormitory, lodging house",汚れる,よごれる,"become dirty, become defiled"
博士,はくし,Ph.D.,偉い,えらい,"great, famous, eminent",程,ほど,"extent, limit",適当,てきとう,"suitable, appropriate"
オリンピック,オリンピック,the Olympics,爪,つめ,"nail, claw",掘る,ほる,"dig, unearth",冷える,ひえる,"cool down, feel chilly"
典型的,てんけいてき,"typical, representative",奥,おく,"inner part, the back, inner chamber",宗教,しゅうきょう,religion,久しぶり,ひさしぶり,after a long time
ご免,ごめん,sorry,貼る,はる,"stick, paste",宣伝,せんでん,"publicity, advertisement",将来,しょうらい,"future, in the future"
無責任,むせきにん,irresponsibility,組み立てる,くみたてる,"build, set up, construct",憲法,けんぽう,"constitution, constitutional law",水泳,すいえい,swimming
取消し,とりけし,"cancellation, annulment",用いる,もちいる,"use, make use of",扱う,あつかう,"handle, deal with",深い,ふかい,"deep, profound, intimate"
訓読み,くんよみ,Japanese pronunciation,商業,しょうぎょう,"commerce, trade",総理大臣,そうりだいじん,prime minister,湖,みずうみ,lake
引き延ばす,ひきのばす,"extend, prolong",方針,ほうしん,"course, policy",大臣,だいじん,minister,拾う,ひろう,"pick up, find"
夏季,かき,"summer, summer season",預ける,あずける,"deposit, entrust",休業,きゅうぎょう,"suspension of business, closure",捨てる,すてる,"discard, abandon"
関わる,かかわる,"involve, concern",鍋,なべ,"pan, saucepan",臨時,りんじ,"temporary, provisional",探す,さがす,"search for, look for"
師走,しわす,December,こぼす,こぼす,spill,改造,かいぞう,"remodeling, reorganization",競争,きょうそう,competition
後期,こうき,latter period,昼食,ちゅうしょく,lunch,懐かしい,なつかしい,"longed-for, old",戦争,せんそう,"war, battle"
工学部,こうがくぶ,department of engineering,シャワー,シャワー,shower,惜しい,おしい,"almost, close",逃げる,にげる,"escape, run away"
時間割り,じかんわり,time table,ただ,ただ,free,火山,かざん,volcano,捕まえる,つかまえる,"arrest, capture"
専門家,せんもんか,"specialist, expert",濡れる,ぬれる,get wet,噴火,ふんか,"eruption, volcanic activity",盗む,ぬすむ,"steal, rob"
下,もと,under the supervision,怠ける,なまける,"be lazy, neglect",噴水,ふんすい,"jet, fountain",警官,けいかん,"police officer, policeman"
お手伝い,おてつだい,"helper, assistant",休憩,きゅうけい,"rest, repose",恨み,うらみ,"grudge, hatred",警察,けいさつ,police
後片付け,あとかたづけ,cleaning up,化粧,けしょう,"make up, put on makeup",恨む,うらむ,"hold a grudge, feel resentment",壊す,こわす,"break, destroy, smash"
焼き鳥,やきとり,"yakitori, grilled chicken",畑,はたけ,"field, vegetable garden",愉快,ゆかい,"pleasant, delightful",壊れる,こわれる,"break, break down, get out of order"
からす,からす,"crow, raven",炊く,たく,"cook, boil",覚悟,かくご,"readiness, resolution",取り替える,とりかえる,"change, replace"
大声,おおごえ,loud voice,灰,はい,ashes,追う,おう,"chase, pursue",乗り換える,のりかえる,"change, transfer"
笑い声,わらいごえ,laughter,灰色,はいいろ,"ash color, gray",親指,おやゆび,thumb,故障,こしょう,"malfunction, fault, breakdown"
泣き声,なきごえ,"tearful voice, crying",西暦,せいれき,"Christian Era, A.D.",怪しい,あやしい,"suspicious, dubious",比べる,くらべる,"compare, contrast"
話し声,はなしごえ,"voice, whisper",伸びる,のびる,"stretch, grow",軍,ぐん,"army, troops",参る,まいる,"go, come"
ぐるぐる,ぐるぐる,round and round,舌,した,tongue,鋭い,するどい,"pointed, acute",退院,たいいん,discharge from a hospital
なめる,なめる,"lick, lap",臭い,くさい,"ill-smelling, stinking",防ぐ,ふせぐ,"prevent, defend",卒業,そつぎょう,graduation
後ろ向き,うしろむき,facing backward,匂い,におい,"smell, odor",付近,ふきん,"neighborhood, environs",集める,あつめる,"collect, gather"
取り締まり,とりしまり,"regulation, crackdown",より,より,"more, further",限界,げんかい,"boundary, limit",事務所,じむしょ,"office, one's place of business"
がやがや,がやがや,chatter loudly,履く,はく,"put on footwear, wear",自慢,じまん,showing off,公務員,こうむいん,"public officer, government worker"
いか,いか,squid,扇風機,せんぷうき,electric fan,感心,かんしん,admiration,番組,ばんぐみ,program
まぐろ,まぐろ,tuna,ドライブ,ドライブ,drive,少々,しょうしょう,"a little, a few",首,くび,neck
わさび,わさび,"wasabi, Japanese horseradish",刺す,さす,"stab, prick, sting",下品,げひん,"vulgar, low",選ぶ,えらぶ,"choose, elect"
一向に,いっこうに,"absolutely, at all",分ける,わける,"divide into parts, sort, share",囲む,かこむ,"enclose, encircle",治る,なおる,"be cured, get well"
至る所,いたるところ,"everywhere, all over",寝坊,ねぼう,"late riser, oversleeping",食卓,しょくたく,dining table,政治,せいじ,politics
出荷,しゅっか,"shipping, dispatch",旗,はた,"flag, banner",元,もと,"origin, source",関係,かんけい,"relation, relationship"
急病,きゅうびょう,sudden illness,ビニール,ビニール,plastic bag,歓迎,かんげい,welcome,日記,にっき,diary
狭まる,せばまる,"become narrow, contract",袋,ふくろ,"bag, sack",医師,いし,"doctor, physician",相談,そうだん,"consultation, advice"
狭める,せばめる,"narrow, contract",毛布,もうふ,blanket,勧める,すすめる,"suggest, recommend",続く,つづく,"continue, follow"
硬さ,かたさ,hardness,小包,こづつみ,"parcel, package",焦げる,こげる,"scorch, burn",続ける,つづける,"continue, keep up"
自然に,しぜんに,"naturally, instinctively",手帳,てちょう,"pocketbook, memo",収穫,しゅうかく,"harvest, harvesting",連絡,れんらく,"connection, communication"
人前,ひとまえ,in front of other people,牛乳,ぎゅうにゅう,milk,幼稚,ようち,"childish, infantile",連れる,つれる,"take along, bring along"
海上,かいじょう,maritime,患者,かんじゃ,patient,稲,いね,rice plant,案内,あんない,"guide, inform"
発熱,はつねつ,"generation of heat, get a fever",鍵,かぎ,"key, lock",稼ぐ,かせぐ,"earn, make money",季節,きせつ,season
追突,ついとつ,collision,出掛ける,でかける,"go out, be about to go out",性質,せいしつ,"nature, property",調べる,しらべる,"investigate, check"
どきっと,どきっと,"surprised, shocked",掛かる,かかる,"hang, splash, require",穏やか,おだやか,"calm, mild",非常に,ひじょうに,"very, extremely"
寝室,しんしつ,bedroom,掛け算,かけざん,multiplication,波,なみ,"wave, fluctuations",正しい,ただしい,"correct, righteous, lawful"
くっ付ける,くっつける,"join, paste",拍手,はくしゅ,"applause, clapping",隠す,かくす,"hide, conceal",正月,しょうがつ,New Year
はげる,はげる,"come off, peel off",握る,にぎる,"grasp, make hand-rolled sushi balls",陰,かげ,"shade, behind the scenes",原因,げんいん,"cause, origin"
最悪,さいあく,the worst,握手,あくしゅ,"handshake, handshaking",魅力,みりょく,"charm, attraction",失敗,しっぱい,"failure, mistake"
自衛隊,じえいたい,Self Defense Forces,カラー,カラー,color,塊,かたまり,"lump, ingot",島,しま,"island, isle"
旅客機,りょかくき,passenger plane,幾つ,いくつ,"how many, how old",醜い,みにくい,"ugly, bad-looking",空港,くうこう,airport
くしゃくしゃ,くしゃくしゃ,"messy, scrunch",移す,うつす,"move, shift, transfer",砕く,くだく,"crush, smash",港,みなと,"port, harbor"
真ん丸,まんまる,perfect circle,批判,ひはん,"criticism, comment",砕ける,くだける,"be crushed, break down",船,ふね,"ship, boat, vessel"
ジャーナリズム,ジャーナリズム,journalism,冗談,じょうだん,joke,基礎,きそ,"basis, foundation",飛行場,ひこうじょう,"airport, airfield"
起こす,おこす,"bring about, cause",後,のち,"after, afterwards",貝,かい,"shellfish, shell",国際,こくさい,international
暴落,ぼうらく,"slump, crash",怪我,けが,injury,賢い,かしこい,"wise, smart",動物園,どうぶつえん,zoo
悲しみ,かなしみ,"grief, sadness",我慢,がまん,"patience, self-restraint",王様,おうさま,king,説明,せつめい,"explanation, description"
気絶,きぜつ,fainting,幼稚園,ようちえん,kindergarten,心理,しんり,"mental state, psychology",小説,しょうせつ,"novel, story"
徹底的,てっていてき,"thorough, exhaustive",太陽,たいよう,sun,あきれる,あきれる,be stunned in disappointment or disbelief,準備,じゅんび,"provide for, prepare for"
グリーン,グリーン,green,隠れる,かくれる,"hide, disappear",祝い,いわい,"celebration, congratulation",具合,ぐあい,"condition, health"
素敵,すてき,"lovely, nice",日陰,ひかげ,the shade,頂く,いただく,"receive, eat",道具,どうぐ,tool
横顔,よこがお,"profile, face seen from side",随分,ずいぶん,"extremely, considerably",頂上,ちょうじょう,"summit, climax",機械,きかい,machine
脅かす,おどかす,"threaten, intimidate",犬,いぬ,dog,見下ろす,みおろす,"look down, overlook",機会,きかい,"opportunity, occasion"
見物人,けんぶつにん,"spectator, sightseer",頑張る,がんばる,"persist, be tenacious",学問,がくもん,"learning, scholarship",確か,たしか,"for sure, for certain"
受け身,うけみ,"passiveness, passive voice",頃,ころ,time,近頃,ちかごろ,"recently, nowadays",意見,いけん,opinion
恐らく,おそらく,probably,大抵,たいてい,"generally, mostly",矛盾,むじゅん,contradiction,注意,ちゅうい,"attention, care, watch out"
怖がる,こわがる,"be afraid of, fear",消防署,しょうぼうしょ,fire station,倉庫,そうこ,"warehouse, storehouse",用意,ようい,"prepare, ready oneself"
系列,けいれつ,affiliation,尋ねる,たずねる,"inquire, search for",強力,きょうりょく,powerful,ご存じ,ごぞんじ,know
理系,りけい,science,パーセント,パーセント,percent,液体,えきたい,"liquid, fluid",危険,きけん,"danger, dangerous"
文系,ぶんけい,"liberal arts, humanities",缶詰,かんづめ,"canned goods, cooping-up",真剣,しんけん,"serious, sincere",亡くなる,なくなる,"die, pass away"
日韓,にっかん,Japan and Korea,缶,かん,"can, tin",刑事,けいじ,detective,科学,かがく,science
かみそり,かみそり,razor,腐る,くさる,"rot, corrode",罰する,ばっする,punish,歯医者,はいしゃ,dentist
爪切り,つめきり,nail clipper,床,ゆか,floor,老人,ろうじん,"old person, elderly",医学,いがく,"medical science, medicine"
ざらざら,ざらざら,"rough, gritty",床屋,とこや,"barber, barbershop",楽しみ,たのしみ,"pleasure, something looked forward to",入院,にゅういん,be hospitalized
散らばる,ちらばる,be scattered,掃く,はく,"sweep, brush",豆,まめ,"bean, peas",高等学校,こうとうがっこう,senior high school
細長い,ほそながい,"long and thin, slender",畳む,たたむ,"fold, shut",煮る,にる,"boil, cook",普通,ふつう,"normal, regular"
重み,おもみ,"weight, importance",干す,ほす,"dry, desiccate",煮える,にえる,"boil, be boiled",専門,せんもん,"specialty, profession"
草木,くさき,plants and trees,目立つ,めだつ,"stand out, be conspicuous",蒸し暑い,むしあつい,humid,特別,とくべつ,"special, extraordinary"
木枯らし,こがらし,cold wintry wind,被る,かぶる,"wear, put on",黙る,だまる,"become silent, shut one's mouth",別れる,わかれる,"separate, part from"
無理やり,むりやり,"by force, against one's will",是非,ぜひ,"by all means, at any cost",税金,ぜいきん,tax,特に,とくに,"specially, particularly"
年配,ねんぱい,"age, elderly age",敬語,けいご,"honorific language, polite speech",無駄,むだ,"no good, pointless",特急,とっきゅう,super-express
誠に,まことに,"truly, very",敷く,しく,"lay, spread",応援,おうえん,"support, cheering",反対,はんたい,"oppose, object"
盛り上げる,もりあげる,build up excitement,馬,うま,horse,気体,きたい,"gas, vapor",会議,かいぎ,"conference, meeting"
釣り,つり,angling,雷,かみなり,"thunder, lightning",丘,おか,"hill, slope",理由,りゆう,"reason, cause"
釣り合い,つりあい,"balance, proportion",踏切,ふみきり,railroad crossing,民間,みんかん,"citizens, civilians",自由,じゆう,freedom
観賞,かんしょう,ornamental,蹴る,ける,kick,官庁,かんちょう,government office,彼女,かのじょ,"she, one's girlfriend"
アルミニウム,アルミニウム,aluminum,猫,ねこ,"cat, feline",県庁,けんちょう,prefectural office,彼,かれ,"he, one's boyfriend"
出前,でまえ,home delivery of food,毛,け,"hair, wool",栄養,えいよう,"nutrition, nourishment",彼ら,かれら,they
砂浜,すなはま,"sandy beach, sands",文章,ぶんしょう,"writing, prose",洗剤,せんざい,"detergent, cleanser",息子,むすこ,son
はだし,はだし,"barefoot, bare feet",程度,ていど,"degree, extent",ペンキ,ペンキ,paint,娘,むすめ,"daughter, girl"
浮かぶ,うかぶ,float,尊敬,そんけい,"respect, esteem, honor",生じる,しょうじる,"happen, cause",親切,しんせつ,"kind, friendly"
上流,じょうりゅう,upstream,折る,おる,"break off, fold, bend",擦る,こする,"rub, strike",親切,しんせつ,kindness
下流,かりゅう,downstream,欠席,けっせき,"absence, nonattendance",摩擦,まさつ,"friction, rubbing",西洋,せいよう,"the West, the Occident"
多量,たりょう,"large quantity, great deal",邪魔,じゃま,disturbing,汗,あせ,sweat,遊び,あそび,"play, amusement"
ねぎ,ねぎ,"Welsh onion, green onion",治す,なおす,"cure, heal",額,ひたい,"forehead, brow",泊まる,とまる,stay overnight
喫煙,きつえん,smoking,転ぶ,ころぶ,"tumble down, fall over",後輩,こうはい,one's junior,下宿,げしゅく,"lodging, boarding house"
痛む,いたむ,"feel pain, hurt",風呂,ふろ,bath,製作,せいさく,"manufacture, production",旅館,りょかん,Japanese inn
忠実,ちゅうじつ,"faithfulness, devotion",紫,むらさき,purple,香り,かおり,"perfume, fragrance",以上,いじょう,"not less than, more than"
懸ける,かける,stake,紅茶,こうちゃ,black tea,香水,こうすい,perfume,以下,いか,below
一まず,ひとまず,first of all,梅雨,つゆ,rainy season,冒険,ぼうけん,"adventure, risk",似る,にる,"resemble, be alike"
知り合い,しりあい,acquaintance,遭う,あう,"meet with, encounter",敬う,うやまう,"respect, honor",間違える,まちがえる,"mistake, confuse"
市街,しがい,"the streets, downtown",枕,まくら,pillow,座敷,ざしき,"drawing room, Japanese-style room",線,せん,line
和室,わしつ,Japanese style room,嘘,うそ,lie,消防,しょうぼう,"fire fighting, fire prevention",直る,なおる,"be repaired, return to normal"
小量,しょうりょう,small amount,叱る,しかる,"scold, tell off, reprimand",勇気,ゆうき,"courage, nerve",直す,なおす,"repair, cure, alter"
小麦粉,こむぎこ,flour,賑やか,にぎやか,"lively, exciting",劣る,おとる,"be inferior to, be worse than",人形,にんぎょう,doll
大麦,おおむぎ,barley,蚊,か,mosquito,実は,じつは,actually,形,かたち,"shape, form"
麦,むぎ,wheat,拭く,ふく,"wipe, dry",勘定,かんじょう,"check, tab",写す,うつす,"copy, photograph"
田畑,たはた,fields and rice paddies,挨拶,あいさつ,"greet, greeting",勘,かん,"sense, intuition",計画,けいかく,"plan, project"
スモッグ,スモッグ,smog,巻く,まく,"roll up, wind, wrap",勘違い,かんちがい,misunderstanding,音,おと,"sound, noise"
年月日,ねんがっぴ,date,穴,あな,"hole, cavity",霧,きり,"fog, mist",音,おと,"sound, speech sound, Chinese pronunciation of a character"
むける,むける,"come off, peel",付く,つく,"attach itself to, be connected with, come in contact with",霜,しも,frost,発音,はつおん,pronunciation
むく,むく,"peel, pare",気に入る,きにいる,"like, be pleased with",雰囲気,ふんいき,"atmosphere, mood",表,おもて,"front side, face, outside"
もむ,もむ,"rub, massage",幾ら,いくら,how much,盆地,ぼんち,"valley, basin",出発,しゅっぱつ,"departure, starting"
臭い,におい,"smell, odor",歯磨き,はみがき,"toothpaste, brushing one's teeth",盆,ぼん,Bon Festival,過ぎる,すぎる,"pass by, exceed"
臭う,におう,stink (unpleasant),廊下,ろうか,"hallway, corridor",盆,ぼん,tray,終わり,おわり,"end, conclusion"
間,かん,"interval, duration of time",瓶,びん,"bottle, flask",解散,かいさん,"breakup, dissolution",始める,はじめる,"begin, start"
そびえる,そびえる,tower,褒める,ほめる,"praise, commend",公衆,こうしゅう,the public,遅れる,おくれる,be late
履歴書,りれきしょ,"resume, bio",袖,そで,sleeve,どっと,どっと,burst (out laughing),動く,うごく,move
ガラス戸,がらすど,glass door,馬鹿,ばか,"fool, nonsense",舞台,ぶたい,"stage, setting",運動,うんどう,"movement, exercise"
うちわ,うちわ,round paper fan,剃る,そる,shave,見舞う,みまう,visit someone,移る,うつる,"move, shift"
翌日,よくじつ,the following day,喧嘩,けんか,"fight, quarrel, argument",見舞い,みまい,personal visit,運転,うんてん,drive
翌朝,よくあさ,the following morning,叩く,たたく,"tap, hit",海洋,かいよう,"ocean, sea",運転手,うんてんしゅ,driver
翌年,よくねん,the following year,噛む,かむ,"bite, chew",ブレーキ,ブレーキ,brake,運ぶ,はこぶ,"carry, transport"
陸,おか,"land, shore",姪,めい,niece,跳ねる,はねる,"leap, hop, bound",席,せき,"seat, one's place"
あり,あり,ant,椅子,いす,chair,金銭,きんせん,"money, cash",出席,しゅっせき,"attendance, presence"
殴る,なぐる,"hit, strike",痩せる,やせる,"lose weight, become thin",古里,ふるさと,"hometown, birthplace",役に立つ,やくにたつ,"be useful, be helpful"
すべすべ,すべすべ,smooth,箸,はし,chopsticks,児童,じどう,"child, juvenile",立てる,たてる,"stand, set up, establish"
肌色,はだいろ,flesh color,糊,のり,"glue, starch",図書,としょ,books,着物,きもの,"clothes, kimono"
胃腸,いちょう,stomach and intestines,醤油,しょうゆ,soy sauce,埋める,うめる,"bury, fill up",下着,したぎ,underwear
お歳暮,おせいぼ,year-end gift,飴,あめ,"candy, sweets",墨,すみ,black ink,乗り物,のりもの,"vehicle, conveyance"
ぜいたく,ぜいたく,"luxury, extravagance",石鹸,せっけん,soap,奨学金,しょうがくきん,"scholarship, fellowship",増える,ふえる,"increase, accrue"
わずか,わずか,"few, little",おやつ,おやつ,"snack, refreshment",狂う,くるう,"become insane, get out of order",文化,ぶんか,culture
仲良く,なかよく,"harmoniously, amicably",今に,いまに,"before long, someday",瞬間,しゅんかん,"instant, moment",変える,かえる,change
墓参り,はかまいり,visit to a grave,ばからしい,ばからしい,"stupid, useless",障子,しょうじ,paper sliding-door,変,へん,"strange, weird, funny"
順々に,じゅんじゅんに,"by turns, in order",ダム,ダム,dam,転がる,ころがる,"roll over, tumble",変わる,かわる,change
つまむ,つまむ,munch on,大,だい,"bigness, large size",眺める,ながめる,"look out, gaze",約束,やくそく,"promise, vow"
荒す,あらす,"damage, ransack",ずうずうしい,ずうずうしい,"cheeky, impudent",線路,せんろ,"line, track",予約,よやく,"reservation, subscription"
慌ただしい,あわただしい,busy,メンバー,メンバー,member,横切る,よこぎる,"cross, go across",予定,よてい,"schedule, plan"
慌てる,あわてる,"be flurried, hurry",コンクリート,コンクリート,concrete,塀,へい,"fence, wall",天気予報,てんきよほう,weather forecast
仏教,ぶっきょう,Buddhism,ボーナス,ボーナス,bonus,猿,さる,"monkey, ape",予習,よしゅう,"preparation, previewing (a lesson)"
お坊さん,おぼうさん,"monk, priest",日の出,ひので,sunrise,狙う,ねらう,"aim, be after",指,ゆび,"finger, toe"
乗り遅れる,のりおくれる,miss,外れる,はずれる,come off,章,しょう,chapter,時代,じだい,"age, antiquity"
ホット,ホット,hot,一休み,ひとやすみ,rest,目次,もくじ,table of contents,代わり,かわり,substitution
国旗,こっき,national flag,しびれる,しびれる,"become numb, get pins and needles",彫る,ほる,"engrave, carve",急ぐ,いそぐ,"hurry, hasten"
筆記試験,ひっきしけん,written examination,ビタミン,ビタミン,vitamin,車輪,しゃりん,wheel,急行,きゅうこう,"express train, going in a hurry"
とがる,とがる,be sharp,つまずく,つまずく,"stumble, trip",服装,ふくそう,"clothes, garments",急,きゅう,"urgent, dire, pressing"
筆記用具,ひっきようぐ,"writing materials, pens and pencils",うろうろ,うろうろ,wander,中央,ちゅうおう,center,申し上げる,もうしあげる,"speak humbly, do"
筋道,すじみち,"method, logic",女子,じょし,"woman, girl",双子,ふたご,twins,申す,もうす,"speak humbly, state humbly"
ふた,ふた,"lid, cover",あんまり,あんまり,"(not) that much, (not) so much",役人,やくにん,government official,返事,へんじ,"answer, reply"
水色,みずいろ,"sky blue, turquoise",出来上がる,できあがる,"be completed, be finished",牧場,ぼくじょう,"stock farm, pasture",払う,はらう,pay
まし,まし,"more, better",カーブ,カーブ,"curve, bend",年中,ねんじゅう,all year,支度,したく,"arrangement, preparation"
落とし物,おとしもの,lost property,スタート,スタート,"start, begin",裸,はだか,"naked body, bareness",残る,のこる,"remain, be left over"
たった,たった,"only, merely",ひとりでに,ひとりでに,"automatically, by oneself",心臓,しんぞう,heart,割れる,われる,"crack, be divided, split"
包丁,ほうちょう,"kitchen knife, carving knife",本人,ほんにん,"the person himself, the said person",先祖,せんぞ,"forefather, ancestor",割合,わりあい,"rate, proportion"
包み紙,つつみがみ,wrapping paper,ママ,ママ,"mommy, mummy",親戚,しんせき,a relative,差し上げる,さしあげる,respectfully give
少量,しょうりょう,small quantity,日の入り,ひのいり,sunset,白髪,しらが,"white hair, gray hair",必要,ひつよう,"need, necessity"
慣用句,かんようく,"idiom, common phrase",明ける,あける,to dawn,仮名遣い,かなづかい,"kana orthography, use of kana",必ず,かならず,"without fail, certainly"
同姓,どうせい,same surname,いつのまにか,いつのまにか,before it is noticed,抱く,だく,"hug, embrace",技術,ぎじゅつ,"skill, technology"
花婿,はなむこ,bridegroom,夜,よ,"night, evening",墓,はか,"grave, gravestone",利用,りよう,"utilization, usage"
品切れ,しなぎれ,"run out, sell out",ちゃんと,ちゃんと,"regularly, properly",祖先,そせん,"ancestor, forefather",工業,こうぎょう,"industry, manufacturing industry"
がさがさ,がさがさ,rustle,飯,めし,"cooked rice, meal",酢,す,vinegar,経済,けいざい,"economy, economics"
