Verb,Reading,Meaning,Sentence
話し合う,はなしあう,"to discuss, to talk together",
決まる,きまる,"to be decided, to be settled, to look good in (clothes)",
異なる,ことなる,"to differ, to vary, to disagree",
気に入る,きにいる,"to like, to be pleased with, to be delighted with, to take a liking to",
振る舞う,ふるまう,"to behave, to conduct oneself, to entertain",
雇う,やとう,"to employ, to hire to charter",
勝る,まさる,"to excel, to surpass, to exceed, to have an edge, to be superior, to outrival",
生む,うむ,"to give birth, to bear a child, to lay eggs, to produce. to yield, to give rise to, to deliver",
取り戻す,とりもづす,"to take back, to regain, to gat bavk, to revoker",
捕まる,つかまる,"to be caught, to be arrested, to hold on to, to grasp, to find (proof), to get (a taxi), to be detained by",
命じる,めいじる,"to order, to command, to appoint",
嘘をつく,うそをつく,"to tell a lie, to fib",
襲う,おそう,"to attack, assail. assault, strike, hunt down, succeed, make a sudden visit",伝染病が町を襲った。
叫ぶ,さけぶ,"to shout, to cry, to scream, to shriek, to yell, to exclaim, to clamour",
伸ばす,のばす,"to grow long  (hair, nails), to lengthen, to extend, to stretch, to reach out, to hold out, to straighten",
役に立つ,やくにたつ,"to be helpful, be useful",そのような訓練もいつかは役に立つでしょう。
諦める,あきらめる,"to give up, to abandon, to resign oneself",
省く,はぶく,"to leave out, to exclude, to omit, to curtail, to save, to cut down, to economise",
手に入れる,てにいれる,"to obtain, to procure",
富む,とむ,"to be rich in, to be abundant in, to be in full of",
受け入れる,うけいれる,"to accept, to receive, to agree",
当てる,あてる,"to hit , to expose, to apply patch, to put on, to put against, to hold on, to hold against, to allot, to call on someone, to guess the answer, to make a hit",
捕まえる,つかまえる,"to catch, to capture, to arrest, to seize, to restrain, to grab, to clutch, to grasp, to hold on to, to hail (taxi, waiter, etc), to detain",
乗せる,のせる,"to place on (something), to give someone a ride, to give a lift, to pick up, to help on board, to load (luggage), to carry, to take on board, to send out, to take for a ride,",
訴える,うったえる,"to raise, to bring to someones attention, to appeal, to work on (one’s emotion), to play on (one’s sympathies), to complain, to sue",
申し上げる,もうしあげる,"to say, to tell, to express, to offer, to extend (greetings, congratulations), to do",
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",
頼る,たよる,"to rely on, to depend on, to count on, to turn to (for help)",
計る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",
測る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",
量る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",
図る,はかる,"to plan, to attempt, to devise, to plot, to conspire, to scheme, to aim for, to strive for, to work towards, to seek, to deceive, to trick, to take in",
諮る,はかる,"to consult with, to discuss, to confer, to deliberate",
就く,つく,"to take (set, position, course, etc), to ascend, to be hired, to be employed, to start a journey, to commence, to depart",
着く,つく,"to arrive, to reach, to sit on, to sit at",
付く,つく,"to be attached, to be connected with, to adhere, to stick, to cling, to accompany, to attend, to side with",
点く,つく,"to be lit, to be lighted, to catch fire",
突く,つく,"to prick, to stab, to poke, to prod, to push, to thrust, to nudge, to hit, to strike, to press against, to attack",
吐く,つく,"to breathe out, to breathe, to tell (lies), to vomit, to disgorge ",
触れる,ふれる,"to touch, to feel,  to experience, to come in contact with, to perceive, to touch on a subject",
治る,なおる,"to be cured, to get well, to be healed, to be mended, to be repaired, to be fixed",
値する,あたいする,"to be worth, to be worthy of, to deserve, to merit",
殺す,ころす,"to kill, to slay, to murder, to slaughter",
包む,つつむ,"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in",
間違える,まちがえる,"to make a mistake, to commit an error, to confuse",
抱える,かかえる,"to hold or carry under or in the arms, to employ, to engage",
黙る,だまる,"to be silent, to say nothing",
見つめる,みつめる,"to stare at, to gaze at, to look hard at to watch intently, to fix one’s eye on",
折る,おる,"to break, to fracture, to break off, to snap off, to pick (flowers), to fold, to bend, to make origami, to interrupt, to end",
保つ,たもつ,"to keep, to preserve, to maintain, to sustain",
用いる,もちいる,"to use, to make us of, to utilise, to utilize",
輝く,かがやく,"to shine, to shine, to sparkle",
引き起こす,ひきおこす,"to cause, to induce, to bring about, to provoke, to pull upright, to help up",
話しかける,はなしかける,"to address someone, to talk to someone, to begin to talk, to start a conversation",
足りる,たりる,"to be sufficient, to be enough, to be worth doing, to be worthy of, to deserve, to do (the job), to serve",
動かす,うごかす,"to move, to shift, to stir, to budge, to change position, to inspire, to rouse, to influence, to change",
投げる,なげる,"to throw, to hurl, to fling, to toss, to cast, to give up, to abandon, to throw away, to cast (a glance, shadow, doubt, etc.)",
告げる,つげる,"to tell, to inform, to announce, to indicate, to signal, to mark",
通す,とおす,"to stick thorough, to force, through, to spread throughout, to defuse",
植える,うえる,"to plant, to grow, to raise, to insert, to transplant, to implant, to set (type), to inoculate, to instil (idea, value)",
育つ,そだつ,"to be raised, to be brought up, to grow up",
知らせる,しらせる,"to notify, to advice, to inform",
連れて行く,つれていく,"to take someone, take along, to lead someone away",
飼う,かう,"to keep (pet), to have, to own, to rear, to feed",
果たす,はたす,"to accomplish, to achieve, to carry out, to fulfil, to realise, to execute, to perform, to do",
去る,さる,"to leave, to go away, to pass, to elapse, to be distant, to send away, to drive off, to do completely",
眺める,ながめる,"to look at, to gaze at, to watch, to stare at, to look out over., to get a view of. to admire the scenery",
見逃す,みのがす,"to overlook, to miss, to fail to notice, to let pass a matter, to pass up (opportunity), to let go by",
迫る,せまる,"to approach, to draw near, to be imminent, to press for something, to urge, to compel",
露呈する,ろていする,"to expose, to disclose",
登録する,とうろくする,"to register, be registered (with), put on record",
通じる,つうじる,"to be open to traffic, lead to, to communicate with, flow, pass, get through to",これは駅へ通じる道ですか。
解除する,かいじょする,"to cancel, rescind, release, call off, lift (sanctions), delisting",政府は物価の統制を解除した。
泣き出す,なきだす,"to burst into tears, begin to cry",今にも泣き出しそうな様子をしていた。
気がする,きがする,"to have a certain feeling or mood, have a haunch",今晩は夕食をとる気がしない。
思える,おもえる,"to seem, appear likely",とても面倒な問いに思えた。
割る,わる,"to divide, cut, halve, separate, split, break, crack, smash, dilute, fall below, discount, step over",誰かがこの皿を割りました。
満ちる,みちる,"to be full, be filled (with), wax (moon), rise (tide), mature, expire",希望に満ちている。
応じる,おうじる,"to respond, satisfy, accept, comply with, apply for",先方の条件に応じる。
下げる,さげる,"to hang, suspend, wear (decoration), lower, reduce, bring down, demote, move back, pull back, clear (plates), remove (food)",機長は機首を下げた。
片付ける,かたずける,"to tidy up, put in order, straighten up, clean, settle, clear, bring something to an end",部屋を片付ける。
救う,すくう,"to rescue from, help out of, save",頭は悪いが性格がよいので救われる。
減る,へる,"to decrease, diminish, abate",会員数が減った。
減らす,へらす,"to abate, decrease, diminish, shorten",出費を減らす。
伺う,うかがう,"to ask, inquire, hear, be told, seek direction, visit, speak to",この問題についてご意見を伺いたい。
祈る,いのる,"to pray, wish",彼は日に何度か祈る。
頑張る,がんばる,"to persevere, persist, keep at it, hang on, hold out, do one’s best",よし、今日も一日頑張るぞ！
晒す,さらす,"to expose (sun, public, danger, etc.), bleach, refine, rinse (vegetables), soak",その船は雨風にさらされた。
届く,とどく,"to reach, arrive, get get through, be attentive, pay attention, be delivered, carry (sound)",これが届くと思うか。
踊る,おどる,to dance,私も踊るのが好きです。
歌う,うたう,to sing,彼女は上手に歌を歌う。
気にする,きにする,"to mind, care about, worry, pay undue attention",他人のことは気にするな。
腹を立てる,はらをたてる,"to take offense, get angry, lose one’s temper",彼は娘に腹をたてていた。
似合う,にあう,"to suit, match, to become, to be like",その青い服は彼女に似合う。
打つ,うつ,"to hit, strike, knock, beat, punch, slap, tap, bang, clap, pound, move, impress, touch, drive in, inject, type, send",鉄は熱いうちに打て。
押さえる,おさえる,"to pin down, hold down, press down, cover, press (a body part), get a hold of, obtain, contain, grasp",チケットを２枚押さえておいてください。
結ぶ,むすぶ,"to tie, bind, link, bear (fruit), close (a deal), connect, close tightly, unite, ally",靴ひもを結ぶ。
呼び捨てにする,よびすてにする,to address someone,二度と私を呼び捨てにするな。
透かす,すかす,"to look through, hold up to the light, make an opening, leave space, prune",窓ガラスを透かして内部をうかがった。
透ける,すける,"to be transparent, show through",この紙は透ける。
透く,すく,"to be transparent, leave a gap",この辺は枝が透いている。
浸かる,つかる,"to be submerged, be soaked, be pickled, be well seasoned, be totally immersed ",全村が水に浸かった。
漬ける,つける,"to soak (in), steep, dip, dunk, pickle, preserve (in salt, vinegar, etc.)",洗濯物を水に漬ける。
浸る,ひたる,"to be soaked in, be flooded, be submerged, be immersed in",川があふれて村が水に浸った。
浸す,ひたす,"to soak, dip, steep, immerse, moisten, wet",豆を水に浸す。
癒す,いやす,"to heal, cure, satisfy (e.g. hunger, thirst), alleviate (e.g. sorrow, fatigue)",心を癒すピアノ音楽。
探検する,たんけんする,"to explore, expedition",未知の国を探検する。
屈む,かがむ,"to stoop, lean over, bend forward​, bend down, crouch, squat",年を取って腰がかがんでいる。
屈める,かがめる,"to stoop, bend one's knees",ひざをかがめる。
屈服する,くっぷくする,"to yield, submit, surrender, give way, succumb",敵に屈服するぐらいなら死んだほうがましだ。
屈する,くっする,"to yield, give in, be daunted, shrink, bend, subdue, overpower, feel down",彼はついに誘惑に屈した。
屈折する,くっせつする,"tp bend, curve, twist, turn, wind, warp, distort, refract",光は水に入る時屈折する。
退く,しりぞく,"to step back, to move back, to retreat, to withdraw, to leave, to exit, to resign, to retire, to quit, to concede",彼は一歩退いた。
退く,ひく,"to move back, to draw back, to recede​, to lessen, to subside, to go down (e.g. of swelling), to resign; to retire; to quit",彼は役職から退いた。
退く,どく,"to step aside, to move (i.e. out of the way), to make way​, to resign, to retire, to quit, to secede",じゃまにならないようにわきへどきなさい。
退ける,のける,"to put something out of the way, to move (something, someone) aside, to remove, to exclude, to take away, to set aside, to keep apart",いすを脇へのける。
許す,ゆるす,"to forgive, permit, allow, admit into",教室での喫煙は許されていません。
酔う,よう,"to get drunk, become intoxicated",ゆうべお酒を飲み過ぎて酔ってしまいました。
寄る,よる,"to draw near, drop in",家へ帰る前にコンビニへ寄りました。
因る,よる,"to depend on, be due to",習慣は国によって違います。
喜ぶ,よろこぶ,"to be glad, be delighted", 母は私の成功をとても喜んでくれた。
呼ぶ,よぶ,"to call, invite, attract (customers)",佐藤さんがあなたを呼んでいますよ。
雇う,やとう,"to employ, hire",その会社は千人労働者を雇っている。
痩せる,やせる,"to lose weight, become thin, become infertile",ここ三か月で五キロやせた。
やる,やる,"to do, to give, send",彼は今、宿題をやっている。
止める,やめる,"to stop doing, abandon",疲れたから買い物に行くのをやめました。
辞める,やめる,"to resign, retire",彼は会社を辞めさせられた。
求める,もとめる,"to demand, ask, seek, buy",社長に面会を求めました。
向ける,むける,"to turn toward, point at",彼は急に顔をこちらに向けた。
向く,むく,"to face, turn toward, be suited, first for",写真を撮りますからこちらを向いてください。
剥く,むく,"to peel, strip off",じゃがいもの皮をむいてください。
向かう,むかう,"to face, go towards, head towards",季節は夏に向かっていた。
繋ぐ,つなぐ,"to connect, link together​, tie, fasten, restrain, maintain, to preserve, keep",インターネットにつなぐ。
含める,ふくめる,"to include, put in, instruct, convince",税金を含めて三万五千円です。
含む,ふくむ,"to contain, include, hold something in the mouth",この値段には消費税が含まれていますか。
諦める,あきらめる,to give up,あきらめてはいけません。
飽きる,あきる,"to be tired of, fed up with",毎日同じ仕事をするのに飽きました。
遣う,つかう,"to use (a tool, method, etc.), to make use of, put to use",パソコン遣ってもいい？
出てくる,でてくる,"to come out, to appear, to turn up, to emerge",彼は会議室から最後に出てきた。
恵まれる,めぐまれる,"to be blessed with, to be rich in, to abound in",恵まれた才能を生かす。
凌ぐ,しのぐ,"to endure, to keep out (e.g. rain), to stave off (e.g. starvation), to pull through, to get over, to survive, to defy, to surpass",この一杯の飯で今日一日はしのげる。
罵る,ののしる,to abuse verbally,彼女はさんざん私の事をののしった。
馴染む,なじむ,to adapt to,旧弊な人は新しい事になじめない。
足す,たす,to add,砂糖を少し足して下さい。
加える,くわえる,to add to,それに私も加えておいて。
答える,こたえる,to answer,私は質問に答えたでしょうか。
着く,つく,to arrive,あなたがロンドンに着くころ頃には晩秋となっているだろう。
志す,こころざす,to aspire to,彼はやろうと志すものは、何でもやり遂げる。
襲う,おそう,to attack,台風が東京を襲った。
目立つ,めだつ,"to attract attention, stand out",林に竹が目立つ。
避ける,さける,"to avoid, dodge",揚げ物はしばらく避けなさい。
焼く,やく,"to bake, grill",母は日曜日にはクッキーを焼く。
禁じる,きんじる,"to ban, prohibit",彼女は喫煙を禁じられた。
いる,いる,to be,田中さんはいないです。
耽る,ふける,"to be absorbed in, obsessed by",彼女は飲酒にふけった。
生きる,生きる,to be alive,生きる意味を教えてくれ。
聞こえる,きこえる,"to be audible, able to hear",虫の音がきこえます。
基づく,もとずく,to be based on,彼女は事実に基づいて議論を展開する。
眩む,くらむ,"to be blinded, get dizzy",彼女はその豪華な部屋に目のくらむ思いがした。
生まれる,うまれる,to be born,油断なく注意さえしておれば好機はおのずからうまれる。
折れる,おれる,"to be broken, snap",彼は顎の骨を折って、歯も何本か折れた。
焦げる,こげる,"to be burned, charred",このコーヒーはこげた味がする。
治る,なおる,"to be cured, healed",風邪が治るのに長くかかった。
決まる,きまる,"to be decided, agreed upon",話は決まった。
異なる,ことなる,to be different from,毎日同じ教室を２つの異なった生徒達の集団で使っているのです。
違う,ちがう,"to be different, wrong",意見がそれぞれ違う。
酔っ払う,よっぱらう,to be drunk,私は少し酔っている。
足りる,たりる,"be enough, suffient",必要を満たすに足りる収入。
ドキドキする,ドキドキする,be excited,彼は次の旅行の事を考えるとドキドキする。
見つかる,みつかる,be found,明日の朝起きたらすてきなものが見つかるよ。
魂消る,たまぎる,be frightened,彼女がワインをからにしたのにはたまげた。
喜ぶ,よろこぶ,"be glad, pleased",喜んで行きます。
困る,こまる,be in trouble,雨が降ると困るから傘を持ってきた。
遅れる,おくれる,"be late, lag behind",列車は雪のため遅れた。
怠ける,なまける,be lazy,彼は勉強を怠けている。
無くなる,なくなる,"be missing, vanish",欲に目がくらんで判断力が無くなったらしい。
混じる,まじる,be mixed,トムは知らない人に混じって居心地が悪かった。
次ぐ,つぐ,be next,きれい好きは敬神に次ぐ美徳。
緊張する,きんちょうする,be nervous,緊張する必要はありまんせん。
もてる,もてる,be popular,彼はモテる。
儲かる,もうかる,"be profitable, make money",この商売は儲かりません。
迷う,まよう,be puzzled,彼は森で迷った。
蘇る,よみがえる,be resurrected,春の雨が花に生気をよみがえらせた。
悲しむ,かなしむ,"be sad, grieve",悲しんでいる彼女をそっとしておきなさい。
たまる,たまる,"be saved, accumulated, collect, gather",彼は借金がたまって夜逃げ同然に町を去った。
滑る,ぬめる,be slippery,彼女はすべらないようにゆっくりと歩いた。
驚く,おどろく,"be suprised, amazed",トムは驚いた。
見える,みえる,"be visible, able to see",モロに見える。
恨む,uramu,bear a grudge,セーラは恨むような女の子ではないだろうが。
なる,naru,become,春になった。
霞む,kasumu,"become blurred, hazy",山は遠くにかすんでいた。
込む,komu,become crowded,劇場はひどく込んでいた。
現る,kageru,become dark,月が雲のかげから現れた。
乾く,kawaku,become dry,乾いた砂は水を吸い込む。
空く,suku,"become empty, uncrowded",お腹は空いていますか？
痛む,itamu,"become hurt, damaged",背中が痛む。
流行る,hayaru,become popular,今何が流行っていますか。
強まる,tsuyomaru,become stronger,年をとると共に、情熱は薄れるが、身についた習慣は強まるものだ。
濡れる,nureru,become wet,それが濡れている。
始まる,hajimaru,begin,映画が始まります
信じる,shinjiru,believe,僕()は君()を信じる。
見くびる,mikubiru,"belittle, despise",その運転選手は決して相手をみくびるようなことはしない。
捻る,hineru,"bend, twist",体を捻ってから下までしゃがみます。
噛む,kamu,bite,あなたの犬は噛む？
咲く,saku,bloom,花は咲く。
吹く,fuku,"blow, wipe",風が吹く。
乗る,noru,"board, ride on",バスに乗りなさい。
威張る,ibaru,boast,彼はいつもいばりちらしています。
借りる,kariru,"borrow, rent",ペン借りていい？
壊れる,kowareru,break,シャワーが壊れた。
呼吸する,koukyuu suru,breathe,酸素は私たちが呼吸すると肺の中に取り込まれる。
切れる,kireru,"break, cut off, expire",お茶が切れています。
立てる,tateru,build,誰が立てたのですか。
焼ける,yakeru,burn,焼けるように熱い。
買う,kau,buy,これを買います。
呼ぶ,yobu,call,警察を呼んで！
電話する,denwa suru,call (phone),後で電話して!
出来る,dekiru,"can, be able",ボブは料理ができる。
気を付ける,ki wo tsukeru,care,お体にお気を付けください。
構う,kamau,"care about, mind",どっちでも構いません。
運ぶ\,hakobu,carry,これを運んでください。
担ぐ,katsugu,carry on one’s shoulders,彼は肩に銃を担いだ。
挟む,hasamu,"catch, hold (between two things)",ドアに指をはさみました。
祝う,iwau,"celebrate, congratulate",七夕は七月に祝う。
変える,kaeru,change,老人が考えを変えるのは難しい。
変わる,kawaru,change,流行はすぐ変わります。
追う,ou,"chase, drive away",あの車を追ってくれ。
喋る,shaberu,chatter,僕たちの計画を誰にもしゃべるな。
調べる,shiraberu,"check, investigate",私はその事件を調べた。
噛む,kamu,chew,食物をよくかみなさい。
選ぶ,erabu,"choose, select",これを選びます。
食い違う,kuichigau,"clash, disagree",この点で私たちの意見が食い違うのは確かだ。
晴れる,hareru,"clear up, tidy up",空が晴れた。
登る,noboru,climb,猿は木に登る。
閉まる,shimaru,"close, be closed",ドアが閉まるの聞こえた。
崩れる,kuzureru,"collapse, cave in",壁が地震で崩れた。
来る,kuru,come,来られますか。
外れる,hazureru,"come off, go wide",彼の話は要点をはずれている。
解ける,hodokeru,"come untied, loose",靴紐が解けていますよ。
慰める,nagusameru,comfort,私は彼女を慰めることができる。
言いつける,iitsukeru,command,彼は私にそれをするように言いつけた。
通う,kayou,commute,兵庫大学に通っています。
比べる,kuraberu,compare,ロンドンは東京に比べて小さい。
文句を言う,monku wo iu,complain,文句を言うな。
凝らす,korasu,concentrate,彼は息を凝らしてその光景を見つめていた。
繋ぐ,tsunagu,"connect, fasten",彼は犬を木につないだ
連絡する,renraku suru,contact,手紙で連絡してください
続ける,tsuzukeru,continue,ぜひ練習を続けなさい
続く,tsuzuku,"continue, follow",吹雪が続いた
料理する,ryouri suru,cook,今晩は私が料理します
冷やす,hiyasu,"cool, refridgerate",頭を冷やせよ
冷える,hieru,cool down,今夜は冷えるでしょう
数える,kazoeru,count,３０まで数えなさい
渡る,wataru,cross,通りを渡れ
越す,kosu,"cross, pass, move ahead",彼は４０歳を越している
砕く,kudaku,"crush, smash",愛は人の心を砕くこともできるのさ
鳴く,naku,cry,鳥は鳴く
切る,kiru,cut,それを半分にきりなさい
踊る,odoru,dance,私も踊るのが好きです
付き合う,tsukiau,date,君達はいつからつきあっているのですか
腐る,kusaru,"decay, go bad, be depressed",牛乳が腐った
偽る,itsuwaru,"deceive, lie",彼は年齢を偽った
決める,kimeru,"decide, choose",決めました
定める,sadameru,"decide, establish",それは法律が定めていることである
飾る,kazaru,"decorate, display",話はかわりますが
減る,heru,"decrease, reduce",この町の人口は減った
負かす,makasu,defeat,チェスで人を負かす
配達する,haitatsu suru,deliver,日曜日に配達していますか
配達,tayoru,depend on,に頼るな
言い表す,iiarawasu,describe,その物体がどんな物か言い表す事が出来ますか
崩す,kuzusu,"destroy, break down",酒で彼は身を崩した
滅ぼす,horobosu,"destroy, ruin",彼は酒で身を滅ぼした
死ぬ,shinu,die,退屈で死にそうだ
掘る,horu,dig,彼は穴をほった
話し合う,hanashiau,Discuss,虚心坦懐に話し合った
嫌がる,iyagaru,"dislike, hate",猫はぬれるのを嫌がる
忘ける,wakeru,"divide, separate",それを３人の間で分けよ
離婚する,rikon suru,divorce,どちらかといえば彼とは離婚したい
する,suru,do,ログアウトするんじゃなかったよ
やる,yaru,do,やりますか
頑張る,ganbaru,do your best,彼は一生懸命がんばる
ダウンロードする,daunro-do suru,download,このプログラムを持っていないならば、今ダウンロードすることができます
疑う,utagau,"doubt, suspect",疑う余地はない
描く,kaku,draw,彼はよく風景を描く
飲む,nomu,drink,コーヒーを飲むの？
する,untensuru,drive,安全運転してね
運転,kawakasu,dry,どうして髪を乾かしているの
干す,hosu,"dry, air",蒲団を干して下さい
食べる,taberu,eat,食べたの？
躙る,nijiru,edge forward,彼女のドレスはにじの色のほとんどがそろっている
メールする,me-ru suru,email,後でちゃんと調べてメールする
抱く,daku,"embrace, hug",彼は彼女をしっかりと抱いた
励ます,hagemasu,encourage,僕が彼を励ましに行こう
終わる,owaru,end,いつ終わるの？
楽しむ,tanoshimu,"enjoy, have fun",楽しんでね
入る,hairu,enter,お入りください
優れる,sugureru,"excel, be excellent, be superior",優れたコンピューターでもチェスではあなたを負かせない
運動する,undousuru,exercise,毎日運動するようにする
取り換える,torikaeru,exchange,彼らは欠陥テレビを新しいのと取りかえた
期待する,kitai suru,expect,彼におおいに期待している
目にあう,me ni au,experience,ひどい目にあった
説明する,setsumei suru,explain,詳しく説明してください
出す,dasu,"extract, take out",金を出しなさい
向かう,mukau,"face, turn/head toward",彼は家に向かった
失敗する,shippai suru,fail,彼は多分失敗するだろう
眠る,nemuru,fall asleep,彼は眠っている
転ぶ,korobu,fall down,赤ん坊はよく転ぶ
倒れる,taoreru,"fall down, collapse",木が倒れた
降る,furu,fall from the sky,雪が降った
惚れる,horeru,fall in love,君に惚れてる
下がる,sagaru,"fall, drop, hang",温度が下がる
落ちる,ochiru,"fall, go down",葉が落ちた
おならをする,onara wo suru,fart,おばあさんは必ずおならをする
怖がる,kowagaru,fear,彼女は吠える犬を怖がる
恐れる,osoreru,"fear, be in awe of",恐れるな
めいる,meiru,feel depressed,雨の日は気がめいるよ
沈む,shizumu,"feel depressed, sink",船が沈んでいく
火照る,hoteru,feel hot,顔がほてります
感じる,kanjiru,"feel, sense",生を感じる
弄る,ijiru,fiddle with,その鍵をいじるな！
闘う,tatakau,"fight against, struggle against",病気と闘う
見つける,mitsukeru,find,これから見つけます
終わる,owaru,finish,期間が終わる
片付ける,katazukeru,"finish, tidy up, clean",テーブルを片付()けなさい
釣る,tsuru,"to fish, to lure in",彼は魚を３匹釣った
浮かぶ,ukabu,"float, come to mind",すばらしいアイデアが浮かんだよ
流れる,nagareru,"flow, be called off",涙が流れている
畳む,tatamu,"to fold, to close (a shop, business), to vacate",布団を畳みなさい
忘れる,wasureru,forget,忘れないでください
許す,yurusu,"forgive, allow,",あなたが後悔しているのなら許してあげよう
並ぶ,narabu,"form a line, equal",並んでお待ちください
集まる,atsumaru,"gather, assemble",明日集まりましょう
仰ぐ,aogu,"gaze, look up, respect, fan oneself",空を仰ぎ見る
得る,eru,get,彼は即答を得た
怒る,okoru,get angry,まあまあ、そう怒らないでくださいな
着換える,kikaeru,get changed,私はもう着替えました
曇る,kumoru,get cloudy,曇ってきた
太る,futoru,get fat,彼女は太っているとはいえないまでも大柄な人だ
越える,koeru,"get fat, grow fertile, cross over, exceed",彼女は少なくとも４０才は越えていると思う
入る,hairu,"get in, break into, to join , to contain, to hold, to have",補足情報には、副詞や副詞のはたらきをするものが入ります
降りる,oriru,"get off, go down",姫路駅で降りなさい
疲れる,tsukareru,get tired,目が疲れやすいです
起きる,okiru,get up,早く起きろ
慣れる,nareru,"get used to, become familiar with",夜更かしになれている
暖まる,atatamaru,get warm,味噌汁が温まった
あげる,ageru,give,あなたは時には妹さんにおこづかいをあげますか
くれる,kureru,give (the giver is not the speaker),「なあ、そこの姉さん」「え？」「ちょっと相談に乗ってくれないか？」
返す,kaesu,"give back, return (something to someone)",必ず明日その本を返しなさい
思い切る,omoikiru,"give up all thoughts of,  to abandon",彼女の事が思い切れない
睨む,niramu,"glare at, keep an eye on",彼はにくらしげに彼女をにらんだ
齧る,kajiru,"gnaw, nibble",犬は肉を骨からかじりとった
行く,iku,go,幼なじみが春から大阪の大学に行くらしい
進む,susumu,"go forward, advance",エイズウイルスの拡散は恐るべき速さで進んでいる
狂う,kuruu,"go mad, be out of order",私の時計は狂っている
出る,deru,go out,月も出ていない闇夜だった
出かける,dekakeru,"go out, leave home",旅に出かけたい気がする
回る,mawaru,go round,葉が空中でぐるぐる回っていた
上がる,agaru,"go up, rise",幕があがった
握る,nigiru,grasp,彼女はロープをしっかりと握った
迎える,mukaeru,"greet, meet, welcome",友人を迎えに駅まで行ってきたところだ
生える,haeru,grow,植物が生える
暮れる,kureru,grow dark (sunset),冬の日は速く暮れる
歳取る,toshitoru,grow old,みんな死んでいくな。俺も歳取るはずだ。
静まる,shizumaru,grow quiet,嵐は静まった
茂る,shigeru,grow thick,こんもりと茂った木々の葉を通して日光が差し込んだ
育つ,sodatsu,"grow up, be raised",彼女は金持ちの家庭に育った
愚痴る,guchiru,grumble,「うちの愛妻がケチでさー」「のろけてる？愚痴ってる？」
渡す,watasu,hand over,かれに財布を渡して
有る,aru,have,緑色のはありますか
持つ,motsu,"have, hold, own",胃がもたれます
聞く,kiku,hear,聞いてるの
助ける,tasukeru,help,助けてください
助ける,tasukeru,help,ワインは消化を助ける
手伝う,tetsudau,help,彼女は彼を手伝った
隠れる,kakureru,hide (oneself),トムはテーブルの下に隠れた
隠す,kakusu,hide (something),ベッドの下に隠さないでよ
仄めかす,honomekasu,hint,彼女は我々と行きたいのだとほのめかした
雇う,yatou,"hire, employ",あなたは彼を雇うことができる
抱える,kakaeru,"hold (in your arms), have",トムは大きな問題を抱えている
急ぐ,isogu,hurry,急いで！
痛める,itameru,"hurt, injured",ひじを痛めました
想像する,souzou suru,imagine,月の上にいると想像しなさい
増える,fueru,increase,体重が増えています
示す,shimesu,"indicate, point out",雪は冬の到来を示す
苦しめる,kurushimeru,"inflict pain, torment",あなたは虚言で私は苦しめる
誘う,sasou,"invite, tempt",彼女は中に入るよう誘った
やじる,yajiru,jeer at,彼らは彼の提案をやじった
冗談を言う,jōdan o iu,joke,彼はそれについて冗談を言った
飛ぶ,tobu,"jump, fly",鳥は飛ぶ
飼う,kau,"Keep (a pet), raise, rear",彼女は猫を飼っている。その猫は白い
蹴る,keru,kick,彼は私の横っ腹を蹴った
殺す,korosu,kill,喫煙は人を殺す
キスする,kisusuru,kiss,彼は彼女にきづかれないようにさっとキスした
知る,shiru,know,知らない
着陸する,chakuriku suru,land,その飛行機は十時に飛行場に着陸します
笑う,warau,laugh,妹は心ゆくまで笑った
伏せる,fuseru,lay face down,床に伏せろ！
連れる,tsureru,lead,友達を連れてきなさい
漏らす,morasu,"leak, disclose",彼女はその秘密を友達にもらした
漏れる,moreru,"leak, escape",ニュースがもれた。
傾く,katamuku,"lean towards, tilt",この家は傾いている
学ぶ,manabu,learn,学びます
習う,narau,learn,チェコ語を習っている
残す,nokosu,"leave behind, save",犯人は足跡を残していた
残る,nokoru,"left over, remain",傷あとが残りますか
貸す,kasu,lend,金を貸す
舐める,nameru,lick,猫は足の先をなめていた
うそを言う,uso wo iu,lie,うそを言うな
限る,kagiru,limit,ただしかっこいい男に限る
並べる,naraberu,"line up, list, arrange in order",我々は大きさの順に並べた
暮らす,kurasu,live,裕福に暮らす。
住む,sumu,"live, reside",現在は舞子に住んでいません。
見る,miru,look,私を見て。
見做す,minasu,"look upon, consider",彼女は彼を間抜けな人間とみなした。
負ける,makeru,lose,負けるな。
痩せる,yaseru,lose weight,少しやせました。
落とす,otosu,"lose, drop",鉛筆を落としましたよ。
失う,ushinau,"lose, part with",失うものは何もない。
無くす,nakusu,"lose, remove",時計をなくしました。
愛する,aisuru,love,愛してます。
可愛がる,kawaigaru,"love, be affectionate, tender",母親は往々にして子供をかわいがり過ぎる。
下げる,sageru,"lower, hang",手を下げろ。
作る,tsukuru,make,バターはクリームで作る。
イチャイチャする,ichaicha suru,make out,街中でイチャイチャするカップル見たら腹立ちませんか？
間違える,machigaeru,make a mistake,間違えちゃった。
