Concept,Sentences,Translation,Meaning,Structure
たら,駅に着いたら、電話して下さい,"When you arrive at the station, please give me a call",When you Verb,⚭ Vta + ra 
ないでください,時間に遅れないでください,Please don’t be late,Please do not,⚭ Vnai + de kudasai 
なきゃいけません,今日は早めに帰らなきゃいけません,I have to leave earlier today,I should / must / have to,⚭ Vnakya + ikemasen
ないほうがいい,無理しないほうがいいです,It’s better not to work too hard,Better not to,⚭ Vnai + hou ga ii desu 
なくてもいい,日本語で書きなくてもいいです,You don’t have to write in Japanese,You don’t have to,⚭ Vnakute + mo ii desu
なくてもいい,いいえ、予約しなくてもいいです,"No, It’s ok to not to make a reservation",It’ok not to,⚭ Vnakute + mo ii desu
かもしれません,明日は雨が降るかもしれません,It might rain tomorrow,It might…,⚭ Vplain-nonpast + mitai desu 
みたい,この曲は人気があるみたいです,This song seems to be popular,Seems to be…,⚭ Vplain-past + to omou/omoimasu 
とおもう,部長はもう帰ったと思います,I think the manager already went home,I think…,⚭ Vplain-past + kamoshiremasen 
かもしれません,セールは昨日までだったかもしれません,The sale might have been until yesterday,Might have been…,⚭ Vplain-past + mitai desu
みたい,じょんさんは恣意ごとを辞めたみたいです,John-san seems to have quit his job,Seems to have been…,⚭ Vpot 
えます,ギターが弾けます,I can play the guitar,I can,⚭ Vpot 
ようになる,まいにちれんしゅうすれば、およげるようになります,"If you practice everyday, you'll eventually be able to swim",To be able to,⚭ Vpot + you ni naru 
ようになりました,漢字が読めるようになりました,I became able to read kanji,I became able to,⚭ Vpot + you ni narimashita
えます,ここから富士山が見えます,I can see Mount Fuji from here,Can be seen / heard,⚭ Vpot
はず,部長はまだ会議室にいるはずです,The manager should still be in the meeting room,Should Verb (expectation),⚭ Vplain + hazu desu
ので,仕事が遺書がしのでレッスンを休みます,I'll miss the lesson because  I’m busy at work,Since / Because,⚭ Vplain + node
かどうかわからない,JLPT　を受けるかどうかわかりません,I don't know If I’ll take the JLPT or not,I don’t know whether or not to,⚭ Vplain + kadouka wakaranai
かどうか決めていない,近藤さんの送別会に行くかどうかまだ決めていません,I haven’t  decided if I’ll go to Kondo-san’s farewell party,I haven’t decided whether or not to,⚭ Vplain + kadouka kimeteinai  
かどうか覚えていない,出かける前に鍵をかけましたかどうか覚えていない,I don't remember  whether or not I locked the door before leaving,I don’t remember whether or not,⚭ Vplain + kadouka oboeteinai  
かわからない,何時に来るか分からない,I don't know what time she will come,I don't know (what / where / who),⚭ Vplain + ka wakaranai 
か決めていません,いつ帰るかまだ決めていません,I haven’t decided yet when to go back,I haven’t decided to (yet) (QW),⚭ Vplain + ka (mada) kimeteimasen
か覚えていません,ここまでどうやって来ましたか覚えていません,I don’t remember how we arrived here,I don’t remember (QW),⚭ Vplain + ka oboeteimasen　
てみる,自分で作ってみます,I’ll try to make it myself,Try to,⚭ Vte + miru/mimasu 
ておく,予約しておきます,I'll make the reservation (in advance),Do in advance,⚭ Vte + oku/okimasu  
ている,桜が咲いています,The cherry blossoms are booming,Has been -ing,⚭ Vte + iru/imasu
てしまいました,財布を落としてしました,"Unfortunately, I dropped my wallet","Ended up, Unfortunately doing, Completely done",⚭ Vte + shimaishita
ちゃった,食べちゃった,I ate it,"Ended up, Unfortunately doing, Completely done",⚭ chatta/jatta 
えば,タクシーに乗れば、間に合います,You can make if if you take a taxi,Conditional,⚭ Vcond
えばよかった,もっと勉強すればよかった,I should have studied harder,I should / must / have to,⚭ Vcond + yokatta
えばいいですか,どうやって注文すればいいですか,How should I order,How / when / what should I ,⚭ Vcond + ii desu ka
あげる,私は友達にDVDをあげました,I gave my friend the DVD,I give…,⚭ Ageru
くれる,友達が私にお菓子をくれました,My frend gave me  snacks,Gives me …,⚭ Kureru 
もらう,友達に映画のチケットをもらいました,I got tickets to the movies from my friend,I receive…,⚭ Morau 
てあげる,私は友達に英語教えてあげました,I taught my friend English,I do (to someone),⚭ Vte + ageru  
てくれる,友達が私に日本語教えてくれました,My friend taught me Japanese,Someone do (to me),⚭ Vte + kureru 
てもらう,友達に宿題を手伝ってもらいました,I had my friend help me with my homework,I have someone do,⚭ Vte + morau 
おうと思っている,今週は行こうと思っています,I am thinking of going this week,I am thinking of…,⚭ Vvol + to omotteiru 
おうと思ったら,予約しようと思ったら、いっぱいでした,"When I tried to make a reservation, it was fully booked",When I tried to do …,⚭ Vvol + to omottara
おう,外に行きましょうか・外に行こう,Shall (we) go outside,Volitional,⚭ Vvolitional 
られる,ポリッジが誰かに食べられた,The porridge was eaten by somebody,Passive,⚭ Vpass
させる,先生が学生に宿題をたくさんさせた,Teacher made students do lots of homework,Causative ( Let / Made someone),⚭ Vcausa
させてあげる,私は田中さんに運転させてあげる,I let Mr. Tanaka to drive,Causative ( I let someone),⚭ Vcausa + ageru 
させてくれる,田中さんは私に運転させてくれる,Mr. Tanaka let me drive,Causative ( Someone let me),⚭ Vcausa + kureru 
させてもらう,私は田中さんに運転させてもらう,I have Mr. Tanaka to let me drive,Causative ( I have/had someone let me),⚭ Vcausa + morau 
させられる,朝ご飯は食べたくなかったのに、食べさせられた,"Despite not wanting to eat breakfast, I was made to eat it",Causative-Passive,⚭ Vcausa + morau 
とき,母は本を読むとき、めがねをかけます,My mother wears glasses when she reads.,When,⚭ Vplain + toki
ながら,わたしはいつも料理の本を見ながら料理を作ります,I always cook from a cookbook.,While,⚭ Vnoun-stem + nagara
あいだ,わたしは夏の間、ずっと北海道にいました,I've been in Hokkaido for the whole summer.,Throughout the time,⚭ Vru・Vteiru + aida ni
あいだに,夏休みの間に引っ越ししたいです,I want to move during the summer vacation.,"During, When",⚭ Vru・Vteiru + aida ni
ところだ,時刻は間もなく３時になるところです,It's almost three o'clock in the morning.,"About to, In the midst of, Just",⚭ Vru・Vteiru・Vta・Vteita + tokoro da
おり（に）,このことは今度お目にかかった折に詳しくお話しいたします,I'll tell you more about this the next time we see each other.,Whenever there is an occasion,⚭ Vplain + ori (ni)
さい（に）,非常の際はエレベーターを使わずに、階段をご利用ください,"In case of emergency, please use the stairs instead of the elevator.","When, On the occasion of",⚭ Vplain + sai (ni)
にあたって,研究発表をするにあたってしっかり準備をすることが必要だ,You need to be well prepared to present your research.,On the occasion of,⚭ Vru + ni atte
うちに,今は上手に話せなくても練習を重ねるうちに上手になります,"You may not be able to speak well now, but you will get better as you practice.",Before you know it,⚭ Vru・Vteiru + uchi ni
さいちゅう（に）,彼女はきゅうりを切っている最中だった,She was in the middle of cutting cucumbers.,In the middle of,⚭ Vteiru + saichuu (ni)
つつ,電車に揺られつつ、２時間ほどいい気持ちで眠った,He slept for about two hours with a good feeling while being rocked by the train,While,⚭ Vnoun-stem + tsutsu
とき,旅行するとき私は飛行機の方を好みます,I prefer to fly when I travel.,When,⚭ Vplain + toki
ながら,発音のテープを聞きながら、日本語の勉強をした,I studied Japanese while listening to a pronunciation tape.,While,⚭ Vnoun-stem + nagara
あいだ,両親が旅行をしている間、ぼくが毎日食事を作りました,"While my parents were traveling, I cooked meals for them every day",Throughout the time,⚭ Vru・Vteiru + aida
あいだに,私がバスを待っている間に交通事故を見ました,"While I was waiting for the bus, I saw a car accident.","During, When",⚭ Vru・Vteiru + aida ni
ところだ,ご飯を食べているところに電話がかかってきた,I was eating when I got a phone call.,"About to, In the midst of, Just",⚭ Vru・Vteiru・Vta・Vteita + tokoro
おり（に）,このことは今度お目にかかった折に詳しくお話しいたします,I'll tell you more about this the next time we see each other.,Whenever there is an occasion,⚭ Vplain + ori (ni)
さい（に）,国を出る際に、友人、知人からたくさんのお金を借りたのです,"When I left the country, I borrowed a lot of money from friends and acquaintances.","When, On the occasion of",⚭ Vplain + sai (ni)
にあたって,研究発表をするにあたって、しっかり準備をすることが必要だ,I need to be well prepared to present my research.,On the occasion of,⚭ Vru + ni atatte
うちに,ふと外を見ると、気がつかないうちに雨が降り出していた,"I looked outside, and before I knew it, it started to rain.",Before you know it,⚭ Vru・Vteiru・Vnai + uchi ni
さいちゅう（に）,今考えごとをしている最中だから、少し静かにしてください,"I'm in the middle of thinking, so please be a little quiet.",In the middle of,⚭ Vteiru + saichuu (ni)
つつ,山に登りつつ、人は人生についてさまざまなことを考える,"While climbing a mountain, one thinks a lot about life.",While,⚭ Vnoun-stem + tsutsu
まえに,寝る前に飲みすぎないで,Don't drink too much before bed.,Before,⚭ Vru + mae ni
あとで,私たちはしばらく歩いた後で湖に出た,We walked for a while and then came to a lake.,After,⚭ Vta + ato de
て,電気を消して、部屋を出ます,Turn off the lights and leave the room.,Then,⚭ Vte
てから,この仕事をぜんぶやってからビールを飲みます,"After all this work, I'll have a beer.",After,⚭ Vte + kara
てから,わたしが日本に来てから、もう４年たちました,It's been four years since I came to Japan.,Since,⚭ Vte + kara
たばかりだ,今うちに帰ってきたばかりなのでもう見ましたか,"I've just come back home, have you seen it yet?","Just finished, Just did",⚭ Vta + bakari da
たら,夏休みになったら、国へ帰ります,I'm going back to my country after the summer vacation.,After,⚭ Vta + ra
うちに,独身のうちに、いろいろなことをやってみたいです,I want to do a lot of things while I'm still single.,While,⚭ Vru・Vnai
にさきだって,出発に先立って、大きい荷物は全部送っておきました,"Before I left, I sent all my large luggage.","As a precursor to, Before",⚭ Vru + ni saki datte
たとたん（に）,ずっと本を読んでいて急に立ち上がったとたん、めまいがしました,I was reading a book for a long time and suddenly I got up and felt dizzy.,"At the very moment, As soon as",⚭ Vta + totan ni
とともに,ベルが鳴るとともに、子どもたちはいっせいに運動場へ飛び出した,"When the bell rang, the children ran out into the playground at once.","At the same time, Together with",⚭ Vru totomo ni
とおもうと,急に空が暗くなったかと思うと、激しく雨が降り始めた,"Suddenly, the sky darkened and it began to rain heavily.","No sooner than, Just when",⚭ Vta + to omou to
か〜ないかのうちに,授業が終わるか終わらないかのうちに彼は教室を出た,He left the classroom before the end of the class.,"Just barely when, As soon as",⚭ Vru・Vnai・Vta
しだい,スケジュールが決まり次第、すぐ知らせてください,Please let me know as soon as you have a schedule.,"As soon as, the moment that",⚭ Vnoun-stem + shidai
てからでないと,野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ,"If you are going to eat vegetables raw, you should wash them well before you eat them, otherwise you will be worried about pesticides.",Not until after,⚭ Vte + kara de naito
てはじめて,入院してはじめて健康のありがたさがわかりました,It was only after I was hospitalized that I realized how much I appreciate my health.,"It is/was not until..that, Only after",⚭ Vte + hajimete
うえで,詳しいことはお目にかかった上で、説明いたします,I will explain the details to you when I see you.,After having,⚭ Vta + ue de
ていらい,大学を卒業して以来、田中さんには１度も会っていません,I haven't seen Mr. Tanaka since I graduated from college.,Ever since,⚭ Vte + irai
てからは,先月、禁煙してからは、１度もたばこを吸っていません,"Since I quit smoking last month, I haven't had a cigarette.",Ever since,⚭ Vte + kara wa
がはやいか,小田先生はチャイムが鳴るが早いか、教室に入ってきます,Mr. Oda walked into the classroom as soon as the bell rang.,"No sooner than, As soon as",⚭ Vru + ga hayai ka
やいなや,ドアを開けるやいなやその猫は飛び出していった,"As soon as he opened the door, that cat ran out.","No sooner than, As soon as, themoment that",⚭ Vru + yainaya
なり,子どもは母親の顔を見るなり、ワッと泣き出しました,"As soon as the child saw his mother's face, he started to cry.",As soon as,⚭ Vru + nari
そばから,私は聞いたそばから人の名前を忘れてしまう,I forget people's names as soon as I hear them.,As soon as,⚭ Vru・Vta + sobakara
てからというもの,たばこを止めてからというもの、食欲が出て体の調子がとてもいい,"Since I quit smoking, my appetite has improved and I feel much better.","From the time.., After, Since",⚭ Vte + kara toiu mono
まえに,寝る前に歯をみがきなさい,Brush your teeth before going to bed.,Before,⚭ Vru + mae ni
あとで,この薬はご飯を食べる前に飲みますか、食べた後で飲みますか,Do you take this medicine before or after you eat your meal?,After,⚭ Vta + ato de
て,スーパーへ行って、たまごを買った,I went to the supermarket and bought some eggs.,Then,⚭ Vte
てから,新しい家を買うときは、よく調べてから買いましょう,"When buying a new house, do your research carefully before buying it",After,⚭ Vte + kara
てから,たばこをやめてから、体重が急に増えた,My weight has suddenly increased since I quit smoking cigarettes.,Since,⚭ Vte + kara
たばかりだ,去年日本に来たばかりなので、まだ敬語がじょうずに使えません,"I just came to Japan last year, so I can't use honorific expressions very well yet.","Just finished, Just did",⚭ Vta + bakari da
たら,今撮った写真ができたら、わたしにも１枚ください,"If you can take a picture of me, please take one for me.",After,⚭ Vta + ra
うちに,暗くならならないうちに家に帰らなければなりません,I have to get home before dark.,While,⚭ Vru・Vnai + uchi ni
にさきだって,計画実行に先立って、周りの人たちの許可を求める必要がある,I need to ask for permission from the people around me before implementing my plan.,"As a precursor to, Before",⚭ Vru + ni saki datte
たとたん（に）,出かけようと思って家を出たとたんに、雨が降ってきた,"As soon as I left the house to go out, it started to rain.","At the very moment, As soon as",⚭ Vta + totan ni
とともに,佐藤さんはわたしの親友であるとともに、人生の大先輩でもある,"Mr. Sato is not only my best friend, but also my senior in life.","At the same time, Together with",⚭ Vru + totomoni
とおもうと,あの子はやっと勉強を始めたかと思ったら、もういねむりをしている,"I thought she had finally started her studies, but she was already snoozing.","No sooner than, Just when",⚭ Vta + omou to
か〜ないかのうちに,娘が出かけるか出かけないかのうちに雨が降り出した,It started raining before she could go out.,"Just barely when, As soon as",⚭ Vru・Vnai・Vta
しだい,向こうから連絡があり次第、出発しましょう,Let's leave as soon as we hear from the other side.,"As soon as, the moment that",⚭ Vnoun-stem + shidai
てからでないと,田中さんは出張中だから、来週からでないと出社しません,"Mr. Tanaka is on a business trip, so he won't be coming to work until next week.",Not until after,⚭ Vte + kara denaito
てはじめて,大きな仕事は十分な準備があってはじめて成功するのだ,A big job can only be successful if there is enough preparation.,"It is/was not until..that, Only after",⚭ Vte + hajimete
うえで,どの大学を受験するか、両親との相談の上で、決めます,"I'll decide which university to apply for, after consulting with my parents.",After having,⚭ Vta + uede
ていらい,来日以来、父の友人のお宅にホームステイしています,"Since coming to Japan, I have been staying with a friend of my father's.",Ever since,⚭ Vte + irai
てからは,２年前に社会人になってからは、ひまな時間はほとんどありません,"Since I joined the workforce two years ago, I have very little free time",Ever since,⚭ Vte kara wa
がはやいか,ひろ子は自転車に乗るが早いか、どんどん行ってしまった,"Hiroko got on her bike, but she was too fast for it.","No sooner than, As soon as",⚭ Vru + ga hayaika
やいなや,その男の人は部屋に入るや否や、いきなり大声で怒鳴り始めた,"As soon as she entered the room, the man suddenly started yelling at her.","No sooner than, As soon as, themoment that",⚭ Vru + yainaya
なり,今度は横になるなりほぼ即座に寝ついていた,"This time, he lay down and fell asleep almost instantly",As soon as,⚭ Vru + nari
そばから,片付けるそばから子供がおもちゃを散らかす,The kids made a mess of their toys while I was cleaning up.,As soon as,⚭ Vru・Vta + sobakara
てからというもの,息子が大学に入り家を出ていってからというもの、寂しくなった,"Since my son started college and left home, I've been lonely.","From the time.., After, Since",⚭ Vte + tekara toiumono
てもらう,私は日本人の友達に日本料理を教えてもらった,I had a Japanese friend who taught me how to cook Japanese food.,I have/had someone do for me,⚭ Vte + morau
てもらえるか,ちょっとドア閉めてもらえるか,Could you close the door for a second?,request someone do,⚭ Vte + moraeru/moraenai ka
てもらえるかとうれしい,私が買い物から帰ってくるまでに掃除しておいてもらえると嬉しいんだけど,It would be nice if you could have it cleaned up by the time I get home from shopping.,request someone do (polite request),⚭ Vte + moraeru to ureshii
てやってもらえるか,悪いけどちょっと太郎の宿題を見てやってもらえるか,"I'm sorry, but can you help to look over Taro’s homework.",request someone do (some slight approval),⚭ Vte + yatte + moraeru/moraenai ka
させる,教師が学生に賓を読ませた,The teacher made the students read the book,"coercion, instruction, non-interference",⚭ N ga N ni N o + Vneg-stem + saseru/seru (V - transitive)
させる,親が子供に宿題をさせた,The parent made the child do homework.,"coercion, instruction, non-interference",⚭ N ga N ni N o + Vneg-stem + saseru/seru (V - transitive)
させる,私は妹に昼ご飯を作らせた,I made my sister make lunch.,"coercion, instruction, non-interference",⚭ N ga N ni N o + Vneg-stem + saseru/seru (V - transitive)
させる,私が子供を買い物に行かせた,I had the children go shopping,"coercion, instruction, non-interference",⚭ N ga N ni/o + Vneg-stem + saseru/seru (V - intransitive)
させる,私は仲間を死なせてしまったことを後悔している,I regret that I let my friend die.,"coercion, instruction, non-interference",⚭ N ga N ni/o + Vneg-stem + saseru/seru (V - intransitive)
させる,大きな契約だから新入社員に行かせるのは心配だ,"It's a big contract, and I'm worried about letting the new guy go.","coercion, instruction, non-interference",⚭ N ga N ni/o + Vneg-stem + saseru/seru (V - intransitive)
させる,彼はいつも冗談を言ってみんなを笑わせる,He always telling jokes and making everyone laugh,induce someone to do,"⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, involuntary)"
させる,私は子供の頃は乱暴で、近所の子をよく泣かせれいた,When I was a child I was wild and unruly and often made the children in my neighbourhood cry,induce someone to do,"⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, involuntary)"
させる,シャーベットは果汁を凍らせて作ります,Sherbert is made by freezing fruit juice.,"induce something to, be the cause of something doing","⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, w/o  a corresponding tans. verb)"
させる,打撲の傷みにはタオルを水で湿らせて冷やすとよい,"To ease the ache of a bruise, it’s good to cool it with a wet towel.","induce something to, be the cause of something doing","⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, w/o  a corresponding tans. verb)"
させる,金融不安が日本の経済状態を悪化させる原因となっている,Financial instability is causing the economic situation in Japan to deteriorate.,"induce something to, be the cause of something doing","⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, w/o  a corresponding tans. verb)"
させる,子供たちは目を輝かせて話に聞き入っている,"The children are listening intently to the story, their eyes sparkling.","induce something to, be the cause of something doing","⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, w/o  a corresponding tans. verb)"
させる,猫は目を光らせて暗闇に潜んでいる,"The cat is lurking in the darkness, its eyes sharp.","induce something to, be the cause of something doing","⚭ N ga N o + Vneg-stem + saseru/seru (V - intransitive, w/o  a corresponding tans. verb)"
させてあげる,そんなにこの仕事がやりたいのならやらせてあげましょう,"If you want to do this job so much, I will let you do it.","permission, non-interference",⚭ Vneg-stem + sasete/sete + ageru/yaru
させてあげる,私は友達にコンピューターを使わせてあげた,I let my friend use the computer.,"permission, non-interference",⚭ Vneg-stem + sasete/sete + ageru/yaru
させてあげる,母親は子供を遊びに行かせてあげた,The mother let her child go to play.,"permission, non-interference",⚭ Vneg-stem + sasete/sete + ageru/yaru
させておく,甘えて泣いているだけだからそのまま泣かせておきなさい,"He is just crying like a spoilt baby, so leave him be and let him cry.",non-interference,⚭ Vneg-stem + sasete/sete + oku
させてください,申し訳ありませんが今日は少し早く帰らせてください,"I’m very sorry, but please let me go home a little early today.",request for permission,⚭ Vneg-stem + sasete/sete + kudasai/itadakemasu
させていただけます,少し考えさせていただけますか,Could you give me some time to think it over?,request for permission,⚭ Vneg-stem + sasete/sete + kudasai/itadakemasu
させてくれる,両親が早く亡くなったので姉が働いて私を大学に行かせてくれた,"My parents died early, so my sister worked to send me to college.",speaker views being allowed or left to do something as a kind of favor,⚭ Vneg-stem + sasete/sete + kureru/kudasaru
させてくれる,同僚が(私に)手料理を食べさせてくれた,My colleague let me eat his/her homemade dish.,speaker views being allowed or left to do something as a kind of favor,⚭ Vneg-stem + sasete/sete + kureru/kudasaru
させてくれる,先生が妹にノートを写させてくださった,The teacher let my younger sister copy his/her notebook.,speaker views being allowed or left to do something as a kind of favor,⚭ Vneg-stem + sasete/sete + kureru/kudasaru
させてもらう,金婚式の祝いに、子供たちにハワイに行かせてもらった,My kids sent us to Hawaii to celebrate our golden wedding anniversary.,speaker views being allowed or left to do something as a kind of favor,⚭ Vneg-stem + sasete/sete + morau/itadaku
させてもらう,(私は)両親に留学させてもらった,I had my parents let me study abroad.,speaker views being allowed or left to do something as a kind of favor,⚭ Vneg-stem + sasete/sete + morau/itadaku
させてもらう,(私は)上司に極秘書類を読ませていただいた,My boss let me read the top-secret document.,speaker views being allowed or left to do something as a kind of favor,⚭ Vneg-stem + sasete/sete + morau/itadaku
させられる,昨日はお母さんに３時間も勉強させられた,My mom made/forced me study for three hours yesterday.,forced to do something and its bothersome or objectionable,⚭ Vneg-stem + saserareru/serareru
させられる,先輩に無理にお酒を飲ませられた,A senior colleague forced me to drink alcohol.,forced to do something and its bothersome or objectionable,⚭ Vneg-stem + saserareru/serareru
させられる,私は母に部屋を掃除させられた,I was made to clean the room by my mother.,forced to do something and its bothersome or objectionable,⚭ Vneg-stem + saserareru/serareru
かと思う,間に合わないかと思ったよ,I was afraid I wouldn't make it in time.,"to think something isn’t sure, improper, or questionable",⚭ Vplain + ka to omou
かと思う,暗闇で迷子になるんじゃないかと思った,I thought I'd get lost in the dark.,"to think something isn’t sure, improper, or questionable",⚭ Vplain + ka to omou
かと思う,てっきりずっと日本にいるかと思ったよ,I thought I'd be in Japan forever.,"to think something isn’t sure, improper, or questionable",⚭ Vplain + ka to omou
ついでに,薬局へ薬を買いに行ったつでにトイレットペーパーも買ってきた,"I went to the pharmacy to buy some medicine, and I also bought some toilet paper.","while, incidentally, when/after doing something..do also another thing",⚭ Vru・Vta + ka to omou
気味,彼女は少し緊張気味だた,She was a little tense,"seems somewhat (often used for negative connotation) be a little, have a touch of",⚭ Vnoun-stem + gimi
気味,現在の内閣の支持率は発足時よりやや下がり気味である,The approval rate of the present cabinet is trending a little lower that when it took office,"seems somewhat (often used for negative connotation) be a little, have a touch of",⚭ Vnoun-stem + gimi
気味,ちょっと遅れ気味なので補習授業を行いましょう,"We are a little behind, so we'll have a make-up class.","seems somewhat (often used for negative connotation) be a little, have a touch of",⚭ Vnoun-stem + gimi
なんかいない,泣いてなんかいない、目にゴミが入っただけです,I'm not crying. I just got a speck in my eye.,emphasize that it is not true,⚭ Vte + nanka inai
からといって,野菜が嫌いだからといって食べないのはよくないよ,Just because you don't like vegetables doesn't mean you shouldn't eat them.,just because,⚭ Vplain + kara toitte
からといって,日本語が話せるからといって日本語が教えられるとは限らない,Just because you speak Japanese doesn't mean you can teach it.,just because,⚭ Vplain + kara toitte
ばかりに,受験票を忘れたばかりにテストを受けることができなかった,"Simply because I forgot my test voucher, I couldn’t take the test.",simply because (negative/bad outcome),⚭ Vplain・Vta + bakari ni
ばかりに,ちょっとした油断をしたばかりに大怪我をしてしまった,"Simply because I was just a little careless, I got seriously injured.",simply because (negative/bad outcome),⚭ Vplain・Vta + bakari ni
だけあって,この場所は有名なだけあってたくさんの観光客が人がいる,Precisely because this place is so famous so there are a lot of tourists here.,"being the case, precisely because, so, since",⚭ Vplain + dake atte
だけあって,料理教室に通っているだけあって彼女の作る料理はとても美味しい,"Since she has been taking cooking classes, her food is very delicious.","being the case, precisely because, so, since",⚭ Vplain + dake atte
だけでなく..も,図書館では本が借りられるだけでなく勉強もできる,"At the library, you can not only borrow books but also study.",not only but also,⚭ Vru + dake de naku.. mo
だけでなく..も,トムさんは日本語だけでなく中国語も話せる,Tom can speak Chinese as well as Japanese,not only but also,⚭ Vru + dake de naku.. mo
だけましだ,毎日毎日残業で大変だが、残業代が全て出るだけましだ,"It's hard work, working overtime every day, but I'm glad I get paid for all my overtime.","it’s better than.., one should feel grateful for",⚭ Vplain + dake mashida
だけましだ,ガンの手術で貯金のほとんどが無くなってしまったが、命があるだけましだ,"Cancer surgery has wiped out most of our savings, but we're lucky to have life.","it’s better than.., one should feel grateful for",⚭ Vplain + dake mashida
だけに,田中さんは留学経験があるだけに、英語の発音が綺麗だ,"Ms. Tanaka has studied abroad, so her English pronunciation is beautiful.","being the case, precisely because, as one would expect, so, since",⚭ Vplain + dake ni
だけに,初めての海外旅行なだけに、かなり心配だ,"It's my first trip abroad, so I'm pretty worried.","being the case, precisely because, as one would expect, so, since",⚭ Vplain + dake ni
だけに,早く試験の準備をしただけに 、いい点が取れた,I was able to get a good score because I prepared for the exam early.,"being the case, precisely because, as one would expect, so, since",⚭ Vplain + dake ni
だけに,不合格と思っていただけに、合格通知が来たときは嬉しかった,I was so happy when I got the acceptance letter because I thought I was going to fail.,"being the case, precisely because, as one would expect, so, since",⚭ Vplain + dake ni
ではないか,みんなで遠足に行こうではないか,Why don't we all go on a field trip?,"let’s do (something), why don’t we",⚭ Vvol + dewanaika
じゃないか,さあ、そろそろ行こうじゃないか？,"Well, shall we go?","let’s do (something), why don’t we",⚭ Vvol + janaika
どころではない,隣の部屋がうるさすぎて寝るどころではない,The room next door is too noisy for me to sleep.,"in no way, not the place for, not the time for, not level of",⚭ Vplain + dewanai
どころではない,今日はお客さんが多すぎて休憩どころではない,There are too many customers today for me to take a break.,"in no way, not the place for, not the time for, not level of",⚭ Vplain + dewanai
どころじゃない,風邪がひどくて遊びに行くどころじゃない,I've got a bad cold and can't go out to play.,"in no way, not the place for, not the time for, not level of",⚭ Vplain + janai
どころじゃない,旅行中にお腹を壊して観光どころじゃなかった,I had a stomach ache during the trip and couldn't see the sights.,"in no way, not the place for, not the time for, not level of",⚭ Vplain + janai
得る,考える得る全ての方法を試してみたがダメだった,"I tried every way I could think of, but no luck.","can, is possible",⚭ Vnoun-stem + eru/uru
得る,地震がいつ来るかなんて予測し得ないことだ,It's impossible to predict when an earthquake will hit.,"can, is possible",⚭ Vnoun-stem + eru/uru
得る,今の気持ちは言葉で言い表し得ない,There are no words to describe how I feel right now.,"can, is possible",⚭ Vnoun-stem + eru/uru
得る,お酒の飲み過ぎやタバコの吸いすぎは病気の原因になり得ます,Drinking too much alcohol and smoking too much can cause disease.,"can, is possible",⚭ Vnoun-stem + eru/uru
ふうに,そんなふうに考えただけで怒りがいや増してきた,Just thinking about it like that made me even angrier.,"this way, that way, in what way, how",⚭ fun ni + Verb
ふうに,どんなふうに護られているのですか？,How is it protected?,"this way, that way, in what way, how",⚭ fun ni + Verb
ごとに,このシステムは半年ごとにアップデートされる,This system is updated every six months.,each; every; at intervals of,⚭ Vru + goto ni
ごとに,私の会社では２年ごとにパソコンを新しいものに交換する,"In my company, computers are replaced with new ones every two years.",each; every; at intervals of,⚭ Vru + goto ni
反面,この薬はよく効く反面、副作用がある,This drug works well but on the other hand it has side effects.,"on the other hand, at the same time",⚭ Vru・Vnai + hanmen
以上(は),給料をもらっている以上，働かねばならない,"As long as I am paid, I have to work.","as long as, since, now that, once",⚭ Vplain + ijou
以上(は),それを見た以上は信じざるを得ない,"Since/Now that I have seen it, I cannot help believing it.","as long as, since, now that, once",⚭ Vplain + ijou
以上(は),仕事を引き受けた以上は，全力を尽くさなければならない,"Once you have accepted a job, you must work hard at it.","as long as, since, now that, once",⚭ Vplain + ijou
以上(は),多数決で決まった以上、不満であったとしても文句は言えない,"As long as it's decided by majority vote, you can't complain if you're not happy.","as long as, since, now that, once",⚭ Vplain + ijou
以上(は),高いお金を払って入会した以上、必ず成果を出してみせる,"Since I paid a lot of money to join the club, I'll make sure I get results.","as long as, since, now that, once",⚭ Vplain + ijou
以上(は),一度やると決めた以上は、最後まで責任を持ってやらないと,"Once you've decided to do something, you have to be responsible for it until the end.","as long as, since, now that, once",⚭ Vplain + ijou
以上に,私はあなたが思っている以上に注意深くあなたを見守ってきた,I've been watching you more carefully than you know.,"more than, not less than, over, above",⚭ Vplain + ijou ni
以上に,人間は自分が思っている以上に忍耐強いものだ,Humans are more patient than they think they are.,"more than, not less than, over, above",⚭ Vplain + ijou ni
甲斐がある,毎日練習した甲斐があって日本語が上手にできるようになった,It was worth practicing every day and now I can speak Japanese well.,it’s worth one’s efforts to do something,⚭ Vnoun-stem・Vplain + kai ga aru
甲斐がある,お客さんに喜んでもらえるとこの仕事はやり甲斐があると思う,I think this job is worthwhile when the customers are happy.,it’s worth one’s efforts to do something,⚭ Vnoun-stem・Vplain + kai ga aru
