W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,W7,W8
返却,Return,放課後,after school,親,parent,見せる,Show,緩む,slacken,,,
減らす,Decrease,報告書,Report,歴史,History,怖がる,Fear,入る,enter,,,
減る,decrease,方面,Directions,連絡,Contact,地震,Earthquake,放る,let go,,,
費,spend,方針,Policy,利用,Use,それで,So,帰る,return,,,
冷える,cool,表示,Display,理由,Reason,外,Outside,反る,warp,,,
被害,damage,評論,Critique,留守,absence,わずか,Only a little,返る,return,,,
悲劇,Tragedy,表紙,Front cover,旅館,Ryokan,できる,can,凍る,freeze,,,
批判,criticism,異,different,両方,Both,行き過ぎる,go too far,通る,go through,,,
批評,Criticism,居場所,where to find,寂しい,lonely,旅行,Travel,直る,heal,,,
非常,Very,いちいち,one by one,下がる,Going down,お前,You,治る,heal,,,
比較,Comparison,一段,one paragraph,探す,look for,鮮やか,Vivid,怒る,get angry,,,
引き受ける,undertaking,一段落,one paragraph,下げる,lower,風,Wind,罹る,suffer,,,
飛行,Flight,一面,one aspect,最後,Last,休み,Rest,盛る,heap,,,
轢く,Run over,一覧,a list,最近,Recent,興味がある,I'm interested,叱る,scold,,,
秘密,Secret,一例,one example,最初,First,気,feeling,計る,measure,,,
紐,String,一時休業,temporary absence,坂,Slope,捲る,roll,量る,weigh,,,
引っ張る,pull,著しい,significant,盛ん,Thriving,いつ,When,測る,measure,,,
広がる,Spread out,一助,a help,さっき,earlier,重要,Important,諮る,consult,,,
昼寝,nap,遺伝,Genetic,昨夜,last night,横,side,図る,chart,,,
必死,desperate,遺伝子,Genetic,産業,industry,工場,Factory,光る,shine,,,
額,forehead,意外性,Unexpected,さ来月,next month,子供の頃,Childhood,上る,rise,,,
否定,Denial,意義,Significance,さ来週,next week,壊れる,Breaking,尖る,point,,,
人々,people,居心地,Comfortable,差し上げる,give,物語,Story,限る,limit,,,
人込み,crowd,いい加減,Not good enough,騒ぐ,make noise,乗り遅れる,Missing the boat,契る,contract,,,
一言,One word,言い訳,Excuses,触る,touch,電子,electron,握る,grip,,,
一人暮らし,living alone,意地悪,Meanness,政治,politics,照る,shine,送る,send,,,
等しい,Equal,怒り,anger,生活,Life,申し込む,Apply for,贈る,give,,,
費用,cost,生かす,Keep alive,生産,production,生活,Life,作る,make,,,
膝,knee,生き生き,Lively,西洋,Western,食べ物,Food,造る,make,,,
日付,Date,いきなり,Suddenly,世界,World,内容,Contents,潜る,dive,,,
略,Abbreviation,生き残る,Survive,席,Seat,驚く,Surprise,探る,explore,,,
歩道,sidewalk,息抜き,breathless,線,Line,腹をすかす,Hungry,殴る,hit,,,
吠える,Barking,一見,at a glance,背中,Back,頼む,Ask,巡る,go around,,,
微笑む,Smiling,一気に,all at once,先輩,Seniors,銀行,Bank,潜る,go underground,,,
誇り,Pride,一向に,at once,戦争,War,危険,Danger,茂る,thicket,,,
埃,Dust,移行,Transition,説明,Description,呼ぶ,Call,怒る,get angry,,,
歩行者,Pedestrians,育児,childcare,世話,care,質問,Question,残る,remain,,,
骨,Bones,育成,Nurture,社長,President,どのように,How to,誇る,be proud,,,
本気,Seriousness,いまいち,not quite,社会,Society,求める,Ask,傲る,be arrogant,,,
本物,Genuine,印鑑,Seal,市,City,着る,Wear,凝る,stiffen,,,
本人,Real person,飲料水,Drinking water,試合,Games,跡,trace,濁る,be cloudy,,,
炎,Flame,印刷物,Printed matter,しばらく,A while,なおざり,Disregard,腐る,corrupt,,,
本屋,Bookstore,飲食店,Restaurant,叱る,scolding,以上,more than,勝る,prevail,,,
頬,cheek,一方的,one-sided,仕方,How to,続ける,continue,飾る,decorate,,,
掘る,dig,入れ込む,insert,試験,Test,難い,Difficult,走る,run,,,
保証,guarantee,入り替える,change in and out,しっかり,Firmly,ところが,however,毟る,pick,,,
干す,dry,衣装,costume,島,Island,自慢する,Boast,弄る,fiddle with,,,
ほっと,relieve,急ぎ,hurry,市民,Citizen,喫煙,Smoking,噛る,bite,,,
保存,preservation,一斉に,all at once,品物,goods,し,Death,詰る,choke,,,
方,method,傷む,damage,新聞社,Newspaper,不安,Anxiety,捩る,torture,,,
法,method,意図,Intention,心配,concern,買う,Buy,擦る,rub,,,
放題,As you wish,嫌々,reluctance,親切,kindness,入る,enter,擦る,rub,,,
豊富,Abundance,意欲,Willingness,調べる,Find out,市場,market,削る,scrape,,,
方法,Method,痛ましい,painful,知らせる,inform,気にくわない,I don't like it,譲る,give up,,,
報告,Report,痛める,hurt,下着,Underwear,無駄,Waste,焦る,hurry,,,
方向,Direction,一斉に,All at once,支度,getting ready,必要,Necessary,至る,arrive,,,
訪問,Visit,一色,all colors,失礼,Excuse me.,たい,Want,語る,tell,,,
宝石,Jewelry,移転,transfer,失敗,Failure,所有物である,Is a possession,来る,come,,,
放送,Broadcast,一旦,once,食事,Meals.,平和,Peace,渡る,cross,,,
表,Table,一定,constant,食料品,Groceries,運動,Movement,下る,descend,,,
評判,Reputation,一転,one change,小学校,Elementary school,花,Flower,移る,move,,,
表現,Expression,居酒屋,tavern,紹介,Introduction,使う,Use,写る,appear,,,
表情,Expressions,依然,still,小説,Novel,通る,Passage,映る,reflect,,,
評価,Evaluation,事物,things,将来,Future,新た,new,祭る,worship,,,
表面,Surface,実地,actual place,招待,Invitation,原因,cause,劣る,be inferior to,,,
胃,Stomach,自治体,local government,趣味,Interests,立場,Location,悟る,understand,,,
一致,Match,児童,children,出発,Departure,料金,Fee,太る,grow fat,,,
位置,Position,次回,next,出席,Attendance,嬢,Lady,踊る,dance,,,
市場,Market,事業,project,習慣,Custom,発見,Find,辿る,follow,,,
一部,Part of,時事,Occasion,祖母,Grandmother,助言する,Advise,戻る,return,,,
一度に,At a time,次回,Next time,育てる,Raising,出版,Publish,唸る,roar,,,
一時,Temporary,時間帯,Time of day,祖父,Grandfather,ください,Please give me,抓る,pinch,,,
一応,At one time,自覚,Self-awareness,そんな,No.,千,thousand,捻る,Twist,,,
一流,First class,実感,Real feeling,それで,So.,無責任,Irresponsibility,祈る,pray,,,
偉大,great,実験者,Experimenter,それほど,So much.,四,Four,募る,gather,,,
抱く,hold,じっくり:,Slowly :,それに,Besides.,全く,Totally,実る,bear fruit,,,
移動,Move,自己,Self,そろそろ,It's about time.,医者,Doctor,配る,distribute,,,
衣服,Clothes,時給,Hourly,卒業,Graduation.,努力,Effort,縛る,bind,,,
意外,Unexpected,地元,Local,相談,Consultation.,回答する,Answer,粘る,persevere,,,
違反,Violation,人工物,Artificial,素晴らしい,Excellent.,しまう,try,炙る,Burn,,,
委員,Commissioner,人工知能,Artificial Intelligence,滑る,Slippery,行き合う,go to,被る,cover,,,
維持,Maintenance,人材,Human resources,水道,water supply,途中,on the way,瞑る,meditate,,,
異常,Abnormality,事例,Case Study,過ぎる,Too much,作品,work,破る,tear,,,
一家,family,自律,Autonomy,凄い,great,書く,write,滑る,slip,,,
息,breath,持参,Bring,水泳,swimming,すると,Then,絞る,squeeze,,,
生き物,creature,自社,In-house,すっかり,completely,夕方,evening,登る,climb,,,
勢い,momentum,実質,Real,空く,empty,五つ,Five,昇る,ascend,,,
以降,since,自主,voluntary,隅,corner,料理,Cooking,上る,go up,,,
居間,living room,自習,Self-study,済む,Saved,豊かな,Rich,余る,be too much,,,
今に,now,実績,Results,砂,sand,折れる,Fold,困る,be in trouble,,,
今にも,Now and then,実践,Practice,進む,proceed,それから,Then,迫る,approaching,,,
稲,Inna,実施,Implementation,捨てる,discard,そこで,There,黙る,be silent,,,
居眠り,Dozing,自体,Self,数学,Math,無くなる,disappear,鈍る,become dull,,,
命,life,辞退,Declined,正しい,Correct,間,Between,煙る,smoke,,,
飲料,Drink,時点,Point in time,退院,Discharge,間,Between,眠る,sleep,,,
印刷,Printing,事典,event,大抵,Mostly,友人,friend,湿る,become damp,,,
飲食,Eating and drinking,事前,Prior,たまに,Occasionally,五,five,篭る,be stuffy,,,
印象,Impression,慈善,Philanthropy,棚,Shelf,心理,Psychology,守る,protect,,,
引退,Retirement,持続,Sustain,楽しみ,Enjoy,内容,Content,曇る,cloud,,,
引用,Quotes,じたばた,wrestle,楽む,Enjoy,等閑,neglecting one's duties,頼る,rely on,,,
一般,General,序列,order,倒れる,fall,昼食をとる,have lunch,触る,touch,,,
一方,On the other hand,助手席,Passenger seat,足りる,Sufficient,人物,People,障る,interfere,,,
以来,Since,上部,Upper part,確か,sure,一般,General,座る,sit,,,
依頼,Request,上半身,upper part of body,足す,add,それでも,Still,回る,turn,,,
苛々,Irritation,蒸発,Evaporation,多数,many,必ず,always,弱る,weaken,,,
衣類,Clothing,上位,Upper,畳,fold,手伝う,help,すれ違う,pass each other,,,
医療,Medical,情景,Scene,立てる,Build.,わざと,deliberately,あざ笑う,ridicule,,,
医師,Doctor,上級者,Upper,建てる,build,討議する,Discuss,潤う,enrich,,,
意思,Will,常温,normal temperature,訪ねる,visit,きつい,Tough,戦う,fight,,,
意志,Will,上陸,Landing,尋ねる,ask,海,sea,扱う,treat,,,
意識,Consciousness,乗車,Boarding,手袋,gloves,永久,Permanent,疑う,distrust,,,
一生,a life,上司,Boss,丁寧,polite,政治,politics,従う,obey,,,
一種,a kind,上昇,Ascent,適当,appropriate,言い当てる,guess,争う,contend,,,
一瞬,a moment,錠剤,Tablet,点,dot,推薦する,recommend,賄う,compensate,,,
一層,a layer,受動的,Passive,天,Heaven,間に合う,just in time,補う,compensate,,,
板,plate,受験生,Examinees,店員,shopkeeper,不安,anxiety,行う,do,,,
痛み,pain,受講,taking a course,天気予報,Weather forecast,賑やか,Lively,失う,lose,,,
痛む,It hurts,塾,Cram school,展覧会,Exhibition,計画する,Planning,養う,feed,,,
至る,come to,寿命,Life span,寺,temple,位置,Location,伴う,accompany,,,
悪戯,mischief,順位,Rank,手伝う,Help,かかる,It takes,占う,divine,,,
従兄弟,cousin,循環,Circulation,届ける,Deliver,計算する,Calculate,整う,prepare,,,
一体,One body,順に,In order,床屋,Barber,解放する,Release,敬う,respect,,,
いつの間にか,When did this happen?,順序,Order,特別,Special,なお,In addition,漂う,drift,,,
岩,rock,順応,Adaptation,特に,Special,泣く,Cry,繕う,mend,,,
言わば,so to speak,純粋,Pure,特急,express,相手,partner,躓く,stumble,,,
祝う,Celebrate,受診,Medical Examination,泊まる,Stay,思う,Think,退く,retreat,,,
嫌がる,Hate,受賞,Award,遠く,Far,開ける,Open,頂く,receive,,,
以前,Before,充電,Recharge,通る,Pass through,仕事,work,貫く,go through,,,
泉,Fountain,充実感,Fulfillment,取り替える,replace,忘れる,Forget,導く,lead,,,
自動,Automatic,充満,Fullness,とうとう,at last,小説,Novel,傾く,incline,,,
自動販売機,Vending Machine,柔軟,Flexibility,都合,convenience,分ける,Divide,欺く,deceive,,,
自動車,Automobile,充実,Fulfillment,捕まえる,catch,終える,Finish,赴く,go to,,,
事実,Facts,充実感,Fullness,月,month,解決,Solution,傾く,incline,,,
事情,Circumstances,住宅地,Residential,付く,follow,駅,Station,輝く,shine,,,
直に,Directly,重役,Executive,妻,wife,外す,Remove,囁く,whisper,,,
事件,Incident,課,Division,連れる,lead,避ける,Avoid,呟く,murmur,,,
時期,Time,価値観,Values,釣る,catch,透ける,transparent,働く,work,,,
実家,Home,課題,Challenges,伝える,tell,上下,up and down,驚く,Surprise,,,
実験,Experiment,過度,Excessive,包む,wrap up,偶に,occasionally,催す,inspire,,,
実行,Execution,花粉,Pollen,続ける,continue,押す,Press,促す,urge,,,
時刻,Time,花粉症,Pollen allergy,続く,continue,提案する,Suggest,施す,give,,,
自慢,boast,輝かしい,Brilliance,腕,arm,助け合う,Help each other,表す,Show,,,
地面,Ground,輝き,Brilliance,植える,plant,女の子,Girl,現す,Show,,,
事務,Office,過激,Excessive,動く,move,放送,Broadcast,著す,Show,,,
事務室,Office,限り,limit,受ける,receive,持つ,Have,耕す,cultivate,,,
人物,Person,限りない,limitless,受付,reception,管理する,Manage,楽む,Enjoy,,,
人工,Artificial,嗅ぐ,smell,旨い,delicious,隠す,Hide,慎む,be careful,,,
人類,mankind,下位,subordinate,運動,exercise,無言,Mute,営む,run,,,
生,Life,開封,unsealed,運転,Driving,助ける,help,羨む,envy,,,
人種,Human race,介護,care,運転手,Driver,込む,include,喜ぶ,rejoice,,,
時差,Time difference,介護施設,Nursing home,裏,back,沈黙を守る,keep silent,尊ぶ,respect,,,
自殺,Suicide,開発,Development,嬉しい,Happy,六,6,遮る,interrupt,,,
自身,Self,解放,Liberation,売り場,sales floor,無視,Ignore,罵る,curse,,,
自信,Self-confidence,開放感,Openness,嘘,Lie,自身,oneself,囀る,chirp,,,
実際,Actual,会員証,Membership,打つ,Beat,付き合う,go out with,怠る,neglect,,,
実施,Implementation,開会,opening of a meeting,美しい,Beautiful,海水浴,swimming in the sea,操る,manipulate,,,
実習,Practice,会見,press conference,移る,move,料理をする,Cooking,捗る,make progress,,,
事態,Circumstances,解決策,Solution,写す,photograph,大好き,I love you,喋る,speak,,,
自宅,Home,開幕,Opening,別れる,part,手紙,Letter,謝る,apologize,,,
実現,Realization,皆無,none,沸かす,boil,希望する,I hope,誤る,make a mistake,,,
実力,ability,飼い主,owner,訳,translate,両親,Parents,葬る,bury,,,
実は,Actually,回覧,Circulation,沸く,boil,飾る,Decorate,偏る,be biased,,,
実用,Practical,改良,Improvement,笑う,smile,特に,Especially,労る,Be patient,,,
徐々,gradually,開催,Held,割れる,break up,急ぐ,Hurry,断る,Refuse,,,
女子,Female,解散,dissolved,割合,proportion,見つける,Find,賜る,give,,,
助手,assistant,改正,Amendment,忘れ物,forgetting something,歌,Song,覆す,overthrow,,,
女王,queen,開設,Open,やはり,I knew it,復唱する,To recite,志す,aspire to,,,
丈夫,strong,解説,Explanation,焼ける,burn,拒む,Refuse,蘇る,revive,,,
冗談,joke,買い占める,buy up,焼く,Burn,創造する,Create,滞る,stagnate,,,
上下,Up and down,解消,dissolution,役に立つ,useful,出る,get out,謙る,humble,,,
上品,classy,海水浴,Sea bathing,約束,promise,場所,place,奉る,serve,,,
情報,Information,回数,number of times,止める,Stop,気が利く,witty,司る,govern,,,
条件,Conditions,改訂,revision,止む,Stop,広告,advertisement,遡る,go back,,,
上空,Upper sky,回転,turnover,優しい,Be kind,言う,Say,向かう,go towards,,,
乗客,Passenger,開店,Opening,痩せる,Lose weight,注文する,Order,揺らぐ,waver,,,
上京,Kamikyo,回答,Answer,やっと,Finally,混み合う,Crowded,基づく,be based on,,,
状況,Situation,解約,Termination,柔らかい,soft,どうしても,I have to,明かす,clarify,,,
常識,Common sense,果実,Fruit,用,use,種類,Kind,生かす,make use of,,,
状態,Status,過剰,Excess,汚れる,get dirty,不真面目,Serious,急かす,hasten,,,
上達,superior,係,relation,喜ぶ,rejoice,貸す,Lend,溶かす,dissolve,,,
上等,superior,欠かせない,indispensable,寄る,come near,手渡す,Hand over,抜かす,overtake,,,
女優,Actress,欠かす,indispensable,予習,Preparation,次回,Next time,負かす,defeat,,,
受験,exam,関わり合う,involved,予定,schedule,保つ,keep,沸かす,boil,,,
順,order,下記,Below,用意,Preparation,飛ぶ,fly,焦がす,scorch,,,
順番,order,夏期,summer,用事,errands,湧く,spring up,逃がす,let escape,,,
順調,good,格好つける,look good,予約,reservation,青,Blue,剥がす,strip,,,
銃,gun,隔,apart,湯,hot water,国家,Nation,尽くす,exhaust,,,
重大,serious,格別,different,指,Finger,男性,Man,無くす,lose,,,
柔道,Judo,角度,Angle,指輪,finger ring,というもの,A thing called,亡くす,lose,,,
住民,Residents,確保,secure,夢,Dream,見る,see,起こす,cause,,,
重視,Heavy,各位,each,輸入,Import,子,child,寄こす,send,,,
渋滞,Traffic jam,各自,each,揺れる,shake,話し合う,Discuss,過ごす,spend,,,
住宅,Housing,確率,Probability,輸出,Export,意味する,Meaning,果たす,fulfill,,,
重要,Important,獲得,Acquisition,夕食,Dinner,愛する,love,満たす,fill,,,
需要,Demand,格安,Cheap,残念,Sorry,今度,Now,落とす,drop,,,
株,Stock,歓迎会,welcome party,随分,very much,許す,Forgive,飛ばす,fly,,,
被る,suffer,活発,active,来週,Next week,知らせる,Let me know,伸ばす,extend,,,
勝ち,Win,係,attendant,月曜日,Monday,過去,Past,延ばす,extend,,,
価値,Value,係員,attendant,火曜日,Tuesday,無理,Impossible,覚ます,wake up,,,
替える,replace,駆け抜ける,run through,午前,Morning,同時,Simultaneous,冷ます,cool,,,
会,meeting,拡充,expansion,午後,Afternoon,救出する,Rescue,済ます,clear,,,
回,recovery,確信,certainty,使う,Use,気が合う,We're kindred spirits.,澄ます,clear,,,
回復,recovery,確定,definite,エレベーター,Elevator,男子,Boys,生やす,let grow,,,
絵画,painting,感,feeling,階段,Stairs,行く,I'm going.,冷やす,cool,,,
会合,meeting,叶う,come true,外,Outside,人生,Life,増やす,increase,,,
海外,Overseas,完備,complete,出る,Go out,参加する,Participate,殖やす,increase,,,
会員,Member,勘違い,misunderstanding,夜,Night,万事解決,All's Well That Ends Well,燃やす,burn,,,
会計,Accounting,加熱,Heating,友達,Friend,最後,Finally,荒らす,destroy,,,
改札,ticket revision,看護,Nursing,うち,Home,騙す,Deceive,暮らす,live,,,
解決,Solution,看護師,Nurse,電話,Phone call,少年,Boy,逸らす,disperse,,,
快晴,Fine weather,感じ取る,perceive,もう一度,Again.,断る,No.,散らす,disperse,,,
会社員,Company member,簡潔,Simplicity,帰る,I'm going home.,どうか,please,照らす,illuminate,,,
解釈,Interpretation,観光地,tourist attraction,寝る,Go to bed,勉強,Study,鳴らす,sound,,,
開始,Start,観念,Notion,先月,Last month,ナイフ,knife,慣らす,accustom,,,
回収,Recovery,完璧,perfect,学校,School,非常,Emergency.,馴らす,tame,,,
回数,Number of times,簡略,Simplicity,一緒に,Together,気分,Mood,濡らす,Wet,,,
快適,Comfortable,簡略化,Simplicity,旅行,Travel,約束する,Promise,減らす,decrease,,,
改善,Improvement,観戦,observation,行く,Go,希望,Hope,漏らす,make it leak,,,
化学,Chemistry,観測,observation,日本人,Japanese,落ちる,Falling,ずらす,displace,,,
輝く,Shine,鑑賞,Appreciation,いろいろ,Various,無関係,Irrelevant,降ろす,lower,,,
影,Shadow,観点,Perspective,話す,Talk,押し込む,Pushing in,合わす,Combine,,,
加減,Addition,勧誘,Invite,答える,Answer,西,West,交わす,exchange,,,
鍵,Key,絡む,Involve,呼ぶ,Calling,拒絶する,Reject,浮かぶ,float,,,
限る,limit,仮に,Hypothetically,聞く,Listen,十,10,悔やむ,regret,,,
籠,basket,軽々,lightly,ずっと,All the time,聞く,Listen,老いる,grow old,,,
家具,Furniture,重なる,overlap,南,South,以前,Before,強いる,force,,,
家事,housekeeping,歌詞,lyrics,とても,Very,村,Village,植える,plant,,,
抱える,hold,貸し出し,lend,暑い,Hot,祈る,Pray,飢える,starve,,,
価格,price,箇所,place,だから,So,所有する,Own,終える,End,,,
かかる,to take,加速,acceleration,それから,And then...,侮辱する,Insult,変える,Change,,,
関わる,involve,かすか:,faint:,すると,Then.,学ぶ,Learn,替える,replace,,,
欠ける,lack,課する,impose,だけど,But...,好む,Like,換える,replace,,,
書き直す,rewrite,肩幅,shoulder width,夏,Summer,夕食をとる,Have dinner,代える,replace,,,
活気,vitality,傾く,lean,服,Clothes.,暗示する,Imply,消える,disappear,,,
過去,past,語りかける,speak to,たくさん,A lot.,大いに,Greatly,越える,exceed,,,
囲む,surround,偏る,bias,持つ,Lots of clothes.,世界,World,超える,exceed,,,
各地,various places,片付け,put away,言う,Say,建物,Building,冴える,clear,,,
拡大,expansion,片付く,put away,四月,April,後悔する,Regret,据える,set,,,
覚悟,Preparedness,過程,process,気温,Temperature,無作法,Rude,添える,accompany,,,
確実,certainty,下等,subordinate,度,degrees,存在する,Exist,耐える,endure,,,
確認,Confirm,活字,print,そうすると,When you do that,送る,Sending,絶える,cease,,,
隠れる,Hide,活力,activity,ところが,however,叱る,Scold,堪える,endure,,,
隠す,Hide,活躍,active,それで,So,主張する,Insist,煮える,boil,,,
我慢,Patience,可愛がる,cute,それに,Besides,変更,Change,生える,grow,,,
構う,Preoccupy,変わった,unusual,学生,Students,冗談を言う,make a joke,映える,shine,,,
神,God,かゆい,itchy,図書館,Library,空港,Airport,冷える,cool,,,
上,Up,飾り付け,decorate,借りる,Borrow,反対する,Disagree,増える,increase,,,
雷,Thunder,数々,Numerous,学校,School,町,Town,殖える,multiply,,,
髪の毛,Hair,数多く,many,では,In,払う,Pay,吠える,howl,,,
科目,Subjects,決着,settled,はじめに,In the beginning,魅力,Charm,見える,see,,,
缶,Can,気配,signs,紙,Paper,友達,Friends,燃える,burn,,,
管,tube,警備,Security,名前,Name,決断,Decision,受かる,receive,,,
勘,intuition,警備員,Guards,住所,Address,中央,Central,掛かる,take,,,
看板,sign,経営者,management,電話番号,Phone number,疑う,Doubt,分かる,understand,,,
必ずしも,not necessarily,軽減,reduction,辞書,Dictionary,選択,Choice,上がる,Up.,,,
可也,necessarily,経費,expenses,中,Medium,落とす,Drop,下がる,go down,,,
悲しむ,sad,契機,Opportunity,冊,Books,地下,Underground,曲がる,Bend,,,
感動,emotion,蛍光灯,Fluorescent light,貸す,Lend,時代,Age,飽きる,get tired of,,,
考え,Thoughts,経理,Accounting,週間,Weekly,魚,Fish,生きる,Live,,,
歓迎,Welcome,掲載,Publication,雑誌,Magazine,命令する,Order,起きる,get up,,,
感激,Inspiration,軽視,Neglect,返す,Return,友情,Friendship,尽きる,run out,,,
患者,Patient,形式,Format,今日,Today,病気,Sickness,過ぎる,go past,,,
感じ,Feelings,計測,Measurement,明日,Tomorrow,話,Story,開ける,open,,,
感じる,Feel,携帯,Portable,病院,hospital,新しい,New,明ける,dawn,,,
勘定,Account,毛糸,Yarn,授業,Class,朝食をとる,Having breakfast,活ける,come to life,,,
感情,Emotion,系統,System,出る,I'll be there.,通信,Communication,受ける,receive,,,
感覚,Sensation,継続,Continuity,宿題,Homework,監視する,Monitoring,掛ける,multiply,,,
間隔,Interval,謙虚,humility,教える,Teaching,近い,Close,欠ける,lack,,,
観光,Tourism,検索,Search,休む,Rest,不可能,Impossible,駆ける,run,,,
観光客,Tourists,検診,Medical checkup,昨日,Yesterday,頼りにする,Dependable.,賭ける,gamble,,,
観客,Spectator,研修,Training,傘,umbrella,それでは,Do it.,避ける,avoid,,,
環境,Environment,研修会,Workshop,買う,Buying,する,Do,裂ける,crack,,,
可能,Possible,謙遜,Humility,きれい,Pretty,守る,Protect,漬ける,soak,,,
管理人,Janitor,決勝,Finals,高い,expensive,罰する,Punish,付ける,put on,,,
観察,Observation,決勝戦,Finals,去年,Last year,読む,Read,着ける,put on,,,
感謝,Appreciation,桁,Digit,重い,Heavy,発音する,Pronounce,点ける,turn on,,,
感想,Impressions,決断,Decision,軽い,Light,売る,sell,浸ける,soak,,,
乾燥,Dry,険しい,steep,いい,Good,掘る,dig,解ける,Dissolve,,,
香り,Scent,削る,cut down,毎朝,Every morning,探す,search for,溶ける,Dissolve,,,
空,Sky,気が重い,heavy-hearted,歌,Song,校長,principal,退ける,Retreat,,,
彼ら,They,気が進まない,reluctant,練習,Practice,振る,shake,抜ける,Disappear,,,
枯れる,Wither,気を落とす,Disheartened,今朝,This morning,澄ます,clear,化ける,Disappear,,,
刈る,Mowing,気を使う,Use your mind,時間,Time to go.,あり,be,更ける,Spend,,,
火災,Fire,気を失う,Distracted,来る,Coming.,招待する,Invite,老ける,Grow old,,,
重ねる,pile up,機敏,agile,遅く,Late,赤い,Red,負ける,Lose,,,
稼ぐ,Earn,規模,Scale,正しい,Right,音量,volume,向ける,Face,,,
完成,Complete,気分転換,Mood swings,上,up,人間,human,焼ける,Burn,,,
貸出,Lending,きっちり,Tightly,本,book,厳しい,Severe,分ける,Divide,,,
賢い,clever,気軽,lighthearted,見る,see,出身,From,上げる,raise,,,
感心,Admiration,器具,Equipment,分かる,understand,非科学,Non-science,揚げる,raise,,,
関心,Interest,期日,due date,日本語,Japanese language,情報,Information,挙げる,raise,,,
関連,Related,企画,Planning,書く,write,手伝う,Help,焦げる,burn,,,
管理,Management,機器,Equipment,いくら,How much,基本,Basic,下げる,lower,,,
完了,Completion,聞き手,Listeners,ちょっと,A little,全部,All,告げる,announce,,,
関する,Related,聞き取る,Listening,新しい,new,雑誌,Magazine,遂げる,accomplish,,,
監督,Director,気配り,Attentive,パン屋,bakery,地域,Region,投げる,throw,,,
歌手,Singer,決め付ける,Assigning,私たち,We,予約する,Make an appointment,逃げる,flee,,,
型,Type,緊張感,Tension,店,store,心が通う,Heart to Heart,剥げる,peel off,,,
肩,Shoulder,金魚,Goldfish,パン,Bread,許可する,Allow,曲げる,bend,,,
方々,people,勤務,Work,作る,Make,幅,Width,起こる,happen,,,
片方,one side,近年,Recent years,野菜,vegetable,最初,First,刺さる,prick,,,
固まる,clumped together,近隣,neighborhood,入る,go in,にやにや,grin,為さる,do,,,
刀,sword,絹,silk,他に,Other,知り合う,Getting to know,混ざる,mix,,,
語り合う,talk to each other,金融,finance,甘い,Sweet,言及する,mention,交ざる,mingle,,,
語る,talk about,きっぱり,Clearly,月曜日,Monday,春,Spring,閉じる,close,,,
仮定,suppose,気楽,easy,安く,cheap,欠席する,to be absent,綴じる,bind,,,
動,move,切り上げる,cut back,売る,Sell,見かける,see,恥じる,be ashamed,,,
活用,use,切り取る,cut off,毎週,Every week,好む,like,混じる,mix,,,
勝手,take advantage of,帰省,Going home,安い,Cheap,狩る,Hunt,交じる,be mixed,,,
飼う,keep,貴社,your company,毎晩,Every night,防衛,Defend,化する,transform,,,
皮,skin,気象,weather,黒い,Black,誤りをする,Make a mistake,着せる,put on,,,
革,leather,機種,Model,猫,cat,繰り返す,Repeat,乗せる,put on,,,
可愛らしい,Adorable,競う,compete,茶色,brown,笑う,Laugh,載せる,put on,,,
可哀そう,Pitiful,鍛える,train,犬,dog,知る,Know,見せる,show,,,
川沿い,Along the river,規定,regulations,どちらも,Both,走る,Run,痩せる,lose weight,,,
完全,Perfect,刻み込む,engrave,かわいい,Cute,区域,Area,寄せる,make it look like,,,
飾り,Decoration,刻む,carve,いつも,Always,直接,Direct,混ぜる,mix,,,
数える,Counting,傷物,damaged goods,遊ぶ,play,混む,crowded,交ぜる,mix,,,
数,number,個別,individual,絵,picture,女性,Female,当たる,hit,,,
けち,Cheap,こだわり,particular,好き,I like,消費,Consume,落ちる,Fall,,,
経営,Management,拘る,be concerned with,一人で,Alone,借りる,Borrow,落ちる,fall,,,
敬意,Respect,孤独,solitude,ゆっくり,Slowly,産業,Industry,朽ちる,decay,,,
掲示,Posting,古風,Old-fashioned,五月,May,殺す,Kill,満ちる,be filled with,,,
刑事,Criminal,小金,Small money,休み,Vacation,遊ぶ,Play,当てる,apply to,,,
掲示板,Bulletin Board,小柄,small in stature,外国,Foreign country,日時,Date and time,宛てる,address,,,
景気,Economy,焦げる,burn,飛行機,Airplane,賑わう,crowd,捨てる,discard,,,
警告,Warning,個人差,Individual differences,乗る,Ride,要求する,Demand,立てる,build,,,
傾向,Trend,個々,Individual,初めて,First time,過去,Past,建てる,build,,,
計算,Calculation,心地良い,Comfortable,少し,A little,翻訳する,Translate,果てる,End,,,
契約,Contract,試み,Attempt,心配,Worry,子供,Child,持てる,Hold.,,,
経由,Via,心強い,Comfortable,国,Country,上げる,raise,撫でる,Caress,,,
結果,Result,快い,Pleasant,はじめは,First time,比率,Ratio,茹でる,Boil,,,
欠陥,Defects,細やか,Fine,眠い,Sleepy,目まい,Dizziness,兼ねる,combine,,,
結局,Eventually,小物,small,また,Also,一体,One body,跳ねる,jump,,,
煙,Smoke,根元/根本,Root/root,食べ物,Food,船,ship,浴びる,bathe,,,
券,Certificate,根性,Root,辛い,Spicy,歴史,history,帯びる,wear,,,
県,Prefecture,根気,perseverance,水,Water,気が付く,Awareness,錆びる,become rusty,,,
