P1,T1,P2,T2,P3,T3
テンプラのバッターを作ってください,Make a tempura batter, 爪楊枝入れですね, It's a toothpick holder.,食べていきたいとおもいます,I'd like to eat it.
「テンツユ」はテンプラを浸すスープです,Tentsuyu is a soup that soaks tempura.,そしてこっちは何だ？,And what's this?,はい朝ごはんが到着しました,"Yes, breakfast has arrived."
もちろん、おだしやみりんも使えます,"Of course, you can also use odashi and mirin.",隣はだいたい空って決まってるんですよ,It's always empty next to me.,双方もですねお部屋食にいたしましたでは,Both of us had room service.
だし粉小さじ半分,A half of tea spoon of dashi powder.,ここはこんな感じですね,Here's what it looks like.,早速オープンしていきたいと思います,I'd like to open it as soon as possible.
火にかけておきます,Place on the fire.,あそこ気になりますね,I'm curious about that place.,鮭の切り身をような2個の素管にでしょう,The salmon fillets would be in two bare tubes like
揚げ油を準備します,Prepare the oil.,そうだろうと思ったけど,I thought you might.,聞かとマグロですね,You're asking about tuna.
うん、帰ってくるよ,"Yeah, I'll be back.",メイクができます,I can do makeup.,オムレツにフルーツ サラダが入ってます,Omelet with fruit and salad.
先に食べちゃおう！,Let's eat first!,そして感染予防対策,And infection prevention measures.,ごはんを出できました,I'm ready to serve rice.
手を合わせてご一緒に！ いただきます！,"Put your hands together, please! Itadakimasu!",これはね持ち帰っていいそうです,You can take this home with you.,今日はちょっと外はねにしてみました ,I've decided to splash out a little today. 
お手てで食べてもいい,You can eat with your hands.,持ち帰って使わせていただきます,I'll take it home and use it.,入ってから帰りたいと思います,I'd like to come in and then go home.
おつゆに、ちょんちょんして,Dip it into the dipping sauce.,温泉をプールのように楽しむ,Enjoy the hot spring like a swimming pool,はい非常に楽しい旅でした,"Yes, it was a very enjoyable trip."
まちがいないやつ、おいしい！,"You're right, it's delicious!",ちょっとそのまま読んじゃったんだけど,I kind of read it straight through.,なってしまうのでもうちょっと急いで,It's been a very enjoyable trip.
大根とかがあれば、天つゆの中に入れて,"If you have daikon radish, add in the soup.",ああ、お布団ですね ここは,"Oh, a futon. Here.",から帰りたいと思います,I'd like to go home from
誰みたい？,Who are you like?,お布団が入っております,Your futon is in there.,もうの呼ぶとはまた違った雰囲気で,It's a different atmosphere from what we call it anymore.
エビもぷりぷりやし！,Shrimp is also plump!,ということは必然的にこちらはね,"So, inevitably, this one is.",ゆっくりと者の時間を過ごすことができた,I was able to spend some time with him.
なんでも合うよね,It goes with everything.,たぶん部屋着とかそういったものでしょうね,Probably loungewear or something like that.,大学生のときにスペイン語を学びました,I learned Spanish when I was in college.
天ぷらが余ったら、明日は,If I have leftover tempura.,玄関にはですね,At the entrance.,スペイン語って、あの、難しいですけれども,"Spanish is, you know, difficult."
天つゆと卵でとじて、天丼にしたりします,I sometimes make a tendon with tempura soup and eggs.,こんな感じで大きい姿見もありました,There was also a large mirror like this one.,学ぶ楽しさはやっぱりありますよね？,"It's fun to learn, isn't it?"
おそば、食べたくなるなぁ,I want to eat soba.,今回も私、謎柄で来ました,I came with a mysterious pattern again this time.,女性名詞と男性名詞があって,There are feminine and masculine nouns.
お風呂、はいっておいで！,Come take a bath!,謎柄でございます,It's a mystery pattern.,それぞれ変わるんですよ,Each one is different.
今度ドラマ 評判いいみたいじゃない,I hear the drama is getting good reviews,すごい柄だねほんとに,"It's an amazing pattern, really.",外国語を学ばれた方いらっしゃいますか？,Have you ever studied a foreign language?
そんなんじゃないわよ,It's not like that.,かわいい柄でしょ？,"Cute pattern, right?",皆さん、第二外国語は何にしていましたか？,What did you choose as your second language?
マスター白菜漬け 大盛りね,"A big bowl of pickled Chinese cabbage, Master.",そしてここはたぶんトイレですかね,And this is probably the bathroom.,流れて行っちゃった,It just drifted away.
うまみや甘みが凝縮されます,The cabbage will taste sweeter as they dry out.,温泉に入ればいいということでプレイ,Play with the idea of taking a hot spring bath.,コメントがすぐに流れちゃうので,The comments flow so quickly.
一層うまくなります,It becomes even better!,辺動きでですね,It's an edge movement.,結構スペイン語が多いですね,It's pretty much all Spanish.
ちょっとしきり直して,Let's start over.,あっ透けちゃった,"Oh, it's transparent.",なんだろうこれ？,What is this?
子供が乗るやつですか？,Is that the one the kids ride?,タイヤ交換するやつ？,The one where you change the tire?,いいですかね？,Are you sure?
建物写ってましたね,You got a picture of the building.,建物など無くね,There's no building.,感じでみなさんは撮ってください,Please take pictures like this.
泣かないように気をつけて,Try not to cry.,でもすっごい涙もろいんですよ,But I'm very easily moved to tears.,感動してすぐ泣いちゃいますし,I get emotional and cry easily.
感極まってもすぐ泣いちゃいますし,"Even when I'm overwhelmed with emotion, I cry easily.",あと怒ったり悔しくなってもすぐ泣いちゃう,I also cry easily when I'm angry or frustrated.,ポテトが気になっていたので,I was curious about the potatoes.
作ってみました！,I made it!,ということで、上手いじゃないかー！,"So, you're good at it!",そういうこと言わないで！,Don't say that!
私のハリネズミも可愛かったでしょ！,Wasn't my hedgehog cute too!,今準備が整ったそうなんですけども,I heard it's all set up now.,スタッフさんが出していいのか？,Is it okay for the staff to let you out?
しょうがない…出していいですよ,I don't have a choice... you can let me out.,でも面白い！,But it's funny!,まあ私のは笑えるからいいですよね,"Well, mine's good for a laugh."
みんなもめっちゃ笑ってくれてる！,You guys are laughing so hard!,これはですねー自分と一緒に撮ってみました,Here's a picture of myself with it.,ほんとそわそわしてたんですから,I've been really nervous.
写真撮ってみましたよ,I took some pictures.,楽しんでみましたーもうほんと楽しかった,I really enjoyed it!,そしてですね忘れてはいけない,And don't forget...
今日姉の日というのを初めて知ったので,I've never heard of today being my sister's day before.,姉にありがとうと言うことを伝えたい,I just want to say thank you to my sister.,これは必ず実践していますね,You always practice this.
今日から優しく唇全体につけたいと思います,I'm going to start applying it gently all over my lips today.,身長が同じくらいもうちょっとかな？,"We're about the same height, maybe a little taller.",スカイツリー本当に高くていいですね,Sky Tree is really tall and nice.
右上なんですけどここらへんです,"It's in the upper right corner, but it's around here.",でも結構黒目がちなのかなぁ？,But I wonder if she has pretty dark eyes?,ちょっと報告をしていた,I've been doing some reporting.
さらっと報告していきたいと思います,I'd like to make a quick report.,もう一回やり直したい,I want to do it all over again.,時刻は17時30分を回りました,The time was around 17:30.
すすらないようにっていうより,Rather than trying not to soak it.,あんまりこう音を鳴らさないようにすする,Sip without making too much noise.,っていう感じにしているかもしれない私,I might be making it look like that.
ほんと日用品を買いに出たんですよ,I really just went out to buy some supplies.,日用品を買いに行ったって言ってるじゃない,I told you I went to buy some supplies.,結構皆さんのおかげですね,That's pretty much all of you.
袋のあいたさつまいもパンが,The sweet potato bread with the bag open.,天使が降臨しちゃった,The angels have descended.,本当に幸せな一ヶ月間だったと思います,I think it's been a really happy month.
最終回くらい重かったごめんなさい,I'm sorry it was as heavy as the last episode.,でも1か月間本当に濃かったんですよね,But it's been a really intense month.,さっきデビューしたばっかだからもう本当に,"I just made my debut, so I'm really ready to go."
無事に過ごしましょう、いい天気ですね,Let's stay safe. It's a beautiful day.,それでは安全に素敵な夜をお過ごしください,Have a safe and wonderful evening!,結構皆さんのおかげですね,Thanks to all of you!
雪道のベストな歩き方,The Best Way to Walk on Snowy Roads,実際に歩いてみましょうか、どんな感じで,"Let's actually walk around, see what it's like.",まずはじゃあ、 歩幅は極端に狭く,"First of all, your stride should be extremely narrow."
自分の足のサイズくらいだから,It's about the size of my feet.,こんぐらいですよねこんくらい,That's about right.,けっこう足をあげなくちゃいけないですよね,You have to lift your legs quite a bit.
足を上げて こう、全体で,"Feet up, like this, all the way.",路面状況をよく見て,Watch the road conditions carefully.,足先を見るといいそうですよ,They say you should watch your toes.
足先見てこんな感じですか ねほとんど,It's almost like looking at your toes.,ゆっくりですもうこんな感じですよたぶん,"I'm taking my time, and it's already looking like this, probably.",何倍かかるんだっていう,How many times will it take?
いつもこんくらいスタスタ歩いてますからね,I'm always walking this fast.,いやーかなり時間がかかると思います慎重に,"No, I think it's going to take quite a while.",慎重に、こんな風に歩いてください,"Carefully, walk like this."
女子会ということで,It's a girls' night out.,冷製おつまみなんて どうでしょう？,How about some cold snacks?,今日 作りたくなる 簡単レシピを紹介,Simple recipes you'll want to make today.
女の子が喜びそうな この鶏もも,The girls will love these chicken thighs., 鶏もも肉はまず３等分したら," First, divide the chicken thighs into three equal pieces.",こんな感じになります,It will look like this.
筋を切り 開いていきます,I'm going to cut through the muscle.,これを白髪ねぎにしたいんですが ,I'd like to turn these into white onions. ,そこへ オクラ みょうが 山芋 きゅうり,"Then add okra, myoga, yams, cucumbers."
焼く前にこういうフォークを 用意します,We'll need a fork like this before we cook it.,このねぎを さらしに載せて,Put these leeks on the sarashi.,そして 最後に 納豆を添えれば出来上がり！,"And finally, garnish with natto and you're all set!"
刺していきます,We're going to pierce it.,てるてる坊主っぽいものを 作るというか,I'm going to make something that looks like a teru teru bozu.,食欲がなくても ツルッといける,"Even if you don't have an appetite, you can still enjoy it!"
火通りが よくなります,It's a good way to cook it.,こんな感じでやって…,Like this...,栄養たっぷりの 冷たいネバそば,Cold nebasoba with lots of nutrition.
ここら辺の周りが,Around here.,で こうして 絞ってあげると,And when you squeeze it like this...,もこみち君 出来栄えは いかが？,"How's it coming along, Mokomichi?"
両面が 香ばしく焼けたら,When both sides are nicely browned.,きれいに ふやけるんですよ,It will soften up nicely.,では いただきます,Let's eat!
ねぎと しょうがを 加えます,Add green onions and ginger.,そしたら あとは きゅうり,"Then, all that's left is the cucumbers.",このつゆをですね たっぷりかけて ,Pour plenty of this soup on top. 
まさかの梅干し！,Umeboshi!,千切りします,Shred it.,混ぜて食べるんです,Mix it together and eat it.
なんと 梅干しをフライパンへ,Put the pickled plums in the pan.,これを冷水で洗うと,Wash it in cold water.,いろんな食感が楽しめるんで,You can enjoy many different textures.
そして コンソメスープを加えます,Then add the consommé soup.,そして 盛りつけ,And serve it up.,12歳 丈太郎君 勉強しましょう,"12 years old, Jotaro. Let's study."
ヒタヒタになるぐらいまで 入れましょう,Add the consommé broth until it's thick.,今回は 冷麺用の器を使い,"This time, I used a bowl for cold noodles.",今日は そうですね,Today we'll have...
更に 酒 しょうゆを入れ,Then add the sake and soy sauce.,冷やごはんの上に,On top of the cold rice,トマトはまず 包丁で へたを取ったら,"First, remove the guts with a knife."
味を調えたら そこへ落としぶた,Season to taste.,ひと口大に切った豚バラ,Cut the pork belly into bite-sized pieces.,表面に軽く 切れ目を入れ,Make light slits in the surface.
落としぶたはアルミホイルで 簡単に作れます,The lid can be easily made with aluminum foil.,きゅうり 白髪ねぎ キムチを載せ,"Cucumber, scallion, kimchi.",それを熱湯の中へ,Put them in boiling water.
これで 15分から20分 煮詰めましょう,Let's boil it down for 15 to 20 minutes.,白ごま 糸とうがらし ,White Sesame Seeds String Capsicum , 熱湯に入れます, Put it in boiling water.
見てください,Look at this.,韓国のりをトッピング,Topped with Korean seaweed,もう ちょっと 入れるだけでいいです,Just a little more is all you need.
柔らかくなってきました そしたら,It's getting soft.,さあ ここで出てくるのが,Now here comes the dish.,サッと茹でたらトマトを 氷水にさらし,"After the tomatoes are boiled, put them in ice water."
鶏もも肉が 柔らかくなったら,When the chicken thighs are tender.,氷と 冷やした ほうじ茶です,Ice and chilled hojicha.,切れ目から皮をむきます,Peel the skin from the slits.
この梅干し これを崩して,"When the chicken is tender, break up the pickled plums.",この氷を３つぐらい入れて,Put about three ice cubes in it.,皮をむいたトマトはクシ形にカット,Cut the peeled tomatoes into wedges.
これでね タレが できちゃうんです,You can make a sauce with this.,ほうじ茶をかけて,Then pour some hojicha on top.,ボウルへ移します,Transfer to a bowl.
こんなのも用意します,I'll also prepare these.,今日は これで決まり！,That's it for today!,彩りが 豊かになってきました,Now we have a rich color palette.
プチトマト あと きゅうりね,Cherry tomatoes and cucumbers.,冷麺風 冷やし茶漬けの完成です！,This is the perfect cold noodle style chazuke!,今度はドレッシング作り,Now to make the dressing.
きゅうりは 乱切りにします,Cut the cucumbers into chunks.,豚バラと キムチ 韓国のりで,"Pork belly, kimchi, and Korean seaweed.",にんにくと 数種類のハーブに,Mix garlic and a few herbs.
そして 鶏もも肉を食べやすい大きさに カット,Cut the chicken thighs into bite-sized pieces.,冷麺風に仕上げた 冷やし茶漬け,It's chilled chazuke made like cold noodles.,塩･こしょうをして すり,"Salt, pepper, and grind."
こう ランダムに,Randomly.,もこみち君 出来栄えは いかが？,"How's it coming along, Mokomichi?",オリーブオイル,Olive oil.
刺していきましょう,Let's stick them in.,今回 ほうじ茶を使ってんですけど ,I used hojicha this time. ,ワインビネガーなどを 加え よく混ぜます,Add some wine vinegar and mix well.
さあ 見てください,Look at this.,ほうじ茶が意外と合うんですよ,I used hojicha this time.,お味は いかが？,How does it taste?
最後に 梅肉ソースを添えれば出来上がり！,Garnish with plum sauce and you're all set!, 是非 作ってみてください, Please try making it.,出来上がった ドレッシングは,The dressing is ready.
さあ 今日は これで決まり！,That's it for today!,そしたら 金メダリスト級の,I'll make you a gold medalist-quality Caesar salad.,トマトにかけ よく和えます,Pour over the tomatoes and toss well.
冷やしやきとり風です！,Chilled yakitori style!,シーザーサラダを 作ろうかなと思います,I'm thinking of making a Caesar salad.,これを冷蔵庫で少し,Put it in the refrigerator for a little while.
 焼かずに煮ることで," By boiling it, not baking it.",まず クルトンを 作りたいんですが,"First, I'd like to make croutons.",味がなじむように 冷やします,Chill it a little bit so that the flavors blend.
しっとり 柔らかく仕上げた,It's moist and tender.,こういうバゲットを 用意して,Take a baguette like this.,さあ 入れます,Now let's put it in.
やきとり風の 冷製おつまみ,It's a yakitori-style cold snack.,バゲットは３センチほどの厚さで ,The baguette should be about three centimeters thick. ,今日のパスタ 茹で時間は９分,Today's pasta should be cooked in 9 minutes.
この梅肉のタレがいいですね,I like the plum sauce.,斜めに切っていきます,Cut it diagonally.,さあパスタのほうは もういい感じなので,The pasta is ready to go.
これ 会話も 弾むんじゃないですか？,"This is a great conversation starter, isn't it?",そしたら にんにく香りをつけるわけなんです,"Then, season it with garlic.",茹で上がったら いよいよ仕上げ！,"After boiling, it's time to finish!"
是非 作ってみてください,Please try making it.,それをオーブントースターへおよそ５分焼く,Put it in the toaster oven for about five minutes.,まず 冷蔵庫から ,"First, from the refrigerator. "
そして 誘ってください,And please invite me.,さあ そしたら むね肉,And then the meat.,ドレッシングで和えたトマトを取り出す,Take out the tomatoes with the dressing from the refrigerator.
めぐやんさんからです,This is from Meguyan.,こいつを 開いてあげましょう,Let's open it up.,もういい感じですね,It's looking good.
ありがとうございます,Thank you very much.,塩･こしょうを振ったら,Sprinkle with salt and pepper.,そこへ パルミジャーノチーズを 振りかけ,Sprinkle with Parmigiano cheese.
そしたら 七夕にピッタリな,I'd like to make some gorgeous somen for Tanabata.,オリーブオイルと にんにくで ,Olive oil and garlic. ,茹で上がったパスタを ボウルへ,Put the cooked pasta in a bowl.
 華やかな そうめんを 作りたいと思います, I'd like to make some gorgeous somen noodles.,香りを出した フライパンへ,Put it in a frying pan.,トマト ドレッシングと からめていきます,Toss it with the tomato dressing.
早速 作っていきましょう,Let's get to work.,皮目を強火で 揚げるように焼いたら,Fry the skin on high heat.,あとは盛りつけ,Now we're ready to serve.
 鍋に 水 しょうゆ," In a pot, add water, soy sauce.",反対側は 弱火で じっくり焼き上げます,"On the other side, let it cook slowly over low heat.",まず チコリを お皿に敷き,Put the chicory on a plate.
みりん かつお節を加え ひと煮立ちさせます,Add mirin and bonito flakes and bring to a boil.,チコリをちぎって 入れていきましょう,Tear off the chicory and add it to the pan.,その上に からめた パスタを載せます,Then put the pasta on top.
しょうゆ１ みりん１ かつお節１ですね,"1 soy sauce, 1 mirin, 1 bonito flakes.", 更に 食感がいい, I like the texture of the chicory.,ここがね 大事なんですよ,This is very important.
覚えといてください,Keep that in mind., ロメインレタスと 薄く切った紫玉ねぎを, Romaine lettuce and thinly sliced purple onions.,まあ でも ちょっと,But a little.
ボウルに さらしをひいてつゆをこしたら,Strain the broth into a bowl.,サラダスピナーへ,Into the salad spinner.,更にカッテージチーズを 振りかけ,Sprinkle with cottage cheese.
ラップをし 冷ましておきましょう,Wrap the bowl and let it cool.,オリーブオイルに フルーティーな,Add olive oil and fruity apple vinegar.,こしょうを皿の周りに かければ,Sprinkle some pepper around the plate.
そして 溶き卵に塩を加え,Add salt to the beaten egg.,香りを出すための アップルビネガー,Apple vinegar to give it a fruity aroma.,今日は これで決まり,That's it for today.
薄焼き卵を作ります,Make a thin egg.,そして 粒マスタード,And mustard.,冷製トマトパスタの 完成です！,Chilled tomato pasta is complete!
それを３枚重ねて 短冊切りに,Cut it into strips in three layers.,毎朝 食べるんですけど ヨーグルト,"Yogurt, which I eat every morning.",バジルの香りと,The aroma of basil and
オクラは塩もみしたら サッと茹で,Boil okra with salt.,更に パルミジャーノチーズ,And Parmigiano cheese.,冷たいトマトが 食欲をそそる冷製パスタ,The aroma of basil and cold tomatoes will whet your appetite.
小口切りにしていきます,Cut it into small pieces.,すりおろした にんにく ,Grated garlic. ,もこみち君 出来栄えは いかが？,"How's it coming along, Mokomichi?"
にんじんは 型を使って 星形に くりぬきます,Use a mold to cut out a star shape for the carrot.,塩･こしょうを加え 混ぜ合わせます,I add salt and pepper and mix it all together.,こういうふうに冷製パスタを作ってもいい,It's good to make cold pasta like this.
鍋の中に 入れていきましょう,Put them in the pot.,そのお味は？,How does it taste?,こういったフレッシュな トマトを使って ,You can use fresh tomatoes like this. 
少し茹でます,Boil a little.,でも これだけじゃないんです,But that's not all.,こんな１品もあります ,We also have these items 
さあ そしたら エビ,"And now, the shrimp.",レモン 皮をすりましょう,Let's grate the lemon peel.,是非 チャレンジしてみてください,I hope you'll give it a try.
エビは 竹串で背わたを取り,Remove the back of the shrimp with a bamboo skewer.,更に レモンをよ～く搾って,Squeeze the lemon well.,ありがとうございます,Thank you very much.
鍋でサッと茹でたら,Boil it briefly in a pot.,ここで 焼き上がった バゲットを取り出して,"Now, take out the baguette from the oven.",今日は また ちょっと違った,"Today, we'll try something different."
このお腹(なか)の部分に,Make a little cut on the belly.,もう 手で ちぎっちゃいましょう,Let's tear it up with our hands.,マンネリ解消新感覚サラダを作ろうと思う,"Today, I'd like to make a new kind of salad that will get you out of a rut."
ちょっと こう 切り込みを入れます,I make a little incision in the belly.,ちぎったバゲットは ボウルに入れ,Put the torn baguette in a bowl.,早速 作っていきましょう,Let's get right to it.
こうすることで美しく 仕上がるのだとか,This is how you make it beautiful.,サラダと合わせ 盛りつけます,Combine it with the salad and serve.,今日はこんなステキな食材を用意しました,"Today, I've prepared these wonderful ingredients."
そうめん 糸を用意して 結んじゃいます,Somen: Prepare a thread and tie it.,焼き上がった鶏肉を 載せれば出来上がり！,Top it with the grilled chicken and you're done!,まず この ルッコラなんですけど,"First, there's this arugula."
これをですね 茹でましょう,Let's boil it.,鶏のタンパク質とバゲットの炭水化物で,With the protein from the chicken and the carbs from the baguette.,この端の部分を ちぎって,Tear off the ends of this arugula.
今日 なんで 結んだかというと,Why did I tie it today?,主食にもなる シーザーサラダ,A Caesar salad that can be a staple meal.,これをボウルへ 入れてしまいます,Put it in a bowl.
バラつかせたく なかったからです,Because I didn't want them to fall apart.,もこみち君 出来栄えは いかが？,"How's it coming along, Mokomichi?",そして グリーンオリーブ,And green olives.
束の状態で 飾りつけたいので,I want to decorate it in a bunch.,チキンを使われてる所があんまりないと思う,I don't think there are many places that use chicken.,もう あらかじめ カットしてあるものです,I've already cut them up.
そして いよいよ盛りつけ,And now for the serving.,ヘルシーかつ ガッツリ食べられる,It's healthy and filling.,これを入れます,Put these in.
刻んだ ねぎ オクラ 卵 みょうが,"Chopped green onion, okra, egg, myoga.",作ってみてください！,Please try to make it!,そして このラズベリ,And this raspberry.
そして 反対側には,And on the other side.,今日は 夏にピッタリ！,Today's dish is perfect for summer.,これも丸ごと 入れちゃいましょう,Let's put them in whole.
にんじん エビ 氷を盛りつけます,"And on the other side, carrots, shrimp, and ice.", 簡単 麺料理を 作っていきましょう, Let's make a simple noodle dish.,で ここにですね,And here...
今日は これで決まり！,That's it for today!,まずは だし汁に みりんと,"First, add mirin and soy sauce to the broth.",ちょっと このオリーブオイル かけて,Pour some olive oil on it.
七夕そうめんの 完成です！,Tanabata Somen is complete!,しょうゆを足して つゆを作ります,Add mirin and soy sauce to the broth to make a sauce.,からめていきましょう,Let’s mix it together.
ご覧ください,Please take a look.,オクラは 塩もみしてから茹で,Blanch okra with salt and boil it.,こいつを 使いたいと思います,I'll use this.
まるで 絵画のように 美しい七夕そうめん,"It's like a painting, the beautiful Tanabata Soumen.",冷水に さらして色止め,Soak it in cold water to stop it from coloring.,ここにラズベリーを たくさん乳鉢に入れて,Put raspberries in a mortar and pestle.
もこみち君 出来栄えは いかが？,"How's it coming along, Mokomichi?", 色が鮮やかになりました, The color has become bright.,つぶしていきましょう,Let's crush them.
どっから 食べたらいいのか 分かりません,I don't know where to start eating it.,小口切りに,Cut into small pieces.,ここに 塩 そして こしょう,Salt and pepper.
でも こういう盛りつけだったら ,I don't know where to start. ,そして みょうがと きゅうりは 千切りに,Cut the myoga and cucumber into thin strips.,そしたら あの　このレモン,And this lemon.
子供から大人まで楽しめますよね,I'm sure everyone from children to adults will enjoy it.,切った食材は バットに移しておきます,Transfer the sliced ingredients to a bat.,半分にカットして 搾ります,Cut it in half and squeeze it.
めぐやんさんも 是非 試してみてください,"Meguyan, please give it a try.",今日は ちょっと納豆を 使いたいんですけど,I'd like to use natto today.,オリーブオイルと ヨーグルトを加えて,Add olive oil and yogurt.
今日は じゃ 冷やごはんが 大変身する,Today... let's try an idea that will transform cold rice.,女の子にモテたい ,I want to be popular with girls. ,よく混ぜ合わせます,Mix well.
アイデア料理で いきましょうか！,Let's start with an idea to transform cold rice!, 納豆は みじん切りにした ねぎと," For the natto, add chopped green onions and soy sauce.",なるほど　これを ドレッシングにするのね,I see. So this is the dressing.
今日はフライパン,"Today, we'll use a frying pan.",しょうゆを加え よく混ぜ合わせます,Add soy sauce and mix well.,すごく おいしい,So delicious.
ここに ごま油,"Here, sesame oil.",そしたら 山芋を使います,Then use the yams.,ここに このレモンの皮を 削っていきましょう,Let's scrape the lemon zest here.
今日は こんな おいしそうな 豚バラを使います,"Today, we'll use this delicious-looking pork belly.",刃の反対の部分で外側の部分を 削り取ります,Use the other side of the blade to scrape off the outer part.,こんなドレッシング なかなかないですよね,It's not often you find a dressing like this.
これをね 焼きますよ,Let's cook it., 山芋も細かく刻みこちらもバットへ, Chop the yam into small pieces and put it on the bat.,そしたら もう 盛りつけに入ります,Then we're ready to serve.
豚バラ肉は片面に 焼き色がついたら,Brown the pork belly on one side.,いよいよ そばを茹でます,Now it's time to boil the soba.,早いですよ 今日は,We're early today.
こしょう にんにくの スライスを加え,Add pepper and a slice of garlic., そばの場合は２回 中華麺も２回," For soba, boil twice. For Chinese noodles, boil twice.",まず お皿に野菜を盛りつけ,"First, put the vegetables on a plate."
こんがり焼いていきます,Let's brown it.,そして うどんは３回です,And three times for udon.,その上にドレッシングを 回しがけします,Then pour the dressing on top.
これを焼いてる間に長ねぎですね,"While this is cooking, we'll add green onions.",覚えといてください,Please remember that.,そして 最後に チーズを削れば,"And finally, shave some cheese on top."
この…　中にある この芯を 取り除きます,Remove this core from the inside.,そして 茹で上がったら 冷水でしめ,"After boiling, soak in cold water.",今日は これで決まり！,That's it for today!
長ねぎは 芯を取ったら 重ねて千切りに,"Once the core is removed, layer the leeks and cut into strips.",手でクルッと巻いてから お皿へ盛りつけます,"Roll it up with your hands, and place it on a plate.",鮮やかな ピンクが まぶしい,It's bright pink and dazzling.
まあ サラダなんだけど スイーツっていうか,"It's a salad, but it's more like a sweet.",イチゴなんかも 使ってもいいと思います,"You can use strawberries, too.",見た目も味も 正に新感覚の,It looks and tastes just like a new sensation.
代わりにブルーベリでも いいですし ,You could use blueberries instead. ,こんな新感覚サラダも ありますんで,We have this new kind of salad.,ラズベリーと ヨーグルトのサラダ,raspberry and yogurt salad.
よし！ 泣くな もう,All right!　No more tears.,秘密の始まりだって,He said it was the beginning of a secret.,よね？　俺も覚えてなかった,Right?　I didn't remember either.
またな,See you later.,や～ なに！ もう すでに キュンキュン,No! What! I'm already tingling.,緊張しすぎて 覚えてないみたいな ,I was too nervous to remember. 
行くか,Let's go.,そうなんですよ,That's right.,あの瞬間は ちょっと無理だった,That moment was a little too much.
頑張って！,Come on!,映画じゃん,It's a movie!,あっ 飲み物 何にする？,"Oh, what would you like to drink?"
ヤベえから,"Oh, man.",ドラマチックな スタートだったな,That was a dramatic start.,アイスティーで,Iced tea.
怖い,I'm scared.,びっくりしましたけど,I was surprised.,アイスティー１つと,One iced tea.
疲れた,I'm tired.,まあ 改めていうとですね,I'll tell you again.,アイスコーヒーで,Iced coffee.
あと １キロくらいじゃねえ？,"We've got about a mile to go, right?",この番組は,This show...,はい かしこまりました,"Yes, sir. Yes, sir."
いや まだだと思う ,"No, I don't think so. ",日記に書かれた ,Written in a diary. ,お願いします,"Yes, please."
もう真愛スペシャルで,I'm going to do the Ma'ai Special.,ドラマのような状況に,We have a drama situation.,ドキドキ すごいっすね,I'm thrilled. It's amazing.
これ 使って,Use this.,放り込まれた男女は,The men and women who were thrown in,えっ どうする？　敬語,What do you want?　Respectful.
まさか これで,No way.,本当に恋に落ちるのかを 見ていく,We're going to see if they really fall in love.,でも 徐々にじゃないと無理か,But it'll have to be gradual.
もう二度と 会えなくなるって,I never thought I'd see you again.,恋愛リアリティ番組です,It's a romance reality show.,いや いけます ,I can do it. 
全く予想も してなかったから,I had no idea what to expect.,初っ端から きてない？　相当,Isn't that a bit much to start with?　Pretty much.,いける？,You can?
もうちょい急ぎます,I'll hurry a little more.,映画の予告みたいな 始まりから,It started out like a movie trailer.,じゃあ 敬語なくそう,Then let's lose the honorifics.
どういうこと？ ダルい！ウザい ほんとに,What do you mean? You're so lame!　It's annoying. It really is.,そして 運命の出会いまで,And how they met their destiny.,そういうことかそういうこと そういうこと？,That's what you mean. That's what you mean?
早く食べれ,Hurry up and eat.,ちょっと ドキドキしましたね,I was a little nervous.,急には 無理かもしんないけどさ,"It may be too much to ask suddenly, but..."
え？　あっ 動画？,What?　A video?,確かに するよね すごいな,I'm sure you were. It's amazing.,何されてるんですか？,What do you do?
こんにちは,Hello.,しかも 未来日記の 間でしか会えないし,And we only get to see each other during the events of Future Diary.,一応 お仕事ですよね？ ,"It's your job, right? "
未来日記をお持ちしました,"I brought you a copy of ""Mirai Nikki"".",会えないんですよね 連絡も ,"We can't see each other, can we? ",お仕事は 料理人,I'm a chef.
ありがとうございます,Thank you very much.,もちろん 取れないっていう,"Of course, they can't be contacted.",どこ出身です？ 北海道です,Where are you from? Hokkaido.
沖縄県の那覇市出身,"I'm from Naha City, Okinawa Prefecture.",すごい人の心を揺さぶる 企画じゃないですか,"It's a really exciting project, isn't it?",えっ 北海道？,Hokkaido?
大学生で アパレルの バイトをしています,"I'm a college student, and I work part-time in the apparel industry.",未来日記で会うときにだけ使える ,You can only use it when you meet someone in the future. ,あっ 北海道 めっちゃ こんなじゃないですか？,"Oh, Hokkaido. Isn't it really like this?"
職業が料理人で ４年目です,I've been a cook for four years.,スマホを渡しているという,He said he was handing over his phone.,端と端 ヤバい,On one end and on the other.
未来日記です,This is my future diary.,あっ 専用のスマホを？ ,A special phone? ,沖縄いいね 沖縄 行きたくて,Okinawa's nice. I've been wanting to go to Okinawa.
この未来日記には,In this future diary.,この令和で連絡先交換できないって ,You can't exchange contact information with this guy? ,俺の家族 ５人家族なんだけど,My family's a family of five.
明日の 一番 最初の日記と,This future diary contains the first diary of tomorrow.,逆に それが 燃え上がる可能性あるよね,"On the contrary, there's a chance it'll get her fired up.",家族旅行 行きますって なって,We're going on a family vacation.
