Kanji,Reading,Meaning
防食,ぼうしょく,protection against corrosion
防水着,ぼうすいぎ,waterproof clothing
防水加工,ぼうすいかこう,waterproof finish
防火塗料,ぼうかとりょう,fire-resistant paint
防火訓練,ぼうかくんれん,fire drill
予防的,よぼうてき,preventive
透ける,すける,"to be transparent, to show through"
透明,とうめい,"transparent, clear"
浸透,しんとう,"penetration, pervasion, permeation, soaking, osmosis"
透き通る,すきとおる,"to be transparent, to be see-through"
透視,とうし,seeing through
透析,とうせき,dialysis
透水性,とうすいせい,permeability
透写紙,とうしゃし,tracing paper
半透明,はんとうめい,"semi-transparent, translucent"
透かす,すかす,to look through
透明性,とうめいせい,transparency
要素,ようそ,"component, factor, item"
酸素,さんそ,oxygen
水素,すいそ,hydrogen
素晴らしい,すばらしい,"wonderful, splendid, magnificent"
素人,しろうと,"amateur, novice"
素早い,すばやい,"fast, quick, prompt, nimble, agile"
素直,すなお,"obedient, meek, docile, unaffected"
素材,そざい,"ingredient, (raw) material, resource"
素質,そしつ,"character, qualities, genius, the makings of"
素顔,すがお,"face with no make-up, unpainted face"
炭素,たんそ,carbon
素朴,そぼく,"simple, artless, naive, unsophisticated"
元素,げんそ,chemical element
色素,しきそ,"pigment, coloring, colouring, colorant, colourant"
窒素,ちっそ,nitrogen
素粒子,そりゅうし,"elementary particle, particle"
質素,しっそ,"simple, plain, modest, frugal, reserved"
塩素,えんそ,chlorine
簡素,かんそ,"simple, plain, modest"
素子,そし,element
素性,すじょう,"birth, lineage, identity"
素案,そあん,"rough plan, draft"
素描,そびょう,"drawing, sketch, outline"
酵素,こうそ,enzyme
素手,すで,"bare hand, empty hand"
素因,そいん,basic factor
栄養素,えいようそ,nutrient
重水素,じゅうすいそ,"deuterium, heavy hydrogen"
素読,そどく,reading without understanding
素焼き,すやき,unglazed pottery
毒素,どくそ,toxin
複素,ふくそ,complex
人工元素,じんこうげんそ,"synthetic element, artificial element"
食用色素,しょくようしきそ,"food coloring, food colouring, food dye"
発光素子,はっこうそし,light emitter (fiber optics)
抵抗,ていこう,"resistance, opposition, reluctance, drag, friction"
対抗,たいこう,"opposition, antagonism"
抗議,こうぎ,"protest, objection"
反抗,はんこう,"opposition, resistance, insubordination"
抗生物質,こうせいぶっしつ,"antibiotic, antibiotics"
抗体,こうたい,antibody
抗争,こうそう,"dispute, resistance"
抗原,こうげん,antigen
抗告,こうこく,"appeal, protest, complaint"
抗戦,こうせん,resistance
抗菌,こうきん,"antibacterial, antimicrobial"
抗う,あらがう,"to go against, to fight against, to oppose, to resist"
空気抵抗,くうきていこう,air resistance
抗言,こうげん,protest
対抗商品,たいこうしょうひん,competing product
抗ウイルス薬,こうウイルスやく,antiviral drug
抗ヒスタミン薬,こうヒスタミンやく,antihistamine
抗張力,こうちょうりょく,tensile strength
抗酸化物質,こうさんかぶっしつ,antioxidant
抗真菌,こうしんきん,antifungal
抗老化,こうろうか,anti-aging
抗血清,こうけっせい,antiserum
抗炎症薬,こうえんしょうやく,anti-inflammatory drug
抗毒素,こうどくそ,"antitoxin, antivenin, antivenom"
比抵抗,ひていこう,"resistivity, specific resistance"
終端抵抗,しゅうたんていこう,terminator
抵抗率,ていこうりつ,resistivity
抵抗器,ていこうき,electrical resistor
揚抗比,ようこうひ,lift-drag ratio
抗凝固剤,こうぎょうこざい,"anticoagulant agent, anticoagulant drug"
絶縁抵抗,ぜつえんていこう,insulation resistance
抗する,こうする,"to resist, to defy"
縁起,えんぎ,"omen, sign of luck"
無縁,むえん,"unrelated, unconnected, irrelevant, indifferent"
血縁,けつえん,blood relationship
絶縁,ぜつえん,"breaking off relations, disconnection, isolation"
因縁,いんねん,"fate, destiny, connection, tie, bond, origin"
縁側,えんがわ,"veranda, porch, balcony, open corridor"
額縁,がくぶち,frame
縁談,えんだん,"marriage proposal, marriage talks"
縁組,えんぐみ,"betrothal, wedding"
洗剤,せんざい,"detergent, cleanser, cleaning agent"
覚醒剤,かくせいざい,stimulant
薬剤,やくざい,"medicine, drug, chemical"
薬剤師,やくざいし,"pharmacist, chemist"
殺虫剤,さっちゅうざい,"insecticide, pesticide"
調剤,ちょうざい,"making up a prescription, dispensing medicine"
鎮痛剤,ちんつうざい,"analgesic, painkiller, sedative, tranquilizer, tranquiliser"
錠剤,じょうざい,"pill, lozenge, tablet"
合成洗剤,ごうせいせんざい,synthetic detergent
漂白剤,ひょうはくざい,"bleaching agent, bleach"
防虫剤,ぼうちゅうざい,insect repellent
接着剤,せっちゃくざい,"adhesive, glue"
鎮静剤,ちんせいざい,"sedative, tranquilizer, tranquiliser"
薬剤学,やくざいがく,pharmaceutics
下剤,げざい,laxative
化学剤,かがくざい,chemical agent
結婚,けっこん,marriage
結構,けっこう,"splendid, nice, wonderful, delicious, sweet"
結合,けつごう,"combination, union, binding, catenation, coupling, joining"
結果,けっか,"result, consequence, outcome, effect"
結び,むすび,"ending, join, union, connecting, knotting"
結ぶ,むすぶ,"to tie, to bind, to link, to bear, to close, to connect"
連結,れんけつ,"concatenation, coupling, connection, linking, consolidation"
結局,けっきょく,"after all, in the end, ultimately, eventually"
結晶,けっしょう,"crystal, crystallization, crystallisation"
凍結,とうけつ,freezing
結論,けつろん,conclusion
団結,だんけつ,"unity, union, solidarity, combination, teaming up"
結成,けっせい,"formation, combination"
結核,けっかく,tuberculosis
結末,けつまつ,"end, conclusion"
結集,けっしゅう,"concentration,  gathering together"
結婚式,けっこんしき,"marriage ceremony, wedding, nuptials"
結束,けっそく,"union, unity, solidarity, bundling, binding, tying"
妥結,だけつ,"settlement, an agreement"
終結,しゅうけつ,"end, close"
結びつく,むすびつく,"to be related, to be connected, to result in, to lead to"
締結,ていけつ,conclusion
結社,けっしゃ,"association, society"
完結,かんけつ,"conclusion, completion"
結党,けっとう,formation of a party
集結,しゅうけつ,"massing (of troops), gathering"
帰結,きけつ,"consequence, result, conclusion"
結託,けったく,"conspiracy, collusion"
直結,ちょっけつ,"direct connection, direct link"
結納,ゆいのう,engagement gift
結露,けつろ,"condensation, formation of dew"
髪結い,かみゆい,"hairdresser, hairdressing"
結う,ゆう,"to do up (hair), to dress, to arrange, to tie, to bind"
連結器,れんけつき,"connector, coupler"
株式,かぶしき,stock (company)
形式,けいしき,"form, method, system, style, format, mode"
正式,せいしき,"due form, official, formality"
こうしき,公式,"formal, official, formula"
書式,しょしき,"prescribed form (of writing), format"
様式,ようしき,"style, form, pattern"
儀式,ぎしき,"ceremony, rite, ritual, service"
葬式,そうしき,funeral
株式会社,かぶしきがいしゃ,public company
方式,ほうしき,"form, method, system, formula"
洋式,ようしき,"Western-style, foreign"
旧式,きゅうしき,"old type, old style"
図式,ずしき,"diagram, graph, schema"
方程式,ほうていしき,"equation, formula"
形式的,けいしきてき,formal
非公式,ひこうしき,"informal, unofficial"
日本式,にほんしき,Japanese style
一式,いっしき,"complete set, all, everything"
授賞式,じゅしょうしき,award ceremony
式典,しきてん,"ceremony, rites"
新式,しんしき,"new form, new formula"
式場,しきじょう,ceremonial hall
略式,りゃくしき,"informal, simplified"
軟式,なんしき,soft
公式戦,こうしきせん,regular game
型式,かたしき,"model, type"
硬式,こうしき,hard
挙式,きょしき,"holding a ceremony, wedding ceremony"
式辞,しきじ,ceremonial address
古式,こしき,"old style, ancient rites"
格式,かくしき,"formality, social rules"
落成式,らくせいしき,inauguration ceremony
西洋式,せいようしき,western style or fashion
始球式,しきゅうしき,season-opening ceremony
卒業式,そつぎょうしき,"graduation ceremony, commencement"
正式名称,せいしきめいしょう,"official name, formal name"
株式市場,かぶしきしじょう,stock market
数式,すうしき,numerical formula
除幕式,じょまくしき,unveiling ceremony
式次第,しきしだい,program of a ceremony
公式サイト,こうしきサイト,official website
和式,わしき,Japanese-style
五月雨式,さみだれしき,"off and on manner, intermittent style"
入学式,にゅうがくしき,school entrance ceremony
電子式,でんししき,electronic
電気式,でんきしき,"electrical, electric"
分子式,ぶんししき,molecular formula
開会式,かいかいしき,opening ceremony
開通式,かいつうしき,formal opening
確か,たしか,"sure, certain, positive, definite, reliable"
確認,かくにん,"confirmation, verification, validation"
確率,かくりつ,"probability, likelihood, chances"
明確,めいかく,"clear, precise, definite, distinct"
確定,かくてい,"decision, settlement"
正確,せいかく,"accurate, correct, precise, exact"
確実,かくじつ,"certainty, reliability, soundness"
確保,かくほ,"securing, obtaining, ensuring, guarantee, maintaining"
確立,かくりつ,"establishment, settlement"
確かめる,たしかめる,"to ascertain, to check, to make sure"
確信,かくしん,"conviction, belief, confidence"
的確,てきかく,"precise, accurate, appropriate, exactly the right"
適確,てきかく,"precise, accurate, appropriate, exactly the right"
不確か,ふたしか,"unreliable, uncertain, indefinite, unclear"
不確実,ふかくじつ,"uncertain, unreliable"
確り,しっかり,"tightly, firmly, securely"
確固,かっこ,"firm, unshakeable, resolute"
確約,かくやく,"firm promise, definite promise"
確執,かくしつ,"discord, antagonism"
当確,とうかく,"projected to win, sure to be elected"
確証,かくしょう,"conclusive evidence, positive proof, definite proof"
確度,かくど,degree of accuracy
再確認,さいかくにん,"reaffirmation, reconfirmation, revalidation"
確報,かくほう,"definite report, confirmed data"
不明確,ふめいかく,"inaccurate, indistinct, imprecise, unclear, indecisive"
確かに,たしかに,"surely, certainly"
確言,かくげん,"assertion, confirmation"
本人確認,ほんにんかくにん,identity verification
意思確認書,いしかくにんしょ,letter of intent
確認書,かくにんしょ,certificate
売渡確認書,うりわたしかくにんしょ,sale confirmation
降水確率,こうすいかくりつ,"chance of precipitation, chance of rain"
確定日付,かくていひづけ,fixed date
農村,のうそん,"agricultural community, farm village"
村人,むらびと,villager
村長,そんちょう,"village headman, village mayor"
漁村,ぎょそん,fishing village
山村,さんそん,mountain village
村民,そんみん,villager
市町村,しちょうそん,"cities, towns and villages"
町村,ちょうそん,towns and villages
選手村,せんしゅむら,athlete's village
村議会,そんぎかい,village assembly
寒村,かんそん,"deserted village, poor village"
提出,ていしゅつ,"presentation, submission, production, introduction"
提案,ていあん,"proposal, proposition, suggestion"
前提,ぜんてい,"condition, assumption, prerequisite, hypothesis"
提供,ていきょう,"offer, tender, providing, supplying, making available, donating"
提携,ていけい,"cooperation, tie-up, joint business, partnership, alliance"
大前提,だいぜんてい,"major premise, important condition"
提起,ていき,"raising (a question), bringing up (a problem)"
手提げ,てさげ,"handbag, purse"
提言,ていげん,"proposal, motion, recommendation"
提示,ていじ,"presentation, exhibit, suggest, citation"
提供者,ていきょうしゃ,"donor, contributer, provider"
提灯,ちょうちん,paper lantern
提唱,ていしょう,"advocacy, proposal"
提げる,さげる,"to take along, to hold in the hand"
提訴,ていそ,"presenting a case, suing"
提出者,ていしゅつしゃ,"presenter, submitter, proposer"
手提げ籠,てさげかご,handbasket
手提げ袋,てさげぶくろ,"handbag, shopping bag"
前提条件,ぜんていじょうけん,"precondition, prerequisite"
情報提供者,じょうほうていきょうしゃ,"informant, informer, contact"
運動,うんどう,"exercise, physical training, work-out"
運転,うんてん,"operating, running, run"
運ぶ,はこぶ,"to carry, to transport, to move, to convey"
運転手,うんてんしゅ,"driver, chauffeur"
運送,うんそう,"transport, freight, shipping"
運用,うんよう,"making use of, application, practical use"
運命,うんめい,"fate, destiny, lot"
運営,うんえい,"management, administration, operation"
幸運,こううん,"good luck, fortune"
運輸,うんゆ,transportation
運搬,うんぱん,"transport, transportation, conveyance, carriage"
運行,うんこう,"service (bus, train), operation"
不運,ふうん,"misfortune, bad luck, ill luck"
運賃,うんちん,"fare, freight rates, shipping expenses"
運動会,うんどうかい,"athletic meet, sports day"
運び,はこび,"progress, pace, carriage, step, stage"
運河,うんが,"canal, waterway"
選挙運動,せんきょうんどう,"election campaign, political campaign"
海運,かいうん,"maritime, marine transportation"
運動場,うんどうじょう,"sports ground, playing field, playground"
運休,うんきゅう,"suspension, cancellation, stoppage"
社会運動,しゃかいうんどう,social movement
試運転,しうんてん,"trial run, test run"
機運,きうん,"opportunity, chance, trend, tendency"
労働運動,ろうどううんどう,labour movement
運航,うんこう,"operating (e.g. ships, aircraft)"
命運,めいうん,"fate, doom"
運輸省,うんゆしょう,Ministry of Transport
運び出す,はこびだす,"to carry out, to transport"
運動神経,うんどうしんけい,"motor nerves, reflexes"
海運業,かいうんぎょう,"shipping industry, marine transport"
運転免許,うんてんめんきょ,"driver's license, driver's licence"
運転士,うんてんし,professional driver
発掘,はっくつ,"excavation, exhumation"
採掘,さいくつ,mining
掘削,くっさく,"digging out, excavation"
掘る,ほる,"to dig, to excavate, to hollow"
巡回,じゅんかい,"going around, patrol, round, tour"
巡査,じゅんさ,"police officer, policeman"
巡る,めぐる,to go around
巡業,じゅんぎょう,provincial tour
巡航,じゅんこう,"cruise, cruising"
お巡りさん,おまわりさん,police officer
巡礼,じゅんれい,"pilgrimage, pilgrim"
巡視,じゅんし,inspection tour
貯蓄,ちょちく,savings
蓄積,ちくせき,"accumulation, accumulate, store"
蓄える,たくわえる,"to store, to save up, to stock up on, to lay in stoc"
備蓄,びちく,"stockpile, reserves, storing, stocking u"
含蓄,がんちく,"implication, significance, connotati"
蓄財,ちくざい,amassing of wealth
蓄電池,ちくでんち,storage battery
貯蓄銀行,ちょちくぎんこう,savings bank
稼ぐ,かせぐ,"to earn (income), to make (money)"
稼働,かどう,"operation (of machine), operating, running, working"
稼ぎ,かせぎ,earnings
出稼ぎ,でかせぎ,working away from home
稼業,かぎょう,"trade, business, occupation, profession, job"
稼働率,かどうりつ,"operating ratio, rate of opera"
共稼ぎ,ともかせぎ,earning a living together
時間稼ぎ,じかんかせぎ,"holding out, stalling, putting off, time-buying"
瞬間,しゅんかん,"moment, second, instant"
一瞬,いっしゅん,"instant, moment, for an instant"
瞬時,しゅんじ,"moment, instant"
瞬く,またたく,"to blink (one's eyes), to wink, to bat"
瞬間電断,しゅんかんでんだん,power flicker
瞬間的,しゅんかんてき,"momentary, instantaneous"
沈黙,ちんもく,"silence, being silent, quiet, hush"
沈む,しずむ,"to sink, to go under, to submerge"
沈着,ちんちゃく,"settling, depositing"
沈下,ちんか,"sinking, subsidence"
沈静,ちんせい,"stillness, tranquility, tranquillity, dullne"
浮沈,ふちん,"floating and sinking, rise and fall"
沈滞,ちんたい,"stagnation, inactivity"
撃沈,げきちん,sending a ship to the botto
沈める,しずめる,"to sink, to submerge"
輝かしい,かがやかしい,"brilliant, glorious, glittering, bright, splendid"
輝き,かがやき,"brightness, brilliance, brilliancy, radiance, glit"
光り輝く,ひかりかがやく,"to shine, to glitter"
光輝,こうき,"brightness, splendour, splendor"
輝度,きど,"brightness, clearness, luminance"
輝く,かがやく,"to shine, to glitter, to sparkle"
輝かす,かがやかす,"to light up, to brighten"
輝度信号,きどしんごう,luminance signal
輝点,きてん,light spot
照り輝く,てりかがやく,to shine brilliantly
輝線,きせん,bright line
刺激,しげき,"stimulus, impetus, incentive, encouragement, motivation"
激しい,はげしい,"violent, furious, tempestuous"
急激,きゅうげき,"sudden, abrupt, rapid, sharp, drastic, radical"
激動,げきどう,"violent shock, agitation, turbulence, turmoil"
感激,かんげき,"deep emotion, impression, inspiration"
激励,げきれい,"encouragement, spurring (on), cheering (on)"
激戦,げきせん,"fierce battle, hard-fought battle, hot contest, severe fight"
過激,かげき,"extreme, radical"
激化,げきか,"intensification, aggravation"
激論,げきろん,"heated argument, heated discussion, heated debate"
激減,げきげん,"dramatic decrease, sharp drop, sudden fall"
激怒,げきど,"rage, indignation, exasperation"
激突,げきとつ,"crash into, clash"
激変,げきへん,"sudden change, upheaval"
激情,げきじょう,"violent emotion, passion, fury"
激烈,げきれつ,"violence, vehemence, fury, fervour, ferv"
激甚,げきじん,"intenseness, violence, severity, vehemence, keenness"
激流,げきりゅう,"raging stream, rapids"
激痛,げきつう,"sharp pain, acute pain, intense pain"
激増,げきぞう,"sharp increase, sudden rise"
刺激物,しげきぶつ,"stimulant, stimulative, excitant"
激す,げきす,"to intensify, to be excited, to fly into a rage"
激辛,げきから,extremely hot (spicy)
激越,げきえつ,"violent, vehement"
激職,げきしょく,"busy job, exhausting work"
激厚,げきあつ,"very thick, seriously thick"
激する,げきする,"to intensify, to be excited, to fly into a rage"
高度,こうど,"altitude, height, elevation"
今度,こんど,"this time, now"
速度,そくど,"speed, velocity, pace, rate"
程度,ていど,"degree, amount, grade, standar"
一度,いちど,"once, one time, on one occasion"
制度,せいど,"system, institution, organization, organisation"
態度,たいど,"attitude, manner, behaviour"
年度,ねんど,fiscal year
何度,なんど,"how many times?, how often?"
温度,おんど,temperature
限度,げんど,"limit, bounds"
適度,てきど,"moderate (degree), proper (amount), temperate, suitable"
度々,たびたび,"often, again and again, over and over again"
再度,さいど,"twice, again, second time"
角度,かくど,angle
毎度,まいど,"each time, always, often"
湿度,しつど,level of humidity
度合い,どあい,"degree, extent"
強度,きょうど,"strength, intensity"
度胸,どきょう,"courage, bravery, pluck, nerve, grit, guts"
震度,しんど,seismic intensity
尺度,しゃくど,"gauge, standard, measure, criterion, index"
落ち度,おちど,"mistake, error, fault, slip, blunder, omission, oversight"
濃度,のうど,"concentration, thickness, density"
度数,どすう,"frequency, number of times, incidence"
密度,みつど,density
過度,かど,"excessive, immoderate"
頻度,ひんど,frequency (of occurrence)
会計年度,かいけいねんど,fiscal year
高速度,こうそくど,high speed
精度,せいど,"precision, accuracy"
節度,せつど,"moderation, standard"
重度,じゅうど,"severe (injury, handicap, etc.), serio"
極度,きょくど,"maximum, extreme, utmost, curvature"
都度,つど,"each (every) time, whenever"
経度,けいど,longitude
緯度,いど,latitude (nav.)
高感度,こうかんど,"high sensitivity, highly sensitive"
感度,かんど,"sensitivity (e.g. of a measuring instrument), reception"
硬度,こうど,"hardness, solidity"
加速度,かそくど,acceleration
鮮度,せんど,degree of freshness
純度,じゅんど,purity of a substance
深度,しんど,depth
丁度,ちょうど,"exactly, precisely, just, right"
輝度,きど,"brightness, clearness, luminance"
目出度い,めでたい,"happy, auspicious, propitious, joyous"
好感度,こうかんど,"likability, favorability, popularity"
何度でも,なんどでも,any number of times
分離,ぶんり,"separation, partition, detachment, segregation, isolation"
離婚,りこん,divorce
離れる,はなれる,"to be separated, to be apart, to be distant"
距離,きょり,"distance, range"
長距離,ちょうきょり,"long distance, long haul"
離陸,りりく,takeoff
隔離,かくり,"isolation, segregation, separation, quarantine"
引き離す,ひきはなす,"to pull apart, to separate"
離党,りとう,secession from a political party
離す,はなす,"to separate, to part, to divide, to keep apart"
切り離す,きりはなす,"to detach, to decapitate, to cut loose"
近距離,きんきょり,short distance
離着陸,りちゃくりく,takeoff and landing
遠距離,えんきょり,long distance
短距離,たんきょり,"short distance, short range, short-haul"
離散,りさん,"dispersal, scattering"
離脱,りだつ,"withdrawal, secession, separation, breakaway"
中距離,ちゅうきょり,middle-distance
離職,りしょく,employment separation
離島,りとう,"isolated island, outlying island"
肉離れ,にくばなれ,pulled or torn muscle
離反,りはん,"estrangement, alienation, disaffection"
電離,でんり,"ionization, ionisation"
離日,りにち,departure from Japan
満足,まんぞく,"satisfaction, contentment, sufficient, enough"
不満,ふまん,"dissatisfaction, displeasure, discontent, complaints"
円満,えんまん,"harmonious, peaceful, happy, amicable, s"
満員,まんいん,"full house, no vacancy, sold o"
満たす,みたす,"to satisfy, to meet, to fulfill, to fill"
満点,まんてん,"perfect score, full marks, extremely"
満ちる,みちる,"to be full, to wax, to rise, to mature, to expire"
満腹,まんぷく,"full stomach, filling one's stomach, complete, total, full"
肥満,ひまん,"fatness, obesity"
満面,まんめん,whole face
満月,まんげつ,full moon
満場,まんじょう,"whole house, whole audience"
未満,みまん,"less than, insufficient"
満開,まんかい,full bloom
満々,まんまん,"full of, brimming with"
満喫,まんきつ,"having enough of (food, drink, etc.), having one's fill"
満期,まんき,"expiration (of a term), maturity (e.g. investment)"
満塁,まんるい,bases loaded
満場一致,まんじょういっち,unanimity
満席,まんせき,"full house, all seats occupied, fully occupied"
満了,まんりょう,"expiration, termination"
充満,じゅうまん,"being filled with, being full of, permeation"
満潮,まんちょう,"high tide, high water, full tide"
満杯,まんぱい,full
満天,まんてん,the whole sky
豊満,ほうまん,"stout, corpulent, plump, voluptuous"
満載,まんさい,"fully loaded, full load, loaded condition"
満悦,まんえつ,"great delight, rapture"
満員電車,まんいんでんし,crowded train
満足感,まんぞくかん,feeling of satisfaction
顧客満足,こかくまんぞく,customer satisfaction
専門,せんもん,"speciality, specialty, subject of study, expert, area of expertise"
専門家,せんもんか,"specialist, expert, professional, authority, pundit"
専用,せんよう,"exclusive use, personal use, dedicated"
専攻,せんこう,"major subject, special study"
専務,せんむ,"special duty, being in sole charge of a duty"
専ら,もっぱら,"wholly, solely, entirely, exclusively, devotedly, fixedly"
専門学校,せんもんがっこう,"vocational school, technical school"
専門店,せんもんてん,"specialist shop, shop specializing in a few types of product"
専売,せんばい,"monopoly, monopolization, exclusive sales rights"
専門医,せんもんい,medical specialist
専業,せんぎょう,"special occupation, principal occupation, specialty"
専門的,せんもんてき,"technical (e.g. discussion), exclusive, professional"
専念,せんねん,"absorption, giving undivided attention, devoting onesel"
専修,せんしゅう,"specialization, specialisation"
専制,せんせい,autocracy
専属,せんぞく,"exclusive, attached to, specialist"
住専,じゅうせん,housing-loan corporation
専任,せんにん,full-time service
専横,せんおう,"arbitrariness, high-handedness"
専従,せんじゅう,"working exclusively for, working full-time (for)"
専有,せんゆ,"exclusive possession, sole ownership, monopoly"
専売特許,せんばいとっきょ,"patent, one's specialty"
高等専門学校,こうとうせんもんがっこう,technical college
専科,せんか,"specialized course, specialised course"
読み出し専用,よみだしせんよう,read-only
専門用語,せんもんようご,technical term
専門外,せんもんがい,outside of one's area of expertis
専門知識,せんもんちしき,"expertise, special knowledge, technical knowledge"
専門性,せんもんせい,"specialization, specialty, speciality, expertise"
専門分野,せんもんぶんや,area of expertise
専門委員会,せんもんいいんかい,"advisory committee, committee of expe"
読み取り専用,よみとりせんよう,read-only
心臓専門医,しんぞうせんもんい,"cardiologist, heart specialist"
専売特許品,せんばいとっきょひん,patented article
専門科目,せんもんかもく,"special (specialized, specialised) subject"
直接,ちょくせつ,"direct, immediate, personal, firsthan"
接続,せつぞく,"connection, attachment, union, join, joint, link"
接する,せっする,"to touch, to come in contact with, to border on, to adjoin"
間接,かんせつ,"indirection, indirectnes"
接触,せっしょく,"touch, contact"
接近,せっきん,"getting closer, drawing nearer, approaching"
面接,めんせつ,interview (e.g. for a job)
接待,せった,"entertainment, treating"
応接,おうせつ,"reception (e.g. of visitors), dealing with"
密接,みっせつ,"close (relationship, connection, etc.), intimate, near"
隣接,りんせつ,"adjacency, contiguity, being adjoined"
接点,せってん,"tangent point, point of contact"
接着,せっちゃく,"adhesion, glueing, gluing, bonding, binding"
予防接種,よぼうせっしゅ,"vaccination, inoculation, immunization, immunisation"
接見,せっけん,interview
間接的,かんせつてき,indirect
間接税,かんせつぜい,indirect tax
接合,せつごう,"union, joining"
接戦,せっせん,"close combat, close contest"
溶接,ようせつ,"weld, welding"
直接的,ちょくせつてき,direct
直接税,ちょくせつぜい,direct tax
接種,せっしゅ,"inoculation, vaccination"
接客,せっきゃく,"serving customers, looking after visitors, reception"
直接選挙,ちょくせつせんきょ,direct election
接ぎ木,つぎき,grafting
継ぎ接ぎ,つぎはぎ,"patching (clothing), darning"
接ぐ,つぐ,"to join, to piece together, to set (bones)"
間接利用者,かんせつりようしゃ,indirect user
多元接続,たげんせつぞく,"multiple-access (e.g. TDMA, CDMA)"
接続料金,せつぞくりょうきん,"connection charge, connection fee"
相互接続,そうごせつぞく,"cross connection, interconnection, internetworking"
直接入力,ちょくせつにゅうりょく,direct input
接着力,せっちゃくりょく,"bond strength, adhesive strength, adhesive force"
接続先,せつぞくさき,access point
直接対話,ちょくせつたいわ,"face-to-face talk, direct communication"
接合温度,せつごうおんど,"bonding temperature, welding temperature, junction temperature"
結果,けっか,"result, consequence, outcome, effect"
効果,こうか,"effect, effectiveness, efficacy, result"
果物,くだもの,fruit
成果,せいか,"result, outcome, fruits (of one's labors), product, accomplishment"
果実,かじつ,"fruit, nut, berry, fruits, profit"
果たして,はたして,"as was expected, just as one thought, sure enough"
果たす,はたす,"to accomplish, to achieve, to carry out, to fulfill, to fulfil, to realize"
因果,いんが,"cause and effect, causality"
果て,はて,"the end, the extremity, the limit, the limits, the resul"
逆効果,ぎゃくこうか,"opposite effect, adverse effect, backfiring"
効果的,こうかてき,"effective, successful"
果敢,かかん,"resolute, determined, bold"
果てしない,はてしない,"endless, boundless, everlasting"
困り果てる,こまりはてる,"to be at a complete loss, to be without recou"
果てる,はてる,"to end, to be finished, to be exhausted"
果樹,かじゅ,fruit tree
青果,せいか,"fruit(s) and vegetables, produce"
疲れ果てる,つかれはてる,"to get tired out, to be exhausted"
果汁,かじゅう,fruit juice
研究結果,けんきゅうけっか,"results of a scientific investigation, findings"
避難,ひなん,"taking refuge, finding shelter, evacuation, escape"
避妊,ひにん,contraception
回避,かいひ,"evasion, avoidance"
不可避,ふかひ,"inevitable, inescapable, unavoidable"
避難民,ひなんみん,"refugees, evacuees"
逃避,とうひ,"escape, evasion, flight"
避暑,ひしょ,escaping the summer hea
退避,たいひ,"taking refuge, evacuation"
忌避,きひ,"evasion, avoidance, shirking"
避ける,さける,to avoid
雨避け,あまよけ,"tarpaulin, shelter from rain"
避難口,ひなんぐち,"evacuation door, escape hatch"
避難場所,ひなんばしょ,"evacuation site, exposure, refuge shelter, shelter"
避難場,ひなんば,"refuge, evacuation center"
避病院,ひびょういん,isolation hospital
観測,かんそく,"observation, survey, measurement"
測量,そくりょう,"measurement, surveying"
測定,そくてい,measurement
測る,はかる,"to measure, to weigh, to survey, to time"
予測,よそく,"prediction, estimation"
推測,すいそく,"guess, conjecture"
計測,けいそく,"measuring, measurement"
測候所,そっこうじょ,weather measurement station
憶測,おくそく,"guess, speculation, supposition"
目測,もくそく,"eye measurement, measure with eye"
測地,そくち,geodetic survey
測定器,そくていき,measuring instrument
生物測定学,せいぶつそくていがく,"biometrics, biometry"
計測学,けいそくがく,metrology
気象観測,きしょうかんそく,weather observation
手順,てじゅん,"process, procedure, sequence, protocol, instruction"
順番,じゅんばん,"turn (in line), order of things, sequential order"
順序,じゅんじょ,"order, sequence, procedure"
順守,じゅんしゅ,"adherence, obeying, following, abiding, observance"
順位,じゅんい,"order, rank, position, precedence"
道順,みちじゅん,"route, way, course, directions"
順応,じゅんのう,"adaptation, accommodation, conforming, adjustment"
順次,じゅんじ,"in order, sequential"
順に,じゅんに,"in order, in turn, one by one"
順当,じゅんとう,"proper, right, reasonable"
順礼,じゅんれい,"pilgrimage, pilgrim"
打順,だじゅん,batting order
順路,じゅんろ,regular route
順々に,じゅんじゅんに,"in order, in turn"
筆順,ひつじゅん,stroke order
操作手順,そうさてじゅん,operating procedure
発生順,はっせいじゅん,chronological
作業手順,さぎょうてじゅん,"work procedure, operational procedure"
先着順,せんちゃくじゅん,"order of arrival, first-come-first-served basis"
手順書,てじゅんしょ,"process document, procedure manual"
順呼出し,じゅんよびだし,sequential access
順方向電圧,じゅんほうこうでんあつ,forward voltage
低い優先順位,ひくいゆうせんじゅんい,low priority
信号手順,しんごうてじゅん,signalling protocol
復旧手順,ふっきゅうてじゅん,restoration procedure
演算手順,えんざんてじゅん,algorithm
昇順,しょうじゅん,ascending order
降順,こうじゅん,descending order 
順化,じゅんか,"acclimatization, naturalization, acclimation"
計算順序,けいさんじゅんじょ,computation sequence
順番検査,じゅんばんけんさ,sequence check
順序制御,じゅんじょせいぎょ,sequencing
高級,こうきゅう,"high class, high grade"
上級,じょうきゅう,"advanced level, high grade, senior"
階級,かいきゅう,social class
同級生,どうきゅうせい,classmate
学級,がっきゅう,school class
初級,しょきゅう,"elementary level, beginner level"
中級,ちゅうきゅう,intermediate level
下級,かきゅう,"lower grade, low class, junior (officer)"
