P1,T1,P2,T2,P3,T3
踊ってもらえますか。,Will you dance with me?,彼は窓を通って来た。,He came through the window.,浮世の心配事のない人はない。,There is no one without worries in this world.
予約してもらえませんか。,Will you make a reservation?,この道は通れませんよ。,You can't go this way.,のんびり行こう。,Let's take it easy.
友達にたすけてもらいなさい。,Ask your friends to help you,試験に通るには６０点取らないといけない。,You have to get 60 points to pass the exam.,今日はビーチでのんびりしよう。,Let's take it easy on the beach today.
毎朝起こしてもらえますか。,Can you wake me up every morning?,私は田舎へ行く途中小さな村を通った。,I passed through a small village on my way to the country.,ゆっくり食べて。,Eat slowly.
僕は妹に写真を取ってもらった。,I asked my sister to take my picture.,行列が学校の側を通った。,A procession passed by the school.,ゆっくりどうぞ。,Take your time.
目の前で料理してもらうのは素敵だ。,It's nice to have someone cook in front of you.,車はそのトンネルの中を通ります。,The car goes through that tunnel.,空はだんだん暗くなった。,The sky was getting darker and darker.
子供の頃しょっちゅう勉強しると言われた。,"When I was a child, I was often told I needed to study.",崖っぷちに沿って狭い道が通っている。,A narrow road runs along the edge of the cliff.,騒音は徐々に減少した。,The noise gradually decreased.
紅茶とコーヒーどちらでもどうぞと言われた。,I was told I could have tea or coffee.,彼はその人を街路を通って駅まで行きました。,He took the person through the streets to the station.,彼の体力は徐々に衰えた。,His physical strength was slowly waning.
僕は医者に見てもらったほうがいいと言われた。,He said I should see a doctor.,私は昨日彼女の家のそばを通った。,I passed by her house yesterday.,次々に事件が起きた。,Incidents occurred one after another.
結婚してくれと言われたとき私は言葉に窮した。,"When he asked me to marry him, I was at a loss for words.",私達は最も近い道を通って駅に行った。,We took the nearest road to the station.,彼らは次々と出発した。,They departed one after another.
彼は助けてくれと叫んだ。,He screamed for help.,私は学校へバスで通っています。,I take the bus to school.,飛行機が次々に到着した。,The planes arrived one after another.
彼にそうしてくれと頼んだ。,I begged him to do so.,ここではバスは十分おきに通る。,"Here, the bus goes every ten minutes.",彼は実に頭がいい。,He's really smart.
彼は私に許してくれと言った。,He asked me to forgive him.,山を通してトンネルを通した。,We passed through a tunnel through the mountain.,彼は実に素直な人だ。,He is a very straightforward person.
彼はお金を貸してくれと頼んだ。,He asked me to lend him some money,すみません、ちょっと通して下さい。,"Excuse me, please let me through.",彼は実にいいやつだ。,He's a really nice guy.
誰かが助けてくれ叫んでいる。,Someone is screaming for help,床下にパイプを通す。,Pass the pipe under the floor.,本当に大丈夫？,Are you sure you're okay?
彼は給料を上げてくれと要求した。,He demanded a raise in his salary.,私は彼を部屋に通した。,I let him into the room.,本当に美味しい。,It's really good.
彼女は彼に家まで送ってくれと訴えた。,She pleaded with him to give her a ride home.,銅はよく電気を通す。,Copper is a good conductor of electricity.,本当に美味しい。,It's really good.
凍るように冷たい。,Freezing cold,台本に目を通しておいてください。,Please look over the script.,風邪がなかなか治らない。,I can't get over this cold.
焼けるように熱い。,Searing hot,道を開けて子どもを通してください。,Please open the way and let the child through.,カレーはまあまあでした。,The curry was okay.
うだるように暑い。,Sweltering hot,山を通してトンネルを通した。,I put the tunnel through the mountain.,昨年の物価上昇はまあまあだった。,Last year's price increase was okay.
働き過ぎないように。,Don't work too hard,それらは１年を通してずっと飾られている。,They are decorated throughout the year.,道に缶をすてるな。,Don't leave the can in the street.
汽車に間に合うように急げ。,Hurry up so you can catch the train,今日は何曜日ですか?,What day is it today?,缶を開けてもいいですか。,May I open the can?
またいつか風のように走るんだ。,You'll be running like the wind again someday,今日は月曜日です。,Today is Monday.,ビールをもう１缶いただけますか。,"Can I have another can of beer, please?"
必ず弱火で煮立たないように煮ること。,Be sure to boil it over low heat so it doesn't boil over,今日は火曜日です。,Today is Tuesday.,煮え加減がちょうどよい。,The simmering was just right.
ここは差し込むように痛みます。,It hurts like a plunger here,今日は水曜日です。,Today is Wednesday.,彼女は甘さ加減がよいかどうかケーキの味見をした。,She tasted the cake to see if the sweetness was right.
袖を捲ってください。,Please roll up your sleeves,今日は木曜日です。,Today is Thursday.,お肉の焼き加減は、いかがなさいますか？,How would you like your meat cooked?
今日は寒くてしょうがない。,It's so cold today,今日は金曜日です。,Today is Friday.,ステーキの焼き加減はどういたしましょう？,How would you like your steak cooked?
心配したってしょうがないよ。,I don't care if you're worried,今日は土曜日です。,Today is Saturday.,この手の冗談にはもういい加減、うんざりだ。,I'm sick and tired of this kind of joke.
冷たいものを飲みたくてしょうがない。,I can't help but want something cold to drink,今日は日曜日です。,Today is Sunday.,少し手加減しました。,I went a little easy on it.
対策に関する討議が行われた。,Discussions were held on countermeasures.,今日は何月何日ですか?,What’s the date today?,私は彼に忠告した。,I gave him my advice.
それは細菌感染に有効だ。,It's effective against bacterial infections.,今日は何日ですか?,What’s the date today?,一言忠告をします。,I have one word of advice for you.
その新型車が市場に出ている。,That new car is on the market.,今日は24日です。,Today is the 24th.,ご忠告ありがとう。,Thank you for your advice.
何がそう言ったにせよそれはうそだよ。,"Whatever told you that, it's a lie.",2012年11月3日 月曜日。,"Monday, November 3rd, 2012.",先生は彼に忠告した。,The doctor gave him some advice.
捕まらないようにしろよ。,Try not to get caught.,やがて夜が明けて朝になった。,"Eventually, night fell and morning came.",彼に休むよう忠告した。,I advised him to rest.
彼は我々の求めに応じて歌って。,He sang at our request.,先日の午後に。,The other afternoon.,彼女に忠告しても無駄だ。,It's no use advising her.
電車は駅に向かっていた。,The train was heading for the station.,水曜日の夕方に。,Wednesday evening.,彼は僕の忠告を無視した。,He ignored my advice.
彼の努力にも関わらず事故は起こった。,"Despite his best efforts, the accident happened.",夜になるのを待って出発する。,We'll wait for night to fall before we leave.,彼は私の忠告を無視した。,He ignored my advice.
彼女は事実に基づいて議論を展開する。,She bases her arguments on facts.,今朝から頭痛がする。,I've had a headache since this morning.,警告は全くなかった。,There was no warning at all.
自分お主義に基づいて行動した。,She acted on her own principles.,野には朝霧が立ちこめていた。,There was a morning mist in the field.,彼は我々の警告を無視した。,He ignored our warnings.
塩と重曹を水に加えてください。,Add salt and baking soda to the water.,早朝の冷気の中を散歩する。,I take a walk in the cool early morning air.,彼らは船に危険を警告した。,They warned the ship of the danger.
雨に加えて激しい風にもあった。,We had heavy winds as well as rain.,明朝７時に私を車で迎えに来てくれますか。,Can you pick me up at 7:00 tomorrow morning?,医者は危険の可能性を警告する。,Doctors warn of the possibility of danger.
警戒するに越したっことはない。,It's always better to be safe than sorry.,天気が良ければ、私たちは明朝出発します。,"Weather permitting, we will leave tomorrow morning.",ラジオで洪水の警告をしていた。,They warned of a flood on the radio.
何か別の方法があるに決まっている。,There's got to be another way.,今何時ですか。,What time is it?,そうするなと警告したではないか。,I warned you not to do that.
そんな計画は失敗するに決まっている。,A plan like that is bound to fail.,2たす4は6。,Two plus four is six.,ご助言、感謝します。,I appreciate your advice.
お金持ちに関わらず彼女は幸せでない。,"Regardless of how rich she is, she's not happy.",4ひく2は2。,4 subtract 2 is 2.,彼は私の助言を求めた。,He asked for my advice.
彼らとは関わるな。,Don't get involved with them.,2かける4は8。,2 multiplied by 4 is 8.,彼の助言は命令も同然だ。,His advice is as good as an order.
地球の資源は限られている。,Earth's resources are limited.,4割る2は2。,4 divide 2 is 2.,彼の助言に注意しなさい。,Beware of his advice.
学生に限り入場可。,Only students are admitted.,悪い天気になりますか。,Is it going to be bad weather?,彼の助言など役に立たない。,His advice is useless.
急いでいる時に限ってバスが遅れる。,The bus is always late when I'm in a hurry.,暑くなりますか。,Will it be hot?,コーチが助言をしてくれた。,The coach gave me advice.
夏はビールに限るね。,Beer is the best drink in summer.,気温は何度ぐらいでしょうか。,What will the temperature be?,彼は医者の勧めでたばこをやめた。,He quit smoking on the advice of his doctor.
ただしかっこいい男に限る。,But only if you're good-looking.,雨になりますか。,Will it rain?,落下物に注意！,Beware of falling objects!
誕生日に限らずプレゼントをもらうのは嬉しいものだ。,"It's always nice to receive gifts, not just on your birthday.",嵐になりますか。,Will there be a storm?,偽物にご注意。,Beware of fake goods.
服装や髪型はその人の内面の表れにほかならない。,Clothing and hairstyle are nothing but an expression of a person's inner self.,雪になりますか。,Will it snow?,車に注意しなさい。,Beware of cars.
予想に反して楽に勝てましたね。,"Contrary to my expectations, you won easily.",氷が張りますか。,Will there be ice?,ペンキ塗りたて注意,Beware of fresh paint.
行かなければならない。,I have to go.,いい風ですね。,It's a nice wind.,すりに注意しなさい。,Beware of sledding.
将来に備えねばならない。,We have to prepare for the future.,雷雨になりますか。,Will there be thunderstorms?,足下に注意して下さい。,Watch your step.
冬が近づきつつある。,Winter is approaching,霧が立ちますか。,Will there be fog?,彼は食べ過ぎに注意した。,He was careful not to overeat.
物価が上がりつつある。,Prices are rising.,天気が崩れます。,Will the weather break?,彼はその問題に注意した。,He took care of that problem.
人口は増加しつつある。,The population is growing.,涼しくなります。,It will get cooler.,一言苦言を呈したい。,I would like to offer a word of complaint.
自分としては満足している。,I am satisfied with my life.,明日の天気予報はどうですか。,What is the weather forecast for tomorrow?,最高の状態ですね。,That's the best I can do.
旅行方法としてはどれが一番良いですか。,Which is the best way to travel?,酷暑に耐えられない。,I can't stand the extreme heat.,受信状態がよくない。,Reception is not good.
夜を徹するか否か。,Whether to stay up all night or not.,大都会の酷暑を避ける。,Avoid the extreme heat in the big city.,受信状態がよくない。,Reception is not good.
全力を尽くすか否かだ。,Whether or not to give it your all.,薄ら寒い天気。,Chilly weather.,歯茎の状態が悪いですね。,The gums are in bad shape.
私にはそれが真実か否かが分からない。,I can't tell if that's true or not.,快晴に恵まれた。,We were blessed with clear skies.,既に手に負えない状態だ。,He's already in over his head.
以前より悪くなってる？,Is he worse off than before?,どんよりとした気分。,A gloomy mood.,彼は三日間無意識の状態だ。,He's been unconscious for three days.
彼は以前ほど太ってない。,He's not as fat as he used to be.,どんよりとした空。,A gloomy/overcast sky,今、最良の状態にあります。,He's in the best shape of his life.
彼は以前早起きだった。,He used to be an early riser.,どんよりした目。,Clouded eyes.,彼は今、寝たきりの状態だ。,He is bedridden now.
彼は以前とは違う。,He's not like he used to be.,梅雨らしく空はどんよりしている。,The sky was gloomy like the rainy season.,品物は良好な状態で到着した。,The goods arrived in good condition.
彼は以前よりは健康ではない。,He's not as healthy as he used to be.,酷暑の折からお体に気をつけてください。,Please take care of yourself in this extremely hot weather.,病人の生命は危険な状態です。,The sick man's life is in danger.
彼は以前は酒を飲まなかった。,He used to not drink.,海はとても穏やかだった。,The sea was very calm.,その患者は危ない状態だった。,The patient was in a dangerous condition.
許可なしにしゃべらないで下さい。,Please don't speak without permission.,穏やかな気候。,Calm weather.,この状態を理解していますか？,Do you understand this situation?
許可なしにしゃべらないで下さい。,Do not speak without permission.,穏やかな一日だった。,It was a calm day.,その車は疑いなくひどい状態だ。,The car is undoubtedly in a bad condition.
成功は努力いかんによる。,Success depends on hard work.,彼は穏やかな処置をとった。,He took gentle measures.,その古家はひどい状態であった。,The old house was in a bad condition.
雨にあってすっかりびしょ濡れになった。,It was raining and I was completely soaked.,彼は余生を穏やかに過ごした。,He spent the rest of his life peacefully.,条件を決める。,Determine the terms.
このお店、近くにあって良かったね。,It's a good thing this store is close by.,昨夜はひどい雷雨だった。,We had a bad thunderstorm last night.,支払条件もご提示下さい。,Please also offer terms of payment.
急がなくてもいいよ。,You don't have to hurry.,冷たくて湿っぽい空気。,The air was cold and humid.,認めるけど、条件が一つ。,"Granted, but there is one condition."
彼は今日は学校へ行かなくてもいい。,He doesn't have to go to school today.,かびは湿っぽい所が好きだ。,Molds like damp places.,この条件では拒絶に等しい。,This condition is tantamount to rejection.
踊りましょうか。,Shall we dance?,今日はとても蒸し暑い。,It's very humid today.,その条件には全く不満足です。,I am totally unsatisfied with those conditions.
歩きましょうか。,Shall we walk?,梅雨で部屋がじめじめしている。,It's rainy season and the room is damp.,彼女は条件が不公平だと言い張る。,She insists that the conditions are unfair.
始めましょうか。,Shall we begin?,雨の後で地面がじめじめしている。,The ground is damp after the rain.,健康は成功の一つの大切な条件だ。,Health is one important condition for success.
説明しましょうか。,Shall we explain?,彼はじめじめした性格だ。,He has a sullen/gloomy personality.,そちらの条件を受け入れましょう。,Let's accept your condition.
休憩しましょうか。,Shall we take a break?,猛暑をどう凌いでいますか。,How are you surviving the heat wave?,その条件ならば、同意しましょう。,"If those are the conditions, let's agree to them."
窓を開けましょうか。,Shall we open a window?,冷凍庫の霜を取る。,Defrosting the freezer.,私はこれらの条件下で仕事したくない。,I don't want to work under these conditions.
何か手伝いましょうか。,Do you need help?,今朝野原に霜がおりていた。,There was frost in the field this morning.,まだ具合悪いの？,Are you still sick?
どこで会いましょうか。,Where shall we meet?,霜で真っ白である。,It was white with frost.,風邪の具合はどう？,How's your cold?
昼食は何にしましょうか。,What do you want for lunch?,霜に強い品種。,A frost-tolerant variety.,時計の具合が悪い。,My watch is sick.
結構です。それにしましょう。,"No, thank you. Let's do that.",一面に霜がおりている校庭。,The schoolyard with frost all over it.,彼は具合が悪そうだ。,He's not feeling well.
何か飲み物をいれましょうか。,Can I get you something to drink?,濃い霧が町にかかっている。,A thick fog hung over the town.,具合が悪いのですか。,Are you sick?
お取り寄せいたしましょうか。,Would you like me to order something for you?,霧が次第に薄らいだ。,The fog gradually thinned.,母はとても具合が悪い。,My mother is very sick.
取り寄せていただけますか。,Can you order it for me?,霧のかかった朝。,Foggy Morning,カメラの具合が悪いの。,My camera is not well.
そうですか、じゃ、取り寄せてもらえますか。,"I see. Well, can you order it for me?",彼女は霧の中で迷子になった。,She was lost in the fog.,仕事の具合はどうだい。,How are you feeling at work?
前にもあったよ。,It's happened before.,町は霧に包まれている。,The town is shrouded in fog.,今日はずっと具合がいい。,I'm feeling much better today.
話す前に考えなさい。,Think before you speak.,その試合は雨天で流れた。,That game was rained out.,症状は軽いですよ。,The symptoms are mild.
６時前には来ないで。,Don't come before 6:00.,運動会は雨天順延になります。,The Sports Day will be postponed in case of rain.,どのような症状ですか。,What are the symptoms?
歩きながら話しましょう。,Let's talk while we walk.,非常の場合に備える。,Prepare for emergencies,どんな症状がありますか。,What are the symptoms?
お茶を飲みながら話しましょう。,Let's talk over a cup of tea.,非常口はどこにありますか。,Where are the emergency exits located?,患者の症状は全く絶望的だ。,The patient's symptoms are absolutely hopeless.
台所に入ってこないで。,Don't come into the kitchen.,その建物には非常口がない。,The building had no emergency exits.,高熱がこの病気の顕著な症状だ。,High fever is a prominent symptom of this disease.
話しかけてこないでよ！,Don't talk to me!,手を触れないでください。,Please do not touch it.,患者の症状は日ごとに変化する。,The patient's symptoms change from day to day.
もう電話してこないで。,Don't call me again.,ペンキ塗りたて。,Freshly painted.,よくこういう症状が起きますか。,Do you often have these symptoms?
どうやって我慢するの？,How do you put up with that?,芝生に入らないで下さい。,Please stay off the lawn.,この症状が出たのはいつですか。,When did these symptoms first appear?
どうやって出会ったの？,How did you meet?,起こさないでください。,Please don't wake him up/disturb.,この症状はいつまで続くのですか。,How long will these symptoms last?
どうやってやるの？,How do you do it?,観光案内所にお問い合わせください。,Please inquire at the Tourist Information Center.,状況は最悪だ。,The situation is bad.
どうやって知り合ったの？,How did you get to know each other?,観光案内所はどこですか。,Where is the tourist information center?,難しい状況です。,The situation is difficult.
どうやって作ったのですか。,How did you make it?,お手洗いはどこでしょうか。,Where is the restroom?,状況は絶望的だ。,The situation is hopeless.
学校へはどうやって行ってるの？,How do you go to school?,マナーモードに設定して下さい。,Please set it to silent mode.,状況は絶望的のようだ。,The situation seems hopeless.
後で取りに来ます。,I'll come back for it later.,先生、この子に応急手当をしてください。,"Doctor, please give this child first aid.",私は状況は精通します。,I'm familiar with the situation.
後で電話するね。,I'll call you later.,この講座では応急手当の基本的な技能を教えます。,This course teaches basic skills in First Aid.,非常に微妙な状況だった。,It was a very delicate situation.
後でまた言ってね。,Tell me later.,申し込は明日まで受け付けます。,Applications will be accepted until tomorrow.,状況をどう分析しますか。,How do you analyze the situation?
後で追いつきますから。,I'll catch up with you later.,これを受付にお出しください。,Please present this to the receptionist.,状況は刻々と悪くなった。,The situation got worse by the minute.
後で結果を教えてね。,I'll let you know how it goes.,楽しい休暇を。,Have a nice vacation.,状況は改善の余地がある。,The situation has room for improvement.
後でそれしてもいい？,Can I do that later?,楽しい旅行を。,Have a good trip.,彼女は不満な様子だ。,She seems to be unhappy.
私は後で君たちに合流する。,I'll join you guys later.,お休みなさい。,Good night.,様子を見てみよう。,Let's see how she is.
週末はどんな予定？,What are your plans for the weekend?,じゃあ 、失礼しま す。,I’d better be going.,彼女はどんな様子だった？,How did she look?
どんな曲を弾くの？,What songs did you play?,館内では禁煙です。,Smoking is not allowed in the building.,彼はひどく疲れた様子だった。,He looked terribly tired.
どんな食事をしたの。,What did you eat?,彼は会議では禁煙しようと提案した。,He suggested that there be no smoking at the meeting.,私は彼女の様子にだまされた。,I was fooled by her appearance.
どんな本を買ったの？,What books did you buy?,あなたは喫煙をひかえるべきです。,You should abstain from smoking.,事態は険悪だ。,Things got ugly.
どんな靴が好きですか。,What kind of shoes do you like?,喫煙は健康に影響する。,Smoking can affect your health.,事態は急変した。,Things have changed rapidly.
どんな症状がありますか。,What symptoms do you have?,この電話は故障中だよ。,This phone is out of order.,事態はまだ改善可能だ。,Things could still be better.
木は燃えやすい。,Wood is flammable.,コンピューターが故障中で修理しなくてはいけない。,The computer is out of order and must be repaired.,彼は事態を知らなかった。,He didn't know what was going on.
紙は燃えやすい。,Paper is flammable.,部屋は皆予約済みです。,The rooms are all booked.,事態は非常に深刻である。,Things are very serious.
英語は学びやすい。,English is easy to learn.,この席は予約済みですか？,Is this seat already reserved?,事態はますます悪化した。,Things were getting worse.
ガラスは壊れやすい。,Glass is fragile.,このテーブルは予約済みです。,This table is reserved.,彼女は危急の事態に備えた。,She prepared for an emergency.
卵は夏には腐りやすい。,Eggs rot easily in summer.,そうなんだけど..,That’s true but... ,彼の嘘が事態を複雑にした。,His lies complicated the situation.
私は風邪を引きやすい。,I catch colds easily.,そうなんですけど..,That is the case but...,情勢は荒療治を必要とする。,The situation needs rough treatment.
この車は運転しやすいな。,This car is easy to drive.,日本人のふりをしました。,I pretended to be Japanese.,情勢は絶望だ。,The situation is hopeless.
旅先では迷子になりやすい。,It's easy to get lost on the road.,若いふりをしました。,I pretended to be young.,僕は最近の情勢に疎い。,I am not familiar with the recent situation.
彼女は不幸らしい。,She seems to be unhappy.,病気のふりをして、会社を休みました。,I pretended to be sick and took a day off from work.,政治情勢が変わった。,The political situation has changed.
彼女は幸せらしい。,She seems to be happy.,忙しいふりをしないで、手伝って下さい。,"Don't pretend to be busy, please help me.",情勢は新しい局面を呈した。,The situation has entered a new phase.
彼は学生らしい。,I heard he was a student.,友達はよく、寝たふりをしています。,My friend often acts like he’s sleeping.,情勢はますます悪くなった。,The situation has gotten worse.
彼はいい奴らしい。,He's a good guy.,最近 、落ち込んでいます。,Recently I have been feeling down.,情勢は日増しに悪化している。,The situation is getting worse by the day.
秘密が漏れたらしい。,He's got a secret.,新型車の売り出しは秋になる予定だ。,The new car is scheduled to go on sale in the fall.,今は事情が違っている。,The situation is different now.
彼は大変眠いらしい。,He's very sleepy.,売り出しになる。,It will be on sale.,彼は海外の事情に詳しい。,He is familiar with the situation abroad.
私は彼を知るようになった。,I've come to know him.,売り物に出す。,They put for sale,事情は後で説明する。,I'll explain the situation later.
彼は泳げるようになった。,He can swim.,売り物に出る。,Thry go for sale.,交通事情が気にいらない。,I don't like the traffic situation.
私は英語を話せるようになりたい。,I want to learn to speak English.,彼が我々の案内役を務めた。,He served as our guide.,今では事情が変わってきた。,Things are different now.
彼はとうとうそれを理解するようになった。,He has finally come to understand it.,清掃中の張り紙。,A sign during cleaning.,彼はこの辺の事情に明るい。,He is knowledgeable about the situation here.
雨に濡れないようにしなさい。,Try not to get wet in the rain.,避難階段の種類について。,Types of evacuation stairs.,彼女はすべての事情を利用する。,She takes advantage of all the circumstances.
痛くないようにしてください。,Try not to get sore.,特別避難階段との違いも詳しく解説。,Differences from special evacuation stairs are also explained in detail.,彼は日本の内部の事情をよく知っている。,He knows the inner workings of Japan very well.
犬か猫か鶏を飼うようにしなさい。,Try to keep a dog or a cat or a chicken.,特別避難階段の概要。,Outline/overview of the special evacuation stairs.,そういう休暇は私には事情が許さない。,Circumstances do not permit me to take such a vacation.
火が消えないようにしてください。,Try not to let the fire go out.,彼は私に事件の概要を説明した。,He gave me an overview of the case.,彼らは進んで英語を学ぶ気がある。,They are willing to learn English.
誰にも迷惑をかけないようにします。,Try not to bother anyone.,彼は待合室に座っています。,He is sitting in the waiting room.,進んでそれをやりました。,They willingly did it.
すごく疲れてるみたいだね。,You look really tired.,美術館 行きのバス停留所は、どこですか。,Where is the bus stop for the museum?,彼らは進んで私たちの手助けをしてくれる。,They are willing to help us.
本当に緊張してるみたいだね。,You look really nervous.,高圧的な手段をとる。,Take high-pressure measures.,彼はあなたをすすんでサポートします。,He is willing to help you.
かなり忙しかったみたいだね。,You've been pretty busy.,足元に気をつけて。,Mind your step.,彼の指示は明白だった。,His instructions were clear.
これ、お茶みたいな味がする。,This tastes like tea.,足もとにご用心。,Watch your step.,そっちの指示に従うよ。,I'll follow your instructions.
夢見てるみたいな気分だよ。,I feel like I'm dreaming.,頭上を見上げる。,Look up overhead.,指示に従わざるを得ない。,I have to follow the instructions.
これ、サーモンみたいな味がする。,This tastes like salmon.,飛行機が頭上を飛んでいる。,An airplane is flying overhead.,病院の指示に従ってください。,Please follow the hospital's instructions.
胃の調子が悪いみたいなんだよ。,I think my stomach is upset.,ペット禁止。,No pets allowed.,私の妻は医者です。,My wife is a doctor.
犬は病気みたい。,The dog looks sick.,頭上注意。,Head caution (low clearance),私の妻を紹介します。,Let me introduce you to my wife.
夢みたいだ。,It's like a dream.,高圧注意。,High voltage warning.,忘れないでこの手紙を投稿しなさい。,Don't forget to post this letter.
実際感じたままを話してよい。,You can tell it like you feel it.,猛犬注意。,Beware of dogs.,何を検索していますか。,What are you searching for?
天気はずっと悪いままだった。,The weather stayed bad for a long time.,タクシー乗り場。,Taxi stand.,泊まる所を検索しております。,I'm searching for a place to stay.
動物は本能のままに振る舞う。,Animals behave according to their instincts.,営業時間。,Opening hours.,検索サイトは普段何を使ってる？,What do you usually use as a search site?
待ってた方がいい?,Should we wait for them?,撮影禁止。,No Photography.,動物は本能に従って行動する。,Animals act according to their instincts.
急いだほうがいいよ。,We'd better hurry.,お会計。,Pay here.,彼は私の助言に従って行動した。,He acted according to my advice.
家にいる方がいいな。,I'd rather stay home.,応急手当。,First-aid (treatment),私たちは時間割に従って勉強する。,We study according to a timetable.
でも慣れた方がいい。,But you'd better get used to it.,営業中。,Open (open for business),手順を説明していただけますか。,Can you explain the procedure to me?
すぐに出た方が良い。,We'd better leave now.,準備中。,In preparation (close for business),安全手順を守らないとけがしますよ。,You'll get hurt if you don't follow safety procedures.
早く寝た方がいいよ。,You should get some sleep.,何とかしろ!,Do something!,君の要約は平均以下だね。,Your summary is below average.
言わない方がいいよ。,You don't want to tell me.,何とか入れた。,I managed to get in.,彼は３０以下のはずはない。,He can't be below 30.
風邪を治した方がいい。,You should get over your cold.,そこを何とか。,Do something there.,昨晩は零度以下に下がった。,It dropped below zero last night.
消した方がいいのかな？,Do you think I should turn it off?,何とかします。,I'll do something.,私は彼に計画を変更させた。,I forced him to change his plans.
少し休んだ方がいいよ。,You should get some rest.,何とかしてよー。,Do something!,我々の予定は変更できない。,We can't change our plans.
医者に相談した方がいいよ。,You'd better consult a doctor.,何とかしてください。,Do something.,次への変更をご提案します。,I suggest we change to the next one.
彼女の意見に従うほうがいい。,You should follow her advice.,私がなんとかしよう。,I'll take care of it.,返却日を変更する事ができますか。,Can you change the return date?
彼女に謝ったほうがいいですよ。,You'd better apologize to her.,自分で何とかしたよ。,I took care of it myself.,彼は価格変更のビラをはり出した。,He put up a price change flyer.
全てうまくいくはずだよ。,Everything should be fine.,何とかできると思うよ。,I'll figure it out.,その庭園は日本式に設定されている。,The garden is set up in the Japanese style.
これで痛みは和らぐはずだ。,This should help with the pain.,そのうち何とかなるさ。,You'll figure it out.,ご自由にリンクを設定して下さい。,Please feel free to set up a link.
まだ始めないで。,Don't start yet.,なんとか納得はしない。,I'm not convinced.,設定料金に労務費用は含みません。,The price does not include the cost of labor.
最初から始めよう。,Let's start from the beginning.,数学は何とか可を取った。,I managed to get a pass in math.,交渉の場を設定せねばならない。,We'll have to set up a negotiating table.
いつから付き合い始めたの？,When did you start dating?,何とかそこから脱出した。,I managed to get out of there.,初期設定のまま使ってるの？,Are you using the default settings?
列車は雪のために遅れた。,The train was delayed because of the snow.,重いけど、何とか運べます。,"It's heavy, but I can carry it.",明日は雨かしら。,Will it rain tomorrow?
台風のために休校になった。,The school was closed because of the typhoon.,彼は試験になんとか合格した。,He managed to pass the exam.,雪になるのかしら？,Will it snow?
食物は生きるために必要だ。,Food is necessary for survival.,何とか手配してあげましょう。,I'll arrange it somehow.,針金は電気を伝える。,The wire conveys electricity.
彼女は彼にそれをさせた。,She made him do it.,なんとか終電に間に合ったよ。,I managed to make it to the last train.,彼は新しい電灯を止めるのに針金を使った。,He used the wire to shut off the new lights.
母は私に風呂場の掃除をさせた。,My mother made me clean the bathroom.,急いで何とかバスに乗れました。,I hurried and managed to catch the bus.,この蓋、きつすぎて開けれないんだけど。,"I can't open this lid, it's too tight."
無理やり彼女に宿題をさせた。,She forced me to do my homework.,なんとか時間どおりに駅に着いた。,I managed to arrive at the station on time.,このふたは固くて取れないよ。,This lid is too tight to get off.
次の試合を私にさせて下さい。,Please let me have the next game.,傷から流れる血をなんとかしなさい。,Do something about the blood flowing from the wound.,私は彼の名前の読み方がわからない。,I don't know how to read his name.
彼にそれをさせられなかった。,I couldn't let him do it.,なんて綺麗な夕日。,What a beautiful sunset.,食器を洗おう。,Let's wash the dishes.
子供を好きかってにさせておくな。,Don't let a child do as he pleases.,なんて強い風なの！,What a strong wind!,食器を台所に運んでね。,Take the dishes to the kitchen.
私にそれをもう一度させてください。,Let me do it again.,これなんていうの？,What do you call this?,彼は大通りに店を構えている。,He has a store on the main street.
どうか埋め合わせをさせてください。,Please let me make it up to you.,なんて賢い犬なんだ！,What a clever dog!,彼はジャマイカに新居を構えた。,He has a new house in Jamaica.
驚いたふりをしないで。,Don't pretend to be surprised.,食欲なんてありません。,I have no appetite.,茶摘みの季節になった。,It's tea picking season.
彼は医者のふりをした。,He pretended to be a doctor.,海外旅行なんて無理よ。,I can't travel abroad.,イチゴの季節です。,It is strawberry season.
彼は寝たふりをした。,He pretended to be asleep.,なんて面白い本なんだ！,What a funny book!,春は楽しい季節だ。,Spring is the season of fun.
聞こえないふりをした。,He pretended not to hear.,犬なんかちっとも恐くない。,I'm not afraid of dogs at all.,寒い季節がやってくるよ。,The cold season is coming.
彼女は学生のふりをした。,She pretended to be a student.,この玩具は女の子むけだ。,This toy is for girls.,お前正気か？,Are you insane?
解っていないふりをするのは止めなさい。,Stop pretending you don't know what you're doing.,その小説は子供むけでない。,The novel is not for children.,お前が悪いよ。,It's your fault.
１０日ぶりに雨が降った。,It rained for the first time in ten days.,この本は普通の読者向けだ。,This book is for ordinary readers.,おまえの勝ちだ。,You win.
彼の話ぶりに腹が立った。,I was angry at the way he talked.,これは子供向けの物語の本だ。,This is a book of stories for children.,お前は狂っている。,You're insane.
彼の進歩ぶりに満足しています。,I am pleased with his progress.,初心者向けのコースはありますか。,Do you have a beginner's course?,きちんと座りなさい。,Sit up properly.
彼の上達ぶりに満足しています。,I'm pleased with the way he's progressing.,その映画は子供向きだ。,The movie is for children.,すべてきちんと整っている。,Everything is in order.
もちろん、一緒に行くよ。,Of course I'll go with you.,これは若者向きの車です。,This is a car for young people.,彼は部屋をきちんと整理した。,He's tidied up the room.
