Kanji,Reading,Script,Meaning
君,きみ　クン,君のペンを貸してくれ,Lend me your pen.
君,きみ　クン,田中君,Mr. Tanaka.
君,きみ　クン,諸君,Gentlemen.
君,きみ　クン,君主国,Monarchies
君,きみ　クン,名君,Your Excellency
彼,かれ　かの　ヒ,彼の本,His books
彼,かれ　かの　ヒ,彼ら,They
彼,かれ　かの　ヒ,彼女,Her
彼,かれ　かの　ヒ,お彼岸にお墓参りに行く,Going to visit a grave on the far side of the river
身,み　シン,身の回り,Around Us
身,み　シン,身近な,familiar
身,み　シン,身代わり,substitute
身,み　シン,中身,inside
身,み　シン,身体,body
身,み　シン,身長,Height
身,み　シン,自分自身,Myself
頭,あたま　かしら　トウ　ズ,頭がいい,Smart
頭,あたま　かしら　トウ　ズ,頭文字,First letter
頭,あたま　かしら　トウ　ズ,先頭,first
頭,あたま　かしら　トウ　ズ,一頭,one head
頭,あたま　かしら　トウ　ズ,頭痛,headache
頭,あたま　かしら　トウ　ズ,頭上注意,attention on head
額,ひたい　ガク,額の汗,Sweat on forehead
額,ひたい　ガク,絵を額に入れる,Picture in a frame
額,ひたい　ガク,金額,Amount of money
額,ひたい　ガク,差額,Balance
額,ひたい　ガク,残額,Remaining amount
額,ひたい　ガク,多額,Large amount
額,ひたい　ガク,総額,Total amount
始,はじ。める・まる　シ,練習を始める,Start practicing
始,はじ。める・まる　シ,新学期が始まる,Start a new semester
始,はじ。める・まる　シ,試合を開始する,Start a game
始,はじ。める・まる　シ,年末年始,Year-end and New Year
始,はじ。める・まる　シ,原始,Beginning
始,はじ。める・まる　シ,始終,Beginning and end
始,はじ。める・まる　シ,始発,Beginning
始,はじ。める・まる　シ,終始,Beginning and End
始,はじ。める・まる　シ,始末する,Starting
始,はじ。める・まる　シ,後始末,Post-processing
始,はじ。める・まる　シ,手始め,Beginning
始,はじ。める・まる　シ,不始末,Mismanagement
始,はじ。める・まる　シ,始動する,Starting
終,お。わる・える　シュウ,夏休みが終わる,End of summer vacation
終,お。わる・える　シュウ,一生を終える,End of a lifetime
終,お。わる・える　シュウ,会議が終了する,End of meeting
終,お。わる・える　シュウ,終電,Last train
終,お。わる・える　シュウ,終点,Last stop
終,お。わる・える　シュウ,最終,Last train
終,お。わる・える　シュウ,終日,End of day
終,お。わる・える　シュウ,終結する,End of the day
終,お。わる・える　シュウ,終値,End value
終,お。わる・える　シュウ,終盤,Endgame
終,お。わる・える　シュウ,終局,Endgame
終,お。わる・える　シュウ,終戦,end of war
続,つづ。く・ける　ゾク,雨が降り続く,It keeps raining
続,つづ。く・ける　ゾク,散歩を毎日続ける,Continue to take a walk every day
続,つづ。く・ける　ゾク,遺産を相続する,Inheritance
続,つづ。く・ける　ゾク,続々と集まる,Gathering one after another
続,つづ。く・ける　ゾク,調査を継続する,Continue research
続,つづ。く・ける　ゾク,接続する,Connect
続,つづ。く・ける　ゾク,連続する,Continuously
続,つづ。く・ける　ゾク,手続き,Procedure
続,つづ。く・ける　ゾク,存続する,Continue
続,つづ。く・ける　ゾク,後続する,Subsequent
絶,た。える・やす・つ　ゼツ,笑顔を絶やさない,keep smiling
絶,た。える・やす・つ　ゼツ,消息を絶つ,to cease to exist
絶,た。える・やす・つ　ゼツ,絶対に間違いない,Absolutely certain
絶,た。える・やす・つ　ゼツ,絶滅寸前の動物,An animal on the verge of extinction
絶,た。える・やす・つ　ゼツ,絶滅する,to become extinct
絶,た。える・やす・つ　ゼツ,絶えず,Constantly
絶,た。える・やす・つ　ゼツ,絶望する,Despair
絶,た。える・やす・つ　ゼツ,拒絶する,Reject
絶,た。える・やす・つ　ゼツ,途絶える,cease to exist
絶,た。える・やす・つ　ゼツ,断絶する,Discontinue
絶,た。える・やす・つ　ゼツ,拒絶反応,Rejection
絶,た。える・やす・つ　ゼツ,絶頂,Climax
絶,た。える・やす・つ　ゼツ,絶好,climax
絶,た。える・やす・つ　ゼツ,中絶する,Abort
絶,た。える・やす・つ　ゼツ,絶大,Extinction
絶,た。える・やす・つ　ゼツ,根絶する,Eradicate
絶,た。える・やす・つ　ゼツ,気絶する,Faint
絶,た。える・やす・つ　ゼツ,絶交する,Abort
絶,た。える・やす・つ　ゼツ,絶え間なく,ceaseless
絶,た。える・やす・つ　ゼツ,絶好調,ceaseless
刊,かん,朝刊,morning edition
刊,かん,本が刊行させる,have a book published
刊,かん,夕刊,evening edition
刊,かん,日刊紙,Daily newspaper
刊,かん,週刊誌,Weekly magazine
刊,かん,創刊号,First issue
著,あらわ。す　いちじる。しい　チョ,本を著す,Write a book
著,あらわ。す　いちじる。しい　チョ,著しい進歩,significant progress
著,あらわ。す　いちじる。しい　チョ,著書,Book
著,あらわ。す　いちじる。しい　チョ,著者,Authors
著,あらわ。す　いちじる。しい　チョ,古典文学の名著,Famous works of classical literature
著,あらわ。す　いちじる。しい　チョ,著名な作品,Notable works
著,あらわ。す　いちじる。しい　チョ,著作権を有する,Copyrighted
勉,べん,日本語の勉強をする,Study Japanese
勉,べん,勉学に励む,Studying hard
勉,べん,勤勉な青年,An industrious young man
勉,べん,猛勉強をする,Study hard
勉,べん,勉強不足,Insufficient study
勉,べん,勉強不足,Lack of study
