Sentences,Translation,Remarks
楽しい話が聞けて嬉しい,I am glad that I got to hear pleasant news.,"276- 楽しい/tanoshii [i-adj] pleasant, happy, enjoyable"
子供にとって、母親の愛 情が大切だ。,A mother's love is important for children.,277- にとって/ni totte [cp] for
声の大きい人がいる。,There is someone with a loud voice.,278- 声/koe [n] voice
普通の人生も悪くない。,Having an ordinary life isn't too bad.,"279- 普通/futsuu [na-adj] ordinary, normal"
十から三を引くと、七が残る。,Ten minus three leaves seven.,"280- 残る/nokoru [v] remain, be left"
今日の最後の電車に乗り遅れたら大変だ。,I will be in trouble if I miss the last train of the day.,"281- 最後/saigo [n] last, end"
地方では買い物に行くのに車がいる。,You need a car to go grocery shopping in the countryside.,"282- 車/kuruma [n] car, wheel"
初めて学校に行く日は緊 張した。,I was nervous on my first day at school.,"283- 初めて/hajimete [adv] first, for the first time"
今度は歌舞伎を観に行きましょう。,Let's go see a Kabuki show next time.,284- 今度/kondo [n] next time
シャワーで体を洗いなさい。,Wash your body in the shower.,285- 体/karada [n] body
私達は新しい所へ引っ越します。,We are moving to a new place.,286- 私達/watashi-tachi [pron] we
今年のチームは強い。,Our team is strong this year.,"287- 強い/tsuyoi [i-adj] strong, powerful"
その問 題には全く気付かなかった。,I was completely unaware of the problem.,"288- 全く/mattaku [adv] entirely, completely, absolutely"
お母さんの呼ぶ声が聞こえる。,I hear my mother calling out for me.,289- 呼ぶ/yobu [v] call
結局、元の場所に戻ってしまった。,"After all, I found myself back at the start.","290- 結局/kekkyoku [adv] after all, finally"
道を歩く時は車に気をつけてください。,Beware of cars when you walk on the sidewalk.,291- 歩く/aruku [v] walk
男の人のトイレはあちらです。,The men's bathroom is over there.,"292- 男/otoko [n] man, male"
女性向けのシャンプーはいい香りがする。,Women's shampoo has a good fragrance.,"293- 女性/josei [n] female, woman"
外国で生きるのは大 変だ。,It's hard to live in a foreign country.,295- 生きる/ikiru [v] live
バイオリンを弾くのがなかなか上 手にならない。,I can't quite make any improvement at playing the violin.,"296- なかなか/nakanaka [adv] fairly, quite"
漢字よりも先にひらがなを学びましょう。,Learn hiragana prior to kanji.,"297- 先/saki [n] prior, end"
もっと大きな声で返事をするように。,Please answer louder.,298- もっと/motto [adv] more
彼はバイオリンを弾くことが出来る。,He can play the violin.,"299- ことが出来る/koto ga dekiru [cp] can do, be able to"
この映画のテーマは人 権 問 題だ。,The theme of this film is human rights issues.,300- テーマ/teema [n] theme
世界にはいろいろな食べ物がある。,There are various foods in the world.,"301- 世界/sekai [n] the world, society"
今の国際関係は戦前の状態に似ている。,The world looks like it’s in a pre-war state now.,"302- 状態/jootai [n] state, condition"
もし地震が来たら、急いで逃げるように。,"If an earthquake strikes, evacuate immediately.","303- もし/moshi [adv] if, in case"
全然 痩せないのはなぜだろう。,Why can't you lose weight at all?,"304- 全然/zenzen [adv] not at all, entirely"
運動の前に水を飲む。,Drink water before a workout.,"305- 飲む/nomu [v] drink, swallow"
新しい先生に会うのが楽しみだ。,I'm looking forward to meeting my new teacher.,"306- 新しい/atarashii [i-adj] new, fresh"
明日の朝ははやいので今夜はもう寝よう。,"Let's go to bed, as we have an early start tomorrow morning.","307- はやい/hayai [i-adj] fast, quick, early"
姪っ子が会うたびに大きくなっている。,"Every time I see my niece, she is getting bigger and bigger.","308- 会う/au [v] meet, encounter, see"
アメリカの西 海 岸のビーチが好きだ。,I like beaches on the West Coast in the U.S.,"309- アメリカ/amerika [n] America, USA, the U.S"
あれは何だろう?。,What is that?,"310- あれ/are [n] that, something"
小さい貝 殻を浜辺でみつけた,I found small seashells on the beach.,"311- 小さい/chiisai [i-adj] small, tiny"
ネットゲームの相手を募集する。,I am looking for an online game partner.,"312- 相手/aite [n] companion, partner, other party, opponent"
母は九州で育ちました。,My mother grew up in Kyushu.,313- 母/haha [n] one’s mother
この乗り物は五歳以上向けです。,This ride is for children aged 5 years and older.,"314- 以上/ijoo [n] not less than, beyond"
職場でよくある問 題は人間関係だ。,One of the most common issues at work is personal relationships.,"315- 関係/kankei [n] relation, relationship"
ねこを四匹飼っています。,I have four cats.,316- 四/yon [num] four
この計算でたぶん合っていると思います。,I think this calculation is probably correct.,"317- たぶん/tabun [adv] perhaps, probably"
食料品のお店に行きたい。,I want to go to a grocery store.,"318- 店/mise [n] store, resaurant"
どんな絵が好きですか。,What kind of art do you like?,319- どんな/ donna [adn] what kind of
自転車に乗る時は、ヘルメットをかぶって頭を守る。,Put on a helmet to protect your head when you ride your bicycle.,320- 頭/atama [n] head
もうすぐ電話がかかってくる時間だ。,I am expecting a call soon.,"321- 電話/denwa [n] (telephone) call, telephone (devise)"
長い夏休みの後は朝起きるのが大変だ。,It's hard to wake up in the morning after a long summer break.,"322- 長い/nagai [i-adj] long (distance, time, length)"
電車の時間が変わることになる。,The train schedule is going to change.,323- ことになる/koto-ni-naru [cp] it is going to be that
本は想像力を養うのによい。,Reading books nurtures the imagination.,324- 本/hon [n] book
どの電 車に乗ればいいのかな。,Which train should I take?,"325- どの/dono [adn] which, what"
こちらに来て下さい。,Please come here.,326- こちら/kochira [n] here
いわゆるアイドルには興 味がない。,I am not interested in so-called idols.,327- いわゆる/iwayuru [adv] the so-called
とても嬉しいわ。,I am so happy.,328- わ/wa [p] at sentence end; female term
夜は電気代が安くなる。,Electricity is cheaper at night.,"329- 夜/yoru [n] evening, night"
リサイクルゴミは別の日に出す。,We put out recyclable trash on a different day.,"330- 別/betsu [na-adj] distinction, different"
係の者が対 応いたします。,The person in charge will take care of you.,"331- 者/mono [n] person, people"
その本のタイトルは何。,What is the title of that book?,332- タイトル/taitoru [n] title
親は介護が必 要になってきたようだ。,My parents seem to be needing more care.,"333- 親/oya [n] parent, parents"
ここに名前を書いてください。,Please write down your name here.,"334- 名前/namae [n] name, full name, given name"
ごみは全部捨てなさい。,Throw away all the garbage.,"335- 全部/zenbu [adv] all, entire"
皆さんのおかげでこのイベントは大 成功になりました。,"Thanks to everyone, this event was a huge success.","336- 皆さん/minasan [n] everyone, all"
新しい税率により、徴収されています。,Tax is being collected according to the new tax rate.,"337- により/ni-yori [cp] according to, due to"
きれいな色の服を着ると明るい気持ちになる,Wearing pretty colored clothes puts me in a happy mood.,"338- きれい/kiree [na-adj] pretty, beautiful, clean"
乾 杯のときは立つ,Stand up when making a toast.,339- 立つ/tatsu [v] stand up
ダイエットするには、毎日の運 動が欠かせない。,Daily exercise is essential for dieting.,"340- 毎日/mainichi [n] every day, daily"
子供の夏休みの宿題の為に朝顔を育てる。,We are growing morning glories for my children’s summer homework.,"341- 為に/tameni [conj] for, to one's advantage"
この地域にはおいしい食べ物が多いね。,This region has a lot of delicious food.,"342- おいしい/oishii [i-adj] delicious, sweet"
コーヒーまたは紅茶はがいかがですか。,Would you care for coffee or tea?,"343- または/matawa [conj] or, otherwise"
家族旅行に行く。,We are going on a family trip.,344- 家族/kazoku [n] family
人に対する敬意を忘れてはならない。,Never forget respect towards others.,"345- に対する/ni-taisuru [cp] with regard to, towards"
おいしい部分を先に食べる。,I eat the yummy part first.,"346- 部分/bubun [n] portion, section"
一度試してみるべきだ。,You should try it once.,"347- 一度/ichido [n] once, on one occasion"
病院に電話して検査の結果を聞く。,Call the hospital to get the test results.,"348- 結果/kekka [n] result, consequence"
じゃ、その時に会おうね。,See you then!,"349- じゃ/ja [conj] then, so"
今の状況では、いい結果は期待できません,"Under the current circumstances, we can’t expect a good outcome.","350- 状況/jookyoo [n] state of affairs, circumstance"
このケーキにはグルテンが含まれている。,This cake contains gluten.,"500- 含む/fukumu [v] contain, include"
この地域では伝 統 的な祭りがある。,There is a traditional festival in this region.,"501- 地域/chiiki [n] area, region"
我が家では犬を飼っています,I have a dog in my house.,"502- 我が/waga [pron] my, our, one's own"
どうしても仕上げないといけないことがある。,"I have something I need to complete, no matter what.","503- どうしても/dooshitemo [adv] by all means, no matter what"
気を付けたのに、また間違えた。,"I made a mistake again, although I was being very careful.","504- のに/noni [p] although, in spite of"
娘 に着物を買う。,I am buying a kimono for my daughter.,"505- 娘/musume [n] my/our daughter, unmarried girl"
新しい車を見せる。,I will show you my new car.,"506- 見せる/miseru [v] show, display"
一 日ですべてのテストを受けなければならない。,You must take all the tests in one day.,507- 一日/ichinichi [n] one day
今年は日本語を勉 強します。,I will study Japanese this year.,508- 今年/kotoshi [n] this year
平 成の時代は経 済が停 滞した。,The economy stagnated during the Heisei era.,509- 平成/heesee [n] Heisei era
参考資料の図をご覧ください。,Please see the diagram in the reference material.,"510- 図/zu [n] drawing, diagram, figure"
友達に彼を紹介してもらった。,My friend introduced me to him.,"511- 紹介/shookai [n] introduction, referral"
靴下の右と左を合わせる。,Match the right and left socks.,"512- 合わせる/awaseru [v] match, join together"
安いチケットが手にはいった。,I got a cheap ticket.,"513- 安い/yasui [i-adj] cheap, inexpensive"
私には大きな夢があります。,I have a big dream.,514- 夢/yume [n] dream
二日酔いで、つらい。,I am having a hard time with a hangover.,"515- つらい/tsurai [i-adj] (emotionally) hard, heart-breaking"
規定によって、赤ちゃんはジェットコースターに乗れない。,"According to the rules, infants are not allowed on the roller coasters.","516- 規定/kitee [n] regulation, provision, rule"
どちらの道が正しいかわからない。,I’m not sure which is the right way.,"517- どちら/dochira [pron] which direction, where, which one"
世界の中心はどこだろうか。,I wonder where the center of the world is.,"518- 中心/chuushin [n] center, core"
次から次へと問題が起こる。,Problems occur one after another.,"519- 起こる/okoru [v] occur, happen"
我 々の先祖はどこから来たのだろう。,Where did our ancestors come from?,"520- 我々/wareware [pron] we, our, us"
私はまだここにおります。,I am still here.,"672- おる/oru [v] be, exist (humble)"
週末はボランティア活動をする。,I participate in volunteer activities on weekends.,"673- 活動/katsudoo [n] action, activity"
余震に不安があります。,I have anxiety about the aftershocks.,"674- 不安/fuan [n] anxiety, insecurity"
三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,675- 三十分/sanjuppun [n] 30 minutes
クラスの人 数には限りがあります。,There is a limit to the class size.,"676- 限り/kagiri [n] limit, extent"
先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,"677- いらっしゃる/irassharu [v] go, be (honorific)"
その仕事は、私が致します。,I would like to do that task.,667- 致す/itasu [v] to do (humble)
十一時までに着く予定だ。,I expect to arrive by eleven o’clock.,"668- 着く/tsuku [v] arrive, sit on (seat)"
私の学 校は規則が厳しい 。,My school has strict rules.,"669- 厳しい/kibishii [i-adj] severe, strict"
女の子の服を買うのは楽しい。,It’s fun to shop for girls’ clothes.,670- 女の子/onnanoko [n] girl
デスクトップのパソコンを買か った。,I bought a desktop computer.,671- パソコン/pasokon [n] personal computer
私 はまだここにおります。,I am still here.,"672- おる/oru [v] be, exist (humble)"
週末はボランティア活動をする。,I participate in volunteer activities on weekends.,"673- 活動/katsudoo [n] action, activity"
余震に不安があります。,I have anxiety about the aftershocks.,"674- 不安/fuan [n] anxiety, insecurity"
三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,675- 三十分/sanjuppun [n] 30 minutes
クラスの人数には限りがあります。,There is a limit to the class size.,"676- 限り/kagiri [n] limit, extent"
先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,"677- いらっしゃる/irassharu [v] go, be (honorific)"
この計画は可能ですか。,Is this plan feasible?,"678- 可能/kanoo [n] potential, feasible"
私 の子犬は可愛いです。,My puppy is adorable.,"679- 可愛い/kawaii [i-adj] cute, adorable"
部屋に入る際は靴を脱いでください。,Please remove your shoes when you enter the room.,"680- 際/sai [n] when, in case of, on the occasion of,"
まだ道の途中です。,I am still on my way.,"681- 途中/tochuu [n] on the way, en route"
遺伝子の研究が進歩する。,Progress has been made in genetic research.,"682- 研究/kenkyuu [n] study, research"
様子を見にいこう。,Let’s go check the situation.,"683- 様子/yoosu [n] state of affairs, situation"
今年はものすごい台風が来ました。,We had terrible typhoons this year.,684- ものすごい/monosugoi [i-adj] terrible
そのサンダルはドレスによく合あ う。,The sandals suit the dress well.,"685- 合う/au [v]fit, suit"
歯の治 療が一 回で済む。,My dental treatment will be completed in just one visit.,"686- 済む/sumu [v] finish, completed"
この細い道を通る時は気をつけて。,Be careful when you pass through this lane.,"687- 通る/ tooru [v] go by, pass through"
大人2枚、子供1枚のチケットを買う。,Purchase tickets for two adults and one child.,688- 大人/otona [n] adult
彼は昇進への高い期待を持っている。,He has high expectations for a promotion.,"689- 期待/kitai [n] expectation, anticipation"
事実はそのうち明らかになる。,The truth will come to light soon.,"690- 事実/jijitsu [n] fact, truth, reality"
天気のせいで、延期になった。,It was postponed because of the weather.,"691- せい/see [n] resulting from, because of"
一年で日本語が上手になった。,My Japanese has improved a lot in one year.,692- 一年/ichinen [n] one year
それは一体何。,What on earth is that?,693- 一体/ittai [adv] What on earth...? What the heck...?
日本には小さな島が多くあります。,There are many small islands in Japan.,694- 島/shima [n] island
想 像で絵を描く。,I draw using my imagination.,"695- 描く/egaku [v] draw, paint, sketch"
物音に驚く。,I am surprised by the noise.,"696- 驚く/odoroku [v] be surprised, be astonished"
動 物 園で動 物を見るのが好きです。,I like watching animals at the zoo.,697- 動物/doobutsu [n] animal
週に何度買い物をしますか。,How many times a week do you go shopping? ,698- 何度/nando [n] how many times?
私は元々料理が好きじゃない。,"By nature, cooking is not my thing.","699- 元々/motomoto [adv] originally, by nature"
素晴らしいミュージカルだった。,The musical was wonderful.,"700- 素晴らしい/subarashii [i-adj] wonderful, splendid"
ヨガの座るポーズは瞑 想にいい。,Yoga’s sitting pose is good for meditation.,701- 座る/suwaru [v] sit
町 内 会の決まりを定める,We decide on the rules for the neighborhood association.,"702- 定める/sadameru [v] decide, furnish"
これは町に貢 献する素晴らしい機会だ。,This is a good opportunity to make a contribution to the town.,"703- 機会/kikai [n] chance, opportunity"
孫が生まれるのが楽しみだ。,I am looking forward to having a grandchild.,"704- 楽しみ/tanoshimi [n] enjoyment, hobby, look forward to"
君と僕の考えは違う,We have different ideas.,"705- 考え/kangae [n] thought, opinion, idea"
君の話を信じる。,I believe your story.,"706- 信じる/shinjiru [v] believe, trust"
たまたま抽 選に当たった。,I won the lottery by chance.,"707- たまたま/tamatama [adv] by chance, accidentally"
そのネットワークシステムは古いです。,The network system is obsolete.,"708- 古い/furui [i-adj] old, obsolete"
夏 祭りでお面を買った。,I bought a mask at a summer festival.,"709- 面/men [n] face, mask"
その子猫は可愛さが違う。,The cuteness of this kitten is unique.,710- さ/sa [p] ness (suffix indicating degree)
三 月にはひな祭りがある。,The Hinamatsuri festival is in March.,711- 三月/sangatsu [n] March
ただし、暗くなる前に帰ること。,Provided that you return before dusk.,"712- ただし/tadashi [conj] however, provided that"
常に子供の健 康に気をつける。,Always take care of your child’s health.,"713- 常/tsune [adv] always, usually"
そんなつもりではなかった。,That was not my intention.,714- つもり/tsumori [n] intention
違う考え方を知るのはいいことだ。,It’s good to be aware of different ways of thinking.,715- 考え方/kangaekata [n] way of thinking
テレビで地震のニュースを見た。,I watched the news about the earthquake on TV.,716- ニュース/nyuusu [n] news
安全への意識を高める,Promote safety awareness.,"717- 意識/ishiki [n] consciousness, awareness"
発 明の元は失敗にあった。,The origin of the invention was in a failure.,"718- 元/moto [n] origin, source"
大人と子供の行 動は違う。,The behaviors of adults and children are different.,"719- 行動/koodoo [n] action, behavior"
今日は気温が低い。,The temperature is low today.,"720- 低い/hikui [i-adj] low (quality, degree, position)"
知らせにびっくりした。,I was surprised by the news.,"721- びっくり/bikkuri [adv] be surprised, be frightened"
パンケーキの作り方が箱に書いてある。,A pancake recipe is on the box.,"722- 作り方/tsukurikata [n] way of making, recipe"
あなたが元気でありますように。,I wish you well.,"723- 元気/genki [na-adj] lively, energetic, well"
雲の合間に虹が現れる。,A rainbow appears between the clouds.,724- 現れる/arawareru [v] appear
鳥の鳴き声が聞こえる。,I can hear birds sing.,"725- 聞こえる/kikoeru [v] be heard, be audible, can hear"
ジャズの曲が流れているカフェが好きだ。,I like cafes with Jazz music.,"726- 曲/kyoku [n] song, music"
過去について 話 をするのはやめよう。,Let’s not talk about the past.,727- 過去/kako [n] the past
やっとにきびがきれいになった。,My acne has finally cleared up.,"728- やっと/yatto [adv] at last, just, barely, finally"
それは夢のように思える。,It seems like a dream.,"729- 思える/omoeru [v] seem, appear likely"
これは明らかな間違いだ。,This is an obvious mistake.,"730- 明らか/akiraka [na-adj] obvious, evident"
前の単元の復習をしつつ、新しい単元も学習しよう。,Let’s learn the new chapter while reviewing the last chapter.,731- つつ/tsutsu [p] while
この土地は 昔 は田んぼだった。,This lot used to be a rice field.,"732- 土地/tochi [n] lot, soil, locality"
たまには過去を振り返るのもよい。,"Sometimes, it’s good to look back on the past.","733- 振り返る/furikaeru [v] look back, turn around"
初めての時は誰でも不安だ。,Everyone is anxious when it is the first time.,"734- 初め/hajime [n] beginning, first"
厳しい評 価を受けた。,I received a hard assessment.,"735- 評価/hyooka [n] evaluation, assessment"
息子がもうすぐ二十歳になります。,My son is turning twenty years old soon.,736- 息子/musuko [n] son
このゴルフコースの使用は会 員に限る。,Use of this golf course is limited to members.,"737- 限る/kagiru [v] limit, be restricted"
子供は親に似るものだ。,Children resemble their parents.,"738- 似る/niru [v] resemble, be similar"
愛 犬が死んでしまって悲しい。,I am saddened by the death of my pet dog.,"739- 悲しい/kanashii [i-adj] sad, sorrowful"
昨日の夜からの雨で水たまりができている。,The rain from last night has made puddles.,740- 雨/ame [n] rain
キャンプでは食べ物を自分達で作ろう。,Let’s make the food at camp ourselves.,741- 自分達/jibuntachi [n] ourselves
詳しい情報はネットで調べよう,Search for detailed information on the Internet.,"742- 詳しい/kuwashii [n] detailed, knowing very well"
二十一世紀にはテクノロジーが進むだろう。,Technologies will advance in the 21st century.,743- 二十一世紀/nijuuisseeki [n] 21st century
今日は頭痛がひどい。,I have a severe headache today.,"744- ひどい/hidoi [i-adj] cruel, severe, extreme"
昨日は飲みすぎた。,I had too much drink yesterday.,745- 昨日/kinoo [n] yesterday
急な階段を下りる。,Go down the steep stairs.,"746- 下りる/oriru [v] descend, go down, get off"
一 日に百件以 上のメールが届く。,I get more than one hundred emails a day.,747- メール/meeru [n] email
孫がおもちゃに喜ぶ 。,My grandchild is delighted with the toys.,748- 喜ぶ/yorokobu [v] be delighted
駅にコンビニがあるのは便利だ。,It is convenient having a convenience store in the station.,"749- 便利/benri [na-adj] convenient, handy"
門のところでお客 様を迎える。,I welcome my guest at the gate.,"750- 迎える/mukaeru [v] go out to meet, welcome, approach"
不思議な偶然が続く。,Mysterious  coincidences continued to happen.,"797- 不思議/fushigi  [na-adj]  wonderful, mysterious"
おちゃ茶はあつ熱いうちがおいしい。,Tea  is at its best when it’s still hot.,798- 茶/cha  [n]  tea
わからないことは直接聞いた方がいい。,If you don’t know you should ask  directly.,"799- 直接/chokusetsu  [na-adj]  direct, firsthand"
駅までバスに乗る。,I take the  bus  to the station.,800- バス/basu  [n]  bus
薬の効果が現れるまで二週間かかる。,It will take two weeks for the medicine to have an  effect.,801- 効果/kooka  [n]  effect
現実は理想とは違う。,Reality  can be different from expectation.,802- 現実/genjitsu  [n]  reality
赤ちゃんの肌に触れる。,Touch  the baby’s skin.,"803- 触れる/fureru  [v]  touch, experience"
番犬を飼う。,I  own  a guard dog.,"804- 飼う/kau  [v]  raise, own (animal)"
クラシック音楽のコンサートではしゃべることは禁じられている。,You are not allowed to  talk  during classical music concerts.,"805- しゃべる/shaberu  [v]  talk, chat"
外務省は国民を保護しています。,The Ministry of Foreign Affairs aims to protect  Japanese  citizens.,806- 国民/kokumin  [n]  citizen
朝日が窓からさす。,The morning sun  shines  off the window.,"807- さす/sasu  [v]  shine, pour, put"
会社のやり方には納得いかない。,I don’t get the  way  this company works.,"808- やり方/yarikata  [n]  method, way"
ずいぶん大きなくまのぬいぐるみだね。,What a  surprisingly  big stuffed bear.,"809- ずいぶん/zuibun  [adv]  considerably, surprisingly"
日本語にもいろいろな方言がある。,There are many dialects in  Japanese.,810- 日本語/Nihongo  [n]  Japanese (language)
十月にはハロウィーンがある。,We have Halloween in  October.,811- 十月/juugatsu  [n]  October
気分転換に散歩にいこう。,Let’s take a walk for a change of  mood.,"812- 気分/kibun  [n]  feeling, mood"
寒いので息が白く見えます。,I can see my breath when it’s cold.,1300- 息/iki [n] breath
間違った情報が伝わる。,Incorrect information will be relayed.,"1301- 伝わる/tsutawaru [v] spread, descend, relay, communicate"
映画の撮 影が行われた。,A movie was being filmed.,"1302- 撮影/satsuei [n] shooting, filming, photographing"
カウンセラーの指導を受ける。,I am getting guidance from a counselor.,"1303- 指導/shidoo [n] guidance, coaching, leadership"
仕事に自分のスキルを生かす。,Make good use of your skills at work.,"1304- 生かす/ikasu [v] keep alive, make use of"
韓 国の焼 肉はおいしい。,Korean yakiniku is delicious.,1305- 韓国/kankoku [n] South Korea
字はきれいに書きなさい。,Write your characters neatly.,"1306- 字/ji [n] character, handwriting"
指定の席につく。,Take your designated seat.,"1307- 指定(する)/shitei-suru [v] designate, appoint"
彼は会 社の経営陣です。,He is a management team member of the company.,"1308- 経営/kee’ee [n] management, operation"
あらゆる可能な解 決 方 法を検 討してください。,Consider every possible solution.,1309- あらゆる/arayuru [and] every
値段と価値は同じではない。,Price and value are not the same.,"1310- 価値/kachi [n] value, worth"
東 京 都は日本の首都です,Tokyo is the capital of Japan.,1400- 東京都/Tookyoo-to [n] Tokyo
コンクールでバイオリンを弾く。,I will play the violin at the competition.,1401- 弾く/hiku [v] play (musical instrument)
今夜は自宅に帰りません。,I am not returning home tonight.,"1402- 自宅/jitaku [n] one's home, house"
お父さんはビール腹です。,My father has a beer belly.,"1403- 腹/hara [n] belly, stomach"
喜 びでいっぱいです。,I am filled with pleasure.,"1404- 喜び/yorokobi [n] pleasure, delight"
彼の遅刻する癖はしょうがない。,He can’t help his habit of being late.,"1405- しょうがない/shoo-ga-nai [cp] can’t be helped, inevitable, unavoidable"
それはしようがない問題だ。,It is an unavoidable problem.,"1406- しようがない/shiyoo-ga-nai [cp] can’t be helped, inevitable, unavoidable"
朝のお風呂が好きです,I like taking a bath in the morning.,1407- 風呂/furo [n] bath
森の香りの風呂が好きです。,I like the forest-scented bath.,"1408- 香り/kaori [n] smell, scent"
スキーのゴーグルを買った。,I bought a pair of ski googles.,1409- スキー/sukii [n] ski
小さな子供達を構う。,Care about the small children.,"1410- 構う/kamau [v] mind, care about"
米国から牛肉を輸入する。,Import beef from the United States.,1500- 米国/beekoku [n] United States
周 囲の人の意見を聞く。,Listen to the opinion of the people around you.,"1501- 周囲/shuui [n] surroundings, around (you)"
詳しい話を伺う。,I asked for more information.,"1502- 伺う/ukagau [v] ask, inquire (humble)"
仕事のために引っ越す。,We are moving for work.,1503- 引っ越す/hikkosu [n] move (residence)
バブル後の二十年は経済的に失われた 。,Economic growth stagnated for twenty years after the bubble.,1504- 二十年nijuu-nen [n] twenty years
お店のポイントがたまる。,My store points are accumulating.,"1505- たまる/tamaru [v] collect, accumulate"
家族が精 神 的な支えになっています,My family provides spiritual support to me.,"1506- 精神的/seishinteki [na-adj] spiritual, mental"
中学校は高校の隣にある。,My middle school is next to the high school.,"1507- 中学校/chuugakkoo [n] middle school, junior high school"
クラスメートとは仲良くしなさい。,Be friendly to your classmates.,"1508- 仲良く/nakayoku [adv] friendly, get along"
言い方に気をつけなさい。,Be careful of the way you say things.,1509- 言い方/iikata [n] way of saying
ヨガでバランスボールに座るのが好きです,I like sitting on a balance ball at yoga.,1510- バランス/baransu [n] balance
この会 社で働き始めてもう五年になる。,It’s been five years since I began working for this company.,1511- 五年/gonen [n] five years
新しいバージョンでは安定性が向上しています。,The new version has improved stability.,1512- 安定/antee [n] stability
家の完 成が待ちきれない。,I can’t wait for completion of our new house.,1513- 完成/kansee [n] completion
我が家は角にあります。,Our house is on the corner of the block.,1514- 我が家/wagaya [n] one's house
時 々、駅で友達を見かける。,"Sometimes, I see my friends at the station.",1515- 見かける/mikakeru [v] see
ピクニックシートを広げる。,I will spread out a picnic blanket.,"1516- 広げる/hirogeru [v] spread, expand"
参 考になる資 料をさがす。,I am looking for some reference material.,1517- 参考/sankoo [n] reference
たとえ勝てなくても、ゲームに参加する。,"Even if you can’t win, join the game.",1518- たとえ/tatoe [adv] even if
隣の人への荷物を受け取る。,I receive packages for the next-door neighbor.,"1519- 受け取る/uketoru [v] get, accept, receive"
冬は北 風が冷たい。,The north wind is cold in winter.,1520- 冷たい/tsumetai [i-adj] cold
この街では漁業が盛んです。,This town is a prosperous fishing town.,"1701- 盛ん/sakan [na-adj] popular, prosperous"
帰宅を急ぐ。,I am hurrying home.,"1702- 急ぐ/isogu [v] hurry, rush"
ともかく、うまく行った。,"Anyway, it went well.","1703- ともかく/tomokaku [adv] anyhow, anyway"
犯 人がつかまった。,The criminal was caught.,"1704- 犯人/hannin [n] offender, criminal"
風邪で熱がある,I have a fever from a cold.,"1705- 熱/netsu [n] heat, fever"
ネット犯 罪が増えている。,Internet crime is on the rise.,1706- 犯罪/hanzai [n] crime
芸 術 作 品は批判の対象です。,Fine artwork is subject to criticism.,"1707- 批判/hihan [n] criticism, judgement"
飛行機の出発の時間が遅れる。,Departure of the flight will be delayed.,1708- 出発/shuppatsu [n] departure
ごっこ遊びは幼児期に重要だ。,Pretend play is important in early childhood.,"1709- 遊び/asobi [n] playing, play"
数 学の教 師になりたい。,I want to be a math teacher.,1710- 教師/kyooshi [n] teacher
横浜で観覧車に乗った。,We rode a Ferris wheel in Yokohama.,1711- 横浜/yokohama [n] Yokohama
脳に刺激を与える。,Stimulate your brain.,1712- 脳/noo [n] brain
新 しいフレンチのレストランに行こう。,Let’s try the new French restaurant.,1713- レストラン/resutoran [n] restaurant
そろそろ出かけないと遅れるよ。,"Leave soon, or you will be late.","1714- そろそろ/sorosoro [adv] soon, any time now"
けがのために一ヵ月仕事を休みました。,I took a month off work due to an injury.,"1715- けが/kega [n] injury, hurt"
兄弟が三人います。,I have three brothers.,"1716- 兄弟/kyoodai [n] siblings, brothers"
楽器を習いたい。,I would like to learn how to play a musical instrument.,1717- 楽器/gakki [n] musical instrument
部屋の温度を保つ。,Keep the room temperature steady.,"1718- 保つ/tamotsu [v] keep, preserve"
自動車産業は自動運転システムを開発している。,The automobile industry is developing self-driving systems.,"1719- 自動車/jidoosha [n] automobile, car"
最 近ほんの少し暖かくなった。,It has gotten just a little warmer lately.,"1720- ほんの/honno [adv] just, mere, only"
宛先の住所を教えてください。,Please provide your mailing address.,1984- 住所/juusho [n] address
迷子になっても彼は平気だった。,"Even when he was lost, he looked unconcerned.","1985- 平気/heeki [na-adj] calmness, composure, unconcerned"
ゴルフのコースを回る。,Go around the golf course.,1986- コース/koosu [n] course
昔の友達を訪ねる。,I am visiting my old friends.,1987- 訪ねる/tazuneru [v] visit
また家の鍵を無くしてしまった。,I lost my house key again.,"1988- 鍵/kagi [n] key, lock"
世界中の人々と友 達になりたい。,I want to make friends with people from around the world.,1989- 世界中/sekai-juu [n] around the world
彼は掃除が下手だ。,He is poor at cleaning.,"1990- 下手/heta [na-adj] unskillful, poor, clumsy"
日記の代わりに詩を書く。,I write poems instead of a daily journal.,1991- 詩/shi [n] poem
手 術 後の経過はどうですか,How is his progress after the surgery?,"1992- 経過/keeka [n] passage, progress"
客室を整える。,Prepare the guest room.,"1993- 整える/totonoeru [v] put in order, adjust, prepare"
バスツアーで奈良に行きます。,We are going on a bus tour to Nara.,1994- ツアー /tsuaa [n] tour
太 陽は西に沈む。,The sun sets in the west.,1995- 西/nishi [n] west
質問事項をまとめる。,Summarize the items being questioned.,"1996- 事項/jikoo [n] matter, item, facts"
放課後に塾に通っています。,I go to a cram school after my regular school.,"1997- 塾/juku [n] cram school, tutoring school"
今の会 社を去ることにした。,I have decided to leave the company.,"1998- 去る/saru [v] leave, go away, pass"
