W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
訪れる,visit,それとも,or,アンケート,survey,眠い,sleepy,商業,commerce,ひと,people
業,business,見れる,see,ものの,things,スタイル,style,金属,metals,どうやら,apparently.
アリ,ali,かつ,life,うん,yeah.,約束,promise,証明,proof,像,image
公的,public,画,picture,プロセス,process,署,station,洗濯,washing,について,about
交代,exchange,分散,dispersion,コン,concert,それでも,still...,笑い,laugh,邪魔,hindrance
ゆっくり,slowly,不要,unnecessary,ベース,base,侵略,invasion,ご存知,you know,敷地,site
がら,picture,ボール,balls,かく,raise or lower,人達,people,転換,turnover,ドン,don
端,end,尋ねる,ask,一杯,a lot,でも,also in,一種,one kind,関連,related
文化,culture,たり,no,配分,distribution,裏,back,目的,objective,規則,regulations
運ぶ,carry,下記,below,帰り,return,資本,capital,平日,weekday,評判,reputation
ますます,more and more,詳細,details,行なう,go,制定,enactment,回復,recovery,決して,never
勢い,momentum,文章,literature,電池,battery,本当は,really,話し合う,discuss,鑑定,appraisal
関係,relation,すねる,sulk,最新,latest,当初,initial,食う,eat,芸能,entertainment
ピン,pink,外部,outside,流れ,flow,古い,old,ばかり,only,吸う,absorb
幼児,infant,根本,root,受け取る,receive,形態,form,コピー,copy,含める,include
はいる,i'm in,つて,and,伴う,accompany,まち,not yet,長い,long,理屈,logic
フレーム,frame,送信,send,発達,dispatch,ホーム,home,産む,produce,インド,india
限界,limit,日経,nikkei,そこ,there,選手,player,かかわる,be exchanged,鏡,mirror
製品,product,放つ,release,あう,meet,思考,thought,箸,chopsticks,いたす,be
唯一,only,職業,occupation,元々,originally,根,root,基本,base,探偵,detective
受け入れる,accept,更に,more,父,father,証拠,evidence,パフォーマンス,performance,背,back
時代,time,外す,outside,れる,use,依頼,request,ギター,guitar,そして,and...
データベース,database,一致,match,訓練,training,条件,conditions,加入,join,サラリーマン,businessman
解決,solve,個人,individual,全面,whole face,戦略,strategy,類,type,ブラジル,brazil
理由,reason,冒険,adventure,質問,question,安全,safe,参入,enter,本文,main text
論理,logic,天才,genius,加工,processing,兄,brother,準備,preparation,結びつく,lead to
極めて,extremely,のむ,drink,どうぞ,go ahead,コラム,column,触る,touch,要求,requirements
現役,current,そういえば,so to speak,こうした,like this,損失,loss,限り,as long as,想い,thoughts
ゴール,goal,お父さん,dad,はっきり,clearly,自覚,self-awareness,ション,action,苦しむ,suffer
即,immediate,流,flow,迅速,quick,よる,according,公害,pollution,つる,hang
号,issue,研究,research,倒れる,fall,アイテム,item,文部,literature,表面,surface
権力,authority,放棄,abandon,真面目,serious,言語,language,自民党,liberal democratic party,民族,civil
領域,area,緊張,tension,番目,number,総額,total,ホント,really,案,plan
連中,in a row,愛知,aichi,自社,in-house,専用,dedicated,つく,finally,医療,medical
食べ物,food,申告,report,毛,hair,少々,a little,大型,large,在住,residence
毎月,every month,いかにも,how,積む,accumulate,幾つ,several,やってくる,he's coming,少し,a little
ハード,hard,袋,bag,書,writing,救済,salvation,三月,three months,労働,labor
ファン,fan,ゴミ,garbage,白,white,近年,recent years,週,weekly,税込,tax included
備える,prepare for,バブル,bubble,通信,communicate,ゆ,yoo,散歩,walking,冗談,joke
決定,decision,主婦,housewife,神戸,kobe,科,department,ジョージ,george,特許,patent
大手,major,疲れる,exhaustion,人生,life,局,bureau,こうして,like this,家庭,home
聖書,bible,トレード,trade,就職,employment,反発,repulsion,きれる,can be cut,回,turn
遅い,slow,すでに,already,状,condition,国債,government bonds,日曜,sunday,法律,law
地帯,region,旅行,travel,成る,become,人間,people,招く,invite,戦闘,combat
入れる,enter,軍隊,military,止まる,stop,高校,high school,正直,honest,現在,present
購読,subscribe,向け,towards,総理,prime minister,性能,performance,悪化,worsening,家族,family
攻撃,attack,しま,pause,手続き,procedure,先ほど,just now,同社,company,出産,birth
相手,opponent,申請,application,試みる,try,出張,business trip,みなさん,everyone,同様,similar
うる,get,オンライン,online,異なる,different,同意,consent,活性,activity,改めて,revised
意志,intention,渡る,pass,興味深い,interesting,権利,rights,まぁ,well,のみ,only
協定,agreement,適用,apply,親,parent,肌,skin,なくなる,disappear,ボーナス,bonus
区域,area,出現,appearance,入門,admission,昨日,yesterday,参加,participate,植民,colonists
ダウンロード,download,恐れ,fear,独占,exclusive,闇,darkness,門,gate,ドル,dollar
職員,employee,覚悟,preparation,活かす,make use of,こむ,com,高める,heighten,講師,lecturer
伝統,tradition,透明,transparent,住所,address,患者,patient,キャンプ,camp,姉妹,sister
液晶,liquid crystal,不足,insufficient,休憩,break,短期,short term,弱い,weak,回避,avoidance
保証,guarantee,指定,designation,表紙,cover,費用,expense,審,judge,会場,venue
珍しい,rare,証券,securities,候補,candidate,広い,wide,一緒,together,書き込み,write
必要,necessary,里,village,アプリケーション,application,初め,first time,リンク,link,はるか,far
初日,first day,社会,society,閲覧,browse,範囲,scope,何故か,why?,導く,guide
外務省,foreign affairs,受け止める,receive,地,ground,注,pour,程,degree,良い,good
べ,part,恐れる,fear,台風,typhoon,トラ,tiger,付き合う,go out with,心,heart
経済,economy,過程,process,ルート,route,年生,year of birth,広げる,spread out,皆様,everyone
行使,use,有料,paid,蓄積,accumulation,非難,difficult,見解,view,回す,turn
フォーム,form,リン,phosphorus,超,exceed,気味,feeling,お伝え,tell,サーバー,server
エッセイ,essay,スイス,swiss,重ねる,heavy,核,nuclear,身体,body,フリー,free
減少,decrease,もつ,of course,松本,matsumoto,掃除,cleaning,体制,system,こういう,like this
支出,expenditure,ため,dam,臭い,smell,在庫,inventory,機能,function,ポール,pole
幸せ,happy,オリジナル,original,江戸,edo,危ない,danger,諸国,nations,まずい,bad.
人々,people,世界中,world,実家,real family,若い,young,治療,cure,社,company
公社,public company,時,time,競馬,horse racing,っす,make,スピード,speed,補償,compensation
さらに,in addition,平気,average,ユーロ,euro,青年,blue age,就任,appointment,高度,high
デバイス,device,計画,planning,下げる,go down,価格,price,大幅,big,悪,bad
役,role,国籍,nationality,棚,shelf,私的,private,だらけ,dull,月曜日,monday
住宅,housing,スクール,school,不可能,impossible,事務,affairs,純粋,pure,欠ける,missing
引く,pull,官,government,馬鹿,fool,非,non,プレーヤー,player,聞こえる,hearing
メンバー,members,名前,name,会社,company,博士,doctor,地下,underground,控える,appeal
コーヒー,coffee,宣伝,propaganda,言える,say,大学院,graduate school,逮捕,arrest,ポジション,position
店員,store employee,医,medical,おじさん,uncle,振り返る,look back,もしも,what if,雇用,employment
教,teaching,カウンター,counter,別れ,separate,調整,adjustment,ぬ,about,やっと,at last.
建築,building,気分,mood,成り立つ,become,慎重,cautious,明治,meiji,鳴る,sound
都合,city,個々,individual,紛争,conflict,俳優,actor,誤解,misunderstanding,弁護士,lawyer
事務所,office,ぜひ,by all means,改革,reform,港,harbor,いま,now,土産,soil
あんた,you,なく,disappears,製造,manufacturing,機械,machinery,先輩,senior,かねる,more
接触,contact,移転,relocation,示唆,suggest,アフリカ,africa,飛行,flight,証人,witness
増加,increase,ニュー,new,感動,emotion,遠い,far,差別,discrimination,内容,content
ドメイン,domain,病院,hospital,なれる,to be,殺す,kill,部隊,unit,正確,accurate
余地,room,世代,generation,メッセージ,message,つい,by the way,ドア,door,新潟,niigata
っていう,means,郡,county,エントリー,entry,アイドル,idol,児童,children,体力,body
線,line,回数,number of times,衆議院,house of representatives,運営,operation,警備,security,輸入,import
川崎,kawasaki,とにかく,anyway,主張,claim,閉鎖,close,殺人,murder,つき,get to
原子力,atomic energy,セキュリティ,security,両者,both,将来,future,終了,end,充実,fullness
執行,execution,配置,placement,やっぱ,i knew it.,まとめ,summarize,支援,support,普段,normal
グループ,group,逆に,reverse,日本,japan,訪ねる,visit,革命,revolution,横浜,yokohama
まずは,first.,歴史,history,たとえ,for example,資料,materials,店長,store manager,我が,our
久しぶり,long time no see,発売,launch,はじめて,begin,ファンド,fund,取り組む,tackle,とも,with
だり,dull,開く,open,資金,funds,届く,reach,だから,but,いつも,always
母,mother,稽古,practice,先行,ahead,消す,extinguish,原則,principle,インフルエンザ,influenza
措置,measures,あがる,go up,金,gold,夫,husband,町,town,用意,preparation
意思,intention,追加,add,中国,chinese,センター,center,二つ,two,沢山,many
ろう,wax,行為,action,韓,korea,スクリーン,screen,たん,tang,身近,near oneself
任せる,leave,観察,observation,結果,result,書店,bookstore,暇,leisure,収容,reception
立場,stand,政治,politics,確定,certainty,債務,debt,数々,counting,知恵,wisdom
予測,forecast,東北,tohoku,僕ら,we,衛星,satellite,パッケージ,package,株式会社,corporation
拒否,refusal,ロー,low,内部,internal,塔,tower,なので,because,気が付く,notice
望む,desirable,として,as,言い訳,excuse,滞在,stay,階,stairs,マネジメント,management
しっかり,firmly,船,ship,つながり,connection,便利,convenience,向き,facing,経つ,go through
入手,get,行う,do,どれ,which,街,city,それでは,that's it.,カラー,color
誰,who,売買,sales,おっしゃる,say,帰宅,returning home,ふえる,fu,集中,concentrate
助成,support,促す,encourage,制作,production,目次,table of contents,よろしく,well,中間,middle
込める,contain,祭,festival,踊る,dance,働き,work,給付,benefits,兵士,soldier
利益,profit,マッチ,matches,活動,activity,連邦,federation,途上,on the way,韓国,korea
日,day,ジーコ,zico,肉,body,師,master,間,between,風邪,cold
占める,occupy,結婚式,wedding,舞台,stage,比率,ratio,大分,oita,装備,equipment
下落,fall,展望,view,概要,outline,観光,sightseeing,だいたい,most,旧,old
世界,world,変える,change,役所,role,蔵,storehouse,子育て,raising children,文句,phrase
作業,work,実現,realization,間違える,make a mistake,集会,gather,かなり,quite,情勢,situation
せめて,at least,初心者,beginner,ジャンプ,jump,体重,weight,技術,technique,一連,a series
作家,writer,いかに,how,ごと,this way,骨,bone,奪う,take,盗む,steal
に対して,against,包む,wrap up,絞る,narrow down,作成,create,気に入る,be pleased with,共通,common
受信,receive,若干,young,にもかかわらず,in spite of,問い合わせ,inquiry,あらゆる,every,もらえる,get
勧め,recommend,発表,publication,クラシック,classic,考え,think,および,and,趣旨,purpose
割引,discount,大臣,minister,時々,sometimes,妄想,delusion,尽くす,dedication,チーム,team
乾燥,dry,とく,especially,昭和,showa,根拠,basis,しばしば,often,翌日,next day
ご覧,see,被害,damage,衝突,collision,きめる,determination,サーバ,server,株,share
テレビ,tv,怪しい,suspicious,体質,body quality,必然,inevitable,都道府県,prefecture,免許,license
真ん中,center,人形,puppets,迷う,be confused,従う,follow,ガン,cancer,返る,return
当日,on the day,耐える,withstand,手元,hand,声,voice,話す,talk,首,head
時期,time of day,新聞,newspaper,も,also,ランク,rank,食料,food,一つ,one
やる,do,聞く,hear,ヨーロッパ,europe,不明,unknown,清,clear,春,spring
冷静,calm,小売,retail,囲む,surround,しか,but,隊,unit,じゃ,bye
額,forehead,陣,group,商,merchant,注目,attention,軍事,military,配信,distribution
次回,next,市長,mayor,一貫,one continuous,両親,parents,ついでに,by the way,基,based on
前提,previous,辞典,dictionary,検査,inspection,全角,whole,心理,psychological,ニュース,news
松,matsu,ストーリー,story,時点,time,偉大,great,文字,characters,ただし,however
証言,testimony,抵抗,resist,大勢,majority,皆,everyone,本部,headquarters,すぎる,too much
代替,substitute,財源,financial resources,しまう,stop,審査,examination,やる気,willingness,用いる,use
編集,editing,単,single,タイム,time,提言,proposal,基づく,based on,命,life
素敵,lovely,工夫,ingenuity,お尋ね,asking,どこ,where,ピアノ,piano,さえ,sign
商店,store,視覚,vision,モノ,mono,実用,practical use,医学,medicine,つまり,in other words
拉致,abduction,保育,storage,仏教,buddhism,だが,but,整理,organize,本番,real
侵害,infringement,発明,invention,オランダ,netherlands,季節,season,大学生,university student,軍,military
第三者,third party,はず,start,はる,spring,解明,clarify,いる,come in,住民,residents
ずる,slurp,憲法,constitution,を通して,through,賠償,compensation,左,left,起こる,happen
複雑,complex,部長,director,重,heavy,石油,petroleum,青い,blue,うまい,uma
デビュー,debut,割合,percentage,返す,return,め,eye,強化,strengthen,副,vice
だし,you're right.,嫌,dislike,温度,temperature,なす,do,そる,in the first place,止める,stop
今,now,手数料,fees,記号,symbol,評論,reviews,伝,message,調達,procurement
現状,current,公式,official,測定,measurement,焼く,burn,小学生,elementary school,扉,door
レストラン,restaurant,そうすると,that's right.,学生,student,空間,space,お待ち,waiting,著,remarkable
未,not yet,タイ,thailand,無線,wireless,スープ,soup,天,heaven,私,private
小学校,elementary school,学,learning,オフィス,office,ローマ,rome,公正,fairness,取り入れる,taking in
完全,complete,罪,sin,一体,one,少ない,little,創作,create,ノー,no
以上,above,出来事,event,その他,other,挨拶,greeting,援助,aid,育てる,nurture
義務,duty,書類,documents,容疑,suspect,中華,chinese,詳しい,detailed,危険,danger
冷たい,cold,データ,data,図る,figure,支える,support,置く,put,油,oil
一層,one layer,パーティ,party,思える,seem,確かめる,make sure,とりあえず,for now,掲げる,post
関与,involved,福井,fukui,デスク,desk,お互い,each other,少年,boy,悪い,bad
分割,divide,達す,reach,前,front,著書,book,動向,movement,本件,this case
途中,on the way,交渉,negotiation,挙げる,raise,課,tax,説得,persuade,絵本,picture book
正義,justice,貧困,poverty,米,us,使い方,usage,缶,can,シナリオ,scenario
職務,job,熱心,enthusiasm,毎日,every day,脂肪,fat,病,illness,困る,trouble
通る,go through,まるで,as if,トーク,talk,豪華,luxury,主人公,main character,宣言,declaration
導入,introduction,破壊,destroy,会見,meeting,我が家,our home,見る,see,秋,fall
ゴルフ,golf,パック,pack,あたり,per,回答,answer,諦める,give up,環境,environment
南部,south,切れる,be cut,田舎,countryside,連絡,contact,セット,set,焦点,focus
周り,around,連れる,go with,美しい,beautiful,球,sphere,審判,judge,読む,read
感想,impression,語る,speak,ちゃう,i do,センチ,centimeter,はかる,take part in,レンタル,rental
品質,quality,処分,disposal,オークション,auctions,しよう,use,諸君,gentlemen,多数,many
支部,support,省,ministry,細い,fine,かえって,on the other hand,国語,national language,たく,home
多い,many,変化,change,方面,direction,政府,government,打ち合わせ,meeting,ある程度,to some extent
覚える,remember,昨夜,last night,アドバイス,advice,アメリカ,america,それだけ,that's it.,花火,fireworks
高い,high,ねぇ,hey.,鋭い,sharp,チャン,chan,之,now,電車,train
暴力,violence,暗い,dark,注意,attention,介護,care,細胞,cell,ブロック,blocks
そのもの,that one,橋本,hashimoto,男性,male,変動,change,表,represent,記載,description
ブラック,black,住む,housing,ハワイ,hawaii,真実,truth,フル,full,プロ,pro
能力,ability,様子,appearance,奇跡,miracle,起こす,wake up,応援,support,椅子,chair
マジ,seriously,傾向,tendency,見直し,review,機器,machinery,仕様,specification,しかしながら,however
忙しい,busy,ゆく,yield,増やす,increase,予約,reservation,新規,new,規約,rules
段,stage,法案,law bill,読者,reader,入り口,entrance,新幹線,shinkansen,ともに,both
ふる,print,を通じて,through,広告,advertisement,たいへん,much,ライト,light,発想,idea
嫌い,dislike,残る,remaining,初めて,first time.,センス,sense,弟,brother,成績,results
なんとなく,somehow.,味,taste,組織,organization,病気,illness,停止,stop,サンプル,sample
マイナス,minus,ファイル,file,保障,guarantee,秩序,order,分析,analysis,びっくり,surprise
影,shadow,ない,inside,早め,early,勝利,victory,現行,current,面倒,difficult
太,fat,重点,important,おもしろい,interesting,魂,soul,軒,house,圏,area
部門,department,寒い,cold,価値,value,ほんと,really,隣,next to,シンプル,simple
同期,synchronous,エリア,area,呼びかける,call out,悲しい,sad,観点,point of view,長年,long term
率直,frankness,収穫,harvesting,蓮,lotus,ポスト,posters,満足,satisfaction,小林,kobayashi
アイデア,idea,接続,connect,宮崎,miyazaki,実行,execution,しかる,however,携帯,mobile
見事,see,買える,buy,移住,migrate,取る,take,ラ,ramen,含む,include
採用,recruit,コントロール,control,郵便,postal,味わう,taste,形式,form,サン,san
応答,response,予防,prevention,あくまでも,persistently,自己,self,疑い,suspicion,幸福,happiness
原告,plaintiff,口,account,国土,land,勉強,study,パスワード,password,文庫,bunko
話,talk,在日,in japan,学者,learner,ペット,pet,ポスター,poster,庭,garden
奇妙,strange,メール,email,以後,since,三,three,意欲,will,買い物,shopping
発電,generation,お願い,please,使用,use,誘う,invite,こなす,children,論点,argument
普及,popularity,かう,purchase,上る,go up,配慮,distribution,待つ,wait,触れる,touch
剣,sword,行ける,can do,安い,cheap,具体,specific,テーブル,tables,概念,concept
出会い,meet,メーカー,manufacturer,わけ,reason,こんな,like this,北京,beijing,医師,physician
政権,government,設計,design,絵,picture,たつ,i'm home,捜査,investigate,オリンピック,olympics
あわせる,mix and match,指摘,pointing,まい,my,方々,people,人権,human rights,中学校,middle school
おかしい,funny,周囲,around,ほんの,really,劇,play,あら,oh!,上映,screening
葉,leaf,駐車,parking,たいてい,mostly,ネット,net,多,many,ずいぶん,quite a bit
寄る,donate,ます,machine.,もう少し,almost there.,風呂,bath,勝負,win or lose,少なくとも,at least
授業,teaching,下がる,going down,欄,field,農業,agriculture,移行,migration,製,manufacture
定義,definition,前後,before after,痛み,pain,どうも,thank you.,倒す,beat,開ける,open
あふれる,overflowing,何人,what people,箇所,location,コム,com,方,people,ついに,finally
エラー,errors,最も,most,張る,tension,日程,schedule,儲かる,profitable,ユーザ,user
眼,eye,ビックリ,surprise,例,example,ベル,bell,知人,acquaintance,工場,factory
上司,superior,伝わる,tradition,観る,watch,乗る,get on,靴,shoes,設定,set up
陥る,fall into,ブーム,boom,たまに,occasionally,拝見,see,推定,estimate,毎,every
加わる,join,札幌,sapporo,高まる,rise,べし,bess,項目,item,コミュニティ,community
試み,try,悔しい,i'm sorry,微妙,subtle,やさしい,easy,不法,injustice,児,child
カメラ,camera,工作,workshop,主体,main body,特定,specific,米国,us,主,lord
普通,normal,点,spot,ブッシュ,bush,休む,rest,済ませる,finish,記憶,memory
戦う,fight,態度,attitude,区別,district,奥さん,wife,近い,near,輪,wheel
ものすごい,things,ミニ,mini,カレー,curry,当局,authority,紹介,introduction,比,ratio
食品,food,発射,launch,疑問,doubt,ビジネス,business,笑う,laugh,短い,short
様,form,っけ,make,隠す,hide,料金,fee,搭載,mount,実績,actual
次元,dimension,ひとつ,one,オブジェクト,object,オススメ,recommend,元気,energetic,郵政,postal service
研修,training,指導,guidance,期,term,人材,human resources,羽,wings,州,state
二,two,まさか,no way.,レポート,report,黒,black,作,make,実力,actual ability
撤退,withdrawal,とても,very,新作,new,首都,capital,比較,compare,タイミング,timing
父親,father,マニュアル,manual,観念,contemplation,クリック,click,報告,report,つづける,continue
独立,independent,通知,notification,四月,april,眠る,sleep,団,group,吸収,absorb
追記,postscript,処置,treatment,歯,tooth,自宅,home,抜く,pull out,貴方,you
離婚,divorce,表す,appear,興奮,excitement,著しい,remarkable,踏む,step on,彼,he
生活,life,経由,via,ワールド,world,はじまる,start,シェア,share,確実,certain
咲く,bloom,画像,picture,久々,long time,グッズ,goods,判断,judgment,朝,morning
軸,axis,にて,at,前年,previous year,公園,parks,一瞬,one moment,母親,mother
要望,requirements,版,plate,度,second,順調,steady,数値,numbers,おこなう,carry on
一生懸命,hardest,現場,on-site,コト,here,出席,attend,店,store,千葉,chiba
肉体,body,観測,observation,東,east,貸す,lend,計算,calculation,かい,buying
余る,too much,公平,fairness,配る,distribute,そういった,like that,友,friend,撮影,filming
竹,bamboo,タイトル,title,地図,map,頂く,receive,自動車,automobile,面接,interview
はまる,fit,予算,budget,貴重,valuable,後悔,after,南,south,選ぶ,select
同時に,simultaneous,把握,grasp,手段,means,レコード,record,休み,rest,代わり,instead of
いらっしゃる,you're here.,波,wave,行事,event,並びに,both,幅,breadth,テクノロジー,technology
廃棄,disposal,合わせる,combine,プログラム,program,発行,publication,弊社,our company,法人,corporation
博物館,museum,どっち,which,考える,thinking,光,light,意外,unexpected,どんなに,how
登る,climbing,ランド,rand,色々,various,壊す,break,オタク,geek,地区,district
周年,around,産,production,裁判官,judge,視,view,観戦,watching a game,騒ぐ,noisy
いい,good,疑惑,suspicion,君,you,って,and,単純,simple,運転,operation
メモ,memo,山,mountain,担当,in charge,悪魔,devil,だんだん,dan dan dan,施工,construction
個別,individual,赤,red,宿,lodging,憧れる,admiration,付き合い,companionship,とりわけ,among others
降る,descend,願い,wish,どういう,what,立てる,stand up,許可,allow,かな,kana
了解,copy,合理,rational,帯,belt,探る,search for,英国,british,装置,equipment
足,foot,示す,indicate,塾,school,基準,standard,おいしい,delicious,恐ろしい,terrible
票,vote,暑い,hot,指揮,command,新,new,中止,abort,赤い,red
楽,easy,言い方,saying,毎年,every year,比べる,compare,変,change,から,from
保健,health,コレクション,collection,事態,circumstances,四,april,ミス,miss,族,family
黒い,black,発言,utterance,反対,against,大好き,i love it,ずっと,all the time,本体,main body
性質,nature,まとも,straightforward,ボード,board,むしろ,rather,終える,finish,漂う,drift
惹く,attraction,基地,base,形,form,がたい,body,すごい,amazing,歩,walking
いかが,how,体験,experience,逃げる,run away,原因,cause,むずかしい,difficult,フィルム,film
両方,both,通貨,currency,戻す,return,生徒,student,進化,advance,泊,stay
都,metropolitan,未満,less than,あえて,dare,気,mind,要する,need,える,can
作者,author,始まる,begin,外,outside,面積,area,思う,think,いよいよ,it's time
制約,constraint,くる,come,ポルトガル,portugal,記録,record,退職,resign,あたる,here
強制,forced,ノ,no,陽,sun,支給,supply,集合,assembly,戦争,war
問,inquiry,絵画,painting,漫画,cartoon,所属,affiliation,課長,chief,赤ちゃん,baby
キロ,kilo,通,through,込む,in,魔,magic,末,the end of,筋肉,muscle
毎回,every time,組む,combine,きちんと,neat,物,things,今月,this month,完了,complete
ルー,root,約,about,土,soil,合計,total,収益,revenue,別れる,separate
中学,middle school,箱,box,また,more,苦手,difficult,同じく,same,自分,self
てる,in,居住,residence,人民,people,お母さん,mother,創る,create,制限,restriction
何となく,somehow,日銀,bank of japan,突っ込む,plunge,予想,forecast,無理,impossible,担う,carry
オフ,off,手当,allowance,違い,difference,腹,abdomen,田,rice field,選,select
代理,substitute,国内,domestic,牛,cow,減る,decrease,検証,verification,設ける,set up
総裁,president,出会う,meet,英語,english,ラン,run,あまりに,too much,バー,bar
従って,follow,仙台,sendai,前半,first half,心から,from the heart,かよう,purchase,勧告,recommend
司法,judiciary,物事,things,厚い,thick,何より,more than something,計,measure,他人,others
草,grass,作用,action,当たり前,natural,難しい,difficult,日時,date and time,進行,progress
違和感,different,しかし,however,塩,salt,成功,success,今回,this time,息,breath
都会,metropolitan,ボタン,button,らしい,seems,公開,public,天使,angel,大人,adult
ショー,show,教科書,textbook,苦笑,difficult smile,連続,consecutive,廃止,abolish,づくり,make
あれ,this,不動産,real estate,ユダヤ,jewish,標準,standard,席,seat,しょう,sho
育つ,grow up,前回,previous,その後,after,マウス,mouse,ケース,case,同一,same as
売れる,sell,本質,authentic,結論,conclusion,制,control,イベント,event,過ぎ,too much
代表,representative,恐らく,probably,貼る,post,関,concern,付く,follow,次第に,next
先週,last week,人物,people,否,no,穴,hole,六,six,対象,object
寂しい,lonely,視野,field of view,きく,key,美,beautiful,はじめ,beginning,遅れる,slow
写真,photo,付ける,follow,暮らし,life,オプション,options,戻る,return,共,together
質,quality,上下,up and down,当事者,the person concerned,批判,criticize,努める,strive,認知,recognition
自身,self-awareness,ほとんど,almost,業者,business,一切,one and all,釣り,fishing,飽きる,get bored
リズム,rhythm,多分,maybe,木村,kimura,名称,name,女性,woman,日々,daily
偶然,accidental,国民,national,最,most,っぽい,like,適宜,appropriate,残り,remaining
重なる,heavy,以降,since,年度,year,武,armed,セール,sale,好,like
輸送,transport,共感,sympathy,渋谷,shibuya,トラブル,trouble,平,peace,地元,local
公,public,図,figure,手紙,letter,意識,consciousness,思い出,remember,鑑賞,appreciation
民事,civil,アート,art,認定,certification,民主,democrat,当時,at that time,やっぱり,i knew it.
解除,termination,当面,current,集,gather,后,empress,貧しい,poor,大いに,big
我が国,our country,現れる,appear,第,first,効率,efficiency,美人,beautiful,ワタ,wata
いったい,together,過ぎる,too much,増大,increase,定期,regular,府,office,横,horizontal
地下鉄,subway,兵,soldiers,萌える,sprout,中国語,chinese,キーワード,keyword,老人,old man
不十分,insufficient,プラン,plan,強烈,strong,情熱,passion,かつて,once,腰,waist
シュート,chute,調子,tone,役立つ,helpful,トップ,top,マシン,machine,そのまま,as it is
響く,sound,次第,next,お気に入り,favorite,通常,normal,相談,consultation,テープ,tape
小泉,koizumi,倫理,ethics,社内,in-house,石,stone,クロ,black,スポット,spot
適正,appropriate,鍵,key,レッスン,lesson,ペン,pen,オーナー,owner,コース,course
名無し,no name,いずれ,which,不可欠,insufficient,無し,nothing,魅力,charm,越える,exceed
株価,share price,リサイクル,recycle,通じる,pass through,文書,documents,財,goods,ばる,stick
さる,saru,吉田,yoshida,事例,cases,関東,kanto,えっ,what?,手,hand
修理,repair,過ごす,too much,客,objective,危機,danger,右,right,冊,volume
迎える,receive,脅威,threats,以外,other than,進む,advance,寝る,sleep,グレード,grade
重大,grave,国務大臣,minister of state,化粧,makeup,全く,all,致す,to be,初,first
みせる,show,中小,small and medium,目指す,objective,成果,outcome,女子,girl,解消,dissolution
どうしても,i don't know.,歌手,singer,日中,during the day,リーダー,leader,効果,effect,ジャック,jack
すね,sulk,がる,glass,加盟,join,一生,one life,恋人,lover,取り出す,fetch
物語,object,知的,intellectual,足りる,sufficient,もたらす,would have,フランス,france,飼う,keep
正,correct,ローン,loan,建設,construction,鉄道,railroad,わずか,only,レース,lace
事故,accident,のる,go for a ride,頼む,ask,擁護,advocate,正しい,correct,明日,tomorrow
小さい,small,をもって,with,実践,practice,いや,no,もう一度,again.,フォーラム,forum
一方,one time,限定,limit,与える,give,ステ,ste,財政,finance,規格,standards
巻く,roll,タウン,town,及ぼす,affect,メジャー,major,側,side,動物,animal
ロード,road,通過,passage,だいぶ,most,ぼる,bole,心配,worry,株式,stock
間に合う,just in time,燃料,fuel,により,by,当選,election,納得,conviction,絶対,absolute
色,colors,あげる,increase,まとまる,summarize,角度,angle,みなす,let me see,比較的,comparative
電波,radio wave,広島,hiroshima,ただいま,just now,競争,competition,ひたすら,just,イギリス,united kingdom
いったん,once,あきらめる,give up,子ども,child,永遠,eternity,抽象,abstract,温泉,hot spring
映像,image,必ずしも,necessarily,多様,various,員,member,士,warrior,ロンドン,london
勝手,win,近く,near,要因,factor,見つける,find,何,what,急速,rapid
ごろ,around,稼ぐ,earn,刑事,criminal,繋がる,connect,制度,institution,より,more
抑制,restraint,人気,popularity,論じる,discuss,列,column,耐震,withstand earthquake,本物,real
優先,preferred,内,within,立つ,stand up,勝つ,win,コミュニケーション-,communication,新宿,shinjuku
正式,formal,呼ぶ,call,症状,symptom,判る,i know.,時計,clock,章,chapter
井上,inoue,あいだ,between,パ,pa,一応,just in case,通り,pass through,こう,like this
未だに,not yet,先進,advanced,団体,group,上,up,最後,last,柱,pillar
対話,dialogue,尊重,respect,映画,movie,そんなに,so much,損,loss,いきなり,suddenly
銘柄,brand name,常に,always,あるいは,or,漢字,kanji,優勝,first place,仕方,how to do
スキー,skiing,受験,exam,自立,independence,小さな,small,道,path,急,hurry
チーズ,cheese,まず,"oh, no.",生命,life,お菓子,sweets,業績,performance,政党,political party
妹,sister,づらい,painful,着く,put on,展,exhibition,テロ,terrorism,本人,this person
いろいろ,various,高等,high,割,split,結婚,marriage,地震,earthquake,ワシントン,washington
対立,opposition,神奈川,kanagawa,表現,representation,人種,race,低い,low,権限,authority
円,yen,徹底的,thoroughness,独特,unique,成立,establishment,景色,scenery,明,clear
ぶる,club,どうせ,what?,福祉,welfare,放置,abandonment,ヘッド,head,ける,i can't
よろしい,good.,ちょうど,just,事,incident,に関する,regarding,法廷,court of law,大統領,president
姿,appearance,なんだか,i don't know.,カップル,couple,収集,collection,白い,white,賃金,wages
設立,establish,不幸,unhappiness,人類,humanity,辺り,around,嬉しい,happy,やはり,i knew it!
文法,grammar,マイケル,michael,不良,defective,市場,market,貢献,contribution,ほる,hollow
死,death,単なる,simply,縦,vertical,座長,chairperson,以下,less than,段階,stage
