A.Words,A.Meaning,B.Words,B.Meaning,C.Words,C.Meaning,D.Words,D.Meaning,E.Words,E.Meaning,F.Words,F.Meaning,G.Words,G.Meaning,H.Words,H.Meaning,I.Words,I.Meaning,RN.Words,RN.Meaning
,,,,,,,,,,,,,,,,,,ヘアピン,hairpins
,,,,,,,,,,,,,,,,,,ヘアスプレー,hairspray
,,,,,,,,,,,,,,,,,,半分,half
,,,,,,,,,,,,,,,,,,かなずち,hammer
,,,,,,,,,,,,,,,,,,手,hand
,,,,,,,,,,,,,,,,,,ハンドブレーキ,hand brake
,,,,,,,,,,,,,,,,,,ハンドバッグ,handbag
,,,,,,,,,,,,,,,,,,ハンカチ,handkerchief
,,,,,,,,,,,,,,,,,,手作り,handmade
,,,,,,,,,,,,,,,,,,嬉しい,happy
,,,,,,,,,,,,,,,,,,港,harbor
,,,,,,,,,,,,,,,,,,堅い,hard
,,,,,,,,,,,,,,,,,,ハッシュマーク,hash mark
,,,,,,,,,,,,,,,,,,ハッシュタグ,hash tag
,,,,,,,,,,,,,,,,,,帽子,hat
,,,,,,,,,,,,,,,,,,花粉,hay fever
,,,,,,,,,,,,,,,,,,頭,head
,,,,,,,,,,,,,,,,,,頭痛,headache
,,,,,,,,,,,,,,,,,,健康,health
,,,,,,,,,,,,,,,,,,自然食品店,health food shop
,,,,,,,,,,,,,,,,,,聞く,hear
,,,,,,,,,,,,,,,,,,補聴器,hearing aid
,,,,,,,,,,,,,,,,,,心臓,heart
,,,,,,,,,,,,,,,,,,心臓病患者,heart patient
,,,,,,,,,,,,,,,,,,熱さ,heat
,,,,,,,,,,,,,,,,,,ヒーター,heater
,,,,,,,,,,,,,,,,,,重い,heavy
,,,,,,,,,,,,,,,,,,かかと,heel
,,,,,,,,,,,,,,,,,,こんにちは,hello
,,,,,,,,,,,,,,,,,,ヘルメット,helmet
,,,,,,,,,,,,,,,,,,助け,help
,,,,,,,,,,,,,,,,,,助ける,help
,,,,,,,,,,,,,,,,,,手伝う,help
,,,,,,,,,,,,,,,,,,一人前,helping (of food)
,,,,,,,,,,,,,,,,,,ハーブティー,herbal tea
,,,,,,,,,,,,,,,,,,調味料,herbs (seasonings)
,,,,,,,,,,,,,,,,,,ここ,here
,,,,,,,,,,,,,,,,,,ニシン,herring
,,,,,,,,,,,,,,,,,,高い,high
,,,,,,,,,,,,,,,,,,高画質型デジカメ,high-definition digital camera
,,,,,,,,,,,,,,,,,,満潮,high tide
,,,,,,,,,,,,,,,,,,子供用椅子,highchair
,,,,,,,,,,,,,,,,,,高速道路,highway
,,,,,,,,,,,,,,,,,,ハイキング,hiking
,,,,,,,,,,,,,,,,,,氷,ice cubes
,,,,,,,,,,,,,,,,,,スケートをする,ice skate
,,,,,,,,,,,,,,,,,,アイスクリーム,ice cream
,,,,,,,,,,,,,,,,,,考え,idea
,,,,,,,,,,,,,,,,,,身分証明書,identification (card)
,,,,,,,,,,,,,,,,,,身分を証明する,identify
,,,,,,,,,,,,,,,,,,始動キー,ignition key
,,,,,,,,,,,,,,,,,,病気,ill
,,,,,,,,,,,,,,,,,,病気,illness
,,,,,,,,,,,,,,,,,,想像する,imagine
,,,,,,,,,,,,,,,,,,すぐに,immediately
,,,,,,,,,,,,,,,,,,輸入税,import duty
,,,,,,,,,,,,,,,,,,無理な,impossible
,,,,,,,,,,,,,,,,,,不可能な,impossible
,,,,,,,,,,,,,,,,,,の中に,in
,,,,,,,,,,,,,,,,,,夕方, in the evening
,,,,,,,,,,,,,,,,,,午前,in the morning
,,,,,,,,,,,,,,,,,,を含めて,included
,,,,,,,,,,,,,,,,,,含めた,included
,,,,,,,,,,,,,,,,,,示す,indicate
,,,,,,,,,,,,,,,,,,方向指示器,indicator
,,,,,,,,,,,,,,,,,,安い,inexpensive
,,,,,,,,,,,,,,,,,,伝染,infection
,,,,,,,,,,,,,,,,,,炎症,inflammation
,,,,,,,,,,,,,,,,,,情報,information
,,,,,,,,,,,,,,,,,,案内,information (guide)
,,,,,,,,,,,,,,,,,,資料,information (material)
,,,,,,,,,,,,,,,,,,案内所,information office
,,,,,,,,,,,,,,,,,,注射,injection
,,,,,,,,,,,,,,,,,,負傷した,injured
,,,,,,,,,,,,,,,,,,無罪な,innocent
,,,,,,,,,,,,,,,,,,こん虫,insect
,,,,,,,,,,,,,,,,,,虫さされ,insect bite
,,,,,,,,,,,,,,,,,,虫除けクリーム,insect repellent
,,,,,,,,,,,,,,,,,,中に,inside
,,,,,,,,,,,,,,,,,,内に,inside
,,,,,,,,,,,,,,,,,,靴の内底,insole
,,,,,,,,,,,,,,,,,,使用法,instructions
,,,,,,,,,,,,,,,,,,保険,insurance
,,,,,,,,,,,,,,,,,,休憩,intermission
,,,,,,,,,,,,,,,,,,国際の,international
,,,,,,,,,,,,,,,,,,インターネット,Internet
,,,,,,,,,,,,,,,,,,インターネットラウンジ,Internet lounge
,,,,,,,,,,,,,,,,,,通訳者,interpreter
,,,,,,,,,,,,,,,,,,交差点,intersection
,,,,,,,,,,,,,,,,,,紹介する,introduce (oneself)
,,,,,,,,,,,,,,,,,,招待する,invite
,,,,,,,,,,,,,,,,,,アイロン,iron (clothes)
,,,,,,,,,,,,,,,,,,鉄,iron (metal)
,,,,,,,,,,,,,,,,,,アイロンをかける,iron (verb)
,,,,,,,,,,,,,,,,,,アイロン台,ironing board
,,,,,,,,,,,,,,,,,,島,island
,,,,,,,,,,,,,,,,,,かゆい,itch
