Words,Meaning,Sentences,Translation
とか,"among other things, such things as, or something like that",しかめ面は怒りとか不快感を表現するものである。,A frown may express anger or displeasure.
まま,"as it is, as one likes, because, as",私はひと晩窓を開けたままにしておいた。,I left the window open all through the night.
みんな,"all, everyone, everybody",賛成の人は皆手を挙げた。,All those in favor held up their hands.
頭,head,彼は頭をまっすぐにしていた。,He held his head straight.
ばかり,"only, merely, nothing but, no more than",彼女は親切なばかりではなく正直な人です。,"She is not only kind, but also honest."
すみません,"excuse me, pardon me, I'm sorry, thank you",すみません、このチケットは変更できません。,"I'm sorry, we can't make flight changes on this ticket."
マイル,mile,村までせいぜい２マイルだ。,It is not more than two miles to the village.
友,"friend, companion, comrade, pal",友に変わり彼はその責任を引き受けるつもりだ。,He will take on the responsibility for his friends.
同じ,"same, identical, equal, uniform, equivalent, similar",彼らはほぼ同じ年齢です。,They are about the same age.
なんて,"such as, (things) like",なんて大きなスーパーだ。,What a big supermarket!
増す,"to increase, to grow",好天気が私達の旅の楽しみを増した。,Fine weather added to the joy of our trip.
能力,"ability, faculty",彼が成功したのは能力と勤勉さのおかげだ。,He owed his success to both ability and industry.
日,day,土日月の午前１０時半から午後４時まで開館。,"Open from 10:30am to 4pm on Sat, Sun, and Mon."
かもしれない,"may, might, perhaps, may be, possibly",それは今にも起こるかもしれない。,It may occur at any moment.
歩く,to walk,ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.
気,"spirit, mind, heart, nature, disposition, mood, feelings",彼は年はとっているが気は若い。,"Though he is old, he has a youthful spirit."
捕る,"to take, to catch, to capture",彼らは捕り立ての魚を朝市で売ってくれる。,They sell us freshly caught fish in the early morning market.
敵,"opponent, rival, adversary, danger, threat",彼は敵を料理した。,He easily licked his opponent.
姿,"figure, form, shape, appearance, guise, image",ほっそりとした姿に対する若い女性の願望は強い。,Young girls' desire for slim figures is strong.
待つ,to wait,電話を切って少々お待ち下さい。,"Hang up and wait a moment, please."
だって,"after all, because, but, even",子供にだってそんな事は分かる。,Even children can understand it.
こんな,such,こんなすばらしい映画を見たことがありますか。,Did you ever see such a film?
答える,"to answer, to reply",彼はその質問に対して親切に答えた。,He responded kindly to the question.
少し,"small quantity, little, few, something",日本語が少し話せるからね。,You know some Japanese.
乗り遅れる,"to miss (a train, bus, etc.), to fail to keep up with",我々は列車に乗り遅れないよう早く出発した。,We started early so as not to miss the train.
ちょっと,"a little, a bit, slightly",ちょっといっぱいやりながら話そう。,Let's have a talk over a couple of drinks.
冊,counter for books,机の上に数冊の本がある。,There are some books on the desk.
どのように,"how, in what way",内訳はどのようにしましょう？,How would you like these items?
多い,"many, numerous, a lot",新潟は雪が多い。,They have much snow in Niigata.
動く,"to move, to stir, to shift, to operate",その氷河はゆっくりではあるが動いている。,The glacier moves but by inches.
書く,"to write, to compose, to pen",もし彼の住所を知っていたら手紙をかくだろう。,"If I had known his address, I would have written."
心,"mind, heart, spirit",お言葉を心に銘記いたします。,I will bear your words in mind.
買う,"to buy, to purchase",母は弟に黄色い傘を買ってやった。,Mother bought my brother a yellow umbrella.
