W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4
大使館,たいしかん,embassy,断る,ことわる,turn down,長引く,ながびく,prolonged,採決,さいけつ,vote
大切,たいせつ,important,知能,ちのう,intelligence,持ち,もち,have,採算,さいさん,profitable
短い,みじかい,short,地球,ちきゅう,earth,気味,ぎみ,a little,採択,さいたく,adopted
知る,しる,know,地区,ちく,district,館,かん,hall,採用,さいよう,recruitment
地図,ちず,map,地点,ちてん,point,業,ぎょう,karma,栽培,さいばい,cultivation
茶色,ちゃいろ,brown,地面,じめん,ground,お参り,おまいり,visit,災害,さいがい,disaster
着く,つく,arrive,中央,ちゅうおう,central,安易,あんい,easy,細菌,さいきん,bacteria
着る,きる,wearll,調子,ちょうし,condition,一定,いってい,constant,細胞,さいぼう,cell
昼,ひる,noon,長期,ちょうき,long term,引き返す,ひきかえす,turn back,裁く,さばく,judge
朝,あさ,morning,長所,ちょうしょ,strong points,羽根,はね,feather,在庫,ざいこ,stock
鳥,とり,bird,直ちに,ただちに,right away,園,えん,garden,財,ざい,goods
低い,ひくい,low,追う,おう,chase,温室,おんしつ,greenhouse,財源,ざいげん,financial resources
度,ど,every time,通じる,つうじる,communicate,加速,かそく,acceleration,財政,ざいせい,finance
土曜日,どようび,saturday,通す,とおす,pass,回数,かいすう,number of times,作,さく,written
冬,ふゆ,winter,通学,つうがく,going to school,回答,かいとう,answer,作戦,さくせん,strategy
答える,こたえる,answer,通知,つうち,notification,快晴,かいせい,sunny,作用,さよう,action
働く,はたらく,work,低下,ていか,decline,開通,かいつう,opening,削減,さくげん,reduction
動物,どうぶつ,animal,的,てき,target,開放,かいほう,open,策,さく,measure
同じ,おなじ,same,鉄,てつ,iron,貝,かい,shellfish,雑貨,ざっか,general merchandise
肉,にく,meat,鉄道,てつどう,railroad,外科,げか,surgery,参議院,さんぎいん,house of councilors
日曜日,にちようび,sunday,伝わる,つたわる,communicated,外部,がいぶ,external,参照,さんしょう,reference
売る,うる,sell,電池,でんち,battery,角,かく,weapon,山岳,さんがく,mountains
病院,びょういん,hospital,登山,とざん,climbing,角度,かくど,angle,産物,さんぶつ,product
病気,びょうき,sick,都会,とかい,urban,学科,がっか,department,酸,さん,acid
風,かぜ,wind,都市,とし,city,学術,がくじゅつ,academic,酸化,さんか,oxidation
服,ふく,clothes,土曜,どよう,saturday,活字,かつじ,type,残高,ざんだか,balance
物,もの,stuff,当たり前,あたりまえ,obvious,活力,かつりょく,vitality,残酷,ざんこく,cruel
勉強,べんきょう,study,当たる,あたる,hit,感想,かんそう,thoughts,仕上がり,しあがり,finish
歩く,あるく,walk,当てる,あてる,hit,期,き,period,仕様,しよう,specification
妹,いもうと,sister,当てはまる,あてはまる,apply,気配,けはい,sign,使命,しめい,mission
毎朝,まいあさ,every morning,当時,とうじ,at that time,記号,きごう,symbol,司法,しほう,justice
明るい,あかるい,bright,等しい,ひとしい,equal,強化,きょうか,reinforcement,始末,しまつ,get rid of
木曜日,もくようび,thursday,同様,どうよう,similarly,教わる,おそわる,be taught,志,こころざし,will
問題,もんだい,problem,道路,どうろ,road,局,きょく,station,志向,しこう,oriented
夜,よる,night,特定,とくてい,identification,曲,きょく,song,志望,しぼう,aspiring
野菜,やさい,vegetable,日光,にっこう,sunlight,曲げる,まげる,bend,思考,しこう,thinking
薬,くすり,medicine,日曜,にちよう,sunday,曲線,きょくせん,curve,指揮,しき,conducting
有名,ゆうめい,famous,能力,のうりょく,ability,区分,くぶん,classification,指摘,してき,indicate
夕べ,ゆうべ,evening,農家,のうか,farmer,苦情,くじょう,complaints,指令,しれい,command
夕方,ゆうがた,evening,農業,のうぎょう,agriculture,空想,くうそう,fantasy,支持,しじ,support
洋服,ようふく,clothes,波,なみ,wave,形式,けいしき,format,施設,しせつ,institution
旅行,りょこう,trip,馬,うま,horse,見直す,みなおす,review,死刑,しけい,death penalty
料理,りょうり,cooking,配る,くばる,distribute,見当,けんとう,register,脂肪,しぼう,fat
今朝,けさ,this morning,発表,はっぴょう,publication,原,はら,original,視覚,しかく,visual
上着,うわぎ,outerwear,発明,はつめい,invention,原始,げんし,primitive,視察,しさつ,inspection
頭,あたま,head,犯人,はんにん,culprit,原理,げんり,principle,視点,してん,perspective
明日,あした,tomorrow,番目,ばんめ,second,原料,げんりょう,material,視野,しや,field of view
門,もん,gate,悲しむ,かなしむ,sad,語学,ごがく,language,資格,しかく,qualification
開く,あく,open,皮肉,ひにく,irony,交流,こうりゅう,alternating current,資金,しきん,funding
色々,いろいろ,various,費,ひ,expenses,光線,こうせん,rays,資産,しさん,assets
歌う,うたう,sing,費用,ひよう,cost,公式,こうしき,official,賜る,たまわる,give
思う,おもう,think,飛ばす,とばす,fly,公表,こうひょう,published,雌,めす,female
終わる,おわる,end,飛び出す,とびだす,pop out,口実,こうじつ,excuse,飼育,しいく,breeding
買い物,かいもの,shopping,美人,びじん,beautiful woman,校,こう,school,歯科,しか,dental
作る,つくる,make,氷,こおり,ice,行列,ぎょうれつ,queue,事項,じこう,matters
飲み物,のみもの,drink,表,ひょう,table,高等,こうとう,higher,事前,じぜん,advance
町,まち,town,表情,ひょうじょう,facial expression,合同,ごうどう,joint,事柄,ことがら,things
赤,あか,red,表面,ひょうめん,surface,合流,ごうりゅう,merge,持続,じぞく,sustain
屋,や,shop,秒,びょう,seconds,国語,こくご,national language,時差,じさ,time difference
小さな,ちいさな,small,不幸,ふこう,unhappiness,混合,こんごう,mixture,治安,ちあん,security
泳ぐ,およぐ,swim,不自由,ふじゆう,inconvenient,作曲,さっきょく,composition,治療,ちりょう,treatment
横,よこ,beside,不満,ふまん,complain,参考,さんこう,reference,磁気,じき,magnetic
黄色い,きいろい,yellow,部,ぶ,department,算数,さんすう,arithmetic,自覚,じかく,awareness
家庭,かてい,home,部分,ぶぶん,part,指定,してい,specify,自己,じこ,self
荷物,にもつ,load,物語,ものがたり,story,留まる,とまる,stay,自在,じざい,freely
絵,え,picture,物事,ものごと,things,留める,とめる,stop,自主,じしゅ,voluntary
階,かい,floor,物質,ぶっしつ,material,寺院,じいん,temple,自立,じりつ,independence
勤める,つとめる,serve,物理,ぶつり,physics,持参,じさん,bring,辞職,じしょく,resignation
君,きみ,you,分類,ぶんるい,classification,時速,じそく,speed,辞退,じたい,decline
言葉,ことば,words,文明,ぶんめい,civilization,次いで,ついで,then,軸,じく,shaft
戸,と,door,平ら,たいら,flat,次ぐ,つぐ,next,質疑,しつぎ,q & a
公園,こうえん,park,平気,へいき,no problem,実る,みのる,fruit,実家,じっか,parents' home
向こう,むこう,over there,平等,びょうどう,equality,実感,じっかん,real feeling,実践,じっせん,practice
細い,ほそい,thin,平和,へいわ,peace,実習,じっしゅう,practical training,実態,じったい,actual situation
皿,さら,plate,辺り,あたり,around,実物,じつぶつ,actual item,芝,しば,turf
歯,は,teeth,放す,はなす,let go,実用,じつよう,practical,斜面,しゃめん,slope
取る,とる,take,方向,ほうこう,direction,実力,じつりょく,real ability,若干,じゃっかん,slightly
宿題,しゅくだい,homework,望み,のぞみ,hope,実例,じつれい,illustration,弱,じゃく,weak
消える,きえる,disappear,望む,のぞむ,want,弱点,じゃくてん,weaknesses,主,ぬし,main
消す,けす,erase,防ぐ,ふせぐ,prevent,主語,しゅご,subject,主演,しゅえん,starring
登る,のぼる,climb,本物,ほんもの,genuine,主役,しゅやく,protagonist,主権,しゅけん,sovereignty
晴れ,はれ,sunny,満足,まんぞく,satisfaction,取り入れる,とりいれる,incorporate,主催,しゅさい,organizer
晴れる,はれる,sunny,無し,なし,none,手首,てくび,wrist,主食,しゅしょく,staple food
雪,ゆき,snow,無事,ぶじ,safe,受験,じゅけん,take the exam,主人公,しゅじんこう,main character
全部,ぜんぶ,all,無料,むりょう,free,終点,しゅうてん,the last stop,主体,しゅたい,subject
速い,はやい,fast,命,いのち,life,集合,しゅうごう,set,主題,しゅだい,subject
地下鉄,ちかてつ,subway,命じる,めいじる,command,重点,じゅうてん,focus,主導,しゅどう,initiative
飛ぶ,とぶ,jump,明ける,あける,dawn,重量,じゅうりょう,weight,主任,しゅにん,chief
庭,にわ,garden,明らか,あきらか,clear,出勤,しゅっきん,attendance at work,取り巻く,とりまく,surrounding
豚肉,ぶたにく,pork,明確,めいかく,clear,商業,しょうぎょう,commercial,取り除く,とりのぞく,remove
番号,ばんごう,number,迷う,まよう,get lost,商社,しょうしゃ,trading company,取り付ける,とりつける,install
美味しい,おいしい,delicious,鳴らす,ならす,ring,商店,しょうてん,store,取材,しゅざい,coverage
鼻,はな,nose,木曜,もくよう,thursday,少数,しょうすう,a few,守備,しゅび,defensive
部屋,へや,room,目指す,めざす,aim,消化,しょうか,digestion,手軽,てがる,easy
文章,ぶんしょう,sentence,目的,もくてき,purpose,消防,しょうぼう,firefighting,手元,てもと,at hand
返す,かえす,return,夜明け,よあけ,breaking dawn,乗車,じょうしゃ,ride,手順,てじゅん,procedure
方,かた,direction,役,やく,role,心身,しんしん,mind and body,手法,しゅほう,method
本当,ほんとう,TRUE,友情,ゆうじょう,friendship,森林,しんりん,forest,狩り,かり,hunting
無い,ない,no,有能,ゆうのう,efficient,深まる,ふかまる,deepen,趣,おもむき,taste
無くす,なくす,lose,昨夜,さくや,last night,深夜,しんや,midnight,趣旨,しゅし,effect
鳴く,なく,cry,予期,よき,anticipation,真っ暗,まっくら,pitch black,首脳,しゅのう,leaders
面白い,おもしろい,interesting,予算,よさん,budget,神様,かみさま,god,受け止める,うけとめる,take
遊ぶ,あそぶ,play,様子,ようす,state,神話,しんわ,mythology,受け入れ,うけいれ,accept
葉書,はがき,postcard,陽気,ようき,cheerful,親指,おやゆび,thumb,樹木,じゅもく,trees
留学生,りゅうがくせい,international student,理想,りそう,ideal,進路,しんろ,course,樹立,じゅりつ,established
緑,みどり,green,流す,ながす,shed,人命,じんめい,human life,収益,しゅうえき,revenue
練習,れんしゅう,training,流れ,ながれ,flow,図表,ずひょう,chart,収支,しゅうし,balance of payments
一昨日,おととい,day before yesterday,流れる,ながれる,flow,水準,すいじゅん,level,収容,しゅうよう,containment
一昨年,いっさくねん,two years ago,流行る,はやる,popular,水平,すいへい,horizontal,周期,しゅうき,period
黄色,きいろ,yellow,留学,りゅうがく,study abroad,水面,すいめん,water surface,就業,しゅうぎょう,employment
昨日,きのう,yesterday,量,りょう,amount,水曜,すいよう,wednesday,修了,しゅうりょう,completion
真っ直ぐ,まっすぐ,straight,例外,れいがい,exception,勢い,いきおい,momentum,終始,しゅうし,from beginning to end
側,がわ,~ side,列,れつ,column,正面,しょうめん,front,衆議院,しゅうぎいん,house of representatives
弟,おとうと,younger brother,列車,れっしゃ,train,線路,せんろ,line,襲う,おそう,attack
両親,りょうしん,parents,話し合う,はなしあう,discuss,全集,ぜんしゅう,complete works,襲撃,しゅうげき,raid
丸い,まるい,round,商人,しょうにん,merchant,想,そう,thoughts,集計,しゅうけい,totalling
本当に,ほんとうに,very,乗客,じょうきゃく,passenger,早速,さっそく,immediately,住,じゅう,housing
番,ばん,turn,数,すう,number,体育,たいいく,physical education,充実,じゅうじつ,fullness
お腹,おなか,stomach,全国,ぜんこく,nationwide,対立,たいりつ,conflict,従事,じゅうじ,engagement
違う,ちがう,wrong,他人,たにん,others,帯,おび,band,従来,じゅうらい,conventional
一緒,いっしょ,together,谷,たに,valley,退院,たいいん,discharge,柔軟,じゅうなん,flexible
汚い,きたない,dirty,毎月,まいつき,monthly,大通り,おおどおり,boulevard,宿命,しゅくめい,fate
奥さん,おくさん,wife,明後日,みょうごにち,day after tomorrow,短期,たんき,short term,塾,じゅく,cram school
押す,おす,push,面,めん,surface,短所,たんしょ,disadvantages,出演,しゅつえん,appearance
果物,くだもの,fruit,流行,りゅうこう,trend,断定,だんてい,assertion,出血,しゅっけつ,bleeding
過ぎ,すぎ,too,例,れい,example,地帯,ちたい,zone,出現,しゅつげん,appearance
皆さん,みなさん,everyone,明かり,あかり,light,竹,たけ,bamboo,出産,しゅっさん,childbirth
階段,かいだん,stairs,暗記,あんき,memorization,直後,ちょくご,immediately after,出世,しゅっせ,advancement
覚える,おぼえる,learn by heart,科目,かもく,subject,直線,ちょくせん,straight line,出動,しゅつどう,dispatch
甘い,あまい,sweet,協力,きょうりょく,cooperation,直前,ちょくぜん,immediately before,出費,しゅっぴ,spending
危ない,あぶない,dangerous,幸運,こううん,good luck,追加,ついか,addition,出品,しゅっぴん,listing
机,つくえ,desk,幸せ,しあわせ,happy,通勤,つうきん,go to work,盾,たて,shield
喫茶店,きっさてん,coffee shop,知り合い,しりあい,acquaintance,通行,つうこう,traffic,処置,しょち,treatment
吸う,すう,inhale,例える,たとえる,compare,通用,つうよう,acceptable,処罰,しょばつ,punishment
牛乳,ぎゅうにゅう,milk,次々,つぎつぎ,one by one,通路,つうろ,aisle,処分,しょぶん,disposal
狭い,せまい,narrow,問い合わせ,といあわせ,inquiry,定員,ていいん,capacity,所在,しょざい,location
靴,くつ,shoes,残す,のこす,leave,定期,ていき,regular,所持,しょじ,possession
靴下,くつした,socks,乗せる,のせる,put on,的確,てきかく,accurate,所属,しょぞく,belongs
警官,けいかん,policeman,引き受ける,ひきうける,undertake,天然,てんねん,natural,所定,しょてい,prescribed
結構,けっこう,very well,祭,まつり,festival,点数,てんすう,score,所得,しょとく,income
結婚,けっこん,marriage,回り,まわり,around,伝記,でんき,biography,所有,しょゆう,owned
個,こ,pieces,満点,まんてん,perfect score,田植え,たうえ,rice planting,庶民,しょみん,common people
呼ぶ,よぶ,call,満ちる,みちる,be full,電球,でんきゅう,light bulb,書評,しょひょう,book review
厚い,あつい,thick,向かい,むかい,opposite,電波,でんぱ,radio waves,諸君,しょくん,you guys
紅茶,こうちゃ,tea,虫歯,むしば,decay,電流,でんりゅう,current,女史,じょし,"lady, ms."
降る,ふる,fall,王,おう,king,登場,とうじょう,appearance,除外,じょがい,exclusion
今晩,こんばん,tonight,他,た,other,都心,としん,city center,勝手,かって,selfish
困る,こまる,in trouble,感,かん,feeling,当日,とうじつ,on the day,勝利,しょうり,victory
座る,すわる,sit,無,む,nothing,当番,とうばん,on duty,奨励,しょうれい,encouragement
財布,さいふ,wallet,化,か,to,童話,どうわ,fairy tale,小児科,しょうにか,pediatrics
咲く,さく,bloom,両,りょう,both,内科,ないか,internal medicine,小切手,こぎって,check
冊,さつ,book,内,ない,inside,南米,なんべい,south america,小柄,こがら,petite
雑誌,ざっし,magazine,愛,あい,love,日常,にちじょう,everyday,承諾,しょうだく,consent
子供,こども,child,愛する,あいする,love,能,のう,noh,昇進,しょうしん,promotion
辞書,じしょ,dictionary,愛情,あいじょう,love,農村,のうそん,rural,沼,ぬま,swamp
若い,わかい,young,以降,いこう,or later,農薬,のうやく,pesticides,照明,しょうめい,illumination
授業,じゅぎょう,class,依頼,いらい,request,畑,はたけ,field,症,しょう,disease
初めて,はじめて,first time,偉い,えらい,great,発想,はっそう,idea,衝撃,しょうげき,impact
寝る,ねる,sleepy,偉大,いだい,great,半島,はんとう,peninsula,証拠,しょうこ,evidence
辛い,つらい,spicy,囲む,かこむ,surround,反,はん,anti,証言,しょうげん,testimony
吹く,ふく,blow,意識,いしき,consciousness,番地,ばんち,address,証人,しょうにん,witness
生徒,せいと,student,移動,いどう,move,飛行,ひこう,flying,詳細,しょうさい,detail
静か,しずか,quiet,胃,い,stomach,筆記,ひっき,writing,象徴,しょうちょう,symbol
切符,きっぷ,ticket,衣服,いふく,clothes,筆者,ひっしゃ,writer,障る,さわる,disturb
洗濯,せんたく,washing,違い,ちがい,difference,表紙,ひょうし,cover,上がり,あがり,rise
掃除,そうじ,cleaning,違反,いはん,violation,負け,まけ,lose,上位,じょうい,top
窓,まど,window,医師,いし,doctor,部品,ぶひん,parts,上演,じょうえん,performance
大変,たいへん,hard,一層,いっそう,one more,風船,ふうせん,balloon,上空,じょうくう,sky
置く,おく,put,一般,いっぱん,general,物語る,ものがたる,tell,上昇,じょうしょう,rise
遅い,おそい,slow,印,しるし,mark,分量,ぶんりょう,quantity,上陸,じょうりく,landing
痛い,いたい,pain,印刷,いんさつ,printing,平日,へいじつ,weekday,丈,たけ,height
閉まる,しまる,close,印象,いんしょう,impression,放る,ほうる,throw,情,じょう,information
渡す,わたす,hand over,永遠,えいえん,forever,方面,ほうめん,direction,情勢,じょうせい,situation
渡る,わたる,cross,鋭い,するどい,sharp,防止,ぼうし,prevention,情熱,じょうねつ,passion
難しい,むずかしい,difficult,液体,えきたい,liquid,防犯,ぼうはん,crime prevention,条約,じょうやく,treaty
猫,ねこ,cat,越す,こす,go over,本部,ほんぶ,headquarters,譲歩,じょうほ,concessions
熱い,あつい,hot,延期,えんき,postponed,満員,まんいん,crowded,職員,しょくいん,staff
薄い,うすい,thin,演技,えんぎ,acting,無数,むすう,countless,職務,しょくむ,duties
晩,ばん,night,演劇,えんげき,theater,名所,めいしょ,famous place,色彩,しきさい,color
彼,かれ,he,演説,えんぜつ,speech,名物,めいぶつ,specialty,信者,しんじゃ,believers
彼ら,かれら,they,煙,けむり,smoke,明け方,あけがた,dawn,審議,しんぎ,deliberation
彼女,かのじょ,she,汚す,よごす,dirty,目次,もくじ,table of contents,審査,しんさ,examination
疲れる,つかれる,tired,奥,おく,in the back,夜間,やかん,night,心情,しんじょう,feelings
飛行機,ひこうき,plane,温泉,おんせん,hot spring,役者,やくしゃ,actor,心地,ここち,feeling
必要,ひつよう,necessary,加減,かげん,moderation,役所,やくしょ,government office,心中,しんじゅう,in my heart
封筒,ふうとう,envelope,可愛らしい,かわいらしい,lovely,役人,やくにん,official,振り返る,ふりかえる,look back
並ぶ,ならぶ,line up,可能,かのう,possible,役目,やくめ,role,振興,しんこう,promotion
並べる,ならべる,line up,果実,かじつ,fruit,薬局,やっきょく,pharmacy,振動,しんどう,vibration
閉める,しめる,close,課,か,division,薬品,やくひん,chemicals,新興,しんこう,emerging
便利,べんり,convenience,過ごす,すごす,spend,油断,ゆだん,be alert,新婚,しんこん,just married
帽子,ぼうし,hat,過去,かこ,past,有無,うむ,presence or absence,新人,しんじん,rookie
忘れる,わすれる,forget,過失,かしつ,negligence,予防,よぼう,prevention,新築,しんちく,new construction
忙しい,いそがしい,busy,解く,とく,solve,用語,ようご,the term,新入生,しんにゅうせい,freshman
磨く,みがく,polish,解ける,とける,unravel,理科,りか,science,深める,ふかめる,deepen
枚,まい,sheet,解決,かいけつ,solution,留守番,るすばん,caretaker,申告,しんこく,declaration
毎晩,まいばん,every night,解散,かいさん,dissolution,列島,れっとう,archipelago,真珠,しんじゅ,pearl
友達,ともだち,friend,回復,かいふく,recovery,録音,ろくおん,recording,真相,しんそう,truth
要る,いる,need,快適,かいてき,comfortable,和,わ,sum,真理,しんり,truth
欲しい,ほしい,want,害,がい,harm,等,とう,etc,紳士,しんし,gentleman
浴びる,あびる,take a bath,各,かく,each,両側,りょうがわ,both sides,親しむ,したしむ,get close
頼む,たのむ,ask,確認,かくにん,confirmation,温かい,あたたかい,warm,親善,しんぜん,goodwill
卵,たまご,egg,覚める,さめる,wake,温める,あたためる,warm,診療,しんりょう,medical treatment
涼しい,すずしい,cool,割る,わる,divide,当てはめる,あてはめる,apply,身の回り,みのまわり,personal belongings
冷たい,つめたい,cold,乾燥,かんそう,dry,植木,うえき,planting trees,進化,しんか,evolution
冷蔵庫,れいぞうこ,refrigerator,巻く,まく,roll,係わる,かかわる,involved,進行,しんこう,progress
塩,しお,salt,完成,かんせい,complete,区切る,くぎる,punctuate,進出,しんしゅつ,advance
可愛い,かわいい,cute,完全,かんぜん,perfect,退く,どく,retreat,進展,しんてん,progress
居る,いる,be there,完了,かんりょう,completion,先頭,せんとう,lead,人格,じんかく,personality
ころ,ころ,around,患者,かんじゃ,patient,ため息,ためいき,sigh,人材,じんざい,human resources
ごろ,ごろ,around,感覚,かんかく,sense,中身,なかみ,inside,人質,ひとじち,hostage
いいえ,いいえ,no,汗,あせ,sweat,話し合い,はなしあい,discussion,人体,じんたい,human body
匹,ひき,animal,管理,かんり,management,反映,はんえい,reflection,人柄,ひとがら,personality
余り,あまり,remainder,缶,かん,can,混ざる,まざる,mix,人民,じんみん,people
暖かい,あたたかい,warm,観察,かんさつ,observation,混じる,まじる,mix,迅速,じんそく,fast
降りる,おりる,get off,観念,かんねん,idea,集まり,あつまり,gathering,推進,すいしん,promotion
交差点,こうさてん,intersection,間違い,まちがい,error,都,と,capital,水田,すいでん,paddy field
段々,だんだん,gradually,関心,かんしん,interest,集,しゅう,collection,世帯,せたい,household
達,たち,tatsu,関連,かんれん,connection,移す,うつす,move,世代,せだい,generation
椅子,いす,chair,含む,ふくむ,include,移転,いてん,transfer,是正,ぜせい,correction
鉛筆,えんぴつ,pencil,願い,ねがい,wish,医療,いりょう,medical care,制,せい,system
掛かる,かかる,hang,願う,ねがう,wish,育児,いくじ,childcare,制裁,せいさい,sanctions
鞄,かばん,bag,希望,きぼう,hope,運河,うんが,canal,制定,せいてい,enactment
幾ら,いくら,how much,機能,きのう,function,園芸,えんげい,horticulture,制服,せいふく,uniform
貴方,あなた,you,帰宅,きたく,go home,延長,えんちょう,extension,制約,せいやく,constraints
鍵,かぎ,key,気の毒,きのどく,sorry,下降,かこう,descent,勢力,せいりょく,power
玄関,げんかん,entrance,気候,きこう,climate,加熱,かねつ,heating,成り立つ,なりたつ,it holds
砂糖,さとう,sugar,記念,きねん,anniversary,可,か,possible,成果,せいか,achievement
撮る,とる,picture,技師,ぎし,gishi,可決,かけつ,passed,成熟,せいじゅく,maturity
傘,かさ,umbrella,疑う,うたがう,doubt,課税,かぜい,taxation,政権,せいけん,administration
大丈夫,だいじょうぶ,fine,疑問,ぎもん,question,課程,かてい,course,政策,せいさく,policy
沢山,たくさん,lot,議会,ぎかい,parliament,貨物,かもつ,cargo,整える,ととのえる,arrange
脱ぐ,ぬぐ,take off,議長,ぎちょう,chair,過程,かてい,process,正解,せいかい,correct answer
誰,だれ,who,議論,ぎろん,discussion,過半数,かはんすう,majority,正規,せいき,regular
弾く,ひく,play,詰める,つめる,pack,解く,ほどく,solve,正義,せいぎ,justice
丁度,ちょうど,exactly,吸収,きゅうしゅう,absorption,解説,かいせつ,commentary,正常,せいじょう,normal
貼る,はる,stick,給料,きゅうりょう,salary,解答,かいとう,answer,正体,しょうたい,identity
締める,しめる,tighten,居間,いま,living room,解放,かいほう,release,正当,せいとう,legitimate
賑やか,にぎやか,busy,巨大,きょだい,huge,改めて,あらためて,again,生涯,しょうがい,lifetime
箸,はし,chopstick,許す,ゆるす,forgive,改める,あらためる,change,盛る,もる,serve
風呂,ふろ,bath,許可,きょか,permission,改札,かいさつ,ticket gate,精密,せいみつ,precision
弁当,べんとう,bento,供給,きょうきゅう,supply,改正,かいせい,amendment,聖書,せいしょ,bible
僕,ぼく,i,競技,きょうぎ,competition,改造,かいぞう,remodeling,声明,せいめい,statement
殆ど,ほとんど,almost,共通,きょうつう,common,灰,はい,ash,誠実,せいじつ,sincerity
本棚,ほんだな,bookshelf,叫ぶ,さけぶ,call out,灰色,はいいろ,gray,青春,せいしゅん,youth
立派,りっぱ,fine,強盗,ごうとう,robbery,各自,かくじ,each one,静止,せいし,rest
隣,となり,next,恐らく,おそらく,perhaps,各地,かくち,each place,税務署,ぜいむしょ,tax office
なぜ,,why,恐ろしい,おそろしい,that's horrible,格別,かくべつ,special,責務,せきむ,obligation
暇,ひま,free,恐怖,きょうふ,fear,覚ます,さます,wake up,赤字,あかじ,deficit
眼鏡,めがね,glasses,教師,きょうし,teacher,官庁,かんちょう,government office,切ない,せつない,painful
丈夫,じょうぶ,durable,胸,むね,chest,缶詰,かんづめ,canning,切実,せつじつ,desperate
風邪,かぜ,cold,努める,つとめる,strive,観測,かんそく,observation,接触,せっしょく,contact
嫌,いや,dislike,禁煙,きんえん,no smoking,関西,かんさい,kansai,折,おり,occasion
煙草,たばこ,tobacco,苦痛,くつう,pain,関東,かんとう,kanto,設置,せっち,installation
良い,よい,good,苦労,くろう,hardship,含める,ふくめる,include,設定,せってい,setting
叔父,おじ,uncle,備える,そなえる,prepare,危うい,あやうい,dangerous,設立,せつりつ,established
叔母,おば,aunt,偶然,ぐうぜん,by chance,寄せる,よせる,bring,節,せつ,section
嫌がる,いやがる,dislike,掘る,ほる,dig,幾,いく,how many,説く,とく,preach
あそこ,あそこ,over there,訓練,くんれん,training,期限,きげん,deadline,仙,せん,sen
あの,あの,that,軍,ぐん,army,機関,きかん,institution,先行,せんこう,preceding
あれ,あれ,that,傾向,けいこう,trend,気圧,きあつ,barometric pressure,先着,せんちゃく,"first come, first served"
こちら,こちら,here,敬意,けいい,respect,規律,きりつ,discipline,占領,せんりょう,occupation
こっち,こっち,here,景気,けいき,business,起床,きしょう,get up,宣言,せんげん,declaration
そして,そして,and,経つ,たつ,go through,議員,ぎいん,congressman,戦術,せんじゅつ,tactics
そちら,そちら,there,経営,けいえい,management,詰まる,つまる,clogged,戦闘,せんとう,fight
そっち,そっち,over there,経由,けいゆ,via,客席,きゃくせき,audience seats,戦力,せんりょく,strength
その,その,that,警告,けいこく,caveat,給与,きゅうよ,salary,繊維,せんい,fiber
それ,それ,"that, it",芸術,げいじゅつ,art,漁業,ぎょぎょう,fishing,船舶,せんぱく,ship
つまらない,つまらない,bored,劇,げき,drama,漁師,りょうし,fisherman,選挙,せんきょ,selection
とても,とても,very,劇場,げきじょう,theater,競馬,けいば,horse racing,選考,せんこう,selection
どう,どう,copper,欠席,けっせき,absence,境,さかい,border,鮮やか,あざやか,vivid
どっち,どっち,which,券,けん,ticket,境界,きょうかい,boundary,前提,ぜんてい,premise
どれ,どれ,which one,建設,けんせつ,construction,極力,きょくりょく,as much as possible,前例,ぜんれい,precedent
やる,やる,do,建築,けんちく,architecture,務める,つとめる,serve,措置,そち,measure
する,する,do,権利,けんり,right,近寄る,ちかよる,come close,素材,そざい,material
ちょっと,ちょっと,a little bit,肩,かた,shoulder,区域,くいき,area,素朴,そぼく,simple
いつも,いつも,everytime,見解,けんかい,opinion,群れ,むれ,flock,組み合わせる,くみあわせる,combine
どちら,どちら,which,賢い,かしこい,wise,形容詞,けいようし,adjective,組み込む,くみこむ,incorporate
いくつ,いくつ,how many,減らす,へらす,reduce,敬語,けいご,honorifics,訴訟,そしょう,proceedings
くれる,くれる,give me,減る,へる,decrease,警備,けいび,security,阻む,はばむ,block
ここ,ここ,here,現れる,あらわれる,appear,芸能,げいのう,entertainment,阻止,そし,stop
ある,ある,be,現金,げんきん,cash,血圧,けつあつ,blood pressure,僧,そう,monk
こと,こと,thing,現在,げんざい,current,血液,けつえき,blood,創刊,そうかん,first issue
なる,なる,become,現実,げんじつ,real,月給,げっきゅう,monthly salary,創造,そうぞう,creation
石鹸,せっけん,soap,現象,げんしょう,phenomenon,月末,げつまつ,the end of the month,創立,そうりつ,founded
それでは,それでは,well then,現場,げんば,on-site,県庁,けんちょう,prefectural office,壮大,そうだい,magnificent
どうして,どうして,why,現状,げんじょう,current situation,見舞う,みまう,visit,捜査,そうさ,investigation
うるさい,うるさい,noisy,現代,げんだい,present day,軒,のき,eaves,捜索,そうさく,search
あちら,あちら,there,限り,かぎり,as long as,現す,あらわす,reveal,操縦,そうじゅう,maneuver
あっち,あっち,over there,限る,かぎる,limited,現に,げんに,actually,争い,あらそい,conflict
まずい,まずい,unpalatable,限界,げんかい,limit,限度,げんど,limit,相応しい,ふさわしい,suitable
また,また,also,個人,こじん,individual,個体,こたい,individual,相場,そうば,market price
まだ,まだ,yet,呼び出す,よびだす,call,固まる,かたまる,harden,相対,そうたい,relative
もちろん,もちろん,of course,呼吸,こきゅう,breathing,交差,こうさ,crossing,総会,そうかい,general assembly
どこ,どこ,where,枯れる,かれる,wither,候補,こうほ,candidate,装飾,そうしょく,decoration
