K1,M1,W1,K2,M2,W2,K3,M3,W3,K4,M4,W4,K5,M5,W5
慶,"rejoice, delight, joy",,猛,"fierce, rave, rush",,芳,"perfume, favorable",,懲,"penal, chastise, punish",,郊,"outskirts, suburbs",
剣,"sabre, sword, blade",,腰,"hips, waist, lower back",,炭,"charcoal, coal",,踊,"dance, leap, jump",,幌,canopy,
彰,"patent, clear",,棋,chess piece,,丁,"street, ward, town",,冊,"counter for books, volume",,恒,"constancy, always",
眠,sleep,,揚,"raise, hoist, deep fry",,冒,"risk, face, defy, dare",,之,"of, this",,勇,courage,
曽,"formerly, once, before",,械,"machine, instrument",,倫,"ethics, companion",,陳,"exhibit, state, relate",,憶,"recollection, think",
怖,"fear, dreadful, fright",,犬,dog,,菜,"vegetable, side dish",,耳,ear,,潜,"submerge, conceal, hide",
珍,"rare, curious, strange",,梨,pear tree,,仁,"humanity, virtue",,克,"overcome, kindly",,岳,"point, peak, mountain",
概,"outline, condition, approx.",,拘,"arrest, adhere, restrict",,墓,"grave, tomb",,黙,silence,,須,"by all means, necessarily",
偏,"partial, side, incline",,雰,"atmosphere, fog",,卵,egg,,遇,"meet, encounter, treat",,湖,lake,
諮,consult with,,狭,"cramped, narrow, tight",,喫,"consume, eat, drink, smoke",,卓,"eminent, table, desk",,干,"dry, parch",
頂,"receive, top, peak",,虫,"insect, bug",,刷,"print, brush",,亀,"tortoise, turtle",,糧,"provisions, food",
梶,sculling oar,,湯,"hot water, bath, hot spring",,箱,"box, chest, case, bin",,簿,"register, record book",,炉,"furnace, kiln, reactor",
牧,"breed, care for",,殊,"particularly, especially",,殖,"augment, increase",,艦,warship,,溶,"melt, dissolve",
輩,"comrade, fellow",,穴,"hole, aperture, slit",,奇,strange,,慢,"ridicule, laziness",,鶴,"crane, stork",
謀,"conspire, plot, scheme",,暖,warmth,,昌,"prosperous, bright, clear",,拍,"clap, beat",,朗,"clear, bright, serene",
丈,"length, height, stature",,鉱,"mineral, ore",,寛,"tolerant, lenient, relax",,覆,"capsize, cover, shade",,胞,"cell, placenta",
泣,"cry, weep, moan",,涙,"tears, sympathy",,隔,"isolate, alternate, distance, separate",,浄,"clean, purify, cleanse",,匹,counter for small animals,
没,"drown, sink, hide, die",,暇,"spare time, rest",,肺,lungs,,孫,"grandchild, descendants",,貞,"upright, chastity",
靖,peaceful,,鑑,specimen,,飼,"domesticate, raise, keep",,陰,shade,,銘,"inscription, signature",
鋭,"pointed, sharp, edge",,随,"follow, obey, comply",,烈,"ardent, violent",,尋,"inquire, fathom, look for",,渕,edge,
稿,"draft, copy, manuscript",,枝,"branch, twig, limb",,丹,"rust-colored, red",,啓,"disclose, open, say",,也,"to be, fairly",
丘,"hill, knoll",,棟,"ridgepole, ridge",,壌,"lot, earth, soil",,漫,cartoon,,玄,deep,
粘,"sticky, glutinous, greasy",,悟,"enlightenment, discern",,舗,"shop, store, pave",,妊,pregnancy,,塗,"paint, plaster",
熟,"mellow, ripen, mature",,軒,"flats, eaves",,旭,"rising sun, morning sun",,恩,"grace, kindness, favor",,毒,"poison, virus",
騰,"leaping, rising, seething",,往,"journey, travel",,豆,beans,,遂,"accomplish, attain",,晩,"nightfall, night",
狂,"lunatic, insane, crazy",,叫,"shout, exclaim, yell",,栃,horse chestnut,,岐,branch off,,陛,highness,
緯,"latitude, particulars",,培,"cultivate, foster",,衰,"decline, weaken",,艇,boat,,屈,"yield, bend",
径,"diameter, path, method",,淡,"thin, faint, pale, fleeting",,抽,"pluck, pull, extract, excel",,披,"expose, open",,廷,courts,
錦,"brocade, fine dress",,准,"quasi-, semi-, associate",,暑,"sultry, hot, heat",,拝,"worship, adore",,磯,"seashore, beach",
奨,"urge, encourage",,妹,younger sister,,浸,"immersed, soak, dip",,剰,"surplus, besides",,胆,"gall bladder, courage",
氷,"icicle, ice, hail, freeze",,繊,"slender, fine, fiber",,駒,"pony, horse",,乾,"dry, dessicate",,虚,"void, empty",
棒,"rod, stick, cane, pole",,寒,cold,,孜,industriousness,,霊,"spirits, soul",,帳,notebook,
悔,"repent, regret",,諭,"rebuke, admonish, charge",,祈,"pray, wish",,惨,"disaster, cruelty",,虐,"tyrannize, oppress",
翻,"flip, turn over, wave, flutter",,墜,"crash, fall",,沼,"marsh, lake, bog, swamp",,据,"set, install, lay, equip",,肥,"fertilizer, get fat",
徐,"gradually, slowly, gently",,糖,sugar,,搭,"board, load, ride",,姉,elder sister,,髪,hair of the head,
忙,"busy, occupied",,盾,"shield, defy",,脈,"vein, pulse, hope",,滝,"waterfall, rapids",,拾,"pick up, gather",
軌,"wheel, track, model",,俵,"bag, bale, sack",,妨,"disturb, prevent",,盧,hut,,粉,"flour, powder, dust",
擦,"grate, rub, scratch, scrape",,鯨,whale,,漢,china,,糸,thread,,荘,"villa, inn, cottage",
諾,"consent, agree",,雷,"thunder, lightning",,漂,"drift, float",,懐,"feelings, heart, yearn",,勘,"intuition, perception",
綿,cotton,,栽,plantation,,才,"genius, years old ",,拐,"kidnap, falsify",,笠,bamboo hat,
