Subtitle1,Translation1
入ったらいけないんです 入ったほうが 失礼なんだと⸺ 思ってるんで,So I mustn't enter it. I think it would be an affront to them.
だから 僕は 家事が 好きっていう子が⸺ いいんじゃないかって 最近 思ってます,That's why I've been thinking I want to be with someone who likes housework.
こういうこと言うから たぶん⸺ 結婚できないのかも しれないですけどね,"I say stuff like this, which is probably why I can't get married."
うまいことやっといて くださいよ ここ,So work your magic.
聞こえますか？,-Can you hear me? -Yes.
（アツシ）聞こえました　どうも,I can hear you. Go ahead.
でも イヤホン切れたあとも ずっと聞こえてたんで （アツシ）聞こえてた？ （モトミ）聞こえてた,-I heard you after your earphone died. -You heard me?
一人しゃべりが始まるんだと 思って感動してました,It was touching that you started talking alone.
（アツシ）なるべくね ちょっと あの 退屈な時間を⸺ 減らしたいなと思ってさ,I wanted to keep you from getting too bored.
（モトミ）優しい （アツシ）いやいやいや,"-That's so nice. -No, no."
（モトミ）動物は好きですか？,Do you like animals?
（アツシ）そう 何かね あの… 最初は 好きっていうか⸺ 見てるのが かわいいなと思ってて,"I don't know that I like them, but I think they look cute."
でも 好かれてんだか いじりたいのか 何かね,I don't know if they like me or like playing with me.
寄ってくるんですよ すぐ （モトミ）うんうん （アツシ）ぶわあっと来て,But they're immediately drawn to me.
（モトミ）でも 何か そうやって動物から⸺ 好かれてるのいいですね,It's nice that animals like you.
動物から好かれますね 俺 子供とかも すごい好かれるもんね,They do. Kids too. They love me.
（モトミ）あっ そうなんだ,They do. Kids too. They love me. They do?
（アツシ）何かこう あれは？ ホームパーティーみたいなのは やるの？,Do you ever have dinner parties?
あっ ホームパーティー やりますよ （モトミ）よく （アツシ）やるんだ,I often do.
え？　料理… 料理好きなの？,Do you like cooking?
（モトミ）料理大好き そう （アツシ）うわっ,I love cooking.
（モトミ）だから ホムパして,"Yeah, that's why I like having parties."
ええっ 自分で作ってってこと？,You mean you cook it yourself?
そうです そうです 友達も 料理得意っていうか⸺ 好きな子 多いから⸺,Yes. Lots of my friends are good at cooking or enjoy it.
何か みんなで 作ってみたいな感じでしてます,So we all get together and cook.
ただいま,I'm back.
（マキ）誰だった？ （モトミ）アツシさん,-Who was it? -Atsushi.
イヤホンが 聞こえてない間⸺ 何か モトミちゃんが 寂しくないように⸺ みたいな感じで １人で話すねって言って,When his earphone cut out he kept talking on his own so I wouldn't be lonely.
感動して　私 メモに⸺ “イヤホン切れたあとの 優しさ”って書いた,"I was touched, so I wrote down, ""Kindness after earphone died."""
（マキ）モトミちゃんだけは 聞こえてたの？,"-Only you could hear? -Yeah, I could hear him."
（モトミ）そう 私は聞こえてて 向こうだけ聞こえてなくて,"-Only you could hear? -Yeah, I could hear him. He just couldn't hear me. I'm so moved."
何か 感動しちゃった,He just couldn't hear me. I'm so moved. -How so? -That alone made my heart leap.
え？　何かそれだけで 何か ビューッて,-How so? -That alone made my heart leap.
（マキ）爆上がりだよね （モトミ）爆上がり,Bonus points for sure.
（アツシ） モトミさんこそ その… ホームパーティー やったり自分で…,Motomi even has dinner parties.
僕 最初 ケータリングで 取るのかなと⸺ 思ってたんですけど 自分で料理して出すって 言うので⸺,"At first I thought she got catering, but she cooks and serves it herself."
そこは “あっ 合うな” …っていうのが⸺ あったんですよね,I think we're well-matched there.
あれ？　これは あるかもなっていう…,"It was like, ""There could be something there."""
（リョウタロウ）こんにちは,-Hello. -Nice to meet you.
（モトミ）はじめまして （リョウタロウ）リョウタロウです,-Hello. -Nice to meet you. -I'm Ryotaro. -Ryotaro? I'm Motomi.
（モトミ）あっ リョウタロウさん　モトミです,-I'm Ryotaro. -Ryotaro? I'm Motomi.
（リョウタロウ）座ってます？ 座りながらしゃべってます？,Are you sitting down? Are you talking while sitting?
え？　座りながら話してますよ え？　立ってんの？,I'm sitting. Are you standing?
いやいや いやいや 立ってないですよ 何か⸺ もう ウロウロ回ってたら どうしようとか思って,"No, no. I'm not standing, but I was worried about spinning around."
ええ リョウタロウで 32歳で,"FROM FUKUOKA I'm Ryotaro. I'm 32, and a hairstylist in Harajuku."
あの 原宿(はらじゅく)で 美容師してます,"I'm Ryotaro. I'm 32, and a hairstylist in Harajuku."
その人のステータス やってることとか⸺ その 見た目とか やっぱ そういうのが⸺ 重要視しがちだと 思うんで,"I tend to focus on a person's status, what they do, and how they look."
心底 信頼し合えて リスペクトし合える 何か 絶対そういう いい出会いが⸺ あると思ってます 僕は,I think I'll definitely meet someone with whom I can share trust and respect.
もう信じ込んでますよ 勝手に,I believe I will. I just do.
自分の長所と短所って 何だと思います？,What do you think are your strong and weak points?
自分の長所と短所…,My strong and weak points?
何ですか？　ちなみに 長所と短所ってあります？,"Well, what are yours? Do you have any?"
私は 長所は⸺ う～ん… よく笑うと思います たぶん,I think a strong point of mine is that I laugh a lot. Probably.
めっちゃいいじゃないすか,That's great.
（リョウタロウ） 最高ですね ツボが浅い ツボが浅いから ツボが浅い ツボが浅いから,I laugh easily. That's why.
まだ じゃあ 今 一回も笑ってないってことは… まだ何のツボにも 入らなかったってことっすよね,"If you don't laugh at least once, I'm doing something wrong."
結構 笑ってるよ 笑ってる 笑ってる,I'm laughing quite a bit.
（リョウタロウ） 見えないからね 笑ってるのが （モトミ） そっか そっか そっか 確かに,"-I can't see, so I can't tell. -Right. That's true."
まっ 長所っていうか まあ 僕⸺ あんまり怒ったりとか そういうのはしないかもです,One of my strong points is probably that I don't really get upset.
（モトミ）へえ～ （リョウタロウ）そういう… 短所は…,A weak point would be
短所は でも ちょっと頭が固いっていうか ちょっと頑固なところは あるんですよ,that I can be a bit stubborn or rigid.
何か 他にも こういうのも あったりとかするけど⸺ 何か 結構…,"I mean, there are also other ways"
何か そういう １個のやつを頑固に…,I can stubbornly stick to one thing.
こうじゃないと ダメかもみたいな,"Like, ""I need it this way."""
うん 感じにはなります,I can be like that.
でも 何か それ 長所にもなりますね 芯があるのは,"That could also be a strength, having willpower."
自分に芯があるのは⸺ 優しい… そんな優しい返しを してこられるとは思わなかった,-Having strength like that. -I didn't think you'd respond so kindly.
短所を優しく 長所に持ってってくれる,You're kind to turn my weakness into a strength.
相当… すごい今 相当 すごい返しでしたよ,That was such a great response.
（モトミ）ホントですか？ （リョウタロウ）はい,-Really? -Yes.
“僕の短所は こういうとこです” …みたいな 話をしてる時に⸺,When we were talking about where I'm weak
“あっ でも それって” …って結構 秒で⸺,she turned it around in seconds.
すぐ “それってでも⸺”,"she turned it around in seconds. When she turned it into a good quality,"
“こだわり強くで いいとこですよね”みたいな⸺ 切り返しをされた時に⸺,"When she turned it into a good quality,"
何か 自分だったら それ できるかなとか思った時に⸺ すげえなっていう,I wondered if I'd be able to do that. It's fantastic.
見えなくても 全然 こう⸺ 魅力って伝わるなっていうのを 思ったんで,I realized charm can be conveyed even when you can't see somebody.
それは面白いっす ホントに やってて面白い,It was really cool to do that.
でも 変な今まで使ってない 脳みそ使ってる感じがして⸺,It's strange. It's like I'm using my brain in a brand-new way.
めっちゃ脳が痛いです はい,My brain is seriously hurting.
（マキ）じゃあ そのまま吐いて⸺,35 DAYS UNTIL THE WEDDING
肘を膝の上に乗せて…,"Rest your arm on your thigh, then this way."
（ユウダイ） タクミのマッスルジム,Straight to strength training.
（タクミ）後ろに くるっ そう １ ２,"Bring it here. One, two…"
（オダッチ）こんにちは （ナナコ）こんにちは,-Hello. -Hi.
（オダッチ）オダッチです （ナナコ）あっ オダッチ,"It's Odacchi. Oh, Odacchi."
オダッチ…,"Oh, Odacchi."
（オダッチ）ああ オダッチ （ナナコ）オダッチだ,"-""Oh, Odacchi."" -It's Odacchi."
（オダッチ）昨日 何して過ごしてたんですか？,How did you spend the day yesterday?
あの ホントにガチで 熱中症になっちゃって,I got a bit of heatstroke.
（オダッチ）熱中症？ （ナナコ）アハハハハッ,Heatstroke?
何か オダッチと話した時が 最高潮に面白いてなったけど そこで 熱中症になったかもしれん,"It was critically funny when we spoke, so maybe that's why I got it."
（ナナコ）うわあって熱くなって （オダッチ）誰が… 俺の…,I overheated.
俺の暑さ そっち伝わってた？,Did my heat transfer over there?
うん もう笑いすぎて 熱中症になったかもしれん うん もう笑いすぎて 熱中症になったかもしれん （オダッチ）ごめんね,-I got heatstroke from laughing too much. -Sorry about that.
（オダッチ）ごめんなさい （ナナコ）いえいえ いえいえ,-I got heatstroke from laughing too much. -Sorry about that. No worries.
（オダッチ）ナナコさんの… （ナナコ）はい,-Nanako. -Yes?
（オダッチ） 嫌いなもの教えてください,Tell me what you dislike.
ああ 何か酒癖が悪い人？ ギャンブルする… ギャンブルもそう,People with bad drinking habits. Gambling too.
（ナナコ）酒癖 ギャンブル （オダッチ）酒 ギャンブル,Drinking and gambling?
別に ギャンブルしちゃ いけないとかじゃないけど⸺ （ナナコ）その限度？ （オダッチ）うんうん,I don't mean no gambling. There are just limits.
（オダッチ）ギャンブル狂いね （ナナコ）うんうん,-Like crazy about gambling? -Right.
（オダッチ）ギャンブル 狂わなければいいってことね,You shouldn't be crazy about gambling?
（ナナコ）うんうんうん,Right.
（オダッチ）どんな あの… 結婚がしたいですか？,What kind of marriage do you want?
まあ 何か 仲良い家族に すごい憧れるかも,I'd love a family that really gets along.
じ… えーと… ナナコちゃんの 家族は どうなんすか？,What's your family like?
（ナナコ）仲が 悪いわけじゃないけど やっぱ⸺,"I wouldn't say we don't get along,"
父親はそんなに… やっぱ無口というか⸺,"I wouldn't say we don't get along, but my dad is what you might call the silent type, an old-school Kyushu guy."
九州男児な感じだから,"but my dad is what you might call the silent type, an old-school Kyushu guy."
そう まあ 自営してたのもあるから⸺ お父さんがあんま 家にいなかったとかで⸺,"He also ran a business, so he wasn't home much."
ねっ 子供たちが 休みだなとかなった時も⸺ あんまり 一緒に どっか 行くとかができなかったから,"When I was a kid, we couldn't really go anywhere together on days off."
（オダッチ）そうなんや できたらいいなって思うかな,-I see. -I'd like to be able to do that.
（オダッチ）いいね （ナナコ）うん,That's nice.
（オダッチ）今まで すごい気を遣って⸺,I thought she was being polite
笑ってるみたいなふうに 感じたのね,when she laughed.
…で 今日 話したら⸺ オダッチの一番 笑って… まあ 笑えて⸺,Then today she said she laughed the most with me
すごい 笑い疲れて あれで熱 上がって⸺ 熱中症になっちゃったって,and that she laughed so hard she overheated and got heatstroke.
何か 元気にしてあげたいっていう 気持ちになった,I wanted to cheer her up.
（シュンタロウ）おお 何か それって いい気持ちじゃん 何か 元気にしてあげたいって,"That's got to feel great, wanting to cheer someone up."
恋が始まる音がしたよ,I hear a romance beginning
だって 合計で まだ２時間も しゃべってないでしょ ３時間かな,"I mean, we haven't even talked for more than two or three hours total."
その人と こんなことになるかな 普通に話してたら,This wouldn't happen normally.
ならない 絶対ならない,There's no way it would.
その人の姿が見えないから 声から分かる その人の中を⸺,"I can't see how she looks, so I want to learn who she is from her voice."
見たいと思うんですよ まあ ちょっと⸺,so I want to learn who she is from her voice. It's kind of a contradiction. I want to see her because of the wall.
矛盾ですけど 壁があるから 見たいって思うのが⸺ 働くじゃないですか,It's kind of a contradiction. I want to see her because of the wall.
でも それが姿じゃなくて 見えるのが⸺,But it isn't her appearance that I can see.
言葉から分かる 心の中の形みたいな,It's the shape of her heart from her words.
その人の本質とか⸺ 大事にしてるもの みたいなものが⸺,"I can see the essence of who she is, what she considers important."
こう… 見える ホントに 見えたなっていう感じですね,"I can see the essence of who she is, what she considers important. It feels like I really saw that."
（ミナミ）すごい変なこと 聞いていいですか？ 好きな みそ汁の具って 何ですか？,Can I ask something really weird? What's your favorite miso soup ingredient?
うわあ もう面白い,Can I ask something really weird? What's your favorite miso soup ingredient? Interesting.
（ミナミ）好きな みそ汁の具 何ですか？,What's your favorite miso soup ingredient?
ああ 迷う…,That's tough.
（ミナミ）何か 私 すごい男性たち側でさ⸺,"RYOGA, 30 REAL ESTATE I heard the guys were saying I love cooking, right?"
料理好きみたいに なってるでしょ？,"I heard the guys were saying I love cooking, right?"
みそ汁の具 聞いてるの私だよ,I'm the one asking for miso ingredients.
（リョウガ）あなたか （ミナミ）ハハハハッ,You?
そう みそ汁の具 聞いてるの私,"Yes, I'm asking for miso ingredients."
ミナミです えっと… 26歳で⸺,I'm Minami. I'm 26 and turn 27 next week.
来週 27歳になります,I'm Minami. I'm 26 and turn 27 next week. FROM TOKYO
あっ この人カッコいい つきあおう でも 何かやっぱ この人 中身こうだった,"So many times, I'll think a guy is cool and date him."
やっぱダメだなが 多かったんですよ,But then he turns out to be a jerk.
だけど逆に 中身を知っておけば⸺ ここ別に嫌じゃない ここも嫌じゃない,"If I get to know him first instead, and find various things I like about him,"
でも 見た目… あっ 別に全然 平気 …ってなるのかなって 思ったんですよね,maybe it won't matter how he looks.
もう友達にも 次 会う時⸺ 人妻だからって 言ってきてるんで,"I told my friends when they see me next, I'll be a married woman."
（ミナミ）こんにちは （モリ）こんにちは,-Hello. -Hello.
（ミナミ）あっ はじめまして （モリ）あっ はじめまして,-Nice to meet you. -Nice to meet you too.
（ミナミ）ミナミです （モリ）モリと言います,-I'm Minami. -I'm Mori.
（ミナミ）座っていいですかね （モリ）僕 座っちゃいました （ミナミ）ホントですか？,-Is it okay if I sit down? -I'm already sitting.
（ミナミ）じゃあ 座ります （モリ）すいません 先に,-Really? I'll sit down then. -Sorry about that.
ごめんなさい （ミナミ）すごい 緊張しちゃって…,-Sorry. -I'm so nervous.
モリさんは 何されてるんですか？,What do you do?
（モリ）僕は あの 医療関係なんですよ （ミナミ）ああ そうなんですね （モリ）はい,"-I'm in medicine. -Yes, I see."
医者… お医者様とかではなくて？ （モリ） ああ　そうです そうです,-A doctor? -I am.
（ミナミ）あっ お医者様ですか （モリ）はい,You're a doctor?
（ミナミ） ああ そうなんですね すごーい,"-Yes. -Oh, wow."
モリと申します,FROM FUKUOKA
年齢は37歳で 今年 38歳で,I'm Mori. I'm 37 and turn 38 this year.
結婚ていうものが⸺ なかなか その 自分の中で⸺,I was never really able to picture marriage
今まで思い描けてなくて,I was never really able to picture marriage before now.
まあ この年齢なので⸺ 周りは どんどん 結婚していきますし,"At this age, everybody around me is getting married."
周りの人に言われるのは⸺,They tell me
まあ 結婚したいと思える人に⸺,that I haven't met the right person yet.
まだ出会ってないんじゃないの？ …っていうふうに結構 言われる,that I haven't met the right person yet. Quite often.
まあ もし ホントに そうなのであれば⸺,"If that really is true,"
そういった出会いがあれば いいなと…,I'd like to meet that person.
もともと 僕 美容師になろうと 思ってたんですよ,I used to want to be a hairstylist.
そう で⸺,Yeah.
ちょっと いろいろ 家庭の事情とかがあって⸺,There was a lot going on with my family situation.
まあ あの… 医者になるって決めて,So I decided to become a doctor.
ちなみに その 家の関係でっていうのは⸺ もしかして お母様 お父様も お医者様とかですかね,"By ""family situation,"" do you mean your parents are doctors too?"
あっ いや 全然 うち あの 僕のうちって韓国… 韓国人で,Not at all. My family is Korean.
（ミナミ）そうなんですね （モリ）はい,-You are? -We're Koreans in Japan.
（モリ）在日韓国人で （ミナミ）ああ そうなんですね,-You are? -We're Koreans in Japan. -I see. -Yeah.
（モリ）そうなんですよ,-I see. -Yeah.
（ミナミ）そう 私 実は韓国とハーフなんですよ,I'm actually half-Korean.
（モリ）そうなんですか？ （ミナミ）そうなんです,"-Really? -Yes, I am."
だから 今 すごいびっくりしました へえ 何か 親近感 湧くな,-I'm so surprised. -It gives me a sense of kinship.
えっ でも 在日韓国人っておっしゃってて,He said he was a South Korean resident.
…で 私が韓国とハーフで,And I'm half-Korean.
私自身 ハーフであることを 結構 コンプレックスに⸺,I've felt insecure about being half Korean.
感じてる部分があったから もしかしたら 向こうも⸺,I've felt insecure about being half Korean. Maybe he has the same sort of complex.
同じコンプレックス 持ってるんじゃないかなって⸺ 思ったんですよ,Maybe he has the same sort of complex.
何か そこの話を もう ちょっと⸺ 深掘りしたいなとは 思いました,I want to delve a little deeper into that.
（モリ）韓国人と日本人の ハーフだっていうことで,"She's half Korean, half Japanese."
その辺が ちょっと 共通点があったりとか⸺,We have something in common there.
かなり うれしいなっていうことで⸺,I'm pretty happy about that.
結構 頭に残ってますね,She really made an impression.
考え方が しっかりしてそうだなとか⸺,The way she thinks seems solid.
そういうことは すごく思いましたね,I really thought so.
（ミドリ）おはようございます おはようございます？ （ワタル）おはようございます （ミドリ）こんにちは？,-Good morning. Is it morning? -Hello.
（ワタル）こんにちは ワタルです （ミドリ）あっ ワタルさん,"-Hi, this is Wataru. -Wataru?"
ルパン心配じゃないですか？ 離れて,Are you worried about Lupin?
（ミドリ）ルパン めっちゃ心配 （ワタル）だろうねえ,-The separation? -I'm so worried about Lupin!
ありがとう 覚えててくれてた名前,-Of course. -Thanks for remembering his name.
ルパン？ そんな忘れるわけないでしょ こんなインパクトな名前,Lupin. How could I forget such an impactful name?
そうだ　ハロウィンで着るとか 言ってたかもしれない,"Yeah, I probably said I'd wear it for Halloween."
（ワタル）そうそうそう （ミドリ）ヤバ （ワタル）ちょっと待ってよ （ミドリ）覚えられてる,-I can't believe you remembered. -Hang on.
すごいステレオタイプな 話なんだけど,This is a massive stereotype.
（ミドリ）うん （ワタル）名古屋(なごや)って言ったじゃん,"-You said Nagoya, right? -Yes."
名古屋の方って何となく こう…,I think that a lot of people from Nagoya
うちに向いてる感な方が 多いなっていうふうに⸺ 思ってたりするんだけど,are somewhat introverted.
（ミドリ）あっ でも 昔はホントそうだった,"Well, that is true."
中高大同じ つながってる女子校に⸺ 行ってみたいな感じで ホントに⸺,I went to junior and senior high at an all-girls private school.
こう 籠の中で 育った女の子っていう⸺ 感じだったんですよね,I'm like a little girl who was brought up in a gilded cage.
（ワタル） お嬢な感じのイメージできます,You were pampered then.
（ミドリ）そうそう ホント そうそう そうそう 私は それが 結構 耐えられなくて⸺ 大学 出た感じだったんですけど,"Yes, I really was. I couldn't stand it, so I went away to college."
ミドリさん 歩き回ってるでしょ？,Are you walking around now?
（ミドリ）えっ 分かります？ ウソ？　やめよう ちょっと 何かさ 座ってられなくて⸺ ドキドキしてて,You can tell? No way. I should stop. I can't sit down. My heart is racing.
うちの犬の名前を ホント すぐ出してくれて “あっ ルパン？”みたいな 覚えてくれてて,"He just immediately remembered my dog's name, like ""Lupin""?"
そこから 何か ずっとドキドキしてて 何か落ち着かなくて⸺,My heart kept racing after that and I couldn't calm down.
立ちながら 最初 話したりしてて “立ったでしょ？”とか 言われて⸺ バレてるとか思って,I was standing and he figured it out.
そう 何か 終始ドキドキしてて,Yeah. It was pounding the whole time.
何か こう ボディーランゲージとかが⸺ どんな感じかは知りたいかも,I want to know what your body language is like.
（ミドリ）何か 結構⸺ （ワタル）ボディーランゲージ…,I want to know what your body language is like. -Body language? -Like how you show affection.
（ミドリ）愛情をこう… 愛情表現のしかたというか,-Body language? -Like how you show affection.
（ワタル）僕は結構 あの⸺ それこそ 分かってるかもしれないですけど アメリカナイズされてる 部分があるんで⸺,"You probably understand this, but I'm quite Americanized."
結構 あの 愛情表現で 手つないだりとか⸺,"So to show affection,"
ハグしたりとか キスしたりとかするほうです,"I'm a hand-holding, hugging and kissing type."
あっ ホント？ それはね めっちゃよかった,Really? That's great.
ワタルさん？ ワタルさんだった （ミナミ）どうでした？ （トシエ）どうだった？,-Wataru… Yeah. -How was it?
（ミドリ）楽しかった すごいドキドキしちゃった,It was fun. My heart was racing.
（トシエ）おお （ミナミ）ドキドキ？,-Racing? -Racing?
（トシエ）ドキドキ？ （ミドリ）ドキドキしちゃった,-Racing? -Racing? It was really just like a normal date.
ホントに普通に デートしてるみたなね,It was really just like a normal date.
すごい普通に ドキドキしちゃった,My heart was really racing.
（ワタル）いや なかなか その みんなの参考にして⸺ 質問もさ 内容を考えてさ,"Seeing what everybody else is asking,"
何か イケてない感じするな …みたいなふうに思って,I feel like a loser.
何か だんだん 年齢 経て⸺ まあ その 許容範囲が広がって⸺,"That's because as you age, your tolerance grows."
理解できる度合いも 広がるから,Your understanding grows too.
あんまり好き嫌いとか ぱって決まらなくて⸺,Your likes and dislikes aren't that clear.
どういう人 好きだっけなみたいな,"-It's like, ""What was my type again?"" -Yeah."
（ワタル）今… 今 その迷路に迷って…,-I'm in that maze right now. -Right?
みんな いいとこあって みんな いいみたいな雰囲気だし,It's like everybody is good.
もうね どこを見るかみたいに なってきちゃうもんね,-It's hard to know what to look for. -Right.
何か自分にとって恋人と 家族ってどういうとこ… 俺は…,"Like, to me, what a romantic partner is…"
何か どう… その ふっと…,To think for a second…
パートナーの人に寄るって どういう状態みたいな そうそう そうそう,-What is a partnership like? -Exactly.
（リョウタロウ） そうだ 聞きたいことね （リョウタロウ）何か もう （モトミ）うん,I want to ask you something.
まだ やっぱ情報が 少ないから⸺,I don't have a lot of information.
（モトミ）うんうんうん,"MOTOMI, 27 ADVERTISING SALESPERSON"
（リョウタロウ）何個か ぱぱぱぱっと聞いてもいい？,Can I just rapid-fire some questions?
（モトミ）全然いいですよ,Absolutely.
モトミさんて何て 呼ばれてるの？　みんなから,What does everyone call you?
（モトミ）モトミか モトミちゃんか⸺,"Motomi, Motomi-chan."
あと ココロミって書くから ここちゃんとか…,"""Kokomi"" is another way to read my name, so also Koko-chan."
ココミって書くって？,Kokomi?
漢字が 心に美しいって書いて モトミって読むんですよ,"It's written with the characters for ""heart"" and ""beautiful."" -But it's pronounced ""Motomi."" -What a great name."
（リョウタロウ） めっちゃいい名前じゃん,"-But it's pronounced ""Motomi."" -What a great name."
ありがとうございます お母さんに感謝 きっと 心が 美しい人になってるんでしょう,-Thank you. Thank my mom. -You must have a beautiful heart.
（モトミ）じゃあ はい （リョウタロウ）はい どうぞ,My turn. Go ahead.
えーと… アウトドア派かインドア派か,Are you an indoor or an outdoor person?
ああ もう 完全アウトドアだよ,"Outdoor, hands down."
（リョウタロウ）そう （モトミ）私も,Me too.
あっ あと 私 チンチラ飼ってる話 したっけ？ （リョウタロウ）してない,-Did I tell you I had a pet chinchilla? -No.
めっちゃ かわいいじゃん チンチラって あの⸺ 尻尾の長い あれだよね,"They're so cute. They have long tails, right?"
そうそう ふわふわのネズミちゃん,"Yes, the fluffy little rodent."
（リョウタロウ）昔 飼ってたもん （モトミ）えっ？,I had one.
（モトミ）ウソ （リョウタロウ）うん,-No way! -Yeah.
待て チンチラの話をして 知ってる人 誰もいなかったよ,Nobody ever knows what chinchillas are when I talk about them.
（リョウタロウ）チンチラはね 昔 家で飼ってたよ　家でってか…,I had one at home a long time ago.
家族でね 実家で飼ってた,"-At your family's? -Yes, it was a family pet."
めっちゃかわいかったね,It was so cute.
そう 今 私 一人暮らしだけど飼ってて⸺,"I live alone now, so I got one."
（リョウタロウ）へえ　すごい （モトミ）そう,"I live alone now, so I got one. -That's cool. -Yeah, it's so cute."
（モトミ）すごいかわいいの,"-That's cool. -Yeah, it's so cute."
（リョウタロウ）あっ そうだ 誕生日とかは？,"Oh, yeah. When's your birthday?"
誕生日は２月28日,My birthday is February 28th.
（リョウタロウ）２月28日？ （モトミ）うん,-February 28th? -Yeah.
えっ 待って リョウタロウさん 誕生日 何…,"Wait, when's yours?"
俺ね １月３日　正月なんだよね,Mine is January 3rd. Right around new year's.
えっ 私のめっちゃ 大親友と同じ,What? It's the same as my best friend's!
（モトミ）覚えた　一瞬で覚えた （リョウタロウ）マジで？,-Really? -I just remembered now.
どの辺に 住んでるんでしたっけ？ （モトミ）全然 言える範囲で （リョウタロウ）俺はね…,Where did you say you lived? Just what you can say.
全然 言えるよ 目黒(めぐろ),In Meguro.
私 あの 代々木公園(よよぎこうえん),I'm in Yoyogi Park.
（リョウタロウ）マジ？　俺⸺ （モトミ）うん,Really? -Yeah. -I lived in Yoyogi Park before.
そこに行く前 ずっと 代々木公園に住んでたんだけど,-Yeah. -I lived in Yoyogi Park before.
えっ？　ホントに？,"What, really?"
（リョウタロウ） ７年間 富ヶ谷に(とみがや) （モトミ）えっ え？　ウソ？,-For seven years. In Tomigaya. -No kidding!
富ヶ谷？　え？,Tomigaya? That's super close.
めっちゃ近い めっちゃ近い ハナマサとか あの辺？,Tomigaya? That's super close. -By the Hanamasa supermarket? -Really?
（リョウタロウ）そうだよ （モトミ）えっ,That's right.
ハナマサ 結構 毎週 行ってるよ （リョウタロウ）マジで？ （モトミ）うん,"-I go there often, like once a week. -Seriously?"
（リョウタロウ） マジで すごいね,"Wow, that's crazy. It is. What a coincidence!"
ピンポイント,It is. What a coincidence!
（リョウタロウ）無理して 話合わせるとかじゃない,It's not like a forced conversation.
ホントにスムーズな感じに 普通の会話で 普通に盛り上がって,"It's a smooth conversation like normal, and a great time like normal."
…で 趣味嗜好も 一緒でみたいな 何か⸺ すごい楽なんですよ,"It seems we have the same taste, so it's really easy."
不思議ですよね 何か 上がりましたし うおおって マジかみたいな,"It's so strange. So I got excited. It's like ""Wow, really?"""
楽しかったです ハハハハハハハッ,That was fun.
声としゃべり方が すごい優しくって,His voice and manner of speaking are so kind.
…で あんまり人を 傷つけるような言葉とか⸺ 発さないし,He doesn't use words that could hurt somebody's feelings.
何か それがすごい 居心地いいかなって思いました,It felt really comfortable.
ねえ… どうなるんだろうね,What's going to happen?
もう ずっと２人で迷ってる,I'm torn between two of them.
（ミナミ）あっ 迷ってるんだ？ （モトミ）２人で,-You are? -Two of them.
何か一択だなとか 思ってたけど⸺ （ミナミ）そうだよね 昨日 言ってたよね,"-I thought I'd decided, but when we talk… -Yeah, I know."
（モトミ）話すと… （ミナミ）変わる 揺れるんだ,"-I thought I'd decided, but when we talk… -Yeah, I know. Yeah, it changes."
（モトミ）ああ この人もいいなみたいな,"It's like, ""I like this guy too."""
（ミナミ）気に なってるのは年齢？ 一番 気になってるのは 年齢なんだ,Is it age that you're worried about?
（モトミ）うん 年齢,It's age.
（ミナミ）そっか…,I see.
年齢ねえ…,"It's age, huh?"
昨日 夜 お風呂 入りながら⸺,"When I was in the bath last night,"
ナナコさんのこと 考えてて,I thought about you.
何か 結婚歴あるじゃないですか （ナナコ）うんうんうん,"-You've been married before, right? -Yeah."
（オダッチ）僕 高知で⸺ 何か周りに そういう人 いっぱいいるんで⸺,I know a lot of people like that in Kochi.
まったく ホントに それに対して 何の抵抗もないんですけど,I don't have any problems with that.
何か 一般的には コンプレックスに感じてたり,"But in general, I thought maybe"
たぶん ちょっと 気にしてるかなと思って,you were insecure or worried about that.
正解です アハハハッ,You're right.
（オダッチ）…思うから ちょっと 聞きたいなって,So I wanted to ask about it.
（ナナコ）何か ホント そこは 私は20代の時は⸺,"Well, when I was in my 20s, I would hide it from people."
結構 わりと隠してたというか 言えなくて,"Well, when I was in my 20s, I would hide it from people. I couldn't tell them."
何か そう言うと 何だろうな ダメ人間じゃないけど,It isn't that I felt like a failure.
自分にも自信がなかったし 言えなくて…,It was like I didn't have any confidence in myself and I couldn't say it.
だから その… それを丸っと 受け入れてくれる人が⸺ いいなっていうのは ずっと思ってて,I've always wanted someone who would completely accept it.
（オダッチ）僕は 何となくや⸺ そんなの 気にしませんではなくて⸺,It's not that I don't care about it.
なぜ それがいいのか むしろ そういう人が 僕は尊敬できたり いいなって思うっていうのは⸺,"The reason it's a good thing, the reason I respect people like that,"
えっと しっかりした考えがあって…,is that they've got their minds right.
やっぱ 自分が痛みを知る… 痛みとか傷つけられた人って⸺,People who've been hurt
そんなこと 人にするって ありえないって分かるし,know it's not acceptable to hurt others.
失敗じゃなくて 一回 結婚を⸺,It's not a failure. Having experience with marriage means the next time will be even better.
経験されてるっていうことは より⸺ もう絶対 いい結婚ができるし,Having experience with marriage means the next time will be even better.
それを何か ネガティブに 感じたりとか⸺,It's not something I feel negative about.
もしかしてしてるかもな …っていうふうに感じたのを⸺ 声とかで聞いてたり⸺,I thought maybe you did when I heard your voice
何か体調悪かったりするのも⸺,and you were feeling unwell.
何でしょう 精神的に⸺,and you were feeling unwell. I wondered if you were feeling down
