Words,Meaning,Sentences,Translation
やつ,"fellow, guy, chap, thing, object, he, she, him, her",彼は生まれつき親切なやつだ。,He is by nature a kind fellow.
そうだ,"that is so, that is right, it looks to me, that's my impression",彼女は高校生でしたか。はいそうです。,"""Was she a high school student?"" ""Yes, she was."""
そうだ,"people say that, it is said that, I hear that",あの翻訳は原文に忠実だそうだ。,The weather forecast says it will be cooler tomorrow.
とも,"certainly, of course, to be sure, surely, even if, no matter, without even, without so much as",よく覚えているともその日のことは。,Well do I remember the day.
とも,"certainly, of course, to be sure, surely, even if, no matter, without even, without so much as",何が起ころうとも、私はあなたに味方するということを覚えていて下さい。,"Whatever happens, please remember I'll stand by you."
大きな,"big, large, great",大きな型の冷蔵庫がほしい。,I want to buy a large sized refrigerator.
長い,long,彼は私に長い手紙をくれた。,He wrote me a long letter.
白い,white,white,white
全く,"really, truly, entirely, completely, wholly, perfectly, indeed",僕はその結論にまったく不満はありません。,I have nothing to complain of the conclusion.
語,"language, word",妹は英仏語を使いこなす。,My sister has a good command of both English and French.
風,"wind, breeze, draught, draft",風がまだ強く吹きます。,The wind still blows hard.
仕事,"work, job, business, occupation, employment, vocation, task",仕事を成し遂げましたか。,Did you accomplish the task?
あり,ant,Ants are swarming around the sugar.,Ants are swarming around the sugar.
ナイフ,knife,このナイフは刃が鋭く、よく切れる。,This knife has a fine edge and cuts well.
どうか,"please, somehow or other, one way or another",どうかしばらく私を一人にさせて。,Please don't interrupt me for a while.
添う,"to meet, to satisfy, to comply with, to live up, to accompany, to go with",残念ながら、御要望には添いかねます。,"I am sorry, but I cannot meet your requirement."
