W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4,W5,R5,T5
築く,きずく,to build,粘る,ねばる,to be sticky,上げる,あげる,to give,論じる,ろんじる,to argue,受け継ぐ,うけつぐ,to inherit
濯ぐ,すすぐ,to rinse,炙る,あぶる,to scorch,揚げる,あげる,to lift,愛する,あいする,to love,取り次ぐ,とりつぐ,to act as an agent for
差し引く,さしひく,to deduct,取り巻く,とりまく,to surround,言い出す,いいだす,to start talking to speak,飛び出す,とびだす,to jump out,売り出す,うりだす,to put on sale
為る,する,"to do, perform",張る,はる,to put up,注ぐ,そそぐ,to pouring,傷付ける,きずつける,to wound,差し込む,さしこむ,to insert
居る,いる,"to be, exist",含める,ふくめる,to include,引っ張る,ひっぱる,to pull,巻き込む,まきこむ,to involve,躊躇う,ためらう,to hesitate
有る,ある,"to be, exist",目指す,めざす,to aim for,切れる,きれる,to be cut off,乗り込む,のりこむ,to get into (a car),吐き出す,はきだす,to spit out
言う,いう,to say,愛する,あいする,to love,陥る,おちいる,to fall into,潰す,つぶす,to crush,近付ける,ちかづける,to bring close to
成る,なる,become,隠す,かくす,to hide,数える,かぞえる,to count,振るう,ふるう,"to wield (power, authority)",孵る,かえる,to hatch
来る,くる,to come,集める,あつめる,to collect,隠れる,かくれる,to hide,囁く,ささやく,to whisper,当て嵌まる,あてはまる,to apply (a rule)
思う,おもう,to think,食う,くう,to eat,咲く,さく,to bloom,然り,しかり,to yes,直る,なおる,to be fixed
行く,いく,to go,飛ぶ,とぶ,to fly,高まる,たかまる,to be promoted,傾ける,かたむける,to incline,傾く,かたむく,to incline toward
見る,みる,to see,齎す,もたらす,to bring,備える,そなえる,to have ready,付け加える,つけくわえる,to add,遮る,さえぎる,to block (a road)
出来る,できる,to be able to,叫ぶ,さけぶ,to shout,作り出す,つくりだす,to create,蘇る,よみがえる,to revive,明く,あく,"to open (eyes, mouth)"
拠る,よる,"to depend on, due to",逃げる,にげる,to escape,見出だす,みいだす,to find out,見張る,みはる,to keep a watchful eye on,儲ける,もうける,to make a profit
仕舞う,しまう,"to finish, close, do completely",抜く,ぬく,to pull out,浮かべる,うかべる,to float,指差す,ゆびさす,to point to,化する,かする,to transform
分かる,わかる,to understand,落とす,おとす,to drop,申し上げる,もうしあげる,to state,遡る,さかのぼる,to go back to,割れる,われる,to split
持つ,もつ,to have,暮らす,くらす,to live,寄る,よる,to come near,乾く,かわく,to dry up,ぶつける,ぶつける,to strike
考える,かんがえる,to consider,降りる,おりる,to get off,味わう,あじわう,to taste,足る,たる,to be enough,乱れる,みだれる,to be disturbed
遣る,やる,to do,果たす,はたす,to fulfill,叱る,しかる,to scold,倒す,たおす,to knock down,捻る,ひねる,to twist
出る,でる,"to go out, leave, come out",記す,しるす,to note,辞める,やめる,to quit,持ち出す,もちだす,to take out,赴く,おもむく,to go in the direction of
就く,つく,to take up,生む,うむ,to give birth,整える,ととのえる,to prepare,引き取る,ひきとる,to take back,託する,たくする,to make an excuse for
取る,とる,to take,問う,とう,to inquire,増す,ます,to increase,狂う,くるう,to go mad,振る舞う,ふるまう,to behave
聞く,きく,to ask,止まる,とまる,to stop,震える,ふるえる,to shake,仕える,つかえる,to serve,見抜く,みぬく,to see through
下さる,くださる,to give,掴む,つかむ,to seize,代わる,かわる,to replace,絡む,からむ,to entwine,混じる,まじる,to mix with
知る,しる,to know,返す,かえす,to return,辿る,たどる,to follow,固める,かためる,to solidify,閉ざす,とざす,to close
呉れる,くれる,to give,過ごす,すごす,to spend,試す,ためす,to try out,痛む,いたむ,to hurt,講ずる,こうずる,to take a course of action
入る,はいる,to enter,追う,おう,to pursue,吹く,ふく,to blow,踏まえる,ふまえる,to catch oneself,踏み込む,ふみこむ,to step into
置く,おく,to place,扱う,あつかう,to handle,好む,このむ,to prefer,振り向く,ふりむく,to turn around,拭う,ぬぐう,to wipe
使う,つかう,to use,眠る,ねむる,to sleep,踊る,おどる,to dance,係る,かかる,to be concerned with,題する,だいする,to be on the subject of
対する,たいする,"to face, oppose, against",及ぶ,およぶ,to reach,巻く,まく,to roll up,果てる,はてる,to be finished,追い込む,おいこむ,to drive into (a corner)
出す,だす,"to take out, put out, turn up",怒る,おこる,to be angry,積む,つむ,to pile up,炊く,たく,to cook (grains),取り巻く,とりまく,to surround
作る,つくる,to make,要する,ようする,to take,増やす,ふやす,to increase,覗き込む,のぞきこむ,to look into,突き出す,つきだす,to push out
行う,おこなう,"to perform, conduct",結ぶ,むすぶ,to connect,痩せる,やせる,to lose weight,染みる,しみる,"to look, feel (familiar)",脅す,おどす,to threaten
知れる,しれる,to be known,図る,はかる,to plan,飾る,かざる,to decorate,欠かす,かかす,to miss (a chance),着せる,きせる,to accuse (of some crime)
書く,かく,to write,歌う,うたう,to sing,飼う,かう,to keep,謳う,うたう,to celebrate,くっ付く,くっつく,to cling to
付ける,つける,to affix,乗せる,のせる,to take someone for a ride,揃う,そろう,to be all in order,貫く,つらぬく,to carry out,仰ぐ,あおぐ,to look up to
貰う,もらう,to get,申す,もうす,to say,噛む,かむ,to chew,飽きる,あきる,to get tired of,誓う,ちかう,to swear
教える,おしえる,to teach,支える,ささえる,to support,堪る,たまる,to endure,酔う,よう,to be intoxicated,脅かす,おびやかす,to threaten
掛ける,かける,to multiply,黙る,だまる,to be silent,測る,はかる,to measure,さす,さす,to be tinged with,正す,ただす,to correct
得る,える,to get,受け取る,うけとる,to receive,頼る,たよる,to rely on,読み取る,よみとる,to read,癒す,いやす,to heal
見える,みえる,to see,抱える,かかえる,to hold,嫌う,きらう,to dislike,取り込む,とりこむ,to capture (image),言い聞かせる,いいきかせる,to remind
入れる,いれる,to let in,叩く,たたく,to tap,治る,なおる,to cure,閉める,しめる,to close,汲む,くむ,to pump
受ける,うける,to receive,渡す,わたす,to pass it on,探る,さぐる,to explore,蹴る,ける,to kick,打ち出す,うちだす,to hammer out
付く,つく,to be attached,育てる,そだてる,to raise,満ちる,みちる,to fill up,悟る,さとる,to realize,組み込む,くみこむ,to incorporate
違う,ちがう,to be different,借りる,かりる,to borrow,映る,うつる,to be reflected,贈る,おくる,to send,感じ取る,かんじとる,to sense
始める,はじめる,to begin,受け入れる,うけいれる,to accept,踏む,ふむ,to tread on,雇う,やとう,to hire,逸らす,そらす,to divert
呼ぶ,よぶ,to call,動かす,うごかす,to move,突く,つく,to poke,銜える,くわえる,to hold in one's mouth,余る,あまる,to be in excess of
上げる,あげる,to raise,分ける,わける,to share,触る,さわる,to touch,乗り出す,のりだす,to embark on,俟つ,ます,to anticipate
過ぎる,すぎる,to pass,立ち上がる,たちあがる,to stand up,遭う,あう,to encounter,呼び掛ける,よびかける,to call out to,慰める,なぐさめる,to comfort
感じる,かんじる,to feel,訪れる,おとずれる,to visit,溜まる,たまる,to accumulate,営む,いとなむ,to run a business,引っ越す,ひっこす,to move out
続ける,つづける,to continue,当てる,あてる,"to apply, hit, expose",泊まる,とまる,to stay at,傷付く,きずつく,to be wounded,枯れる,かれる,to wither
食べる,たべる,to eat,巡る,めぐる,to go around,交ぜる,まぜる,to mix,溶ける,とける,to dissolve,極める,きわめる,to decide
掛かる,かかる,"to take, hang, arrive",焼く,やく,to grill,飛び出す,とびだす,to pop out,駆け付ける,かけつける,to rush to the scene,歪む,ゆがむ,to be distorted
変わる,かわる,to change,伸ばす,のばす,to stretch,埋める,うめる,to fill,片付ける,かたづける,to clear away,冷える,ひえる,to cool down
読む,よむ,to read,出会う,であう,to meet,褒める,ほめる,to praise,治まる,おさまる,to be at peace,燃やす,もやす,to burn
買う,かう,to buy,助ける,たすける,to help,収める,おさめる,to accommodate,察する,さっする,to sense,からかう,からかう,to make fun of
生きる,いきる,to live,望む,のぞむ,to desire,見上げる,みあげる,to look up to,誤る,あやまる,to make a mistake,広まる,ひろまる,to spread
切る,きる,to cut,通う,かよう,to go through,晒す,さらす,to expose,睨む,にらむ,to stare at,塞ぐ,ふさぐ,to block
立つ,たつ,to stand up,見付かる,みつかる,to be found,放つ,はなつ,to release,整う,ととのう,to put in order,言い切る,いいきる,to state definitively
帰る,かえる,to return,上る,のぼる,"to go up, climb",勤める,つとめる,to work (for),歩む,あゆむ,to walk,担ぐ,かつぐ,to carry on one's shoulders
話す,はなす,to talk,亡くなる,なくなる,to pass away,解く,とく,to release,植える,うえる,to plant,凝らす,こらす,to elaborate
飲む,のむ,to drink,落ち着く,おちつく,to settle down,浴びる,あびる,to bask in,這う,はう,to crawl,心得る,こころえる,to understand
示す,しめす,to indicate,纏める,まとめる,to put together,成り立つ,なりたつ,to consist of,争う,あらそう,to contend,賭ける,かける,to bet on
関する,かんする,to concerns,抜ける,ぬける,to be out of it,拭く,ふく,to wipe,言い替える,いいかえる,to express in different words,ずれる,ずれる,to deviate
与える,あたえる,to give,取り上げる,とりあげる,to take up,漂う,ただよう,to drift away,欠く,かく,to lack,戸惑う,とまどう,to be perplexed
頂く,いただく,to receive,構う,かまう,to take a position,苦しむ,くるしむ,to suffer,焦る,あせる,to be impatient,弾む,はずむ,to bounce
戻る,もどる,to return,戦う,たたかう,to fight,犯す,おかす,to commit,削る,けずる,to scrape off,募る,つのる,to solicit
開く,ひらく,to open,達する,たっする,to reach,築く,きずく,to build,茹でる,ゆでる,to boil,握り締める,にぎりしめる,to grasp tightly
死ぬ,しぬ,to die,悩む,なやむ,to be worried about,結び付く,むすびつく,to connect,据える,すえる,to set (a person),着ける,つける,to set (a price)
従う,したがう,to obey,洗う,あらう,to wash,交わす,かわす,to intersect,縛る,しばる,to bind,揚げる,あげる,to raise (one's voice)
止める,やめる,to stop,疲れる,つかれる,to get tired,反する,はんする,to contradict,結び付ける,むすびつける,to tie,垂れる,たれる,to droop
願う,ねがう,to wish,着く,つく,to arrive at,話し合う,はなしあう,to discuss,誇る,ほこる,to be proud of,荒れる,あれる,to be rough
歩く,あるく,to walk,喋る,しゃべる,to talk,担う,になう,to bear (a burden),捧げる,ささげる,to dedicate,埋まる,うまる,to be buried
待つ,まつ,to wait,慣れる,なれる,to get used to,導く,みちびく,to lead,掘る,ほる,to dig,聞き取る,ききとる,to understand
求める,もとめる,"to want, wish, request",流す,ながす,"to drain, pour, flush",無くす,なくす,to lose,祭る,まつる,to worship,滲む,にじむ,to soak through
認める,みとめる,to acknowledge,握る,にぎる,"to hold, grasp, grip",引き受ける,ひきうける,to take over,締める,しめる,to fasten,催す,もよおす,to be moved to tears
会う,あう,to meet,減る,へる,to decrease,次ぐ,つぐ,to come after,裏切る,うらぎる,to betray,瞑る,つぶる,to meditate
続く,つづく,to follow,下げる,さげる,to lower,壊れる,こわれる,to break,取り付ける,とりつける,to attach,付する,ふする,to attach
向かう,むかう,to go towards,占める,しめる,to occupy,放る,ほうる,to release,立ち止まる,たちどまる,to stand still,切り離す,きりはなす,to detach
生まれる,うまれる,to be born,優れる,すぐれる,to be gentle,敷く,しく,to lay out,遂げる,とげる,to accomplish,追い詰める,おいつめる,to corner
見せる,みせる,to show,包む,つつむ,to wrap up,差し出す,さしだす,to present,逃げ出す,にげだす,to escape,帰す,きする,to bring back
当たる,あたる,to be hit,吐く,はく,to breathe out,受け止める,うけとめる,to accept,温める,あたためる,to warm,持ち帰る,もちかえる,to bring back
終わる,おわる,to sinish,消す,けす,to extinguish,下す,くだす,to let go down,聞かす,きかす,to ask,写す,うつす,to photograph
乗る,のる,to get on,覗く,のぞく,to peek into,試みる,こころみる,to try,見下ろす,みおろす,to look down on,秘める,ひめる,to hide
残る,のこる,to remain,勝つ,かつ,to win,載せる,のせる,to place on (something),間に合う,まにあう,to be in time for,湿る,しめる,to dampen
述べる,のべる,to state,浮かぶ,うかぶ,to float,太る,ふとる,to grow fat,飛ばす,とばす,to skip.,例える,たとえる,to compare
御座る,ござる,to be,去る,さる,to leave,効く,きく,to be effective,乗り越える,のりこえる,"to climb over, get over",替える,かえる,to replace
立てる,たてる,to stand,回す,まわす,to turn,唱える,となえる,to chant,書き込む,かきこむ,to write,引き付ける,ひきつける,to attract
答える,こたえる,to answer,除く,のぞく,to exclude,造る,つくる,to build,怯える,おびえる,to be frightened,纏う,まとう,to wear
働く,はたらく,to work,育つ,そだつ,to grow up,伺う,うかがう,to ask,苛める,いじめる,to torment,昇る,のぼる,to ascend
送る,おくる,to send,終える,おえる,to finish,揺れる,ゆれる,to swinging,見送る,みおくる,to see out,操る,あやつる,to manipulate
始まる,はじまる,to begin,外す,はずす,to remove,預ける,あずける,to deposit,似合う,にあう,to suit,竦める,すくめる,to cower
含む,ふくむ,to include,呟く,つぶやく,to murmur,捲る,めくる,to roll up,呆れる,あきれる,to be astonished,揉む,もむ,to rub
起こる,おこる,to happen,向く,むく,to face,取り戻す,とりもどす,to retrieve,焼ける,やける,to burn,逆らう,さからう,to defy
関わる,かかわる,to be involved in,負ける,まける,to be inferior to,引き上げる,ひきあげる,to pull up,引っ掛かる,ひっかかる,to be caught in,裂く,さく,to rip open
忘れる,わすれる,to forget,要る,いる,to need,役立つ,やくだつ,to be useful,治す,なおす,to heal,張り付ける,はりつける,to stick
済む,すむ,to finish,恐れる,おそれる,to fear,話し掛ける,はなしかける,to accost a person,建つ,たつ,to be erected,収まる,おさまる,to be in one's place
笑う,わらう,to smile,直す,なおす,to cure,出でる,いでる,to come forth,冷める,さめる,to cool down (interest),ごまかす,ごまかす,to cheat
為さる,なさる,to do,設ける,もうける,to establish,燃える,もえる,to burning,流行る,はやる,to be prevalent,敵う,かなう,to oppose
変える,かえる,to change,支払う,しはらう,to pay,出来上がる,できあがる,to be completed,落ち込む,おちこむ,to fall into a depressed state,通り過ぎる,とおりすぎる,to pass through
引く,ひく,to subtract,迫る,せまる,to be imminent,飛び込む,とびこむ,to jump in,劣る,おとる,to be inferior,差し上げる,さしあげる,to offer
売る,うる,to sell,経る,へる,to pass,絞る,しぼる,to squeeze,取り除く,とりのぞく,to remove,染まる,そまる,to be tainted
進む,すすむ,to advance,振り返る,ふりかえる,to look back,脱ぐ,ぬぐ,to take off (clothes),撫でる,なでる,to stroke,励む,はげむ,to endeavor
渡る,わたる,to range,断る,ことわる,to refuse,離す,はなす,to detach,免れる,まぬがれる,to be spared,申し込む,もうしこむ,to offer (to do)
選ぶ,えらぶ,to choose,誘う,さそう,to invite,生える,はえる,to grow,嵌まる,はまる,to be addicted to,近寄る,ちかよる,to approach
走る,はしる,to run,越える,こえる,to cross over,濡れる,ぬれる,to get wet,心掛ける,こころがける,to endeavour,損なう,そこなう,to damage
現われる,あらわれる,to appear,取り出す,とりだす,to take out,返る,かえる,to return,課する,かする,to impose,憧れる,あこがれる,to yearn for
住む,すむ,to live,急ぐ,いそぐ,to hurry,持ち込む,もちこむ,to bring in,崩す,くずす,to destroy,隔てる,へだてる,to separate
伝える,つたえる,to communicate,慌てる,あわてる,to be in a hurry,取り入れる,とりいれる,to take in,ばれる,ばれる,to be exposed,親しむ,したしむ,to befriend
動く,うごく,to move,訴える,うったえる,to appeal to,込む,こむ,to be incorporated,明ける,あける,to open,儲かる,もうかる,to be profitable
決める,きめる,to decide,命ずる,めいずる,to command,曲がる,まがる,to be crooked,捕らえる,とらえる,to seize,舞う,まう,to dance
勧める,すすめる,to recommend,有する,ゆうする,to own,祈る,いのる,to pray,見直す,みなおす,to take a fresh look at,吠える,ほえる,to bark
気付く,きづく,to notice,別れる,わかれる,to part,投げる,なげる,to throw,面する,めんする,to face,顰める,しかめる,to frown
描く,えがく,to draw,伝わる,つたわる,to be transmitted,稼ぐ,かせぐ,to earn,呼び出す,よびだす,to call,妨げる,さまたげる,to hinder
覚える,おぼえる,to remember,参る,まいる,"to go, come",押し付ける,おしつける,to press,目覚める,めざめる,to wake up,立ち寄る,たちよる,to stop by
打つ,うつ,to beat,尽くす,つくす,"to use uo, exhaust",剥く,むく,to peel off,取り扱う,とりあつかう,to handle,来たる,きたる,to come
成す,なす,to accomplish,移る,うつる,to move (house),吊る,つる,to hang,上回る,うわまわる,to surpass,倣う,ならう,to follow
開ける,あける,to open,告げる,つげる,to tell (someone),崩れる,くずれる,to crumble,写る,うつる,to be photographed,破れる,やぶれる,to break
向ける,むける,to turn,仰る,おっしゃる,to ask for,湧く,わく,to spring up,干す,ほす,to dry out,切り出す,きりだす,to cut out
殺す,ころす,to kill,詰まる,つまる,to be at a loss,外れる,はずれる,to come off,切り替える,きりかえる,to switch over,恨む,うらむ,to resent
語る,かたる,to talk,下ろす,おろす,to lower (ladder),こだわる,こだわる,to be particular about,捕らわれる,とらわれる,to be caught,唸る,うなる,to roar
信ずる,しんずる,to believe in,広げる,ひろげる,to spread out,構える,かまえる,to be formal,適する,てきする,to fit,煽る,あおる,to stir things up
合わせる,あわせる,to match,任せる,まかせる,to leave to,重なる,かさなる,to be piled up,越す,こす,to go over,抜け出す,ぬけだす,"to slip out, break free"
用いる,もちいる,to use,掻く,かく,to scratch,汚れる,よごれる,to get dirty,纏まる,まとまる,to be grouped together,押し込む,おしこむ,to push in
連れる,つれる,to go along with,戻す,もどす,"to return, put back",習う,ならう,to learn,禁ずる,きんずる,to forbid,装う,よそおう,to dress up
異なる,ことなる,to different,休む,やすむ,to rest,預かる,あずかる,to be entrusted with,委ねる,ゆだねる,to leave to,腰掛ける,こしかける,to take a seat
離れる,はなれる,to leave,遅れる,おくれる,to delay,引き起こす,ひきおこす,to cause,採る,とる,to take (a sample),浸る,ひたる,to immerse oneself in
残す,のこす,to leave,重ねる,かさねる,to repeat,控える,ひかえる,to refrain from,染める,そめる,to dye,引き寄せる,ひきよせる,to draw in
探す,さがす,to find,足りる,たりる,to be enough,追い掛ける,おいかける,to chase after,引き継ぐ,ひきつぐ,to take over,問い合わせる,といあわせる,to inquire about
至る,いたる,to lead to,見なす,みなす,to overlook,嘗める,なめる,to lick,深める,ふかめる,to deepen,振り回す,ふりまわす,to wield
経つ,たつ,to pass,間違う,まちがう,to make a mistake,破る,やぶる,to break,覚める,さめる,to awaken,覚ます,さます,to awaken
似る,にる,to resemble,閉じる,とじる,to close,殴る,なぐる,to strike,延びる,のびる,to be prolonged,澄む,すむ,"to become clear, transparent"
守る,まもる,to protect,保つ,たもつ,to keep,弾く,はじく,to flick,転がる,ころがる,to roll,着替える,きかえる,to change one's clothes
困る,こまる,to be in trouble,吸う,すう,"to breathe, suck, smoke",手伝う,てつだう,to help,補う,おぎなう,to compensate for,制する,せいする,to control
加える,くわえる,to add to,諦める,あきらめる,to give up,及ぼす,およぼす,to exert (influence),潜める,ひそめる,to hide,見知る,みしる,to recognize
調べる,しらべる,to examine,耐える,たえる,to endure,拾う,ひろう,to pick up,給う,たまう,to provide for,介する,かいする,to mediate
生ずる,しょうずる,to arise,訪ねる,たずねる,to visit,騙す,だます,to deceive,責める,せめる,to condemn,置き換える,おきかえる,to replace
驚く,おどろく,to be surprised,生かす,いかす,to keep alive,思い切る,おもいきる,to make up one's mind,折れる,おれる,to be broken,食らう,くらう,to eat
失う,うしなう,to lose,下がる,さがる,to step back,引き出す,ひきだす,to withdraw,称える,たたえる,to give praise,閉じ込める,とじこめる,to lock up
合う,あう,to fit,確かめる,たしかめる,"to ascertain, make sure",差す,さす,to thrust,折る,おる,to break,掴まえる,つかまえる,to catch
無くなる,なくなる,to disappear,鳴る,なる,to sound,演ずる,えんずる,to play (a trick),知り合う,しりあう,to get to know each other,報ずる,ほうずる,to report
増える,ふえる,to increase,目立つ,めだつ,to stand out,逃れる,のがれる,to escape,打ち込む,うちこむ,to hit,足す,たす,to add to
上がる,あがる,to rise,掲げる,かかげる,to hoist,煮る,にる,to boil,持ち上げる,もちあげる,to lift up,起き上がる,おきあがる,to get up
起きる,おきる,to get up,移す,うつす,to transfer,揃える,そろえる,to arrange,励ます,はげます,to encourage,惜しむ,おしむ,to be sparing
座る,すわる,to sit,並べる,ならべる,to arrange,熟す,こなす,to ripen,潜む,ひそむ,to lurk,取り掛かる,とりかかる,to set about
聞こえる,きこえる,"to be heard, be audible",高める,たかめる,to raise,突き込む,つきこむ,to thrust into,摘む,つまむ,to pluck,暮れる,くれる,to be lost
思い出す,おもいだす,to remember,奪う,うばう,to steal,微笑む,ほほえむ,to smile,固まる,かたまる,to harden,交える,まじえる,"to exchange (words, fire)"
許す,ゆるす,to allow,被る,こうむる,to suffer,欠ける,かける,to chip,思い浮かべる,おもいうかべる,to contemplate,駆ける,かける,to run
落ちる,おちる,to fall,疑う,うたがう,to doubt,刺す,さす,to sting,傾げる,かしげる,to incline,怠る,おこたる,to neglect
繰り返す,くりかえす,to repeat,履く,はく,"to put on, wear (footwear)",思い込む,おもいこむ,to imagine that,盛り上がる,もりあがる,to rise,嗅ぐ,かぐ,to sniff
回る,まわる,to turn,生み出す,うみだす,to give birth to,届ける,とどける,to deliver,転ずる,てんずる,to turn,取り囲む,とりかこむ,to surround
起こす,おこす,to wake up,迷う,まよう,to be at a loss,際する,さいする,to arrive at,打ち明ける,うちあける,to confide in,衰える,おとろえる,to fade
通ずる,つうずる,to be understood,襲う,おそう,to strike,減らす,へらす,to reduce,組み合わせる,くみあわせる,to combine,仕上げる,しあげる,to finish up. complete
決まる,きまる,to be decided,発する,はっする,to emit,背負う,せおう,to take responsibility for,盛る,もる,to fill (a bowl),滅ぼす,ほろぼす,to destroy
寝る,ねる,to sleep,挟む,はさむ,to pinch,下りる,おりる,to descend,撒く,まく,to scatter,出向く,でむく,to go to
比べる,くらべる,to compare,登る,のぼる,to climb,擦る,する,to scrape,鍛える,きたえる,to forge,寄越す,よこす,to send
限る,かぎる,to limit,属する,ぞくする,to belong to,潜る,もぐる,to go under,富む,とむ,to enrich,積み上げる,つみあげる,to pile up
振る,ふる,to shake,繋ぐ,つなぐ,to connect,譲る,ゆずる,to give up,伏せる,ふせる,to lie face-down,敗れる,やぶれる,to be defeated
表わす,あらわす,to represent,降る,ふる,to descend,漏らす,もらす,to divulge,見当たる,みあたる,to be found,滅びる,ほろびる,to perish
通す,とおす,to pass through,組む,くむ,to assemble,泳ぐ,およぐ,to swim,退ける,のける,to move out of the way,蓄える,たくわえる,to stockpile
致す,いたす,to be in accordance with,取り組む,とりくむ,to tackle,間違える,まちがえる,to make a mistake,馴染む,なじむ,to become familiar with,縫う,ぬう,to sew
基づく,もとづく,to be based on,負う,おう,to bear,ぶつかる,ぶつかる,to collide with,攻める,せめる,to attack,嵌める,はめる,to set up (a machine)
消える,きえる,to disappear,載る,のる,to be placed on,浮く,うく,to float,見逃す,みのがす,to overlook,考え込む,かんがえこむ,to consider
尋ねる,たずねる,to ask,倒れる,たおれる,to fall,謝る,あやまる,to apologize,受け継ぐ,うけつぐ,to inherit,緩める,ゆるめる,to loosen
見付ける,みつける,to find,撮る,とる,to take,思い付く,おもいつく,to come to one's senses,冷やす,ひやす,to cool down,追い出す,おいだす,to expel
触れる,ふれる,to touch,響く,ひびく,to resound,沈む,しずむ,to sink,振り込む,ふりこむ,to shake it in,止す,よす,to stop
払う,はらう,to wipe out,応える,こたえる,to respond,漏れる,もれる,to leak out,晴れる,はれる,to clear up,見分ける,みわける,to discern
遊ぶ,あそぶ,to play,留まる,とまる,to stay,滑る,すべる,to slip,訳す,やくす,to translate,踏み出す,ふみだす,to step forward
頼む,たのむ,to ask,指す,さす,to point,割る,わる,to break,生き残る,いきのこる,to survive,問い掛ける,といかける,to ask a question
頑張る,がんばる,to hold out,接する,せっする,to come in contact with,入り込む,はいりこむ,to get in,尖る,とがる,to become sharp,送り出す,おくりだす,to send out
抱く,いだく,to embrace,狙う,ねらう,to aim,配る,くばる,to distribute,叶う,かなう,to come true (wish),先立つ,さきだつ,to precede
楽しむ,たのしむ,to enjoy,救う,すくう,"to save, rescue",鳴く,なく,to cry (esp. in a loud voice),退く,しりぞく,to retreat,立ち去る,たちさる,to leave
流れる,ながれる,to flow,満たす,みたす,to fill,駆る,かる,to drive (a car),臨む,のぞむ,to face,奉る,たてまつる,to dedicate
捨てる,すてる,to throw away,伸びる,のびる,to extend,継ぐ,つぐ,to join (a group of people),浮かび上がる,うかびあがる,to emerge,吹き出す,ふきだす,to blow (smoke) out
着る,きる,to put on,説く,とく,to preach,籠もる,こもる,to be confined in,憎む,にくむ,to detest,汚す,よごす,to defile
迎える,むかえる,to welcome,貸す,かす,to lend,騒ぐ,さわぐ,to make noise,強める,つよめる,to strengthen,解ける,とける,to come untied
取れる,とれる,to be taken,加わる,くわわる,to join in,刻む,きざむ,to engrave,甘える,あまえる,to take advantage of,取り消す,とりけす,to cancel
押す,おす,to push,絶える,たえる,to cease,留める,とどめる,to stop,強いる,しいる,to coerce,引き続く,ひきつづく,to continue
超える,こえる,to exceed,覆う,おおう,to cover,盗む,ぬすむ,to steal,散る,ちる,to disperse,申し出る,もうしでる,to make an offer
並ぶ,ならぶ,to line up,務める,つとめる,to serve (as),詰める,つめる,to pack,曲げる,まげる,to bend,見極める,みきわめる,to ascertain
定める,さだめる,to determine,利く,きく,to carry out its function,膨らむ,ふくらむ,to swell up,浸かる,つかる,to be soaked,見合わせる,みあわせる,to exchange glances
学ぶ,まなぶ,to learn,分かれる,わかれる,to divide,辿り着く,たどりつく,to arrive at,仕掛ける,しかける,to set (traps),知らす,しらす,to inform
頷く,うなずく,to nod,下る,くだる,to descend,施す,ほどこす,"to apply (processing, makeup)",引き返す,ひきかえす,to turn back,啜る,すする,to sip
通る,とおる,"to go by, go past, go along",止む,やむ,to cease,飲み込む,のみこむ,to swallow,横たわる,よこたわる,to lie down,睨み付ける,にらみつける,to stare at
運ぶ,はこぶ,to carry,見掛ける,みかける,to catch sight of,帯びる,おびる,to be imbued with,見渡す,みわたす,to look out over,費やす,ついやす,to spend
伴う,ともなう,to accompany,窺う,うかがう,to peep (through),作り上げる,つくりあげる,to build up,物語る,ものがたる,to tell a story,向かい合う,むかいあう,to face each other
広がる,ひろがる,to extend,輝く,かがやく,to shine,照らす,てらす,to illuminate,腐る,くさる,to rot,強まる,つよまる,to intensify
付き合う,つきあう,to keep company with,招く,まねく,to beckon,名乗る,なのる,to give one's name (as),堪える,こらえる,to endure,歪める,ゆがめる,to distort
泣く,なく,to cry,寄せる,よせる,to bring near,名付ける,なづける,to name,携わる,たずさわる,to engage in,呈する,ていする,to present
進める,すすめる,to advance,抑える,おさえる,to restrain,磨く,みがく,to polish,供える,そなえる,to offer,挑む,いどむ,to challenge
繋がる,つながる,to be connected to,沿う,そう,to follow,解する,かいする,to understand,尽きる,つきる,to be exhausted,転ぶ,ころぶ,to fall down
挙げる,あげる,to raise,溢れる,あふれる,to overflow,添える,そえる,to accompany,向き合う,むきあう,to face,教わる,おそわる,to be taught
捉える,とらえる,to capture,空く,すく,to become empty,見守る,みまもる,to watch over,養う,やしなう,to nourish,しがみ付く,しがみつく,to cling
見詰める,みつめる,to stare at,光る,ひかる,to shine,努める,つとめる,to strive,嘆く,なげく,to lament,投げ出す,なげだす,to throw out
喜ぶ,よろこぶ,to rejoice,称する,しょうする,to praise,助かる,たすかる,to be saved,拒む,こばむ,to refuse,召す,めす,to summon
避ける,さける,to avoid,促す,うながす,to urge,恵まれる,めぐまれる,to be blessed with,納める,おさめる,to subdue,捩る,もじる,to twist
応ずる,おうずる,to respond,込める,こめる,to enshroud,見回す,みまわす,to look around,思い掛ける,おもいがける,to contemplate (on),取り付く,とりつく,to cling to
届く,とどく,to reach,存ずる,ぞんずる,to exist,引き摺る,ひきずる,to drag out,断つ,たつ,"to sever, cut off",遠ざかる,とおざかる,to move away
近付く,ちかづく,to approach,囲む,かこむ,to surround,率いる,ひきいる,to lead,抱き締める,だきしめる,to hold someone tight,突き付ける,つきつける,to thrust at
集まる,あつまる,to gather,塗る,ぬる,to smear,改める,あらためる,to change,吸い込む,すいこむ,to inhale,跨がる,またがる,to straddle
