W1,T1,W2,T2,W3,T3
思う,think,月見,moon viewing,恒久,permanence
晩年,later years,反映,reflection,押さえる,hold down
授賞式,award ceremony,木,tree,近郊,suburbs
真珠,pearls,刺激,stimulus,水,wednesday
鈍い,dull,意外,unexpected,外部,external
日本史,japanese history,働きつつ,while working,意のままに,at will
一つ,one,同等,equal,相談の上で,after consultation
寒波,a cold wave,干ばつ,drought,負債,liabilities
引き受け,undertaking,授業,class,楽しい,fun
受理,acceptance,七月,july,公認会計士,chartered accountant
日照り,dry weather,言論,discourse,巨額,huge sum
違反,violation,短い,short,説明書,manual
以前と比 べて,compared to the past,協奏曲,concerto,締める,tighten
お土産,a souvenir,衝突する,to crash into,並大抵,ordinary
分裂,divide,台風,a typhoon,各地,various places
命日,death anniversary,駐車,parking,鼻,nose
曇り,overcast,脅威,the threat,利益,profit
台風,a typhoon,浸水した川,a flooded river,サポート,the support
チケット売り場,a ticket office,月賦,monthly payment,牛丼,gyudon
気象学者,a meteorologist,資金調達,fundraising,千,one thousand
一流,"first class, top grade",砲火,gunfire,参加,Participation
墜落,crash,同意,"agreement, consent",恒久的,permanent
置く,put,私たち,we,時,time
先生,teacher,捜査すべきだ,should investigate,意識的,"conscious, deliberate"
不安定,unstable,海外,abroad,嬉しい,happy
月曜日,monday,協約,agreement,演説,speech
明るい間隔,bright intervals,財産の損失,property losses,参加者,Participant
一昨日,day before yesterday,反省,reflection,逆説,paradox
向日葵,sunflower,生意気,"saucy, cheeky, impudent",両手,Both hands
受領,"receipt, receiving",教科,"subject, curriculum",多少にかかわらず,regardless of quantity
迂回路,"detour, diversion",土砂降り,a downpour,症状,symptom
若者にとって,for young people,難民,a refugee,制限速度,speed limit
受容,reception,気象,weather,両極端,both extremes
日食,a solar eclipse,援助,assistance,嫌い,hate
受付,reception (desk),表情,expression,レポート,the report
複数,multiple,崩壊する,to collapse,ショップ,a shop
大晦日,new year's eve,必ずしも,not necessarily,着席,seating
仕事,work,意地,"stubbornness, disposition",解説,explanation
暑いです,it’s hot,竜巻,a tornado,小説家,novelist
高まる一方だ,It's only getting better,児童,children,金串,metal skewer
日に日に,day by day,不注意によって,by carelessness,金,friday
休日,holiday,一緒に,together,不本意,reluctant
雪崩,an avalanche,遅い,slow,所得税,an income tax
ムースーン,the moosoon,労力,labor,日曜日,sunday
受け続ける,to continue to receive,見事,spectacle,勝負,victory
元来,original,用意,preparation,勢い,momentum
住む,live,去る,leave,沿岸,coast
飲む,drink,条件,condition,離れる,to be separated
日程,schedule,楽しむ,enjoy,ターゲット市場,target market
六日,"6 days, 6th day",息子,son,掛ける,hang
受講,taking a lecture,栄養不良,to be ill-nourished,解雇,a lay-off
敵,enemy,夫,husband,両脇,both sides
曇る,to cloud over,協同組合,cooperative,両側,Both sides
車,car,旅行代理店,a travel agency,うな丼,eel rice bowl
給料日,payday,精神科,psychiatry,広げる,spread
受精卵,fertilized egg,再来月,next month,小説,novel
人権にかかわる,concerning human rights,同月,same month,考える,think
湿った,damp,月刊雑誌,monthly magazine,取り扱う,handle
即日,same day,自由,free,方針,policy
予定日,scheduled date,軽い,light,巨木,big tree
七日,"7 days, 7th day",きゅうめい,the rescue,歯,teeth
行く,go,火薬,tinder,今晩,tonight
日本語,japanese,名前,name,ニュースによると,according to the news
溶融する,to melt,約束した以上,so long as you promised,取締役会,the board of directors
数,number,半月,half month,バスで,by bus
初日,first day,保証,a guarantee,生まれ,birth
思い出すにつけ,the more I remember,被害の程度,extent of damage,溝,ditch
末日,last day,支配,"domination, rule",採算,profitability
弁論,argue,道路工事,roadworks,米,rice
高速道路,"highway, freeway",月経周期,menstrual cycle,文化財,cultural assets
休める,rest,基地,base,並行,going abreast
単純,simple,単語,word,丸で,"quite, entirely"
受け持つ,to take charge of,去年,last year,老人,old man
申請,application,範囲,range,参拝,visit to a shrine
弾む,bouncy,鮮やか,vivid,不注意,carelessness
無視,ignore,生協,co-op,日に限って,only on the occasion of
使う,use,高等学校,high school,市場,a market
濃霧,the dense fog,停止,stop,予算,a budget
従業員,employee,はしご,a ladder,十,ten
大気圧,the atmospheric pressure,月謝,monthly fee,茶色,brown
付いて行く,to accompany,学科,study subject,利点,an advantage
頭,head,婦人科,gynecology,紳士,gentleman
当日,on the day,火星,mars,親しむ,befriend
滑らか,smooth,支払う,payment,世間並み,typical
半日,half day,火口,mouth of fire,評価,evaluation
大学,university,火元,fire origin,実績,achievements
生物,biology,消す,turn off,自転車,bicycle
瞬く,to blink,家事,household chores,自在, doing at will
うなずく,to nod,整然とした,"tidy, orderly",所在,whereabouts
拍手する,to applaud,汚い,filthy,内在,inherence
欠伸が出る,to yawn,軟化剤,softener,在宅,being at home
見下ろす,to look down,繊維柔軟剤,fabric softener,実在,actual existence
腕を折る,to fold one’s arms,ペーパータオル,paper towel,在住,residing
キックする,to kick,ワックス,wax,在籍,being enrolled
キスをする,to kiss,洗濯洗剤,laundry detergent,駐在,residence
靴を脱ぐ,to take your shoes off,粉末洗剤,washing powder,在職,being in office
避ける,to avoid,手袋,gloves,所在地,"location, address"
顔を作る,to make faces,ゴム手袋,rubber gloves,潜在,potentiality
ウィンクする,to wink,重曹,baking soda,散在,to be scattered
波に,to wave,洗浄液,cleaning fluid,自由自在,"free, unrestricted"
顔を作る,to make a face,汚れ物,dirty laundry,潜在意識,subconsciousness
凝視する,to stare,食器洗い洗剤,dish soap,在庫切れ,(being) out of stock
パンチする,"to punch, to hit",トイレットペーパー,toilet paper,しわクリーム,anti wrinkle cream
眉をひそめる,to frown,食器洗い機,dishwasher,アフターシェーブ,after-shave
平手打ちをする,to slap,石鹸,soap,コンディショナー,conditioner
クスクス笑う,to giggle,ホワイトビネガー,white vinegar,薬箱,the medicine cabinet
肩をすくめる,to shrug,漂白,bleach,脱毛,hair removal
チラッと見る,to glance at,ダート,the dirt,バスタブ,the bathtub
手を上げる,to raise one’s hand,ほこり,dust,ヘアブラシ,hair brush
見上げる,to look up,清潔さ,cleanliness,歯ブラシ,toothbrush
指す,to point at,泥,dirt,シェービング,shaving
頭を傾ける,to tilt your head,料理,the dishes,クリーム,cream
ハグする,to hug,世帯,the household,フォーム,foam
深呼吸する,to take a deep breath,ごみ,the garbage,保湿剤,moisturizer
笑う,to laugh,ごみ,garbage,にわか雨,the shower
頭を掻く,to scratch one’s head,家庭ごみ,household garbage,ネイルファイル,the nail file
喉をきれいにする,to clear one’s throat,製品,products,マニキュア,manicure
首を振る,to shake one’s head,掃除,clean,ペディキュア,pedicure
握手をするために,to shake hands,汚れた,dirty,ピンセット,the tweezers
拳を握る,to clench one’s fist,掃除機,a vacuum cleaner,粉末,the powder
歯を食いしばる,to clench one’s teeth,ほうき,a broom,バスルーム,the bathroom
笑顔に,to smile,布,a cloth,ナプキン,the napkin
舌を出す,to stick out your tongue,芳香剤,an air freshener,生理用ナプキン,sanitary napkin
笑い,a giggle,染み抜き剤,a stain remover,毛髪染料,hair dye
腕を組む,arms folded,エアラー,an airer,うがい薬,mouthwash
交差する,crossed,アイロン,an iron,バブルバス,the bubble bath
足を組んだ,legs crossed,洗濯機,a washing machine,リップグロス,lip gloss
目を見開いて,eyes wide open,食洗機,a dishwasher,日焼け,the tan
拒絶,thumbs down,洋服かご,a clothes basket,修正者,the corrector
いいぞ,thumbs up,ダスター,a duster,綿棒,cotton swab
あくび,a yawn,フェザーダスター,a feather duster,爪切り,the nail clipper
ウインク,a wink,洗浄剤,a cleaning product,リップペンシル,the lip pencil
一目,a glance,窓拭き用品,window cleaning product,アイブローペンシル,eyebrow pencil
キック,a kick,ゴミ袋,a garbage bag,メイク落とし,the makeup remover
パンチ,a punch,バケツ,a bucket,歯磨き粉,toothpaste
肩をすくめる,a shrug,乾燥機,a dryer,消臭剤,the deodorant
運動,a movement,エプロン,an apron,リムーバー,the remover
サイン,a sign,布巾,a dish-towel,アイシャドウ,eye shadow
笑い,a laugh,ごみ処理,a garbage disposal,デンタルフロス,dental floss
信号,a signal,盆地,a basin,財団,the foundation
うなずき,a nod,ブラシ,a brush,手ぬぐい,the washcloth
笑い,a smile,トイレブラシ,a toilet brush,シャワージェル,the shower gel
平手打ち,a slap,物干し,a clothesline,流し,the sink
しかめっ面,a grimace,スポンジ,a sponge,化粧,makeup
ひざまずいて,on one’s knees,ちりとり,a dustpan,マスカラ,mascara
仰向けになって,lying face down,洗濯ばさみ,a clothespin,バスルーム家具,bathroom furniture
四つんばい,on all fours,ゴミ箱,a garbage can,鏡,the mirror
しゃがむ,squatting,モップ,a mop,メイクアップキット,the makeup kit
ひざまずく,kneeling,ナプキン,a napkin,香水,the perfume
横になる,lying down,染み,a stain,くし,the comb
座っている,sitting down,在日,resident in Japan (foreigner),バスローブ,bathrobe
立っている,standing,現在,the present,体重計,the bathroom scale
横になっている,lying stretched out,存在,existence,タオル掛け,the towel rack
傾いている,leaning,在庫,"stock, inventory",かみそり,the razor
寄りかかる,leaning against,滞在,"stay, sojourn",電気シェーバー,the electric shaver
ひじに寄りかかる,leaning on one’s elbows,在学,attending school,口紅,the lipstick
仰向けになって,lying on one’s back,不在,absence,せっけん,the soap
ぶら下げ,hanging,健在,in good health,ドライヤー,the hairdryer
脳卒中,cerebral haemorrhage,食欲,the appetite,辛い,spicy
愛撫する,to caress,酸っぱい,sour,強い,strong
擽る,to tickle,苦い,bitter,恐ろしい,horrible
触る,to touch,おいしい,delicious,無味,tasteless
温める,"to warm, to heat",甘い,sweet,舌,the tongue
香水,the perfume,香り,the aroma,悪臭,the stench
スモーキー,smoky,匂い,the smell,鼻,the nose
無臭,odorless,煙,the smoke,香り,the fragrance
とても臭い,to stink,粉砕する,to crush,処分する,to dispose
足す,to add,準備する,to prepare,溶解します,to dissolve
ソースの風味に,to flavour with sauce,作る,to make,お皿をセットする,to set a plate
ソースを薄くする,to thin a sauce,切る,to cut,トリミングする,to trim
平らにする,to flatten,スライスする,to slice,沸騰する,"to boil, to seeth"
香り付け,to aromatize,サイコロに,to dice,火傷する,"to scald, to burn"
味付け,to flavor,キューブに,to cube,マッシュする,to mash
水に,to water,半分にする,to halve,スキムする,to skim
油をたらす,to drizzle with oil,包む,"to cover, to wrap",葉を間引く,to thin out the leaves
季節に,to season,料理する,to cook,細断する,to shred
味付けする,"to season, to add flavour",取り除くために,to get rid of,解明する,to unravel
柔らかくする,to soften,借方記入する,to debit,垂れ流す,to drain
磨く,to brush,飾るために,to decorate,緊張する,to strain
熱を下げる,to turn down the heat,シェルに,to shell,パスタを排水する,to drain pasta
泡立てる,to whisk (eggs),刻む,"to mince, to carve",崩れる,to crumble
バターに,to butter,排出する,to disgorge,薄切り,"thin slices, slicing thin"
バターを塗る,to spreed the butter,希釈する,to dilute,乳化する,to emulsify
沸騰する,to boil,脱型する,to unmould,オーブンに入れる,to place in the oven
蒸す,to braise,穴をあける,to pit,保管する,to store
温める,to heat,骨抜きにする,to debone,纏める,to integrate
鑿にする,to chisel,脱塩する,to desalinate,厚くする,to thicken
貼り付ける,to paste,乾かす,to dry out,種をまく,to seed
着色する,to colour,詳細へ,to detail,剥く,to peel
完了する,to complete,緩める,to loosen,スポンジに,to sponge
カウントする,to count,温度を下げる,to lower the temperature,茎を取り除く,to remove stems
続ける,to continue to,削る,to scrape,上げる,to raise
オーブンを予熱する,to preheat the oven,整頓する,to tidy,引き渡す,to hand over
集める,to collect,すりおろす,to grate,記入する,to fill in
取る,to take,細断する,to shred,振る,to shake
準備する,to prepare,集まる,to gather,かき混ぜる,to stir
食事を準備する,to prepare the meal,再加熱,to reheat,零す,to spill
提示する,to present,再起動します,to restart,分配する,to distribute
押す,to press,なおす,to correct,分割する,to divide
守ること,to protect,削減する,to reduce,休む,to rest
傾ける,to tilt,冷やす,to cool down,予約する,to reserve
沢山,"a lot, many",綺麗,"pretty, lovely",最終,latest
有能,able,成熟した,mature,ぐうたら,"lazy, worthless"
立派な,admirable,意地悪,"mean, malicious",合法的,legal
古い,"aged, old",行方不明,missing,軽い,light
面白い,interesting,用心深い,mistrustful,少し,little
詰らない,annoying,近代的,modern,生活,living
恐ろしい,appalling,不動,motionless,伝統的,"local, traditional"
おおよそ,approximately,意欲的,motivated,長い,long
びっくり,astonished,涙ぐましい,moving,弱い,low
注意深い,attentive,不思議,mysterious,低い,"low, down"
魅力的な,attractive,狭い,narrow,もうちょっと,a bit more
じどうてき,automatic,自然,natural,もう少し,a bit more
悪い,bad,近い,near,少し,"a little, a bit"
平凡,"banal, common",必要な,necessary,たくさん,"a lot, many"
耐えられる,bearable,神経質な,nervous,異常に,"abnormally, unusually"
綺麗,beautiful,新しい,new,約,"about, approximately"
大きい,big,次,next,絶対に,"absolutely, definitely"
苦い,bitter,喧しい,noisy,偶然,accidentally
つまらなそう,bored,郷愁,nostalgic,後で,"after, later"
壊れた,broken,多くの,numerous,やっぱり,after all
分厚い,bulky,明らかな,obvious,また,again
占有,busy,正式,official,独りで,alone
静か,"calm, quiet",古い,old,すでに,already
魅力的,captivating,営業中,open (for business),もう,"already, again"
慎重な,careful,楽観的,optimistic,いつも,always
悲惨,catastrophic,並大抵,ordinary,常に,"always, constantly"
愛しい,charming,過密の,overcrowded,どんなときも,anytime
安い,cheap,きがながい,patient,とにかく,anyway
古典的,classic,完全な,perfect,どこでも,"anywhere, everywhere"
きれい,clean,粘り強い,persevering,どうやら,apparently
明るい,clear,えんせいてき,pessimistic,なるべく,as much as possible
賢い,"clever, intelligent",憤ろしい,pissed off,何時でも,"at any time, at all times"
近い,"close, near",快適,pleasant,最初に,at first
閉じた,closed,楽しい,pleasant,ようやく,at last
動きが鈍い,clumsy,有毒な,poisonous,やっと,at last
冷たい,cold (object),貧乏な,poor,自動的に,automatically
寒い,cold (weather),有名,"popular, famous",離れて,away
色鮮やか,colored,正の,positive,わずかに,barely
快適,comfortable,可能な,possible,そろそろ,by now
営利的,commercial,強力な,powerful,落ち着いて,calmly
普通,common,貴重な,precious,注意深く,carefully
複雑,complex,精緻,"precise, delicate",慎重に,"carefully, cautiously"
強気,confident,きざ,pretentious,うっかり,carelessly
べんり,convenient,私的な,private,もちろん,"certainly, of course"
説得上手,convincing,公共の,public,はっきり,clearly
涼しい,cool (weather),せいかく,"punctual, precise",快適に,comfortably
正確,"correct, good",速く,quick,一般的に,commonly
勇ましい,courageous,静かな,quiet,完全に,"completely, perfectly"
頭がおかしい,crazy,珍しい,rare,すっかり,"completely, thoroughly"
尤もらしい,credible,現実的な,realistic,一定して,constantly
文化的,cultural,最近の,recent,正しく,correctly
好奇心旺盛,curious,再生の,recycled,不思議なことに,"curiously, mysteriously"
可愛い,cute,正規の,regular,現在,currently
危ない,dangerous,頼もしい,"reliable, trustworthy",繊細に,delicately
暗い,dark,宗教上の,religious,必死に,desperately
眩しい,dazzling,驚くべき,remarkable,早く,"early, quickly"
亡い,dead,責任ある,responsible,簡単に,easily
致命的,deadly,豊富な,rich,あっさり,"easily, readily, quickly"
深く,deep,ロマンチック,romantic,他の場所,elsewhere
美味しい,delicious,腐った,rotten,十分,"enough, sufficiently"
民主的,democratic,悲しい,sad,全て / 全部,"entirely, wholly"
気が重い,"depressed, disgusted",満足のいく,satisfactory,とくに,especially
きつい,determined,満足した,satisfied,結局,"eventually, finally"
別,different,怖い,scary,今までに,"ever, by now"
難しい,difficult,自分勝手,selfish,丁度,exactly
汚い,dirty,真面目,serious,例外的に,exceptionally
塩漬けの,salted,短い,short,すごく,extremely
気持ち悪い,disgusting,恥ずかしい,"shy, embarrssed",非常に,"extremely, exceptionally"
遠い,distant,病気,sick,とても,"extremely, very"
乾燥,dry,類似,similar,かなり,"fairly, significantly, quite"
動的,dynamic,単純な,simple,やっと,"finally, at last"
優しい,easy,誠実な,sincere,とうとう,"finally, at last"
地球に優しい,ecological,細い,slim,ついに,"finally, at last"
経済的,economic,遅い,slow,まず第一に,first of all
食用,edible,ちいさい,small,暫く,for a while
効果的,effective,和やか,"smiling, radiant",昔,formerly
でんきしき,electric,社交的な,sociable,以前は,"formerly, previously"
電子的,electronic,甘い,soft,二週に一度,fortnightly
雅やか,elegant,固体,solid,幸運なことに,fortunately
空虚な,empty,広い,spacious,率直に,frankly
活発な,energetic,特別な,special,自由に,freely
熱心,enthusiastic,特定の,specific,頻繁に,frequently
うらやましい,enviable,暑い,spice,しばしば,"frequently, often"
等しい,equivalent,四角い,square,徐々に,gradually
正確,exact,ベタベタ,sticky,ハード,hard
良い,"excellent, good",怪しい,strange,激しく,hard
特別,"exceptional, special",強い,strong,ほとんど,mostly
高い,expensive,馬鹿,stupid,ここ,here
遠い,far,愚か,"stupid, fool",家,home
恐ろしい,fearful,荒々しい,sudden,正直に,honestly
満杯の,filled,相応しい,suitable,一時間毎に,hourly
古い,former,最高の,superb,直ちに,immediately
幸運な,fortunate,浅薄な,superficial,すぐに,"immediately, soon"
脆い,fragile,迷信的な,superstitious,一般に,in general
ありがち,frequent,驚いた,surprised,未来に,in the future
優しい,friendly,友好的な,sympathetic,ますます,increasingly
完全な,"full, complete",有意,significant,ちょっと,just a little
可笑しい,funny,優位,superiority,ちょうど,"just, precisely"
寛大,generous,高い,tall,最後に,last
天才的,gifted,日焼けした,tanned (verb),最近,"lately, recently"
巨大,gigantic,じかんてき,temporary,長いです,long
世界的,global,ひどい,"terrible, horrible",大声で,"loudly, aloud"
素晴らしい,gorgeous,厚い,thick,もっと,more
スーパー,great,小さい,tiny,だんだん,gradually
後ろめたい,guilty,疲れた,tired,もっとも,most
嬉しい,happy,疲れる,tiring,大方は,mostly
嬉しい,happy,一緒,together,ほとんど,"mostly, nearly, almost"
大変,hard,寛容な,"tolerant, generous",むやみに,needlessly
重い,heavy,伝統的な,traditional,決して,never
高い,high,端的,"frank, direct",次の,next
歴史的,historic,不能,unable,通常は,"normally, usually"
正直,honest,堪らない,"unbearable, intolerable",全然,(not) at all
恐ろしい,horrible,凄い,unbelievable,あまり,(not) very
暑い,hot,非道,"unfair, unjust",たいして,(not so) much
巨大,huge,悲しい,unfortunate,まだ,"not yet, still"
最良,ideal,未知,unknown,今,now
同じ,identical,無制限,unlimited,どこにも,nowhere
馬鹿,idiot,嫌い,unpleasant,明らかに,obviously
違法,illegal,予測不能,unpredictable,たまに,occasionally
直接,immediate,様々,various,よく,often
巨大,immense,巨大な,vast,しょっちゅう,"always, often"
大切,important,低俗な,vulgar,たびたび,often
不可能,impossible,弱い,vulnerable,わざと,"on purpose, deliberately"
印象的,impressive,温かい,warm,次々に,one after another
自主的,independent,変な,weird,のみ,only
ておい,"injured, wounded",手厚い,welcoming,先日,other day
むこ,innocent,良い,well,さもないと,otherwise
下らない,insignificant,びしょびしょ,"wet, soaked",外で,out
たりない,insufficient,全部,whole,あそこ,over there
面白い,interesting,野生の,wild,辛抱強く,patiently
国際的,international,不思議,"wonderful, strange",多分,"perhaps, probably"
独創的,inventive,驚異的,wonderful,丁寧に,"politely, nicely"
羨ましい,jealous,心配,worried,当然,"precisely, naturally"
優しい,kind,悪い,worst,前に,"previously, before"
広い,large,若い,young,静かに,quietly
結婚する,to marry,攻撃,"attack, assault",探検,exploration
離婚する,to divorce,撃つ,"to shoot, to fire",検査,inspection
キスをする,to kiss,衝撃,"shock, impact, crash",検討,"study, investigate"
恋に落ちる,to be in love,打撃,"blow, shock, strike",検事,public prosecutor
従事する,to be engaged,襲撃,"attack, charge, raid",検問,inspection
愛し合う,to make love,反撃,counterattack,検閲,censorship
いちゃつく,to flirt,目撃,witnessing,血液検査,blood test
誘惑する,seduce,砲撃,"bombarding, shelling",検証,verification
署名する,to sign,射撃,"firing, shooting",検定,official certification
誰かと出かける,to go out with someone,衝撃波,shock wave,検察,examination
恋に落ちる,to fall in love,爆撃,bombing (raid),検出,detection
シングル,single,進撃,"advance, charge",車検,vehicle inspection
離婚した,divorced,直撃,direct hit,探検隊,expedition team
恋愛中,in love,出撃,"sortie, sally, attack",検索条件,search criteria
結婚の誓い,the vows of marriage,撃墜,shooting down (aircraft),被験者,test subject
あの花,the flowers,迎撃,intercept,再検討,re-examination
愛してる,i love you,一撃,"blow, hit, stroke",探検家,explorer
友情,the friendship,撃ち合い,gunfight,検尿,urinalysis
友だち,the friend,狙撃,"shooting, sniping",検問所,checkpoint
愛,love,攻撃的,"offensive, aggressive",検算,verification of accounts
食前酒,the aperitif,撃ち抜く,to shoot out,検眼,eye examination
花嫁,the bride,目撃者,witness,検視,"autopsy, inquest"
情熱,the passion,撃破,crushing,検疫,quarantine
結婚披露宴,the wedding reception,撃退,repelling,検診,physical examination
幸福,happiness,痛撃,severe attack,診断,diagnosis
彼氏,the boyfriend,要撃,ambush,聴診器,stethoscope
衣装,the costume,電撃的,shocking,診る,to examine (medically)
婚約者,the fiancée,迫撃砲,mortar,診療,diagnosis and treatment
新郎,the groom,遊撃手,shortstop,診療所,clinic
初恋,the first love,迫撃,close attack,診察室,examining room
証人,the witness,電撃,electric shock,誤診,misdiagnosis
婚約,the engagement,狙う,to aim at,診断書,medical certificate
新婚夫婦,the newlyweds,狙い,aim,受診,seeing a doctor
結婚する,to marry,狙撃兵,sniper,確率,probability
女性,the woman,破る,"to tear, to rip",確か,"sure, certain"
妻,the wife,破壊,destruction,確り,"tightly, firmly"
夫 / 配偶者,the husband/spouse,破片,fragment,正確,accurate
ロマンチック,romantic,突破,breakthrough,確かめる,to make sure
結婚記念日,the wedding anniversary,破損,damage,確認,confirmation
キス,the kiss,破く,"to tear, to rip",確実,"certain, sure"
花束,the bouquet,破れる,"to get torn, tear, rip",明確,"clear, precise"
贈り物,the gift,破滅,"ruin, destruction",的確,"precise, accurate"
心臓,the heart,打破,breaking down,確信,conviction
褒め言葉,the compliment,破局,catastrophe,確保,"securing, obtaining"
一目ぼれ,love at first sight,破綻,"failure, collapse",確立,establishment
カップル,the couple,見破る,to see through,確定,"decision, settlement"
スピーチ,the speech,郵便局,post office,確固,"firm, resolute"
ゲスト,the guest,薬局,pharmacy,確約,firm promise
結婚,the marriage,結局,after all,不確実,uncertain
新郎,the groom,局長,bureau director,不確か,uncertain
蝶ネクタイ,the bow tie,当局,authorities,再確認,reaffirmation
パートナー,the partner,難局,difficult situation,初期設定,default settings
タキシード,the tuxedo,局面,state of the game,設定,"establishment, setting"
新婚旅行,the honeymoon trip,終局,"end, close",設計,plan
同盟,the alliance,局員,clerk,建設,construction
リング,the ring,事務局,secretariat,設備,"equipment, facilities"
婚約指輪,the engagement ring,局部,"part, section",設ける,to prepare to provide
市庁舎,the town hall,局地的,localized,設ける,"to set up, to establish"
式典,the ceremony,診察,medical examination,目的,"purpose, goal"
ネクタイ,the tie,観察,observation,積極的,"proactive, positive"
愛の宣言,the declaration of love,視察,inspection,消極的,"negative, passive"
名誉の女中,the maid of honor,察する,"to guess, to sense",的確,precise
抱擁,"the hug, embrace",考察,consideration,比較的,comparatively
教会,the church,検察,examination,知的,intellectual
彼女,the girlfriend,察知,"sense, infer",先天的,inborn
結婚提案,the marriage proposal,警察署,police station,一般的,general
驚き,the surprise,査察,inspection,経済的,economic
半島,a peninsula,浜辺,a beach,山,a mountain
温泉,a hot spring,草地,a meadow,オアシス,an oasis
丘,"hill, height, knoll",干す,"to air, to dry, to drain",汗,"sweat, moisture"
丘陵,hill,若干,"some, few",冷や汗,cold sweat
砂丘,sand dune,干物,dried fish,発汗,sweating
干渉,interference,干天,drought,汗ばむ,to be sweaty
交渉,negotiations,汁,"juice, soup",大汗,heavy sweating
和平交渉,peace talks,味噌汁,miso soup,汗する,to perspire
渉る,to cross over,果汁,fruit juice,制汗剤,deodorant
氷,ice,煮汁,broth,手汗,palm sweat
氷山,iceberg,つけ汁,dipping sauce,江戸,edo 
氷河,glacier,肉汁,meat soup,江戸時代,edo period
流氷,drift ice,煮出し汁,"(soup) stock, broth",堀江,canal
氷原,ice field,汚い,dirty,江戸川,edo river
氷点下,below freezing,汚染,pollution,江,"inlet, bay"
氷点,frezing point,汚職,corruption,蒸気,"steam, vapour"
氷雨,cold rain,汚名,stigma,汽車,train (steam)
氷解,being cleared,汚れる,to get dirty,汽笛,steam whistle
初氷,first freezing,汚す,to pollute,蒸気船,steamboat
樹氷,frost on trees,汚れ,dirt,汽圧,steam pressure
薄氷,thin ice,汚水,filthy water,汽水,brackish water
かき氷,shaved ice,汚らわしい,filthy,汽缶,boiler
永遠,eternity,汚点,stain,汽船,steamboat
永久,eternity,汚れ,uncleanness,解決,"settlement, solution"
永続,permanence,水質汚染,water pollution,決して,never
永住,permanent residence,環境汚染,environmental pollution,決める,to decide
永い,"long distance, long time",空気汚染,air pollution,決まる,to be decided
永年,perennial,汚染物質,pollutant,判決,judicial decision
日永,long day,口汚い,foul-mouthed,決断,decision
防波堤,breakwater,政治,politics,沿い,along
寒波,cold wave​,自治,self-government,沿道,roadside
周波数,frequency,治療,(medical) treatment,沿海,"coast, shore"
電磁波,electromagnetic wave,治める,"to govern, to manage",沿って,along
衝撃波,shock wave,統治,"rule, reign",に沿って,"along, parallel to"
波紋,ripple,退治,extermination,道沿い,along the road
荒波,raging waves,治まる,"to die down, to abate",壁沿い,along the wall
余波,after-effect,全治,complete recovery,海沿い,seashore
波止場,"wharf, jetty",運河,"canal, waterway",路線に沿って,along the route
短波,short wave,河川,rivers,沿岸漁業,coastal fishing
さざ波,ripple,氷河,glacier,沿路,route
治す,"to cure, to heal",川沿い,along the river,沿革,"history, development"
治る,"to get better, to get well",河豚,puffer fish,状況,"state of affairs, situation"
治癒,"healing, cure",河口,mouth of river,不況,"depression, recession"
政治的,political,河原,dry riverbed,好況,prosperous conditions
主治医,attending physician,沿岸,"coast, shore",況して,still more
治安,public order,沿線,alongside a railway line,盛況,"success, prosperity"
治療法,method of treatment,沿う,"to run along, to follow",戦況,war situation
止める,to stop,筋肉,muscle,半日,half day
辺り,"around, vicinity",売り切れ,sold out,有料,"fee-charging, paid"
一人,one person,当局,authorities,有害,harmful
用いる,to use,川,river,庭,garden
ひな祭り,doll's festival,積む,to pile up,七夕,star festival
当てる,"to hit, to guess",力,power,食料,food
見晴らし,"view, prospect",たばこ屋,tobacco shop,夜中,middle of the night
強力,powerful,市場,market,海水,sea water
月,moon,発明,invention,関節,joints
農家,farmer,借金,debt,助ける,"to save, to help"
集合,"gathering, set",上がる,to rise,海上,on the sea
豊富,abundance,新聞,newspaper,空,sky
口,mouth,勝ち,win,総数,total number
旗,flag,翌日,next day,一周,round the clock
同一,identical,両者,both,演劇,theater
三つ,three,種類,"type, variety",種目,"item, species"
左,left,面積,area,氏名,full name
七つ,seven,記入,entry,誰か,somebody
二日,two days,俳優,actor,眠い,sleepy
四日,four days,自衛隊,self-defense forces,芋,potato
駅,station,短気,short temper,全身,whole body
接着剤,adhesive,互助,mutual aid,死亡率,death rate
六,six,呼吸,breathing,飛ばす,"to let fly, to ship over"
祭りの後,after the festival,笑い,laughter,仕舞う,"to finish, done"
弟,brother,大通り,the main street,風呂,bath
検討する,to consider,ガレージ,a garage,犬,dog
建設地,construction site,周囲,surroundings,冷凍魚,refrigerated fish
買い上げて,done buying,昨年,last year,白鳥,swan
微か,faint,利く,smart,駆け付ける,to run to
割引,a discount,日記,diary,駝鳥,ostrich
払い戻し,a refund,ブロック,a block,運賃,a fare
建設中,under construction,悪くなる一方だ,It's only getting worse,講談,story-telling
約束,an appointment,典型,typical,ボーリング場,a bowling alley
作曲,compose,使役,employment,増える一方,increasingly
九日,nine days,枯葉,dead leaf,焼き鳥,yakitori
請求書,a bill (accounting),薬,medicine,人種,race
結節,"knot, node",戦後,post war,泥だらけ,covered in mud
乾杯,cheers,大国,great power,注ぎ込む,to invest in
劇,play,不要,unnecessary,要するに,in short
解説者,commentator,千葉県,chiba prefecture,急増,sudden increase
計画を立てる,to plan,歴史的,historical,高等,high
封,sealed,代役,substitute (actor),眼鏡,glasses
