Sentences,Translation,Remarks
私はまだここにおります。,I am still here.,"672- おる/oru [v] be, exist (humble)"
週末はボランティア活動をする。,I participate in volunteer activities on weekends.,"673- 活動/katsudoo [n] action, activity"
余震に不安があります。,I have anxiety about the aftershocks.,"674- 不安/fuan [n] anxiety, insecurity"
三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,675- 三十分/sanjuppun [n] 30 minutes
クラスの人 数には限りがあります。,There is a limit to the class size.,"676- 限り/kagiri [n] limit, extent"
先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,"677- いらっしゃる/irassharu [v] go, be (honorific)"
安全への意識を高める,Promote safety awareness.,"717- 意識/ishiki [n] consciousness, awareness"
発 明の元は失敗にあった。,The origin of the invention was in a failure.,"718- 元/moto [n] origin, source"
大人と子供の行 動は違う。,The behaviors of adults and children are different.,"719- 行動/koodoo [n] action, behavior"
今日は気温が低い。,The temperature is low today.,"720- 低い/hikui [i-adj] low (quality, degree, position)"
知らせにびっくりした。,I was surprised by the news.,"721- びっくり/bikkuri [adv] be surprised, be frightened"
不思議な偶然が続く。,Mysterious  coincidences continued to happen.,"797- 不思議/fushigi  [na-adj]  wonderful, mysterious"
おちゃ茶はあつ熱いうちがおいしい。,Tea  is at its best when it’s still hot.,798- 茶/cha  [n]  tea
わからないことは直接聞いた方がいい。,If you don’t know you should ask  directly.,"799- 直接/chokusetsu  [na-adj]  direct, firsthand"
駅までバスに乗る。,I take the  bus  to the station.,800- バス/basu  [n]  bus
薬の効果が現れるまで二週間かかる。,It will take two weeks for the medicine to have an  effect.,801- 効果/kooka  [n]  effect
現実は理想とは違う。,Reality  can be different from expectation.,802- 現実/genjitsu  [n]  reality
赤ちゃんの肌に触れる。,Touch  the baby’s skin.,"803- 触れる/fureru  [v]  touch, experience"
番犬を飼う。,I  own  a guard dog.,"804- 飼う/kau  [v]  raise, own (animal)"
クラシック音楽のコンサートではしゃべることは禁じられている。,You are not allowed to  talk  during classical music concerts.,"805- しゃべる/shaberu  [v]  talk, chat"
外務省は国民を保護しています。,The Ministry of Foreign Affairs aims to protect  Japanese  citizens.,806- 国民/kokumin  [n]  citizen
朝日が窓からさす。,The morning sun  shines  off the window.,"807- さす/sasu  [v]  shine, pour, put"
会社のやり方には納得いかない。,I don’t get the  way  this company works.,"808- やり方/yarikata  [n]  method, way"
ずいぶん大きなくまのぬいぐるみだね。,What a  surprisingly  big stuffed bear.,"809- ずいぶん/zuibun  [adv]  considerably, surprisingly"
日本語にもいろいろな方言がある。,There are many dialects in  Japanese.,810- 日本語/Nihongo  [n]  Japanese (language)
十月にはハロウィーンがある。,We have Halloween in  October.,811- 十月/juugatsu  [n]  October
気分転換に散歩にいこう。,Let’s take a walk for a change of  mood.,"812- 気分/kibun  [n]  feeling, mood"
寒いので息が白く見えます。,I can see my breath when it’s cold.,1300- 息/iki [n] breath
間違った情報が伝わる。,Incorrect information will be relayed.,"1301- 伝わる/tsutawaru [v] spread, descend, relay, communicate"
映画の撮 影が行われた。,A movie was being filmed.,"1302- 撮影/satsuei [n] shooting, filming, photographing"
カウンセラーの指導を受ける。,I am getting guidance from a counselor.,"1303- 指導/shidoo [n] guidance, coaching, leadership"
宛先の住所を教えてください。,Please provide your mailing address.,1984- 住所/juusho [n] address
迷子になっても彼は平気だった。,"Even when he was lost, he looked unconcerned.","1985- 平気/heeki [na-adj] calmness, composure, unconcerned"
ゴルフのコースを回る。,Go around the golf course.,1986- コース/koosu [n] course
昔の友達を訪ねる。,I am visiting my old friends.,1987- 訪ねる/tazuneru [v] visit
また家の鍵を無くしてしまった。,I lost my house key again.,"1988- 鍵/kagi [n] key, lock"
世界中の人々と友 達になりたい。,I want to make friends with people from around the world.,1989- 世界中/sekai-juu [n] around the world
彼は掃除が下手だ。,He is poor at cleaning.,"1990- 下手/heta [na-adj] unskillful, poor, clumsy"
日記の代わりに詩を書く。,I write poems instead of a daily journal.,1991- 詩/shi [n] poem
手 術 後の経過はどうですか,How is his progress after the surgery?,"1992- 経過/keeka [n] passage, progress"
客室を整える。,Prepare the guest room.,"1993- 整える/totonoeru [v] put in order, adjust, prepare"
バスツアーで奈良に行きます。,We are going on a bus tour to Nara.,1994- ツアー /tsuaa [n] tour
太 陽は西に沈む。,The sun sets in the west.,1995- 西/nishi [n] west
質問事項をまとめる。,Summarize the items being questioned.,"1996- 事項/jikoo [n] matter, item, facts"
放課後に塾に通っています。,I go to a cram school after my regular school.,"1997- 塾/juku [n] cram school, tutoring school"
今の会 社を去ることにした。,I have decided to leave the company.,"1998- 去る/saru [v] leave, go away, pass"
五人が夕食の席に一緒に座りました。,Five people sat together at the dinner table.,1999- 五人/gonin [n] five people
入り口はどこですか。,Where is the entrance?,2000- 入り口 /iriguchi [n] entrance
日本人のふりをしました。,I pretended to be Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
先生のことが好きじゃないけど、好きなふりをしました。,I pretended to like my teacher even though I didn't like him.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
若いふりをしました。,I pretended to be young.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
日本語が分からないふりをしました。,I pretended not to understand Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
日本人のふりをしません。,I don't pretend to be Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
先生 のことが好きじゃないけど、好きなふりをします。,"I don't like my teacher, but I will pretend to like him.","2001- ふりをする/furiwosuru [v] to act like, to pretend "
もう若いふりができません。,I can't pretend to be young anymore.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
日本語が分からないふりをしたくないです。,I don't want to pretend that I don't understand Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.,"2002- から〜にかけて/kara~nikakete [exp] from~up to, approximate range"
台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,"Due to the typhoon, it rained heavily from last night to this morning.","2002- から〜にかけて/kara~nikakete [exp] from~up to, approximate range"
数学の答案は間違いだらけだった。,My math answer sheet was full of mistakes.,"2003- だらけ/darake [sfx] full of, covered all over with"
山頂までの道は石ころだらけだ。,The path to the summit was strewn with stones.,"2003- だらけ/darake [sfx] full of, covered all over with"
白しら髪が が少ないおかげで若く見られることが多い。,"Thanks to my lack of gray hair, I often look younger.",2004- おかげ/okage [exp] thanks to
医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, the average life expectancy has increased.",2004- おかげ/okage [exp] thanks to
彼の言うことを信じたおかげでひどい目にあった。,"Thanks to I believed what he said, I got into a terrible mess",2004- おかげ/okage [exp] thanks to
わたしは夏の間ずっと北海道にいました。,I've been in Hokkaido all summer.,"2005- あいだ/aida [n,grm] throughout the time, during"
夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.,"2006- あいだに/aidani [grm] during, when"
長時間にわたる議論のあげく結論は先送りされた。,"After a long discussion, the conclusion was postponed.","2006- あげく/ageku [grm] after all, in the end"
先生の受賞のお祝いに何かさしあげましょうよ。,Why don't we give you something to celebrate your award?,2007- あげる/ageru [grm] to give
愛あっての結婚生活だ。,Love is what makes a marriage work.,"2008- あっての/atteno [grm] comprised of, co-existence, owing to"
食事の後で少し散歩しませんか。,Why don't we take a short walk after dinner?,"2009- 後で/atode [grm] after, afterwards"
合格の知らせを聞いて彼女はうれしさのあまり泣き出した。,She was so happy when she heard the news that she had passed the exam that she started to cry.,"2010- あまり/amari [grm] (not) very, (not) much"
あまりの大変さに時々会社を辞めたくなる。,"It's so hard, sometimes I feel like quitting the company.","2011- あまりの~に/amarino~ni [grm] due to (not) very, due to (not) much, due to excessive"
商品の説明のし方いかんで売れ行きに大きく差が出てきてしまう。,The way you explain a product can make a big difference in its sales.,"2012- いかんで/ikande [grm] in accordance with, depending on"
本の売れ行きいかんではすぐに増刷ということもあるでしょう。,"Depending on how well the book sells, there may be an immediate reprint.","2013- いかんでは/ikandewa [grm] in case of, in accordance with, depending on"
この区では場所のいかんにかかわらず路上喫煙は禁止です。,"Smoking on the street is prohibited in this ward, regardless of the location.",2014- いかんにかかわらず/ikannikakawarazu [grm] regardless of
進行状況のいかんによらず中間報告を提出してください。,Please submit an interim report regardless of the progress.,"2017- いかんによらず/ikanniyorazu [grm] regardless of, doesn’t depend on whether"
身内に医者がいるとなんかと安心だ。,It's a relief to have a doctor as a relative.,2015- 身内/miuchi [n] relative
彼女は肉親の一人を失った。,She had lost one of her immediate family members.,"2016- 肉親/nikushin [n] immediate family, blood relative"
この机は頑丈に出来ている,This desk is solidly built.,"2017- 頑丈/ganjou [adj] solid, firm, stout, burly, strong, sturdy"
