Expression,Expn,Trans,Convo1,T1,Convo2,T2,Convo3,T3,Convo4,T4,Convo5,T5,Convo6,T6,Convo7,T7,Convo8,T8,Convo9,T9
道をたずねる,michi o tazuneru,Asking the way,すみません、駅はどっちですか。,"Excuse me, which is the train station?",この近くにコンビニはありませんか。,Is there a convenience store nearby?,本町2丁目3番はどの辺ですか。,Where is Honmachi 2-chome-3?,タクシー乗り場はどこですか。,Where is the cab stand?,すみません、ここに行きたいんですが。,"Excuse me, I'd like to go here.",金閣寺へはどう行けばいいですか。,How can I get to Kinkakuji Temple?,ここから清水寺まで歩いて行けますか。,Can I walk to Kiyomizu-dera Temple from here?,スカイツリーの最寄り駅はどこですか。,Where is the nearest station to Sky Tree?,,
ホアノレで,hoteru de,At a hotel,予約しているブラウンです。チェックイン,I have a reservation at Brown. Check-in,夕食は何時からですか。,What time is dinner served?,インターネットは使えますか。,Can I use the Internet?,お湯が出ないんですが。,There is no hot water.,浴衣が小さいんですが。大きいサイズのはありますか。,My yukata is too small. Do you have one in a larger size?,モーニングコールをお願いしたいんですが。,Can you give me a wake-up call?,タクシーを呼んでほしいんですが。,Can you call me a cab?, 荷物を預かってもらえますか。, Can you take care of my luggage?,,
レストラン・喫茶店で,resutoran / kissaten de ,At a restaurant or coffee shop,メニューを見せてもらえますか。,Can I see your menu?,すみません、注文をお願いします。,"Excuse me, can I have your order?",コーヒーをお願いします。,"Can I have a cup of coffee, please?",ホットとアイス、どちらになさいますか。 ,Do you want it hot or iced? ,ホットでお願いします。,"Hot, please.",お郎み翔はお食事の負でよろしいですか。,"Is Oromi-sho for the meal negative, please?",後でお願いします。,Please call me a taxi later.,一緒でお願いします。,Please leave your luggage with us.,,
レストラン・喫茶店で,resutoran / kissaten de ,At a restaurant or coffee shop,私はこれにします。さくらさんは何にしますか。,"I'll take this one. What would you like, Sakura-san?",おすすめはですか。,What do you recommend?,これは豚肉が入っていますか。,Does this contain pork?,生の魚は苦手なんです。,I don't like raw fish.,お酒は飲めないんです。,I don't drink alcohol., 姦したものが来ないんですが。, I haven't received my fornication.,これは注文していません。,I did not order this.,お会計お願いします。,Please pay the bill.,,
デパートで,depato de,At a department store,これはいくらですか。,How much is this?,もうちよっと安いのはありませんか。,Is there anything cheaper?,ほかの色はありますか。,Do you have any other colors?,もう少し明るい色はありませんか。,Do you have any brighter colors?,試着してもいいですか。,May I try one on?,試着できますか。,Can I try on the clothes?,このくつ、はいてみてもいいですか。,May I try on these shoes?, これのMはありますか。, Do you have M for this?,これの25センチはありますか。,Do you have 25 cm of this?
デパートで,depato de,At a department store,申し訳ありません。こちらに出ているだけとなっております。,I am sorry. It is only shown here.,お取—り寄せになりますが、いかがなさいますか。じゃ、お願いします。,"We can order it for you, but how would you like it? Then, please order it.",このズボンはきっすぎます。,Are these pants too tight?,わかりました。じゃ、これにします。,"Yes, I understand. I'll have this one then.",ょっと考えます。,I will think about it for a while.,お支払はどうなさいますか。,How would you like to pay?,カードでいいですか。,Can I use a credit card?,現金でお願いします。,Please pay in cash.,プレゼントなので、包んでもらえますか。,"It is a gift, so could you wrap it?"
スーパー・コンビニで,suupa / konbini de,At a supermarket or convenience store,すみません、オリーブオイルはどこですか。,"Excuse me, where is the olive oil?",これはいつまで食べられますか。,How long can I eat this for?,開けてからどの/どれくらいもちますか。,How long do they last after opening?,冷蔵庫で1週間は大丈夫です。,It will be fine in the refrigerator for a week.,レジ袋にお入れしますか。いえ、結構です。,"Would you like to put it in a plastic bag? No, thank you.",АВСスーパーの力ードは舞ちですか。,АВСIs the supermarket's wardrobe a mai-chi?,こちらは温めますか。お願いします。,"Would you like me to heat them up? Yes, please.",宅配便を送りたいんですが。,I would like to send a parcel.,,
家電量販店などで,kaden ryouhanten nado de,At a shop such as an electronics store,これとこれは、どこが違うんですか。,What is the difference between this and that?,少し古くてもいいので、安いほうがいいです。,"It may be a little old, but the cheaper the better.", もう少し安くなりませんか。, Can I get a cheaper price?,7万円だったら買うんですが。,"I'll buy it if it costs 70,000 yen.",保証期間はどのくらいですか。,How long is the warranty?,自宅まで送ってもらえますか。,Can you send me home?,配送してもらえますか。,Can you deliver?,いつ、届きますか。,When will it arrive?,これ、不良品だったんです。交換してもらえますか。,This one is defective. Can you exchange it?
薬局で,yakkyoku de,At a drug store,この薬はいつ飲みますか。,When do I take this medicine?,この薬はいつ飲めばいいですか。,When should I take this medicine?,朝・昼・晩、一日3回、食後に飲んでください。,"Please take it 3 times a day, breakfast, lunch, and dinner, after meals.",白いお薬が2錠、青いカプセルが1錠です。,Two white pills and one blue capsule.,お腹が痛いんです。いい薬はありますか。,I have a stomachache. Do you have any good medicine?,痛み止めの薬がほしいんですが。,Can I get some medicine for pain?,早く効くのがいいです。,I want them to work fast.,花粉症に効くいい薬はありませんか。,Do you have any good medicine for hay fever?,この薬は、飲むと眠くなりますか。,Does this medicine make you sleepy when you take it?
病院で,byouin de,At a hospital,今日は診察はしていますか。何時までですか。,Are you seeing a doctor today? Until what time?,今、保険証を持っていないんですが、受診できますか。,I don't have my health insurance card.,どうされましたか。,How did you do?,昨日から寒気がするんです。,I've had a cold since yesterday.,頭痛がします。・頭が痛いです。,I have a headache. I have a headache.,吐き気がします。,I feel nauseous.,気分が悪いです。,I don't feel well.,ときどきめまいがします。,I sometimes get dizzy.,食欲はどうですか。あまりありません。,How is your appetite? Not much.
郵便局・銀行・役所で,yuubinkyoku / ginkou / yakusho de ,At a post office; bank or government office,この荷物を航空便でシドニーまで送りたいんですが。,I would like to send this package by air to Sydney.,これをEMSでシンガポールまで送りたいんですが。,I would like to send this to Singapore by EMS.,航空便だと何日くらいかかりますか。,How long does it take by air?,90円切手を5枚ください。,Please give me five 90-yen stamps.,これを速達でお願いします。,Please send this by express mail.,書留にしてください。,Please send by registered mail.,口座を開きたいんですが。,I would like to open an account.,家賃を自動引き落としにしたいのですが。,I would like to have my rent automatically deducted from my account.,,
郵便局・銀行・役所で,yuubinkyoku / ginkou / yakusho de ,At a post office; bank or government office,今、１ドルいくらですか。,How much is a dollar now?,今、１ドル何円ですか。,What is the current exchange rate for one US dollar?,ATMの使い方を教えてください。,How do I use an ATM?,ATMで振り込みができますか。,Can I make a transfer by ATM?,在留カードの更新をしたいのですが。,I would like to renew my residence card.,この書類にご記入ください。,Please fill out this form.,書き方がよくわからないのですが。,I am not sure how to write.,英語で相談できますか。,Can I ask for help in English?,日本語の講座はありますか。,Do you have any Japanese courses?
大学で,daigaku de,At a university,この授業は誰でも受けられますか。,Is this class open to everyone?,この講座を受けたいんですが。,I would like to take this course.,履修登録の受付はいつまでですか。,How long is the registration period open?,レポートの提出期限はいつですか。,When is the deadline for submitting my report?,レポートを見ていただいてもよろしいでしょうか。,May I have a look at your report?,明後日3時に先生の研究室にうかがいます。,I will come to your laboratory at 3:00 the day after tomorrow.,ご指導いただき、ありがとうございました。 ,Thank you very much for your guidance. ,,,,
大学で,daigaku de,At a university,これから授業に出るんですか。,Are you going to class now?,明日の2限は授業入って(い)ますか。,Do you have classes in the 2nd period tomorrow?,この孵はまだ幾できるみたいですよ。,It looks like you can still do some of this hatching.,金日の「国際コミュニケーション」は休講です。,"International Communication"" is cancelled on Friday and Sunday.",単位は取れそうですか。ううん、落とすかもしれません。,"Will I be able to earn credits? No, I might fail.",森先生は厳しいから、授業は休めません。,"Mori Sensei is strict, so I can't miss class.",これ、ちょっとコピーさせてくれませんか。,Can you let me make a little copy of this?,スーザンは図書館で調べものをしています。,Susan is doing some research at the library.,,
会社で,kaisha de ,At the office,お疲れさまです。,Thank you very much for your hard work.,午後から外出します。,I will be out of town in the afternoon.,何時に戻る予定ですか。,What time do you plan to return?,これを5部ずつコピーしてもらえますか。わかりました。,"Can you make five copies of each of these? Okay, I will.",じゃ、お昼に行ってきます。,"Well, I'm going to lunch.",さくら広告に打ち合わせに行ってきます。,I'm going to a meeting with Sakura Advertising.,お先に失礼します。,Excuse me after you.,お疲れさまでした。,Thank you for your hard work.,,
会社で,kaisha de ,At the office,ブラウンさんも会議に出るんですか。,"Are you going to a meeting too, Mr. Brown?",ミーティングは10時からでしたか。,Does the meeting start at 10:00 a.m.?,部長が打ち合わせを3時に変更してほしいそうです。,The director wants to reschedule the meeting for 3:00 p.m.,田中さんは社内にいますか。,Is Mr. Tanaka in the office?,担当者の名刺を持っていますか。,Do you have the business card of the person in charge?,特に問題はないですか。,Is there any problem?,ええ。今のところ、問題ないです。,"Yes. So far, so good.",ちよっとお聞きしたいことがあるんですが、今、いいですか。,I have a few questions.,,
友達・先生の家を訪ねる,tomodachi / sensei no ie o tazuneru,Visiting a friend's or teachefs house,こんにちは。おじゃまします。,"Hello, Mr. Brown. Hello, I'm sorry to bother you.",田中さんには、いつもお世話になっています。,"I am always grateful for your help, Mr. Tanaka.",コーヒーか紅茶はいかがですか。,Would you like some coffee or tea?,じゃ、コーヒーをお願いします。,"Then, can I have a cup of coffee, please?",何を飲みますか。— じゃ、お茶をお願いします。,"What would you like to drink? - Tea, please.",今日はお招きいただき、ありがとうございました。,Thank you for inviting me today.,では、そろそろ失礼します。,"Now, if you'll excuse me.",どうもおじゃましました。,Thank you for your time.,,
ホストファミリーと,hosuto familii to,With a host family,これからお世話になりますジョーンズです。よろしくお願いします。,"My name is Jones, and I will be taking care of you from now on. Nice to meet you.",皆さんはいつも何時に起きますか。,What time do you usually get up?,晩ご飯はいつも何時頃ですか。,What time do you usually have dinner?,何か家のルールがあったら教えてください。,What are your house rules?,この人は誰ですか。,Who is this person?,今日はちょっと帰りが遅くなります。,I will be home a little late today.,心配をかけて、すみませんでした。,I'm sorry for making you worry.,本当の家族のように接してくれて、 ありがとうございました。,Thank you for treating me like a real family.,,
不動産屋で ,fudousanya de,At a real estate agent,この辺で、一人暮らしの部屋を探しているんですが。,I'm looking for a room to live alone around here.,どんな部屋をお探しですか。,What kind of room are you looking for?,どんな部屋をご希望ですか。,What kind of room would you like?,明るくて、広い部屋がいいです。,I like a bright and spacious room.,静かなところのほうがいいです。,I prefer a quiet place.,駅から近いほうがいいです。,It would be better to be closer to the station.,駅から徒歩10分以内のところがいいです。,I'd like a place within a 10-minute walk from the station.,この部屋を見てみたいんですが。,I'd like to take a look at this room.,,
近所の人と話す,kinjo no hito to hanasu,Talking with neighbors,201号室に引つ越してきました、リベラと申します。よろしくお願いします。,My name is Rivera and I'm moving into room 201. I am looking forward to living with you.,燃えるごみは何曜日に出すんですか。,What day of the week do you put out the burnable garbage?,燃えないごみは何曜日に出すんですか。,What day of the week do you put out your non-burnable trash?,びんや熊はどこに出したらいいですか。,Where should I put out the bottles and bears?,ペットボトルは資源ごみですか。,Are PET bottles recyclable?,家具や電気製品のようなごみは、どうやって捨てるんですか。,How do you dispose of garbage like furniture and electrical appliances?,トイレが詰まってしまったようです。,I think my toilet is clogged.,,,,
電話で話す,denwa de hanasu,Talking on the phone,はい、リベラです,"Yes, I'm Rivera.",もしもし、リベラさん?田中ですが。,"Hello, Mr. Rivera? This is Tanaka.",失礼ですが、どちらの田中さんですか。,"Excuse me, which Tanaka-san are you?",失礼ですが、番号をお間違えではないでしょうか。,"Excuse me, but I think you must have the wrong number.",リベラと申しますが、鈴木先生はご在宅でしょうか。,"My name is Rivera, is Dr. Suzuki at home?",夜分に申し訳ありません。,Sorry for the late hour.,今、お時間よろしいですか。・今 、時間、大丈夫?,Is this a good time? Is this a good time?,じゃ、また連絡するね。,"Okay, I'll call you later.",じゃ、失礼します。・では、失礼いたします。,"Well, excuse me. Well, excuse me."
電話で話す,denwa de hanasu,Talking on the phone,田中さんをお願いします。少々お待ちください。,"Tanaka-san, please. Please wait a moment.",営業部の田中さんにお取り次ぎいただけますでしょうか。,Could you put me through to Mr. Tanaka in the sales department?,おつなぎしますので、このままでお待ちください。,Please wait while we connect you.,申し訳ありません。田中はただ今ほかの電話に出ておりまが...。,I am sorry. Tanaka is on the other line right now.,田中はただ今席をはずしておりますが、折り返しお電話させましょうか。,"Tanaka is not in the office at the moment, but I can have him call you back.",田中はただ今会議中ですが、 お急ぎでしょうか。,Tanaka is in a meeting right now.,よろしければ、ご伝言を承りますが...。,"If you don't mind, I'd be happy to take your message.",,,,
電話で話す,denwa de hanasu,Talking on the phone,田中はただ今外出しておりまして、3 時に戻る予定です。,Tanaka is out right now and will be back at 3:00.,何時ごろにお戻りでしょっか。,What time will you be back?,お戻りになったらお電話をいただきたいのですが。,I would like you to call me when you return.,すみません、お電話をいただいたそうで。,"I'm sorry, I heard you called.",お調べしますので、少々お待ちください。,"I will check on it, please wait a moment.",担当の者に代わりますので、少々お待ちください。,Please wait a moment while I put someone in charge.,すみません、もう一度よろしいですか。,"Excuse me, may I try again?",,,,
電話で話す,denwa de hanasu,Talking on the phone,注文をお願いします。,Please place your order.,これでは、お客様お名前とご住所をお願いします。,"This is a customer name and address, please.",では、ご注文を承ります。,"Then, I will take your order.",マルゲリータのмサイズ1つとポテト、それと、サラダをお願いします。,"I'd like a м-size Margherita, fries, and a salad, please.",何分ぐらいかかりますか。,How long will it take?,不在票が入っていたので、再配達をお願いします。,"There was an absentee ballot in the mailbox, so please redeliver it.",いつの酉己達がよろしいですか。,When would you like to speak to the rooster?,明日の午前中にお願いします。,"Tomorrow morning, please.",,
電話で話す,denwa de hanasu,Talking on the phone,チケットの予約をしたいのですが。,I would like to reserve tickets.,ABCのライブですが、12貝仪目のチケットはまだ取れますか。,This is the ABC concert. Can I still get a ticket for the 12th shellfish?,s席はまだ残っていますか。,Are there any seats left?,じゃ、A席を2枚お願いします。,"And two A seats, please.",なるべく前の方の席がいいのですが。,I would like to sit in the front as much as possible.,先日予約したチケットのキャンセルをお願いしたいのですが。,I would like to cancel the ticket I reserved the other day.,予約番号がわからなくなってしまったのですが...。,I don't know my reservation number....,,,,
デートに行く,deito ni iku,Going on a date,今度ABCのライブがあるんですが、よかつたら一緒に行きませんか。,There is a live concert of ABC coming up.,OKの返事を受けてよかった。,Good to hear back from you OK.,7月20日から22日の3日間のうち、どの日がいいですか。,"Which of the three days, July 20-22, would you prefer?",待ち合わせはどこにしますか。,Where would you like to meet?,時間は5時半でいいですか。,Is 5:30 a.m. OK?,お待たせしました。早く来て(い)たんですね。 ,Thank you for your patience. You (were) here early. ,じゃ、まずは食事ですね。何が食べたいですか。,"Well, let's have a meal first. What would you like to eat?",すごくよかったなあ。リカさんはどうだった?　私も。,"It was very nice. How was it, Rika?　Me too.",,
警察・交番で,keisatsu / kouban de,At a police station,さっき、駅で財布をすられました!,I just had my wallet snatched at the station!,すみません、スマホを落としたみたいなんです。,"Sorry, I seem to have dropped my phone.",どこで落としたかわかりませんが、電車に乗る時はありました。,"I don't know where I dropped it off, but it was there when I got on the train.",財布には、現金3万円とクレジットカード、銀行のカードが入っていました。,"In my wallet I had 30,000 yen in cash, credit cards, and a bank card.",SUZUKIの財布で、色は黒です,"I have a SUZUKI wallet, black in color.",見つかったら、知らせていただけますか。,Could you please let me know when you find it?,そこの交差点で事故があったみたいです。,There seems to have been an accident at that intersection.,,,,
旅行の計画をたてる,ryokou no keikaku o tateru,Making a travel plan,今度 、みんなでに行きませんか。,Would you like to go with me next time?,近くでいいから海外にしませんか。,Would you be willing to go abroad if it is close by?,いいですね。そうしましょう,That would be nice. I will do so.,例えば、どこですか。,"Where, for example?",南の島がいいです。バリとかサイパンとか。賛成。,I would like to go to the south island. Like Bali or Saipan. Agreed.,2月はどうですか。航空券が安いですよ。,How about February? Airline tickets are cheap.,ネットで調べてみましょう。,Let's look it up on the Internet.,旅行会社に問い合わせてみます,I'll check with the travel agency.,,
旅行会社で,ryokougaisha de,At a travel agency,このツアーについて詳しく聞きたいんですが。,I would like to know more about this tour.,ご出発日はいつでしょうか。,When is your departure date?,9具の占馬を祈しています。,I am praying for a 9 tool divining horse.,座席指定はできますか。,Do you have a seat assignment?,海の見える部屋がいいんですが。,I would like a room with a view of the ocean.,自由時間はどれくらいありますか。,How much free time do you have?,キャンセル料はいつからかかりますか。,When will the cancellation fee be charged?,,,,
美容院で,biyouin de,At a hair salon,5時に予約していたミラーです。,I am Miller and I have a reservation for 5:00.,カットをお願いします。,Please make the cut.,全体的に2センチくらい切ってもらえますか。,Could you please cut about 2 cm overall?,こんな感じにしてもらえますか。,Can you make it like this?,前髪はどうしますか。眉毛が隠れるくらいにしてください。,What about bangs? It should be enough to cover my eyebrows.,もう少し切ってもらえますか。,Can you cut it down a little more?,あとはお任せします。,I'll leave the rest to you.,,,,
アルバイトの面接,arubaito no mensetsu,Part time job interview,インターネットの募集広告を見て、お電話しました。,I saw your ad on the internet and called you.,まだ募集をされていますか。,Are you still accepting applications?,では、明日3時にお伺いします。よろしくお願いいたします。,Then I will visit you tomorrow at 3:00. Thank you very much.,本日з時に面接のお約束をいただいておりますスミスと申します。,My name is Smith and I have an appointment for an interview today at з:00.,スミスと申します。本日はよろしくお願いします。,My name is Smith. I look forward to working with you today.,こういう仕事は経験ありますか。いえ、関連した仕事は多少経験があります。,"Do you have experience in this kind of work? No, I have some experience in related work.",ー度日本の会社で働いてみたいと思っていました。,I have always wanted to work for a Japanese company.,今日はお時間をさいていただき、ありがとうございました。,Thank you for taking the time to see us today.,,
スポーツ,supoutsu,Sport,どちらのチームが勝っていますか。,Which team is winning?,6対1でタイガースがドラゴンズに勝ちました。,The Tigers beat the Dragons 6-1.,ほぼ毎日ジムに行きます。,I go to the gym almost every day.,テレビで相撲を見ますか。,Do you watch sumo on TV?,学校で何かスポーツをしましたか。,Did you play any sports at school?,あなたの国で一番人気があるスポーツは何ですか。,What is the most popular sport in your country?,私はテニスをします。,I play tennis.,,,,
映画,eiga,Movies,好きな映画はなんですか。,What is your favorite movie?,土曜日に映画を見に行きますか。,Are you going to a movie on Saturday?,映画は3Dで見るのが好きです。,I like to watch movies in 3D.,硫黄島からの手紙を見たことがありますか。,Have you ever seen Letters from Iwo Jima?,どんな映画が好きですか。,What kind of movies do you like?,ハリーポッターの映画や本は日本で人気ですか。,How popular are the Harry Potter movies and books in Japan?,今週末に見るDVDはどこで借りられますか。,Where can I rent a DVD to watch this weekend?,,,,
豕族,kazoku,Family,私たちは双子です。,We are twins.,あなたの家族はクリスマスを祝いますか。,Does your family celebrate Christmas?,お兄さんの仕事は何ですか。,What is your brother's job?,妹は大学を卒業したばかりです。,My sister just graduated from college.,ご家族がいなくて、寂しいですか。,Do you miss your family?,来月は両親の結婚50年記念です。,Next month is my parents' 50th wedding anniversary.,祖母は今、具合がよくありません。,My grandmother is not feeling well.,,,,
健康,kenkou,Health,私はシーフードアレルギーがあります。,I am allergic to seafood.,私は血圧が低いです。,I have low blood pressure.,インフルエンザの予防接種はいっすればいいですか。,How can I get a flu shot?,この辺にいい医者はいますか。薬がなくなりそうです。,Is there a good doctor around here? I am about to run out of medicine.,歯が痛いです。いい歯医者を知りませんか。,Do you have a toothache? Do you know a good dentist?,日本語でアンティバイオティックスはなんですか。抗生物質です。,What is Antibiotics in Japanese? Antibiotics.,漢方薬は保険でカバーされていますか。,Is Chinese medicine covered by insurance?,,,,
趣味,shumi,Hobbies,趣味は何ですか。,What are your hobbies?,暇な時に(いつも)倒をしますか。,Do you (always) fall down in your spare time?,ミステリーを読むのが大好きです。,I love to read mysteries.,旅行がとても好きです。,I like traveling very much.,私はレッドソックスのファンで、試合全部見に行きます。,I am a Red Sox fan and go to all their games.,私の国の家族や友人にスカイプします。,I will Skype with my family and friends in my country.,ブラッド・ピットの新しい映画を見ました。,I saw the new Brad Pitt movie.,,,,
週末,shumatsu,Weekend,週末はどうでしたか。,How was your weekend?,週末に何かおもしろいことをしましたか。,Did you do anything interesting over the weekend?,天気が良かったので山にハイキングに行きました。,"The weather was nice, so I went hiking in the mountains.",紅葉がとてもきれいでした。,The autumn leaves were very beautiful.,スキーは楽しかったです。雪は柔らかい粉雪でした。,I enjoyed skiing. The snow was soft and powdery.,かぜをひいたので、家にいました。,"I caught a cold, so I stayed home.",友達が家に来たので、二人でDVDを見ました。,My friend came over and we watched the DVD together.,,,,
天気,tenki,Weather,今日は晴れです。,It is sunny today.,いいお天気ですね。,It's a beautiful day.,暑いですね。,It is very hot.,寒いですね。,It is cold.,むし暑いですね。,It is very hot and humid.,あしたは雨でしょう。,It will rain tomorrow.,かさを忘れないでください。,Don't forget the umbrella.,,,,
日本,Nihon,Japan,あなたの好きな和食は何ですか。,What is your favorite Japanese food?,銭湯か温泉に行ったことはありますか。,Have you ever been to a public bath or hot spring?,相撲を見に行きませんか。,Why don't you go watch sumo wrestling?,近所の人とよく話しますか。,Do you often talk with your neighbors?,漢字を正しい書き順で書くのは大事ですか。,Is it important to write Chinese characters in the correct stroke order?,なぜ、ゴールデンウィークと呼ばれるのですか。,Why is it called Golden Week?,"日本人は、なぜ""かわいい""ものが好きなんですか。","Why do Japanese people like ""kawaii"" things?",,,,
本,hon,Books,どんな本を読みますか。,What books do you read?,私はSFを読むのが好きです。,I like to read science fiction.,あなたの好きな著者はだれですか。,Who is your favorite author?,スティーヴン・キングの新しい小説は読みましたか。,Have you read the new Stephen King novel?,今読んでいる本はなんですか。,What book are you currently reading?,作品が英語で読める日本人のいい作家はいませんか。,Are there any good Japanese writers whose works can be read in English?,日本語を学ぶのにいい本はありませんか。,Are there any good books to learn Japanese?,,,,
旅行,ryokou,Travel,夏休み、一緒に旅行しましょうか。,Would you like to travel together during the summer vacation?,喜んで。どこへ行きますか。,With pleasure. Where do you go?,和室と洋室、どっちに泊まりたいですか。,Would you rather stay in a Japanese-style room or a Western-style room?,料金には食事代も入っていますか。,Does the fee include meals?,新しい場所を歩いて見て回るのが好きです。,I like to walk around and see new places.,郷土料理を味わうのは楽しいです。,I enjoy tasting local cuisine.,名古屋に泊めてくれる友人がいるから、名古屋に行きましよう。,"I have a friend who is staying with me in Nagoya, so let's go to Nagoya.",,,,
