W1,T1,W2,T2,W3,T3,W4,T4
位置する,position,増やす,increase,練習する,practice,動揺する,upset
移る,move,送付する,send,行き来する,coming and going,切望する,crave
率いる,lead,先行する,precede,揺れる,swaying,熱中する,enthusiastic
紹介する,introduce,混乱する,confuse,加速する,accelerate,梱包する,packing
対処する,deal with,入り込む,enter,表明する,express,嘆願する,petition
驚く,surprise,産む,bear (a child),恋する,fall in love,改正する,amend
喜ぶ,be pleased,記入する,fill in,復讐する,revenge,信奉する,believe
直す,fix,持ち上げる,lift up,並行する,parallel,沈める,sink
拡張する,expand,掃除する,clean up,想定する,assume,変る,change
作業する,work,取り入れる,take in,栄える,prosper,分裂する,divide
手伝う,help,所持する,possession,軽蔑する,despise,就ける,serve (in)
運転する,driving,短縮する,shorten,儲かる,be profitable,対戦する,competes against
呼ばれる,be called,予約する,make a reservation,収束する,converge,圧倒する,overwhelm
試す,try it out,滞在する,stay,作製する,create,暗記する,memorize
倒す,beat,取り上げる,take up,響く,resound,見出す,find out
出発する,departure,定まる,become settled,活かす,make use of,退治する,exterminate
重なる,"pile up, overlap",近似する,approximate,備わる,be furnished with,用心する,beware
充電する,charge,廃止する,discontinue,訓練する,training,詳述する,detail
育てる,grow,修理する,repair,遅延する,delay,病死する,die of illness
関与する,engage,増す,increase,傾く,tilt,頒布する,distribute
触れる,touch,点灯する,light up,周回する,circle,故障する,failure
交付する,deliver,補完する,complement,生き延びる,survive,平均する,average
放射する,radiate,ずらす,shift,潜る,dive,上京する,tokyo
開放する,open,運動する,exercise,賞賛する,praise,実る,bear fruit
向く,face,返還する,return,固執する,adhere to,和解する,reconciliation
反映する,reflect,指摘する,point out,鑑賞する,appreciate,縫う,sew
到着する,arrival,追いかける,chase,偏向する,deflect,溜まる,accumulate
問う,inquire,取り消す,cancel,吠える,bark,処置する,treat
盗む,steal,脱出する,escape,歩き回る,walk around,交叉する,cross
徴収する,collect,治る,be cured,予想する,anticipate,退去する,move out
反対する,oppose,刺す,sting,折り畳む,fold up,直行する,go straight to
支給する,provide,損傷する,damage,びっくりする,surprise,被る,wear
洗浄する,cleaning,刺激する,irritate,短絡する,short-circuit,牽引する,tow
生産する,produce,保守する,maintain,離婚する,divorce,見届ける,see to it
取り組む,work on,開示する,disclosure,鳴く,squeal,突っ込む,rush into
届く,reach,勤務する,work,転換する,turn,返答する,reply
移す,transfer,滅びる,perish,止む,cease,脅迫する,threaten
登る,climb,命令する,order,蒸発する,evaporate,流行する,spread
付与する,grant,禁止する,prohibit,壊れる,break,仕立てる,tailor
上がる,go up,投稿する,posting,保留する,hold,経由する,via
充填する,filling,証言する,testify,揚げる,raise,浮上する,float
応答する,respond,譲渡する,transfer,手助けする,help,標準化する,standardize
確定する,fix,訪ねる,visit,例える,compare,行き渡る,spread
眠る,sleep,推奨する,recommend,手配する,arrange,応援する,support
信頼する,trust,組む,assemble,立ち入る,enter,契約する,contracting
通じる,get through,演算する,operate,阻止する,prevent,痛める,hurt
座る,sit,補強する,reinforce,荒らす,devastate,付随する,incidental
通す,allow through,目覚める,wake up,浮く,float,横断する,cross over
決まる,be decided,遠ざける,keep away from,漂う,float,合せる,combine
推定する,estimate,譲る,give up,披露する,showcase,改変する,alter
探す,search for,汚す,pollute,成り立つ,consist of,旅立つ,depart
参照する,see also,下がる,step back,耐え忍ぶ,endure,怯える,be frightened
埋める,fill in,委託する,entrust,引き取る,take back,演ずる,play (a musical instrument)
優先する,priority,連れ出す,take out,立ち寄る,stop by,引き下げる,withdraw
生き残る,survive,批判する,criticize,課す,impose,写る,be photographed
攻撃する,attack,眺める,view,取り替える,replace,畏れる,fear
反射する,reflect,割る,divide,請け負う,undertake,行進する,marching
区切る,divide,適応する,adapt,相当する,be equivalent to,分光する,spectroscopy
伸びる,extend,経営する,management,試行する,try it out,取り囲む,surround
診断する,diagnose,処分する,dispose of,主催する,organize,効率化する,streamlining
