Time,Subtitle,T1,T2
15:59,まあ でも ちょっと…,I think this is a relatively cool-looking meal.,It's a little...
16:03,（ナレーター）更に⸺ カッテージチーズを 振りかけ…,"In addition, sprinkle it with cottage cheese.",（Sprinkle some cottage cheese on top.
16:07,こしょうを皿の周りに かければ⸺ 今日は これで決まり！,"If you sprinkle some pepper around here, this is the way to go today.","Sprinkle some pepper around the plate, and that's it for today!"
16:11,冷製トマトパスタの 完成です！,"Cold tomato pasta, done.",Cold tomato pasta is ready!
16:16,（ナレーター） バジルの香りと⸺,MOKOMICHI-STYLE COLD TOMATO PASTA Cold pasta,（The aroma of basil and cold tomatoes...
16:17,冷たいトマトが 食欲をそそる⸺ 冷製パスタ,with the scent of basil and cold tomatoes.,The aroma of basil and cold tomatoes will whet your appetite.
16:21,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result?","How's it coming along, Mokomichi?"
16:31,おいしい,Really good.,Delicious!
16:32,こういったフレッシュな トマトを使って⸺ こういうふうに冷製パスタを 作ってもいいと思います,I think you can use these fresh tomatoes to make cold pasta like this.,You can use fresh tomatoes like this to make cold pasta like this.
16:37,こんな１品もあります 是非 チャレンジしてみてください,There is such a nice dish that you can make. Please try it.,There is also this dish. Please try it.
16:56,（もこみち） ｂａｂｏｏ(バブー)さんからです,Please teach me a salad recipe that feels like something new. It's from Baboo. Thank you.,（This is from baboo.
16:58,ありがとうございます,It's from Baboo. Thank you.,Thank you very much.
17:02,今日は また ちょっと違った⸺ え～ 新しいですね,so today I'm going to make a new salad,Today's recipe is a little different.
17:06,マンネリ解消 新感覚サラダを⸺ 作ろうと思います,that is different from the usual stuff.,I'm going to make a new kind of salad to break the rut.
17:09,早速 作っていきましょう,Let's start cooking.,Let's make it right away.
17:11,今日は こんなステキな 食材を用意しました,I prepared these beautiful ingredients today.,"Today, I've prepared these wonderful ingredients."
17:15,まず この ルッコラなんですけど…,"First of all, this is arugula,","First, there's this arugula..."
17:18,この端の部分を ちぎって…,but I'll tear off this end,Tear off this end...
17:21,これをボウルへ 入れてしまいます,and put it in a bowl.,And put it in a bowl.
17:24,そして グリーンオリーブ,And green olives.,And green olives.
17:25,もう あらかじめ カットしてあるものです,And green olives. They've already been cut.,They've already been cut.
17:27,これを入れます,I'm adding them too.,Put these in.
17:29,そして このラズベリー,And these are raspberries.,And these raspberries.
17:30,これも丸ごと 入れちゃいましょう,Let's put a lot of them in.,Let's add them whole.
17:33,…で ここにですね,"Here, let's…",And here...
17:34,ちょっと このオリーブオイル かけて…,add some olive oil.,Pour some olive oil on it.
17:38,からめていきましょう,And let's mix it.,Let's mix it up.
17:46,こいつを 使いたいと思います,"Then today, I would like to use this mortar and pestle.",I'll use this.
17:47,ここにラズベリーを たくさん乳鉢に入れて,"Here, put a lot of raspberries in the mortar",Put raspberries in a mortar and pestle.
17:52,つぶしていきましょう,and mash them.,Let's crush them.
17:54,ここに 塩 そして こしょう,"In here, salt, and pepper.",Salt and pepper.
18:00,そしたら あの… このレモン,Then the lemon.,"And, uh... this lemon."
18:02,半分にカットして 搾ります,Cut in half and squeeze.,Cut it in half and squeeze it.
18:06,ザーッと…,Yes…,Squeeze it.
18:08,（ナレーター） 更に そこへ⸺ オリーブオイルと ヨーグルトを加えて⸺,"Additionally, add olive oil and yogurt",Then add olive oil and yogurt.
18:11,よく混ぜ合わせます,and mix them well.,Mix well.
18:14,なるほど　これを ドレッシングにするのね,I see. You will use this as a dressing.,I see. So this is the dressing.
18:23,すごく おいしい,This is good. Really good.,It's delicious.
18:24,ここに このレモンの皮を⸺ 削っていきましょう,"Then here, I zest the lemon peel.",Let's scrape the zest of this lemon here.
18:30,こんなドレッシング なかなかないですよね,LEMON ZEST ADDS A CITRUS SCENT! Now this is a rare dressing.,It's not often you find a dressing like this.
18:33,そしたら もう 盛りつけに入ります,It's finally time to dish up.,Then we're ready to serve.
18:35,早いですよ 今日は,We're fast today.,We're early today.
18:38,（ナレーター）まず お皿に野菜を盛りつけ…,"First, arrange the vegetables on a plate.","First, put the vegetables on a plate..."
18:42,その上にドレッシングを 回しがけします,Then drizzle the dressing on it.,Then pour the dressing on top.
18:46,そして 最後に チーズを削れば⸺,"And finally, we shave some cheese, and we're finished for today.","And finally, shave some cheese on top."
18:49,今日は これで決まり！,"we shave some cheese, and we're finished for today. PARMIGIANO CHEESE, PEPPER",That's it for today!
18:52,（ナレーター）鮮やかな ピンクが まぶしい,The bright pink is dazzling.,The bright pink is dazzling.
18:54,見た目も味も 正に新感覚の⸺,It looks and tastes like a new sensation.,It looks and tastes just like new.
18:57,ラズベリーと ヨーグルトのサラダ,It's a raspberry and yogurt salad.,Raspberry and yogurt salad.
19:00,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result? MOKOMICHI-STYLE RASPBERRY AND YOGURT SALAD","How's it coming along, Mokomichi?"
19:10,なんかね…,How can I say…,I don't know...
19:14,まあ サラダなんだけど スイーツっていうか…,"Well, it's a salad, but it's like a dessert? I mean, this sweetness is really nice.","It's a salad, but it's more like a sweet..."
19:20,代わりに⸺ ブルーベリーでも いいですし イチゴなんかも 使ってもいいと思います,"If you like, you can also use blueberries or strawberries instead.","You can use blueberries instead, or strawberries."
19:25,こんな新感覚サラダも ありますんで⸺,So you see that there is such a new kind of salad available for you.,We also have this new kind of salad.
19:27,是非 作ってみてください,So you see that there is such a new kind of salad available for you. So please try making it.,Please try to make it.
