Content,Description
3 天気はともかく、今日は楽しい一日になりそうだ。,"3 Setting aside the weather, today seems to be a fun day."
4 彼女の歌声はともかく、彼女のダンスは素晴らしい。,"4 Leaving aside her singing voice, her dance is amazing."
5 見た目はともかく、彼の料理はおいしい。,"5 Apart from the appearance, his cooking is delicious."
"<b>~はともかくとして (~wa tomokaku toshite) - putting aside, regardless of</b>",<b>put aside a certain aspect and focus on another</b>
1 彼の意見はともかくとして、私たちは自分たちの判断をしなければならない。,"1 Putting aside his opinion, we have to make our own judgment."
2 この本は売れるかどうかはともかくとして、私は書きたいことを書いた。,"2 Regardless of whether this book sells or not, I wrote what I wanted to write."
3 彼が来るか来ないかはともかくとして、私はパーティーを楽しむつもりだ。,"3 Whether he comes or not, I intend to enjoy the party."
4 その映画が面白いかどうかはともかくとして、彼女は有名な女優だから見に行く。,"4 Whether that movie is interesting or not, she will go to see it because she is a famous actress."
5 その店のサービスが良いか悪いかはともかくとして、その店の料理はおいしい。,"5 Whether that restaurant’s service is good or bad, the food is delicious."
"<b>~とか (~toka) - and, or, things like, something</b>",<b>used to list examples non-exhaustively or similar to・indicate hearsay or uncertainty</b>
1 彼はサッカーとか野球とかスポーツが好きだ。,1 He likes sports like soccer and baseball.
2 今日は何をするとか決めている？,2 Have you decided what to do today or something?
3 彼女はパリとかロンドンとかヨーロッパに行きたいと言っていた。,"3 She said she wanted to go to Europe, like Paris or London."
4 この本には日本の歴史とか文化とかについて書かれている。,4 This book is written about things like Japanese history and culture.
5 あなたはどんな音楽が好き？ロックとかジャズとか？,5 What kind of music do you like? Rock or jazz or something?
